1d#app#app08#app0832/!  0.251 1.498  0.254 1.579  0.332 1.572  0.343 1.498  0.414 1.484  0.414 1.399  0.414 1.314  0.414 1.229  0.414 1.144  0.414 1.059  0.414 0.974  0.414 0.889  0.414 0.804  0.414 0.719  0.380 0.648  0.332 0.583  0.332 0.498  0.307 0.438  0.251 0.410  0.251 0.325  0.251 0.240  0.251 0.155  0.228 0.077  0.182 0.005  0.136 -0.066  0.090 -0.137  0.043 -0.209  -0.003 -0.280  -0.049 -0.351  -0.095 -0.423  -0.141 -0.494  -0.187 -0.565  -0.234 -0.637  -0.280 -0.708  -0.326 -0.779  -0.372 -0.851  -0.418 -0.922  -0.464 -0.993  -0.510 -1.065  -0.557 -1.136  -0.603 -1.207  -0.640 -1.274  -0.557 -1.267  -0.497 -1.207  -0.483 -1.128  -0.483 -1.043  -0.411 -1.029  -0.401 -0.954  -0.323 -0.948  -0.320 -0.866
1d#app#app08#app0832/~  -1.527 -0.200  -1.527 -0.084  -1.527 0.032  -1.421 0.042  -1.305 0.042  -1.189 0.042  -1.073 0.042  -1.043 0.128  -1.043 0.244  -0.967 0.284  -0.851 0.284  -0.800 0.350  -0.800 0.466  -0.745 0.526  -0.629 0.526  -0.513 0.526  -0.397 0.526  -0.281 0.526  -0.164 0.526  -0.074 0.501  -0.074 0.385  -0.074 0.269  -0.074 0.153  -0.074 0.037  -0.074 -0.079  -0.074 -0.195  -0.074 -0.311  -0.074 -0.427  -0.074 -0.543  -0.074 -0.659  0.017 -0.685  0.133 -0.685  0.226 -0.628  0.308 -0.546  0.390 -0.464  0.497 -0.443  0.613 -0.443  0.721 -0.408  0.825 -0.357  0.929 -0.305  1.033 -0.253  1.137 -0.201  1.219 -0.119  1.301 -0.037  1.383 0.045  1.465 0.127  1.547 0.209  1.622 0.294  1.622 0.410  1.622 0.526
1d#app#app08#app0832/  -1.670 -0.324  -1.596 -0.324  -1.522 -0.324  -1.449 -0.324  -1.375 -0.324  -1.301 -0.324  -1.228 -0.324  -1.154 -0.324  -1.081 -0.324  -1.007 -0.324  -0.933 -0.324  -0.860 -0.324  -0.786 -0.324  -0.712 -0.324  -0.639 -0.324  -0.565 -0.324  -0.507 -0.287  -0.455 -0.235  -0.403 -0.183  -0.351 -0.131  -0.299 -0.078  -0.247 -0.026  -0.195 0.026  -0.143 0.078  -0.091 0.130  -0.039 0.182  0.014 0.234  0.085 0.238  0.159 0.238  0.233 0.238  0.306 0.238  0.380 0.238  0.454 0.238  0.527 0.238  0.601 0.238  0.674 0.238  0.748 0.238  0.822 0.238  0.895 0.238  0.969 0.238  1.043 0.238  1.116 0.238  1.190 0.238  1.263 0.238  1.337 0.238  1.411 0.238  1.484 0.238  1.558 0.238  1.632 0.238  1.705 0.238
1d#app#app08#app0832/_  -1.684 0.223  -1.611 0.223  -1.539 0.223  -1.466 0.223  -1.394 0.223  -1.321 0.223  -1.249 0.223  -1.176 0.223  -1.104 0.223  -1.037 0.210  -0.985 0.159  -0.934 0.107  -0.883 0.056  -0.829 0.012  -0.756 0.012  -0.684 0.012  -0.611 0.012  -0.539 0.012  -0.466 0.012  -0.394 0.012  -0.321 0.012  -0.249 0.012  -0.176 0.012  -0.104 0.012  -0.031 0.012  0.041 0.012  0.114 0.012  0.186 0.012  0.259 0.012  0.331 0.012  0.404 0.012  0.476 0.012  0.549 0.012  0.621 0.012  0.678 -0.027  0.729 -0.078  0.780 -0.129  0.831 -0.181  0.896 -0.199  0.969 -0.199  1.041 -0.199  1.114 -0.199  1.186 -0.199  1.259 -0.199  1.331 -0.199  1.404 -0.199  1.476 -0.199  1.549 -0.199  1.621 -0.199  1.694 -0.199
1d#app#app08#app0832/+  -0.300 1.430  -0.114 1.430  0.073 1.430  0.197 1.367  0.197 1.180  0.197 0.994  0.197 0.807  0.197 0.620  0.197 0.433  0.197 0.247  0.197 0.060  0.197 -0.127  0.197 -0.314  0.197 -0.501  0.197 -0.687  0.197 -0.874  0.197 -1.061  0.197 -1.248  0.197 -1.434  0.155 -1.496  0.043 -1.346  -0.069 -1.197  -0.181 -1.048  -0.293 -0.898  -0.406 -0.749  -0.518 -0.599  -0.630 -0.450  -0.742 -0.300  -0.854 -0.151  -0.966 -0.002  -1.078 0.148  -1.190 0.297  -1.282 0.436  -1.095 0.436  -0.908 0.436  -0.721 0.436  -0.535 0.436  -0.348 0.436  -0.161 0.436  0.026 0.436  0.208 0.425  0.340 0.293  0.472 0.161  0.604 0.029  0.754 -0.061  0.940 -0.061  1.127 -0.061  1.314 -0.061  1.501 -0.061  1.688 -0.061
1d#app#app08#app0832/=  -2.000 0.291  -1.893 0.291  -1.786 0.291  -1.679 0.291  -1.572 0.291  -1.465 0.291  -1.359 0.291  -1.252 0.291  -1.145 0.291  -1.038 0.291  -0.931 0.291  -0.824 0.291  -0.717 0.291  -0.610 0.291  -0.504 0.291  -0.397 0.291  -0.290 0.291  -0.183 0.291  -0.092 0.253  -0.016 0.178  0.059 0.102  0.135 0.026  0.222 -0.021  0.329 -0.021  0.436 -0.021  0.543 -0.021  0.650 -0.021  0.757 -0.021  0.864 -0.021  0.970 -0.021  1.077 -0.021  1.184 -0.021  1.291 -0.021  1.398 -0.021  1.359 -0.049  1.260 -0.089  1.161 -0.128  1.061 -0.168  0.962 -0.208  0.863 -0.247  0.764 -0.287  0.664 -0.327  0.565 -0.366  0.466 -0.406  0.367 -0.446  0.267 -0.486  0.168 -0.525  0.069 -0.565  -0.030 -0.605  -0.129 -0.644
1d#app#app08#app0832/[  1.244 0.706  1.130 0.706  1.016 0.706  0.963 0.766  0.929 0.847  0.816 0.847  0.702 0.847  0.588 0.847  0.475 0.847  0.373 0.875  0.292 0.955  0.192 0.987  0.078 0.987  -0.036 0.987  -0.149 0.987  -0.263 0.987  -0.301 0.912  -0.350 0.847  -0.442 0.825  -0.442 0.711  -0.442 0.598  -0.442 0.484  -0.387 0.425  -0.301 0.397  -0.301 0.283  -0.301 0.170  -0.301 0.056  -0.301 -0.058  -0.326 -0.161  -0.406 -0.241  -0.442 -0.340  -0.478 -0.417  -0.582 -0.427  -0.582 -0.541  -0.582 -0.655  -0.582 -0.768  -0.582 -0.882  -0.566 -0.979  -0.452 -0.979  -0.369 -1.052  -0.283 -1.120  -0.169 -1.120  -0.056 -1.120  0.035 -1.175  0.115 -1.256  0.227 -1.260  0.341 -1.260  0.454 -1.260  0.568 -1.260  0.682 -1.260
1d#app#app08#app0832/]  -0.532 1.264  -0.417 1.264  -0.301 1.264  -0.235 1.215  -0.219 1.115  -0.104 1.115  0.011 1.115  0.126 1.115  0.241 1.115  0.357 1.115  0.472 1.115  0.506 1.035  0.554 0.967  0.654 0.953  0.654 0.837  0.558 0.819  0.506 0.755  0.506 0.640  0.506 0.525  0.456 0.422  0.404 0.319  0.358 0.214  0.358 0.099  0.264 0.078  0.210 0.017  0.210 -0.098  0.210 -0.213  0.210 -0.328  0.156 -0.421  0.074 -0.503  0.061 -0.613  0.061 -0.728  0.061 -0.843  0.061 -0.958  0.061 -1.073  0.061 -1.188  0.061 -1.210  0.048 -1.109  -0.068 -1.109  -0.155 -1.041  -0.237 -0.960  -0.352 -0.960  -0.467 -0.960  -0.582 -0.960  -0.697 -0.960  -0.812 -0.960  -0.828 -0.861  -0.894 -0.812  -1.010 -0.812  -1.125 -0.812
1d#app#app08#app0832/{  1.048 1.135  1.048 1.276  0.940 1.309  0.799 1.309  0.658 1.309  0.517 1.309  0.376 1.309  0.235 1.309  0.118 1.251  0.018 1.151  -0.082 1.051  -0.172 0.948  -0.172 0.806  -0.087 0.701  0.002 0.596  0.002 0.455  0.089 0.350  0.176 0.245  0.176 0.104  0.302 0.089  0.351 -0.004  0.410 -0.086  0.525 -0.112  0.525 -0.253  0.391 -0.260  0.250 -0.260  0.109 -0.260  -0.032 -0.260  -0.173 -0.260  -0.314 -0.260  -0.455 -0.260  -0.597 -0.260  -0.696 -0.218  -0.687 -0.086  -0.546 -0.086  -0.521 -0.202  -0.438 -0.260  -0.347 -0.310  -0.347 -0.451  -0.347 -0.593  -0.347 -0.734  -0.347 -0.875  -0.347 -1.016  -0.347 -1.157  -0.347 -1.298  -0.347 -1.439  -0.347 -1.581  -0.280 -1.655  -0.172 -1.688  -0.172 -1.830
1d#app#app08#app0832/}  0.107 1.594  0.236 1.594  0.365 1.594  0.494 1.594  0.569 1.539  0.569 1.410  0.566 1.282  0.474 1.191  0.415 1.087  0.415 0.958  0.415 0.829  0.291 0.824  0.261 0.725  0.187 0.670  0.072 0.635  -0.019 0.544  -0.110 0.453  -0.201 0.361  -0.201 0.232  -0.201 0.103  -0.121 0.054  0.008 0.054  0.107 0.084  0.102 0.208  -0.028 0.208  -0.047 0.098  -0.132 0.054  -0.201 -0.006  -0.176 -0.125  -0.085 -0.216  -0.047 -0.329  -0.011 -0.443  0.080 -0.535  0.107 -0.652  0.107 -0.781  0.107 -0.910  0.107 -1.040  0.107 -1.169  0.107 -1.298  0.012 -1.331  -0.047 -1.261  -0.092 -1.177  -0.221 -1.177  -0.350 -1.177  -0.479 -1.177  -0.509 -1.078  -0.584 -1.024  -0.713 -1.024  -0.842 -1.024  -0.971 -1.024
1d#app#app08#app0832/\\  -0.799 1.385  -0.799 1.303  -0.799 1.221  -0.799 1.140  -0.799 1.058  -0.799 0.977  -0.778 0.916  -0.696 0.916  -0.615 0.916  -0.565 0.885  -0.565 0.803  -0.565 0.721  -0.565 0.640  -0.565 0.558  -0.565 0.477  -0.512 0.448  -0.431 0.448  -0.349 0.448  -0.331 0.385  -0.331 0.303  -0.331 0.222  -0.331 0.140  -0.331 0.058  -0.328 -0.020  -0.246 -0.020  -0.165 -0.020  -0.087 -0.030  -0.030 -0.087  0.028 -0.145  0.086 -0.203  0.144 -0.260  0.201 -0.318  0.259 -0.376  0.317 -0.433  0.374 -0.491  0.432 -0.549  0.490 -0.607  0.547 -0.664  0.605 -0.722  0.663 -0.780  0.720 -0.837  0.778 -0.895  0.836 -0.953  0.893 -1.010  0.951 -1.068  1.009 -1.126  1.066 -1.183  1.145 -1.191  1.226 -1.191  1.308 -1.191
1d#app#app08#app0832/,  -0.271 1.568  -0.271 1.482  -0.271 1.397  -0.230 1.353  -0.145 1.353  -0.059 1.353  -0.057 1.271  -0.057 1.186  -0.057 1.101  -0.057 1.016  -0.057 0.931  0.023 0.925  0.108 0.925  0.157 0.889  0.157 0.804  0.157 0.719  0.157 0.634  0.157 0.549  0.181 0.474  0.241 0.413  0.301 0.353  0.361 0.293  0.371 0.212  0.371 0.127  0.371 0.042  0.371 -0.043  0.371 -0.128  0.341 -0.206  0.303 -0.282  0.265 -0.359  0.227 -0.435  0.189 -0.511  0.157 -0.588  0.157 -0.674  0.157 -0.759  0.118 -0.827  0.057 -0.888  -0.003 -0.948  -0.066 -1.002  -0.151 -1.002  -0.236 -1.002  -0.271 -1.052  -0.271 -1.137  -0.275 -1.220  -0.335 -1.280  -0.396 -1.340  -0.456 -1.401  -0.529 -1.430  -0.614 -1.430  -0.699 -1.430
1d#app#app08#app0832/  0.717 1.329  0.774 1.272  0.831 1.215  0.888 1.157  0.903 1.082  0.903 1.002  0.903 0.921  0.903 0.840  0.890 0.771  0.809 0.771  0.729 0.771  0.717 0.702  0.717 0.622  0.685 0.554  0.628 0.497  0.571 0.439  0.514 0.382  0.456 0.325  0.399 0.268  0.342 0.211  0.285 0.154  0.228 0.096  0.171 0.039  0.094 0.028  0.014 0.028  -0.027 -0.013  -0.027 -0.093  -0.043 -0.158  -0.124 -0.158  -0.205 -0.158  -0.264 -0.210  -0.321 -0.267  -0.379 -0.324  -0.436 -0.381  -0.493 -0.438  -0.550 -0.495  -0.607 -0.553  -0.664 -0.610  -0.722 -0.667  -0.770 -0.728  -0.770 -0.808  -0.770 -0.889  -0.839 -0.902  -0.920 -0.902  -0.956 -0.946  -0.956 -1.027  -0.970 -1.102  -1.028 -1.159  -1.085 -1.216  -1.142 -1.273
1d#app#app08#app0832/?  -0.727 0.790  -0.600 0.790  -0.568 0.884  -0.506 0.949  -0.387 0.970  -0.298 1.060  -0.191 1.109  -0.064 1.109  0.063 1.109  0.190 1.109  0.317 1.109  0.444 1.109  0.570 1.109  0.697 1.109  0.707 0.991  0.707 0.864  0.670 0.753  0.580 0.663  0.490 0.573  0.400 0.484  0.279 0.471  0.174 0.417  0.085 0.327  -0.005 0.237  -0.095 0.148  -0.185 0.058  -0.285 -0.007  -0.408 -0.010  -0.408 -0.137  -0.408 -0.264  -0.343 -0.325  -0.249 -0.358  -0.249 -0.485  -0.122 -0.485  0.005 -0.485  0.132 -0.485  0.218 -0.513  0.174 -0.632  0.129 -0.750  0.085 -0.869  0.040 -0.988  -0.004 -1.107  -0.049 -1.226  -0.094 -1.345  -0.138 -1.463  -0.183 -1.582  -0.227 -1.701  -0.184 -1.759  -0.090 -1.727  -0.090 -1.600
1d#app#app08#app0832/'  0.000 1.698  0.000 1.628  0.000 1.559  0.000 1.490  0.000 1.421  0.000 1.351  0.000 1.282  0.000 1.213  0.000 1.143  0.000 1.074  0.000 1.005  0.000 0.936  0.000 0.866  0.000 0.797  0.000 0.728  0.000 0.658  0.000 0.589  0.000 0.520  0.000 0.450  0.000 0.381  0.000 0.312  0.000 0.243  0.000 0.173  0.000 0.104  0.000 0.035  0.000 -0.035  0.000 -0.104  0.000 -0.173  0.000 -0.243  0.000 -0.312  0.000 -0.381  0.000 -0.450  0.000 -0.520  0.000 -0.589  0.000 -0.658  0.000 -0.728  0.000 -0.797  0.000 -0.866  0.000 -0.936  0.000 -1.005  0.000 -1.074  0.000 -1.143  0.000 -1.213  0.000 -1.282  0.000 -1.351  0.000 -1.421  0.000 -1.490  0.000 -1.559  0.000 -1.628  0.000 -1.698
1d#app#app08#app0832/\"  -0.880 1.566  -0.812 1.498  -0.745 1.431  -0.677 1.363  -0.610 1.296  -0.542 1.228  -0.475 1.161  -0.407 1.093  -0.391 1.005  -0.391 0.909  -0.391 0.814  -0.391 0.718  -0.391 0.623  -0.391 0.527  -0.391 0.432  -0.391 0.336  -0.391 0.241  -0.391 0.145  -0.391 0.050  -0.391 -0.046  -0.391 -0.141  -0.391 -0.237  -0.391 -0.332  -0.391 -0.428  -0.391 -0.523  -0.391 -0.619  -0.391 -0.714  -0.391 -0.809  -0.365 -0.868  -0.274 -0.837  -0.183 -0.807  -0.093 -0.777  -0.002 -0.747  0.088 -0.717  0.179 -0.686  0.269 -0.656  0.360 -0.626  0.451 -0.596  0.541 -0.566  0.632 -0.536  0.722 -0.505  0.813 -0.475  0.903 -0.445  0.994 -0.415  1.085 -0.388  1.181 -0.388  1.276 -0.388  1.372 -0.388  1.467 -0.388  1.563 -0.388
1d#app#app08#app0832/<  0.999 1.378  1.136 1.378  1.222 1.357  1.125 1.260  1.029 1.163  0.932 1.067  0.835 0.970  0.731 0.890  0.595 0.890  0.512 0.836  0.512 0.700  0.428 0.646  0.291 0.646  0.268 0.533  0.262 0.402  0.125 0.402  0.024 0.367  0.024 0.230  -0.041 0.159  -0.178 0.159  -0.287 0.091  -0.384 -0.005  -0.481 -0.102  -0.577 -0.199  -0.674 -0.295  -0.797 -0.329  -0.934 -0.329  -0.951 -0.448  -0.963 -0.573  -1.100 -0.573  -1.166 -0.543  -1.069 -0.447  -0.972 -0.350  -0.951 -0.436  -0.951 -0.573  -0.814 -0.573  -0.678 -0.573  -0.541 -0.573  -0.404 -0.573  -0.267 -0.573  -0.131 -0.573  0.006 -0.573  0.108 -0.657  0.205 -0.754  0.315 -0.817  0.452 -0.817  0.589 -0.817  0.726 -0.817  0.862 -0.817  0.999 -0.817
1d#app#app08#app0832/|  0.361 1.620  0.361 1.548  0.361 1.477  0.321 1.422  0.271 1.371  0.220 1.321  0.202 1.257  0.202 1.185  0.202 1.114  0.202 1.042  0.192 0.975  0.141 0.924  0.091 0.873  0.043 0.822  0.043 0.750  0.043 0.679  0.043 0.607  0.043 0.536  0.023 0.469  -0.009 0.405  -0.041 0.341  -0.073 0.277  -0.105 0.213  -0.116 0.144  -0.116 0.072  -0.116 0.001  -0.116 -0.071  -0.116 -0.142  -0.116 -0.214  -0.116 -0.285  -0.116 -0.357  -0.116 -0.428  -0.116 -0.500  -0.116 -0.571  -0.116 -0.643  -0.116 -0.715  -0.116 -0.786  -0.116 -0.858  -0.116 -0.929  -0.116 -1.001  -0.116 -1.072  -0.116 -1.144  -0.116 -1.215  -0.116 -1.287  -0.116 -1.358  -0.116 -1.430  -0.116 -1.501  -0.116 -1.573  -0.116 -1.645  -0.116 -1.716
1d#app#app08#app0832/>  -1.320 1.520  -1.231 1.430  -1.142 1.341  -1.053 1.252  -0.963 1.163  -0.874 1.073  -0.785 0.984  -0.696 0.895  -0.606 0.806  -0.491 0.780  -0.365 0.780  -0.334 0.685  -0.334 0.558  -0.233 0.533  -0.107 0.533  -0.087 0.426  -0.087 0.300  0.025 0.286  0.151 0.286  0.160 0.168  0.160 0.042  0.283 0.040  0.409 0.037  0.498 -0.052  0.587 -0.141  0.686 -0.207  0.812 -0.207  0.938 -0.207  1.065 -0.207  1.146 -0.252  1.146 -0.378  1.096 -0.454  0.969 -0.454  0.860 -0.493  0.770 -0.582  0.681 -0.672  0.567 -0.700  0.441 -0.700  0.314 -0.700  0.188 -0.700  0.062 -0.700  -0.064 -0.700  -0.087 -0.803  -0.087 -0.930  -0.196 -0.947  -0.322 -0.947  -0.448 -0.947  -0.575 -0.947  -0.701 -0.947  -0.827 -0.947
