1c#app#app07#app0755/p  0.306 1.263  0.295 1.079  0.220 0.921  0.176 0.743  0.104 0.569  0.044 0.390  -0.015 0.212  -0.075 0.033  -0.139 -0.144  -0.217 -0.315  -0.263 -0.498  -0.296 -0.683  -0.327 -0.864  -0.382 -1.039  -0.440 -1.204  -0.468 -1.381  -0.468 -1.570  -0.535 -1.730  -0.630 -1.795  -0.584 -1.612  -0.539 -1.429  -0.493 -1.246  -0.447 -1.063  -0.401 -0.880  -0.356 -0.697  -0.310 -0.514  -0.264 -0.332  -0.218 -0.149  -0.173 0.034  -0.127 0.217  -0.081 0.400  -0.035 0.583  0.010 0.766  0.056 0.949  0.102 1.132  0.188 1.263  0.377 1.263  0.565 1.263  0.737 1.246  0.823 1.143  0.823 0.954  0.776 0.785  0.737 0.613  0.673 0.488  0.565 0.358  0.433 0.250  0.291 0.129  0.132 0.058  -0.026 -0.016  -0.124 0.058
1c#app#app07#app0755/g  0.368 1.226  0.255 1.226  0.165 1.172  0.136 1.077  0.071 1.030  0.071 0.918  0.120 0.855  0.228 0.864  0.313 0.929  0.409 0.970  0.507 1.003  0.589 1.076  0.701 1.077  0.739 1.003  0.739 0.891  0.739 0.778  0.721 0.670  0.671 0.570  0.664 0.459  0.620 0.365  0.559 0.273  0.516 0.171  0.516 0.058  0.451 -0.027  0.397 -0.125  0.347 -0.225  0.297 -0.326  0.220 -0.407  0.169 -0.507  0.104 -0.597  0.025 -0.676  -0.055 -0.755  -0.134 -0.835  -0.214 -0.914  -0.293 -0.993  -0.391 -1.046  -0.497 -1.075  -0.606 -1.083  -0.691 -1.149  -0.803 -1.149  -0.887 -1.082  -0.969 -1.047  -0.969 -0.935  -0.969 -0.822  -0.969 -0.710  -0.894 -0.629  -0.844 -0.528  -0.820 -0.422  -0.751 -0.338  -0.672 -0.259
1c#app#app07#app0755/h  0.344 1.694  0.247 1.596  0.157 1.493  0.081 1.379  0.005 1.265  -0.071 1.150  -0.150 1.038  -0.247 0.941  -0.328 0.832  -0.389 0.709  -0.451 0.586  -0.512 0.463  -0.574 0.340  -0.652 0.244  -0.783 0.238  -0.783 0.101  -0.783 -0.037  -0.851 -0.146  -0.948 -0.243  -1.045 -0.340  -1.105 -0.453  -1.076 -0.561  -0.938 -0.561  -0.801 -0.561  -0.664 -0.561  -0.554 -0.493  -0.455 -0.400  -0.318 -0.400  -0.215 -0.316  -0.110 -0.239  0.026 -0.235  0.123 -0.138  0.236 -0.078  0.344 -0.049  0.349 0.083  0.487 0.083  0.624 0.083  0.667 -0.012  0.667 -0.149  0.714 -0.239  0.828 -0.263  0.828 -0.401  0.828 -0.538  0.828 -0.675  0.892 -0.786  0.989 -0.884  0.989 -1.021  1.069 -1.125  1.173 -1.205  1.311 -1.205
1c#app#app07#app0755/t  1.174 1.830  1.032 1.776  0.917 1.660  0.801 1.544  0.685 1.428  0.600 1.290  0.503 1.160  0.386 1.045  0.250 0.954  0.121 0.856  0.036 0.716  -0.048 0.575  -0.131 0.434  -0.183 0.278  -0.243 0.126  -0.316 -0.021  -0.389 -0.167  -0.424 -0.323  -0.476 -0.475  -0.476 -0.639  -0.424 -0.790  -0.389 -0.946  -0.322 -1.068  -0.215 -1.167  -0.104 -1.233  0.035 -1.295  0.132 -1.362  0.276 -1.382  0.227 -1.273  0.131 -1.140  0.035 -1.007  -0.061 -0.874  -0.157 -0.742  -0.253 -0.609  -0.349 -0.476  -0.445 -0.343  -0.541 -0.210  -0.637 -0.077  -0.733 0.056  -0.813 0.181  -0.649 0.181  -0.485 0.181  -0.321 0.181  -0.157 0.181  0.007 0.181  0.171 0.181  0.335 0.181  0.499 0.181  0.653 0.171  0.740 0.094
1c#app#app07#app0755/h  0.859 1.840  0.859 1.720  0.859 1.600  0.837 1.488  0.752 1.403  0.667 1.318  0.582 1.233  0.509 1.140  0.455 1.032  0.401 0.925  0.347 0.817  0.284 0.716  0.199 0.631  0.092 0.578  -0.016 0.524  -0.072 0.418  -0.126 0.311  -0.208 0.224  -0.293 0.139  -0.378 0.054  -0.463 -0.031  -0.548 -0.116  -0.633 -0.201  -0.704 -0.297  -0.758 -0.404  -0.789 -0.517  -0.832 -0.620  -0.899 -0.712  -0.899 -0.832  -0.853 -0.907  -0.749 -0.867  -0.664 -0.782  -0.579 -0.697  -0.463 -0.687  -0.345 -0.682  -0.260 -0.597  -0.199 -0.495  -0.145 -0.387  -0.043 -0.357  0.077 -0.357  0.197 -0.357  0.205 -0.473  0.290 -0.558  0.309 -0.670  0.413 -0.687  0.422 -0.800  0.507 -0.885  0.529 -0.996  0.629 -1.016  0.639 -1.126
1c#app#app07#app0755/e  -0.243 -0.312  -0.095 -0.312  0.054 -0.312  0.166 -0.225  0.283 -0.152  0.422 -0.129  0.527 -0.024  0.662 0.009  0.721 0.098  0.797 0.170  0.882 0.233  0.918 0.367  1.023 0.471  1.042 0.611  1.042 0.760  1.042 0.908  0.959 0.973  0.811 0.973  0.663 0.973  0.514 0.973  0.366 0.973  0.220 0.963  0.088 0.897  -0.045 0.831  -0.189 0.812  -0.337 0.812  -0.461 0.754  -0.566 0.650  -0.671 0.545  -0.776 0.440  -0.880 0.335  -0.885 0.189  -0.976 0.078  -1.046 -0.041  -1.046 -0.189  -1.046 -0.337  -1.037 -0.482  -0.932 -0.587  -0.828 -0.691  -0.723 -0.796  -0.618 -0.901  -0.492 -0.955  -0.361 -0.997  -0.257 -1.102  -0.114 -1.116  0.034 -1.116  0.152 -1.189  0.264 -1.276  0.412 -1.276  0.560 -1.276
1c#app#app07#app0755/m  -0.791 0.684  -0.791 0.480  -0.791 0.275  -0.822 0.084  -0.980 -0.028  -1.125 -0.125  -1.216 -0.308  -1.275 -0.455  -1.361 -0.574  -1.476 -0.571  -1.332 -0.426  -1.187 -0.281  -1.029 -0.170  -0.856 -0.093  -0.711 0.052  -0.533 0.114  -0.381 0.240  -0.236 0.385  -0.091 0.529  0.053 0.674  0.198 0.819  0.349 0.776  0.236 0.684  0.183 0.519  0.048 0.368  -0.044 0.185  -0.168 0.026  -0.350 -0.028  -0.398 -0.205  -0.455 -0.313  -0.250 -0.313  -0.097 -0.189  0.089 -0.145  0.245 -0.028  0.420 0.043  0.595 0.114  0.650 0.274  0.795 0.418  0.948 0.542  1.153 0.542  1.203 0.388  1.203 0.183  1.203 -0.021  1.203 -0.226  1.203 -0.430  1.203 -0.635  1.302 -0.740  1.346 -0.901  1.426 -1.025  1.488 -1.168
1c#app#app07#app0755/o  0.969 0.671  0.806 0.671  0.792 0.820  0.657 0.848  0.493 0.848  0.330 0.848  0.167 0.848  0.004 0.848  -0.141 0.802  -0.256 0.686  -0.398 0.608  -0.544 0.535  -0.677 0.443  -0.792 0.328  -0.951 0.316  -0.980 0.183  -0.980 0.020  -1.086 -0.038  -1.158 -0.129  -1.158 -0.293  -1.158 -0.456  -1.123 -0.605  -1.007 -0.720  -0.892 -0.836  -0.765 -0.924  -0.609 -0.941  -0.494 -1.057  -0.349 -1.101  -0.186 -1.101  -0.022 -1.101  0.124 -1.060  0.239 -0.945  0.394 -0.924  0.437 -0.804  0.543 -0.747  0.615 -0.655  0.693 -0.570  0.792 -0.506  0.792 -0.343  0.792 -0.179  0.792 -0.016  0.792 0.147  0.792 0.310  0.792 0.474  0.649 0.494  0.615 0.623  0.533 0.752  0.437 0.876  0.423 1.025  0.260 1.025
1c#app#app07#app0755/m  -0.965 -0.072  -0.965 -0.284  -0.965 -0.497  -0.965 -0.710  -1.115 -0.773  -1.273 -0.905  -1.468 -0.948  -1.481 -0.763  -1.331 -0.613  -1.305 -0.411  -1.154 -0.261  -0.953 -0.234  -0.802 -0.084  -0.652 0.066  -0.502 0.217  -0.351 0.367  -0.175 0.454  0.001 0.544  0.151 0.694  0.318 0.804  0.342 0.804  0.261 0.673  0.261 0.460  0.086 0.423  0.038 0.230  -0.089 0.070  -0.160 -0.072  -0.264 -0.180  -0.410 -0.247  -0.440 -0.415  -0.395 -0.247  -0.182 -0.247  -0.005 -0.163  0.170 -0.072  0.347 0.014  0.523 0.103  0.612 0.227  0.756 0.351  0.946 0.446  1.100 0.591  1.138 0.788  1.313 0.783  1.313 0.570  1.313 0.358  1.313 0.145  1.192 -0.017  1.138 -0.208  1.138 -0.420  1.286 -0.571  1.313 -0.773
1c#app#app07#app0755/e  -0.172 -0.319  -0.063 -0.210  0.055 -0.122  0.209 -0.122  0.364 -0.122  0.421 -0.024  0.475 0.076  0.618 0.087  0.618 0.241  0.741 0.273  0.816 0.353  0.816 0.507  0.816 0.662  0.963 0.669  1.013 0.773  0.970 0.910  0.861 1.019  0.725 1.064  0.571 1.064  0.418 1.061  0.308 0.952  0.189 0.866  0.035 0.866  -0.120 0.866  -0.244 0.794  -0.354 0.685  -0.501 0.669  -0.568 0.581  -0.613 0.471  -0.766 0.469  -0.835 0.331  -0.904 0.193  -0.963 0.052  -0.963 -0.102  -0.963 -0.256  -0.963 -0.411  -0.929 -0.551  -0.819 -0.660  -0.765 -0.792  -0.731 -0.912  -0.576 -0.912  -0.464 -1.015  -0.349 -1.110  -0.195 -1.110  -0.047 -1.152  0.100 -1.201  0.246 -1.249  0.393 -1.298  0.509 -1.396  0.618 -1.505
1c#app#app07#app0755/t  0.945 1.896  0.826 1.778  0.708 1.659  0.589 1.540  0.470 1.421  0.376 1.285  0.294 1.140  0.175 1.021  0.057 0.902  -0.062 0.784  -0.110 0.636  -0.183 0.485  -0.216 0.325  -0.216 0.157  -0.267 0.001  -0.322 -0.154  -0.322 -0.322  -0.322 -0.490  -0.322 -0.658  -0.322 -0.826  -0.293 -0.982  -0.216 -1.118  -0.131 -1.250  -0.012 -1.369  0.048 -1.481  0.182 -1.562  0.300 -1.561  0.228 -1.410  0.156 -1.258  0.084 -1.106  0.012 -0.954  -0.060 -0.803  -0.132 -0.651  -0.203 -0.499  -0.275 -0.348  -0.347 -0.196  -0.419 -0.044  -0.491 0.108  -0.563 0.259  -0.635 0.411  -0.584 0.313  -0.416 0.313  -0.248 0.313  -0.089 0.334  0.044 0.419  0.212 0.419  0.312 0.351  0.442 0.313  0.584 0.252  0.734 0.208
1c#app#app07#app0755/h  0.683 1.994  0.604 1.876  0.525 1.757  0.446 1.639  0.361 1.525  0.261 1.425  0.190 1.303  0.126 1.176  0.045 1.062  -0.055 0.961  -0.118 0.834  -0.182 0.707  -0.246 0.580  -0.309 0.452  -0.387 0.335  -0.487 0.235  -0.588 0.134  -0.672 0.022  -0.735 -0.105  -0.790 -0.234  -0.790 -0.376  -0.790 -0.518  -0.790 -0.661  -0.790 -0.803  -0.651 -0.805  -0.548 -0.710  -0.427 -0.658  -0.304 -0.613  -0.203 -0.512  -0.103 -0.412  0.019 -0.363  0.093 -0.295  0.138 -0.171  0.238 -0.071  0.379 -0.068  0.388 0.065  0.388 -0.049  0.388 -0.192  0.388 -0.334  0.275 -0.363  0.241 -0.471  0.241 -0.613  0.241 -0.755  0.241 -0.897  0.328 -0.952  0.388 -1.034  0.442 -1.154  0.546 -1.247  0.683 -1.252  0.683 -1.394
1c#app#app07#app0755/i  -0.012 -0.206  -0.012 -0.306  -0.017 -0.400  -0.117 -0.400  -0.214 -0.408  -0.284 -0.479  -0.355 -0.549  -0.400 -0.630  -0.400 -0.730  -0.400 -0.830  -0.400 -0.929  -0.400 -1.029  -0.400 -1.129  -0.400 -1.229  -0.400 -1.328  -0.383 -1.317  -0.353 -1.222  -0.324 -1.127  -0.294 -1.031  -0.264 -0.936  -0.234 -0.841  -0.205 -0.746  -0.175 -0.650  -0.145 -0.555  -0.115 -0.460  -0.086 -0.365  -0.056 -0.269  -0.026 -0.174  0.004 -0.079  0.033 0.016  0.063 0.112  0.093 0.207  0.123 0.302  0.153 0.397  0.182 0.492  0.212 0.588  0.242 0.683  0.272 0.778  0.301 0.873  0.331 0.969  0.361 1.064  0.391 1.159  0.420 1.254  0.450 1.350  0.480 1.445  0.510 1.540  0.539 1.635  0.569 1.731  0.571 1.830  0.571 1.930
1c#app#app07#app0755/n  -0.884 0.261  -0.779 0.155  -0.711 0.035  -0.711 -0.114  -0.715 -0.258  -0.864 -0.258  -0.884 -0.387  -0.958 -0.505  -1.066 -0.604  -1.215 -0.604  -1.230 -0.738  -1.230 -0.668  -1.145 -0.604  -1.057 -0.543  -1.020 -0.431  -0.875 -0.422  -0.770 -0.317  -0.665 -0.212  -0.560 -0.107  -0.454 -0.002  -0.343 0.088  -0.194 0.088  -0.192 0.235  -0.069 0.261  0.051 0.330  0.154 0.436  0.154 0.585  0.244 0.697  0.358 0.780  0.505 0.785  0.610 0.890  0.673 1.013  0.709 1.126  0.846 1.114  0.846 0.965  0.846 0.816  0.846 0.668  0.846 0.519  0.846 0.370  0.846 0.221  0.846 0.072  0.846 -0.076  0.846 -0.225  0.846 -0.374  0.846 -0.523  0.846 -0.671  0.876 -0.808  0.981 -0.913  1.087 -1.018  1.192 -1.123
1c#app#app07#app0755/g  0.815 1.162  0.716 1.113  0.608 1.106  0.509 1.080  0.415 1.042  0.324 0.994  0.225 0.951  0.200 0.856  0.281 0.827  0.391 0.827  0.501 0.827  0.591 0.846  0.665 0.883  0.719 0.939  0.749 0.873  0.703 0.782  0.673 0.685  0.639 0.587  0.591 0.488  0.590 0.379  0.521 0.295  0.475 0.195  0.449 0.089  0.421 -0.017  0.371 -0.116  0.296 -0.195  0.226 -0.279  0.165 -0.371  0.093 -0.453  0.022 -0.536  -0.030 -0.632  -0.107 -0.710  -0.199 -0.769  -0.286 -0.833  -0.366 -0.909  -0.464 -0.958  -0.562 -1.007  -0.661 -1.056  -0.767 -1.073  -0.877 -1.073  -0.973 -1.059  -1.037 -1.009  -1.085 -0.918  -1.085 -0.809  -1.085 -0.699  -1.043 -0.598  -0.959 -0.535  -0.873 -0.469  -0.792 -0.396  -0.694 -0.346
1c#app#app07#app0755/l  -1.218 -0.963  -1.094 -0.887  -0.971 -0.802  -0.832 -0.731  -0.722 -0.621  -0.586 -0.556  -0.435 -0.519  -0.333 -0.419  -0.228 -0.315  -0.088 -0.245  0.051 -0.175  0.185 -0.097  0.295 0.013  0.405 0.123  0.516 0.234  0.624 0.345  0.694 0.485  0.792 0.604  0.862 0.744  0.932 0.883  1.001 1.023  1.081 1.146  1.081 1.302  0.959 1.336  0.817 1.301  0.689 1.216  0.564 1.125  0.454 1.015  0.344 0.905  0.233 0.794  0.123 0.684  0.013 0.574  -0.103 0.470  -0.232 0.383  -0.323 0.267  -0.372 0.119  -0.478 0.006  -0.566 -0.120  -0.636 -0.260  -0.681 -0.405  -0.681 -0.561  -0.681 -0.717  -0.583 -0.832  -0.527 -0.965  -0.416 -1.075  -0.277 -1.117  -0.128 -1.133  0.003 -1.193  0.159 -1.193  0.315 -1.193
1c#app#app07#app0755/i  -0.602 -0.526  -0.507 -0.526  -0.412 -0.526  -0.316 -0.526  -0.254 -0.559  -0.254 -0.654  -0.304 -0.700  -0.399 -0.700  -0.475 -0.747  -0.542 -0.814  -0.602 -0.885  -0.602 -0.980  -0.602 -1.076  -0.602 -1.171  -0.582 -1.184  -0.537 -1.100  -0.492 -1.016  -0.447 -0.932  -0.402 -0.848  -0.357 -0.763  -0.312 -0.679  -0.268 -0.595  -0.223 -0.511  -0.178 -0.427  -0.133 -0.343  -0.088 -0.258  -0.043 -0.174  0.002 -0.090  0.047 -0.006  0.092 0.078  0.136 0.162  0.181 0.247  0.226 0.331  0.271 0.415  0.316 0.499  0.361 0.583  0.406 0.667  0.451 0.751  0.496 0.836  0.540 0.920  0.585 1.004  0.630 1.088  0.675 1.172  0.720 1.256  0.765 1.341  0.791 1.429  0.791 1.525  0.752 1.604  0.685 1.671  0.617 1.739
1c#app#app07#app0755/k  0.880 1.814  0.812 1.671  0.654 1.581  0.571 1.415  0.451 1.276  0.320 1.145  0.189 1.014  0.058 0.883  -0.044 0.731  -0.140 0.576  -0.271 0.445  -0.402 0.314  -0.533 0.183  -0.697 0.097  -0.841 -0.016  -0.972 -0.147  -1.107 -0.271  -1.273 -0.354  -1.304 -0.520  -1.304 -0.705  -1.220 -0.807  -1.035 -0.807  -0.850 -0.807  -0.692 -0.741  -0.561 -0.610  -0.398 -0.556  -0.267 -0.425  -0.136 -0.294  0.032 -0.248  0.198 -0.165  0.257 -0.010  0.411 0.067  0.487 0.176  0.672 0.176  0.857 0.176  0.933 0.067  1.098 0.047  1.194 -0.042  1.042 -0.087  0.863 -0.136  0.684 -0.185  0.506 -0.234  0.327 -0.282  0.148 -0.331  0.006 -0.408  0.006 -0.593  0.006 -0.778  0.040 -0.950  0.116 -1.104  0.225 -1.244
1c#app#app07#app0755/e  0.265 0.234  0.382 0.239  0.466 0.323  0.487 0.433  0.555 0.524  0.639 0.607  0.728 0.678  0.839 0.697  0.923 0.781  0.931 0.896  0.927 1.011  0.809 1.011  0.690 1.011  0.579 0.992  0.495 0.908  0.380 0.900  0.262 0.898  0.156 0.845  0.050 0.792  -0.056 0.739  -0.163 0.686  -0.269 0.633  -0.375 0.580  -0.464 0.503  -0.548 0.419  -0.632 0.335  -0.716 0.252  -0.800 0.168  -0.844 0.068  -0.844 -0.051  -0.844 -0.170  -0.844 -0.288  -0.844 -0.407  -0.844 -0.526  -0.844 -0.644  -0.767 -0.731  -0.683 -0.815  -0.593 -0.890  -0.487 -0.943  -0.381 -0.996  -0.275 -1.050  -0.168 -1.098  -0.049 -1.098  0.067 -1.109  0.173 -1.163  0.281 -1.209  0.399 -1.209  0.518 -1.209  0.625 -1.236  0.709 -1.320
