3#apa#apa01#app0194/p  -0.543 0.535  -0.493 0.638  -0.335 0.479  -0.237 0.296  -0.237 0.072  -0.237 -0.152  -0.134 -0.333  -0.084 -0.536  -0.084 -0.760  0.016 -0.942  0.069 -1.144  0.069 -1.368  0.069 -1.592  0.069 -1.816  0.069 -1.784  0.069 -1.560  0.069 -1.336  -0.064 -1.167  -0.084 -0.952  -0.084 -0.728  -0.269 -0.689  -0.390 -0.586  -0.405 -0.368  -0.543 -0.202  -0.543 0.022  -0.543 0.246  -0.543 0.470  -0.543 0.694  -0.489 0.895  -0.390 1.078  -0.237 1.149  -0.164 1.299  -0.084 1.444  0.131 1.452  0.355 1.452  0.527 1.401  0.614 1.213  0.680 1.017  0.833 0.946  0.833 0.722  0.833 0.498  0.726 0.382  0.680 0.203  0.584 0.076  0.513 -0.077  0.314 -0.137  0.128 -0.230  -0.084 -0.219  -0.166 -0.077  -0.237 0.076
3#apa#apa01#app0194/g  0.017 1.166  -0.110 1.166  -0.237 1.166  -0.364 1.166  -0.492 1.166  -0.527 1.075  -0.636 1.057  -0.636 0.929  -0.636 0.802  -0.636 0.675  -0.562 0.622  -0.527 0.529  -0.416 0.513  -0.289 0.513  -0.162 0.513  -0.035 0.513  0.093 0.513  0.126 0.607  0.126 0.734  0.126 0.861  0.126 0.909  0.167 0.799  0.235 0.700  0.285 0.622  0.344 0.554  0.344 0.427  0.344 0.300  0.431 0.208  0.453 0.090  0.453 -0.037  0.453 -0.164  0.453 -0.291  0.453 -0.419  0.453 -0.546  0.453 -0.673  0.453 -0.800  0.453 -0.927  0.410 -1.012  0.344 -1.073  0.288 -1.177  0.235 -1.282  0.164 -1.338  0.126 -1.428  0.018 -1.447  -0.109 -1.447  -0.236 -1.447  -0.363 -1.447  -0.418 -1.375  -0.509 -1.338  -0.527 -1.229
3#apa#apa01#app0194/h  -0.899 1.882  -0.802 1.785  -0.765 1.663  -0.703 1.551  -0.630 1.444  -0.603 1.317  -0.506 1.220  -0.496 1.087  -0.496 0.949  -0.496 0.812  -0.496 0.674  -0.495 0.538  -0.398 0.440  -0.362 0.318  -0.362 0.180  -0.362 0.043  -0.362 -0.095  -0.292 -0.203  -0.228 -0.314  -0.228 -0.451  -0.228 -0.589  -0.228 -0.726  -0.228 -0.864  -0.228 -1.001  -0.228 -1.007  -0.228 -0.870  -0.177 -0.754  -0.093 -0.651  -0.093 -0.513  -0.093 -0.376  -0.093 -0.238  -0.061 -0.133  0.041 -0.098  0.079 0.002  0.175 0.043  0.220 0.136  0.357 0.136  0.480 0.100  0.577 0.003  0.674 -0.094  0.772 -0.192  0.847 -0.298  0.847 -0.435  0.873 -0.562  0.970 -0.659  0.981 -0.792  0.981 -0.929  0.981 -1.067  0.981 -1.204  1.116 -1.207
3#apa#apa01#app0194/t  -0.341 2.082  -0.230 1.971  -0.184 1.833  -0.092 1.769  -0.028 1.676  -0.028 1.519  -0.028 1.362  -0.028 1.205  0.065 1.141  0.129 1.048  0.129 0.891  0.129 0.734  0.129 0.577  0.129 0.420  0.129 0.263  0.129 0.106  0.129 -0.051  0.129 -0.208  0.129 -0.365  0.129 -0.522  0.129 -0.679  0.129 -0.836  0.129 -0.993  0.129 -1.150  0.129 -1.307  0.225 -1.369  0.223 -1.297  0.120 -1.178  0.016 -1.060  -0.087 -0.942  -0.190 -0.824  -0.294 -0.706  -0.397 -0.588  -0.500 -0.469  -0.604 -0.351  -0.707 -0.233  -0.811 -0.115  -0.657 -0.114  -0.655 -0.269  -0.500 -0.270  -0.343 -0.270  -0.186 -0.270  -0.029 -0.270  0.128 -0.270  0.285 -0.270  0.442 -0.270  0.600 -0.270  0.757 -0.270  0.914 -0.270  1.071 -0.270
3#apa#apa01#app0194/h  -0.775 1.867  -0.775 1.734  -0.775 1.602  -0.744 1.500  -0.653 1.459  -0.653 1.327  -0.609 1.213  -0.531 1.113  -0.508 0.990  -0.415 0.896  -0.409 0.766  -0.409 0.634  -0.409 0.502  -0.409 0.369  -0.409 0.237  -0.409 0.105  -0.409 -0.028  -0.375 -0.152  -0.316 -0.270  -0.287 -0.396  -0.287 -0.528  -0.287 -0.660  -0.287 -0.793  -0.287 -0.925  -0.287 -1.057  -0.165 -1.056  -0.165 -0.924  -0.146 -0.799  -0.052 -0.706  -0.043 -0.578  -0.038 -0.447  0.056 -0.354  0.080 -0.231  0.080 -0.099  0.199 -0.086  0.209 0.036  0.341 0.036  0.474 0.036  0.595 0.009  0.688 -0.084  0.782 -0.178  0.875 -0.272  0.934 -0.380  0.934 -0.512  0.934 -0.644  0.934 -0.777  0.934 -0.909  1.035 -0.940  1.056 -0.828  1.178 -0.818
3#apa#apa01#app0194/e  -0.788 -0.129  -0.788 -0.305  -0.624 -0.316  -0.448 -0.316  -0.272 -0.316  -0.135 -0.223  0.002 -0.129  0.169 -0.107  0.293 0.017  0.417 0.141  0.550 0.245  0.707 0.263  0.707 0.439  0.707 0.615  0.707 0.790  0.707 0.966  0.707 1.142  0.569 1.179  0.393 1.179  0.217 1.179  0.041 1.179  -0.134 1.179  -0.227 1.096  -0.299 0.992  -0.414 0.932  -0.463 0.805  -0.601 0.767  -0.601 0.592  -0.617 0.431  -0.788 0.427  -0.788 0.251  -0.788 0.076  -0.788 -0.100  -0.788 -0.276  -0.788 -0.452  -0.664 -0.503  -0.601 -0.616  -0.529 -0.762  -0.401 -0.877  -0.226 -0.878  -0.101 -1.003  0.049 -1.064  0.225 -1.064  0.400 -1.064  0.576 -1.064  0.752 -1.064  0.928 -1.064  1.103 -1.064  1.279 -1.064  1.455 -1.064
3#apa#apa01#app0194/m  -1.493 0.492  -1.337 0.452  -1.257 0.336  -1.181 0.217  -1.068 0.067  -1.024 -0.111  -1.024 -0.307  -1.024 -0.503  -0.955 -0.670  -0.941 -0.758  -0.912 -0.758  -0.868 -0.606  -0.868 -0.409  -0.868 -0.213  -0.868 -0.017  -0.758 0.133  -0.712 0.310  -0.698 0.492  -0.556 0.546  -0.462 0.648  -0.266 0.648  -0.075 0.637  0.064 0.498  0.069 0.304  0.069 0.108  0.069 -0.088  0.069 -0.284  0.069 -0.480  0.144 -0.602  0.226 -0.487  0.226 -0.291  0.382 -0.251  0.382 -0.055  0.382 0.141  0.493 0.291  0.538 0.468  0.554 0.648  0.750 0.648  0.946 0.648  1.103 0.553  1.163 0.382  1.313 0.336  1.319 0.146  1.319 -0.050  1.319 -0.246  1.166 -0.289  1.163 -0.482  1.163 -0.678  1.280 -0.758  1.476 -0.758
3#apa#apa01#app0194/?  -0.072 -1.431  0.012 -1.454  0.058 -1.516  0.097 -1.584  0.097 -1.679  0.097 -1.572  0.097 -1.464  0.097 -1.357  0.097 -1.250  0.097 -1.142  0.097 -1.035  0.097 -0.927  0.097 -0.820  0.097 -0.712  0.033 -0.669  0.012 -0.582  -0.005 -0.482  -0.081 -0.406  -0.157 -0.330  -0.180 -0.245  -0.287 -0.245  -0.327 -0.177  -0.391 -0.097  -0.411 0.002  -0.400 0.105  -0.324 0.181  -0.248 0.257  -0.227 0.348  -0.120 0.348  -0.072 0.407  0.010 0.432  0.033 0.517  0.128 0.548  0.213 0.602  0.266 0.655  0.343 0.686  0.421 0.756  0.436 0.858  0.436 0.965  0.402 1.059  0.351 1.145  0.293 1.195  0.209 1.252  0.114 1.279  0.006 1.279  -0.101 1.279  -0.209 1.279  -0.316 1.279  -0.420 1.271  -0.496 1.195
3#apa#apa01#app0194/S  0.335 0.880  0.226 0.915  0.156 0.988  0.012 0.988  -0.023 1.097  -0.166 1.097  -0.310 1.097  -0.454 1.097  -0.597 1.097  -0.741 1.097  -0.776 0.988  -0.858 0.926  -0.858 0.783  -0.966 0.748  -0.966 0.604  -0.966 0.460  -0.945 0.337  -0.802 0.337  -0.685 0.273  -0.560 0.229  -0.416 0.229  -0.272 0.229  -0.129 0.229  -0.018 0.149  0.114 0.121  0.257 0.121  0.401 0.121  0.443 0.020  0.552 -0.016  0.615 -0.096  0.660 -0.194  0.786 -0.222  0.877 -0.328  0.913 -0.457  0.985 -0.571  0.985 -0.714  0.984 -0.857  0.882 -0.959  0.749 -0.984  0.642 -1.072  0.498 -1.072  0.355 -1.072  0.319 -1.181  0.176 -1.181  0.032 -1.181  -0.108 -1.172  -0.210 -1.072  -0.316 -1.034  -0.389 -0.964  -0.424 -0.855
3#apa#apa01#app0194/o  -0.915 0.557  -1.005 0.467  -1.094 0.378  -1.140 0.270  -1.140 0.143  -1.140 0.016  -1.140 -0.111  -1.140 -0.238  -1.124 -0.358  -1.034 -0.448  -0.944 -0.537  -0.830 -0.567  -0.703 -0.567  -0.609 -0.648  -0.520 -0.737  -0.415 -0.791  -0.288 -0.791  -0.162 -0.791  -0.035 -0.791  0.092 -0.791  0.219 -0.791  0.346 -0.791  0.473 -0.791  0.600 -0.791  0.726 -0.791  0.853 -0.791  0.883 -0.694  0.883 -0.567  0.883 -0.441  0.883 -0.314  0.883 -0.187  0.883 -0.060  0.883 0.067  0.883 0.194  0.883 0.321  0.802 0.414  0.712 0.503  0.658 0.608  0.658 0.735  0.578 0.782  0.451 0.782  0.433 0.891  0.422 1.007  0.296 1.007  0.169 1.007  0.042 1.007  -0.085 1.007  -0.212 1.007  -0.339 1.007  -0.466 1.007
3#apa#apa01#app0194/m  -1.400 0.589  -1.400 0.397  -1.362 0.242  -1.226 0.186  -1.151 0.068  -1.052 -0.025  -1.052 -0.217  -1.052 -0.409  -1.052 -0.304  -1.052 -0.112  -1.052 0.080  -1.052 0.273  -1.052 0.465  -0.984 0.589  -0.792 0.589  -0.600 0.589  -0.444 0.502  -0.308 0.366  -0.184 0.225  -0.184 0.033  -0.129 -0.105  -0.010 -0.178  -0.010 -0.370  -0.010 -0.563  -0.010 -0.755  0.137 -0.800  0.164 -0.635  0.164 -0.442  0.164 -0.250  0.212 -0.105  0.338 -0.039  0.338 0.153  0.441 0.242  0.511 0.364  0.511 0.556  0.670 0.589  0.689 0.763  0.881 0.763  1.032 0.722  1.032 0.530  1.032 0.337  1.032 0.145  1.032 -0.047  1.032 -0.240  1.032 -0.432  1.032 -0.624  1.044 -0.812  1.180 -0.948  1.361 -0.974  1.554 -0.974
3#apa#apa01#app0194/e  -0.596 -0.317  -0.430 -0.317  -0.374 -0.207  -0.319 -0.095  -0.153 -0.095  -0.152 0.069  -0.043 0.127  0.123 0.127  0.289 0.127  0.292 0.289  0.368 0.424  0.485 0.542  0.514 0.695  0.514 0.862  0.514 1.028  0.514 1.194  0.391 1.236  0.225 1.236  0.059 1.236  -0.107 1.236  -0.238 1.150  -0.355 1.033  -0.472 0.916  -0.590 0.798  -0.754 0.792  -0.818 0.690  -0.818 0.524  -0.818 0.358  -0.818 0.192  -0.818 0.026  -0.818 -0.140  -0.818 -0.306  -0.708 -0.426  -0.589 -0.539  -0.423 -0.539  -0.374 -0.656  -0.313 -0.761  -0.152 -0.766  -0.152 -0.932  -0.037 -0.983  0.129 -0.983  0.295 -0.983  0.461 -0.983  0.628 -0.983  0.794 -0.983  0.960 -0.983  1.126 -0.983  1.292 -0.983  1.458 -0.983  1.624 -0.983
3#apa#apa01#app0194/t  -0.277 2.040  -0.116 2.040  -0.075 1.920  -0.075 1.759  -0.075 1.597  -0.075 1.436  -0.075 1.275  0.043 1.231  0.127 1.154  0.127 0.993  0.127 0.831  0.127 0.670  0.179 0.521  0.251 0.377  0.323 0.232  0.330 0.073  0.330 -0.089  0.330 -0.250  0.330 -0.412  0.330 -0.573  0.330 -0.734  0.330 -0.896  0.330 -1.057  0.352 -1.196  0.513 -1.196  0.411 -1.121  0.274 -1.035  0.137 -0.949  0.001 -0.864  -0.136 -0.778  -0.273 -0.693  -0.410 -0.607  -0.547 -0.522  -0.684 -0.436  -0.820 -0.351  -0.957 -0.265  -1.077 -0.185  -0.916 -0.185  -0.755 -0.185  -0.593 -0.185  -0.432 -0.185  -0.272 -0.189  -0.158 -0.304  -0.032 -0.387  0.130 -0.387  0.291 -0.387  0.452 -0.387  0.614 -0.387  0.775 -0.387  0.936 -0.387
3#apa#apa01#app0194/h  -0.713 1.919  -0.713 1.789  -0.713 1.659  -0.629 1.564  -0.578 1.455  -0.525 1.378  -0.443 1.331  -0.443 1.201  -0.443 1.071  -0.443 0.941  -0.424 0.819  -0.332 0.727  -0.307 0.608  -0.307 0.478  -0.307 0.348  -0.307 0.218  -0.307 0.088  -0.307 -0.042  -0.307 -0.171  -0.307 -0.301  -0.307 -0.431  -0.307 -0.561  -0.307 -0.691  -0.307 -0.821  -0.286 -0.942  -0.194 -1.033  -0.172 -0.956  -0.172 -0.826  -0.172 -0.696  -0.089 -0.650  -0.037 -0.572  -0.037 -0.442  0.030 -0.379  0.098 -0.317  0.155 -0.244  0.233 -0.193  0.279 -0.109  0.409 -0.109  0.504 -0.144  0.534 -0.244  0.639 -0.269  0.658 -0.379  0.774 -0.393  0.780 -0.521  0.872 -0.612  0.964 -0.704  1.044 -0.801  1.044 -0.931  1.050 -1.055  1.179 -1.055
3#apa#apa01#app0194/i  -0.044 0.091  -0.044 -0.021  -0.040 -0.129  0.073 -0.129  0.176 -0.138  0.176 -0.250  0.176 -0.363  0.176 -0.475  0.176 -0.587  0.176 -0.700  0.191 -0.806  0.271 -0.885  0.350 -0.965  0.397 -1.058  0.397 -1.170  0.397 -1.282  0.397 -1.395  0.382 -1.399  0.351 -1.291  0.320 -1.183  0.289 -1.075  0.258 -0.967  0.227 -0.859  0.196 -0.751  0.166 -0.643  0.135 -0.535  0.104 -0.427  0.073 -0.319  0.042 -0.211  0.011 -0.103  -0.020 0.006  -0.050 0.114  -0.081 0.222  -0.112 0.330  -0.143 0.438  -0.174 0.546  -0.205 0.654  -0.236 0.762  -0.267 0.870  -0.297 0.978  -0.328 1.086  -0.359 1.194  -0.390 1.302  -0.421 1.410  -0.452 1.518  -0.483 1.626  -0.485 1.738  -0.485 1.850  -0.485 1.747  -0.485 1.634
3#apa#apa01#app0194/n  -0.973 -0.017  -0.973 -0.155  -0.918 -0.270  -0.820 -0.368  -0.776 -0.488  -0.776 -0.626  -0.776 -0.764  -0.681 -0.808  -0.578 -0.842  -0.578 -0.981  -0.578 -0.892  -0.578 -0.754  -0.578 -0.616  -0.578 -0.477  -0.578 -0.339  -0.588 -0.205  -0.685 -0.107  -0.776 -0.007  -0.776 0.131  -0.776 0.270  -0.776 0.408  -0.776 0.546  -0.668 0.576  -0.578 0.624  -0.578 0.763  -0.451 0.774  -0.313 0.774  -0.175 0.774  -0.037 0.774  0.101 0.774  0.240 0.774  0.378 0.774  0.516 0.774  0.654 0.774  0.792 0.774  0.806 0.649  0.852 0.530  0.949 0.432  1.003 0.317  1.003 0.178  1.003 0.040  1.003 -0.098  1.025 -0.215  1.163 -0.215  1.201 -0.315  1.201 -0.453  1.201 -0.591  1.201 -0.729  1.201 -0.867  1.201 -1.005
3#apa#apa01#app0194/g  0.127 0.961  0.011 0.981  -0.029 1.077  -0.165 1.077  -0.301 1.077  -0.407 1.005  -0.525 0.961  -0.661 0.961  -0.683 0.847  -0.799 0.827  -0.799 0.691  -0.757 0.573  -0.652 0.498  -0.531 0.462  -0.429 0.383  -0.293 0.383  -0.220 0.446  -0.137 0.498  -0.001 0.498  0.019 0.614  0.127 0.643  0.127 0.778  0.196 0.845  0.242 0.756  0.242 0.620  0.256 0.498  0.358 0.464  0.358 0.328  0.411 0.214  0.474 0.105  0.474 -0.031  0.513 -0.158  0.573 -0.279  0.589 -0.411  0.589 -0.547  0.589 -0.683  0.589 -0.819  0.589 -0.955  0.589 -1.091  0.515 -1.196  0.419 -1.292  0.308 -1.352  0.193 -1.402  0.084 -1.468  -0.052 -1.468  -0.187 -1.468  -0.293 -1.395  -0.411 -1.352  -0.547 -1.352  -0.683 -1.352
3#apa#apa01#app0194/l  -0.602 1.234  -0.520 1.234  -0.461 1.210  -0.461 1.128  -0.414 1.094  -0.331 1.094  -0.321 1.165  -0.308 1.234  -0.225 1.234  -0.180 1.197  -0.180 1.115  -0.180 1.033  -0.178 0.953  -0.096 0.953  -0.039 0.927  -0.039 0.845  -0.039 0.762  -0.039 0.680  -0.039 0.598  -0.039 0.516  -0.039 0.434  -0.039 0.351  -0.039 0.269  -0.039 0.187  -0.039 0.105  -0.039 0.023  -0.027 -0.056  0.010 -0.130  0.047 -0.203  0.083 -0.277  0.101 -0.355  0.101 -0.437  0.101 -0.519  0.101 -0.602  0.101 -0.684  0.101 -0.766  0.101 -0.848  0.141 -0.914  0.199 -0.972  0.242 -1.037  0.242 -1.119  0.242 -1.201  0.242 -1.283  0.311 -1.296  0.382 -1.307  0.382 -1.389  0.382 -1.471  0.382 -1.553  0.441 -1.577  0.523 -1.577
3#apa#apa01#app0194/i  0.100 -0.032  0.100 -0.135  0.100 -0.238  0.100 -0.341  0.100 -0.444  0.100 -0.548  0.100 -0.651  0.100 -0.754  0.100 -0.857  0.100 -0.961  0.100 -1.064  0.100 -1.167  0.100 -1.270  0.100 -1.373  0.198 -1.379  0.291 -1.370  0.272 -1.269  0.253 -1.167  0.234 -1.066  0.215 -0.965  0.196 -0.863  0.177 -0.762  0.158 -0.660  0.139 -0.559  0.120 -0.457  0.101 -0.356  0.082 -0.254  0.063 -0.153  0.044 -0.052  0.025 0.050  0.006 0.151  -0.013 0.253  -0.032 0.354  -0.051 0.456  -0.070 0.557  -0.089 0.659  -0.108 0.760  -0.127 0.862  -0.146 0.963  -0.165 1.064  -0.184 1.166  -0.204 1.267  -0.223 1.369  -0.242 1.470  -0.261 1.572  -0.280 1.673  -0.360 1.701  -0.463 1.701  -0.477 1.611  -0.477 1.508
