1c#app#app32#app3202/w  -0.303 0.192  -0.285 0.385  -0.144 0.526  -0.130 0.716  -0.303 0.743  -0.303 0.943  -0.303 1.142  -0.303 1.342  -0.303 1.541  -0.303 1.439  -0.303 1.239  -0.303 1.040  -0.303 0.840  -0.303 0.641  -0.303 0.441  -0.303 0.242  -0.303 0.043  -0.426 -0.106  -0.477 -0.284  -0.477 -0.483  -0.479 -0.681  -0.652 -0.708  -0.652 -0.907  -0.652 -1.107  -0.652 -1.104  -0.526 -1.030  -0.477 -0.879  -0.476 -0.681  -0.303 -0.655  -0.303 -0.456  -0.303 -0.407  -0.303 -0.606  -0.303 -0.806  -0.303 -1.005  -0.128 -1.030  0.071 -1.030  0.256 -0.995  0.397 -0.854  0.538 -0.713  0.679 -0.572  0.745 -0.400  0.804 -0.214  0.893 -0.036  1.018 0.116  1.095 0.284  1.147 0.471  1.236 0.650  1.269 0.841  1.269 1.041  1.269 0.891
1c#app#app32#app3202/i  0.143 0.321  0.143 0.204  0.105 0.103  0.022 0.020  -0.037 -0.073  -0.037 -0.190  -0.037 -0.306  -0.037 -0.423  -0.037 -0.540  -0.037 -0.657  -0.037 -0.774  -0.037 -0.891  -0.037 -1.008  -0.037 -1.125  -0.037 -1.242  -0.037 -1.359  -0.037 -1.475  0.078 -1.478  0.140 -1.426  0.133 -1.309  0.126 -1.192  0.120 -1.076  0.113 -0.959  0.106 -0.842  0.099 -0.726  0.092 -0.609  0.085 -0.492  0.078 -0.375  0.072 -0.259  0.065 -0.142  0.058 -0.025  0.051 0.091  0.044 0.208  0.037 0.325  0.030 0.441  0.024 0.558  0.017 0.675  0.010 0.792  0.003 0.908  -0.004 1.025  -0.011 1.142  -0.018 1.258  -0.025 1.375  -0.031 1.492  -0.066 1.579  -0.183 1.579  -0.275 1.638  -0.358 1.721  -0.333 1.759  -0.216 1.759
1c#app#app32#app3202/d  0.199 -0.013  0.062 0.123  -0.080 0.246  -0.273 0.246  -0.450 0.181  -0.579 0.068  -0.658 -0.092  -0.763 -0.251  -0.856 -0.419  -0.968 -0.566  -0.968 -0.759  -0.968 -0.952  -0.968 -1.145  -0.940 -1.310  -0.748 -1.310  -0.555 -1.310  -0.362 -1.310  -0.305 -1.165  -0.168 -1.028  -0.061 -0.880  -0.014 -0.698  0.074 -0.527  0.199 -0.386  0.199 -0.193  0.300 -0.042  0.328 0.139  0.328 0.332  0.337 0.523  0.424 0.696  0.458 0.881  0.458 1.074  0.458 1.267  0.458 1.459  0.458 1.652  0.458 1.759  0.458 1.566  0.458 1.374  0.412 1.191  0.328 1.018  0.328 0.825  0.328 0.632  0.328 0.439  0.328 0.246  0.328 0.054  0.328 -0.139  0.328 -0.332  0.328 -0.525  0.328 -0.718  0.413 -0.876  0.458 -1.050
1c#app#app32#app3202/f  1.337 1.408  1.218 1.527  1.065 1.561  0.898 1.561  0.731 1.561  0.612 1.445  0.494 1.327  0.376 1.209  0.271 1.085  0.247 0.928  0.129 0.810  0.011 0.692  -0.034 0.543  -0.034 0.376  -0.034 0.209  -0.034 0.042  -0.149 -0.077  -0.186 -0.229  -0.186 -0.396  -0.186 -0.563  -0.186 -0.731  -0.186 -0.898  -0.149 -1.028  -0.034 -1.080  0.013 -1.227  0.137 -1.332  0.246 -1.310  0.120 -1.200  -0.006 -1.090  -0.131 -0.980  -0.257 -0.870  -0.383 -0.760  -0.509 -0.650  -0.634 -0.540  -0.760 -0.430  -0.886 -0.320  -0.947 -0.352  -0.847 -0.419  -0.680 -0.419  -0.643 -0.289  -0.643 -0.121  -0.485 -0.109  -0.367 0.009  -0.212 0.038  -0.086 0.138  0.059 0.190  0.226 0.190  0.393 0.190  0.560 0.190  0.728 0.190
1c#app#app32#app3202/i  0.059 -0.098  0.059 -0.207  0.042 -0.298  -0.066 -0.298  -0.141 -0.332  -0.141 -0.440  -0.141 -0.549  -0.141 -0.657  -0.141 -0.766  -0.141 -0.874  -0.141 -0.983  -0.141 -1.091  -0.141 -1.200  -0.141 -1.308  -0.141 -1.417  -0.138 -1.474  -0.122 -1.366  -0.107 -1.259  -0.092 -1.152  -0.076 -1.044  -0.061 -0.937  -0.046 -0.829  -0.030 -0.722  -0.015 -0.615  0.000 -0.507  0.016 -0.400  0.031 -0.292  0.046 -0.185  0.062 -0.077  0.077 0.030  0.092 0.137  0.108 0.245  0.123 0.352  0.138 0.460  0.154 0.567  0.169 0.674  0.185 0.782  0.200 0.889  0.215 0.997  0.231 1.104  0.246 1.211  0.243 1.303  0.135 1.303  0.059 1.336  0.059 1.444  0.024 1.538  -0.053 1.615  -0.129 1.692  -0.141 1.795  -0.141 1.904
1c#app#app32#app3202/g  0.620 1.028  0.491 1.028  0.361 1.028  0.246 1.062  0.154 1.154  0.042 1.198  -0.087 1.198  -0.217 1.198  -0.313 1.115  -0.406 1.028  -0.536 1.028  -0.570 0.932  -0.609 0.819  -0.701 0.727  -0.740 0.613  -0.716 0.494  -0.624 0.402  -0.517 0.348  -0.387 0.348  -0.258 0.348  -0.158 0.275  -0.066 0.184  0.061 0.177  0.191 0.177  0.321 0.177  0.450 0.177  0.580 0.177  0.710 0.177  0.790 0.129  0.790 -0.001  0.790 -0.131  0.721 -0.232  0.629 -0.324  0.620 -0.450  0.552 -0.537  0.436 -0.595  0.320 -0.653  0.220 -0.733  0.128 -0.825  0.110 -0.947  0.046 -1.013  -0.077 -1.030  -0.168 -1.121  -0.230 -1.226  -0.232 -1.353  -0.362 -1.353  -0.465 -1.418  -0.556 -1.510  -0.648 -1.601  -0.740 -1.693
1c#app#app32#app3202/u  -0.976 1.026  -0.976 0.882  -0.976 0.739  -0.988 0.601  -1.089 0.499  -1.183 0.395  -1.183 0.252  -1.183 0.108  -1.183 -0.035  -1.183 -0.178  -1.183 -0.321  -1.183 -0.465  -1.183 -0.608  -1.073 -0.683  -0.945 -0.747  -0.816 -0.811  -0.679 -0.835  -0.543 -0.816  -0.442 -0.714  -0.335 -0.628  -0.191 -0.628  -0.078 -0.557  0.024 -0.455  0.153 -0.421  0.287 -0.399  0.388 -0.298  0.471 -0.189  0.471 -0.045  0.577 -0.008  0.697 0.030  0.761 0.158  0.825 0.286  0.885 0.415  0.885 0.559  0.974 0.612  1.091 0.638  1.091 0.782  0.986 0.819  0.855 0.789  0.753 0.688  0.678 0.576  0.678 0.432  0.678 0.289  0.678 0.146  0.678 0.003  0.678 -0.141  0.727 -0.264  0.828 -0.365  0.885 -0.485  0.885 -0.628
1c#app#app32#app3202/r  -0.498 -0.919  -0.498 -1.015  -0.498 -1.111  -0.498 -1.207  -0.593 -1.209  -0.689 -1.209  -0.785 -1.209  -0.788 -1.116  -0.788 -1.020  -0.788 -0.924  -0.697 -0.919  -0.601 -0.919  -0.505 -0.919  -0.498 -0.829  -0.498 -0.733  -0.498 -0.637  -0.436 -0.567  -0.368 -0.499  -0.300 -0.431  -0.233 -0.363  -0.209 -0.277  -0.209 -0.181  -0.209 -0.085  -0.209 0.011  -0.209 0.107  -0.209 0.203  -0.150 0.240  -0.054 0.240  0.042 0.240  0.081 0.297  0.081 0.393  0.081 0.489  0.120 0.569  0.188 0.637  0.256 0.705  0.324 0.773  0.401 0.819  0.497 0.819  0.593 0.819  0.660 0.848  0.660 0.944  0.660 1.040  0.687 1.109  0.783 1.109  0.880 1.109  0.968 1.091  1.036 1.023  1.104 0.955  1.172 0.887  1.240 0.819
1c#app#app32#app3202/e  -0.260 -0.325  -0.260 -0.174  -0.260 -0.023  -0.260 0.129  -0.176 0.245  -0.069 0.352  0.061 0.405  0.212 0.405  0.323 0.501  0.430 0.608  0.565 0.648  0.713 0.652  0.713 0.803  0.713 0.954  0.713 1.106  0.590 1.134  0.439 1.134  0.288 1.134  0.136 1.134  -0.015 1.134  -0.166 1.134  -0.260 1.077  -0.260 0.926  -0.343 0.808  -0.450 0.701  -0.503 0.572  -0.503 0.421  -0.599 0.309  -0.706 0.202  -0.747 0.068  -0.747 -0.084  -0.747 -0.235  -0.747 -0.387  -0.747 -0.538  -0.626 -0.569  -0.503 -0.597  -0.503 -0.749  -0.415 -0.812  -0.264 -0.812  -0.156 -0.916  -0.049 -1.023  0.058 -1.130  0.165 -1.237  0.291 -1.298  0.443 -1.298  0.594 -1.298  0.746 -1.298  0.897 -1.298  1.048 -1.298  1.200 -1.298
1c#app#app32#app3202/l  0.478 1.610  0.427 1.558  0.375 1.506  0.338 1.448  0.338 1.375  0.318 1.310  0.267 1.258  0.215 1.207  0.199 1.140  0.199 1.067  0.199 0.994  0.199 0.921  0.199 0.848  0.199 0.774  0.199 0.701  0.196 0.629  0.145 0.577  0.093 0.525  0.059 0.466  0.059 0.393  0.059 0.320  0.059 0.247  0.042 0.177  0.009 0.112  -0.024 0.047  -0.056 -0.019  -0.081 -0.086  -0.081 -0.159  -0.081 -0.233  -0.081 -0.306  -0.081 -0.379  -0.081 -0.452  -0.093 -0.524  -0.116 -0.593  -0.139 -0.662  -0.162 -0.732  -0.186 -0.801  -0.209 -0.871  -0.221 -0.942  -0.221 -1.015  -0.221 -1.088  -0.221 -1.162  -0.221 -1.235  -0.221 -1.308  -0.275 -1.327  -0.348 -1.327  -0.361 -1.388  -0.361 -1.461  -0.361 -1.534  -0.361 -1.607
1c#app#app32#app3202/e  -1.155 -0.322  -0.986 -0.322  -0.817 -0.322  -0.648 -0.322  -0.479 -0.322  -0.309 -0.322  -0.140 -0.322  0.029 -0.322  0.198 -0.322  0.349 -0.278  0.469 -0.158  0.619 -0.113  0.788 -0.113  0.950 -0.095  1.069 0.025  1.209 0.095  1.348 0.125  1.348 0.295  1.348 0.464  1.263 0.598  1.144 0.717  1.024 0.837  0.893 0.930  0.724 0.930  0.555 0.930  0.386 0.930  0.217 0.930  0.048 0.930  -0.119 0.923  -0.238 0.804  -0.373 0.721  -0.529 0.708  -0.529 0.539  -0.672 0.513  -0.738 0.409  -0.783 0.259  -0.903 0.139  -0.947 -0.012  -0.947 -0.181  -0.947 -0.350  -0.947 -0.519  -0.835 -0.642  -0.715 -0.762  -0.596 -0.881  -0.476 -1.001  -0.357 -1.121  -0.202 -1.156  -0.033 -1.156  0.136 -1.156  0.305 -1.156
1c#app#app32#app3202/a  0.603 0.378  0.401 0.378  0.208 0.401  0.066 0.543  -0.077 0.686  -0.220 0.829  -0.363 0.972  -0.506 1.115  -0.706 1.120  -0.883 1.095  -0.883 0.893  -0.941 0.749  -1.143 0.749  -1.254 0.658  -1.254 0.456  -1.167 0.290  -1.024 0.147  -0.883 0.004  -0.883 -0.198  -0.848 -0.365  -0.646 -0.365  -0.444 -0.365  -0.242 -0.365  -0.140 -0.265  -0.140 -0.063  -0.007 0.006  0.195 0.006  0.231 0.172  0.231 0.374  0.430 0.378  0.603 0.406  0.603 0.608  0.603 0.687  0.603 0.485  0.603 0.283  0.603 0.081  0.603 -0.121  0.603 -0.323  0.443 -0.365  0.241 -0.365  0.231 -0.558  0.248 -0.753  0.391 -0.896  0.534 -1.039  0.603 -1.212  0.603 -1.414  0.740 -1.480  0.942 -1.480  1.144 -1.480  1.346 -1.480
1c#app#app32#app3202/n  -0.174 0.901  -0.174 0.728  -0.238 0.620  -0.410 0.620  -0.545 0.529  -0.667 0.407  -0.789 0.285  -0.911 0.163  -1.017 0.035  -1.017 -0.138  -1.017 -0.310  -1.017 -0.483  -1.017 -0.656  -0.987 -0.756  -0.865 -0.634  -0.743 -0.512  -0.574 -0.505  -0.455 -0.451  -0.455 -0.279  -0.455 -0.106  -0.449 0.064  -0.327 0.186  -0.205 0.308  -0.174 0.467  -0.154 0.620  0.019 0.620  0.167 0.679  0.289 0.801  0.389 0.932  0.389 1.105  0.484 1.182  0.657 1.182  0.670 1.023  0.670 0.850  0.670 0.677  0.670 0.505  0.670 0.332  0.670 0.160  0.670 -0.013  0.670 -0.185  0.670 -0.358  0.670 -0.530  0.670 -0.703  0.670 -0.875  0.670 -1.048  0.670 -1.220  0.670 -1.393  0.670 -1.566  0.778 -1.630  0.951 -1.630
1c#app#app32#app3202/e  -0.923 -0.407  -0.724 -0.407  -0.659 -0.274  -0.659 -0.076  -0.657 0.121  -0.459 0.121  -0.260 0.121  -0.062 0.121  0.136 0.121  0.335 0.121  0.533 0.121  0.731 0.121  0.924 0.126  0.924 0.324  1.062 0.385  1.188 0.457  1.188 0.655  1.188 0.854  1.090 1.011  0.949 1.151  0.761 1.176  0.592 1.107  0.451 0.967  0.276 0.912  0.077 0.912  -0.121 0.912  -0.131 0.724  -0.254 0.649  -0.395 0.591  -0.395 0.393  -0.585 0.385  -0.659 0.260  -0.718 0.121  -0.916 0.121  -0.923 -0.071  -0.923 -0.269  -0.923 -0.467  -0.923 -0.666  -0.729 -0.671  -0.659 -0.798  -0.597 -0.935  -0.398 -0.935  -0.200 -0.935  -0.131 -1.064  -0.067 -1.198  0.131 -1.198  0.329 -1.198  0.528 -1.198  0.726 -1.198  0.924 -1.198
1c#app#app32#app3202/d  -0.538 -0.208  -0.711 -0.208  -0.884 -0.208  -1.008 -0.328  -1.122 -0.453  -1.122 -0.626  -1.034 -0.763  -0.877 -0.802  -0.748 -0.908  -0.575 -0.908  -0.442 -0.812  -0.320 -0.690  -0.164 -0.650  -0.072 -0.515  -0.027 -0.353  0.045 -0.197  0.092 -0.044  0.161 0.100  0.161 0.273  0.161 0.446  0.161 0.619  0.209 0.772  0.278 0.916  0.278 1.089  0.278 1.262  0.278 1.435  0.278 1.608  0.161 1.651  0.117 1.497  0.045 1.354  0.005 1.188  -0.050 1.024  -0.072 0.854  -0.072 0.681  -0.072 0.509  -0.072 0.336  -0.072 0.163  0.035 0.034  0.045 -0.135  0.045 -0.307  0.114 -0.464  0.209 -0.606  0.331 -0.728  0.464 -0.838  0.608 -0.934  0.753 -1.025  0.926 -1.025  1.099 -1.025  1.271 -1.025  1.444 -1.025
1c#app#app32#app3202/o  1.106 0.419  0.930 0.419  0.755 0.419  0.579 0.419  0.403 0.419  0.228 0.419  0.052 0.419  -0.124 0.419  -0.139 0.258  -0.156 0.090  -0.281 -0.034  -0.405 -0.159  -0.562 -0.204  -0.737 -0.204  -0.761 -0.356  -0.761 -0.531  -0.761 -0.707  -0.761 -0.883  -0.761 -1.058  -0.665 -1.137  -0.489 -1.137  -0.450 -1.274  -0.449 -1.449  -0.273 -1.449  -0.110 -1.420  0.014 -1.295  0.139 -1.171  0.263 -1.047  0.387 -0.923  0.484 -0.787  0.484 -0.611  0.484 -0.436  0.484 -0.260  0.484 -0.084  0.484 0.091  0.484 0.267  0.484 0.443  0.484 0.618  0.484 0.794  0.484 0.969  0.410 1.115  0.286 1.239  0.157 1.352  -0.019 1.352  -0.194 1.352  -0.370 1.352  -0.450 1.257  -0.450 1.081  -0.450 0.905  -0.450 0.730
1c#app#app32#app3202/u  -0.937 0.733  -0.761 0.733  -0.725 0.872  -0.725 1.048  -0.725 1.092  -0.725 0.917  -0.725 0.741  -0.844 0.614  -0.937 0.477  -0.937 0.301  -0.937 0.126  -0.937 -0.050  -0.937 -0.226  -0.864 -0.329  -0.689 -0.329  -0.513 -0.329  -0.337 -0.329  -0.300 -0.191  -0.228 -0.045  -0.103 0.080  0.066 0.096  0.125 0.212  0.196 0.344  0.354 0.423  0.511 0.501  0.550 0.653  0.550 0.829  0.609 0.946  0.741 0.946  0.565 0.946  0.550 0.785  0.495 0.622  0.416 0.465  0.338 0.308  0.338 0.132  0.239 -0.003  0.125 -0.132  0.125 -0.308  0.125 -0.483  0.125 -0.659  0.125 -0.835  0.157 -0.998  0.281 -1.122  0.405 -1.246  0.530 -1.371  0.697 -1.391  0.873 -1.391  1.049 -1.391  1.224 -1.391  1.400 -1.391
1c#app#app32#app3202/t  0.135 1.086  0.135 1.267  0.135 1.448  0.042 1.591  -0.003 1.753  -0.003 1.614  -0.003 1.433  -0.003 1.252  -0.003 1.071  -0.003 0.890  -0.003 0.709  -0.068 0.543  -0.141 0.379  -0.141 0.198  -0.141 0.017  -0.141 -0.164  -0.141 -0.345  -0.097 -0.516  -0.016 -0.678  -0.003 -0.856  -0.003 -1.037  -0.003 -1.218  -0.003 -1.399  -0.003 -1.580  0.092 -1.666  0.134 -1.803  0.094 -1.627  0.053 -1.451  0.012 -1.274  -0.028 -1.098  -0.069 -0.921  -0.110 -0.745  -0.151 -0.568  -0.191 -0.392  -0.232 -0.216  -0.273 -0.039  -0.278 0.141  -0.340 0.260  -0.521 0.260  -0.680 0.260  -0.499 0.260  -0.318 0.260  -0.137 0.260  0.039 0.282  0.201 0.363  0.374 0.398  0.555 0.398  0.736 0.398  0.917 0.398  1.098 0.398
