3#apb#apb38#app3883/K  -0.054 0.694  -0.287 0.519  -0.500 0.313  -0.756 0.162  -0.834 0.232  -0.633 0.449  -0.406 0.641  -0.176 0.829  0.061 1.006  0.320 1.151  0.600 1.243  0.812 1.116  0.726 0.837  0.566 0.587  0.380 0.356  0.186 0.132  -0.027 -0.075  -0.239 -0.283  -0.452 -0.490  -0.660 -0.702  -0.863 -0.918  -1.061 -1.139  -1.267 -1.352  -1.172 -1.291  -0.958 -1.084  -0.745 -0.878  -0.531 -0.672  -0.318 -0.466  -0.104 -0.259  0.109 -0.053  0.323 0.153  0.536 0.360  0.750 0.566  0.963 0.772  1.177 0.978  1.181 1.087  0.994 0.858  0.800 0.635  0.581 0.434  0.350 0.249  0.096 0.097  -0.177 -0.016  -0.447 -0.070  -0.181 -0.194  0.049 -0.380  0.183 -0.643  0.254 -0.930  0.279 -1.226  0.273 -1.522  0.299 -1.814
3#apb#apb38#app3883/o  0.175 0.718  0.061 0.763  -0.082 0.733  -0.198 0.642  -0.314 0.550  -0.409 0.437  -0.505 0.324  -0.600 0.211  -0.681 0.088  -0.761 -0.037  -0.841 -0.161  -0.908 -0.291  -0.944 -0.434  -0.980 -0.578  -1.000 -0.722  -0.989 -0.870  -0.978 -1.017  -0.847 -1.078  -0.710 -1.135  -0.567 -1.157  -0.419 -1.157  -0.271 -1.157  -0.124 -1.157  0.003 -1.082  0.129 -1.005  0.255 -0.928  0.376 -0.845  0.470 -0.731  0.563 -0.616  0.656 -0.501  0.730 -0.376  0.777 -0.236  0.823 -0.095  0.870 0.045  0.904 0.189  0.937 0.333  0.927 0.475  0.883 0.616  0.839 0.757  0.769 0.885  0.675 0.999  0.582 1.113  0.442 1.157  0.299 1.196  0.169 1.137  0.040 1.065  -0.020 0.930  -0.076 0.793  -0.116 0.651  -0.013 0.557
3#apb#apb38#app3883/n  -1.979 -0.841  -1.892 -0.787  -1.773 -0.684  -1.644 -0.593  -1.515 -0.504  -1.397 -0.399  -1.283 -0.291  -1.166 -0.186  -1.036 -0.097  -0.905 -0.009  -0.775 0.080  -0.639 0.158  -0.501 0.236  -0.364 0.314  -0.228 0.393  -0.092 0.471  0.049 0.541  0.192 0.608  0.348 0.627  0.372 0.479  0.340 0.325  0.259 0.190  0.174 0.058  0.075 -0.064  -0.025 -0.186  -0.116 -0.315  -0.204 -0.445  -0.274 -0.586  -0.258 -0.570  -0.134 -0.473  -0.016 -0.369  0.102 -0.265  0.219 -0.159  0.336 -0.054  0.451 0.054  0.562 0.165  0.674 0.277  0.787 0.386  0.912 0.482  1.037 0.578  1.186 0.621  1.341 0.644  1.335 0.510  1.262 0.373  1.176 0.241  1.098 0.104  1.024 -0.035  0.971 -0.182  0.945 -0.335  0.991 -0.486
3#apb#apb38#app3883/a  0.759 0.540  0.884 0.637  0.925 0.801  0.931 0.970  0.789 0.997  0.630 0.938  0.468 0.893  0.302 0.860  0.136 0.826  -0.011 0.743  -0.158 0.658  -0.304 0.573  -0.444 0.480  -0.567 0.364  -0.690 0.248  -0.813 0.132  -0.933 0.013  -1.025 -0.129  -1.117 -0.271  -1.209 -0.413  -1.255 -0.572  -1.279 -0.739  -1.279 -0.904  -1.216 -1.061  -1.103 -1.145  -0.934 -1.145  -0.783 -1.078  -0.637 -0.992  -0.492 -0.907  -0.359 -0.804  -0.243 -0.681  -0.127 -0.558  -0.011 -0.434  0.104 -0.311  0.220 -0.187  0.335 -0.064  0.449 0.061  0.538 0.205  0.627 0.349  0.712 0.495  0.795 0.643  0.857 0.654  0.812 0.491  0.774 0.326  0.736 0.161  0.762 -0.004  0.797 -0.170  0.838 -0.334  0.884 -0.497  0.931 -0.659
3#apb#apb38#app3883/l  -1.095 -1.468  -0.993 -1.372  -0.879 -1.287  -0.770 -1.196  -0.676 -1.090  -0.585 -0.981  -0.494 -0.872  -0.404 -0.762  -0.314 -0.652  -0.232 -0.536  -0.154 -0.417  -0.076 -0.298  0.009 -0.185  0.100 -0.076  0.191 0.033  0.270 0.150  0.337 0.276  0.404 0.401  0.471 0.526  0.536 0.653  0.602 0.779  0.665 0.906  0.708 1.041  0.752 1.176  0.789 1.313  0.799 1.454  0.690 1.462  0.581 1.375  0.481 1.275  0.388 1.168  0.300 1.056  0.212 0.944  0.134 0.826  0.059 0.705  -0.015 0.584  -0.088 0.462  -0.149 0.333  -0.209 0.205  -0.270 0.076  -0.313 -0.057  -0.327 -0.198  -0.341 -0.340  -0.340 -0.480  -0.302 -0.617  -0.264 -0.754  -0.202 -0.880  -0.130 -1.003  -0.058 -1.126  0.048 -1.220  0.155 -1.313
3#apb#apb38#app3883/d  -0.462 -0.516  -0.585 -0.559  -0.702 -0.650  -0.821 -0.739  -0.941 -0.825  -1.039 -0.936  -1.120 -1.059  -1.127 -1.191  -0.982 -1.186  -0.842 -1.135  -0.710 -1.068  -0.597 -0.975  -0.498 -0.865  -0.398 -0.755  -0.298 -0.644  -0.203 -0.531  -0.115 -0.411  -0.028 -0.291  0.047 -0.163  0.121 -0.034  0.191 0.097  0.251 0.233  0.310 0.369  0.370 0.505  0.423 0.644  0.474 0.783  0.524 0.923  0.574 1.063  0.616 1.205  0.658 1.348  0.694 1.492  0.708 1.587  0.664 1.445  0.612 1.306  0.559 1.167  0.506 1.028  0.459 0.887  0.412 0.747  0.365 0.606  0.318 0.465  0.286 0.320  0.255 0.175  0.223 0.029  0.192 -0.116  0.168 -0.262  0.145 -0.409  0.121 -0.556  0.098 -0.702  0.075 -0.849  0.052 -0.996
3#apb#apb38#app3883/N  -0.316 0.897  -0.352 0.722  -0.454 0.482  -0.594 0.267  -0.775 0.080  -1.003 -0.025  -0.967 0.192  -0.794 0.386  -0.599 0.557  -0.383 0.703  -0.151 0.821  0.086 0.929  0.327 0.945  0.374 0.701  0.319 0.447  0.241 0.200  0.149 -0.044  0.029 -0.274  -0.098 -0.502  -0.247 -0.715  -0.419 -0.909  -0.614 -1.080  -0.829 -1.227  -1.015 -1.240  -0.896 -1.011  -0.751 -0.795  -0.601 -0.583  -0.449 -0.371  -0.297 -0.160  -0.142 0.050  0.013 0.258  0.174 0.463  0.347 0.657  0.523 0.849  0.735 1.000  0.954 1.139  1.193 1.222  1.241 1.016  1.150 0.773  1.034 0.540  0.912 0.310  0.790 0.080  0.670 -0.151  0.558 -0.386  0.445 -0.621  0.330 -0.854  0.209 -1.084  0.088 -1.315  -0.019 -1.552  -0.122 -1.791
3#apb#apb38#app3883/e  -1.446 -0.188  -1.363 -0.306  -1.205 -0.322  -1.047 -0.322  -0.895 -0.290  -0.750 -0.225  -0.606 -0.158  -0.474 -0.070  -0.342 0.018  -0.221 0.119  -0.108 0.231  0.004 0.343  0.110 0.461  0.180 0.593  0.180 0.751  0.100 0.881  -0.034 0.954  -0.176 0.934  -0.310 0.849  -0.424 0.738  -0.536 0.626  -0.630 0.500  -0.711 0.363  -0.779 0.223  -0.795 0.065  -0.811 -0.093  -0.780 -0.246  -0.734 -0.398  -0.674 -0.542  -0.566 -0.658  -0.454 -0.769  -0.306 -0.826  -0.158 -0.884  -0.009 -0.855  0.141 -0.802  0.285 -0.737  0.425 -0.663  0.566 -0.589  0.690 -0.492  0.809 -0.386  0.927 -0.281  1.040 -0.170  1.153 -0.058  1.265 0.055  1.360 0.181  1.450 0.312  1.555 0.428  1.680 0.526  1.756 0.582  1.672 0.596
3#apb#apb38#app3883/w  -1.631 -0.310  -1.674 -0.435  -1.625 -0.573  -1.499 -0.643  -1.348 -0.632  -1.224 -0.552  -1.105 -0.460  -0.989 -0.363  -0.874 -0.265  -0.759 -0.167  -0.661 -0.052  -0.563 0.063  -0.470 0.182  -0.383 0.305  -0.324 0.440  -0.299 0.588  -0.366 0.534  -0.445 0.406  -0.522 0.276  -0.558 0.129  -0.593 -0.018  -0.597 -0.168  -0.547 -0.307  -0.426 -0.372  -0.279 -0.363  -0.138 -0.315  -0.014 -0.229  0.108 -0.141  0.228 -0.048  0.343 0.049  0.442 0.163  0.539 0.278  0.579 0.324  0.557 0.175  0.524 0.028  0.503 -0.121  0.530 -0.262  0.642 -0.349  0.788 -0.352  0.926 -0.298  1.041 -0.202  1.142 -0.090  1.224 0.037  1.299 0.168  1.370 0.301  1.434 0.437  1.467 0.582  1.437 0.730  1.419 0.879  1.370 1.015
3#apb#apb38#app3883/t  0.366 1.921  0.267 1.765  0.198 1.597  0.153 1.418  0.103 1.240  0.046 1.065  -0.011 0.889  -0.068 0.714  -0.128 0.539  -0.188 0.364  -0.247 0.190  -0.309 0.016  -0.371 -0.158  -0.434 -0.332  -0.491 -0.507  -0.531 -0.687  -0.571 -0.867  -0.576 -1.051  -0.537 -1.226  -0.422 -1.350  -0.241 -1.384  -0.065 -1.336  0.111 -1.280  0.286 -1.222  0.461 -1.163  0.618 -1.069  0.768 -0.961  0.922 -0.860  1.064 -0.745  1.031 -0.627  0.877 -0.525  0.723 -0.423  0.569 -0.321  0.415 -0.219  0.261 -0.118  0.108 -0.016  -0.046 0.086  -0.200 0.188  -0.354 0.290  -0.508 0.391  -0.662 0.493  -0.816 0.595  -0.840 0.563  -0.655 0.561  -0.471 0.551  -0.288 0.562  -0.105 0.591  0.077 0.613  0.262 0.620  0.446 0.626
3#apb#apb38#app3883/o  -0.221 0.534  -0.124 0.652  0.007 0.640  -0.043 0.523  -0.176 0.447  -0.297 0.354  -0.415 0.257  -0.530 0.156  -0.641 0.052  -0.753 -0.052  -0.857 -0.163  -0.934 -0.295  -1.012 -0.427  -1.086 -0.559  -1.101 -0.711  -1.083 -0.858  -1.019 -0.996  -0.946 -1.126  -0.804 -1.183  -0.664 -1.193  -0.527 -1.124  -0.396 -1.049  -0.283 -0.946  -0.170 -0.842  -0.068 -0.730  0.028 -0.611  0.086 -0.475  0.107 -0.324  0.119 -0.172  0.096 -0.021  0.070 0.129  0.025 0.275  -0.020 0.421  -0.092 0.555  -0.197 0.619  -0.102 0.508  0.032 0.435  0.185 0.435  0.338 0.435  0.490 0.443  0.641 0.468  0.791 0.493  0.941 0.522  1.089 0.560  1.238 0.597  1.384 0.639  1.530 0.684  1.680 0.707  1.833 0.707  1.852 0.608
3#apb#apb38#app3883/n  -1.546 -0.036  -1.408 -0.006  -1.271 -0.028  -1.138 0.004  -1.005 0.052  -0.871 0.097  -0.742 0.156  -0.602 0.172  -0.555 0.072  -0.617 -0.053  -0.704 -0.165  -0.788 -0.280  -0.865 -0.399  -0.943 -0.517  -1.029 -0.629  -1.016 -0.614  -0.923 -0.507  -0.828 -0.402  -0.727 -0.302  -0.627 -0.202  -0.527 -0.102  -0.427 -0.001  -0.324 0.096  -0.207 0.176  -0.090 0.256  0.035 0.323  0.162 0.382  0.264 0.323  0.206 0.195  0.151 0.065  0.100 -0.068  0.057 -0.203  0.083 -0.334  0.184 -0.418  0.326 -0.418  0.459 -0.377  0.589 -0.320  0.714 -0.255  0.836 -0.182  0.957 -0.109  1.064 -0.016  1.172 0.077  1.277 0.172  1.379 0.269  1.482 0.367  1.566 0.481  1.650 0.595  1.686 0.731  1.701 0.870  1.682 1.011
