1c#app#app12#app1251/w  -0.833 1.021  -0.833 0.848  -0.883 0.725  -0.981 0.650  -0.981 0.477  -0.981 0.304  -0.981 0.131  -0.981 -0.042  -0.981 -0.215  -0.981 -0.388  -0.981 -0.561  -0.981 -0.734  -0.976 -0.902  -0.833 -0.932  -0.778 -1.050  -0.628 -0.993  -0.506 -0.871  -0.389 -0.747  -0.374 -0.577  -0.297 -0.422  -0.241 -0.263  -0.190 -0.111  -0.093 0.022  -0.093 0.195  -0.066 0.364  -0.011 0.528  0.044 0.692  0.055 0.863  0.203 0.888  0.203 0.981  0.203 0.808  0.203 0.635  0.203 0.462  0.203 0.289  0.203 0.116  0.233 -0.044  0.351 -0.168  0.373 -0.332  0.495 -0.455  0.666 -0.458  0.839 -0.458  1.012 -0.458  1.185 -0.458  1.238 -0.338  1.341 -0.208  1.463 -0.085  1.534 0.058  1.534 0.231  1.534 0.404  1.534 0.577
1c#app#app12#app1251/i  -0.563 1.575  -0.511 1.522  -0.459 1.470  -0.407 1.418  -0.355 1.366  -0.302 1.314  -0.250 1.262  -0.210 1.204  -0.210 1.131  -0.210 1.057  -0.210 0.983  -0.210 0.909  -0.210 0.835  -0.210 0.762  -0.210 0.688  -0.210 0.614  -0.210 0.540  -0.176 0.481  -0.123 0.429  -0.071 0.376  -0.019 0.324  0.033 0.272  0.085 0.220  0.138 0.168  0.143 0.096  0.143 0.022  0.143 -0.052  0.143 -0.125  0.143 -0.199  0.143 -0.273  0.143 -0.347  0.143 -0.421  0.143 -0.494  0.143 -0.568  0.143 -0.642  0.143 -0.716  0.143 -0.790  0.143 -0.863  0.143 -0.937  0.143 -1.011  0.143 -1.085  0.143 -1.159  0.143 -1.232  0.183 -1.290  0.235 -1.342  0.287 -1.394  0.339 -1.446  0.391 -1.498  0.444 -1.551  0.496 -1.603
1c#app#app12#app1251/d  0.087 1.740  0.087 1.597  0.087 1.455  0.180 1.352  0.234 1.232  0.234 1.089  0.234 0.947  0.271 0.820  0.371 0.719  0.381 0.581  0.381 0.439  0.434 0.309  0.498 0.182  0.602 0.121  0.675 0.052  0.740 -0.026  0.822 -0.086  0.822 -0.118  0.822 0.024  0.822 0.166  0.782 0.268  0.675 0.304  0.645 0.415  0.502 0.415  0.360 0.415  0.218 0.415  0.079 0.408  -0.022 0.307  -0.148 0.268  -0.266 0.210  -0.367 0.109  -0.467 0.009  -0.568 -0.092  -0.649 -0.200  -0.672 -0.320  -0.796 -0.338  -0.796 -0.480  -0.802 -0.620  -0.902 -0.721  -0.943 -0.846  -0.943 -0.988  -0.891 -1.109  -0.790 -1.209  -0.689 -1.310  -0.564 -1.350  -0.422 -1.350  -0.279 -1.350  -0.137 -1.350  -0.014 -1.304  0.087 -1.203
1c#app#app12#app1251/f  0.862 0.322  0.962 0.369  0.962 0.517  0.962 0.664  0.962 0.811  0.865 0.918  0.832 1.052  0.740 1.165  0.675 1.297  0.542 1.321  0.395 1.321  0.248 1.321  0.100 1.321  0.056 1.213  -0.053 1.121  -0.182 1.076  -0.236 0.951  -0.319 0.838  -0.423 0.734  -0.436 0.592  -0.436 0.445  -0.436 0.297  -0.436 0.150  -0.436 0.003  -0.389 -0.125  -0.336 -0.250  -0.283 -0.385  -0.217 -0.517  -0.151 -0.648  -0.136 -0.792  -0.092 -0.921  0.012 -1.025  0.063 -1.151  0.086 -1.276  0.163 -1.346  0.071 -1.304  -0.046 -1.214  -0.162 -1.123  -0.278 -1.033  -0.394 -0.943  -0.511 -0.852  -0.627 -0.762  -0.729 -0.670  -0.621 -0.577  -0.536 -0.514  -0.426 -0.477  -0.279 -0.477  -0.131 -0.477  0.016 -0.477  0.163 -0.477
1c#app#app12#app1251/i  -0.604 1.361  -0.529 1.361  -0.453 1.361  -0.378 1.361  -0.302 1.361  -0.226 1.361  -0.164 1.347  -0.164 1.272  -0.164 1.196  -0.164 1.121  -0.164 1.045  -0.164 0.970  -0.164 0.894  -0.164 0.819  -0.164 0.743  -0.164 0.667  -0.164 0.592  -0.164 0.516  -0.164 0.441  -0.164 0.365  -0.164 0.290  -0.164 0.214  -0.164 0.139  -0.164 0.063  -0.127 0.003  -0.073 -0.050  -0.020 -0.104  0.034 -0.157  0.087 -0.211  0.141 -0.264  0.194 -0.318  0.247 -0.371  0.276 -0.435  0.276 -0.510  0.276 -0.586  0.276 -0.661  0.276 -0.737  0.276 -0.813  0.276 -0.888  0.276 -0.964  0.276 -1.039  0.276 -1.115  0.276 -1.190  0.276 -1.266  0.276 -1.341  0.276 -1.417  0.276 -1.493  0.276 -1.568  0.276 -1.644  0.276 -1.719
1c#app#app12#app1251/g  0.143 0.988  0.253 0.906  0.088 0.879  -0.076 0.851  -0.186 0.769  -0.322 0.633  -0.404 0.475  -0.548 0.407  -0.623 0.246  -0.732 0.099  -0.732 -0.092  -0.663 -0.215  -0.471 -0.215  -0.389 -0.106  -0.225 -0.037  -0.160 0.113  -0.076 0.005  -0.185 -0.077  -0.223 -0.253  -0.294 -0.415  -0.404 -0.562  -0.404 -0.754  -0.486 -0.926  -0.528 -1.106  -0.623 -1.258  -0.592 -1.419  -0.433 -1.499  -0.253 -1.528  -0.097 -1.441  0.070 -1.383  0.232 -1.310  0.278 -1.140  0.306 -0.951  0.334 -0.761  0.362 -0.571  0.390 -0.381  0.418 -0.191  0.447 -0.002  0.475 0.188  0.503 0.378  0.531 0.568  0.559 0.758  0.587 0.947  0.615 1.137  0.643 1.327  0.671 1.517  0.690 1.583  0.588 1.433  0.472 1.290  0.472 1.098
1c#app#app12#app1251/u  -0.715 1.477  -0.715 1.364  -0.715 1.252  -0.715 1.139  -0.715 1.026  -0.715 0.914  -0.715 0.801  -0.715 0.689  -0.715 0.576  -0.715 0.463  -0.715 0.351  -0.715 0.238  -0.715 0.126  -0.715 0.013  -0.715 -0.100  -0.715 -0.212  -0.715 -0.325  -0.715 -0.437  -0.715 -0.550  -0.684 -0.650  -0.605 -0.729  -0.525 -0.809  -0.442 -0.880  -0.329 -0.880  -0.217 -0.880  -0.104 -0.880  0.008 -0.880  0.121 -0.880  0.234 -0.880  0.332 -0.867  0.332 -0.754  0.332 -0.641  0.422 -0.619  0.535 -0.619  0.594 -0.566  0.594 -0.453  0.602 -0.342  0.652 -0.241  0.702 -0.141  0.753 -0.040  0.803 0.061  0.853 0.161  0.931 0.242  1.011 0.322  1.091 0.401  1.118 0.503  1.118 0.615  1.118 0.728  1.118 0.840  1.118 0.953
1c#app#app12#app1251/r  -0.559 0.396  -0.559 0.272  -0.559 0.148  -0.559 0.024  -0.559 -0.099  -0.491 -0.195  -0.403 -0.282  -0.316 -0.370  -0.298 -0.486  -0.298 -0.610  -0.238 -0.709  -0.150 -0.796  -0.063 -0.884  -0.037 -0.997  -0.037 -1.121  -0.037 -1.245  -0.037 -1.368  0.024 -1.431  0.148 -1.431  0.224 -1.383  0.224 -1.259  0.224 -1.135  0.224 -1.011  0.224 -0.888  0.224 -0.764  0.224 -0.640  0.224 -0.516  0.224 -0.393  0.224 -0.269  0.224 -0.145  0.224 -0.021  0.224 0.102  0.224 0.226  0.224 0.350  0.168 0.451  0.081 0.538  -0.007 0.626  -0.037 0.737  -0.037 0.861  -0.037 0.984  -0.037 1.108  -0.037 1.232  -0.037 1.356  0.003 1.439  0.127 1.439  0.224 1.466  0.224 1.590  0.237 1.700  0.361 1.700  0.484 1.700
1c#app#app12#app1251/e  -0.678 -0.401  -0.525 -0.401  -0.372 -0.401  -0.291 -0.330  -0.260 -0.208  -0.107 -0.208  0.031 -0.144  0.167 -0.076  0.289 0.002  0.289 0.155  0.418 0.179  0.483 0.267  0.516 0.406  0.624 0.514  0.676 0.645  0.676 0.798  0.676 0.951  0.676 1.103  0.676 1.256  0.606 1.339  0.453 1.339  0.300 1.339  0.148 1.339  0.096 1.238  0.035 1.146  -0.098 1.126  -0.098 0.973  -0.098 0.820  -0.162 0.694  -0.270 0.586  -0.291 0.442  -0.328 0.298  -0.396 0.161  -0.465 0.025  -0.484 -0.123  -0.484 -0.276  -0.484 -0.429  -0.484 -0.582  -0.484 -0.734  -0.484 -0.887  -0.443 -1.023  -0.335 -1.131  -0.291 -1.265  -0.241 -1.368  -0.098 -1.378  -0.098 -1.530  0.024 -1.561  0.177 -1.561  0.330 -1.561  0.483 -1.561
1c#app#app12#app1251/l  -0.070 1.643  -0.070 1.572  -0.070 1.500  -0.019 1.449  0.032 1.398  0.074 1.343  0.074 1.271  0.065 1.203  0.015 1.152  -0.036 1.101  -0.070 1.043  -0.070 0.971  -0.070 0.899  -0.070 0.827  -0.070 0.755  -0.070 0.683  -0.070 0.611  -0.070 0.540  -0.070 0.468  -0.070 0.396  -0.070 0.324  -0.070 0.252  -0.070 0.180  -0.070 0.108  -0.070 0.036  -0.070 -0.036  -0.070 -0.108  -0.070 -0.180  -0.070 -0.252  -0.070 -0.324  -0.070 -0.396  -0.070 -0.468  -0.060 -0.537  -0.028 -0.602  0.004 -0.666  0.037 -0.731  0.069 -0.795  0.074 -0.866  0.074 -0.938  0.074 -1.010  0.074 -1.081  0.074 -1.153  0.074 -1.225  0.074 -1.297  0.074 -1.369  0.116 -1.424  0.167 -1.475  0.218 -1.526  0.218 -1.597  0.218 -1.669
1c#app#app12#app1251/e  -0.996 -0.820  -0.841 -0.820  -0.687 -0.820  -0.532 -0.820  -0.395 -0.779  -0.286 -0.669  -0.157 -0.587  -0.019 -0.518  0.120 -0.449  0.229 -0.341  0.339 -0.232  0.448 -0.122  0.495 0.013  0.535 0.151  0.644 0.260  0.682 0.399  0.682 0.553  0.708 0.697  0.817 0.806  0.868 0.940  0.868 1.094  0.868 1.249  0.868 1.403  0.726 1.416  0.604 1.338  0.495 1.229  0.386 1.120  0.276 1.011  0.167 0.901  0.031 0.857  -0.064 0.797  -0.083 0.651  -0.193 0.542  -0.302 0.432  -0.411 0.323  -0.437 0.179  -0.437 0.025  -0.475 -0.114  -0.585 -0.223  -0.623 -0.362  -0.623 -0.516  -0.623 -0.671  -0.623 -0.825  -0.623 -0.980  -0.496 -1.007  -0.437 -1.102  -0.392 -1.238  -0.282 -1.347  -0.173 -1.457  -0.064 -1.566
1c#app#app12#app1251/a  -0.971 1.066  -0.828 1.066  -0.685 1.066  -0.542 1.066  -0.400 1.066  -0.257 1.066  -0.195 0.985  -0.166 0.872  -0.023 0.872  0.120 0.872  0.242 0.822  0.343 0.722  0.468 0.678  0.580 0.648  0.580 0.505  0.702 0.484  0.845 0.484  0.968 0.465  0.968 0.322  1.079 0.290  1.102 0.290  0.959 0.290  0.816 0.290  0.674 0.290  0.531 0.290  0.388 0.290  0.287 0.191  0.183 0.097  0.041 0.097  -0.073 0.025  -0.173 -0.075  -0.274 -0.176  -0.375 -0.277  -0.389 -0.414  -0.461 -0.485  -0.598 -0.500  -0.699 -0.601  -0.777 -0.711  -0.777 -0.854  -0.777 -0.996  -0.777 -1.139  -0.755 -1.260  -0.613 -1.260  -0.470 -1.260  -0.327 -1.260  -0.184 -1.260  -0.042 -1.260  0.101 -1.260  0.244 -1.260  0.386 -1.260
1c#app#app12#app1251/n  -1.139 1.426  -0.965 1.426  -0.940 1.277  -0.940 1.103  -0.940 0.930  -0.888 0.778  -0.765 0.655  -0.742 0.491  -0.742 0.318  -0.677 0.171  -0.554 0.049  -0.544 -0.121  -0.544 -0.294  -0.495 -0.456  -0.418 -0.611  -0.346 -0.768  -0.346 -0.941  -0.346 -1.115  -0.346 -1.288  -0.233 -1.349  -0.148 -1.262  -0.148 -1.088  -0.148 -0.915  -0.148 -0.741  -0.148 -0.568  -0.148 -0.394  -0.148 -0.221  -0.148 -0.047  -0.059 0.038  0.051 0.102  0.051 0.275  0.065 0.435  0.238 0.435  0.249 0.598  0.249 0.771  0.362 0.831  0.536 0.831  0.645 0.767  0.645 0.593  0.660 0.435  0.834 0.435  0.843 0.271  0.843 0.097  0.924 -0.043  1.042 -0.167  1.042 -0.341  1.152 -0.469  1.240 -0.606  1.240 -0.779  1.240 -0.953
1c#app#app12#app1251/e  -0.544 -0.147  -0.400 -0.147  -0.256 -0.147  -0.111 -0.147  0.033 -0.147  0.164 -0.113  0.266 -0.011  0.368 0.091  0.471 0.190  0.615 0.190  0.636 0.314  0.636 0.459  0.711 0.527  0.804 0.579  0.804 0.723  0.804 0.867  0.804 1.012  0.804 1.156  0.705 1.202  0.561 1.202  0.417 1.202  0.272 1.202  0.130 1.199  0.130 1.055  0.043 0.947  -0.059 0.844  -0.161 0.742  -0.263 0.640  -0.365 0.538  -0.376 0.398  -0.450 0.285  -0.552 0.183  -0.654 0.081  -0.713 -0.039  -0.713 -0.184  -0.713 -0.328  -0.713 -0.472  -0.713 -0.617  -0.636 -0.729  -0.538 -0.834  -0.473 -0.963  -0.409 -1.092  -0.376 -1.229  -0.329 -1.327  -0.191 -1.342  -0.089 -1.445  0.034 -1.495  0.130 -1.544  0.154 -1.664  0.298 -1.664
1c#app#app12#app1251/d  0.135 1.939  0.135 1.816  0.135 1.692  0.135 1.568  0.135 1.444  0.135 1.321  0.135 1.197  0.135 1.073  0.135 0.949  0.135 0.826  0.172 0.718  0.260 0.630  0.283 0.516  0.283 0.392  0.313 0.281  0.400 0.193  0.431 0.082  0.471 -0.025  0.558 -0.112  0.579 -0.228  0.579 -0.351  0.579 -0.382  0.579 -0.259  0.579 -0.135  0.579 -0.011  0.510 0.084  0.419 0.163  0.295 0.163  0.171 0.163  0.048 0.163  -0.058 0.119  -0.145 0.031  -0.207 -0.075  -0.262 -0.186  -0.322 -0.293  -0.409 -0.380  -0.497 -0.468  -0.584 -0.555  -0.605 -0.670  -0.654 -0.774  -0.742 -0.861  -0.753 -0.980  -0.753 -1.104  -0.753 -1.228  -0.719 -1.317  -0.598 -1.324  -0.511 -1.412  -0.409 -1.465  -0.285 -1.465  -0.161 -1.465
1c#app#app12#app1251/o  0.426 1.214  0.426 1.351  0.321 1.383  0.206 1.331  0.109 1.235  0.013 1.138  -0.084 1.041  -0.181 0.945  -0.248 0.836  -0.255 0.702  -0.352 0.605  -0.448 0.509  -0.545 0.412  -0.586 0.292  -0.633 0.203  -0.754 0.187  -0.754 0.051  -0.754 -0.086  -0.754 -0.223  -0.754 -0.359  -0.754 -0.496  -0.754 -0.633  -0.754 -0.770  -0.754 -0.906  -0.689 -0.978  -0.586 -1.011  -0.584 -1.146  -0.447 -1.146  -0.311 -1.146  -0.174 -1.146  -0.037 -1.146  0.096 -1.139  0.193 -1.042  0.290 -0.945  0.386 -0.849  0.426 -0.728  0.460 -0.606  0.557 -0.509  0.654 -0.413  0.750 -0.316  0.763 -0.185  0.763 -0.048  0.763 0.089  0.763 0.225  0.763 0.362  0.763 0.499  0.763 0.636  0.763 0.772  0.763 0.909  0.763 1.046
1c#app#app12#app1251/u  -1.125 1.230  -1.044 1.149  -0.963 1.068  -0.882 0.988  -0.834 0.893  -0.834 0.779  -0.834 0.665  -0.834 0.551  -0.834 0.437  -0.834 0.322  -0.834 0.208  -0.834 0.094  -0.834 -0.020  -0.834 -0.135  -0.834 -0.249  -0.834 -0.363  -0.834 -0.477  -0.758 -0.515  -0.644 -0.515  -0.533 -0.525  -0.453 -0.606  -0.372 -0.686  -0.291 -0.767  -0.193 -0.806  -0.079 -0.806  0.036 -0.806  0.039 -0.695  0.039 -0.581  0.087 -0.515  0.202 -0.515  0.316 -0.515  0.430 -0.515  0.544 -0.515  0.620 -0.477  0.620 -0.363  0.620 -0.249  0.710 -0.224  0.824 -0.224  0.911 -0.197  0.911 -0.083  0.911 0.032  0.967 0.123  1.048 0.203  1.129 0.284  1.202 0.368  1.202 0.482  1.202 0.596  1.202 0.711  1.202 0.825  1.202 0.939
1c#app#app12#app1251/t  -0.017 1.969  -0.017 1.805  -0.017 1.642  -0.017 1.478  -0.017 1.315  -0.017 1.151  -0.017 0.988  -0.017 0.824  -0.084 0.676  -0.157 0.530  -0.162 0.368  -0.162 0.204  -0.162 0.041  -0.162 -0.123  -0.162 -0.286  -0.162 -0.450  -0.162 -0.613  -0.162 -0.777  -0.051 -0.895  -0.017 -1.044  -0.017 -1.207  -0.017 -1.371  -0.017 -1.534  0.028 -1.653  0.104 -1.595  0.041 -1.444  -0.022 -1.293  -0.085 -1.142  -0.148 -0.991  -0.211 -0.840  -0.274 -0.689  -0.336 -0.539  -0.399 -0.388  -0.462 -0.237  -0.525 -0.086  -0.588 0.065  -0.455 0.085  -0.307 0.101  -0.272 0.230  -0.162 0.283  -0.090 0.375  0.073 0.375  0.205 0.452  0.340 0.520  0.504 0.520  0.656 0.567  0.802 0.640  0.960 0.665  1.124 0.665  1.287 0.665
