2#apb#apb15#app1533/C  0.934 0.757  0.918 0.841  0.902 0.939  0.893 1.035  0.819 1.102  0.728 1.137  0.628 1.137  0.530 1.128  0.436 1.094  0.342 1.059  0.249 1.023  0.168 0.964  0.087 0.905  0.006 0.846  -0.075 0.788  -0.151 0.722  -0.225 0.655  -0.299 0.588  -0.373 0.520  -0.447 0.452  -0.507 0.372  -0.567 0.292  -0.627 0.212  -0.685 0.131  -0.722 0.038  -0.759 -0.055  -0.796 -0.148  -0.804 -0.246  -0.799 -0.346  -0.794 -0.446  -0.762 -0.537  -0.706 -0.619  -0.649 -0.702  -0.578 -0.769  -0.491 -0.817  -0.403 -0.865  -0.315 -0.913  -0.218 -0.935  -0.119 -0.951  -0.021 -0.968  0.078 -0.984  0.178 -0.980  0.278 -0.976  0.378 -0.972  0.478 -0.966  0.577 -0.950  0.676 -0.934  0.774 -0.917  0.870 -0.887  0.965 -0.858
2#apb#apb15#app1533/e  -0.732 -0.163  -0.598 -0.096  -0.458 -0.040  -0.314 0.004  -0.170 0.049  -0.023 0.082  0.126 0.103  0.275 0.124  0.422 0.156  0.564 0.207  0.706 0.258  0.847 0.309  0.986 0.368  1.112 0.446  1.188 0.570  1.144 0.690  1.029 0.786  0.892 0.847  0.751 0.898  0.607 0.940  0.456 0.940  0.306 0.940  0.155 0.940  0.004 0.940  -0.146 0.940  -0.285 0.902  -0.409 0.815  -0.532 0.729  -0.632 0.617  -0.722 0.497  -0.812 0.376  -0.875 0.244  -0.896 0.095  -0.917 -0.054  -0.918 -0.201  -0.865 -0.343  -0.813 -0.484  -0.760 -0.625  -0.678 -0.747  -0.567 -0.848  -0.455 -0.949  -0.339 -1.044  -0.202 -1.107  -0.066 -1.171  0.071 -1.235  0.213 -1.281  0.361 -1.310  0.509 -1.340  0.657 -1.370  0.804 -1.399
2#apb#apb15#app1533/m  -0.974 0.637  -1.051 0.494  -1.065 0.327  -1.084 0.160  -1.108 -0.006  -1.116 -0.173  -1.104 -0.340  -1.091 -0.507  -1.077 -0.675  -1.056 -0.841  -1.003 -0.996  -0.906 -0.869  -0.823 -0.723  -0.740 -0.577  -0.658 -0.431  -0.581 -0.282  -0.513 -0.128  -0.445 0.025  -0.385 0.181  -0.332 0.341  -0.278 0.500  -0.215 0.654  -0.125 0.795  -0.070 0.947  -0.078 0.824  -0.104 0.658  -0.124 0.492  -0.137 0.325  -0.125 0.159  -0.093 -0.006  -0.063 -0.171  -0.023 -0.334  0.140 -0.341  0.291 -0.277  0.439 -0.197  0.577 -0.102  0.715 -0.006  0.840 0.105  0.959 0.223  1.080 0.339  1.206 0.451  1.319 0.564  1.382 0.430  1.384 0.265  1.364 0.098  1.349 -0.069  1.349 -0.237  1.349 -0.405  1.384 -0.568  1.422 -0.732
2#apb#apb15#app1533/i  -0.059 0.088  -0.102 0.051  -0.108 -0.055  -0.127 -0.159  -0.144 -0.263  -0.144 -0.368  -0.144 -0.474  -0.144 -0.580  -0.144 -0.685  -0.144 -0.791  -0.144 -0.897  -0.144 -1.003  -0.144 -1.108  -0.130 -1.212  -0.109 -1.316  -0.102 -1.421  -0.098 -1.436  -0.088 -1.330  -0.078 -1.225  -0.069 -1.120  -0.059 -1.015  -0.049 -0.909  -0.040 -0.804  -0.030 -0.699  -0.021 -0.594  -0.011 -0.488  -0.001 -0.383  0.008 -0.278  0.018 -0.173  0.028 -0.067  0.037 0.038  0.047 0.143  0.056 0.248  0.066 0.354  0.076 0.459  0.085 0.564  0.095 0.669  0.105 0.775  0.114 0.880  0.124 0.985  0.133 1.090  0.143 1.196  0.153 1.301  0.162 1.406  0.172 1.511  0.182 1.617  0.191 1.722  0.201 1.827  0.210 1.932  0.174 1.995
2#apb#apb15#app1533/n  -0.686 0.225  -0.715 0.078  -0.745 -0.069  -0.776 -0.216  -0.809 -0.362  -0.845 -0.508  -0.886 -0.652  -0.931 -0.795  -0.969 -0.939  -1.036 -1.047  -1.027 -1.118  -0.980 -0.975  -0.909 -0.844  -0.832 -0.715  -0.755 -0.587  -0.663 -0.468  -0.571 -0.349  -0.480 -0.231  -0.388 -0.112  -0.297 0.007  -0.205 0.126  -0.113 0.244  -0.022 0.363  0.070 0.482  0.162 0.600  0.253 0.719  0.345 0.838  0.437 0.957  0.528 1.075  0.620 1.194  0.711 1.313  0.799 1.423  0.773 1.276  0.746 1.128  0.720 0.980  0.697 0.832  0.674 0.684  0.650 0.536  0.627 0.388  0.607 0.239  0.589 0.090  0.570 -0.058  0.553 -0.207  0.564 -0.357  0.574 -0.506  0.585 -0.656  0.618 -0.802  0.660 -0.946  0.707 -1.088  0.800 -1.191
2#apb#apb15#app1533/d  0.125 0.349  0.184 0.490  0.216 0.637  0.216 0.789  0.261 0.930  0.313 1.071  0.332 1.222  0.360 1.371  0.402 1.517  0.430 1.666  0.409 1.647  0.364 1.502  0.333 1.353  0.304 1.204  0.274 1.055  0.257 0.904  0.242 0.753  0.227 0.602  0.216 0.451  0.216 0.299  0.216 0.147  0.216 -0.005  0.216 -0.157  0.216 -0.309  0.234 -0.460  0.260 -0.609  0.278 -0.760  0.284 -0.900  0.229 -0.760  0.166 -0.623  0.079 -0.499  0.009 -0.364  -0.085 -0.248  -0.210 -0.178  -0.362 -0.178  -0.501 -0.240  -0.633 -0.312  -0.752 -0.407  -0.838 -0.530  -0.874 -0.672  -0.874 -0.824  -0.828 -0.963  -0.743 -1.088  -0.631 -1.190  -0.502 -1.259  -0.352 -1.282  -0.202 -1.304  -0.050 -1.292  0.101 -1.280  0.252 -1.268
2#apb#apb15#app1533/h  -0.073 2.030  -0.153 1.976  -0.168 1.847  -0.179 1.716  -0.188 1.585  -0.197 1.454  -0.216 1.324  -0.245 1.196  -0.274 1.068  -0.303 0.940  -0.320 0.810  -0.335 0.680  -0.350 0.549  -0.366 0.419  -0.384 0.289  -0.404 0.159  -0.424 0.029  -0.443 -0.101  -0.457 -0.231  -0.457 -0.362  -0.457 -0.494  -0.457 -0.625  -0.457 -0.756  -0.457 -0.888  -0.457 -1.019  -0.432 -1.123  -0.314 -1.064  -0.241 -0.957  -0.170 -0.846  -0.098 -0.737  -0.023 -0.628  0.051 -0.520  0.125 -0.412  0.196 -0.302  0.268 -0.191  0.339 -0.081  0.419 0.023  0.501 0.126  0.610 0.145  0.623 0.014  0.630 -0.117  0.630 -0.248  0.630 -0.380  0.624 -0.511  0.613 -0.642  0.616 -0.772  0.628 -0.903  0.630 -1.034  0.649 -1.161  0.716 -1.274
2#apb#apb15#app1533/i  -0.158 -0.117  -0.219 -0.193  -0.266 -0.276  -0.275 -0.373  -0.284 -0.471  -0.293 -0.569  -0.302 -0.666  -0.312 -0.764  -0.304 -0.860  -0.283 -0.956  -0.262 -1.052  -0.242 -1.148  -0.223 -1.244  -0.191 -1.334  -0.132 -1.413  -0.118 -1.318  -0.104 -1.221  -0.090 -1.124  -0.076 -1.027  -0.063 -0.930  -0.049 -0.833  -0.035 -0.736  -0.021 -0.639  -0.008 -0.542  0.006 -0.445  0.020 -0.348  0.034 -0.251  0.047 -0.153  0.061 -0.056  0.075 0.041  0.089 0.138  0.102 0.235  0.116 0.332  0.130 0.429  0.144 0.526  0.157 0.623  0.171 0.720  0.185 0.817  0.199 0.914  0.212 1.011  0.226 1.108  0.240 1.205  0.254 1.303  0.268 1.400  0.281 1.497  0.295 1.594  0.309 1.691  0.295 1.772  0.204 1.808  0.187 1.895
2#apb#apb15#app1533/m  -0.808 0.620  -0.889 0.437  -0.935 0.238  -0.970 0.037  -0.999 -0.165  -1.010 -0.369  -1.010 -0.573  -1.010 -0.777  -0.992 -0.979  -0.968 -1.070  -0.922 -0.871  -0.880 -0.671  -0.834 -0.472  -0.771 -0.279  -0.684 -0.095  -0.597 0.090  -0.530 0.283  -0.468 0.477  -0.407 0.672  -0.311 0.852  -0.214 1.032  -0.146 1.115  -0.146 0.911  -0.146 0.707  -0.146 0.503  -0.146 0.299  -0.146 0.094  -0.146 -0.110  -0.146 -0.314  -0.095 -0.510  0.013 -0.564  0.156 -0.420  0.293 -0.269  0.413 -0.103  0.529 0.065  0.637 0.237  0.741 0.413  0.844 0.589  0.956 0.760  1.068 0.848  1.090 0.645  1.104 0.441  1.116 0.237  1.128 0.034  1.140 -0.170  1.154 -0.374  1.197 -0.574  1.240 -0.773  1.296 -0.969  1.352 -1.166
2#apb#apb15#app1533/o  0.546 0.935  0.605 1.061  0.520 1.135  0.383 1.103  0.248 1.054  0.118 0.995  -0.012 0.936  -0.132 0.861  -0.237 0.764  -0.342 0.667  -0.447 0.570  -0.544 0.467  -0.621 0.347  -0.699 0.227  -0.777 0.107  -0.854 -0.013  -0.900 -0.145  -0.922 -0.286  -0.944 -0.428  -0.941 -0.568  -0.913 -0.708  -0.880 -0.846  -0.806 -0.969  -0.733 -1.091  -0.632 -1.166  -0.489 -1.166  -0.346 -1.166  -0.205 -1.148  -0.065 -1.118  0.074 -1.088  0.209 -1.046  0.330 -0.970  0.450 -0.893  0.564 -0.808  0.652 -0.696  0.740 -0.583  0.785 -0.454  0.795 -0.311  0.805 -0.169  0.804 -0.027  0.776 0.113  0.748 0.253  0.692 0.384  0.632 0.514  0.572 0.644  0.489 0.757  0.388 0.859  0.287 0.960  0.178 1.048  0.045 1.101
2#apb#apb15#app1533/f  0.923 0.545  0.934 0.680  0.938 0.816  0.929 0.951  0.905 1.082  0.844 1.204  0.779 1.323  0.704 1.436  0.572 1.457  0.446 1.416  0.343 1.334  0.257 1.229  0.171 1.124  0.116 1.000  0.064 0.875  0.012 0.749  -0.028 0.620  -0.060 0.488  -0.092 0.356  -0.124 0.224  -0.144 0.090  -0.162 -0.045  -0.180 -0.179  -0.198 -0.314  -0.223 -0.447  -0.247 -0.581  -0.272 -0.714  -0.282 -0.849  -0.276 -0.984  -0.270 -1.120  -0.247 -1.253  -0.216 -1.386  -0.179 -1.516  -0.190 -1.477  -0.230 -1.347  -0.269 -1.217  -0.309 -1.088  -0.349 -0.958  -0.388 -0.828  -0.428 -0.698  -0.468 -0.568  -0.508 -0.438  -0.547 -0.309  -0.587 -0.179  -0.583 -0.079  -0.448 -0.087  -0.312 -0.093  -0.177 -0.088  -0.041 -0.082  0.095 -0.077
2#apb#apb15#app1533/l  -1.285 -0.884  -1.251 -0.746  -1.126 -0.660  -1.001 -0.571  -0.887 -0.466  -0.775 -0.358  -0.666 -0.248  -0.556 -0.139  -0.440 -0.035  -0.325 0.068  -0.217 0.179  -0.123 0.302  -0.029 0.425  0.059 0.553  0.142 0.684  0.225 0.815  0.282 0.959  0.333 1.105  0.380 1.253  0.418 1.403  0.431 1.555  0.342 1.501  0.254 1.374  0.176 1.240  0.105 1.102  0.033 0.965  -0.006 0.815  -0.041 0.664  -0.076 0.513  -0.112 0.362  -0.147 0.211  -0.183 0.060  -0.218 -0.091  -0.214 -0.246  -0.208 -0.401  -0.194 -0.555  -0.149 -0.703  -0.104 -0.851  -0.030 -0.986  0.058 -1.114  0.173 -1.213  0.318 -1.235  0.466 -1.193  0.608 -1.131  0.722 -1.030  0.824 -0.913  0.921 -0.793  1.010 -0.666  1.042 -0.515  1.042 -0.360
2#apb#apb15#app1533/u  -0.541 1.307  -0.597 1.242  -0.627 1.142  -0.657 1.042  -0.687 0.942  -0.712 0.840  -0.738 0.739  -0.763 0.637  -0.788 0.536  -0.798 0.433  -0.798 0.328  -0.798 0.223  -0.798 0.119  -0.798 0.014  -0.786 -0.089  -0.769 -0.192  -0.751 -0.295  -0.734 -0.399  -0.701 -0.496  -0.645 -0.584  -0.590 -0.673  -0.533 -0.760  -0.459 -0.834  -0.385 -0.908  -0.308 -0.968  -0.210 -0.933  -0.111 -0.897  -0.013 -0.861  0.085 -0.825  0.177 -0.775  0.269 -0.725  0.360 -0.675  0.452 -0.625  0.525 -0.554  0.584 -0.468  0.644 -0.382  0.703 -0.296  0.763 -0.210  0.822 -0.123  0.863 -0.027  0.904 0.069  0.945 0.165  0.986 0.261  1.027 0.357  1.067 0.454  1.106 0.551  1.145 0.648  1.184 0.745  1.222 0.842  1.261 0.939
2#apb#apb15#app1533/n  -0.480 1.726  -0.480 1.651  -0.480 1.491  -0.480 1.330  -0.480 1.170  -0.480 1.010  -0.499 0.851  -0.518 0.692  -0.538 0.532  -0.558 0.373  -0.578 0.214  -0.598 0.055  -0.618 -0.104  -0.638 -0.263  -0.650 -0.422  -0.650 -0.583  -0.650 -0.743  -0.650 -0.903  -0.650 -1.063  -0.644 -1.197  -0.581 -1.050  -0.517 -0.903  -0.434 -0.766  -0.352 -0.628  -0.269 -0.491  -0.185 -0.354  -0.101 -0.218  -0.017 -0.081  0.067 0.055  0.135 0.200  0.202 0.346  0.270 0.491  0.337 0.636  0.409 0.780  0.463 0.908  0.545 0.772  0.577 0.615  0.608 0.458  0.638 0.300  0.667 0.143  0.696 -0.015  0.729 -0.172  0.768 -0.327  0.807 -0.483  0.844 -0.638  0.876 -0.796  0.907 -0.953  0.971 -1.094  1.076 -1.216  1.180 -1.338
2#apb#apb15#app1533/c  0.458 0.823  0.429 0.682  0.400 0.541  0.371 0.400  0.342 0.259  0.312 0.118  0.283 -0.023  0.255 0.055  0.227 0.196  0.198 0.337  0.170 0.478  0.142 0.620  0.113 0.761  0.085 0.902  0.057 1.044  0.005 1.156  -0.139 1.156  -0.271 1.117  -0.394 1.040  -0.507 0.953  -0.614 0.856  -0.721 0.759  -0.808 0.648  -0.869 0.518  -0.930 0.387  -0.991 0.257  -0.995 0.113  -0.995 -0.031  -0.995 -0.175  -0.935 -0.306  -0.875 -0.437  -0.815 -0.567  -0.705 -0.660  -0.594 -0.753  -0.484 -0.845  -0.350 -0.873  -0.206 -0.873  -0.061 -0.873  0.083 -0.873  0.227 -0.873  0.371 -0.873  0.515 -0.873  0.659 -0.873  0.803 -0.873  0.944 -0.848  1.083 -0.811  1.222 -0.773  1.361 -0.736  1.500 -0.698  1.639 -0.661
2#apb#apb15#app1533/h  -0.208 2.164  -0.262 2.049  -0.315 1.933  -0.337 1.808  -0.358 1.684  -0.380 1.559  -0.386 1.432  -0.386 1.305  -0.386 1.179  -0.386 1.052  -0.379 0.925  -0.371 0.799  -0.364 0.672  -0.356 0.545  -0.344 0.419  -0.323 0.294  -0.301 0.169  -0.280 0.044  -0.260 -0.081  -0.249 -0.207  -0.239 -0.334  -0.228 -0.460  -0.214 -0.586  -0.200 -0.712  -0.177 -0.836  -0.143 -0.947  -0.062 -0.861  0.008 -0.756  0.077 -0.649  0.146 -0.542  0.216 -0.437  0.289 -0.333  0.312 -0.403  0.318 -0.530  0.324 -0.656  0.330 -0.783  0.336 -0.910  0.342 -1.036  0.343 -0.945  0.343 -0.818  0.343 -0.692  0.343 -0.565  0.343 -0.438  0.343 -0.311  0.377 -0.426  0.411 -0.548  0.473 -0.658  0.537 -0.768  0.626 -0.858  0.716 -0.947
2#apb#apb15#app1533/w  -1.080 0.695  -1.033 0.799  -1.060 0.741  -1.099 0.614  -1.141 0.487  -1.178 0.359  -1.197 0.227  -1.216 0.095  -1.206 -0.037  -1.187 -0.169  -1.155 -0.296  -1.086 -0.411  -1.014 -0.523  -0.928 -0.625  -0.825 -0.709  -0.692 -0.710  -0.573 -0.659  -0.458 -0.590  -0.354 -0.508  -0.254 -0.419  -0.169 -0.318  -0.093 -0.208  -0.017 -0.098  0.046 0.019  0.106 0.139  0.150 0.264  0.160 0.385  0.134 0.254  0.105 0.124  0.110 -0.006  0.154 -0.131  0.219 -0.248  0.308 -0.339  0.428 -0.399  0.549 -0.454  0.673 -0.500  0.806 -0.494  0.930 -0.457  1.018 -0.358  1.083 -0.241  1.137 -0.120  1.177 0.007  1.215 0.135  1.215 0.268  1.215 0.402  1.215 0.535  1.215 0.669  1.215 0.802  1.215 0.936  1.215 1.069
2#apb#apb15#app1533/i  -0.249 -0.227  -0.211 -0.314  -0.181 -0.405  -0.154 -0.496  -0.128 -0.588  -0.109 -0.682  -0.091 -0.775  -0.079 -0.870  -0.079 -0.965  -0.079 -1.061  -0.042 -1.147  -0.009 -1.237  0.027 -1.324  0.094 -1.392  0.111 -1.344  0.107 -1.249  0.103 -1.153  0.098 -1.058  0.094 -0.963  0.090 -0.867  0.086 -0.772  0.081 -0.677  0.077 -0.581  0.073 -0.486  0.069 -0.390  0.064 -0.295  0.060 -0.200  0.056 -0.104  0.052 -0.009  0.047 0.086  0.043 0.182  0.039 0.277  0.035 0.373  0.030 0.468  0.026 0.563  0.022 0.659  0.018 0.754  0.013 0.850  0.009 0.945  0.005 1.040  0.001 1.136  -0.003 1.231  -0.008 1.326  -0.012 1.422  -0.016 1.517  -0.020 1.613  -0.025 1.708  -0.029 1.803  -0.072 1.873  -0.031 1.805
