2#apb#apb38#app3801/O  0.483 0.882  0.481 1.017  0.376 1.043  0.262 0.972  0.140 0.911  0.040 0.821  -0.057 0.724  -0.153 0.628  -0.249 0.532  -0.345 0.435  -0.430 0.329  -0.515 0.222  -0.601 0.117  -0.690 0.014  -0.778 -0.090  -0.840 -0.210  -0.895 -0.334  -0.959 -0.453  -1.045 -0.559  -1.090 -0.681  -1.100 -0.817  -1.077 -0.949  -0.990 -1.045  -0.868 -1.094  -0.733 -1.104  -0.602 -1.067  -0.471 -1.029  -0.351 -0.965  -0.231 -0.902  -0.111 -0.837  0.008 -0.771  0.127 -0.705  0.240 -0.629  0.342 -0.540  0.445 -0.451  0.536 -0.350  0.620 -0.243  0.704 -0.136  0.781 -0.024  0.859 0.088  0.943 0.195  1.020 0.304  1.031 0.440  1.031 0.576  1.008 0.708  0.935 0.823  0.851 0.930  0.752 1.023  0.644 1.106  0.521 1.149
2#apb#apb38#app3801/c  1.002 1.441  0.937 1.382  0.871 1.324  0.806 1.266  0.741 1.208  0.675 1.150  0.604 1.099  0.531 1.050  0.459 1.002  0.386 0.953  0.313 0.904  0.236 0.862  0.159 0.821  0.082 0.779  0.005 0.737  -0.071 0.695  -0.131 0.635  -0.174 0.559  -0.218 0.483  -0.261 0.407  -0.310 0.334  -0.358 0.262  -0.407 0.189  -0.455 0.116  -0.500 0.041  -0.535 -0.039  -0.569 -0.120  -0.604 -0.200  -0.607 -0.287  -0.607 -0.375  -0.613 -0.462  -0.634 -0.547  -0.614 -0.620  -0.552 -0.682  -0.491 -0.744  -0.452 -0.823  -0.413 -0.901  -0.370 -0.976  -0.290 -1.010  -0.209 -1.045  -0.129 -1.079  -0.043 -1.088  0.045 -1.088  0.132 -1.088  0.220 -1.088  0.307 -1.088  0.395 -1.088  0.482 -1.088  0.570 -1.088  0.658 -1.088
2#apb#apb38#app3801/e  -0.534 0.277  -0.432 0.198  -0.295 0.215  -0.157 0.233  -0.019 0.251  0.113 0.295  0.243 0.342  0.368 0.405  0.494 0.463  0.622 0.518  0.712 0.624  0.815 0.712  0.867 0.841  0.822 0.969  0.720 1.064  0.609 1.147  0.481 1.188  0.343 1.169  0.227 1.094  0.115 1.013  0.003 0.929  -0.109 0.847  -0.223 0.767  -0.337 0.688  -0.436 0.591  -0.535 0.492  -0.633 0.394  -0.721 0.287  -0.790 0.167  -0.804 0.031  -0.804 -0.108  -0.804 -0.247  -0.794 -0.386  -0.780 -0.524  -0.748 -0.659  -0.697 -0.787  -0.619 -0.903  -0.515 -0.994  -0.404 -1.073  -0.266 -1.088  -0.128 -1.098  0.012 -1.098  0.149 -1.113  0.284 -1.147  0.419 -1.177  0.557 -1.160  0.695 -1.158  0.834 -1.170  0.972 -1.171  1.110 -1.151
2#apb#apb38#app3801/1  -0.242 1.616  -0.181 1.591  -0.140 1.535  -0.100 1.476  -0.061 1.417  -0.026 1.357  -0.026 1.286  -0.026 1.216  -0.025 1.145  -0.006 1.078  0.014 1.010  0.033 0.942  0.050 0.874  0.064 0.804  0.078 0.735  0.092 0.666  0.106 0.597  0.118 0.527  0.124 0.457  0.130 0.387  0.136 0.316  0.142 0.246  0.147 0.176  0.152 0.105  0.138 0.036  0.124 -0.033  0.111 -0.102  0.097 -0.172  0.083 -0.241  0.069 -0.310  0.055 -0.379  0.042 -0.448  0.030 -0.518  0.019 -0.588  0.007 -0.657  -0.004 -0.727  -0.016 -0.797  -0.028 -0.866  -0.042 -0.935  -0.056 -1.005  -0.069 -1.074  -0.083 -1.143  -0.097 -1.212  -0.114 -1.281  -0.131 -1.349  -0.148 -1.418  -0.165 -1.486  -0.151 -1.552  -0.124 -1.618  -0.098 -1.684
2#apb#apb38#app3801/B  -0.723 0.144  -0.662 -0.027  -0.600 -0.199  -0.545 -0.372  -0.545 -0.554  -0.587 -0.731  -0.608 -0.911  -0.664 -1.070  -0.743 -0.983  -0.774 -0.814  -0.773 -0.633  -0.803 -0.453  -0.803 -0.271  -0.793 -0.089  -0.781 0.093  -0.767 0.275  -0.737 0.455  -0.679 0.627  -0.607 0.794  -0.525 0.958  -0.385 1.064  -0.229 1.159  -0.072 1.251  0.101 1.304  0.278 1.289  0.441 1.213  0.487 1.053  0.518 0.874  0.446 0.718  0.332 0.576  0.207 0.443  0.070 0.323  -0.067 0.205  0.031 0.220  0.213 0.240  0.395 0.243  0.575 0.222  0.748 0.167  0.908 0.082  1.045 -0.033  1.117 -0.199  1.124 -0.376  1.077 -0.552  0.998 -0.714  0.885 -0.857  0.766 -0.995  0.652 -1.138  0.508 -1.249  0.355 -1.348  0.190 -1.424
2#apb#apb38#app3801/e  1.181 0.406  1.209 0.490  1.237 0.574  1.269 0.657  1.302 0.739  1.231 0.786  1.155 0.832  1.070 0.811  0.985 0.786  0.900 0.761  0.814 0.736  0.729 0.712  0.644 0.687  0.559 0.662  0.474 0.637  0.389 0.610  0.307 0.577  0.224 0.544  0.142 0.511  0.060 0.478  -0.023 0.445  -0.098 0.399  -0.171 0.348  -0.243 0.297  -0.316 0.246  -0.383 0.189  -0.446 0.126  -0.509 0.063  -0.573 0.002  -0.643 -0.053  -0.713 -0.107  -0.783 -0.162  -0.842 -0.222  -0.852 -0.310  -0.862 -0.399  -0.872 -0.487  -0.887 -0.574  -0.901 -0.662  -0.860 -0.739  -0.816 -0.816  -0.767 -0.887  -0.687 -0.927  -0.608 -0.967  -0.528 -1.006  -0.446 -1.039  -0.365 -1.075  -0.292 -1.125  -0.218 -1.174  -0.133 -1.187  -0.044 -1.187
2#apb#apb38#app3801/a  -0.964 0.305  -1.037 0.216  -1.111 0.128  -1.202 0.077  -1.317 0.077  -1.382 -0.002  -1.434 -0.105  -1.477 -0.211  -1.461 -0.314  -1.381 -0.378  -1.266 -0.378  -1.151 -0.378  -1.036 -0.378  -0.921 -0.378  -0.806 -0.378  -0.691 -0.378  -0.587 -0.337  -0.486 -0.282  -0.385 -0.227  -0.284 -0.172  -0.187 -0.111  -0.093 -0.045  0.001 0.021  0.095 0.087  0.185 0.158  0.271 0.234  0.358 0.310  0.443 0.386  0.512 0.478  0.581 0.570  0.650 0.662  0.754 0.684  0.780 0.773  0.705 0.747  0.666 0.653  0.666 0.538  0.666 0.423  0.666 0.308  0.690 0.196  0.715 0.084  0.740 -0.028  0.829 -0.099  0.922 -0.165  1.014 -0.234  1.086 -0.324  1.157 -0.414  1.247 -0.486  1.336 -0.558  1.419 -0.638  1.500 -0.719
2#apb#apb38#app3801/c  0.431 1.454  0.356 1.401  0.281 1.349  0.206 1.296  0.131 1.243  0.055 1.191  -0.020 1.138  -0.095 1.086  -0.161 1.022  -0.226 0.957  -0.291 0.893  -0.356 0.828  -0.420 0.763  -0.472 0.687  -0.523 0.611  -0.574 0.535  -0.625 0.458  -0.660 0.374  -0.689 0.287  -0.718 0.200  -0.746 0.113  -0.728 0.023  -0.710 -0.066  -0.692 -0.156  -0.674 -0.246  -0.656 -0.336  -0.633 -0.422  -0.551 -0.463  -0.469 -0.504  -0.386 -0.544  -0.302 -0.582  -0.219 -0.620  -0.135 -0.658  -0.052 -0.696  0.032 -0.734  0.115 -0.772  0.202 -0.794  0.294 -0.794  0.385 -0.794  0.477 -0.794  0.569 -0.794  0.661 -0.794  0.752 -0.794  0.844 -0.794  0.936 -0.794  1.027 -0.794  1.119 -0.794  1.211 -0.794  1.303 -0.794  1.394 -0.794
2#apb#apb38#app3801/h  -0.894 1.436  -0.894 1.331  -0.894 1.226  -0.894 1.121  -0.894 1.016  -0.902 0.911  -0.912 0.807  -0.922 0.702  -0.915 0.598  -0.905 0.493  -0.896 0.389  -0.861 0.291  -0.818 0.195  -0.775 0.099  -0.746 -0.002  -0.718 -0.103  -0.685 -0.203  -0.651 -0.302  -0.620 -0.403  -0.590 -0.501  -0.507 -0.562  -0.435 -0.551  -0.342 -0.504  -0.240 -0.480  -0.164 -0.427  -0.125 -0.330  -0.068 -0.241  0.005 -0.166  0.092 -0.108  0.176 -0.045  0.266 0.008  0.340 0.082  0.439 0.097  0.524 0.157  0.603 0.147  0.684 0.113  0.784 0.113  0.876 0.076  0.934 -0.012  0.991 -0.100  1.043 -0.191  1.095 -0.282  1.143 -0.376  1.170 -0.476  1.187 -0.580  1.189 -0.685  1.189 -0.790  1.189 -0.895  1.189 -1.000  1.159 -1.093
2#apb#apb38#app3801/P  -0.509 0.480  -0.568 0.525  -0.609 0.367  -0.639 0.205  -0.638 0.043  -0.613 -0.120  -0.611 -0.285  -0.608 -0.448  -0.534 -0.596  -0.465 -0.744  -0.440 -0.907  -0.393 -1.063  -0.321 -1.211  -0.269 -1.367  -0.237 -1.528  -0.201 -1.653  -0.184 -1.489  -0.181 -1.325  -0.181 -1.160  -0.192 -0.996  -0.206 -0.832  -0.239 -0.671  -0.273 -0.510  -0.298 -0.347  -0.318 -0.183  -0.341 -0.020  -0.364 0.143  -0.375 0.307  -0.385 0.471  -0.316 0.619  -0.246 0.768  -0.173 0.915  -0.078 1.048  0.056 1.144  0.198 1.218  0.363 1.218  0.520 1.191  0.667 1.116  0.804 1.031  0.924 0.919  1.064 0.832  1.147 0.691  1.233 0.568  1.144 0.435  1.029 0.317  0.891 0.242  0.729 0.215  0.574 0.161  0.414 0.132  0.249 0.132
2#apb#apb38#app3801/l  0.095 1.680  0.065 1.617  0.046 1.550  0.027 1.483  0.008 1.416  -0.009 1.348  -0.026 1.281  -0.043 1.213  -0.049 1.144  -0.049 1.074  -0.049 1.005  -0.049 0.935  -0.049 0.865  -0.058 0.796  -0.070 0.728  -0.083 0.659  -0.095 0.590  -0.106 0.522  -0.098 0.452  -0.089 0.383  -0.080 0.314  -0.072 0.245  -0.063 0.176  -0.055 0.106  -0.046 0.037  -0.037 -0.032  -0.029 -0.101  -0.020 -0.170  -0.011 -0.240  -0.003 -0.309  0.006 -0.378  0.012 -0.447  0.016 -0.517  0.020 -0.587  0.025 -0.656  0.029 -0.726  0.033 -0.795  0.038 -0.865  0.043 -0.935  0.048 -1.004  0.053 -1.074  0.058 -1.143  0.063 -1.213  0.068 -1.282  0.076 -1.352  0.084 -1.421  0.091 -1.490  0.101 -1.559  0.113 -1.628  0.124 -1.697
2#apb#apb38#app3801/.  1.027 1.527  0.952 1.377  0.877 1.227  0.802 1.077  0.727 0.927  0.652 0.777  0.577 0.627  0.502 0.477  0.391 0.353  0.273 0.235  0.154 0.116  0.036 -0.002  -0.050 -0.134  -0.050 -0.302  -0.050 -0.470  -0.050 -0.637  -0.050 -0.805  -0.050 -0.973  -0.050 -1.140  -0.050 -1.308  -0.050 -1.475  -0.050 -1.643  -0.050 -1.596  -0.050 -1.428  -0.050 -1.261  -0.050 -1.093  -0.050 -0.926  -0.050 -0.758  -0.050 -0.590  -0.050 -0.423  -0.050 -0.255  -0.049 -0.088  0.118 -0.088  0.286 -0.088  0.453 -0.088  0.355 -0.088  0.188 -0.088  0.020 -0.088  -0.104 -0.007  -0.197 0.132  -0.290 0.272  -0.383 0.411  -0.476 0.551  -0.569 0.690  -0.662 0.829  -0.755 0.969  -0.848 1.108  -0.941 1.248  -1.034 1.387  -1.127 1.527
2#apb#apb38#app3801/1  0.169 1.528  0.106 1.559  0.129 1.564  0.151 1.497  0.166 1.430  0.152 1.362  0.138 1.293  0.125 1.224  0.111 1.155  0.097 1.086  0.085 1.017  0.078 0.947  0.072 0.877  0.065 0.807  0.059 0.737  0.053 0.668  0.046 0.598  0.044 0.528  0.044 0.457  0.044 0.387  0.044 0.317  0.044 0.247  0.044 0.177  0.044 0.106  0.040 0.036  0.031 -0.033  0.022 -0.103  0.013 -0.173  0.005 -0.242  -0.004 -0.312  -0.013 -0.382  -0.021 -0.451  -0.030 -0.521  -0.039 -0.591  -0.044 -0.661  -0.050 -0.731  -0.055 -0.801  -0.061 -0.871  -0.066 -0.941  -0.071 -1.011  -0.077 -1.081  -0.087 -1.149  -0.112 -1.215  -0.137 -1.281  -0.163 -1.346  -0.188 -1.412  -0.213 -1.477  -0.238 -1.543  -0.263 -1.608  -0.289 -1.674
2#apb#apb38#app3801/0  -0.164 0.785  -0.259 0.725  -0.353 0.666  -0.447 0.606  -0.519 0.526  -0.569 0.426  -0.619 0.326  -0.668 0.226  -0.749 0.150  -0.833 0.077  -0.914 0.001  -0.945 -0.106  -0.973 -0.214  -0.973 -0.325  -0.973 -0.437  -0.973 -0.548  -0.946 -0.654  -0.902 -0.757  -0.835 -0.843  -0.750 -0.915  -0.663 -0.981  -0.551 -0.981  -0.439 -0.981  -0.349 -0.917  -0.260 -0.850  -0.171 -0.783  -0.081 -0.716  0.007 -0.648  0.094 -0.579  0.182 -0.510  0.270 -0.441  0.356 -0.370  0.431 -0.288  0.507 -0.205  0.582 -0.123  0.657 -0.041  0.726 0.047  0.793 0.136  0.858 0.227  0.908 0.326  0.962 0.424  1.024 0.517  1.068 0.616  1.080 0.727  1.092 0.838  1.093 0.950  1.091 1.061  1.061 1.168  1.030 1.276  1.003 1.384
2#apb#apb38#app3801/5  0.635 1.275  0.530 1.250  0.426 1.226  0.321 1.202  0.217 1.178  0.112 1.154  0.007 1.130  -0.097 1.106  -0.202 1.081  -0.307 1.057  -0.411 1.033  -0.516 1.009  -0.496 0.938  -0.482 0.832  -0.474 0.726  -0.518 0.628  -0.561 0.530  -0.581 0.424  -0.600 0.318  -0.632 0.216  -0.672 0.117  -0.710 0.016  -0.744 -0.086  -0.765 -0.190  -0.751 -0.283  -0.644 -0.285  -0.538 -0.302  -0.431 -0.306  -0.323 -0.306  -0.216 -0.306  -0.109 -0.306  -0.001 -0.306  0.106 -0.306  0.212 -0.311  0.293 -0.381  0.377 -0.446  0.478 -0.484  0.566 -0.538  0.628 -0.626  0.701 -0.703  0.784 -0.772  0.781 -0.874  0.766 -0.980  0.731 -1.081  0.679 -1.175  0.628 -1.269  0.580 -1.365  0.498 -1.429  0.405 -1.483  0.319 -1.548
2#apb#apb38#app3801/E  1.119 1.255  0.983 1.299  0.825 1.324  0.666 1.348  0.508 1.372  0.350 1.371  0.191 1.351  0.042 1.303  -0.094 1.219  -0.229 1.134  -0.362 1.045  -0.488 0.948  -0.607 0.841  -0.702 0.716  -0.636 0.574  -0.532 0.453  -0.412 0.348  -0.299 0.235  -0.188 0.124  -0.132 -0.021  -0.157 -0.175  -0.230 -0.317  -0.306 -0.458  -0.378 -0.601  -0.444 -0.746  -0.568 -0.844  -0.644 -0.980  -0.716 -1.121  -0.701 -1.226  -0.541 -1.226  -0.382 -1.236  -0.229 -1.227  -0.095 -1.138  0.043 -1.059  0.185 -0.985  0.334 -0.927  0.486 -0.880  0.643 -0.850  0.695 -0.779  0.583 -0.664  0.472 -0.550  0.360 -0.435  0.249 -0.321  0.137 -0.206  0.025 -0.092  -0.045 0.016  0.085 0.108  0.224 0.185  0.381 0.214  0.526 0.280
2#apb#apb38#app3801/.  1.578 1.930  1.458 1.809  1.337 1.689  1.216 1.568  1.095 1.447  0.974 1.326  0.853 1.205  0.732 1.084  0.612 0.963  0.491 0.843  0.370 0.722  0.249 0.601  0.128 0.480  0.007 0.359  -0.114 0.238  -0.234 0.117  -0.355 -0.003  -0.476 -0.124  -0.597 -0.245  -0.718 -0.366  -0.839 -0.487  -0.754 -0.523  -0.583 -0.523  -0.412 -0.523  -0.241 -0.523  -0.071 -0.523  0.100 -0.523  0.271 -0.523  0.262 -0.523  0.091 -0.523  -0.080 -0.523  -0.251 -0.523  -0.422 -0.523  -0.593 -0.523  -0.764 -0.523  -0.814 -0.523  -0.643 -0.523  -0.472 -0.523  -0.302 -0.523  -0.131 -0.523  0.040 -0.523  0.211 -0.523  0.322 -0.523  0.151 -0.523  -0.020 -0.523  -0.191 -0.523  -0.362 -0.523  -0.533 -0.523  -0.704 -0.523  -0.874 -0.523
2#apb#apb38#app3801/5  -0.370 0.859  -0.275 0.886  -0.161 0.920  -0.046 0.959  0.067 1.000  0.179 1.043  0.287 1.096  0.395 1.150  0.508 1.192  0.580 1.211  0.485 1.137  0.391 1.062  0.296 0.987  0.202 0.913  0.107 0.838  0.013 0.763  -0.082 0.689  -0.176 0.614  -0.271 0.539  -0.365 0.465  -0.460 0.390  -0.555 0.316  -0.649 0.241  -0.744 0.166  -0.838 0.092  -0.848 0.026  -0.739 -0.026  -0.631 -0.079  -0.523 -0.132  -0.414 -0.184  -0.306 -0.237  -0.198 -0.290  -0.089 -0.342  0.019 -0.395  0.124 -0.454  0.228 -0.515  0.330 -0.579  0.427 -0.648  0.496 -0.746  0.522 -0.864  0.546 -0.981  0.546 -1.102  0.546 -1.222  0.486 -1.324  0.413 -1.420  0.328 -1.505  0.220 -1.556  0.108 -1.598  -0.000 -1.651  -0.108 -1.705
2#apb#apb38#app3801/2  -0.575 0.957  -0.496 1.046  -0.418 1.136  -0.328 1.210  -0.224 1.268  -0.120 1.326  -0.014 1.379  0.098 1.410  0.205 1.388  0.271 1.289  0.358 1.217  0.468 1.170  0.538 1.082  0.591 0.976  0.644 0.869  0.655 0.751  0.667 0.633  0.652 0.517  0.621 0.402  0.589 0.287  0.543 0.178  0.496 0.069  0.448 -0.040  0.400 -0.149  0.346 -0.255  0.291 -0.359  0.235 -0.464  0.179 -0.569  0.101 -0.657  0.013 -0.737  -0.075 -0.816  -0.165 -0.894  -0.267 -0.955  -0.369 -1.016  -0.477 -1.060  -0.595 -1.077  -0.713 -1.082  -0.792 -1.032  -0.743 -0.924  -0.695 -0.815  -0.638 -0.711  -0.579 -0.608  -0.464 -0.601  -0.354 -0.623  -0.270 -0.707  -0.154 -0.714  -0.052 -0.773  0.013 -0.864  0.052 -0.976  0.105 -1.082
