3#app#app34#app3498/p  -0.268 1.430  -0.268 1.219  -0.268 1.008  -0.268 0.797  -0.268 0.586  -0.268 0.375  -0.268 0.164  -0.239 -0.040  -0.180 -0.236  -0.130 -0.435  -0.091 -0.637  -0.091 -0.848  -0.091 -1.059  -0.091 -1.270  -0.091 -1.481  -0.091 -1.691  -0.138 -1.613  -0.225 -1.438  -0.296 -1.251  -0.356 -1.054  -0.391 -0.849  -0.444 -0.647  -0.444 -0.436  -0.444 -0.225  -0.444 -0.015  -0.444 0.196  -0.444 0.407  -0.444 0.618  -0.444 0.829  -0.408 1.025  -0.268 1.177  -0.133 1.253  -0.010 1.341  0.201 1.341  0.393 1.298  0.553 1.200  0.666 1.025  0.753 0.837  0.832 0.642  0.879 0.443  0.879 0.232  0.879 0.021  0.858 -0.181  0.771 -0.356  0.622 -0.505  0.451 -0.600  0.262 -0.622  0.117 -0.689  -0.093 -0.687  -0.268 -0.600
3#app#app34#app3498/(  0.778 1.449  0.726 1.396  0.667 1.356  0.593 1.356  0.540 1.303  0.499 1.245  0.499 1.170  0.433 1.137  0.366 1.103  0.313 1.061  0.313 0.986  0.281 0.919  0.247 0.852  0.210 0.788  0.157 0.735  0.113 0.676  0.079 0.609  0.046 0.542  0.012 0.475  -0.021 0.408  -0.055 0.342  -0.105 0.287  -0.152 0.232  -0.152 0.157  -0.152 0.082  -0.163 0.009  -0.182 -0.064  -0.200 -0.137  -0.218 -0.209  -0.236 -0.282  -0.271 -0.345  -0.324 -0.398  -0.338 -0.466  -0.338 -0.541  -0.338 -0.616  -0.338 -0.691  -0.338 -0.766  -0.338 -0.840  -0.338 -0.915  -0.338 -0.990  -0.338 -1.065  -0.285 -1.118  -0.245 -1.176  -0.245 -1.251  -0.245 -1.326  -0.205 -1.384  -0.152 -1.437  -0.099 -1.489  -0.059 -1.548  -0.059 -1.622
3#app#app34#app3498/2  -0.954 0.587  -0.944 0.703  -0.838 0.724  -0.807 0.819  -0.693 0.849  -0.602 0.935  -0.480 0.945  -0.390 1.035  -0.281 1.097  -0.168 1.154  -0.045 1.167  0.082 1.167  0.208 1.167  0.335 1.167  0.454 1.150  0.544 1.061  0.633 0.971  0.669 0.860  0.669 0.733  0.669 0.607  0.669 0.480  0.668 0.354  0.579 0.265  0.490 0.175  0.400 0.086  0.321 -0.008  0.321 -0.135  0.296 -0.250  0.206 -0.340  0.117 -0.429  0.028 -0.519  -0.062 -0.608  -0.142 -0.701  -0.166 -0.805  -0.289 -0.820  -0.402 -0.876  -0.490 -0.948  -0.528 -1.037  -0.606 -1.085  -0.547 -1.153  -0.421 -1.153  -0.318 -1.096  -0.216 -1.037  -0.090 -1.037  0.037 -1.037  0.163 -1.037  0.290 -1.037  0.416 -1.037  0.543 -1.037  0.669 -1.037
3#app#app34#app3498/3  -1.151 1.036  -1.011 1.036  -0.881 1.057  -0.782 1.155  -0.645 1.161  -0.506 1.161  -0.366 1.161  -0.227 1.161  -0.087 1.161  0.052 1.161  0.191 1.161  0.331 1.161  0.345 1.036  0.345 0.896  0.324 0.766  0.225 0.667  0.127 0.568  0.028 0.470  -0.029 0.354  -0.081 0.236  -0.179 0.138  -0.278 0.039  -0.403 0.025  -0.432 -0.086  -0.528 -0.129  -0.586 -0.211  -0.652 -0.283  -0.565 -0.335  -0.425 -0.335  -0.286 -0.335  -0.146 -0.335  -0.007 -0.335  0.132 -0.335  0.272 -0.335  0.404 -0.365  0.529 -0.427  0.641 -0.507  0.740 -0.605  0.838 -0.704  0.844 -0.841  0.844 -0.980  0.811 -1.099  0.686 -1.162  0.558 -1.208  0.419 -1.208  0.345 -1.274  0.265 -1.332  0.125 -1.332  -0.014 -1.332  -0.154 -1.332
3#app#app34#app3498/4  -0.550 1.320  -0.550 1.131  -0.623 0.972  -0.687 0.810  -0.824 0.759  -0.824 0.570  -0.906 0.415  -1.039 0.281  -1.099 0.117  -1.236 0.065  -1.236 -0.123  -1.236 -0.312  -1.062 -0.327  -0.873 -0.327  -0.725 -0.426  -0.553 -0.464  -0.364 -0.464  -0.175 -0.464  0.014 -0.464  0.203 -0.464  0.392 -0.464  0.581 -0.464  0.769 -0.464  0.792 -0.333  0.750 -0.149  0.708 0.035  0.665 0.219  0.623 0.403  0.580 0.587  0.538 0.771  0.495 0.955  0.453 1.139  0.411 1.316  0.411 1.128  0.411 0.939  0.411 0.750  0.411 0.561  0.411 0.372  0.411 0.183  0.411 -0.006  0.411 -0.194  0.411 -0.383  0.411 -0.572  0.411 -0.761  0.411 -0.950  0.411 -1.139  0.286 -1.276  0.274 -1.459  0.274 -1.648  0.411 -1.700
3#app#app34#app3498/)  -0.987 1.237  -0.911 1.237  -0.899 1.173  -0.847 1.150  -0.775 1.131  -0.707 1.097  -0.639 1.063  -0.571 1.029  -0.503 0.996  -0.432 0.975  -0.361 0.962  -0.308 0.909  -0.245 0.867  -0.177 0.833  -0.110 0.798  -0.076 0.730  -0.042 0.662  0.000 0.601  0.054 0.547  0.108 0.493  0.158 0.437  0.192 0.369  0.226 0.301  0.260 0.233  0.294 0.165  0.327 0.097  0.327 0.021  0.327 -0.055  0.327 -0.131  0.327 -0.207  0.327 -0.283  0.327 -0.359  0.327 -0.435  0.327 -0.511  0.327 -0.586  0.327 -0.662  0.327 -0.738  0.327 -0.814  0.327 -0.890  0.327 -0.966  0.327 -1.042  0.327 -1.118  0.327 -1.194  0.288 -1.254  0.239 -1.310  0.239 -1.386  0.189 -1.441  0.152 -1.501  0.152 -1.577  0.152 -1.653
3#app#app34#app3498/5  0.724 1.126  0.586 1.126  0.449 1.126  0.312 1.126  0.174 1.126  0.037 1.126  -0.101 1.126  -0.238 1.126  -0.375 1.126  -0.513 1.126  -0.650 1.126  -0.671 1.010  -0.671 0.872  -0.671 0.735  -0.671 0.597  -0.671 0.460  -0.746 0.354  -0.771 0.227  -0.771 0.089  -0.771 -0.048  -0.871 -0.086  -0.833 -0.132  -0.721 -0.070  -0.584 -0.070  -0.483 0.019  -0.350 0.030  -0.213 0.030  -0.075 0.030  0.062 0.030  0.178 -0.023  0.275 -0.120  0.392 -0.170  0.499 -0.244  0.596 -0.341  0.693 -0.438  0.724 -0.563  0.817 -0.661  0.914 -0.759  0.923 -0.892  0.923 -1.030  0.824 -1.067  0.785 -1.166  0.648 -1.166  0.510 -1.166  0.373 -1.166  0.236 -1.166  0.098 -1.166  -0.020 -1.120  -0.135 -1.067  -0.173 -0.967
3#app#app34#app3498/6  0.241 1.882  0.194 1.775  0.040 1.775  0.002 1.643  -0.107 1.534  -0.186 1.413  -0.249 1.285  -0.334 1.158  -0.405 1.022  -0.512 0.910  -0.581 0.772  -0.614 0.626  -0.623 0.474  -0.692 0.336  -0.721 0.188  -0.721 0.034  -0.721 -0.120  -0.721 -0.275  -0.721 -0.429  -0.716 -0.581  -0.607 -0.690  -0.497 -0.799  -0.383 -0.897  -0.229 -0.897  -0.075 -0.897  0.079 -0.897  0.234 -0.897  0.388 -0.897  0.517 -0.835  0.652 -0.790  0.766 -0.692  0.875 -0.583  0.989 -0.539  0.989 -0.384  0.989 -0.230  0.938 -0.097  0.882 0.034  0.759 0.065  0.605 0.065  0.451 0.063  0.313 -0.006  0.189 -0.094  0.057 -0.149  0.015 -0.268  -0.094 -0.377  -0.186 -0.493  -0.186 -0.648  -0.186 -0.802  -0.127 -0.897  0.027 -0.897
3#app#app34#app3498/7  -1.188 0.510  -1.288 0.510  -1.308 0.590  -1.248 0.630  -1.148 0.630  -1.048 0.630  -0.949 0.630  -0.849 0.630  -0.749 0.630  -0.649 0.630  -0.550 0.630  -0.450 0.630  -0.350 0.630  -0.250 0.630  -0.151 0.630  -0.068 0.672  0.002 0.742  0.099 0.750  0.199 0.750  0.298 0.750  0.398 0.750  0.498 0.750  0.598 0.750  0.608 0.660  0.608 0.561  0.608 0.461  0.608 0.361  0.608 0.261  0.608 0.162  0.545 0.088  0.488 0.012  0.488 -0.088  0.457 -0.183  0.425 -0.277  0.394 -0.372  0.369 -0.467  0.369 -0.567  0.369 -0.667  0.369 -0.767  0.326 -0.849  0.256 -0.919  0.249 -1.016  0.249 -1.116  0.249 -1.216  0.228 -1.307  0.157 -1.377  0.129 -1.465  0.129 -1.565  0.129 -1.665  0.129 -1.765
3#app#app34#app3498/  -1.714 -0.121  -1.624 -0.121  -1.534 -0.121  -1.444 -0.121  -1.353 -0.121  -1.263 -0.121  -1.173 -0.121  -1.083 -0.121  -0.993 -0.121  -0.911 -0.113  -0.911 -0.022  -0.911 0.068  -0.911 0.158  -0.911 0.248  -0.853 0.281  -0.763 0.281  -0.673 0.281  -0.583 0.281  -0.493 0.281  -0.402 0.281  -0.312 0.281  -0.222 0.281  -0.132 0.281  -0.042 0.281  0.049 0.281  0.139 0.281  0.229 0.281  0.294 0.256  0.294 0.166  0.294 0.076  0.294 -0.014  0.294 -0.104  0.368 -0.121  0.458 -0.121  0.549 -0.121  0.639 -0.121  0.729 -0.121  0.819 -0.121  0.909 -0.121  1.000 -0.121  1.090 -0.121  1.180 -0.121  1.270 -0.121  1.360 -0.121  1.450 -0.121  1.500 -0.162  1.500 -0.252  1.500 -0.342  1.500 -0.432  1.500 -0.523
3#app#app34#app3498/8  0.775 0.925  0.668 0.995  0.560 1.065  0.458 1.140  0.280 1.140  0.103 1.140  -0.075 1.140  -0.252 1.140  -0.430 1.140  -0.580 1.075  -0.730 1.023  -0.787 0.869  -0.838 0.712  -0.838 0.535  -0.740 0.397  -0.615 0.272  -0.489 0.146  -0.364 0.021  -0.238 -0.105  -0.083 -0.155  -0.003 -0.314  0.107 -0.450  0.233 -0.576  0.358 -0.701  0.453 -0.840  0.453 -1.017  0.453 -1.195  0.317 -1.253  0.173 -1.333  0.035 -1.428  -0.137 -1.441  -0.311 -1.431  -0.448 -1.333  -0.515 -1.223  -0.515 -1.046  -0.500 -0.872  -0.420 -0.713  -0.378 -0.551  -0.252 -0.425  -0.127 -0.300  -0.001 -0.174  0.087 -0.022  0.202 0.101  0.358 0.185  0.483 0.310  0.609 0.436  0.734 0.562  0.860 0.687  0.920 0.818  0.990 0.925
3#app#app34#app3498/9  0.700 0.701  0.587 0.815  0.426 0.815  0.358 0.908  0.218 0.929  0.057 0.929  -0.104 0.929  -0.265 0.929  -0.426 0.929  -0.587 0.929  -0.748 0.929  -0.871 0.839  -0.985 0.725  -1.123 0.688  -1.123 0.527  -1.123 0.366  -1.123 0.205  -1.123 0.044  -1.029 -0.078  -0.890 -0.157  -0.742 -0.211  -0.581 -0.211  -0.420 -0.211  -0.259 -0.211  -0.098 -0.211  0.049 -0.178  0.172 -0.076  0.316 -0.005  0.471 0.017  0.505 0.163  0.619 0.277  0.700 0.404  0.700 0.565  0.700 0.448  0.678 0.290  0.627 0.138  0.571 -0.013  0.499 -0.157  0.472 -0.312  0.472 -0.473  0.472 -0.634  0.382 -0.757  0.358 -0.908  0.358 -1.069  0.358 -1.230  0.358 -1.391  0.358 -1.552  0.358 -1.713  0.358 -1.874  0.358 -1.807
3#app#app34#app3498/0  0.405 0.976  0.270 0.976  0.135 0.976  -0.000 0.976  -0.106 0.905  -0.225 0.865  -0.330 0.792  -0.425 0.696  -0.521 0.601  -0.616 0.505  -0.712 0.409  -0.807 0.314  -0.868 0.193  -0.928 0.072  -0.989 -0.049  -1.028 -0.175  -1.028 -0.310  -1.028 -0.445  -1.028 -0.581  -1.001 -0.705  -0.905 -0.800  -0.810 -0.896  -0.676 -0.898  -0.554 -0.931  -0.451 -1.009  -0.316 -1.009  -0.181 -1.009  -0.075 -0.938  0.044 -0.898  0.179 -0.898  0.277 -0.807  0.404 -0.788  0.500 -0.693  0.596 -0.598  0.718 -0.568  0.741 -0.452  0.837 -0.357  0.850 -0.226  0.893 -0.098  0.935 0.030  0.957 0.162  0.957 0.297  0.957 0.432  0.957 0.568  0.916 0.686  0.820 0.781  0.724 0.877  0.629 0.973  0.501 0.990  0.405 1.086
3#app#app34#app3498/1  0.049 1.548  0.121 1.548  0.191 1.546  0.191 1.474  0.188 1.403  0.137 1.352  0.087 1.301  0.049 1.245  0.049 1.173  0.049 1.101  0.049 1.029  0.049 0.957  0.049 0.885  0.049 0.813  0.049 0.741  0.049 0.669  0.049 0.597  0.049 0.525  0.049 0.453  0.049 0.381  0.049 0.309  0.049 0.238  0.049 0.166  0.049 0.094  0.049 0.022  0.049 -0.050  0.049 -0.122  0.022 -0.183  -0.029 -0.234  -0.080 -0.285  -0.093 -0.351  -0.093 -0.423  -0.093 -0.495  -0.093 -0.567  -0.093 -0.639  -0.093 -0.711  -0.093 -0.783  -0.093 -0.855  -0.093 -0.927  -0.093 -0.999  -0.093 -1.071  -0.093 -1.143  -0.093 -1.215  -0.093 -1.287  -0.093 -1.359  -0.093 -1.431  -0.093 -1.503  -0.093 -1.575  -0.093 -1.646  -0.093 -1.718
3#app#app34#app3498/.  1.487 -0.060  1.487 0.085  1.487 0.231  1.433 0.323  1.287 0.323  1.141 0.323  1.027 0.400  0.924 0.503  0.821 0.606  0.716 0.706  0.570 0.706  0.425 0.706  0.279 0.706  0.133 0.706  -0.013 0.706  -0.159 0.706  -0.305 0.706  -0.428 0.683  -0.428 0.537  -0.428 0.391  -0.505 0.323  -0.651 0.323  -0.797 0.323  -0.904 0.230  -1.007 0.127  -1.110 0.023  -1.194 -0.088  -1.194 -0.234  -1.194 -0.379  -1.194 -0.525  -1.194 -0.671  -1.194 -0.817  -1.058 -0.827  -0.912 -0.827  -0.766 -0.827  -0.620 -0.827  -0.474 -0.827  -0.358 -0.756  -0.255 -0.653  -0.152 -0.550  -0.048 -0.447  0.096 -0.443  0.242 -0.443  0.373 -0.408  0.476 -0.305  0.579 -0.202  0.683 -0.099  0.812 -0.060  0.958 -0.060  1.104 -0.060
