2#apb#apb05#app0529/H  -0.332 1.090  -0.288 1.292  -0.299 1.245  -0.322 1.040  -0.351 0.836  -0.379 0.632  -0.406 0.427  -0.442 0.225  -0.488 0.024  -0.532 -0.178  -0.567 -0.381  -0.602 -0.584  -0.635 -0.787  -0.668 -0.991  -0.682 -1.196  -0.682 -1.402  -0.666 -1.588  -0.662 -1.382  -0.660 -1.176  -0.657 -0.970  -0.655 -0.764  -0.652 -0.558  -0.650 -0.352  -0.652 -0.157  -0.562 -0.189  -0.360 -0.151  -0.160 -0.101  0.039 -0.045  0.233 0.023  0.432 0.076  0.620 0.131  0.683 0.327  0.747 0.523  0.810 0.719  0.874 0.915  0.937 1.112  0.993 1.307  0.863 1.276  0.779 1.088  0.729 0.888  0.690 0.686  0.655 0.483  0.608 0.282  0.559 0.082  0.528 -0.122  0.496 -0.326  0.461 -0.529  0.430 -0.732  0.405 -0.937  0.438 -1.133
2#apb#apb05#app0529/t  -0.961 -0.136  -1.126 -0.136  -1.030 -0.074  -0.874 -0.022  -0.716 0.022  -0.557 0.064  -0.398 0.105  -0.236 0.119  -0.072 0.119  0.092 0.121  0.254 0.148  0.416 0.175  0.580 0.182  0.744 0.182  0.755 0.311  0.726 0.473  0.698 0.635  0.670 0.797  0.641 0.958  0.613 1.120  0.584 1.282  0.558 1.444  0.511 1.485  0.401 1.365  0.315 1.225  0.232 1.083  0.161 0.935  0.091 0.787  0.019 0.639  -0.057 0.493  -0.132 0.348  -0.208 0.202  -0.279 0.054  -0.345 -0.096  -0.412 -0.246  -0.479 -0.396  -0.536 -0.550  -0.590 -0.705  -0.643 -0.860  -0.643 -1.024  -0.590 -1.176  -0.443 -1.233  -0.282 -1.264  -0.118 -1.276  0.044 -1.299  0.205 -1.332  0.366 -1.323  0.526 -1.289  0.684 -1.244  0.841 -1.196
2#apb#apb05#app0529/l  0.354 1.444  0.322 1.507  0.266 1.542  0.250 1.494  0.250 1.424  0.246 1.354  0.235 1.284  0.224 1.215  0.214 1.145  0.205 1.075  0.198 1.005  0.190 0.935  0.183 0.865  0.175 0.795  0.168 0.725  0.155 0.656  0.141 0.587  0.127 0.518  0.113 0.449  0.099 0.380  0.086 0.311  0.075 0.242  0.065 0.172  0.055 0.103  0.044 0.033  0.034 -0.037  0.024 -0.106  0.013 -0.176  0.003 -0.246  -0.018 -0.313  -0.039 -0.380  -0.060 -0.447  -0.082 -0.514  -0.103 -0.581  -0.125 -0.648  -0.146 -0.715  -0.167 -0.782  -0.182 -0.851  -0.198 -0.920  -0.213 -0.988  -0.229 -1.057  -0.244 -1.125  -0.260 -1.194  -0.284 -1.260  -0.313 -1.324  -0.343 -1.388  -0.372 -1.452  -0.388 -1.518  -0.379 -1.588  -0.370 -1.657
2#apb#apb05#app0529/e  -0.829 0.150  -0.888 0.024  -0.810 -0.100  -0.667 -0.126  -0.518 -0.141  -0.369 -0.130  -0.219 -0.118  -0.076 -0.080  0.063 -0.024  0.202 0.031  0.332 0.103  0.450 0.195  0.567 0.289  0.679 0.389  0.790 0.489  0.865 0.614  0.916 0.755  0.963 0.897  0.999 1.043  0.969 1.184  0.852 1.249  0.710 1.224  0.569 1.173  0.434 1.109  0.310 1.026  0.185 0.943  0.060 0.860  -0.038 0.748  -0.133 0.632  -0.229 0.516  -0.324 0.401  -0.413 0.281  -0.499 0.157  -0.584 0.034  -0.644 -0.101  -0.680 -0.246  -0.716 -0.391  -0.729 -0.536  -0.688 -0.680  -0.647 -0.824  -0.578 -0.953  -0.477 -1.064  -0.377 -1.176  -0.245 -1.244  -0.108 -1.304  0.029 -1.364  0.169 -1.416  0.313 -1.458  0.457 -1.500  0.601 -1.543
2#apb#apb05#app0529/R  -0.213 1.058  -0.147 0.999  -0.170 0.789  -0.200 0.581  -0.233 0.372  -0.267 0.164  -0.302 -0.044  -0.330 -0.253  -0.359 -0.461  -0.395 -0.669  -0.435 -0.876  -0.476 -1.083  -0.517 -1.290  -0.558 -1.496  -0.558 -1.527  -0.558 -1.316  -0.558 -1.106  -0.558 -0.895  -0.558 -0.684  -0.558 -0.473  -0.558 -0.262  -0.558 -0.051  -0.558 0.159  -0.558 0.370  -0.558 0.581  -0.528 0.789  -0.408 0.958  -0.230 1.061  -0.034 1.140  0.173 1.179  0.382 1.196  0.593 1.196  0.799 1.149  0.992 1.067  1.139 0.925  1.167 0.717  1.081 0.533  0.950 0.372  0.759 0.284  0.588 0.161  0.385 0.113  0.176 0.100  0.053 -0.027  0.095 -0.230  0.183 -0.421  0.276 -0.611  0.384 -0.791  0.479 -0.977  0.574 -1.164  0.719 -1.307
2#apb#apb05#app0529/o  -0.330 0.721  -0.330 0.843  -0.439 0.891  -0.549 0.852  -0.645 0.780  -0.725 0.689  -0.798 0.592  -0.846 0.480  -0.895 0.368  -0.944 0.257  -0.977 0.140  -1.001 0.021  -1.018 -0.100  -1.028 -0.221  -1.037 -0.343  -0.982 -0.452  -0.928 -0.561  -0.848 -0.650  -0.756 -0.731  -0.659 -0.799  -0.539 -0.818  -0.418 -0.836  -0.297 -0.849  -0.176 -0.857  -0.054 -0.865  0.067 -0.866  0.185 -0.837  0.304 -0.807  0.422 -0.778  0.528 -0.720  0.629 -0.653  0.731 -0.585  0.832 -0.517  0.902 -0.417  0.972 -0.318  1.027 -0.210  1.066 -0.095  1.073 0.023  1.049 0.142  1.025 0.262  0.988 0.377  0.926 0.481  0.863 0.586  0.800 0.690  0.718 0.779  0.628 0.861  0.538 0.943  0.432 0.998  0.316 1.036  0.200 1.075
2#apb#apb05#app0529/c  1.116 1.085  1.031 1.085  0.945 1.085  0.860 1.085  0.775 1.085  0.690 1.085  0.605 1.085  0.519 1.085  0.443 1.049  0.368 1.009  0.293 0.969  0.218 0.928  0.143 0.888  0.075 0.837  0.008 0.784  -0.059 0.731  -0.126 0.679  -0.193 0.626  -0.260 0.573  -0.308 0.504  -0.352 0.431  -0.397 0.359  -0.442 0.286  -0.486 0.214  -0.516 0.134  -0.538 0.052  -0.560 -0.030  -0.583 -0.112  -0.582 -0.197  -0.577 -0.282  -0.571 -0.367  -0.565 -0.452  -0.560 -0.537  -0.526 -0.613  -0.482 -0.686  -0.438 -0.759  -0.395 -0.832  -0.330 -0.885  -0.259 -0.932  -0.188 -0.980  -0.117 -1.027  -0.046 -1.074  0.025 -1.122  0.100 -1.160  0.178 -1.195  0.256 -1.229  0.334 -1.264  0.412 -1.299  0.490 -1.333  0.568 -1.368
2#apb#apb05#app0529/k  -0.225 1.474  -0.326 1.284  -0.411 1.086  -0.482 0.883  -0.530 0.673  -0.579 0.463  -0.630 0.253  -0.680 0.043  -0.728 -0.167  -0.778 -0.377  -0.832 -0.586  -0.883 -0.795  -0.911 -1.009  -0.936 -1.223  -0.961 -1.388  -0.816 -1.228  -0.672 -1.068  -0.527 -0.908  -0.383 -0.748  -0.238 -0.588  -0.094 -0.428  0.051 -0.268  0.196 -0.108  0.340 0.052  0.485 0.212  0.629 0.373  0.774 0.533  0.918 0.693  1.063 0.853  1.207 1.013  1.271 1.093  1.098 0.968  0.902 0.878  0.709 0.782  0.530 0.662  0.345 0.551  0.156 0.447  -0.039 0.355  -0.243 0.288  -0.455 0.263  -0.405 0.164  -0.252 0.012  -0.105 -0.146  0.034 -0.310  0.170 -0.478  0.317 -0.636  0.476 -0.781  0.639 -0.922  0.821 -1.030  0.987 -1.161
2#apb#apb05#app0529/M  -0.931 0.723  -0.965 0.611  -0.976 0.394  -0.977 0.177  -0.972 -0.040  -0.964 -0.257  -0.995 -0.472  -1.014 -0.688  -1.027 -0.905  -1.063 -1.120  -1.074 -1.074  -1.024 -0.863  -0.963 -0.655  -0.894 -0.449  -0.820 -0.245  -0.725 -0.049  -0.630 0.146  -0.523 0.335  -0.412 0.522  -0.295 0.705  -0.152 0.867  0.007 1.015  0.176 0.995  0.240 0.790  0.260 0.574  0.242 0.358  0.224 0.141  0.204 -0.075  0.162 -0.288  0.132 -0.503  0.110 -0.718  0.128 -0.684  0.197 -0.478  0.272 -0.274  0.353 -0.072  0.445 0.124  0.545 0.317  0.663 0.498  0.798 0.668  0.946 0.827  1.123 0.863  1.201 0.670  1.203 0.453  1.193 0.236  1.182 0.019  1.148 -0.195  1.111 -0.409  1.088 -0.625  1.030 -0.835  1.010 -1.051
2#apb#apb05#app0529/i  -0.045 0.166  -0.063 0.062  -0.086 -0.042  -0.101 -0.148  -0.116 -0.253  -0.123 -0.359  -0.117 -0.465  -0.110 -0.571  -0.114 -0.676  -0.144 -0.779  -0.173 -0.881  -0.191 -0.985  -0.199 -1.091  -0.209 -1.197  -0.262 -1.289  -0.297 -1.388  -0.308 -1.421  -0.290 -1.316  -0.267 -1.212  -0.244 -1.108  -0.221 -1.004  -0.197 -0.901  -0.174 -0.797  -0.151 -0.693  -0.127 -0.589  -0.104 -0.485  -0.081 -0.381  -0.058 -0.277  -0.034 -0.173  -0.011 -0.070  0.012 0.034  0.036 0.138  0.059 0.242  0.082 0.346  0.105 0.450  0.129 0.554  0.152 0.658  0.175 0.761  0.199 0.865  0.222 0.969  0.245 1.073  0.269 1.177  0.292 1.281  0.315 1.385  0.338 1.489  0.362 1.592  0.385 1.696  0.408 1.800  0.432 1.904  0.402 1.911
2#apb#apb05#app0529/a  0.501 -0.072  0.600 0.099  0.725 0.252  0.766 0.439  0.762 0.637  0.673 0.815  0.563 0.980  0.408 1.087  0.217 1.140  0.026 1.197  -0.164 1.158  -0.349 1.088  -0.506 0.967  -0.660 0.841  -0.794 0.694  -0.916 0.539  -0.991 0.355  -1.067 0.171  -1.090 -0.027  -1.111 -0.225  -1.098 -0.423  -1.077 -0.620  -1.028 -0.812  -0.962 -1.000  -0.868 -1.171  -0.735 -1.319  -0.550 -1.351  -0.365 -1.297  -0.189 -1.203  -0.028 -1.088  0.130 -0.966  0.223 -0.795  0.299 -0.611  0.372 -0.426  0.444 -0.241  0.490 -0.047  0.534 0.147  0.549 0.344  0.549 0.543  0.531 0.741  0.466 0.812  0.420 0.623  0.407 0.425  0.431 0.228  0.453 0.031  0.453 -0.168  0.509 -0.354  0.598 -0.532  0.682 -0.712  0.766 -0.893
2#apb#apb05#app0529/m  -0.909 0.809  -0.972 0.642  -0.997 0.463  -1.000 0.283  -1.003 0.103  -1.014 -0.077  -1.024 -0.258  -1.035 -0.438  -1.014 -0.616  -1.013 -0.795  -1.037 -0.974  -1.024 -0.877  -0.997 -0.698  -0.963 -0.521  -0.903 -0.351  -0.844 -0.180  -0.751 -0.026  -0.653 0.125  -0.550 0.273  -0.446 0.421  -0.325 0.554  -0.185 0.665  -0.038 0.630  0.022 0.461  0.068 0.287  0.107 0.110  0.129 -0.068  0.114 -0.248  0.113 -0.428  0.057 -0.597  0.058 -0.540  0.134 -0.377  0.219 -0.218  0.300 -0.057  0.385 0.102  0.493 0.247  0.604 0.389  0.732 0.516  0.879 0.617  1.042 0.693  1.211 0.716  1.347 0.609  1.416 0.445  1.444 0.267  1.420 0.088  1.384 -0.089  1.340 -0.264  1.282 -0.435  1.224 -0.605  1.171 -0.778
2#apb#apb05#app0529/i  -0.425 0.442  -0.425 0.327  -0.430 0.213  -0.458 0.101  -0.486 -0.010  -0.518 -0.121  -0.550 -0.231  -0.581 -0.341  -0.611 -0.452  -0.637 -0.564  -0.645 -0.678  -0.652 -0.793  -0.652 -0.908  -0.623 -1.017  -0.552 -1.102  -0.462 -1.173  -0.348 -1.169  -0.233 -1.162  -0.123 -1.133  -0.015 -1.095  0.093 -1.055  0.198 -1.009  0.303 -0.963  0.394 -0.895  0.479 -0.818  0.503 -0.719  0.487 -0.605  0.472 -0.491  0.456 -0.378  0.440 -0.264  0.425 -0.150  0.409 -0.036  0.393 0.077  0.377 0.191  0.362 0.305  0.346 0.419  0.330 0.532  0.314 0.646  0.299 0.760  0.283 0.874  0.267 0.987  0.251 1.101  0.236 1.215  0.220 1.329  0.204 1.443  0.188 1.556  0.173 1.670  0.157 1.784  0.146 1.723  0.222 1.639
