1b#apa#apa03#app0381/Q  0.186 0.769  0.109 0.909  0.033 1.048  -0.157 0.984  -0.341 0.909  -0.557 0.909  -0.738 0.822  -0.890 0.670  -1.043 0.517  -1.097 0.323  -1.209 0.154  -1.209 -0.062  -1.209 -0.278  -1.204 -0.492  -1.051 -0.645  -0.885 -0.765  -0.669 -0.765  -0.453 -0.765  -0.237 -0.765  -0.025 -0.742  0.180 -0.674  0.382 -0.598  0.575 -0.501  0.734 -0.357  0.927 -0.303  1.023 -0.126  1.162 -0.050  1.162 0.166  1.140 0.373  1.023 0.540  1.023 0.756  0.838 0.814  0.661 0.909  0.445 0.909  0.229 0.909  0.023 0.885  -0.085 0.718  -0.049 0.505  -0.014 0.292  0.022 0.079  0.046 -0.001  0.046 -0.072  0.046 -0.288  0.046 -0.504  0.046 -0.720  0.068 -0.927  0.186 -1.094  0.186 -1.310  0.249 -1.463  0.325 -1.602
1b#apa#apa03#app0381/O  0.226 0.870  0.219 0.729  0.073 0.729  -0.074 0.729  -0.221 0.729  -0.358 0.706  -0.462 0.602  -0.603 0.589  -0.710 0.494  -0.814 0.390  -0.918 0.286  -1.021 0.182  -1.035 0.041  -1.035 -0.106  -1.035 -0.253  -1.035 -0.399  -1.035 -0.546  -1.019 -0.687  -0.916 -0.790  -0.812 -0.894  -0.689 -0.952  -0.542 -0.952  -0.396 -0.952  -0.249 -0.952  -0.102 -0.952  0.045 -0.952  0.192 -0.952  0.338 -0.952  0.485 -0.952  0.595 -0.863  0.720 -0.811  0.844 -0.754  0.927 -0.642  0.927 -0.495  0.927 -0.348  0.927 -0.202  0.927 -0.055  0.927 0.092  0.927 0.239  0.884 0.373  0.803 0.495  0.721 0.617  0.646 0.741  0.634 0.882  0.530 0.986  0.393 1.010  0.246 1.010  0.099 1.010  -0.047 1.010  -0.054 0.870
1b#apa#apa03#app0381/T  0.264 0.360  0.395 0.348  0.282 0.236  0.264 0.084  0.157 -0.032  0.121 -0.176  0.121 -0.336  0.021 -0.454  -0.022 -0.596  -0.022 -0.755  -0.022 -0.915  -0.164 -0.931  -0.164 -1.091  -0.164 -1.250  -0.164 -1.410  -0.112 -1.548  -0.030 -1.608  -0.073 -1.454  -0.116 -1.300  -0.158 -1.147  -0.201 -0.993  -0.244 -0.839  -0.286 -0.686  -0.329 -0.532  -0.372 -0.378  -0.414 -0.224  -0.457 -0.071  -0.500 0.083  -0.542 0.237  -0.585 0.390  -0.628 0.544  -0.670 0.698  -0.713 0.851  -0.735 1.008  -0.642 1.074  -0.593 0.964  -0.466 0.931  -0.306 0.931  -0.147 0.931  0.013 0.931  0.172 0.931  0.312 0.883  0.432 0.788  0.591 0.788  0.751 0.788  0.910 0.788  1.070 0.788  1.229 0.788  1.389 0.788  1.548 0.788
1b#apa#apa03#app0381/H  -0.229 1.165  -0.229 0.894  -0.368 0.762  -0.420 0.503  -0.541 0.261  -0.671 0.024  -0.787 -0.199  -0.857 -0.441  -0.950 -0.674  -1.066 -0.897  -1.206 -1.110  -1.239 -1.348  -1.239 -1.223  -1.063 -1.016  -0.888 -0.810  -0.712 -0.603  -0.536 -0.397  -0.361 -0.190  -0.185 0.017  -0.010 0.223  0.166 0.430  0.342 0.637  0.517 0.843  0.693 1.050  0.869 1.256  1.028 1.419  1.028 1.148  0.923 0.920  0.888 0.663  0.836 0.414  0.745 0.180  0.624 -0.063  0.609 -0.330  0.609 -0.602  0.551 -0.848  0.457 -1.057  0.266 -0.865  0.074 -0.674  -0.118 -0.482  -0.309 -0.290  -0.501 -0.098  -0.583 0.048  -0.451 0.187  -0.180 0.187  0.091 0.187  0.362 0.187  0.633 0.187  0.905 0.187  1.176 0.187  1.307 0.048
1b#apa#apa03#app0381/O  0.137 0.666  -0.011 0.666  -0.158 0.666  -0.305 0.666  -0.452 0.666  -0.599 0.666  -0.718 0.596  -0.822 0.492  -0.926 0.388  -1.005 0.266  -1.071 0.134  -1.119 -0.002  -1.119 -0.149  -1.119 -0.296  -1.111 -0.440  -1.007 -0.544  -0.962 -0.673  -0.888 -0.746  -0.741 -0.746  -0.610 -0.785  -0.506 -0.889  -0.365 -0.903  -0.217 -0.903  -0.070 -0.903  0.077 -0.903  0.224 -0.903  0.371 -0.903  0.499 -0.855  0.603 -0.751  0.748 -0.746  0.857 -0.654  0.961 -0.550  1.065 -0.446  1.078 -0.304  1.078 -0.157  1.078 -0.009  1.078 0.138  1.078 0.285  1.022 0.409  0.918 0.513  0.813 0.617  0.764 0.744  0.696 0.823  0.549 0.823  0.402 0.823  0.255 0.823  0.107 0.823  -0.040 0.823  -0.187 0.823  -0.334 0.823
1b#apa#apa03#app0381/W  -0.613 0.889  -0.643 1.016  -0.739 0.956  -0.829 0.889  -0.866 0.770  -0.971 0.658  -0.992 0.510  -0.992 0.354  -1.034 0.215  -1.119 0.093  -1.119 -0.063  -1.119 -0.219  -1.119 -0.375  -1.097 -0.523  -0.985 -0.628  -0.828 -0.628  -0.672 -0.628  -0.613 -0.531  -0.486 -0.502  -0.360 -0.472  -0.317 -0.333  -0.233 -0.211  -0.233 -0.055  -0.136 0.004  -0.107 0.131  -0.085 0.279  0.020 0.376  0.020 0.220  0.020 0.063  0.020 -0.093  0.020 -0.249  0.131 -0.360  0.273 -0.383  0.310 -0.502  0.399 -0.569  0.496 -0.628  0.653 -0.628  0.778 -0.598  0.839 -0.502  0.969 -0.438  1.079 -0.327  1.190 -0.217  1.284 -0.100  1.284 0.056  1.284 0.213  1.363 0.336  1.411 0.473  1.411 0.629  1.516 0.742  1.537 0.889
1b#apa#apa03#app0381/T  0.771 0.741  0.755 0.584  0.640 0.468  0.624 0.312  0.508 0.196  0.393 0.080  0.347 -0.064  0.262 -0.192  0.206 -0.333  0.206 -0.496  0.206 -0.659  0.196 -0.813  0.065 -0.845  0.065 -1.009  0.065 -1.172  0.065 -1.335  -0.056 -1.378  -0.077 -1.521  -0.083 -1.637  -0.124 -1.479  -0.166 -1.321  -0.207 -1.162  -0.249 -1.004  -0.291 -0.846  -0.332 -0.688  -0.374 -0.530  -0.415 -0.372  -0.457 -0.214  -0.499 -0.056  -0.540 0.102  -0.582 0.260  -0.623 0.418  -0.665 0.576  -0.707 0.734  -0.748 0.892  -0.783 0.996  -0.733 0.882  -0.641 0.955  -0.547 1.023  -0.384 1.023  -0.220 1.023  -0.058 1.017  0.097 0.965  0.252 0.914  0.411 0.882  0.574 0.882  0.738 0.882  0.887 0.824  1.034 0.751  1.195 0.741
1b#apa#apa03#app0381/O  -0.061 0.269  -0.204 0.269  -0.306 0.170  -0.429 0.124  -0.572 0.124  -0.694 0.074  -0.797 -0.022  -0.936 -0.027  -0.936 -0.170  -0.936 -0.313  -1.077 -0.314  -1.082 -0.453  -1.082 -0.596  -0.988 -0.700  -0.936 -0.821  -0.869 -0.897  -0.726 -0.897  -0.583 -0.897  -0.440 -0.897  -0.297 -0.897  -0.154 -0.897  -0.011 -0.897  0.127 -0.877  0.255 -0.813  0.383 -0.751  0.525 -0.749  0.626 -0.648  0.727 -0.547  0.834 -0.460  0.960 -0.443  0.960 -0.300  0.960 -0.157  0.960 -0.014  0.960 0.129  0.960 0.272  0.960 0.414  0.897 0.542  0.833 0.670  0.814 0.809  0.744 0.923  0.643 1.024  0.542 1.125  0.407 1.145  0.265 1.145  0.122 1.145  -0.021 1.145  -0.153 1.098  -0.281 1.034  -0.397 0.954  -0.498 0.853
1b#apa#apa03#app0381/W  -0.820 0.822  -0.754 0.931  -0.805 0.837  -0.820 0.669  -0.899 0.527  -0.939 0.367  -1.017 0.211  -1.037 0.041  -1.099 -0.108  -1.146 -0.264  -1.146 -0.438  -1.128 -0.606  -1.037 -0.743  -0.925 -0.806  -0.771 -0.757  -0.647 -0.633  -0.494 -0.585  -0.494 -0.411  -0.386 -0.344  -0.386 -0.170  -0.350 -0.010  -0.277 0.135  -0.180 0.269  -0.169 0.439  -0.060 0.505  0.014 0.605  0.148 0.506  0.157 0.335  0.149 0.163  0.048 0.030  0.048 -0.144  0.048 -0.319  0.135 -0.458  0.157 -0.623  0.258 -0.697  0.432 -0.697  0.607 -0.697  0.758 -0.639  0.911 -0.589  1.036 -0.469  1.160 -0.345  1.242 -0.205  1.242 -0.030  1.242 0.145  1.242 0.319  1.242 0.494  1.351 0.624  1.351 0.799  1.351 0.973  1.459 1.039
1b#apa#apa03#app0381/A  -0.414 0.834  -0.369 0.740  -0.414 0.488  -0.553 0.356  -0.690 0.141  -0.692 -0.129  -0.837 -0.356  -0.970 -0.588  -0.988 -0.851  -1.179 -1.043  -1.248 -1.286  -1.088 -1.368  -0.896 -1.177  -0.803 -0.944  -0.692 -0.719  -0.502 -0.555  -0.414 -0.373  -0.289 -0.153  -0.112 0.049  0.003 0.293  0.069 0.549  0.190 0.791  0.329 1.021  0.423 1.254  0.559 1.469  0.770 1.529  0.837 1.324  0.837 1.053  0.837 0.782  0.837 0.511  0.837 0.239  0.837 -0.032  0.837 -0.303  0.837 -0.574  0.845 -0.842  0.900 -0.928  0.666 -0.792  0.432 -0.655  0.197 -0.518  -0.037 -0.382  -0.271 -0.245  -0.505 -0.108  -0.636 0.000  -0.420 0.133  -0.151 0.139  0.093 0.254  0.358 0.278  0.629 0.278  0.901 0.278  1.114 0.139
1b#apa#apa03#app0381/L  0.329 1.521  0.329 1.410  0.256 1.373  0.145 1.373  0.035 1.373  0.034 1.263  -0.017 1.174  -0.096 1.096  -0.151 1.002  -0.201 0.903  -0.250 0.804  -0.348 0.784  -0.408 0.733  -0.417 0.627  -0.496 0.548  -0.555 0.463  -0.555 0.352  -0.555 0.242  -0.555 0.131  -0.573 0.028  -0.652 -0.050  -0.703 -0.139  -0.703 -0.250  -0.703 -0.360  -0.703 -0.471  -0.703 -0.581  -0.703 -0.692  -0.703 -0.802  -0.628 -0.838  -0.518 -0.838  -0.407 -0.838  -0.329 -0.760  -0.247 -0.691  -0.137 -0.691  -0.026 -0.691  0.069 -0.656  0.148 -0.577  0.244 -0.543  0.354 -0.543  0.465 -0.543  0.575 -0.543  0.686 -0.543  0.796 -0.543  0.907 -0.543  1.017 -0.543  1.128 -0.543  1.238 -0.543  1.349 -0.543  1.430 -0.612  1.509 -0.691
1b#apa#apa03#app0381/T  0.512 0.709  0.498 0.549  0.380 0.431  0.220 0.415  0.217 0.251  0.217 0.085  0.178 -0.065  0.061 -0.183  -0.057 -0.301  -0.077 -0.459  -0.084 -0.622  -0.202 -0.740  -0.224 -0.898  -0.224 -1.064  -0.224 -1.231  -0.224 -1.397  -0.158 -1.498  -0.077 -1.583  -0.106 -1.545  -0.153 -1.385  -0.200 -1.225  -0.247 -1.066  -0.294 -0.906  -0.341 -0.746  -0.388 -0.587  -0.435 -0.427  -0.482 -0.267  -0.529 -0.107  -0.576 0.052  -0.623 0.212  -0.670 0.372  -0.717 0.532  -0.764 0.691  -0.811 0.851  -0.652 0.856  -0.518 0.889  -0.466 1.004  -0.299 1.004  -0.133 1.004  0.034 1.004  0.186 0.946  0.335 0.871  0.498 0.856  0.663 0.852  0.781 0.735  0.937 0.709  1.102 0.707  1.220 0.590  1.375 0.562  1.542 0.562
1b#apa#apa03#app0381/Z  -0.820 1.071  -0.820 0.958  -0.791 1.071  -0.648 1.071  -0.506 1.071  -0.363 1.071  -0.221 1.071  -0.079 1.071  0.064 1.071  0.206 1.071  0.347 1.062  0.474 0.999  0.603 0.943  0.713 0.910  0.666 0.815  0.585 0.753  0.531 0.633  0.431 0.533  0.330 0.432  0.229 0.331  0.128 0.230  0.028 0.130  -0.073 0.029  -0.174 -0.072  -0.274 -0.172  -0.375 -0.273  -0.476 -0.374  -0.581 -0.462  -0.715 -0.485  -0.815 -0.586  -0.828 -0.718  -0.948 -0.741  -0.910 -0.846  -0.768 -0.846  -0.625 -0.846  -0.507 -0.788  -0.394 -0.718  -0.251 -0.718  -0.109 -0.718  0.034 -0.718  0.176 -0.718  0.319 -0.718  0.461 -0.718  0.598 -0.731  0.699 -0.831  0.835 -0.846  0.975 -0.852  1.076 -0.953  1.210 -0.974  1.352 -0.974
