1c#apa#apa02#app0236/a  0.454 1.128  0.262 1.135  0.152 1.224  -0.047 1.224  -0.245 1.224  -0.411 1.191  -0.536 1.100  -0.608 0.931  -0.700 0.770  -0.796 0.667  -0.892 0.508  -0.988 0.349  -0.988 0.150  -0.988 -0.049  -0.988 -0.248  -0.894 -0.408  -0.892 -0.606  -0.796 -0.709  -0.700 -0.811  -0.603 -0.914  -0.507 -1.017  -0.411 -1.120  -0.312 -1.276  -0.123 -1.266  -0.027 -1.163  0.069 -1.060  0.099 -0.891  0.191 -0.769  0.264 -0.600  0.358 -0.440  0.358 -0.241  0.358 -0.042  0.358 0.157  0.358 0.356  0.358 0.554  0.358 0.753  0.358 0.952  0.358 0.912  0.358 0.713  0.358 0.515  0.358 0.316  0.358 0.117  0.454 -0.042  0.539 -0.206  0.636 -0.314  0.780 -0.448  0.955 -0.506  1.118 -0.593  1.313 -0.603  1.512 -0.603
1c#apa#apa02#app0236/l  -0.695 -1.461  -0.608 -1.383  -0.520 -1.304  -0.441 -1.206  -0.323 -1.089  -0.226 -0.963  -0.147 -0.830  -0.082 -0.691  -0.069 -0.530  0.009 -0.397  0.049 -0.247  0.088 -0.097  0.166 0.036  0.244 0.124  0.264 0.282  0.322 0.424  0.401 0.511  0.401 0.677  0.479 0.765  0.479 0.931  0.479 1.097  0.418 1.201  0.401 1.350  0.322 1.438  0.233 1.514  0.088 1.494  -0.012 1.415  -0.074 1.275  -0.210 1.201  -0.226 1.051  -0.304 0.964  -0.382 0.876  -0.382 0.710  -0.352 0.575  -0.304 0.456  -0.304 0.290  -0.304 0.125  -0.304 -0.041  -0.226 -0.175  -0.226 -0.341  -0.226 -0.507  -0.147 -0.640  -0.061 -0.772  0.015 -0.919  0.088 -1.055  0.239 -1.069  0.326 -1.151  0.460 -1.226  0.548 -1.304  0.636 -1.383
1c#apa#apa02#app0236/m  -1.152 0.640  -1.130 0.422  -1.055 0.226  -0.957 0.039  -0.957 -0.188  -0.859 -0.375  -0.828 -0.595  -0.761 -0.807  -0.761 -1.034  -0.761 -1.261  -0.761 -1.142  -0.755 -0.918  -0.663 -0.728  -0.663 -0.501  -0.663 -0.274  -0.663 -0.046  -0.663 0.181  -0.592 0.392  -0.566 0.613  -0.468 0.742  -0.370 0.800  -0.272 0.613  -0.230 0.403  -0.174 0.199  -0.094 -0.010  -0.077 -0.233  -0.059 -0.453  0.021 -0.647  0.119 -0.819  0.216 -0.632  0.217 -0.405  0.217 -0.178  0.283 0.022  0.314 0.236  0.412 0.423  0.423 0.640  0.510 0.780  0.608 0.967  0.706 1.097  0.901 1.129  0.923 0.911  0.999 0.715  1.097 0.586  1.097 0.359  1.195 0.172  1.202 -0.052  1.292 -0.242  1.327 -0.436  1.390 -0.599  1.488 -0.729
1c#apa#apa02#app0236/n  -1.027 1.020  -0.965 0.917  -0.923 0.793  -0.841 0.710  -0.820 0.565  -0.747 0.430  -0.716 0.277  -0.716 0.111  -0.704 -0.052  -0.652 -0.209  -0.613 -0.368  -0.613 -0.534  -0.613 -0.699  -0.524 -0.828  -0.509 -0.988  -0.509 -1.153  -0.509 -1.195  -0.422 -1.066  -0.406 -0.907  -0.406 -0.741  -0.379 -0.582  -0.305 -0.434  -0.302 -0.269  -0.302 -0.104  -0.302 0.062  -0.302 0.227  -0.302 0.393  -0.199 0.516  -0.146 0.659  -0.001 0.710  0.045 0.850  0.176 0.949  0.325 1.020  0.490 1.020  0.656 1.020  0.733 0.932  0.839 0.810  0.940 0.687  0.940 0.521  0.940 0.356  0.940 0.190  0.940 0.025  0.940 -0.141  0.940 -0.307  0.940 -0.472  0.940 -0.638  0.940 -0.803  1.029 -0.932  1.043 -1.091  1.043 -1.257
1c#apa#apa02#app0236/o  -0.226 1.120  -0.353 1.081  -0.477 1.033  -0.584 0.947  -0.661 0.881  -0.747 0.773  -0.748 0.631  -0.826 0.520  -0.834 0.381  -0.906 0.267  -0.921 0.131  -0.919 -0.011  -0.834 -0.120  -0.834 -0.263  -0.834 -0.406  -0.821 -0.543  -0.748 -0.656  -0.680 -0.771  -0.632 -0.877  -0.489 -0.877  -0.433 -0.964  -0.297 -0.980  -0.183 -1.051  -0.040 -1.051  0.103 -1.051  0.210 -0.964  0.353 -0.964  0.488 -0.944  0.603 -0.877  0.659 -0.790  0.729 -0.717  0.759 -0.586  0.860 -0.485  0.903 -0.360  0.989 -0.253  0.989 -0.110  0.989 0.033  0.981 0.173  0.903 0.283  0.902 0.426  0.816 0.483  0.736 0.592  0.642 0.697  0.575 0.773  0.468 0.860  0.331 0.885  0.203 0.947  0.060 0.947  -0.083 0.947  -0.140 0.860
1c#apa#apa02#app0236/p  -0.258 -1.750  -0.258 -1.884  -0.328 -1.834  -0.328 -1.701  -0.328 -1.568  -0.328 -1.434  -0.328 -1.301  -0.328 -1.168  -0.328 -1.035  -0.328 -0.902  -0.330 -0.769  -0.398 -0.664  -0.398 -0.531  -0.398 -0.398  -0.398 -0.265  -0.398 -0.131  -0.398 0.002  -0.398 0.135  -0.398 0.268  -0.398 0.401  -0.398 0.534  -0.359 0.628  -0.328 0.731  -0.302 0.838  -0.244 0.922  -0.135 0.978  -0.071 1.048  0.030 1.126  0.124 1.220  0.241 1.258  0.353 1.207  0.468 1.162  0.513 1.048  0.627 1.003  0.721 0.908  0.766 0.794  0.792 0.671  0.792 0.538  0.782 0.409  0.722 0.301  0.652 0.196  0.598 0.085  0.501 -0.001  0.389 -0.054  0.275 -0.120  0.147 -0.141  0.037 -0.197  -0.090 -0.211  -0.224 -0.211  -0.328 -0.141
1c#apa#apa02#app0236/q  0.327 1.039  0.196 1.169  -0.021 1.207  -0.254 1.207  -0.453 1.123  -0.660 1.060  -0.824 0.895  -0.932 0.706  -1.016 0.508  -1.009 0.277  -0.932 0.076  -0.827 -0.052  -0.678 -0.136  -0.464 -0.088  -0.281 0.032  -0.110 0.183  -0.005 0.372  0.159 0.538  0.266 0.726  0.431 0.891  0.494 1.098  0.411 0.949  0.310 0.755  0.185 0.562  0.109 0.351  -0.009 0.161  -0.056 -0.062  -0.160 -0.270  -0.197 -0.491  -0.324 -0.683  -0.345 -0.911  -0.345 -1.144  -0.345 -1.377  -0.345 -1.611  -0.231 -1.730  -0.008 -1.687  0.159 -1.540  0.280 -1.357  0.411 -1.178  0.494 -0.980  0.494 -0.747  0.411 -0.548  0.327 -0.350  0.243 -0.151  0.376 -0.052  0.576 0.029  0.741 0.194  0.955 0.241  1.144 0.346  1.333 0.452
1c#apa#apa02#app0236/r  -0.750 0.796  -0.732 0.674  -0.627 0.637  -0.627 0.497  -0.555 0.429  -0.505 0.339  -0.505 0.198  -0.502 0.059  -0.403 -0.041  -0.383 -0.173  -0.383 -0.313  -0.383 -0.453  -0.352 -0.581  -0.260 -0.684  -0.260 -0.824  -0.260 -0.965  -0.260 -1.105  -0.202 -1.221  -0.138 -1.335  -0.138 -1.476  -0.198 -1.470  -0.260 -1.355  -0.260 -1.215  -0.260 -1.074  -0.260 -0.934  -0.260 -0.793  -0.260 -0.653  -0.260 -0.512  -0.260 -0.372  -0.260 -0.232  -0.260 -0.091  -0.182 0.017  -0.103 0.131  -0.040 0.256  -0.015 0.391  0.058 0.501  0.107 0.621  0.195 0.674  0.305 0.749  0.404 0.848  0.515 0.918  0.639 0.960  0.746 1.041  0.886 1.041  1.008 1.085  1.116 1.163  1.243 1.130  1.332 1.026  1.355 0.895  1.454 0.796
1c#apa#apa02#app0236/s  0.452 0.705  0.452 0.829  0.452 0.953  0.360 0.986  0.321 1.072  0.218 1.122  0.111 1.164  -0.014 1.164  -0.138 1.164  -0.262 1.164  -0.387 1.164  -0.466 1.119  -0.543 1.072  -0.576 0.980  -0.650 0.929  -0.650 0.805  -0.650 0.681  -0.650 0.556  -0.650 0.432  -0.564 0.343  -0.449 0.320  -0.356 0.246  -0.246 0.209  -0.145 0.154  -0.021 0.154  0.071 0.075  0.186 0.052  0.276 -0.030  0.378 -0.066  0.434 -0.177  0.536 -0.213  0.543 -0.330  0.601 -0.397  0.635 -0.487  0.635 -0.611  0.635 -0.736  0.635 -0.860  0.598 -0.947  0.494 -0.997  0.406 -1.084  0.301 -1.131  0.204 -1.195  0.091 -1.223  -0.026 -1.241  -0.120 -1.315  -0.244 -1.315  -0.369 -1.315  -0.493 -1.315  -0.617 -1.315  -0.742 -1.315
1c#apa#apa02#app0236/t  0.822 1.305  0.749 1.319  0.676 1.159  0.559 1.017  0.443 0.925  0.384 0.759  0.297 0.604  0.224 0.444  0.133 0.277  0.016 0.130  -0.054 -0.044  -0.116 -0.220  -0.141 -0.405  -0.141 -0.596  -0.141 -0.786  -0.138 -0.976  -0.054 -1.131  -0.054 -1.322  0.100 -1.410  0.209 -1.492  0.378 -1.490  0.260 -1.340  0.141 -1.191  0.023 -1.041  -0.096 -0.892  -0.214 -0.742  -0.332 -0.593  -0.451 -0.443  -0.569 -0.294  -0.687 -0.144  -0.806 0.005  -0.924 0.155  -1.042 0.304  -1.161 0.454  -1.279 0.603  -1.094 0.594  -0.936 0.517  -0.745 0.517  -0.554 0.517  -0.364 0.517  -0.173 0.517  0.010 0.485  0.188 0.429  0.378 0.429  0.569 0.429  0.760 0.429  0.951 0.429  1.141 0.429  1.332 0.429  1.523 0.429
1c#apa#apa02#app0236/u  -1.038 0.970  -0.934 1.024  -1.038 1.070  -1.038 0.910  -1.038 0.751  -1.038 0.591  -1.038 0.432  -1.038 0.272  -1.038 0.113  -1.038 -0.046  -1.021 -0.199  -0.934 -0.322  -0.934 -0.481  -0.905 -0.629  -0.793 -0.742  -0.724 -0.873  -0.641 -0.998  -0.491 -1.019  -0.340 -0.984  -0.198 -0.911  -0.081 -0.810  0.008 -0.739  0.097 -0.617  0.210 -0.504  0.322 -0.391  0.361 -0.248  0.427 -0.116  0.427 0.044  0.427 0.203  0.427 0.362  0.427 0.522  0.427 0.681  0.427 0.841  0.427 1.000  0.427 0.989  0.427 0.830  0.427 0.670  0.455 0.523  0.532 0.395  0.532 0.235  0.572 0.093  0.636 -0.040  0.754 -0.090  0.846 -0.211  0.930 -0.286  0.984 -0.391  1.144 -0.391  1.261 -0.492  1.419 -0.496  1.579 -0.496
1c#apa#apa02#app0236/v  -1.226 0.768  -1.226 0.894  -1.173 0.891  -1.061 0.856  -1.031 0.750  -0.961 0.653  -0.916 0.546  -0.873 0.438  -0.785 0.400  -0.761 0.280  -0.705 0.167  -0.609 0.132  -0.609 0.006  -0.520 -0.032  -0.489 -0.145  -0.432 -0.247  -0.374 -0.349  -0.344 -0.462  -0.321 -0.578  -0.232 -0.667  -0.168 -0.767  -0.116 -0.871  -0.079 -0.982  -0.000 -1.075  0.009 -1.197  0.071 -1.261  0.097 -1.161  0.132 -1.049  0.221 -0.960  0.273 -0.856  0.336 -0.756  0.362 -0.641  0.390 -0.527  0.450 -0.426  0.450 -0.300  0.502 -0.186  0.570 -0.082  0.626 0.020  0.626 0.146  0.680 0.259  0.750 0.362  0.819 0.463  0.858 0.583  0.891 0.703  0.934 0.811  0.979 0.919  0.979 1.044  1.014 1.156  1.017 1.209  0.979 1.121
1c#apa#apa02#app0236/w  -1.247 0.792  -1.247 0.652  -1.247 0.512  -1.247 0.372  -1.247 0.232  -1.247 0.092  -1.175 -0.018  -1.175 -0.158  -1.167 -0.295  -1.068 -0.394  -1.020 -0.514  -0.921 -0.613  -0.822 -0.712  -0.685 -0.719  -0.545 -0.719  -0.441 -0.632  -0.383 -0.516  -0.312 -0.406  -0.296 -0.272  -0.240 -0.155  -0.240 -0.015  -0.240 0.125  -0.168 0.235  -0.168 0.346  -0.096 0.278  -0.091 0.140  -0.024 0.028  0.017 -0.071  0.074 -0.169  0.123 -0.289  0.248 -0.351  0.315 -0.431  0.425 -0.503  0.565 -0.503  0.705 -0.503  0.822 -0.449  0.921 -0.350  1.020 -0.250  1.128 -0.197  1.128 -0.057  1.186 0.059  1.200 0.193  1.200 0.333  1.200 0.473  1.200 0.613  1.176 0.744  1.128 0.864  1.080 0.984  0.984 1.042  0.912 1.152
1c#apa#apa02#app0236/x  -1.424 0.736  -1.240 0.736  -1.057 0.736  -0.937 0.672  -0.802 0.602  -0.644 0.541  -0.514 0.411  -0.367 0.305  -0.213 0.208  -0.083 0.078  0.043 -0.054  0.125 -0.219  0.249 -0.353  0.379 -0.482  0.509 -0.612  0.597 -0.772  0.720 -0.853  0.720 -0.999  0.728 -0.815  0.736 -0.632  0.744 -0.449  0.752 -0.265  0.760 -0.082  0.768 0.102  0.776 0.285  0.784 0.469  0.792 0.652  0.800 0.836  0.808 1.019  0.816 1.203  0.720 1.158  0.622 1.072  0.523 0.929  0.393 0.799  0.288 0.652  0.190 0.499  0.060 0.369  -0.064 0.236  -0.122 0.061  -0.223 -0.076  -0.370 -0.176  -0.453 -0.339  -0.570 -0.478  -0.656 -0.640  -0.770 -0.781  -0.859 -0.940  -0.937 -1.092  -1.034 -1.235  -1.034 -1.419  -1.034 -1.602
1c#apa#apa02#app0236/y  -1.071 1.148  -1.138 1.033  -1.138 0.850  -1.128 0.672  -1.046 0.524  -0.964 0.375  -0.859 0.282  -0.677 0.282  -0.524 0.356  -0.370 0.450  -0.272 0.592  -0.205 0.746  -0.138 0.901  -0.072 1.056  -0.072 1.238  -0.072 1.143  -0.018 0.973  0.061 0.809  0.128 0.655  0.182 0.495  0.209 0.321  0.261 0.151  0.276 -0.029  0.328 -0.203  0.328 -0.385  0.328 -0.567  0.328 -0.750  0.328 -0.932  0.328 -1.114  0.328 -1.296  0.328 -1.479  0.261 -1.633  0.095 -1.650  -0.005 -1.528  -0.081 -1.364  -0.138 -1.195  -0.138 -1.013  -0.138 -0.831  -0.108 -0.656  -0.026 -0.493  0.055 -0.330  0.142 -0.170  0.243 -0.021  0.374 0.100  0.520 0.210  0.678 0.299  0.827 0.399  0.991 0.480  1.145 0.549  1.327 0.549
1c#apa#apa02#app0236/z  -0.528 0.658  -0.582 0.731  -0.602 0.839  -0.602 0.966  -0.533 1.025  -0.479 1.098  -0.382 1.171  -0.256 1.171  -0.128 1.171  -0.001 1.171  0.126 1.171  0.253 1.171  0.380 1.171  0.499 1.163  0.543 1.054  0.572 0.939  0.526 0.831  0.499 0.715  0.449 0.608  0.360 0.518  0.300 0.407  0.222 0.308  0.159 0.199  0.073 0.115  -0.028 0.044  -0.085 -0.069  -0.171 -0.162  -0.247 -0.264  -0.324 -0.366  -0.395 -0.470  -0.452 -0.584  -0.509 -0.698  -0.588 -0.796  -0.675 -0.887  -0.675 -1.014  -0.596 -1.108  -0.497 -1.177  -0.370 -1.177  -0.243 -1.177  -0.121 -1.156  -0.006 -1.103  0.121 -1.103  0.236 -1.051  0.335 -0.974  0.455 -0.956  0.573 -0.919  0.678 -0.850  0.789 -0.810  0.916 -0.810  1.013 -0.736
