3#app#app41#app4117/f  0.870 0.663  0.870 0.818  0.870 0.973  0.870 1.128  0.870 1.283  0.786 1.354  0.631 1.354  0.476 1.354  0.321 1.354  0.166 1.354  0.011 1.354  0.006 1.204  -0.127 1.182  -0.167 1.067  -0.167 0.912  -0.167 0.757  -0.167 0.602  -0.167 0.447  -0.167 0.291  -0.167 0.136  -0.167 -0.019  -0.167 -0.174  -0.167 -0.329  -0.167 -0.484  -0.167 -0.639  -0.167 -0.794  -0.167 -0.949  -0.167 -1.105  -0.167 -1.260  -0.167 -1.415  -0.167 -1.570  -0.217 -1.454  -0.271 -1.308  -0.325 -1.163  -0.380 -1.018  -0.434 -0.873  -0.489 -0.728  -0.543 -0.582  -0.598 -0.437  -0.652 -0.292  -0.627 -0.202  -0.472 -0.202  -0.317 -0.202  -0.163 -0.206  -0.054 -0.315  0.077 -0.375  0.232 -0.375  0.387 -0.375  0.542 -0.375  0.697 -0.375
3#app#app41#app4117/d  0.163 -0.698  0.163 -0.514  -0.010 -0.503  -0.194 -0.503  -0.378 -0.503  -0.563 -0.503  -0.618 -0.632  -0.701 -0.782  -0.813 -0.920  -0.802 -1.099  -0.672 -1.229  -0.510 -1.284  -0.326 -1.284  -0.227 -1.198  -0.153 -1.089  -0.032 -1.025  0.005 -0.856  0.135 -0.726  0.163 -0.554  0.163 -0.369  0.163 -0.185  0.163 -0.001  0.163 0.183  0.163 0.367  0.163 0.551  0.163 0.736  0.163 0.920  0.163 1.104  0.163 1.288  0.163 1.472  0.163 1.656  0.162 1.839  -0.023 1.839  -0.032 1.665  -0.032 1.480  -0.032 1.296  -0.032 1.112  -0.032 0.928  -0.032 0.744  0.044 0.591  0.163 0.456  0.165 0.272  0.223 0.098  0.281 -0.077  0.339 -0.252  0.358 -0.433  0.358 -0.617  0.431 -0.771  0.553 -0.904  0.553 -1.089
3#app#app41#app4117/k  -0.850 1.891  -0.850 1.694  -0.810 1.505  -0.721 1.328  -0.633 1.151  -0.544 0.974  -0.543 0.777  -0.543 0.579  -0.543 0.381  -0.543 0.184  -0.543 -0.014  -0.543 -0.212  -0.543 -0.410  -0.543 -0.608  -0.543 -0.805  -0.543 -1.003  -0.543 -1.141  -0.543 -0.943  -0.543 -0.745  -0.532 -0.558  -0.334 -0.558  -0.237 -0.458  -0.237 -0.260  -0.237 -0.062  -0.237 0.136  -0.237 0.333  -0.066 0.360  0.069 0.423  0.069 0.621  0.221 0.667  0.419 0.667  0.616 0.667  0.814 0.667  0.971 0.649  0.831 0.509  0.691 0.370  0.681 0.176  0.605 0.054  0.407 0.054  0.375 -0.112  0.375 -0.309  0.375 -0.507  0.375 -0.705  0.413 -0.865  0.611 -0.865  0.681 -0.992  0.701 -1.171  0.898 -1.171  1.096 -1.171  1.294 -1.171
3#app#app41#app4117/n  -0.544 0.963  -0.544 0.779  -0.544 0.595  -0.544 0.411  -0.544 0.227  -0.544 0.043  -0.626 -0.107  -0.756 -0.237  -0.886 -0.367  -1.016 -0.497  -1.038 -0.672  -1.038 -0.856  -1.012 -1.013  -0.828 -1.013  -0.644 -1.013  -0.544 -0.929  -0.544 -0.745  -0.544 -0.561  -0.544 -0.377  -0.544 -0.193  -0.528 -0.025  -0.344 -0.025  -0.160 -0.025  -0.050 0.048  -0.050 0.232  -0.050 0.416  0.043 0.562  0.173 0.692  0.303 0.822  0.433 0.952  0.444 1.131  0.444 1.315  0.444 1.415  0.444 1.231  0.444 1.047  0.444 0.863  0.444 0.679  0.444 0.495  0.556 0.357  0.686 0.227  0.816 0.097  0.938 -0.036  0.938 -0.220  0.938 -0.404  0.938 -0.588  0.938 -0.772  0.938 -0.956  0.938 -1.140  0.938 -1.323  0.938 -1.507
3#app#app41#app4117/e  -0.254 0.386  -0.124 0.386  0.007 0.386  0.137 0.386  0.268 0.386  0.398 0.386  0.528 0.386  0.659 0.386  0.789 0.386  0.920 0.386  1.050 0.386  1.076 0.490  1.076 0.621  1.076 0.751  1.024 0.829  0.893 0.829  0.763 0.829  0.632 0.829  0.502 0.829  0.371 0.829  0.241 0.829  0.111 0.829  -0.020 0.829  -0.150 0.829  -0.254 0.803  -0.254 0.672  -0.254 0.542  -0.254 0.411  -0.328 0.312  -0.421 0.219  -0.513 0.127  -0.605 0.035  -0.697 -0.057  -0.698 -0.188  -0.698 -0.318  -0.698 -0.449  -0.698 -0.579  -0.698 -0.709  -0.698 -0.840  -0.698 -0.970  -0.698 -1.101  -0.698 -1.231  -0.698 -1.362  -0.593 -1.388  -0.463 -1.388  -0.333 -1.388  -0.202 -1.388  -0.072 -1.388  0.059 -1.388  0.189 -1.388
3#app#app41#app4117/w  -1.251 0.905  -1.251 0.745  -1.251 0.585  -1.251 0.426  -1.251 0.266  -1.251 0.106  -1.251 -0.053  -1.111 -0.073  -0.951 -0.073  -0.925 -0.206  -0.925 -0.366  -0.925 -0.526  -0.925 -0.685  -0.805 -0.725  -0.645 -0.725  -0.599 -0.612  -0.599 -0.452  -0.492 -0.399  -0.333 -0.399  -0.273 -0.299  -0.273 -0.140  -0.273 0.020  -0.273 0.180  -0.186 0.253  -0.027 0.253  0.053 0.333  0.053 0.492  0.053 0.506  0.053 0.346  0.120 0.253  0.279 0.253  0.379 0.193  0.379 0.033  0.379 -0.126  0.379 -0.286  0.426 -0.399  0.585 -0.399  0.745 -0.399  0.905 -0.399  1.064 -0.399  1.224 -0.399  1.357 -0.373  1.357 -0.213  1.357 -0.053  1.357 0.106  1.357 0.266  1.357 0.426  1.357 0.585  1.357 0.745  1.357 0.905
3#app#app41#app4117/t  0.238 1.718  0.238 1.501  0.069 1.454  -0.026 1.331  -0.026 1.115  -0.053 0.926  -0.270 0.926  -0.290 0.728  -0.290 0.512  -0.362 0.325  -0.515 0.172  -0.554 -0.029  -0.554 -0.246  -0.554 -0.463  -0.532 -0.658  -0.316 -0.658  -0.290 -0.849  -0.188 -1.024  -0.035 -1.177  0.178 -1.186  0.395 -1.186  0.611 -1.186  0.828 -1.186  1.045 -1.186  1.262 -1.186  1.149 -1.073  0.978 -0.940  0.807 -0.807  0.636 -0.674  0.465 -0.541  0.294 -0.408  0.123 -0.275  -0.048 -0.142  -0.220 -0.009  -0.391 0.124  -0.562 0.257  -0.733 0.390  -0.904 0.524  -1.075 0.657  -1.082 0.453  -0.920 0.398  -0.704 0.398  -0.487 0.398  -0.270 0.398  -0.053 0.398  0.163 0.398  0.380 0.398  0.597 0.398  0.814 0.398  1.030 0.398
3#app#app41#app4117/h  -0.449 1.818  -0.293 1.818  -0.192 1.764  -0.192 1.608  -0.192 1.452  -0.198 1.303  -0.354 1.303  -0.449 1.242  -0.449 1.086  -0.449 0.930  -0.449 0.774  -0.449 0.618  -0.449 0.462  -0.449 0.306  -0.449 0.150  -0.463 0.000  -0.574 -0.110  -0.684 -0.220  -0.707 -0.367  -0.707 -0.523  -0.707 -0.678  -0.631 -0.758  -0.475 -0.758  -0.319 -0.758  -0.192 -0.729  -0.192 -0.573  -0.133 -0.442  -0.023 -0.332  0.088 -0.221  0.198 -0.111  0.308 -0.001  0.324 0.149  0.356 0.272  0.512 0.272  0.581 0.186  0.581 0.030  0.482 -0.085  0.372 -0.195  0.324 -0.331  0.324 -0.487  0.324 -0.643  0.364 -0.758  0.520 -0.758  0.581 -0.853  0.581 -1.009  0.731 -1.016  0.839 -1.063  0.839 -1.219  0.941 -1.273  1.097 -1.273
3#app#app41#app4117/a  0.456 1.456  0.272 1.456  0.088 1.456  -0.097 1.456  -0.153 1.328  -0.153 1.144  -0.153 0.959  -0.225 0.847  -0.409 0.847  -0.594 0.847  -0.762 0.831  -0.762 0.647  -0.762 0.462  -0.762 0.278  -0.762 0.094  -0.762 -0.091  -0.762 -0.275  -0.762 -0.460  -0.762 -0.644  -0.762 -0.828  -0.730 -0.981  -0.546 -0.981  -0.362 -0.981  -0.177 -0.981  -0.153 -0.821  -0.153 -0.636  -0.153 -0.452  -0.079 -0.298  0.051 -0.168  0.181 -0.037  0.312 0.093  0.442 0.224  0.456 0.402  0.456 0.586  0.456 0.771  0.456 0.739  0.456 0.555  0.456 0.370  0.456 0.186  0.456 0.001  0.456 -0.183  0.456 -0.367  0.456 -0.552  0.456 -0.736  0.456 -0.921  0.544 -1.069  0.675 -1.199  0.805 -1.329  0.935 -1.460  1.066 -1.590
3#app#app41#app4117/t  0.347 1.675  0.347 1.486  0.347 1.297  0.275 1.180  0.100 1.166  0.100 0.976  0.100 0.787  0.100 0.597  0.071 0.436  -0.118 0.436  -0.148 0.277  -0.148 0.088  -0.148 -0.102  -0.148 -0.291  -0.148 -0.481  -0.148 -0.670  -0.091 -0.802  0.098 -0.802  0.100 -0.990  0.229 -1.050  0.347 -1.122  0.360 -1.298  0.550 -1.298  0.739 -1.298  0.929 -1.298  1.091 -1.271  1.091 -1.081  0.972 -0.945  0.831 -0.819  0.689 -0.693  0.548 -0.567  0.406 -0.442  0.265 -0.316  0.123 -0.190  -0.019 -0.064  -0.160 0.062  -0.302 0.187  -0.443 0.313  -0.585 0.439  -0.726 0.565  -0.868 0.691  -1.009 0.817  -1.139 0.916  -1.139 0.727  -1.035 0.580  -0.902 0.447  -0.716 0.436  -0.527 0.436  -0.338 0.436  -0.148 0.436
3#app#app41#app4117/s  0.338 0.661  0.338 0.782  0.338 0.903  0.276 0.963  0.155 0.963  0.033 0.963  -0.088 0.963  -0.210 0.963  -0.331 0.963  -0.452 0.963  -0.574 0.963  -0.695 0.963  -0.817 0.963  -0.873 0.898  -0.873 0.777  -0.868 0.661  -0.746 0.661  -0.625 0.661  -0.523 0.613  -0.437 0.527  -0.351 0.442  -0.265 0.358  -0.143 0.358  -0.022 0.358  0.081 0.312  0.167 0.226  0.252 0.141  0.338 0.055  0.460 0.055  0.581 0.055  0.640 -0.007  0.640 -0.129  0.640 -0.250  0.640 -0.371  0.640 -0.493  0.640 -0.614  0.640 -0.736  0.637 -0.856  0.551 -0.941  0.465 -1.027  0.380 -1.113  0.294 -1.199  0.208 -1.285  0.122 -1.371  0.036 -1.457  -0.085 -1.458  -0.206 -1.458  -0.328 -1.458  -0.449 -1.458  -0.570 -1.458
3#app#app41#app4117/o  0.052 1.535  0.052 1.405  0.052 1.275  0.052 1.144  -0.055 1.121  -0.186 1.121  -0.316 1.121  -0.363 1.037  -0.363 0.907  -0.363 0.776  -0.423 0.706  -0.554 0.706  -0.684 0.706  -0.777 0.669  -0.777 0.539  -0.777 0.408  -0.777 0.278  -0.777 0.147  -0.777 0.017  -0.777 -0.114  -0.777 -0.244  -0.777 -0.375  -0.777 -0.505  -0.708 -0.607  -0.616 -0.699  -0.524 -0.791  -0.432 -0.884  -0.330 -0.953  -0.199 -0.953  -0.069 -0.953  0.062 -0.953  0.192 -0.953  0.322 -0.953  0.453 -0.953  0.583 -0.953  0.714 -0.953  0.844 -0.953  0.881 -0.859  0.881 -0.729  0.881 -0.598  0.881 -0.468  0.881 -0.337  0.881 -0.207  0.881 -0.077  0.881 0.054  0.881 0.184  0.858 0.291  0.727 0.291  0.597 0.291  0.467 0.291
3#app#app41#app4117/m  -1.169 0.705  -1.169 0.539  -1.169 0.374  -1.169 0.209  -1.169 0.044  -1.169 -0.122  -1.169 -0.287  -1.169 -0.452  -1.169 -0.618  -1.169 -0.783  -1.005 -0.783  -0.921 -0.701  -0.921 -0.536  -0.757 -0.535  -0.674 -0.453  -0.674 -0.288  -0.509 -0.287  -0.426 -0.205  -0.426 -0.040  -0.309 0.077  -0.193 0.194  -0.178 0.353  -0.178 0.518  -0.178 0.683  -0.178 0.560  -0.178 0.395  -0.178 0.230  -0.178 0.065  -0.134 -0.083  -0.017 -0.199  0.111 -0.287  0.277 -0.287  0.442 -0.287  0.595 -0.258  0.712 -0.142  0.814 -0.019  0.814 0.147  0.887 0.282  1.004 0.399  1.145 0.457  1.310 0.457  1.310 0.622  1.310 0.622  1.310 0.456  1.310 0.291  1.310 0.126  1.310 -0.039  1.310 -0.205  1.310 -0.370  1.310 -0.535
3#app#app41#app4117/e  -0.732 0.186  -0.565 0.186  -0.436 0.148  -0.436 -0.019  -0.360 -0.109  -0.193 -0.109  -0.026 -0.109  0.141 -0.109  0.308 -0.109  0.474 -0.109  0.641 -0.109  0.747 -0.048  0.747 0.119  0.846 0.186  1.013 0.186  1.042 0.324  1.042 0.491  1.042 0.658  1.009 0.811  0.891 0.929  0.773 1.047  0.617 1.074  0.450 1.074  0.283 1.074  0.116 1.074  -0.051 1.074  -0.141 0.997  -0.141 0.830  -0.256 0.778  -0.423 0.778  -0.545 0.669  -0.663 0.551  -0.732 0.413  -0.732 0.246  -0.732 0.079  -0.732 -0.088  -0.732 -0.255  -0.732 -0.422  -0.732 -0.589  -0.694 -0.740  -0.576 -0.858  -0.458 -0.976  -0.436 -1.134  -0.428 -1.293  -0.261 -1.293  -0.108 -1.325  0.010 -1.443  0.128 -1.561  0.284 -1.588  0.451 -1.588
