2#apb#apb05#app0595/H  -0.531 0.783  -0.615 0.684  -0.721 0.491  -0.823 0.297  -0.922 0.100  -1.028 -0.092  -1.154 -0.272  -1.264 -0.461  -1.354 -0.662  -1.435 -0.866  -1.407 -1.050  -1.236 -0.911  -1.066 -0.772  -0.896 -0.632  -0.726 -0.493  -0.556 -0.353  -0.386 -0.214  -0.216 -0.075  -0.046 0.065  0.124 0.204  0.294 0.344  0.464 0.483  0.634 0.622  0.804 0.762  0.974 0.901  1.144 1.041  1.314 1.180  1.367 1.180  1.260 0.988  1.158 0.793  1.057 0.597  0.941 0.411  0.821 0.227  0.699 0.044  0.572 -0.136  0.445 -0.315  0.326 -0.500  0.208 -0.686  0.079 -0.864  0.018 -0.790  0.027 -0.575  -0.026 -0.362  -0.111 -0.159  -0.257 0.000  -0.200 -0.108  0.013 -0.160  0.231 -0.187  0.449 -0.196  0.667 -0.167  0.886 -0.139
2#apb#apb05#app0595/t  0.947 1.606  0.928 1.455  0.887 1.310  0.835 1.168  0.783 1.025  0.731 0.883  0.667 0.746  0.599 0.610  0.531 0.474  0.463 0.339  0.394 0.204  0.322 0.070  0.250 -0.063  0.179 -0.197  0.107 -0.330  0.030 -0.461  -0.051 -0.589  -0.132 -0.717  -0.213 -0.846  -0.294 -0.973  -0.376 -1.101  -0.458 -1.229  -0.512 -1.370  -0.567 -1.512  -0.593 -1.444  -0.609 -1.294  -0.625 -1.143  -0.640 -0.992  -0.656 -0.841  -0.672 -0.690  -0.687 -0.539  -0.703 -0.389  -0.719 -0.238  -0.734 -0.087  -0.750 0.064  -0.766 0.215  -0.781 0.365  -0.684 0.476  -0.534 0.489  -0.383 0.501  -0.231 0.509  -0.080 0.517  0.072 0.524  0.223 0.528  0.375 0.528  0.526 0.528  0.678 0.527  0.826 0.494  0.974 0.461  1.122 0.428
2#apb#apb05#app0595/l  0.492 1.238  0.523 1.302  0.555 1.366  0.582 1.422  0.554 1.360  0.541 1.290  0.527 1.220  0.514 1.150  0.501 1.080  0.485 1.011  0.459 0.944  0.433 0.878  0.407 0.812  0.380 0.745  0.354 0.679  0.328 0.613  0.302 0.546  0.276 0.480  0.250 0.414  0.222 0.349  0.190 0.285  0.158 0.221  0.126 0.157  0.094 0.094  0.063 0.030  0.031 -0.034  -0.001 -0.098  -0.033 -0.161  -0.065 -0.225  -0.097 -0.289  -0.129 -0.353  -0.163 -0.415  -0.199 -0.477  -0.234 -0.538  -0.270 -0.600  -0.305 -0.662  -0.341 -0.724  -0.377 -0.785  -0.412 -0.847  -0.448 -0.909  -0.483 -0.971  -0.516 -1.034  -0.548 -1.098  -0.580 -1.161  -0.612 -1.225  -0.644 -1.289  -0.675 -1.353  -0.707 -1.416  -0.739 -1.480  -0.771 -1.544
2#apb#apb05#app0595/e  -1.048 0.175  -0.886 0.147  -0.728 0.104  -0.568 0.073  -0.404 0.073  -0.241 0.073  -0.082 0.113  0.076 0.156  0.234 0.202  0.390 0.250  0.546 0.299  0.696 0.367  0.844 0.435  0.957 0.549  1.039 0.685  1.020 0.847  0.971 0.995  0.815 1.047  0.654 1.066  0.491 1.066  0.331 1.045  0.182 0.977  0.033 0.909  -0.116 0.841  -0.255 0.756  -0.385 0.656  -0.515 0.557  -0.635 0.448  -0.721 0.309  -0.808 0.169  -0.894 0.030  -0.958 -0.118  -0.988 -0.279  -1.018 -0.440  -0.949 -0.583  -0.865 -0.724  -0.769 -0.851  -0.613 -0.900  -0.457 -0.950  -0.301 -1.000  -0.140 -1.018  0.023 -1.013  0.187 -1.008  0.351 -1.002  0.515 -0.997  0.676 -0.971  0.837 -0.939  0.998 -0.907  1.158 -0.875  1.319 -0.843
2#apb#apb05#app0595/R  -0.327 0.612  -0.398 0.415  -0.478 0.221  -0.556 0.026  -0.634 -0.169  -0.717 -0.362  -0.803 -0.554  -0.888 -0.746  -0.971 -0.939  -1.074 -1.121  -1.125 -1.020  -1.077 -0.816  -1.026 -0.612  -0.965 -0.412  -0.866 -0.227  -0.767 -0.042  -0.648 0.131  -0.528 0.304  -0.405 0.474  -0.249 0.614  -0.092 0.755  0.069 0.887  0.254 0.988  0.438 1.089  0.634 1.159  0.837 1.215  1.040 1.212  1.225 1.139  1.305 0.944  1.268 0.745  1.198 0.548  1.065 0.386  0.931 0.224  0.755 0.109  0.579 -0.006  0.397 -0.110  0.213 -0.210  0.004 -0.232  -0.206 -0.241  -0.392 -0.198  -0.316 -0.031  -0.108 -0.047  0.080 -0.127  0.219 -0.284  0.328 -0.464  0.427 -0.649  0.513 -0.840  0.571 -1.042  0.618 -1.246  0.646 -1.453
2#apb#apb05#app0595/o  0.299 0.923  0.175 0.890  0.060 0.823  -0.054 0.755  -0.168 0.687  -0.279 0.614  -0.389 0.540  -0.500 0.466  -0.610 0.393  -0.697 0.294  -0.775 0.187  -0.854 0.080  -0.933 -0.026  -1.008 -0.136  -1.082 -0.246  -1.155 -0.357  -1.192 -0.480  -1.204 -0.612  -1.147 -0.722  -1.058 -0.821  -0.942 -0.862  -0.810 -0.868  -0.677 -0.875  -0.545 -0.881  -0.414 -0.857  -0.283 -0.833  -0.153 -0.809  -0.024 -0.780  0.095 -0.720  0.213 -0.661  0.332 -0.601  0.451 -0.542  0.567 -0.479  0.673 -0.399  0.778 -0.318  0.884 -0.237  0.972 -0.141  1.042 -0.028  1.113 0.084  1.162 0.202  1.148 0.333  1.133 0.465  1.108 0.592  1.014 0.686  0.920 0.780  0.826 0.874  0.695 0.888  0.563 0.900  0.431 0.911  0.299 0.923
2#apb#apb05#app0595/c  0.640 0.698  0.710 0.775  0.781 0.852  0.852 0.929  0.919 1.009  0.907 1.085  0.807 1.118  0.706 1.105  0.604 1.083  0.502 1.060  0.399 1.037  0.304 1.000  0.218 0.940  0.133 0.880  0.047 0.820  -0.039 0.760  -0.124 0.700  -0.204 0.632  -0.277 0.558  -0.351 0.484  -0.425 0.410  -0.499 0.336  -0.570 0.260  -0.619 0.167  -0.668 0.075  -0.717 -0.018  -0.766 -0.110  -0.796 -0.208  -0.810 -0.312  -0.824 -0.416  -0.838 -0.519  -0.795 -0.613  -0.745 -0.705  -0.696 -0.797  -0.628 -0.867  -0.528 -0.898  -0.428 -0.930  -0.329 -0.961  -0.227 -0.981  -0.123 -0.981  -0.018 -0.981  0.087 -0.981  0.191 -0.981  0.296 -0.980  0.399 -0.964  0.502 -0.947  0.606 -0.931  0.709 -0.914  0.812 -0.898  0.915 -0.881
2#apb#apb05#app0595/k  0.397 1.732  0.310 1.517  0.198 1.314  0.085 1.110  -0.035 0.912  -0.156 0.713  -0.282 0.518  -0.411 0.325  -0.540 0.131  -0.669 -0.062  -0.798 -0.255  -0.938 -0.440  -1.089 -0.616  -1.225 -0.805  -1.219 -0.822  -1.040 -0.674  -0.861 -0.526  -0.681 -0.379  -0.502 -0.231  -0.323 -0.083  -0.144 0.065  0.035 0.213  0.214 0.361  0.393 0.509  0.572 0.657  0.751 0.805  0.931 0.953  1.098 1.036  1.112 0.830  1.013 0.620  0.854 0.454  0.681 0.300  0.496 0.161  0.300 0.036  0.104 -0.090  -0.107 -0.185  -0.320 -0.277  -0.543 -0.343  -0.766 -0.403  -0.815 -0.543  -0.625 -0.674  -0.408 -0.757  -0.188 -0.829  0.041 -0.865  0.271 -0.902  0.503 -0.911  0.735 -0.920  0.967 -0.917  1.199 -0.906  1.426 -0.861
2#apb#apb05#app0595/M  -0.784 0.254  -0.740 0.441  -0.676 0.622  -0.637 0.584  -0.688 0.398  -0.779 0.229  -0.872 0.061  -0.958 -0.111  -1.041 -0.285  -1.122 -0.459  -1.202 -0.634  -1.292 -0.804  -1.291 -0.914  -1.159 -0.774  -1.026 -0.635  -0.902 -0.488  -0.784 -0.336  -0.674 -0.179  -0.563 -0.021  -0.452 0.136  -0.343 0.294  -0.234 0.453  -0.113 0.600  -0.144 0.422  -0.206 0.240  -0.273 0.059  -0.333 -0.123  -0.311 -0.307  -0.128 -0.326  0.054 -0.262  0.224 -0.175  0.388 -0.074  0.548 0.032  0.706 0.142  0.856 0.263  0.999 0.390  1.128 0.533  1.258 0.675  1.389 0.815  1.450 0.825  1.418 0.637  1.351 0.457  1.277 0.279  1.199 0.103  1.119 -0.072  1.039 -0.246  0.955 -0.420  0.866 -0.590  0.782 -0.763  0.720 -0.945
2#apb#apb05#app0595/i  -0.032 0.359  0.013 0.254  0.020 0.143  0.012 0.029  -0.001 -0.084  -0.025 -0.195  -0.048 -0.307  -0.073 -0.418  -0.122 -0.521  -0.171 -0.624  -0.219 -0.728  -0.274 -0.827  -0.330 -0.927  -0.386 -1.026  -0.438 -1.128  -0.489 -1.230  -0.534 -1.334  -0.569 -1.426  -0.527 -1.320  -0.486 -1.214  -0.445 -1.108  -0.403 -1.001  -0.362 -0.895  -0.320 -0.789  -0.279 -0.683  -0.237 -0.576  -0.196 -0.470  -0.154 -0.364  -0.113 -0.258  -0.071 -0.151  -0.030 -0.045  0.012 0.061  0.053 0.167  0.094 0.274  0.136 0.380  0.177 0.486  0.219 0.592  0.260 0.699  0.302 0.805  0.343 0.911  0.385 1.017  0.426 1.124  0.468 1.230  0.509 1.336  0.551 1.442  0.592 1.549  0.633 1.655  0.678 1.760  0.714 1.743  0.739 1.631
2#apb#apb05#app0595/a  0.275 0.330  0.336 0.514  0.425 0.682  0.555 0.827  0.672 0.982  0.779 1.143  0.838 1.323  0.689 1.310  0.513 1.227  0.338 1.143  0.189 1.024  0.055 0.884  -0.080 0.744  -0.214 0.604  -0.350 0.464  -0.487 0.327  -0.624 0.190  -0.761 0.053  -0.895 -0.088  -1.011 -0.243  -1.128 -0.398  -1.244 -0.554  -1.320 -0.733  -1.382 -0.912  -1.281 -1.046  -1.088 -1.062  -0.902 -1.006  -0.716 -0.950  -0.542 -0.871  -0.386 -0.755  -0.230 -0.640  -0.073 -0.525  0.083 -0.410  0.239 -0.295  0.382 -0.165  0.510 -0.019  0.638 0.127  0.763 0.275  0.887 0.424  0.937 0.509  0.842 0.339  0.748 0.169  0.654 -0.000  0.562 -0.171  0.475 -0.345  0.390 -0.519  0.316 -0.699  0.242 -0.878  0.204 -1.068  0.177 -1.260
2#apb#apb05#app0595/m  -0.803 0.584  -0.859 0.408  -0.948 0.243  -1.035 0.077  -1.125 -0.087  -1.220 -0.249  -1.317 -0.410  -1.414 -0.570  -1.483 -0.744  -1.380 -0.660  -1.250 -0.526  -1.117 -0.393  -0.985 -0.260  -0.852 -0.128  -0.722 0.007  -0.592 0.143  -0.463 0.278  -0.311 0.388  -0.157 0.495  0.007 0.584  0.175 0.606  0.270 0.462  0.268 0.283  0.202 0.107  0.110 -0.055  0.012 -0.215  -0.099 -0.367  -0.209 -0.518  -0.324 -0.647  -0.237 -0.541  -0.110 -0.403  0.024 -0.272  0.165 -0.149  0.298 -0.017  0.423 0.123  0.553 0.257  0.703 0.369  0.854 0.480  1.013 0.579  1.179 0.666  1.356 0.706  1.496 0.614  1.500 0.434  1.467 0.251  1.394 0.078  1.315 -0.092  1.221 -0.254  1.122 -0.413  1.010 -0.563  0.872 -0.689
2#apb#apb05#app0595/i  0.367 0.561  0.454 0.474  0.478 0.360  0.478 0.237  0.435 0.123  0.388 0.009  0.341 -0.105  0.280 -0.211  0.211 -0.312  0.141 -0.414  0.072 -0.516  0.002 -0.617  -0.067 -0.719  -0.137 -0.820  -0.206 -0.922  -0.281 -1.019  -0.368 -1.106  -0.455 -1.193  -0.536 -1.285  -0.612 -1.382  -0.634 -1.382  -0.593 -1.267  -0.551 -1.151  -0.510 -1.035  -0.468 -0.919  -0.427 -0.803  -0.385 -0.687  -0.344 -0.572  -0.302 -0.456  -0.261 -0.340  -0.219 -0.224  -0.178 -0.108  -0.136 0.008  -0.095 0.124  -0.053 0.239  -0.012 0.355  0.030 0.471  0.071 0.587  0.113 0.703  0.154 0.819  0.196 0.934  0.237 1.050  0.279 1.166  0.320 1.282  0.361 1.398  0.403 1.514  0.444 1.629  0.486 1.745  0.522 1.862  0.567 1.913
