3#apa#apa13#app1355/1  0.031 1.144  0.119 1.331  0.130 1.333  0.130 1.110  0.130 0.887  0.130 0.664  0.130 0.441  0.130 0.217  0.130 -0.006  0.130 -0.229  0.130 -0.452  0.130 -0.676  0.130 -0.899  0.130 -1.122  0.132 -1.323  0.165 -1.103  0.197 -0.882  0.230 -0.661  0.263 -0.440  0.296 -0.219  0.328 0.002  0.361 0.222  0.394 0.443  0.426 0.664  0.459 0.885  0.492 1.106  0.525 1.326  0.419 1.441  0.329 1.507  0.217 1.330  0.130 1.142  0.042 0.956  -0.068 0.778  -0.167 0.596  -0.258 0.398  -0.373 0.206  -0.487 0.015  -0.602 -0.176  -0.717 -0.368  -0.832 -0.559  -0.947 -0.751  -1.054 -0.938  -0.930 -1.037  -0.723 -1.076  -0.529 -1.153  -0.325 -1.235  -0.102 -1.235  0.122 -1.235  0.345 -1.235  0.527 -1.136
3#apa#apa13#app1355/e  -0.364 -0.430  -0.209 -0.430  -0.055 -0.430  0.086 -0.395  0.195 -0.286  0.304 -0.176  0.414 -0.067  0.465 0.066  0.535 0.192  0.604 0.319  0.604 0.473  0.604 0.628  0.604 0.783  0.604 0.938  0.504 1.051  0.366 1.090  0.211 1.090  0.056 1.090  -0.098 1.090  -0.253 1.090  -0.408 1.090  -0.545 1.048  -0.649 0.935  -0.719 0.796  -0.793 0.662  -0.902 0.552  -1.012 0.443  -1.055 0.306  -1.055 0.151  -1.055 -0.004  -1.055 -0.158  -1.041 -0.307  -0.931 -0.416  -0.822 -0.526  -0.685 -0.569  -0.542 -0.618  -0.403 -0.687  -0.253 -0.707  -0.098 -0.707  0.056 -0.707  0.209 -0.717  0.347 -0.786  0.488 -0.845  0.643 -0.845  0.798 -0.845  0.952 -0.845  1.107 -0.845  1.262 -0.845  1.417 -0.845  1.571 -0.845
3#apa#apa13#app1355/^  0.173 0.751  0.049 0.690  -0.074 0.628  -0.202 0.496  -0.285 0.330  -0.394 0.184  -0.508 0.039  -0.610 -0.114  -0.718 -0.263  -0.837 -0.403  -0.919 -0.568  -0.951 -0.743  -1.062 -0.882  -0.972 -0.977  -0.832 -0.871  -0.701 -0.740  -0.570 -0.609  -0.487 -0.444  -0.445 -0.269  -0.377 -0.101  -0.278 0.053  -0.198 0.205  -0.191 0.387  -0.074 0.523  -0.074 0.708  -0.011 0.878  0.049 1.049  0.099 1.222  0.173 1.389  0.173 1.410  0.049 1.348  0.049 1.164  0.049 0.979  0.049 0.794  0.049 0.609  0.049 0.424  0.149 0.281  0.185 0.109  0.268 -0.057  0.296 -0.235  0.423 -0.368  0.506 -0.533  0.634 -0.653  0.798 -0.738  0.928 -0.869  1.059 -1.000  1.190 -1.130  1.321 -1.261  1.470 -1.348  1.531 -1.471
3#apa#apa13#app1355/u  -1.138 0.897  -1.153 0.749  -1.221 0.613  -1.256 0.469  -1.256 0.317  -1.256 0.165  -1.256 0.013  -1.256 -0.138  -1.256 -0.290  -1.256 -0.442  -1.206 -0.573  -1.082 -0.641  -0.956 -0.704  -0.827 -0.759  -0.675 -0.759  -0.523 -0.759  -0.388 -0.719  -0.273 -0.622  -0.137 -0.554  -0.006 -0.477  0.120 -0.393  0.247 -0.309  0.359 -0.208  0.467 -0.100  0.574 0.007  0.665 0.126  0.733 0.262  0.754 0.409  0.754 0.561  0.754 0.713  0.754 0.865  0.753 1.015  0.601 1.015  0.469 0.967  0.399 0.843  0.399 0.692  0.314 0.575  0.281 0.437  0.281 0.285  0.281 0.133  0.343 0.007  0.432 -0.114  0.500 -0.250  0.597 -0.365  0.732 -0.404  0.871 -0.462  1.008 -0.522  1.160 -0.522  1.312 -0.522  1.464 -0.522
3#apa#apa13#app1355/n  -0.447 1.432  -0.447 1.248  -0.447 1.063  -0.447 0.879  -0.489 0.711  -0.618 0.580  -0.618 0.395  -0.618 0.210  -0.650 0.039  -0.781 -0.091  -0.788 -0.273  -0.788 -0.458  -0.763 -0.632  -0.633 -0.763  -0.618 -0.941  -0.618 -1.126  -0.596 -1.288  -0.447 -1.252  -0.447 -1.067  -0.401 -0.902  -0.277 -0.769  -0.277 -0.584  -0.277 -0.399  -0.277 -0.215  -0.229 -0.050  -0.107 0.084  -0.107 0.269  -0.107 0.453  -0.068 0.622  0.063 0.752  0.069 0.935  0.152 1.101  0.236 1.262  0.403 1.244  0.403 1.060  0.403 0.875  0.447 0.708  0.573 0.576  0.573 0.391  0.573 0.207  0.595 0.027  0.678 -0.138  0.743 -0.307  0.781 -0.476  0.911 -0.607  0.925 -0.778  1.083 -0.805  1.112 -0.978  1.243 -1.108  1.423 -1.118
3#apa#apa13#app1355/d  -0.079 2.023  0.080 2.023  0.122 1.906  0.122 1.747  0.122 1.588  0.122 1.429  0.122 1.270  0.122 1.110  0.122 0.951  0.134 0.795  0.205 0.653  0.222 0.498  0.222 0.339  0.222 0.180  0.253 0.026  0.303 -0.125  0.322 -0.281  0.322 -0.440  0.334 -0.594  0.422 -0.717  0.422 -0.691  0.422 -0.531  0.422 -0.372  0.374 -0.233  0.322 -0.096  0.257 0.048  0.166 0.175  0.122 0.316  -0.034 0.319  -0.193 0.319  -0.352 0.319  -0.408 0.205  -0.550 0.134  -0.580 -0.007  -0.639 -0.141  -0.725 -0.272  -0.780 -0.418  -0.780 -0.578  -0.780 -0.737  -0.768 -0.883  -0.630 -0.934  -0.496 -1.012  -0.345 -1.062  -0.216 -1.147  -0.072 -1.184  0.087 -1.184  0.246 -1.184  0.405 -1.184  0.564 -1.184  0.723 -1.184
3#apa#apa13#app1355/e  -0.323 -0.882  -0.208 -0.767  -0.067 -0.715  0.012 -0.632  0.090 -0.548  0.179 -0.474  0.228 -0.332  0.343 -0.217  0.458 -0.102  0.572 0.013  0.687 0.128  0.802 0.242  0.848 0.386  0.848 0.548  0.848 0.710  0.848 0.873  0.771 0.958  0.630 1.009  0.515 1.124  0.353 1.125  0.191 1.125  0.028 1.125  -0.134 1.125  -0.296 1.125  -0.444 1.064  -0.590 0.992  -0.719 0.897  -0.824 0.778  -0.830 0.618  -0.945 0.503  -0.992 0.360  -0.992 0.198  -0.992 0.035  -0.992 -0.127  -0.992 -0.290  -0.941 -0.431  -0.826 -0.546  -0.691 -0.636  -0.556 -0.726  -0.421 -0.816  -0.279 -0.882  -0.116 -0.882  0.046 -0.882  0.209 -0.882  0.371 -0.882  0.533 -0.882  0.696 -0.882  0.858 -0.882  1.021 -0.882  1.183 -0.882
3#apa#apa13#app1355/f  -0.086 -0.006  0.036 -0.113  0.157 -0.036  0.279 0.143  0.374 0.332  0.450 0.529  0.525 0.726  0.644 0.906  0.644 1.134  0.644 1.363  0.631 1.587  0.448 1.696  0.220 1.696  0.040 1.578  -0.122 1.417  -0.256 1.235  -0.349 1.027  -0.422 0.810  -0.458 0.588  -0.560 0.383  -0.572 0.157  -0.572 -0.071  -0.572 -0.300  -0.461 -0.482  -0.385 -0.680  -0.224 -0.841  -0.062 -1.003  0.099 -1.165  0.261 -1.326  0.432 -1.466  0.417 -1.376  0.242 -1.229  0.068 -1.081  -0.107 -0.933  -0.281 -0.786  -0.456 -0.638  -0.631 -0.490  -0.805 -0.343  -0.980 -0.195  -0.934 -0.128  -0.705 -0.128  -0.476 -0.128  -0.248 -0.128  -0.069 -0.250  0.159 -0.250  0.388 -0.250  0.566 -0.371  0.795 -0.371  1.023 -0.371  1.252 -0.371
3#apa#apa13#app1355/i  -0.063 0.645  -0.063 0.523  -0.063 0.400  -0.063 0.278  -0.063 0.155  -0.063 0.033  -0.063 -0.090  -0.063 -0.212  -0.063 -0.335  -0.063 -0.457  -0.063 -0.579  -0.063 -0.702  -0.063 -0.824  -0.063 -0.947  -0.063 -1.069  -0.063 -1.192  0.015 -1.282  0.102 -1.369  0.122 -1.483  0.121 -1.544  0.114 -1.422  0.108 -1.299  0.101 -1.177  0.095 -1.055  0.089 -0.933  0.082 -0.810  0.076 -0.688  0.069 -0.566  0.063 -0.443  0.056 -0.321  0.050 -0.199  0.044 -0.077  0.037 0.046  0.031 0.168  0.024 0.290  0.018 0.413  0.011 0.535  0.005 0.657  -0.002 0.780  -0.008 0.902  -0.014 1.024  -0.021 1.146  -0.027 1.269  -0.034 1.391  -0.040 1.513  -0.047 1.636  -0.053 1.758  -0.059 1.880  -0.063 1.877  -0.063 1.755
3#apa#apa13#app1355/n  -1.115 0.978  -1.115 0.842  -1.115 0.705  -0.987 0.697  -0.974 0.573  -0.974 0.437  -0.974 0.301  -0.974 0.165  -0.974 0.029  -0.974 -0.108  -0.974 -0.244  -0.974 -0.380  -0.884 -0.425  -0.834 -0.512  -0.751 -0.566  -0.694 -0.487  -0.619 -0.425  -0.504 -0.376  -0.407 -0.280  -0.311 -0.183  -0.273 -0.063  -0.218 0.050  -0.132 0.151  -0.124 0.284  -0.028 0.380  0.008 0.502  0.065 0.614  0.148 0.716  0.163 0.837  0.299 0.837  0.433 0.833  0.530 0.737  0.569 0.617  0.569 0.481  0.569 0.344  0.569 0.208  0.569 0.072  0.569 -0.064  0.569 -0.200  0.606 -0.321  0.702 -0.418  0.798 -0.514  0.895 -0.610  0.991 -0.707  1.087 -0.803  1.205 -0.846  1.321 -0.896  1.420 -0.987  1.556 -0.987  1.692 -0.987
3#apa#apa13#app1355/e  -0.255 -0.403  -0.239 -0.267  -0.097 -0.245  0.010 -0.138  0.118 -0.031  0.225 0.076  0.332 0.184  0.439 0.291  0.546 0.398  0.564 0.542  0.564 0.694  0.564 0.846  0.539 0.987  0.431 1.094  0.281 1.098  0.130 1.098  -0.022 1.098  -0.174 1.098  -0.304 1.048  -0.417 0.948  -0.553 0.881  -0.683 0.806  -0.790 0.698  -0.801 0.551  -0.908 0.444  -1.016 0.337  -1.073 0.209  -1.073 0.058  -1.073 -0.094  -1.073 -0.246  -0.981 -0.359  -0.874 -0.466  -0.766 -0.573  -0.657 -0.676  -0.506 -0.676  -0.354 -0.676  -0.218 -0.713  -0.107 -0.812  0.044 -0.812  0.196 -0.812  0.347 -0.812  0.499 -0.812  0.651 -0.812  0.802 -0.812  0.954 -0.812  1.067 -0.719  1.201 -0.676  1.352 -0.676  1.504 -0.676  1.655 -0.676
3#apa#apa13#app1355/d  -0.006 1.981  -0.006 1.834  0.049 1.709  0.103 1.584  0.103 1.436  0.150 1.296  0.197 1.156  0.211 1.011  0.310 0.904  0.320 0.761  0.320 0.613  0.320 0.466  0.420 0.360  0.429 0.216  0.429 0.068  0.429 -0.080  0.454 -0.217  0.537 -0.271  0.469 -0.192  0.429 -0.085  0.402 0.052  0.289 0.134  0.162 0.184  0.039 0.243  -0.109 0.243  -0.256 0.243  -0.404 0.243  -0.519 0.164  -0.623 0.060  -0.728 -0.044  -0.832 -0.149  -0.936 -0.253  -0.984 -0.381  -0.984 -0.529  -0.984 -0.676  -0.921 -0.798  -0.817 -0.902  -0.690 -0.952  -0.543 -0.952  -0.395 -0.952  -0.247 -0.952  -0.100 -0.952  0.048 -0.952  0.195 -0.952  0.343 -0.952  0.490 -0.952  0.638 -0.952  0.785 -0.952  0.933 -0.952  1.081 -0.952
3#apa#apa13#app1355/^  -0.787 -1.379  -0.787 -1.251  -0.787 -1.123  -0.787 -0.995  -0.787 -0.867  -0.787 -0.739  -0.787 -0.612  -0.787 -0.484  -0.787 -0.356  -0.715 -0.258  -0.656 -0.154  -0.656 -0.027  -0.629 0.090  -0.539 0.181  -0.525 0.303  -0.450 0.400  -0.393 0.504  -0.393 0.632  -0.365 0.748  -0.274 0.838  -0.262 0.961  -0.154 0.981  -0.131 1.086  -0.131 1.214  -0.033 1.244  0.095 1.244  0.131 1.152  0.131 1.024  0.216 0.981  0.262 0.900  0.262 0.772  0.296 0.652  0.353 0.537  0.393 0.419  0.393 0.291  0.416 0.172  0.506 0.082  0.524 -0.038  0.524 -0.166  0.524 -0.294  0.524 -0.422  0.587 -0.524  0.678 -0.614  0.768 -0.705  0.787 -0.825  0.856 -0.924  0.936 -1.022  0.993 -1.136  1.052 -1.248  1.180 -1.248
