2#tos#t3#t3047062/\"  -0.634 1.167  -0.699 1.030  -0.842 0.942  -0.931 0.854  -1.051 0.796  -1.051 0.619  -1.051 0.442  -1.051 0.265  -1.051 0.088  -0.948 -0.015  -0.780 -0.071  -0.738 -0.217  -0.738 -0.394  -0.738 -0.571  -0.659 -0.724  -0.561 -0.871  -0.529 -1.039  -0.529 -1.216  -0.377 -1.283  -0.213 -1.329  -0.149 -1.164  -0.085 -0.999  -0.020 -0.835  0.044 -0.670  0.109 -0.505  0.173 -0.340  0.238 -0.175  0.302 -0.011  0.367 0.154  0.431 0.319  0.496 0.484  0.560 0.649  0.625 0.813  0.689 0.978  0.636 1.062  0.467 1.012  0.310 0.953  0.445 0.854  0.562 0.757  0.618 0.593  0.618 0.416  0.712 0.332  0.722 0.166  0.722 -0.011  0.768 -0.177  0.847 -0.335  0.927 -0.494  0.931 -0.670  0.962 -0.815  1.139 -0.815
2#tos#t3#t3047062/{  0.060 1.784  0.039 1.699  -0.001 1.618  -0.026 1.533  -0.026 1.443  -0.026 1.352  -0.026 1.262  -0.026 1.171  -0.026 1.081  -0.026 0.990  -0.026 0.900  -0.026 0.809  -0.026 0.719  -0.026 0.628  -0.026 0.538  -0.101 0.493  -0.113 0.410  -0.156 0.338  -0.180 0.271  -0.243 0.243  -0.274 0.184  -0.365 0.184  -0.376 0.184  -0.285 0.184  -0.195 0.184  -0.119 0.148  -0.053 0.107  -0.026 0.023  0.026 -0.023  0.048 -0.111  0.060 -0.200  0.060 -0.290  0.060 -0.381  0.063 -0.471  0.103 -0.552  0.103 -0.642  0.103 -0.733  0.103 -0.823  0.103 -0.914  0.103 -1.004  0.147 -1.051  0.147 -1.142  0.147 -1.232  0.147 -1.323  0.147 -1.413  0.147 -1.504  0.190 -1.551  0.190 -1.642  0.230 -1.715  0.276 -1.762
2#tos#t3#t3047062/|  -0.007 0.957  0.001 0.792  0.009 0.627  0.017 0.462  0.025 0.297  0.033 0.131  0.041 -0.034  0.048 -0.199  0.056 -0.364  0.064 -0.529  0.072 -0.694  0.080 -0.860  0.088 -1.025  0.096 -1.190  0.099 -1.355  0.080 -1.519  0.053 -1.682  0.046 -1.847  0.044 -1.749  0.042 -1.584  0.039 -1.419  0.037 -1.254  0.034 -1.088  0.032 -0.923  0.029 -0.758  0.027 -0.592  0.025 -0.427  0.022 -0.262  0.020 -0.096  0.017 0.069  0.015 0.234  0.012 0.400  0.010 0.565  0.008 0.730  0.005 0.896  0.003 1.061  0.000 1.226  -0.002 1.392  -0.005 1.557  -0.027 1.672  -0.126 1.540  -0.164 1.386  -0.164 1.221  -0.164 1.056  -0.164 0.890  -0.164 0.725  -0.164 0.560  -0.059 0.500  -0.059 0.334  -0.059 0.169
2#tos#t3#t3047062/}  -0.184 1.768  -0.184 1.680  -0.184 1.592  -0.184 1.504  -0.184 1.416  -0.200 1.343  -0.261 1.317  -0.261 1.228  -0.261 1.140  -0.261 1.052  -0.261 0.964  -0.261 0.876  -0.261 0.788  -0.261 0.700  -0.223 0.628  -0.223 0.540  -0.193 0.464  -0.136 0.398  -0.097 0.319  -0.057 0.240  -0.003 0.186  0.074 0.159  0.124 0.114  0.196 0.109  0.152 0.059  0.075 0.031  0.047 -0.029  0.014 -0.084  -0.030 -0.151  -0.030 -0.239  -0.030 -0.327  -0.014 -0.409  0.021 -0.482  0.047 -0.559  0.102 -0.602  0.124 -0.681  0.124 -0.769  0.164 -0.817  0.240 -0.829  0.240 -0.917  0.240 -1.005  0.240 -1.094  0.252 -1.177  0.279 -1.254  0.279 -1.342  0.279 -1.430  0.279 -1.518  0.240 -1.567  0.213 -1.628  0.202 -1.705
2#tos#t3#t3047062/3  -0.694 1.257  -0.827 1.257  -0.840 1.153  -0.717 1.193  -0.638 1.257  -0.504 1.257  -0.371 1.257  -0.238 1.257  -0.105 1.257  0.029 1.257  0.081 1.175  0.081 1.042  0.081 0.909  0.081 0.775  0.055 0.650  -0.019 0.539  -0.023 0.407  -0.060 0.289  -0.160 0.201  -0.271 0.127  -0.332 0.051  -0.380 -0.034  -0.436 -0.112  -0.484 -0.234  -0.568 -0.241  -0.435 -0.241  -0.314 -0.189  -0.181 -0.189  -0.099 -0.138  0.034 -0.138  0.167 -0.138  0.301 -0.138  0.434 -0.138  0.546 -0.189  0.597 -0.271  0.649 -0.353  0.649 -0.486  0.700 -0.568  0.700 -0.701  0.649 -0.813  0.618 -0.927  0.545 -1.016  0.519 -1.145  0.450 -1.251  0.340 -1.325  0.235 -1.354  0.183 -1.455  0.063 -1.514  -0.014 -1.583  -0.074 -1.687
2#tos#t3#t3047062/4  -0.982 0.933  -1.088 0.822  -1.088 0.635  -1.038 0.460  -1.035 0.273  -1.035 0.086  -1.035 -0.100  -1.035 -0.287  -0.982 -0.421  -0.928 -0.555  -0.745 -0.558  -0.558 -0.558  -0.371 -0.558  -0.189 -0.535  -0.013 -0.476  0.171 -0.451  0.251 -0.345  0.436 -0.324  0.613 -0.267  0.740 -0.185  0.883 -0.141  1.042 -0.114  1.072 0.014  0.977 0.174  0.882 0.335  0.787 0.496  0.691 0.657  0.596 0.818  0.501 0.979  0.405 1.139  0.310 1.300  0.187 1.413  0.084 1.329  0.084 1.142  0.084 0.955  0.084 0.768  0.084 0.581  0.084 0.395  0.084 0.208  0.084 0.021  0.084 -0.166  0.084 -0.353  0.084 -0.540  0.084 -0.727  0.084 -0.914  0.084 -1.101  0.084 -1.288  0.084 -1.475  0.101 -1.658  0.137 -1.836
2#tos#t3#t3047062/7  -0.674 0.920  -0.822 0.920  -0.881 0.856  -0.809 0.738  -0.809 0.589  -0.794 0.446  -0.710 0.324  -0.674 0.190  -0.608 0.066  -0.582 -0.077  -0.529 -0.209  -0.450 -0.288  -0.478 -0.142  -0.505 0.004  -0.532 0.149  -0.560 0.295  -0.602 0.423  -0.747 0.394  -0.726 0.378  -0.600 0.421  -0.501 0.513  -0.353 0.515  -0.216 0.570  -0.077 0.613  0.037 0.694  0.176 0.735  0.309 0.801  0.450 0.829  0.599 0.829  0.747 0.829  0.771 0.705  0.771 0.556  0.771 0.408  0.771 0.259  0.771 0.111  0.736 -0.033  0.692 -0.175  0.680 -0.321  0.680 -0.469  0.639 -0.608  0.568 -0.738  0.500 -0.866  0.500 -1.014  0.500 -1.163  0.471 -1.304  0.455 -1.449  0.455 -1.597  0.454 -1.745  0.372 -1.869  0.364 -2.015
2#tos#t3#t3047062/9  0.040 0.120  0.089 -0.018  0.255 0.033  0.379 0.124  0.428 0.299  0.476 0.475  0.476 0.661  0.475 0.847  0.428 1.015  0.280 1.092  0.170 1.239  -0.010 1.282  -0.197 1.282  -0.383 1.282  -0.539 1.186  -0.589 1.049  -0.686 0.922  -0.802 0.835  -0.831 0.653  -0.831 0.467  -0.863 0.284  -0.880 0.099  -0.880 -0.087  -0.831 -0.254  -0.775 -0.413  -0.637 -0.461  -0.450 -0.461  -0.276 -0.405  -0.128 -0.313  0.016 -0.207  0.148 -0.083  0.269 0.058  0.384 0.195  0.428 0.354  0.462 0.507  0.419 0.385  0.379 0.205  0.379 0.018  0.379 -0.169  0.379 -0.355  0.372 -0.541  0.331 -0.723  0.331 -0.909  0.331 -1.096  0.331 -1.283  0.331 -1.469  0.331 -1.656  0.331 -1.843  0.379 -2.018  0.379 -2.204
2#tos#t3#t3047062/A  -1.132 -1.128  -1.272 -1.175  -1.179 -0.989  -1.118 -0.793  -1.020 -0.632  -0.945 -0.438  -0.945 -0.222  -0.779 -0.108  -0.694 0.084  -0.617 0.285  -0.548 0.464  -0.384 0.604  -0.331 0.798  -0.191 0.962  -0.093 1.146  0.001 1.335  0.088 1.496  0.198 1.453  0.313 1.284  0.433 1.111  0.461 0.899  0.603 0.742  0.689 0.545  0.771 0.349  0.824 0.139  0.868 -0.068  0.977 -0.250  1.004 -0.462  1.079 -0.641  1.117 -0.833  1.117 -1.049  0.963 -0.981  0.782 -0.864  0.600 -0.746  0.419 -0.629  0.238 -0.511  0.056 -0.393  -0.125 -0.276  -0.306 -0.158  -0.488 -0.041  -0.679 0.043  -0.845 -0.038  -0.742 -0.051  -0.526 -0.051  -0.310 -0.051  -0.094 -0.051  0.122 -0.051  0.338 -0.051  0.555 -0.051  0.742 0.043
2#tos#t3#t3047062/C  0.443 1.114  0.350 1.114  0.303 1.160  0.256 1.206  0.165 1.208  0.072 1.208  -0.016 1.188  -0.102 1.161  -0.186 1.139  -0.251 1.073  -0.342 1.068  -0.409 1.032  -0.438 0.944  -0.443 0.852  -0.511 0.801  -0.537 0.724  -0.537 0.631  -0.537 0.538  -0.537 0.445  -0.537 0.353  -0.537 0.260  -0.537 0.167  -0.537 0.074  -0.537 -0.018  -0.537 -0.111  -0.531 -0.203  -0.490 -0.286  -0.460 -0.374  -0.416 -0.452  -0.367 -0.530  -0.312 -0.603  -0.246 -0.669  -0.180 -0.734  -0.125 -0.808  -0.074 -0.885  0.016 -0.891  0.089 -0.938  0.182 -0.938  0.275 -0.938  0.368 -0.938  0.461 -0.938  0.553 -0.938  0.646 -0.938  0.739 -0.938  0.832 -0.938  0.924 -0.938  1.014 -0.918  1.102 -0.889  1.192 -0.867  1.282 -0.844
2#tos#t3#t3047062/E  -0.866 1.039  -0.969 0.884  -0.731 0.884  -0.495 0.905  -0.260 0.923  -0.045 1.000  0.187 1.039  0.425 1.039  0.664 1.039  0.539 1.021  0.302 0.997  0.064 0.973  -0.173 0.950  -0.410 0.926  -0.560 0.793  -0.634 0.608  -0.634 0.370  -0.672 0.136  -0.672 -0.102  -0.672 -0.341  -0.672 -0.579  -0.655 -0.813  -0.595 -1.040  -0.481 -1.238  -0.258 -1.295  -0.026 -1.320  0.212 -1.320  0.441 -1.267  0.665 -1.204  0.880 -1.127  1.070 -1.050  1.105 -0.910  0.899 -0.789  0.694 -0.668  0.488 -0.548  0.283 -0.427  0.077 -0.306  -0.129 -0.186  -0.334 -0.065  -0.540 0.056  -0.750 0.097  -0.575 0.033  -0.337 0.033  -0.099 0.033  0.137 0.064  0.374 0.072  0.613 0.072  0.819 0.149  1.046 0.196  1.261 0.265
2#tos#t3#t3047062/F  -0.710 0.916  -0.840 0.801  -0.800 0.745  -0.575 0.745  -0.351 0.745  -0.126 0.745  0.099 0.745  0.323 0.745  0.538 0.787  0.763 0.787  0.984 0.810  1.162 0.873  1.046 0.856  0.822 0.834  0.599 0.811  0.375 0.789  0.151 0.767  -0.072 0.744  -0.296 0.722  -0.520 0.702  -0.624 0.582  -0.624 0.357  -0.624 0.133  -0.624 -0.092  -0.624 -0.317  -0.624 -0.542  -0.620 -0.766  -0.582 -0.984  -0.582 -1.209  -0.543 -1.427  -0.539 -1.651  -0.556 -1.429  -0.573 -1.205  -0.590 -0.981  -0.608 -0.757  -0.630 -0.542  -0.576 -0.570  -0.357 -0.533  -0.156 -0.454  0.063 -0.411  0.278 -0.368  0.498 -0.325  0.717 -0.311  0.923 -0.240  1.045 -0.104  0.984 0.060  0.874 -0.079  0.874 -0.304  0.874 -0.529  0.959 -0.668
2#tos#t3#t3047062/H  -0.800 1.053  -0.983 1.053  -0.994 0.881  -0.994 0.698  -0.957 0.519  -0.950 0.337  -0.893 0.165  -0.838 -0.001  -0.838 -0.184  -0.793 -0.357  -0.761 -0.532  -0.737 -0.712  -0.722 -0.894  -0.725 -1.008  -0.739 -0.826  -0.754 -0.643  -0.768 -0.461  -0.783 -0.278  -0.798 -0.096  -0.904 0.005  -0.977 0.005  -0.794 0.005  -0.611 0.005  -0.428 0.005  -0.251 -0.017  -0.071 -0.034  0.108 -0.066  0.290 -0.072  0.473 -0.072  0.656 -0.072  0.830 -0.034  0.949 0.033  0.956 0.216  0.964 0.399  0.971 0.582  0.978 0.764  0.974 0.936  0.791 0.936  0.796 0.802  0.830 0.623  0.851 0.442  0.898 0.266  0.908 0.084  0.908 -0.099  0.908 -0.282  0.908 -0.465  0.942 -0.642  0.946 -0.825  1.004 -0.984  1.024 -1.159
2#tos#t3#t3047062/I  -0.570 1.270  -0.636 1.177  -0.631 1.151  -0.529 1.110  -0.427 1.071  -0.309 1.065  -0.195 1.037  -0.077 1.031  0.041 1.031  0.160 1.031  0.278 1.031  0.397 1.031  0.495 1.031  0.377 1.031  0.258 1.031  0.140 1.031  0.061 0.991  -0.013 0.947  -0.013 0.828  -0.013 0.710  -0.013 0.592  -0.013 0.473  -0.013 0.355  -0.013 0.236  -0.013 0.118  -0.013 -0.000  0.015 -0.115  0.027 -0.232  0.027 -0.351  0.027 -0.469  0.027 -0.587  0.027 -0.706  0.027 -0.824  0.033 -0.942  0.061 -1.057  0.053 -1.152  -0.053 -1.099  -0.159 -1.046  -0.275 -1.040  -0.384 -1.079  -0.328 -1.119  -0.210 -1.119  -0.108 -1.159  0.010 -1.159  0.129 -1.159  0.231 -1.199  0.349 -1.199  0.467 -1.199  0.586 -1.199  0.704 -1.199
2#tos#t3#t3047062/K  -0.667 1.628  -0.745 1.481  -0.745 1.257  -0.706 1.043  -0.706 0.819  -0.706 0.595  -0.667 0.376  -0.667 0.153  -0.667 -0.071  -0.667 -0.295  -0.667 -0.519  -0.590 -0.695  -0.590 -0.919  -0.590 -1.142  -0.555 -1.257  -0.426 -1.074  -0.296 -0.892  -0.167 -0.709  -0.037 -0.527  0.092 -0.344  0.222 -0.162  0.351 0.021  0.481 0.203  0.610 0.386  0.740 0.568  0.869 0.751  0.999 0.933  1.108 1.053  0.895 1.020  0.722 0.894  0.547 0.758  0.337 0.702  0.151 0.578  -0.031 0.450  -0.213 0.332  -0.378 0.199  -0.548 0.087  -0.707 -0.032  -0.643 -0.063  -0.445 -0.143  -0.281 -0.276  -0.080 -0.372  0.118 -0.474  0.283 -0.604  0.469 -0.725  0.648 -0.843  0.821 -0.940  1.031 -1.016  1.239 -1.082  1.456 -1.113
2#tos#t3#t3047062/L  -0.464 1.549  -0.515 1.512  -0.537 1.446  -0.537 1.357  -0.537 1.269  -0.537 1.181  -0.537 1.093  -0.537 1.004  -0.537 0.916  -0.537 0.828  -0.537 0.739  -0.537 0.651  -0.537 0.563  -0.537 0.475  -0.537 0.386  -0.537 0.298  -0.537 0.210  -0.537 0.122  -0.537 0.033  -0.537 -0.055  -0.537 -0.143  -0.537 -0.231  -0.538 -0.319  -0.573 -0.393  -0.573 -0.481  -0.514 -0.523  -0.432 -0.537  -0.343 -0.537  -0.255 -0.537  -0.167 -0.537  -0.079 -0.537  0.008 -0.551  0.095 -0.569  0.182 -0.574  0.271 -0.574  0.359 -0.574  0.447 -0.574  0.536 -0.574  0.624 -0.574  0.712 -0.574  0.800 -0.574  0.889 -0.574  0.977 -0.574  1.065 -0.574  1.153 -0.574  1.242 -0.574  1.330 -0.574  1.417 -0.567  1.498 -0.537  1.586 -0.537
2#tos#t3#t3047062/M  -0.928 -0.863  -1.020 -0.932  -1.101 -1.034  -1.101 -0.873  -1.101 -0.712  -1.101 -0.551  -1.101 -0.390  -1.101 -0.229  -1.032 -0.097  -1.032 0.064  -0.966 0.204  -0.963 0.364  -0.935 0.514  -0.928 0.672  -0.872 0.797  -0.725 0.762  -0.635 0.642  -0.541 0.514  -0.475 0.370  -0.415 0.221  -0.305 0.139  -0.271 -0.017  -0.167 -0.123  -0.098 -0.255  -0.021 -0.379  0.097 -0.448  0.144 -0.314  0.231 -0.189  0.271 -0.045  0.373 0.078  0.457 0.214  0.515 0.364  0.587 0.508  0.669 0.595  0.767 0.696  0.812 0.819  0.874 0.932  0.905 0.784  0.906 0.623  0.939 0.476  0.939 0.315  0.974 0.160  0.974 -0.001  0.992 -0.160  1.009 -0.319  1.049 -0.471  1.078 -0.628  1.112 -0.783  1.112 -0.944  1.147 -1.071
2#tos#t3#t3047062/Q  -0.105 -0.904  -0.304 -0.928  -0.512 -0.943  -0.693 -0.828  -0.779 -0.635  -0.898 -0.497  -0.993 -0.303  -1.017 -0.084  -1.017 0.139  -1.017 0.362  -0.967 0.570  -0.817 0.725  -0.665 0.878  -0.590 1.070  -0.422 1.177  -0.261 1.240  -0.077 1.356  0.146 1.356  0.366 1.328  0.569 1.275  0.710 1.124  0.851 0.952  0.965 0.761  1.005 0.548  1.005 0.325  1.005 0.102  0.907 -0.090  0.772 -0.264  0.630 -0.434  0.436 -0.521  0.297 -0.693  0.106 -0.785  -0.084 -0.864  -0.302 -0.883  -0.520 -0.904  -0.688 -0.840  -0.588 -0.640  -0.489 -0.441  -0.389 -0.242  -0.289 -0.042  -0.189 0.157  -0.187 0.088  -0.014 0.004  0.194 -0.054  0.359 -0.200  0.521 -0.336  0.719 -0.424  0.918 -0.507  1.108 -0.586  1.282 -0.666
2#tos#t3#t3047062/S  0.779 0.960  0.642 0.922  0.552 0.997  0.437 1.079  0.326 1.112  0.214 1.188  0.102 1.264  -0.042 1.264  -0.176 1.302  -0.316 1.287  -0.454 1.264  -0.491 1.145  -0.515 1.005  -0.515 0.862  -0.461 0.738  -0.426 0.605  -0.342 0.493  -0.214 0.429  -0.111 0.328  -0.014 0.224  0.089 0.143  0.212 0.081  0.325 0.006  0.438 -0.069  0.539 -0.170  0.605 -0.268  0.701 -0.334  0.769 -0.410  0.856 -0.467  0.856 -0.611  0.856 -0.754  0.798 -0.877  0.662 -0.908  0.549 -0.981  0.405 -0.981  0.271 -1.019  0.127 -1.019  -0.016 -1.019  -0.160 -1.019  -0.286 -1.002  -0.400 -0.972  -0.477 -0.905  -0.579 -0.815  -0.669 -0.751  -0.781 -0.669  -0.819 -0.564  -0.857 -0.458  -0.942 -0.428  -1.000 -0.553  -1.047 -0.677
