1d#tos#f1#f1051061/#  -0.904 0.457  -1.290 0.340  -1.272 0.340  -0.856 0.396  -0.435 0.398  -0.051 0.488  0.355 0.552  0.773 0.575  1.117 0.552  0.759 0.329  0.402 0.106  0.045 -0.118  -0.313 -0.341  -0.670 -0.564  -1.028 -0.788  -1.290 -1.058  -1.246 -1.060  -0.873 -0.894  -0.500 -0.777  -0.092 -0.718  0.326 -0.700  0.738 -0.641  1.153 -0.601  1.089 -0.356  0.838 -0.018  0.586 0.321  0.335 0.659  0.084 0.998  -0.225 1.221  -0.493 1.068  -0.493 0.646  -0.493 0.225  -0.448 -0.191  -0.434 -0.611  -0.434 -1.032  -0.345 -1.365  -0.250 -1.334  -0.122 -0.933  0.007 -0.532  0.136 -0.130  0.264 0.271  0.393 0.672  0.522 1.073  0.651 1.475  0.624 1.315  0.624 0.894  0.624 0.472  0.657 0.054  0.719 -0.359  0.741 -0.777
1d#tos#f1#f1051061/<  0.608 1.170  0.659 1.251  0.619 1.251  0.518 1.251  0.426 1.231  0.348 1.167  0.267 1.107  0.180 1.057  0.093 1.007  0.006 0.955  -0.041 0.881  -0.062 0.792  -0.150 0.742  -0.238 0.692  -0.325 0.642  -0.373 0.554  -0.444 0.483  -0.515 0.412  -0.587 0.340  -0.658 0.269  -0.729 0.198  -0.801 0.126  -0.872 0.055  -0.943 -0.016  -0.961 -0.089  -0.860 -0.089  -0.769 -0.131  -0.671 -0.155  -0.583 -0.197  -0.506 -0.259  -0.410 -0.291  -0.338 -0.361  -0.264 -0.428  -0.180 -0.484  -0.094 -0.537  -0.007 -0.589  0.078 -0.642  0.162 -0.698  0.246 -0.754  0.327 -0.814  0.405 -0.877  0.484 -0.940  0.574 -0.986  0.663 -1.032  0.747 -1.088  0.822 -1.155  0.893 -1.226  0.994 -1.226  1.087 -1.262  1.177 -1.307
1d#tos#f1#f1051061/=  -0.468 0.684  -0.652 0.684  -0.836 0.684  -0.983 0.596  -1.137 0.524  -1.109 0.524  -0.934 0.577  -0.750 0.577  -0.580 0.643  -0.402 0.690  -0.229 0.738  -0.045 0.738  0.137 0.746  0.307 0.811  0.487 0.844  0.671 0.844  0.855 0.844  1.039 0.844  1.187 0.808  1.053 0.693  0.904 0.585  0.755 0.477  0.606 0.368  0.457 0.260  0.309 0.152  0.160 0.044  0.011 -0.065  -0.138 -0.173  -0.287 -0.281  -0.436 -0.389  -0.580 -0.501  -0.705 -0.597  -0.772 -0.747  -0.817 -0.925  -0.919 -1.050  -0.958 -1.024  -0.776 -1.018  -0.603 -0.971  -0.436 -0.914  -0.267 -0.864  -0.096 -0.826  0.051 -0.715  0.227 -0.664  0.409 -0.651  0.590 -0.621  0.772 -0.597  0.956 -0.597  1.140 -0.597  1.324 -0.597  1.508 -0.597
1d#tos#f1#f1051061/>  -0.402 1.045  -0.459 1.119  -0.561 1.119  -0.596 1.156  -0.500 1.131  -0.422 1.066  -0.343 1.009  -0.256 0.973  -0.183 0.900  -0.087 0.867  0.006 0.823  0.093 0.771  0.169 0.705  0.264 0.668  0.363 0.643  0.448 0.599  0.522 0.531  0.625 0.531  0.727 0.531  0.784 0.455  0.883 0.430  0.949 0.364  0.911 0.306  0.819 0.260  0.737 0.201  0.665 0.128  0.579 0.076  0.518 -0.006  0.448 -0.080  0.366 -0.142  0.290 -0.210  0.218 -0.282  0.145 -0.354  0.073 -0.427  0.009 -0.507  -0.055 -0.587  -0.125 -0.661  -0.197 -0.734  -0.281 -0.792  -0.368 -0.845  -0.425 -0.924  -0.464 -1.019  -0.536 -1.085  -0.624 -1.138  -0.678 -1.217  -0.729 -1.302  -0.795 -1.381  -0.843 -1.468  -0.843 -1.571  -0.843 -1.673
1d#tos#f1#f1051061/?  -0.332 1.020  -0.444 1.020  -0.557 1.020  -0.639 1.050  -0.639 1.163  -0.537 1.174  -0.431 1.190  -0.343 1.251  -0.231 1.251  -0.118 1.251  -0.008 1.240  0.086 1.178  0.178 1.126  0.239 1.033  0.296 0.943  0.322 0.856  0.322 0.744  0.318 0.633  0.245 0.566  0.218 0.472  0.125 0.424  0.098 0.314  0.030 0.228  -0.050 0.148  -0.110 0.058  -0.144 -0.023  -0.204 -0.095  -0.216 -0.196  -0.216 -0.309  -0.178 -0.383  -0.090 -0.414  0.012 -0.442  0.124 -0.442  0.237 -0.442  0.269 -0.506  0.244 -0.616  0.219 -0.726  0.194 -0.836  0.169 -0.946  0.144 -1.056  0.119 -1.166  0.094 -1.276  -0.009 -1.288  -0.080 -1.288  0.027 -1.313  0.059 -1.407  0.152 -1.469  0.256 -1.505  0.342 -1.576  0.438 -1.634
1d#tos#f1#f1051061/[  0.821 1.192  0.750 1.144  0.672 1.117  0.587 1.117  0.501 1.117  0.415 1.117  0.367 1.080  0.281 1.080  0.196 1.080  0.110 1.080  0.024 1.080  -0.062 1.080  -0.110 1.116  -0.146 1.046  -0.146 0.960  -0.146 0.874  -0.146 0.789  -0.149 0.704  -0.196 0.633  -0.221 0.554  -0.221 0.468  -0.229 0.384  -0.256 0.303  -0.258 0.217  -0.258 0.132  -0.258 0.046  -0.258 -0.040  -0.258 -0.125  -0.258 -0.211  -0.258 -0.297  -0.258 -0.382  -0.258 -0.468  -0.258 -0.554  -0.258 -0.640  -0.258 -0.725  -0.258 -0.811  -0.255 -0.895  -0.209 -0.965  -0.183 -1.047  -0.183 -1.132  -0.171 -1.215  -0.133 -1.292  -0.076 -1.339  0.009 -1.339  0.095 -1.339  0.181 -1.339  0.267 -1.339  0.352 -1.339  0.438 -1.339  0.524 -1.339
1d#tos#f1#f1051061/^  -0.716 -0.445  -0.774 -0.532  -0.834 -0.617  -0.924 -0.671  -1.014 -0.725  -1.103 -0.779  -1.128 -0.784  -1.084 -0.701  -1.055 -0.601  -1.035 -0.499  -1.002 -0.399  -0.930 -0.354  -0.897 -0.254  -0.885 -0.151  -0.832 -0.079  -0.745 -0.022  -0.671 0.052  -0.631 0.147  -0.595 0.245  -0.537 0.332  -0.476 0.417  -0.402 0.491  -0.367 0.582  -0.289 0.650  -0.201 0.708  -0.151 0.786  -0.058 0.798  0.038 0.761  0.081 0.685  0.177 0.655  0.264 0.597  0.302 0.512  0.352 0.447  0.454 0.421  0.553 0.390  0.644 0.340  0.691 0.246  0.772 0.183  0.860 0.125  0.947 0.067  1.034 0.009  1.036 -0.095  1.110 -0.164  1.191 -0.230  1.273 -0.295  1.364 -0.343  1.466 -0.368  1.550 -0.411  1.576 -0.513  1.601 -0.614
1d#tos#f1#f1051061/_  -0.145 0.276  -0.245 0.276  -0.311 0.222  -0.358 0.137  -0.458 0.137  -0.557 0.137  -0.657 0.137  -0.756 0.137  -0.856 0.137  -0.955 0.137  -1.033 0.084  -1.103 0.013  -1.196 -0.002  -1.296 -0.002  -1.395 -0.002  -1.327 -0.031  -1.268 -0.072  -1.169 -0.072  -1.069 -0.072  -0.970 -0.072  -0.870 -0.072  -0.771 -0.072  -0.671 -0.072  -0.572 -0.072  -0.472 -0.072  -0.373 -0.072  -0.273 -0.072  -0.173 -0.072  -0.074 -0.072  0.026 -0.072  0.125 -0.072  0.225 -0.072  0.324 -0.072  0.424 -0.072  0.523 -0.072  0.623 -0.072  0.722 -0.072  0.822 -0.072  0.921 -0.072  1.020 -0.061  1.117 -0.042  1.215 -0.022  1.312 -0.002  1.412 -0.002  1.511 -0.002  1.611 -0.002  1.711 -0.002  1.810 -0.002  1.910 -0.002  2.009 -0.002
1d#tos#f1#f1051061/`  -0.216 0.700  -0.301 0.700  -0.387 0.700  -0.468 0.722  -0.547 0.754  -0.626 0.785  -0.706 0.817  -0.785 0.849  -0.864 0.880  -0.904 0.939  -0.874 0.995  -0.789 0.995  -0.706 0.991  -0.679 0.910  -0.652 0.829  -0.625 0.748  -0.581 0.681  -0.510 0.633  -0.439 0.586  -0.368 0.539  -0.299 0.488  -0.239 0.428  -0.187 0.361  -0.139 0.290  -0.092 0.219  -0.045 0.148  0.001 0.076  0.045 0.002  0.089 -0.071  0.133 -0.144  0.177 -0.217  0.221 -0.290  0.265 -0.363  0.311 -0.435  0.359 -0.506  0.406 -0.577  0.453 -0.648  0.508 -0.713  0.569 -0.773  0.629 -0.833  0.690 -0.894  0.750 -0.954  0.794 -1.026  0.832 -1.102  0.871 -1.179  0.909 -1.255  0.947 -1.331  0.985 -1.408  1.023 -1.484  1.061 -1.560
1d#tos#f1#f1051061/|  0.221 1.319  0.221 1.401  0.157 1.419  0.076 1.419  0.071 1.497  0.021 1.510  0.021 1.428  0.021 1.347  0.021 1.265  0.021 1.183  0.021 1.101  0.021 1.020  0.021 0.938  0.017 0.857  -0.009 0.779  -0.029 0.701  -0.029 0.619  -0.029 0.538  -0.029 0.456  -0.029 0.374  -0.029 0.292  -0.071 0.228  -0.079 0.150  -0.079 0.068  -0.079 -0.014  -0.079 -0.096  -0.079 -0.177  -0.079 -0.259  -0.079 -0.341  -0.079 -0.422  -0.018 -0.452  0.014 -0.527  0.046 -0.602  0.078 -0.677  0.110 -0.753  0.067 -0.778  0.021 -0.742  -0.029 -0.746  -0.029 -0.828  -0.029 -0.909  -0.029 -0.991  -0.029 -1.073  -0.029 -1.154  -0.029 -1.236  -0.029 -1.318  -0.029 -1.400  -0.029 -1.481  -0.029 -1.563  -0.029 -1.645  -0.029 -1.727
1d#tos#f1#f1051061/}  -0.012 1.072  -0.065 1.152  -0.096 1.239  -0.192 1.240  -0.246 1.282  -0.342 1.282  -0.382 1.324  -0.305 1.304  -0.305 1.208  -0.305 1.111  -0.297 1.018  -0.243 0.937  -0.222 0.848  -0.222 0.751  -0.209 0.657  -0.177 0.567  -0.109 0.499  -0.034 0.456  0.019 0.376  0.097 0.335  0.186 0.318  0.282 0.318  0.323 0.373  0.298 0.443  0.256 0.367  0.220 0.278  0.198 0.187  0.198 0.091  0.198 -0.005  0.123 -0.055  0.114 -0.146  0.114 -0.242  0.114 -0.339  0.114 -0.435  0.114 -0.531  0.114 -0.628  0.114 -0.724  0.114 -0.820  0.114 -0.916  0.114 -1.013  0.076 -1.100  0.033 -1.186  0.030 -1.282  0.030 -1.378  0.030 -1.475  0.030 -1.571  0.030 -1.667  0.030 -1.763  -0.006 -1.851  -0.054 -1.904
