3#app#app25#app2585/o  0.680 1.318  0.529 1.267  0.378 1.217  0.228 1.167  0.089 1.097  -0.023 0.984  -0.059 0.841  -0.141 0.763  -0.284 0.724  -0.396 0.612  -0.508 0.499  -0.621 0.387  -0.733 0.275  -0.845 0.162  -0.957 0.050  -0.983 -0.098  -0.983 -0.257  -0.983 -0.416  -0.983 -0.575  -0.983 -0.734  -0.983 -0.892  -0.983 -1.051  -0.857 -1.084  -0.698 -1.084  -0.539 -1.084  -0.394 -1.050  -0.282 -0.937  -0.139 -0.899  0.020 -0.899  0.163 -0.862  0.275 -0.749  0.310 -0.824  0.310 -0.815  0.351 -0.673  0.463 -0.561  0.576 -0.449  0.688 -0.337  0.800 -0.224  0.864 -0.092  0.907 0.025  1.049 0.041  1.049 0.200  0.943 0.315  0.831 0.427  0.719 0.540  0.680 0.682  0.602 0.763  0.443 0.763  0.284 0.763  0.125 0.763
3#app#app25#app2585/P  0.278 0.949  0.187 0.839  0.059 0.703  0.006 0.516  -0.051 0.329  -0.124 0.146  -0.166 -0.043  -0.270 -0.200  -0.372 -0.358  -0.464 -0.535  -0.514 -0.719  -0.599 -0.884  -0.660 -1.023  -0.708 -1.175  -0.708 -1.375  -0.818 -1.466  -0.913 -1.571  -0.851 -1.462  -0.767 -1.303  -0.707 -1.112  -0.646 -0.921  -0.585 -0.731  -0.525 -0.540  -0.464 -0.349  -0.403 -0.158  -0.343 0.032  -0.282 0.223  -0.221 0.414  -0.160 0.605  -0.100 0.795  -0.012 0.949  0.079 1.058  0.247 1.137  0.387 1.121  0.525 1.058  0.725 1.058  0.925 1.058  1.015 0.949  1.106 0.839  1.154 0.687  1.060 0.526  1.045 0.332  1.010 0.147  0.840 0.072  0.750 -0.037  0.595 -0.147  0.395 -0.147  0.194 -0.147  0.013 -0.101  -0.161 -0.037
3#app#app25#app2585/O  0.436 0.897  0.292 0.897  0.148 0.897  0.019 0.861  -0.073 0.755  -0.104 0.642  -0.234 0.608  -0.336 0.507  -0.437 0.405  -0.539 0.303  -0.641 0.201  -0.709 0.085  -0.709 -0.059  -0.766 -0.179  -0.882 -0.248  -1.007 -0.292  -1.090 -0.402  -1.090 -0.546  -1.090 -0.690  -1.090 -0.834  -1.024 -0.951  -0.906 -1.012  -0.762 -1.012  -0.618 -1.012  -0.474 -1.012  -0.330 -1.012  -0.190 -1.002  -0.088 -0.900  0.050 -0.884  0.190 -0.876  0.292 -0.774  0.394 -0.672  0.496 -0.571  0.597 -0.469  0.691 -0.363  0.711 -0.228  0.813 -0.126  0.915 -0.024  0.945 0.107  0.945 0.251  0.945 0.395  0.945 0.539  0.945 0.683  0.904 0.810  0.818 0.918  0.780 1.024  0.652 1.063  0.544 1.151  0.411 1.126  0.309 1.024
3#app#app25#app2585/W  -1.132 0.850  -1.132 0.672  -1.132 0.495  -1.132 0.317  -1.132 0.140  -1.132 -0.037  -1.132 -0.215  -1.132 -0.392  -1.049 -0.486  -1.011 -0.625  -0.937 -0.729  -0.881 -0.608  -0.723 -0.562  -0.647 -0.416  -0.558 -0.276  -0.432 -0.150  -0.397 0.014  -0.318 0.172  -0.212 0.312  -0.087 0.438  0.038 0.563  0.082 0.723  0.203 0.849  0.203 0.672  0.203 0.495  0.084 0.366  0.082 0.190  0.005 0.044  -0.040 -0.114  -0.074 -0.278  -0.161 -0.419  -0.161 -0.596  -0.161 -0.773  -0.061 -0.850  0.107 -0.826  0.232 -0.700  0.325 -0.561  0.427 -0.486  0.558 -0.374  0.714 -0.291  0.860 -0.194  1.007 -0.122  1.146 -0.029  1.236 0.122  1.326 0.273  1.452 0.398  1.539 0.539  1.617 0.685  1.742 0.810  1.782 0.971
3#app#app25#app2585/*  0.158 1.399  0.019 1.030  -0.073 0.641  -0.258 0.291  -0.304 -0.117  -0.304 -0.543  -0.304 -0.970  -0.534 -1.166  -0.623 -1.163  -0.791 -0.771  -0.959 -0.379  -1.127 0.013  -1.053 0.246  -0.898 0.113  -0.526 0.246  -0.099 0.246  0.278 0.125  0.659 0.015  1.085 0.015  1.512 0.015  1.158 0.119  0.747 0.232  0.335 0.344  -0.077 0.456  -0.488 0.569  -0.900 0.681  -0.849 1.000  -0.765 0.930  -0.621 0.563  -0.461 0.246  -0.304 -0.024  -0.138 -0.382  0.001 -0.751  0.158 -1.113  0.328 -1.369  0.669 -1.243  0.828 -0.847  0.986 -0.451  1.145 -0.055  1.303 0.342  1.462 0.738  1.352 0.843  0.971 0.652  0.586 0.476  0.226 0.314  -0.077 0.015  -0.445 -0.126  -0.765 -0.285  -0.996 -0.481  -1.226 -0.677
3#app#app25#app2585/,  0.878 0.550  0.878 0.643  0.878 0.737  0.878 0.831  0.878 0.925  0.878 1.019  0.878 1.053  0.878 0.960  0.878 0.866  0.834 0.816  0.740 0.816  0.646 0.816  0.611 0.757  0.611 0.663  0.611 0.569  0.611 0.475  0.611 0.381  0.611 0.288  0.522 0.283  0.428 0.283  0.345 0.273  0.345 0.179  0.345 0.085  0.320 0.016  0.226 0.016  0.132 0.016  0.050 -0.012  -0.017 -0.078  -0.083 -0.145  -0.149 -0.211  -0.227 -0.251  -0.321 -0.251  -0.415 -0.251  -0.456 -0.303  -0.456 -0.397  -0.456 -0.491  -0.503 -0.565  -0.570 -0.632  -0.636 -0.698  -0.703 -0.764  -0.788 -0.784  -0.882 -0.784  -0.976 -0.784  -1.046 -0.841  -1.113 -0.908  -1.179 -0.974  -1.245 -1.040  -1.335 -1.051  -1.429 -1.051  -1.523 -1.051
3#app#app25#app2585/*  0.298 1.605  0.504 1.439  0.504 1.068  0.443 0.721  0.181 0.459  0.064 0.136  -0.114 -0.162  -0.170 -0.510  -0.319 -0.819  -0.405 -1.155  -0.525 -1.477  -0.603 -1.547  -0.783 -1.222  -0.964 -0.897  -1.144 -0.573  -1.324 -0.248  -1.505 0.076  -1.489 0.370  -1.118 0.370  -0.746 0.370  -0.375 0.370  -0.004 0.370  0.368 0.370  0.670 0.204  0.915 0.055  1.191 -0.041  1.506 -0.028  1.174 0.138  0.842 0.304  0.510 0.470  0.177 0.636  -0.155 0.802  -0.487 0.968  -0.293 0.755  -0.114 0.458  0.147 0.315  0.456 0.164  0.504 -0.159  0.709 -0.325  0.882 -0.625  1.033 -0.864  0.944 -0.643  0.712 -0.353  0.480 -0.063  0.218 0.164  -0.082 -0.009  -0.234 -0.247  -0.605 -0.247  -0.936 -0.287  -0.936 -0.658
3#app#app25#app2585/K  -0.015 1.630  -0.015 1.393  -0.135 1.204  -0.254 1.016  -0.254 0.779  -0.313 0.555  -0.374 0.332  -0.443 0.123  -0.568 -0.076  -0.614 -0.303  -0.708 -0.502  -0.734 -0.729  -0.875 -0.908  -0.974 -1.105  -0.974 -1.343  -0.826 -1.211  -0.662 -1.039  -0.498 -0.867  -0.334 -0.695  -0.170 -0.523  -0.006 -0.351  0.158 -0.178  0.321 -0.006  0.485 0.166  0.649 0.338  0.813 0.510  0.977 0.682  1.141 0.854  1.305 1.026  1.377 1.104  1.209 0.936  1.064 0.829  0.887 0.735  0.679 0.659  0.466 0.552  0.298 0.385  0.091 0.312  -0.108 0.218  -0.276 0.050  -0.473 -0.048  -0.711 -0.048  -0.639 -0.168  -0.451 -0.287  -0.254 -0.329  -0.142 -0.520  0.061 -0.603  0.145 -0.806  0.225 -1.011  0.225 -1.248  0.225 -1.486
3#app#app25#app2585/E  0.031 0.996  0.165 1.063  0.031 0.862  -0.104 0.739  -0.238 0.616  -0.373 0.414  -0.490 0.206  -0.507 -0.044  -0.664 -0.237  -0.846 -0.418  -1.028 -0.600  -1.210 -0.782  -1.313 -0.997  -1.349 -1.020  -1.091 -1.020  -0.834 -1.020  -0.577 -1.020  -0.320 -1.020  -0.062 -1.020  0.147 -1.136  0.329 -1.318  0.325 -1.423  0.287 -1.192  0.272 -0.936  0.258 -0.679  0.244 -0.422  0.230 -0.165  0.215 0.092  0.201 0.349  0.187 0.605  0.172 0.862  0.042 0.996  0.277 0.996  0.534 0.996  0.791 0.996  0.987 1.115  1.194 0.996  1.308 0.958  1.085 0.830  0.861 0.702  0.638 0.575  0.415 0.447  0.191 0.320  -0.032 0.192  -0.255 0.064  -0.479 -0.063  -0.282 -0.079  -0.025 -0.079  0.232 -0.079  0.434 -0.214
3#app#app25#app2585/R  0.344 1.510  0.201 1.324  0.200 1.080  0.058 0.894  0.056 0.650  -0.117 0.477  -0.228 0.278  -0.313 0.054  -0.371 -0.177  -0.513 -0.363  -0.596 -0.573  -0.668 -0.788  -0.799 -0.978  -0.799 -1.223  -0.919 -1.348  -0.910 -1.134  -0.811 -0.910  -0.712 -0.686  -0.612 -0.463  -0.513 -0.239  -0.413 -0.016  -0.314 0.208  -0.215 0.432  -0.115 0.655  -0.016 0.879  0.083 1.102  0.183 1.326  0.401 1.367  0.641 1.355  0.814 1.182  0.915 0.980  0.915 0.735  0.902 0.496  0.773 0.305  0.630 0.203  0.507 0.081  0.263 0.081  0.018 0.081  -0.227 0.081  -0.299 0.009  -0.085 -0.063  -0.013 -0.277  0.060 -0.491  0.201 -0.595  0.264 -0.777  0.344 -0.941  0.344 -1.186  0.344 -1.430  0.487 -1.532  0.630 -1.634
3#app#app25#app2585/P  0.078 0.915  0.078 0.713  0.078 0.512  -0.040 0.359  -0.068 0.169  -0.100 -0.025  -0.190 -0.205  -0.215 -0.401  -0.358 -0.543  -0.500 -0.686  -0.506 -0.885  -0.579 -1.057  -0.653 -1.228  -0.657 -1.427  -0.799 -1.570  -0.784 -1.660  -0.733 -1.465  -0.682 -1.270  -0.630 -1.075  -0.579 -0.880  -0.528 -0.685  -0.476 -0.490  -0.425 -0.295  -0.374 -0.100  -0.322 0.095  -0.271 0.290  -0.220 0.485  -0.168 0.680  -0.117 0.875  -0.068 1.070  -0.004 1.207  0.078 1.327  0.253 1.353  0.430 1.293  0.596 1.207  0.758 1.112  0.808 0.931  0.940 0.784  0.979 0.598  1.101 0.447  1.101 0.246  1.101 0.044  0.955 -0.011  0.849 -0.108  0.648 -0.108  0.446 -0.108  0.244 -0.108  0.043 -0.108  -0.159 -0.108  -0.360 -0.108
3#app#app25#app2585/L  0.790 1.773  0.790 1.671  0.753 1.583  0.680 1.511  0.638 1.426  0.638 1.323  0.595 1.230  0.549 1.138  0.503 1.047  0.441 0.966  0.369 0.894  0.332 0.806  0.331 0.704  0.259 0.631  0.186 0.558  0.113 0.486  0.041 0.413  -0.032 0.341  -0.104 0.268  -0.126 0.174  -0.142 0.078  -0.214 0.005  -0.287 -0.067  -0.360 -0.140  -0.432 -0.213  -0.505 -0.285  -0.577 -0.358  -0.584 -0.458  -0.628 -0.517  -0.730 -0.517  -0.736 -0.613  -0.769 -0.702  -0.842 -0.775  -0.853 -0.822  -0.750 -0.822  -0.648 -0.822  -0.545 -0.822  -0.442 -0.822  -0.340 -0.822  -0.237 -0.822  -0.134 -0.822  -0.031 -0.822  0.071 -0.822  0.174 -0.822  0.277 -0.822  0.379 -0.822  0.482 -0.822  0.485 -0.922  0.535 -0.975  0.638 -0.975
3#app#app25#app2585/U  -0.007 1.407  -0.144 1.271  -0.280 1.134  -0.416 0.998  -0.553 0.862  -0.689 0.725  -0.698 0.536  -0.766 0.372  -0.903 0.235  -1.039 0.099  -1.112 -0.064  -1.214 -0.214  -1.250 -0.392  -1.250 -0.585  -1.250 -0.778  -1.082 -0.803  -0.889 -0.803  -0.737 -0.704  -0.561 -0.665  -0.368 -0.665  -0.207 -0.588  -0.070 -0.452  0.066 -0.315  0.202 -0.179  0.368 -0.112  0.516 -0.004  0.652 0.132  0.788 0.269  0.925 0.405  1.061 0.542  1.197 0.678  1.236 0.855  1.197 0.954  1.098 0.802  0.991 0.716  0.943 0.561  0.806 0.425  0.670 0.289  0.545 0.148  0.495 -0.024  0.376 -0.174  0.290 -0.346  0.166 -0.491  0.030 -0.628  -0.010 -0.803  -0.145 -0.860  -0.033 -0.941  0.160 -0.941  0.352 -0.941  0.545 -0.941
3#app#app25#app2585/N  -1.039 -1.360  -1.124 -1.191  -1.183 -1.015  -1.111 -0.855  -1.039 -0.695  -0.945 -0.545  -0.895 -0.376  -0.736 -0.336  -0.606 -0.200  -0.606 -0.010  -0.538 0.151  -0.462 0.309  -0.405 0.485  -0.320 0.655  -0.289 0.832  -0.174 0.974  -0.174 1.164  -0.056 1.236  -0.011 1.380  0.115 1.316  0.115 1.126  0.115 0.937  0.115 0.747  0.115 0.557  0.113 0.369  -0.021 0.234  -0.029 0.048  -0.029 -0.142  -0.029 -0.331  -0.029 -0.521  -0.029 -0.711  -0.029 -0.900  -0.029 -1.090  0.034 -1.216  0.115 -1.107  0.125 -0.927  0.259 -0.871  0.259 -0.682  0.363 -0.535  0.536 -0.495  0.571 -0.327  0.692 -0.187  0.738 -0.016  0.836 0.133  0.904 0.294  0.980 0.453  1.070 0.605  1.124 0.772  1.236 0.915  1.413 0.948
3#app#app25#app2585/K  -0.403 1.006  -0.403 0.767  -0.495 0.551  -0.542 0.325  -0.674 0.141  -0.687 -0.092  -0.810 -0.279  -0.842 -0.485  -0.945 -0.620  -1.047 -0.756  -1.149 -0.892  -1.188 -1.006  -0.998 -0.861  -0.809 -0.717  -0.620 -0.573  -0.430 -0.428  -0.241 -0.284  -0.051 -0.140  0.138 0.005  0.328 0.149  0.517 0.293  0.707 0.438  0.896 0.582  1.085 0.726  1.275 0.871  1.464 1.015  1.605 1.125  1.407 0.993  1.206 0.870  1.003 0.785  0.789 0.721  0.576 0.614  0.398 0.463  0.172 0.412  -0.047 0.328  -0.240 0.220  -0.448 0.147  -0.649 0.057  -0.864 0.002  -0.821 -0.079  -0.583 -0.079  -0.362 -0.120  -0.194 -0.288  -0.025 -0.457  0.183 -0.529  0.351 -0.698  0.559 -0.770  0.681 -0.958  0.681 -1.196  0.546 -1.299
3#app#app25#app2585/*  0.149 1.599  0.149 1.176  0.010 0.810  -0.068 0.419  -0.068 -0.005  -0.285 -0.211  -0.285 -0.634  -0.502 -0.841  -0.687 -0.818  -0.986 -0.518  -1.286 -0.219  -1.585 0.080  -1.381 0.298  -0.957 0.298  -0.719 0.114  -0.327 0.081  0.096 0.081  0.519 0.081  0.942 0.081  1.232 -0.052  0.922 0.003  0.535 0.175  0.148 0.346  -0.239 0.518  -0.625 0.690  -0.719 0.410  -0.502 0.204  -0.502 -0.219  -0.285 -0.426  -0.005 -0.569  0.149 -0.839  0.191 -1.219  0.166 -1.192  0.393 -0.835  0.621 -0.478  0.848 -0.120  1.075 0.237  1.302 0.594  1.530 0.951  1.515 1.090  1.156 0.872  1.008 0.515  0.799 0.301  0.438 0.154  0.134 -0.135  -0.285 -0.139  -0.495 -0.352  -0.829 -0.569  -1.035 -0.786  -1.369 -1.003
3#app#app25#app2585/.  -0.098 0.923  -0.180 0.840  -0.263 0.758  -0.345 0.675  -0.428 0.592  -0.510 0.510  -0.593 0.427  -0.676 0.345  -0.758 0.262  -0.841 0.180  -0.923 0.097  -1.006 0.014  -1.088 -0.068  -1.171 -0.151  -1.254 -0.233  -1.336 -0.316  -1.359 -0.374  -1.242 -0.374  -1.125 -0.374  -1.008 -0.374  -0.892 -0.374  -0.775 -0.374  -0.658 -0.374  -0.541 -0.374  -0.424 -0.374  -0.308 -0.374  -0.191 -0.374  -0.074 -0.374  0.043 -0.374  0.159 -0.374  0.276 -0.374  0.393 -0.374  0.510 -0.374  0.627 -0.374  0.743 -0.374  0.860 -0.374  0.977 -0.374  1.094 -0.374  1.199 -0.362  1.199 -0.245  1.199 -0.128  1.199 -0.012  1.199 0.105  1.199 0.222  1.199 0.339  1.199 0.456  1.199 0.572  1.199 0.689  1.199 0.806  1.199 0.923
