3#apa#apa20#app2036/h  -0.383 1.350  -0.516 1.354  -0.516 1.491  -0.516 1.628  -0.516 1.734  -0.516 1.597  -0.516 1.460  -0.516 1.323  -0.516 1.186  -0.516 1.049  -0.507 0.913  -0.474 0.780  -0.440 0.647  -0.407 0.514  -0.383 0.380  -0.383 0.243  -0.383 0.106  -0.383 -0.031  -0.383 -0.168  -0.342 -0.288  -0.250 -0.387  -0.250 -0.524  -0.240 -0.657  -0.143 -0.754  -0.117 -0.880  -0.117 -1.017  -0.041 -1.123  0.016 -1.236  0.016 -1.252  0.016 -1.115  0.016 -0.978  0.016 -0.841  0.016 -0.704  0.016 -0.567  0.076 -0.454  0.149 -0.348  0.186 -0.248  0.283 -0.207  0.314 -0.083  0.411 0.014  0.546 0.019  0.682 0.018  0.685 -0.118  0.782 -0.215  0.879 -0.312  0.948 -0.420  0.979 -0.544  1.076 -0.641  1.081 -0.776  1.081 -0.913
3#apa#apa20#app2036/v  -0.889 1.213  -0.889 1.095  -0.889 0.978  -0.992 0.964  -1.109 0.964  -1.050 0.964  -0.933 0.964  -0.889 0.890  -0.889 0.773  -0.889 0.656  -0.889 0.538  -0.844 0.466  -0.727 0.466  -0.640 0.436  -0.640 0.319  -0.629 0.206  -0.546 0.123  -0.463 0.040  -0.391 -0.047  -0.391 -0.164  -0.391 -0.281  -0.308 -0.364  -0.225 -0.447  -0.142 -0.530  -0.059 -0.613  0.024 -0.696  0.107 -0.779  0.190 -0.862  0.272 -0.945  0.355 -1.027  0.472 -1.028  0.590 -1.028  0.707 -1.028  0.824 -1.028  0.854 -0.940  0.854 -0.823  0.854 -0.706  0.854 -0.589  0.854 -0.471  0.854 -0.354  0.854 -0.237  0.854 -0.120  0.854 -0.003  0.854 0.115  0.854 0.232  0.854 0.349  0.853 0.466  0.771 0.549  0.688 0.632  0.605 0.715
3#apa#apa20#app2036/e  -1.265 -0.001  -1.097 -0.001  -0.930 -0.001  -0.763 -0.001  -0.596 -0.001  -0.429 -0.001  -0.261 -0.001  -0.094 -0.001  0.073 -0.001  0.240 -0.001  0.407 -0.001  0.575 -0.001  0.742 -0.001  0.909 -0.001  1.076 -0.001  1.142 0.100  1.142 0.267  1.142 0.434  1.142 0.602  1.084 0.745  0.966 0.863  0.847 0.981  0.701 1.030  0.533 1.030  0.366 1.030  0.199 1.030  0.032 1.030  -0.135 1.030  -0.282 0.981  -0.400 0.863  -0.519 0.745  -0.577 0.602  -0.577 0.434  -0.577 0.267  -0.577 0.100  -0.577 -0.067  -0.577 -0.234  -0.577 -0.402  -0.577 -0.569  -0.577 -0.736  -0.577 -0.903  -0.539 -1.033  -0.372 -1.033  -0.233 -1.061  -0.233 -1.228  -0.214 -1.377  -0.047 -1.377  0.120 -1.377  0.287 -1.377  0.455 -1.377
3#apa#apa20#app2036/r  -0.772 0.570  -0.772 0.443  -0.772 0.315  -0.772 0.188  -0.772 0.061  -0.772 -0.066  -0.772 -0.193  -0.772 -0.321  -0.698 -0.373  -0.570 -0.373  -0.458 -0.388  -0.458 -0.515  -0.458 -0.642  -0.400 -0.745  -0.310 -0.835  -0.220 -0.925  -0.144 -1.021  -0.144 -1.148  -0.144 -1.275  -0.057 -1.316  0.070 -1.316  0.171 -1.290  0.171 -1.163  0.171 -1.035  0.171 -0.908  0.171 -0.781  0.171 -0.654  0.171 -0.527  0.171 -0.399  0.171 -0.272  0.171 -0.145  0.171 -0.018  0.171 0.109  0.171 0.236  0.171 0.364  0.171 0.491  0.171 0.618  0.171 0.745  0.171 0.872  0.286 0.884  0.413 0.884  0.485 0.940  0.485 1.067  0.485 1.194  0.572 1.285  0.662 1.375  0.752 1.465  0.859 1.513  0.986 1.513  1.113 1.513
3#apa#apa20#app2036/y  -0.993 1.077  -0.993 0.892  -0.831 0.870  -0.786 1.010  -0.786 0.959  -0.691 0.870  -0.579 0.797  -0.543 0.627  -0.412 0.496  -0.372 0.329  -0.372 0.144  -0.289 0.041  -0.164 -0.019  -0.164 -0.203  -0.149 -0.373  0.035 -0.373  0.043 -0.550  0.076 -0.429  0.116 -0.248  0.157 -0.068  0.197 0.112  0.237 0.293  0.277 0.473  0.317 0.653  0.357 0.834  0.397 1.014  0.437 1.195  0.457 1.191  0.457 1.007  0.505 0.870  0.664 0.844  0.664 0.659  0.664 0.475  0.664 0.290  0.664 0.105  0.664 -0.080  0.664 -0.264  0.610 -0.427  0.480 -0.557  0.457 -0.733  0.365 -0.879  0.234 -1.010  0.104 -1.141  -0.027 -1.271  -0.158 -1.402  -0.340 -1.409  -0.372 -1.562  -0.502 -1.616  -0.655 -1.692  -0.786 -1.823
3#apa#apa20#app2036/o  0.314 0.710  0.210 0.814  0.097 0.894  -0.049 0.894  -0.196 0.894  -0.342 0.894  -0.423 0.829  -0.443 0.691  -0.546 0.587  -0.667 0.526  -0.791 0.504  -0.791 0.357  -0.791 0.211  -0.857 0.092  -0.961 -0.012  -0.975 -0.152  -0.975 -0.298  -0.975 -0.445  -0.975 -0.591  -0.975 -0.738  -0.853 -0.762  -0.791 -0.846  -0.745 -0.946  -0.598 -0.946  -0.452 -0.946  -0.306 -0.946  -0.159 -0.946  -0.013 -0.946  0.134 -0.946  0.280 -0.946  0.414 -0.896  0.545 -0.830  0.676 -0.765  0.781 -0.663  0.884 -0.559  0.988 -0.456  1.050 -0.335  1.050 -0.189  1.050 -0.042  1.050 0.104  0.985 0.223  0.881 0.327  0.866 0.467  0.804 0.588  0.701 0.691  0.597 0.795  0.494 0.898  0.390 1.002  0.276 1.079  0.129 1.079
3#apa#apa20#app2036/p  -0.467 -0.105  -0.467 -0.266  -0.467 -0.427  -0.467 -0.587  -0.467 -0.748  -0.467 -0.909  -0.467 -1.069  -0.467 -1.230  -0.440 -1.364  -0.328 -1.411  -0.328 -1.572  -0.238 -1.643  -0.188 -1.533  -0.188 -1.372  -0.188 -1.211  -0.188 -1.051  -0.188 -0.890  -0.188 -0.729  -0.188 -0.569  -0.188 -0.408  -0.188 -0.248  -0.188 -0.087  -0.188 0.074  -0.188 0.234  -0.188 0.395  -0.142 0.545  -0.070 0.689  -0.048 0.844  -0.048 1.005  0.060 1.121  0.173 1.234  0.310 1.293  0.470 1.293  0.631 1.293  0.750 1.193  0.894 1.153  0.931 1.029  0.931 0.868  0.931 0.707  0.897 0.560  0.781 0.454  0.620 0.454  0.459 0.454  0.299 0.454  0.138 0.454  0.011 0.373  -0.125 0.314  -0.286 0.314  -0.447 0.314  -0.607 0.314
3#apa#apa20#app2036/p  -0.250 0.129  -0.250 -0.034  -0.250 -0.196  -0.250 -0.358  -0.250 -0.521  -0.283 -0.669  -0.377 -0.793  -0.377 -0.955  -0.377 -1.117  -0.377 -1.280  -0.377 -1.442  -0.377 -1.605  -0.456 -1.576  -0.504 -1.434  -0.504 -1.271  -0.504 -1.109  -0.504 -0.947  -0.504 -0.784  -0.504 -0.622  -0.504 -0.459  -0.504 -0.297  -0.504 -0.135  -0.436 0.011  -0.377 0.160  -0.377 0.322  -0.305 0.455  -0.212 0.585  -0.140 0.731  -0.122 0.889  -0.010 1.005  0.104 1.120  0.219 1.234  0.365 1.275  0.486 1.374  0.637 1.403  0.770 1.373  0.815 1.230  0.897 1.101  0.897 0.939  0.897 0.777  0.897 0.614  0.855 0.469  0.770 0.342  0.716 0.202  0.601 0.087  0.474 0.001  0.312 0.001  0.150 0.001  0.030 -0.101  -0.122 -0.126
3#apa#apa20#app2036/o  0.434 0.690  0.434 0.829  0.392 0.926  0.252 0.926  0.113 0.926  -0.027 0.926  -0.129 0.836  -0.227 0.738  -0.347 0.690  -0.486 0.690  -0.512 0.576  -0.524 0.441  -0.622 0.343  -0.721 0.244  -0.820 0.146  -0.918 0.047  -0.984 -0.065  -0.984 -0.204  -0.984 -0.344  -0.984 -0.483  -0.984 -0.623  -0.984 -0.762  -0.984 -0.902  -0.908 -0.965  -0.769 -0.965  -0.629 -0.965  -0.490 -0.965  -0.350 -0.965  -0.211 -0.965  -0.072 -0.965  0.068 -0.965  0.204 -0.958  0.303 -0.859  0.402 -0.761  0.500 -0.662  0.599 -0.564  0.697 -0.465  0.796 -0.366  0.895 -0.268  0.907 -0.134  0.907 0.006  0.907 0.145  0.907 0.285  0.907 0.424  0.907 0.564  0.907 0.703  0.907 0.843  0.868 0.966  0.769 1.064  0.671 1.163
3#apa#apa20#app2036/r  -0.892 0.042  -0.892 0.195  -0.892 0.349  -0.892 0.502  -0.745 0.508  -0.659 0.441  -0.659 0.287  -0.518 0.275  -0.426 0.214  -0.426 0.060  -0.426 -0.093  -0.387 -0.230  -0.278 -0.339  -0.193 -0.457  -0.193 -0.610  -0.193 -0.763  -0.193 -0.917  -0.193 -1.070  -0.193 -1.223  -0.193 -1.377  -0.193 -1.530  -0.193 -1.495  -0.193 -1.342  -0.193 -1.188  -0.193 -1.035  -0.193 -0.882  -0.193 -0.728  -0.193 -0.575  -0.193 -0.422  -0.193 -0.268  -0.139 -0.137  -0.031 -0.029  0.040 0.095  0.040 0.249  0.040 0.402  0.040 0.555  0.040 0.709  0.161 0.741  0.273 0.782  0.273 0.936  0.388 0.974  0.541 0.974  0.695 0.974  0.848 0.974  1.001 0.974  1.155 0.974  1.308 0.974  1.455 0.958  1.563 0.850  1.672 0.741
3#apa#apa20#app2036/t  0.107 0.951  0.107 1.092  0.107 1.234  0.107 1.375  0.182 1.485  0.198 1.619  0.198 1.761  0.107 1.742  0.107 1.601  0.107 1.460  0.107 1.318  0.107 1.177  0.107 1.036  0.107 0.895  0.107 0.753  0.107 0.612  0.107 0.471  0.107 0.330  0.107 0.188  0.107 0.047  0.107 -0.094  0.107 -0.235  0.107 -0.377  0.107 -0.518  0.107 -0.659  0.107 -0.800  0.107 -0.942  0.107 -1.083  0.107 -1.224  0.189 -1.331  0.198 -1.469  0.151 -1.453  0.073 -1.336  -0.006 -1.218  -0.084 -1.101  -0.162 -0.983  -0.241 -0.866  -0.319 -0.748  -0.397 -0.631  -0.476 -0.513  -0.570 -0.424  -0.627 -0.340  -0.585 -0.241  -0.443 -0.241  -0.340 -0.333  -0.199 -0.333  -0.058 -0.333  0.064 -0.381  0.187 -0.424  0.290 -0.516
3#apa#apa20#app2036/u  -1.358 0.543  -1.285 0.470  -1.212 0.397  -1.139 0.323  -1.065 0.250  -1.046 0.155  -1.046 0.052  -1.046 -0.052  -0.994 -0.133  -0.921 -0.206  -0.847 -0.279  -0.774 -0.353  -0.734 -0.439  -0.734 -0.543  -0.734 -0.646  -0.689 -0.704  -0.586 -0.704  -0.483 -0.704  -0.379 -0.704  -0.276 -0.704  -0.173 -0.704  -0.069 -0.704  0.034 -0.704  0.137 -0.704  0.241 -0.704  0.344 -0.704  0.447 -0.704  0.513 -0.667  0.513 -0.563  0.513 -0.460  0.513 -0.357  0.513 -0.253  0.513 -0.150  0.537 -0.057  0.610 0.017  0.683 0.090  0.757 0.163  0.825 0.238  0.825 0.341  0.825 0.445  0.825 0.548  0.825 0.651  0.825 0.755  0.825 0.858  0.825 0.961  0.825 1.065  0.825 1.168  0.825 1.271  0.825 1.375  0.825 1.478
3#apa#apa20#app2036/n  -0.542 0.576  -0.701 0.576  -0.765 0.482  -0.765 0.323  -0.765 0.164  -0.765 0.005  -0.765 -0.153  -0.765 -0.312  -0.765 -0.471  -0.765 -0.630  -0.765 -0.789  -0.765 -0.947  -0.679 -1.071  -0.567 -1.183  -0.542 -1.331  -0.483 -1.431  -0.324 -1.431  -0.319 -1.276  -0.319 -1.118  -0.319 -0.959  -0.319 -0.800  -0.266 -0.654  -0.195 -0.512  -0.124 -0.370  -0.096 -0.217  -0.096 -0.059  -0.096 0.100  -0.096 0.259  -0.051 0.399  0.061 0.511  0.127 0.643  0.127 0.802  0.127 0.961  0.224 1.022  0.350 1.055  0.350 1.214  0.440 1.155  0.552 1.043  0.702 1.022  0.796 0.957  0.796 0.798  0.796 0.639  0.796 0.481  0.827 0.353  0.986 0.353  1.019 0.227  1.062 0.087  1.175 -0.026  1.242 -0.157  1.242 -0.316
3#apa#apa20#app2036/i  0.141 -0.204  0.036 -0.204  -0.013 -0.259  -0.019 -0.358  -0.123 -0.358  -0.167 -0.419  -0.167 -0.523  -0.167 -0.628  -0.167 -0.732  -0.167 -0.837  -0.167 -0.941  -0.167 -1.046  -0.167 -1.150  -0.167 -1.254  -0.112 -1.336  -0.038 -1.410  -0.009 -1.366  -0.004 -1.262  0.002 -1.157  0.007 -1.053  0.012 -0.949  0.018 -0.844  0.023 -0.740  0.029 -0.636  0.034 -0.531  0.040 -0.427  0.045 -0.323  0.051 -0.218  0.056 -0.114  0.062 -0.010  0.067 0.094  0.073 0.199  0.078 0.303  0.084 0.407  0.089 0.512  0.095 0.616  0.100 0.720  0.106 0.825  0.111 0.929  0.117 1.033  0.122 1.138  0.128 1.242  0.133 1.346  0.139 1.451  0.094 1.536  0.020 1.609  -0.013 1.700  -0.019 1.802  -0.093 1.876  -0.167 1.950
3#apa#apa20#app2036/t  0.045 1.266  0.091 1.358  0.136 1.449  0.182 1.540  0.228 1.632  0.228 1.769  0.163 1.750  0.136 1.624  0.136 1.486  0.136 1.349  0.136 1.212  0.134 1.075  0.101 0.942  0.068 0.809  0.045 0.675  0.045 0.538  0.045 0.401  0.045 0.264  0.045 0.127  0.045 -0.010  0.045 -0.147  0.045 -0.284  0.045 -0.422  0.045 -0.559  0.045 -0.696  0.045 -0.833  0.045 -0.970  0.045 -1.107  0.045 -1.244  0.045 -1.381  0.025 -1.434  -0.036 -1.312  -0.097 -1.189  -0.159 -1.066  -0.220 -0.944  -0.281 -0.821  -0.343 -0.699  -0.404 -0.576  -0.496 -0.476  -0.593 -0.379  -0.550 -0.286  -0.440 -0.350  -0.314 -0.380  -0.184 -0.423  -0.054 -0.466  0.083 -0.469  0.195 -0.528  0.319 -0.560  0.410 -0.606  0.502 -0.652
3#apa#apa20#app2036/y  -1.417 0.615  -1.303 0.502  -1.189 0.388  -1.076 0.274  -0.957 0.168  -0.814 0.096  -0.670 0.024  -0.531 -0.053  -0.417 -0.167  -0.293 -0.254  -0.132 -0.254  -0.113 -0.395  -0.068 -0.399  0.017 -0.263  0.102 -0.127  0.187 0.009  0.272 0.145  0.358 0.281  0.443 0.418  0.528 0.554  0.613 0.690  0.698 0.826  0.783 0.962  0.868 1.098  0.953 1.235  0.974 1.144  0.908 1.050  0.748 1.046  0.605 0.974  0.461 0.902  0.322 0.827  0.322 0.667  0.245 0.538  0.131 0.425  0.104 0.275  0.104 0.115  0.104 -0.046  0.104 -0.207  0.054 -0.355  -0.018 -0.499  -0.090 -0.643  -0.113 -0.798  -0.113 -0.958  -0.113 -1.119  -0.113 -1.279  -0.183 -1.411  -0.297 -1.524  -0.330 -1.671  -0.330 -1.832  -0.330 -1.992
