2#apa#apa00#app0005/j  -0.440 0.265  -0.346 0.360  -0.292 0.506  -0.205 0.639  -0.117 0.764  -0.053 0.901  0.022 1.036  -0.024 1.017  -0.020 0.858  0.022 0.707  0.041 0.551  0.071 0.397  0.124 0.245  0.186 0.097  0.207 -0.060  0.226 -0.219  0.252 -0.378  0.299 -0.531  0.335 -0.683  0.346 -0.841  0.346 -1.002  0.346 -1.163  0.346 -1.323  0.285 -1.459  0.203 -1.583  0.088 -1.630  -0.053 -1.583  -0.166 -1.534  -0.247 -1.407  -0.301 -1.257  -0.279 -1.097  -0.258 -0.938  -0.236 -0.779  -0.214 -0.620  -0.193 -0.461  -0.171 -0.301  -0.149 -0.142  -0.127 0.017  -0.106 0.176  -0.084 0.336  -0.062 0.495  -0.041 0.654  -0.019 0.813  0.003 0.973  0.025 1.132  0.046 1.291  0.068 1.450  0.090 1.610  0.112 1.769  0.114 1.929
2#apa#apa00#app0005/d  -0.107 -0.099  0.016 0.024  0.086 0.226  0.086 0.457  -0.117 0.471  -0.311 0.379  -0.513 0.269  -0.608 0.077  -0.771 -0.086  -0.881 -0.271  -0.977 -0.462  -1.074 -0.653  -1.074 -0.884  -0.968 -1.066  -0.834 -1.162  -0.627 -1.102  -0.494 -0.983  -0.374 -0.872  -0.258 -0.732  -0.107 -0.620  -0.011 -0.486  0.152 -0.323  0.279 -0.144  0.279 0.087  0.376 0.278  0.376 0.509  0.422 0.720  0.473 0.930  0.474 1.161  0.547 1.380  0.569 1.608  0.473 1.742  0.443 1.708  0.348 1.516  0.279 1.314  0.256 1.087  0.183 0.867  0.183 0.636  0.149 0.413  0.086 0.197  0.086 -0.034  0.086 -0.265  0.086 -0.496  0.086 -0.726  0.086 -0.957  0.201 -1.084  0.400 -1.162  0.631 -1.162  0.861 -1.161  1.052 -1.066
2#apa#apa00#app0005/e  -0.629 -0.219  -0.499 -0.191  -0.445 -0.089  -0.370 -0.008  -0.261 0.040  -0.145 0.136  -0.002 0.169  0.152 0.175  0.263 0.285  0.414 0.298  0.560 0.324  0.670 0.434  0.781 0.545  0.929 0.564  1.040 0.675  1.051 0.826  1.013 0.945  0.922 1.010  0.829 1.074  0.673 1.074  0.517 1.074  0.405 1.029  0.333 0.945  0.177 0.945  0.147 0.818  0.018 0.791  -0.034 0.686  -0.191 0.686  -0.241 0.580  -0.370 0.553  -0.392 0.405  -0.499 0.293  -0.522 0.146  -0.629 0.034  -0.629 -0.123  -0.629 -0.279  -0.629 -0.435  -0.629 -0.592  -0.629 -0.748  -0.629 -0.905  -0.581 -1.042  -0.499 -1.164  -0.499 -1.321  -0.404 -1.382  -0.370 -1.504  -0.220 -1.511  -0.064 -1.511  0.092 -1.511  0.249 -1.511  0.405 -1.511
2#apa#apa00#app0005/n  -0.512 1.232  -0.645 1.206  -0.645 1.047  -0.645 0.889  -0.645 0.731  -0.736 0.610  -0.777 0.469  -0.777 0.311  -0.777 0.152  -0.777 -0.006  -0.777 -0.164  -0.777 -0.322  -0.777 -0.481  -0.777 -0.639  -0.777 -0.797  -0.777 -0.956  -0.684 -1.020  -0.645 -0.901  -0.636 -0.746  -0.524 -0.635  -0.506 -0.484  -0.394 -0.372  -0.380 -0.219  -0.380 -0.061  -0.339 0.080  -0.248 0.201  -0.248 0.359  -0.167 0.437  -0.115 0.543  0.017 0.569  0.129 0.681  0.241 0.793  0.382 0.834  0.541 0.834  0.655 0.727  0.680 0.579  0.812 0.553  0.812 0.395  0.812 0.237  0.878 0.106  0.945 -0.025  0.945 -0.184  0.945 -0.342  0.951 -0.497  1.063 -0.609  1.082 -0.760  1.194 -0.872  1.210 -1.024  1.230 -1.173  1.342 -1.285
2#apa#apa00#app0005/b  -0.340 2.059  -0.239 2.006  -0.239 1.854  -0.239 1.701  -0.244 1.549  -0.312 1.413  -0.340 1.267  -0.340 1.114  -0.340 0.961  -0.340 0.809  -0.340 0.656  -0.408 0.519  -0.440 0.374  -0.440 0.221  -0.440 0.069  -0.440 -0.084  -0.440 -0.237  -0.440 -0.389  -0.440 -0.542  -0.440 -0.695  -0.440 -0.847  -0.440 -0.894  -0.440 -0.741  -0.440 -0.588  -0.362 -0.468  -0.340 -0.325  -0.266 -0.246  -0.221 -0.127  -0.102 -0.045  -0.039 0.044  0.103 0.055  0.161 0.149  0.308 0.155  0.461 0.155  0.572 0.055  0.662 -0.007  0.744 -0.126  0.852 -0.234  0.960 -0.342  0.963 -0.494  0.963 -0.646  0.911 -0.747  0.789 -0.821  0.681 -0.929  0.538 -0.959  0.402 -1.027  0.256 -1.053  0.143 -1.147  -0.003 -1.179  -0.139 -1.247
2#apa#apa00#app0005/y  -0.711 0.826  -0.589 0.870  -0.540 0.982  -0.477 1.059  -0.369 1.139  -0.255 1.204  -0.120 1.217  -0.085 1.111  -0.164 1.048  -0.164 0.907  -0.242 0.799  -0.242 0.658  -0.242 0.517  -0.242 0.376  -0.242 0.235  -0.215 0.122  -0.156 0.051  -0.056 0.151  -0.007 0.272  -0.007 0.412  0.033 0.513  0.089 0.609  0.149 0.724  0.189 0.826  0.251 0.904  0.306 0.818  0.306 0.677  0.306 0.536  0.306 0.395  0.378 0.284  0.384 0.146  0.384 0.005  0.384 -0.136  0.384 -0.277  0.384 -0.417  0.384 -0.558  0.384 -0.699  0.384 -0.840  0.384 -0.981  0.384 -1.122  0.306 -1.230  0.246 -1.346  0.202 -1.469  0.102 -1.568  -0.015 -1.643  -0.148 -1.678  -0.289 -1.678  -0.398 -1.647  -0.477 -1.584  -0.555 -1.521
2#apa#apa00#app0005/q  0.332 0.653  0.300 0.810  0.240 0.961  0.166 1.095  0.101 1.205  -0.055 1.185  -0.171 1.069  -0.288 0.953  -0.404 0.836  -0.495 0.710  -0.572 0.577  -0.679 0.457  -0.679 0.292  -0.679 0.127  -0.679 -0.037  -0.568 -0.102  -0.434 -0.174  -0.281 -0.144  -0.142 -0.082  -0.061 0.051  0.068 0.113  0.148 0.245  0.240 0.317  0.314 0.451  0.332 0.608  0.417 0.738  0.424 0.899  0.467 1.021  0.434 0.939  0.424 0.779  0.332 0.652  0.332 0.488  0.332 0.323  0.242 0.196  0.240 0.032  0.240 -0.133  0.218 -0.288  0.148 -0.424  0.148 -0.588  0.136 -0.750  0.063 -0.897  0.056 -1.060  0.047 -1.224  0.007 -1.383  -0.033 -1.543  -0.036 -1.707  -0.128 -1.834  -0.128 -1.998  -0.220 -2.125  -0.220 -2.289
2#apa#apa00#app0005/u  -0.468 1.260  -0.468 1.139  -0.552 1.102  -0.627 1.054  -0.627 0.932  -0.627 0.811  -0.694 0.717  -0.780 0.631  -0.785 0.512  -0.785 0.390  -0.785 0.268  -0.785 0.147  -0.785 0.025  -0.785 -0.096  -0.750 -0.204  -0.664 -0.290  -0.627 -0.396  -0.627 -0.517  -0.627 -0.639  -0.510 -0.644  -0.468 -0.723  -0.438 -0.833  -0.352 -0.919  -0.309 -1.023  -0.285 -1.121  -0.164 -1.121  -0.042 -1.121  0.059 -1.070  0.145 -0.984  0.231 -0.898  0.317 -0.812  0.403 -0.726  0.484 -0.639  0.484 -0.517  0.548 -0.422  0.634 -0.336  0.643 -0.218  0.675 -0.104  0.730 0.005  0.784 0.114  0.802 0.231  0.834 0.340  0.920 0.426  0.961 0.530  0.961 0.652  0.961 0.774  0.961 0.895  0.961 1.017  0.961 1.139  0.961 1.260
2#apa#apa00#app0005/i  0.078 0.154  0.078 0.043  0.078 -0.069  0.078 -0.181  0.078 -0.293  0.078 -0.404  0.078 -0.516  0.078 -0.628  0.078 -0.740  0.078 -0.852  0.078 -0.963  0.078 -1.075  0.078 -1.187  0.170 -1.207  0.214 -1.274  0.214 -1.386  0.212 -1.461  0.195 -1.351  0.178 -1.240  0.162 -1.130  0.145 -1.019  0.129 -0.909  0.112 -0.798  0.096 -0.688  0.079 -0.577  0.062 -0.467  0.046 -0.356  0.029 -0.246  0.013 -0.135  -0.004 -0.025  -0.020 0.086  -0.037 0.197  -0.054 0.307  -0.070 0.418  -0.087 0.528  -0.103 0.639  -0.120 0.749  -0.137 0.860  -0.153 0.970  -0.170 1.081  -0.186 1.191  -0.194 1.302  -0.229 1.380  -0.330 1.390  -0.330 1.502  -0.330 1.613  -0.257 1.652  -0.145 1.652  -0.058 1.676  -0.058 1.788
2#apa#apa00#app0005/e  -1.031 -0.145  -0.870 -0.145  -0.708 -0.145  -0.547 -0.145  -0.430 -0.037  -0.292 0.019  -0.130 0.019  0.009 0.074  0.118 0.190  0.122 0.347  0.284 0.347  0.445 0.347  0.560 0.461  0.674 0.575  0.794 0.676  0.939 0.692  0.939 0.854  0.928 1.004  0.766 1.004  0.611 1.010  0.608 1.168  0.446 1.168  0.285 1.168  0.170 1.055  0.055 0.941  -0.064 0.840  -0.210 0.824  -0.210 0.663  -0.220 0.511  -0.380 0.506  -0.494 0.392  -0.539 0.249  -0.606 0.115  -0.703 -0.006  -0.703 -0.168  -0.703 -0.329  -0.703 -0.491  -0.693 -0.648  -0.578 -0.762  -0.464 -0.877  -0.350 -0.991  -0.236 -1.105  -0.122 -1.219  0.003 -1.319  0.147 -1.391  0.293 -1.459  0.455 -1.459  0.616 -1.459  0.778 -1.459  0.939 -1.459
2#apa#apa00#app0005/t  0.046 2.174  0.046 2.047  0.046 1.920  0.046 1.793  0.046 1.666  0.027 1.543  -0.030 1.430  -0.073 1.313  -0.073 1.186  -0.073 1.058  -0.073 0.931  -0.073 0.804  -0.073 0.677  -0.073 0.550  -0.073 0.423  -0.073 0.296  -0.073 0.169  -0.073 0.042  -0.073 -0.085  -0.073 -0.212  -0.073 -0.339  -0.094 -0.458  -0.184 -0.548  -0.192 -0.671  -0.192 -0.799  -0.182 -0.922  -0.092 -1.011  -0.073 -1.131  -0.073 -1.258  0.044 -1.268  0.053 -1.149  0.180 -1.149  0.307 -1.149  0.434 -1.149  0.496 -1.117  0.418 -1.017  0.340 -0.916  0.262 -0.816  0.184 -0.716  0.106 -0.616  0.028 -0.515  -0.050 -0.415  -0.128 -0.315  -0.206 -0.214  -0.284 -0.114  -0.225 -0.081  -0.192 0.013  -0.090 0.038  0.037 0.038  0.164 0.038
2#apa#apa00#app0005/z  -0.647 0.991  -0.647 1.204  -0.525 1.368  -0.336 1.429  -0.152 1.501  0.009 1.629  0.222 1.629  0.416 1.544  0.502 1.383  0.502 1.169  0.502 0.956  0.416 0.777  0.265 0.626  0.247 0.420  0.143 0.249  0.082 0.060  -0.008 -0.116  -0.130 -0.280  -0.264 -0.363  -0.289 -0.566  -0.422 -0.731  -0.518 -0.922  -0.603 -1.052  -0.647 -1.222  -0.519 -1.307  -0.357 -1.179  -0.144 -1.179  0.070 -1.179  0.236 -1.063  0.445 -1.052  0.630 -1.023  0.745 -0.924  0.959 -0.924  0.878 -0.838  0.698 -0.722  0.518 -0.606  0.338 -0.491  0.159 -0.375  -0.021 -0.259  -0.201 -0.144  -0.381 -0.028  -0.561 0.087  -0.741 0.203  -0.728 0.097  -0.516 0.100  -0.353 0.225  -0.139 0.225  0.074 0.225  0.288 0.225  0.502 0.225
2#apa#apa00#app0005/e  -1.131 -0.139  -1.016 -0.255  -0.866 -0.287  -0.702 -0.287  -0.686 -0.139  -0.523 -0.139  -0.369 -0.116  -0.254 -0.000  -0.095 0.011  0.020 0.126  0.171 0.156  0.295 0.253  0.437 0.304  0.600 0.304  0.728 0.391  0.843 0.506  0.936 0.631  0.936 0.794  0.936 0.958  0.936 1.121  0.842 1.190  0.678 1.190  0.641 1.064  0.499 1.042  0.336 1.042  0.198 1.017  0.157 0.895  0.050 0.838  -0.022 0.747  -0.097 0.659  -0.171 0.526  -0.303 0.452  -0.393 0.378  -0.393 0.214  -0.467 0.082  -0.540 -0.051  -0.540 -0.215  -0.540 -0.378  -0.540 -0.541  -0.540 -0.705  -0.443 -0.828  -0.327 -0.943  -0.224 -1.067  -0.151 -1.214  -0.066 -1.351  0.049 -1.467  0.064 -1.616  0.219 -1.637  0.335 -1.752  0.493 -1.763
2#apa#apa00#app0005/a  -1.262 0.954  -1.095 0.954  -0.927 0.954  -0.760 0.954  -0.593 0.954  -0.426 0.954  -0.258 0.954  -0.091 0.954  0.076 0.954  0.244 0.954  0.411 0.954  0.578 0.954  0.745 0.954  0.876 0.865  0.944 0.725  0.863 0.639  0.722 0.575  0.594 0.481  0.439 0.450  0.321 0.331  0.173 0.254  0.024 0.179  -0.140 0.166  -0.264 0.061  -0.382 -0.057  -0.501 -0.175  -0.619 -0.294  -0.737 -0.412  -0.789 -0.558  -0.789 -0.725  -0.789 -0.892  -0.789 -1.059  -0.696 -1.188  -0.555 -1.252  -0.387 -1.252  -0.220 -1.252  -0.053 -1.252  0.115 -1.252  0.269 -1.195  0.418 -1.121  0.471 -0.986  0.554 -0.853  0.629 -0.717  0.629 -0.549  0.629 -0.382  0.629 -0.215  0.557 -0.077  0.471 0.055  0.432 0.206  0.313 0.324
2#apa#apa00#app0005/l  -0.012 1.780  -0.012 1.696  -0.015 1.612  -0.075 1.552  -0.094 1.476  -0.094 1.391  -0.094 1.307  -0.139 1.241  -0.177 1.172  -0.177 1.087  -0.177 1.002  -0.177 0.918  -0.177 0.833  -0.177 0.748  -0.197 0.669  -0.235 0.593  -0.259 0.514  -0.259 0.429  -0.259 0.345  -0.259 0.260  -0.259 0.176  -0.259 0.091  -0.259 0.006  -0.259 -0.078  -0.259 -0.163  -0.259 -0.247  -0.259 -0.332  -0.259 -0.417  -0.259 -0.501  -0.259 -0.586  -0.216 -0.653  -0.177 -0.721  -0.177 -0.806  -0.177 -0.890  -0.141 -0.940  -0.094 -0.977  -0.055 -1.022  0.030 -1.022  0.115 -1.022  0.199 -1.022  0.284 -1.022  0.368 -1.022  0.438 -0.985  0.504 -0.940  0.588 -0.940  0.673 -0.940  0.757 -0.940  0.842 -0.940  0.917 -0.917  0.977 -0.857
