2#apb#apb32#app3236/K  -1.487 0.095  -1.434 0.253  -1.218 0.424  -0.988 0.576  -0.749 0.714  -0.510 0.851  -0.260 0.969  -0.013 1.092  0.167 1.002  0.102 0.734  -0.011 0.483  -0.105 0.223  -0.209 -0.033  -0.329 -0.282  -0.462 -0.523  -0.601 -0.762  -0.727 -1.008  -0.844 -1.259  -0.667 -1.193  -0.475 -0.995  -0.293 -0.788  -0.110 -0.581  0.073 -0.374  0.256 -0.167  0.439 0.040  0.622 0.247  0.805 0.454  0.988 0.661  1.171 0.868  1.354 1.076  1.452 1.229  1.307 0.995  1.169 0.756  1.000 0.537  0.813 0.334  0.626 0.130  0.430 -0.064  0.222 -0.246  -0.003 -0.404  -0.266 -0.458  -0.495 -0.325  -0.651 -0.111  -0.671 0.031  -0.495 -0.179  -0.333 -0.400  -0.167 -0.621  0.036 -0.809  0.255 -0.976  0.512 -1.072  0.772 -1.142
2#apb#apb32#app3236/c  0.201 0.110  0.213 0.167  0.242 0.275  0.205 0.378  0.255 0.482  0.255 0.604  0.255 0.725  0.255 0.846  0.261 0.968  0.281 1.087  0.172 1.098  0.051 1.098  -0.066 1.069  -0.179 1.026  -0.292 0.982  -0.395 0.921  -0.488 0.843  -0.581 0.764  -0.673 0.686  -0.754 0.595  -0.828 0.499  -0.902 0.403  -0.976 0.306  -0.988 0.186  -0.996 0.065  -1.005 -0.056  -0.949 -0.158  -0.875 -0.254  -0.800 -0.350  -0.723 -0.443  -0.614 -0.495  -0.504 -0.547  -0.394 -0.599  -0.284 -0.651  -0.171 -0.694  -0.053 -0.719  0.066 -0.743  0.185 -0.768  0.304 -0.793  0.423 -0.818  0.544 -0.828  0.665 -0.834  0.787 -0.840  0.908 -0.846  1.029 -0.843  1.147 -0.816  1.265 -0.788  1.384 -0.768  1.506 -0.768  1.627 -0.768
2#apb#apb32#app3236/D  0.005 0.937  -0.002 0.982  -0.113 0.775  -0.218 0.563  -0.304 0.342  -0.406 0.127  -0.501 -0.091  -0.603 -0.305  -0.723 -0.510  -0.830 -0.722  -0.939 -0.892  -1.037 -0.843  -1.005 -0.609  -0.981 -0.373  -1.031 -0.147  -0.995 -0.174  -0.905 -0.394  -0.792 -0.602  -0.649 -0.792  -0.473 -0.952  -0.281 -1.087  -0.052 -1.140  0.181 -1.101  0.389 -0.988  0.557 -0.823  0.682 -0.623  0.768 -0.401  0.837 -0.174  0.891 0.057  0.930 0.291  0.930 0.528  0.908 0.765  0.863 0.998  0.807 1.229  0.727 1.452  0.538 1.547  0.339 1.423  0.167 1.260  0.036 1.064  -0.075 0.854  -0.171 0.637  -0.227 0.410  -0.242 0.174  -0.145 -0.043  -0.000 -0.226  0.181 -0.377  0.397 -0.477  0.626 -0.535  0.861 -0.533  1.081 -0.481
2#apb#apb32#app3236/o  -0.244 0.162  -0.197 0.334  -0.195 0.521  -0.244 0.654  -0.431 0.654  -0.603 0.610  -0.752 0.498  -0.889 0.373  -1.002 0.225  -1.096 0.064  -1.169 -0.107  -1.228 -0.285  -1.205 -0.470  -1.182 -0.655  -1.092 -0.819  -0.988 -0.974  -0.878 -1.125  -0.699 -1.178  -0.519 -1.219  -0.332 -1.206  -0.148 -1.180  0.028 -1.117  0.193 -1.035  0.344 -0.925  0.482 -0.799  0.592 -0.651  0.675 -0.484  0.714 -0.302  0.740 -0.118  0.780 0.065  0.800 0.248  0.755 0.429  0.676 0.596  0.577 0.755  0.461 0.898  0.293 0.979  0.121 1.006  -0.055 0.973  -0.145 0.835  -0.139 0.651  -0.057 0.485  0.075 0.359  0.251 0.295  0.434 0.266  0.621 0.261  0.807 0.275  0.994 0.279  1.178 0.297  1.361 0.326  1.537 0.279
2#apb#apb32#app3236/n  -1.457 0.618  -1.540 0.697  -1.384 0.697  -1.229 0.697  -1.074 0.697  -0.918 0.697  -0.767 0.728  -0.616 0.756  -0.460 0.756  -0.305 0.756  -0.190 0.672  -0.209 0.518  -0.273 0.377  -0.342 0.238  -0.416 0.101  -0.487 -0.037  -0.549 -0.178  -0.571 -0.332  -0.607 -0.482  -0.669 -0.624  -0.710 -0.774  -0.706 -0.924  -0.589 -0.873  -0.484 -0.759  -0.383 -0.640  -0.288 -0.518  -0.209 -0.384  -0.131 -0.250  -0.042 -0.123  0.050 0.002  0.142 0.127  0.245 0.244  0.351 0.357  0.457 0.470  0.576 0.570  0.707 0.627  0.795 0.512  0.770 0.362  0.748 0.210  0.777 0.057  0.806 -0.095  0.842 -0.246  0.878 -0.398  0.971 -0.519  1.072 -0.638  1.204 -0.712  1.343 -0.780  1.478 -0.802  1.621 -0.744  1.773 -0.710
2#apb#apb32#app3236/a  0.193 0.404  0.216 0.586  0.179 0.654  0.016 0.601  -0.110 0.558  -0.282 0.579  -0.468 0.579  -0.639 0.535  -0.800 0.444  -0.948 0.336  -1.073 0.200  -1.189 0.055  -1.307 -0.088  -1.385 -0.252  -1.436 -0.431  -1.404 -0.598  -1.265 -0.645  -1.079 -0.645  -0.895 -0.640  -0.722 -0.571  -0.550 -0.503  -0.391 -0.408  -0.234 -0.309  -0.080 -0.206  0.067 -0.093  0.209 0.025  0.320 0.174  0.432 0.322  0.547 0.467  0.667 0.609  0.778 0.756  0.845 0.929  0.921 1.097  0.855 1.066  0.750 0.914  0.647 0.760  0.555 0.598  0.464 0.437  0.407 0.264  0.386 0.080  0.377 -0.104  0.422 -0.284  0.467 -0.464  0.520 -0.641  0.585 -0.815  0.654 -0.987  0.754 -1.143  0.855 -1.299  1.002 -1.408  1.167 -1.493
2#apb#apb32#app3236/l  -0.793 -1.421  -0.875 -1.394  -0.792 -1.302  -0.681 -1.212  -0.566 -1.124  -0.463 -1.024  -0.369 -0.914  -0.276 -0.803  -0.187 -0.690  -0.118 -0.563  -0.050 -0.436  0.025 -0.312  0.101 -0.189  0.177 -0.066  0.242 0.063  0.307 0.192  0.371 0.321  0.437 0.450  0.503 0.579  0.569 0.707  0.624 0.841  0.667 0.979  0.710 1.116  0.752 1.255  0.790 1.394  0.756 1.520  0.642 1.435  0.531 1.342  0.421 1.248  0.316 1.149  0.222 1.040  0.127 0.930  0.037 0.818  -0.036 0.693  -0.109 0.568  -0.182 0.443  -0.247 0.315  -0.296 0.179  -0.344 0.043  -0.393 -0.093  -0.407 -0.237  -0.420 -0.381  -0.420 -0.524  -0.387 -0.665  -0.354 -0.806  -0.308 -0.942  -0.248 -1.071  -0.133 -1.158  0.003 -1.187  0.122 -1.105
2#apb#apb32#app3236/d  -0.197 -0.201  -0.123 -0.055  -0.278 -0.035  -0.453 -0.083  -0.611 -0.176  -0.754 -0.290  -0.890 -0.411  -0.978 -0.572  -1.035 -0.743  -1.057 -0.924  -0.992 -1.084  -0.818 -1.038  -0.646 -0.975  -0.490 -0.883  -0.342 -0.775  -0.214 -0.646  -0.097 -0.505  0.013 -0.359  0.109 -0.204  0.206 -0.048  0.294 0.112  0.382 0.272  0.467 0.434  0.531 0.605  0.596 0.777  0.660 0.948  0.715 1.123  0.769 1.297  0.796 1.476  0.759 1.641  0.596 1.610  0.470 1.481  0.354 1.339  0.247 1.191  0.140 1.042  0.073 0.873  0.011 0.701  -0.031 0.524  -0.051 0.342  -0.071 0.160  -0.061 -0.021  -0.039 -0.203  -0.005 -0.382  0.063 -0.552  0.130 -0.722  0.202 -0.890  0.276 -1.057  0.365 -1.216  0.468 -1.368  0.541 -1.530
2#apb#apb32#app3236/N  -1.305 0.238  -1.284 0.442  -1.191 0.628  -1.031 0.761  -0.846 0.860  -0.659 0.954  -0.462 1.025  -0.255 1.060  -0.051 1.110  0.155 1.122  0.253 0.968  0.193 0.768  0.109 0.576  0.018 0.387  -0.080 0.202  -0.181 0.017  -0.270 -0.172  -0.359 -0.362  -0.445 -0.554  -0.529 -0.746  -0.611 -0.939  -0.673 -1.139  -0.652 -1.093  -0.572 -0.899  -0.485 -0.709  -0.384 -0.525  -0.265 -0.352  -0.142 -0.182  -0.021 -0.011  0.102 0.159  0.240 0.317  0.380 0.473  0.531 0.618  0.691 0.754  0.862 0.875  1.044 0.937  1.009 0.733  0.940 0.534  0.859 0.341  0.778 0.147  0.695 -0.046  0.614 -0.239  0.542 -0.436  0.470 -0.633  0.409 -0.834  0.352 -1.036  0.308 -1.240  0.299 -1.449  0.386 -1.629  0.514 -1.780
2#apb#apb32#app3236/e  -1.683 -0.712  -1.804 -0.750  -1.734 -0.774  -1.578 -0.774  -1.424 -0.758  -1.273 -0.720  -1.124 -0.678  -0.975 -0.632  -0.830 -0.579  -0.687 -0.518  -0.549 -0.447  -0.417 -0.364  -0.286 -0.282  -0.149 -0.208  -0.011 -0.135  0.119 -0.052  0.247 0.037  0.373 0.128  0.483 0.238  0.592 0.347  0.692 0.466  0.788 0.588  0.877 0.715  0.953 0.851  0.991 1.001  0.875 1.060  0.723 1.033  0.573 0.993  0.432 0.927  0.291 0.861  0.157 0.783  0.024 0.703  -0.097 0.606  -0.206 0.496  -0.308 0.381  -0.348 0.231  -0.357 0.078  -0.345 -0.077  -0.232 -0.174  -0.105 -0.264  0.038 -0.309  0.193 -0.325  0.348 -0.340  0.502 -0.360  0.656 -0.380  0.810 -0.400  0.964 -0.387  1.119 -0.369  1.273 -0.370  1.428 -0.383
2#apb#apb32#app3236/w  -1.587 -0.460  -1.492 -0.366  -1.375 -0.260  -1.246 -0.165  -1.130 -0.053  -1.014 0.058  -0.911 0.181  -0.827 0.317  -0.782 0.471  -0.753 0.629  -0.816 0.510  -0.869 0.359  -0.892 0.201  -0.905 0.041  -0.934 -0.117  -0.931 -0.277  -0.875 -0.424  -0.749 -0.419  -0.633 -0.309  -0.521 -0.193  -0.421 -0.069  -0.329 0.064  -0.237 0.196  -0.127 0.312  -0.081 0.234  -0.090 0.074  -0.084 -0.087  -0.052 -0.244  0.010 -0.391  0.102 -0.520  0.260 -0.541  0.417 -0.513  0.566 -0.455  0.698 -0.365  0.811 -0.251  0.892 -0.114  0.939 0.039  0.961 0.198  0.953 0.296  0.873 0.256  0.731 0.242  0.778 0.142  0.929 0.119  1.090 0.123  1.248 0.154  1.392 0.221  1.534 0.296  1.684 0.350  1.822 0.286  1.970 0.224
2#apb#apb32#app3236/t  -1.591 -1.273  -1.381 -1.150  -1.215 -0.969  -1.026 -0.812  -0.867 -0.624  -0.704 -0.439  -0.544 -0.253  -0.390 -0.060  -0.241 0.136  -0.096 0.335  0.048 0.535  0.204 0.725  0.339 0.930  0.490 1.124  0.461 1.049  0.305 0.859  0.173 0.652  0.059 0.434  -0.061 0.220  -0.141 -0.013  -0.162 -0.258  -0.146 -0.501  -0.028 -0.716  0.189 -0.821  0.433 -0.825  0.678 -0.845  0.761 -0.974  0.558 -0.843  0.355 -0.704  0.152 -0.564  -0.052 -0.425  -0.255 -0.286  -0.458 -0.147  -0.661 -0.007  -0.864 0.132  -1.067 0.271  -1.101 0.404  -0.871 0.473  -0.625 0.494  -0.379 0.500  -0.133 0.505  0.113 0.493  0.359 0.476  0.604 0.459  0.850 0.441  1.096 0.423  1.341 0.398  1.586 0.372  1.831 0.346  2.075 0.321
2#apb#apb32#app3236/o  -0.128 0.317  -0.068 0.478  -0.124 0.632  -0.322 0.640  -0.488 0.541  -0.671 0.459  -0.814 0.319  -0.967 0.187  -1.106 0.041  -1.224 -0.124  -1.320 -0.303  -1.396 -0.491  -1.415 -0.693  -1.311 -0.863  -1.117 -0.923  -0.918 -0.965  -0.718 -0.983  -0.517 -0.957  -0.316 -0.929  -0.120 -0.876  0.077 -0.824  0.259 -0.739  0.433 -0.633  0.604 -0.525  0.772 -0.411  0.887 -0.244  0.935 -0.056  0.931 0.147  0.888 0.345  0.790 0.520  0.660 0.673  0.493 0.788  0.304 0.860  0.108 0.909  -0.094 0.926  -0.293 0.963  -0.431 0.864  -0.398 0.664  -0.292 0.493  -0.173 0.330  0.000 0.224  0.175 0.121  0.364 0.047  0.553 -0.027  0.752 -0.065  0.953 -0.092  1.153 -0.131  1.351 -0.176  1.549 -0.221  1.751 -0.233
2#apb#apb32#app3236/n  -1.197 0.122  -1.320 0.189  -1.260 0.313  -1.165 0.446  -1.045 0.558  -0.925 0.669  -0.800 0.772  -0.651 0.839  -0.496 0.884  -0.333 0.884  -0.173 0.856  -0.082 0.733  -0.079 0.569  -0.126 0.417  -0.194 0.268  -0.260 0.118  -0.354 -0.016  -0.439 -0.157  -0.525 -0.296  -0.614 -0.433  -0.714 -0.562  -0.808 -0.673  -0.808 -0.766  -0.740 -0.623  -0.654 -0.484  -0.574 -0.341  -0.488 -0.201  -0.396 -0.067  -0.277 0.046  -0.158 0.159  -0.033 0.263  0.098 0.363  0.238 0.444  0.391 0.505  0.553 0.511  0.665 0.446  0.697 0.286  0.715 0.124  0.715 -0.040  0.734 -0.203  0.760 -0.364  0.805 -0.521  0.906 -0.650  1.021 -0.767  1.169 -0.832  1.329 -0.840  1.491 -0.815  1.650 -0.775  1.803 -0.719  1.947 -0.639
