2#tos#f2#f2059065/\"  -0.860 1.188  -0.893 1.072  -0.975 1.007  -0.975 0.858  -0.975 0.710  -0.975 0.562  -0.950 0.418  -0.903 0.277  -0.851 0.140  -0.746 0.035  -0.745 -0.113  -0.745 -0.261  -0.745 -0.409  -0.745 -0.558  -0.745 -0.706  -0.745 -0.854  -0.745 -1.002  -0.727 -1.096  -0.640 -0.976  -0.553 -0.856  -0.467 -0.736  -0.380 -0.615  -0.293 -0.495  -0.206 -0.375  -0.119 -0.255  -0.032 -0.135  0.054 -0.014  0.141 0.106  0.228 0.226  0.315 0.346  0.402 0.466  0.488 0.586  0.575 0.707  0.662 0.827  0.749 0.947  0.871 0.936  0.871 0.788  0.871 0.640  0.871 0.492  0.871 0.343  0.871 0.195  0.871 0.047  0.871 -0.102  0.888 -0.247  0.935 -0.388  0.982 -0.528  0.987 -0.676  1.036 -0.774  1.102 -0.857  1.218 -0.890
2#tos#f2#f2059065/@  0.346 0.863  0.346 0.871  0.237 1.019  0.161 1.191  0.007 1.264  -0.220 1.264  -0.347 1.121  -0.526 1.045  -0.548 0.826  -0.631 0.652  -0.670 0.435  -0.675 0.209  -0.748 0.028  -0.748 -0.199  -0.748 -0.426  -0.739 -0.651  -0.712 -0.872  -0.639 -1.081  -0.509 -1.258  -0.409 -1.447  -0.228 -1.568  -0.020 -1.618  0.203 -1.593  0.416 -1.529  0.578 -1.387  0.748 -1.266  0.884 -1.117  0.839 -0.902  0.770 -0.686  0.701 -0.470  0.631 -0.254  0.562 -0.038  0.492 0.178  0.423 0.394  0.353 0.610  0.284 0.826  0.174 0.946  0.128 0.738  0.128 0.511  0.128 0.284  0.128 0.057  0.153 -0.122  -0.037 -0.086  -0.213 -0.013  -0.274 0.153  -0.274 0.380  -0.274 0.607  -0.099 0.680  0.119 0.717  0.346 0.717
2#tos#f2#f2059065/]  -0.571 1.253  -0.622 1.211  -0.698 1.194  -0.698 1.100  -0.621 1.083  -0.528 1.083  -0.434 1.083  -0.340 1.083  -0.254 1.065  -0.170 1.040  -0.076 1.040  0.018 1.040  0.111 1.040  0.202 1.024  0.282 0.987  0.239 0.936  0.239 0.842  0.239 0.749  0.239 0.655  0.244 0.562  0.282 0.477  0.282 0.383  0.282 0.290  0.282 0.196  0.282 0.102  0.282 0.008  0.282 -0.086  0.282 -0.179  0.282 -0.273  0.282 -0.367  0.282 -0.461  0.282 -0.554  0.282 -0.648  0.282 -0.742  0.282 -0.836  0.282 -0.930  0.282 -1.023  0.324 -1.100  0.324 -1.193  0.255 -1.218  0.161 -1.218  0.067 -1.218  -0.027 -1.218  -0.121 -1.218  -0.214 -1.218  -0.308 -1.218  -0.384 -1.175  -0.478 -1.175  -0.571 -1.174  -0.613 -1.090
2#tos#f2#f2059065/^  -1.022 -0.585  -1.069 -0.653  -1.184 -0.653  -1.227 -0.726  -1.227 -0.841  -1.157 -0.789  -1.075 -0.707  -0.994 -0.625  -0.953 -0.527  -0.885 -0.480  -0.885 -0.365  -0.885 -0.249  -0.776 -0.243  -0.671 -0.226  -0.620 -0.123  -0.543 -0.038  -0.475 0.050  -0.475 0.165  -0.475 0.280  -0.383 0.303  -0.299 0.362  -0.235 0.458  -0.202 0.564  -0.168 0.645  -0.061 0.657  -0.025 0.766  0.003 0.877  0.007 0.982  0.095 0.910  0.204 0.873  0.294 0.814  0.346 0.712  0.456 0.676  0.549 0.628  0.606 0.548  0.698 0.484  0.749 0.381  0.812 0.285  0.876 0.189  0.930 0.087  0.982 -0.016  1.034 -0.119  1.085 -0.222  1.096 -0.335  1.096 -0.450  1.096 -0.566  1.139 -0.671  1.217 -0.748  1.301 -0.811  1.301 -0.926
2#tos#f2#f2059065/`  -0.676 1.026  -0.676 1.134  -0.678 1.239  -0.786 1.239  -0.885 1.239  -0.783 1.233  -0.783 1.126  -0.783 1.018  -0.773 0.920  -0.676 0.909  -0.676 0.801  -0.676 0.694  -0.676 0.586  -0.676 0.478  -0.676 0.370  -0.676 0.263  -0.676 0.155  -0.667 0.049  -0.619 -0.047  -0.571 -0.143  -0.465 -0.146  -0.357 -0.146  -0.356 -0.253  -0.355 -0.359  -0.247 -0.359  -0.139 -0.359  -0.032 -0.357  0.064 -0.309  0.161 -0.261  0.176 -0.163  0.268 -0.146  0.375 -0.146  0.390 -0.053  0.484 -0.040  0.592 -0.040  0.671 -0.108  0.748 -0.184  0.816 -0.264  0.816 -0.372  0.816 -0.479  0.816 -0.587  0.816 -0.695  0.831 -0.793  0.927 -0.841  1.024 -0.889  1.029 -0.994  1.029 -1.102  1.029 -1.209  1.029 -1.317  1.135 -1.318
2#tos#f2#f2059065/~  -1.103 0.230  -1.214 0.230  -1.324 0.230  -1.369 0.164  -1.369 0.054  -1.369 0.117  -1.305 0.163  -1.254 0.260  -1.167 0.296  -1.056 0.296  -1.012 0.363  -0.904 0.365  -0.904 0.475  -0.814 0.496  -0.723 0.543  -0.620 0.562  -0.510 0.562  -0.399 0.562  -0.293 0.551  -0.238 0.464  -0.214 0.357  -0.179 0.252  -0.085 0.230  -0.038 0.166  -0.038 0.055  0.022 -0.030  0.095 -0.111  0.095 -0.221  0.161 -0.265  0.161 -0.376  0.197 -0.471  0.275 -0.550  0.311 -0.635  0.421 -0.635  0.532 -0.635  0.642 -0.635  0.753 -0.635  0.863 -0.635  0.960 -0.621  0.960 -0.511  1.051 -0.457  1.138 -0.391  1.216 -0.312  1.295 -0.236  1.359 -0.190  1.359 -0.079  1.360 0.030  1.426 0.075  1.426 0.186  1.426 0.296
2#tos#f2#f2059065/0  0.238 -0.616  0.187 -0.768  0.136 -0.921  0.039 -1.038  -0.100 -1.112  -0.197 -1.049  -0.297 -0.988  -0.418 -0.891  -0.542 -0.802  -0.693 -0.793  -0.693 -0.632  -0.703 -0.473  -0.755 -0.325  -0.755 -0.164  -0.755 -0.004  -0.755 0.157  -0.755 0.318  -0.755 0.479  -0.755 0.640  -0.755 0.801  -0.755 0.961  -0.693 1.096  -0.599 1.187  -0.500 1.308  -0.339 1.308  -0.204 1.246  -0.167 1.122  -0.006 1.122  0.155 1.122  0.252 1.053  0.388 0.971  0.458 0.839  0.540 0.702  0.614 0.560  0.734 0.485  0.734 0.324  0.798 0.191  0.920 0.152  0.920 -0.008  0.920 -0.169  0.920 -0.330  0.797 -0.368  0.725 -0.511  0.672 -0.659  0.548 -0.696  0.465 -0.822  0.362 -0.904  0.289 -0.998  0.150 -1.050  -0.011 -1.050
2#tos#f2#f2059065/3  -0.459 1.505  -0.413 1.457  -0.260 1.453  -0.145 1.357  -0.012 1.303  0.122 1.237  0.260 1.178  0.383 1.102  0.469 0.973  0.616 0.950  0.720 0.870  0.720 0.715  0.710 0.565  0.581 0.479  0.452 0.400  0.301 0.375  0.150 0.360  0.005 0.311  -0.147 0.280  -0.302 0.277  -0.457 0.277  -0.612 0.277  -0.691 0.228  -0.585 0.179  -0.430 0.179  -0.312 0.143  -0.268 0.031  -0.114 0.029  -0.064 -0.116  0.091 -0.116  0.233 -0.132  0.270 -0.283  0.388 -0.336  0.484 -0.450  0.573 -0.558  0.622 -0.664  0.622 -0.819  0.603 -0.964  0.474 -1.050  0.331 -1.098  0.181 -1.131  0.032 -1.172  -0.120 -1.197  -0.272 -1.224  -0.424 -1.246  -0.579 -1.246  -0.734 -1.246  -0.889 -1.246  -1.003 -1.148  -1.097 -1.049
2#tos#f2#f2059065/4  0.672 1.185  0.672 0.954  0.616 0.742  0.450 0.586  0.325 0.406  0.119 0.338  -0.043 0.200  -0.274 0.200  -0.429 0.046  -0.648 0.001  -0.859 -0.093  -1.082 -0.128  -1.313 -0.128  -1.544 -0.128  -1.776 -0.128  -1.902 -0.128  -1.672 -0.134  -1.443 -0.169  -1.213 -0.176  -0.984 -0.210  -0.755 -0.223  -0.529 -0.270  -0.299 -0.292  -0.068 -0.292  0.163 -0.292  0.395 -0.292  0.626 -0.292  0.857 -0.292  1.083 -0.333  1.288 -0.307  1.144 -0.150  1.008 0.037  0.873 0.225  0.737 0.412  0.601 0.599  0.466 0.787  0.374 0.980  0.142 0.980  0.197 0.865  0.260 0.658  0.344 0.461  0.385 0.234  0.385 0.003  0.385 -0.228  0.385 -0.459  0.385 -0.690  0.385 -0.922  0.385 -1.153  0.385 -1.384  0.344 -1.606
2#tos#f2#f2059065/5  -0.103 1.239  -0.103 1.051  -0.091 0.865  -0.060 0.684  -0.060 0.496  -0.060 0.307  -0.060 0.119  -0.060 -0.070  -0.048 -0.246  0.090 -0.171  0.275 -0.159  0.459 -0.186  0.592 -0.288  0.672 -0.453  0.770 -0.583  0.810 -0.762  0.810 -0.948  0.683 -1.068  0.550 -1.153  0.399 -1.251  0.219 -1.287  0.033 -1.295  -0.156 -1.295  -0.343 -1.282  -0.527 -1.241  -0.706 -1.182  -0.869 -1.090  -0.846 -0.919  -0.796 -0.737  -0.745 -0.556  -0.695 -0.374  -0.644 -0.193  -0.594 -0.011  -0.544 0.171  -0.493 0.352  -0.443 0.534  -0.392 0.716  -0.342 0.897  -0.291 1.079  -0.241 1.261  -0.265 1.137  -0.249 1.028  -0.081 0.977  0.105 0.958  0.282 0.894  0.456 0.826  0.642 0.803  0.830 0.803  1.019 0.803  1.207 0.803
2#tos#f2#f2059065/6  0.324 1.645  0.336 1.697  0.209 1.674  0.116 1.594  0.066 1.502  0.040 1.379  -0.092 1.331  -0.171 1.213  -0.278 1.124  -0.347 1.018  -0.380 0.890  -0.480 0.790  -0.523 0.659  -0.551 0.520  -0.553 0.378  -0.553 0.236  -0.553 0.094  -0.553 -0.048  -0.553 -0.189  -0.524 -0.328  -0.502 -0.467  -0.475 -0.598  -0.375 -0.698  -0.315 -0.823  -0.238 -0.938  -0.138 -1.039  -0.018 -1.105  0.119 -1.139  0.261 -1.139  0.403 -1.139  0.542 -1.131  0.660 -1.052  0.798 -1.036  0.884 -0.946  0.891 -0.806  0.891 -0.664  0.869 -0.528  0.818 -0.405  0.696 -0.332  0.576 -0.257  0.461 -0.177  0.341 -0.102  0.213 -0.056  0.071 -0.056  -0.071 -0.056  -0.213 -0.056  -0.355 -0.056  -0.497 -0.056  -0.617 -0.108  -0.656 -0.211
2#tos#f2#f2059065/A  -1.251 -0.631  -1.332 -0.837  -1.418 -1.048  -1.296 -0.885  -1.156 -0.703  -1.012 -0.524  -0.870 -0.343  -0.730 -0.160  -0.553 -0.014  -0.468 0.193  -0.305 0.356  -0.182 0.550  -0.070 0.752  0.056 0.944  0.156 1.147  0.255 1.341  0.317 1.471  0.491 1.358  0.573 1.147  0.632 0.928  0.723 0.718  0.757 0.491  0.787 0.264  0.833 0.037  0.878 -0.189  0.883 -0.419  0.883 -0.650  0.957 -0.863  1.008 -1.081  1.025 -1.234  0.862 -1.071  0.699 -0.908  0.536 -0.744  0.373 -0.581  0.209 -0.418  0.046 -0.255  -0.117 -0.092  -0.280 0.071  -0.443 0.234  -0.616 0.373  -0.814 0.283  -1.000 0.162  -0.809 0.122  -0.579 0.122  -0.348 0.122  -0.117 0.122  0.113 0.122  0.343 0.102  0.573 0.081  0.799 0.038
2#tos#f2#f2059065/D  -0.411 0.995  -0.422 0.879  -0.474 0.698  -0.482 0.511  -0.482 0.322  -0.518 0.139  -0.553 -0.046  -0.553 -0.235  -0.553 -0.423  -0.553 -0.612  -0.553 -0.801  -0.553 -0.989  -0.517 -1.070  -0.514 -0.882  -0.510 -0.693  -0.507 -0.505  -0.504 -0.316  -0.501 -0.127  -0.497 0.061  -0.494 0.250  -0.491 0.439  -0.488 0.627  -0.484 0.816  -0.482 1.004  -0.399 1.161  -0.240 1.209  -0.051 1.209  0.121 1.139  0.309 1.135  0.483 1.064  0.633 0.949  0.766 0.816  0.865 0.661  1.004 0.539  1.112 0.385  1.157 0.210  1.157 0.022  1.157 -0.167  1.146 -0.354  1.044 -0.507  0.930 -0.656  0.788 -0.779  0.629 -0.879  0.472 -0.981  0.294 -1.042  0.108 -1.071  -0.081 -1.071  -0.270 -1.071  -0.452 -1.032  -0.589 -0.928
2#tos#f2#f2059065/E  -0.443 1.132  -0.599 1.097  -0.326 1.097  -0.053 1.097  0.220 1.097  0.479 1.041  0.744 0.991  0.996 0.921  1.221 0.824  1.028 0.893  0.765 0.968  0.503 1.043  0.241 1.118  -0.022 1.193  -0.291 1.169  -0.408 1.012  -0.420 0.740  -0.443 0.469  -0.464 0.197  -0.479 -0.074  -0.479 -0.347  -0.497 -0.617  -0.549 -0.882  -0.584 -1.150  -0.506 -1.372  -0.426 -1.199  -0.454 -0.927  -0.481 -0.656  -0.509 -0.384  -0.537 -0.113  -0.600 0.109  -0.406 0.109  -0.139 0.070  0.123 0.003  0.386 -0.045  0.656 -0.067  0.858 -0.138  0.684 -0.233  0.434 -0.345  0.185 -0.456  -0.064 -0.568  -0.313 -0.679  -0.493 -0.841  -0.549 -0.992  -0.339 -1.055  -0.066 -1.055  0.201 -1.090  0.474 -1.090  0.739 -1.033  1.003 -0.984
2#tos#f2#f2059065/G  0.140 0.583  0.337 0.540  0.474 0.639  0.484 0.845  0.410 1.007  0.321 1.175  0.154 1.271  -0.054 1.271  -0.261 1.271  -0.469 1.271  -0.626 1.149  -0.743 0.984  -0.809 0.787  -0.885 0.595  -0.970 0.406  -1.020 0.208  -1.020 0.001  -1.020 -0.207  -1.020 -0.414  -0.994 -0.619  -0.924 -0.812  -0.796 -0.973  -0.644 -1.113  -0.458 -1.196  -0.253 -1.221  -0.046 -1.221  0.162 -1.221  0.361 -1.174  0.527 -1.049  0.703 -0.940  0.857 -0.804  0.913 -0.645  0.759 -0.552  0.656 -0.438  0.531 -0.320  0.392 -0.167  0.254 -0.012  0.116 0.143  -0.022 0.298  -0.160 0.453  -0.290 0.344  -0.232 0.189  -0.046 0.096  0.155 0.068  0.352 0.026  0.539 -0.061  0.747 -0.061  0.940 -0.108  1.135 -0.147  1.343 -0.147
2#tos#f2#f2059065/H  -0.854 0.847  -0.757 0.942  -0.728 0.779  -0.728 0.587  -0.728 0.395  -0.728 0.203  -0.728 0.011  -0.742 -0.181  -0.758 -0.372  -0.759 -0.564  -0.759 -0.756  -0.759 -0.948  -0.759 -1.140  -0.760 -1.277  -0.764 -1.085  -0.768 -0.893  -0.772 -0.701  -0.776 -0.509  -0.780 -0.317  -0.784 -0.125  -0.788 0.068  -0.809 0.214  -0.617 0.214  -0.425 0.214  -0.233 0.214  -0.046 0.183  0.147 0.183  0.331 0.151  0.523 0.151  0.688 0.080  0.780 0.171  0.813 0.360  0.847 0.549  0.880 0.738  0.913 0.927  0.947 1.117  0.812 1.195  0.791 1.024  0.791 0.832  0.791 0.640  0.791 0.448  0.791 0.256  0.791 0.063  0.791 -0.129  0.791 -0.321  0.791 -0.513  0.791 -0.705  0.804 -0.896  0.823 -1.086  0.886 -1.241
2#tos#f2#f2059065/I  -0.574 1.198  -0.650 1.136  -0.578 1.105  -0.441 1.105  -0.303 1.105  -0.165 1.105  -0.028 1.105  0.109 1.093  0.244 1.074  0.379 1.045  0.516 1.043  0.618 1.045  0.481 1.062  0.345 1.079  0.208 1.097  0.071 1.105  0.015 1.005  0.015 0.868  -0.001 0.732  -0.016 0.596  -0.016 0.459  -0.016 0.321  -0.016 0.183  -0.016 0.046  -0.016 -0.092  -0.016 -0.230  -0.043 -0.365  -0.070 -0.500  -0.078 -0.636  -0.094 -0.764  -0.140 -0.873  -0.140 -1.011  -0.235 -0.975  -0.352 -0.901  -0.468 -0.827  -0.601 -0.829  -0.729 -0.880  -0.600 -0.911  -0.464 -0.923  -0.332 -0.961  -0.199 -0.997  -0.062 -1.004  0.075 -1.004  0.213 -1.004  0.351 -1.004  0.488 -1.004  0.626 -1.004  0.764 -1.004  0.901 -1.004  1.039 -1.004
2#tos#f2#f2059065/L  0.149 1.607  0.112 1.693  -0.011 1.693  -0.135 1.693  -0.067 1.642  -0.067 1.519  -0.067 1.395  -0.067 1.272  -0.067 1.148  -0.067 1.025  -0.067 0.902  -0.067 0.778  -0.067 0.655  -0.067 0.531  -0.067 0.408  -0.073 0.286  -0.103 0.166  -0.129 0.045  -0.153 -0.076  -0.154 -0.199  -0.154 -0.323  -0.154 -0.446  -0.226 -0.539  -0.273 -0.652  -0.324 -0.764  -0.435 -0.791  -0.549 -0.812  -0.660 -0.781  -0.717 -0.683  -0.802 -0.644  -0.886 -0.555  -0.768 -0.553  -0.648 -0.581  -0.526 -0.596  -0.403 -0.596  -0.279 -0.596  -0.156 -0.596  -0.033 -0.596  0.091 -0.596  0.214 -0.596  0.337 -0.596  0.461 -0.596  0.584 -0.596  0.708 -0.596  0.831 -0.596  0.954 -0.596  1.078 -0.596  1.201 -0.588  1.323 -0.571  1.445 -0.553
2#tos#f2#f2059065/M  -0.624 0.721  -0.848 0.871  -0.848 0.580  -0.880 0.272  -0.880 -0.039  -0.880 -0.351  -0.880 -0.662  -0.880 -0.973  -0.870 -1.282  -0.694 -1.453  -0.711 -1.148  -0.743 -0.839  -0.776 -0.529  -0.809 -0.220  -0.842 0.090  -0.875 0.400  -0.908 0.709  -1.055 0.881  -0.826 0.732  -0.650 0.509  -0.500 0.245  -0.304 0.013  -0.168 -0.237  0.052 -0.453  0.239 -0.684  0.413 -0.466  0.552 -0.188  0.691 0.091  0.830 0.369  0.970 0.648  0.719 0.721  0.518 0.495  0.320 0.277  0.168 0.011  0.015 -0.237  0.043 -0.344  0.221 -0.089  0.399 0.167  0.578 0.422  0.756 0.678  0.934 0.933  0.974 1.148  0.942 0.844  0.942 0.532  0.942 0.221  0.957 -0.089  0.974 -0.399  1.066 -0.680  1.070 -0.989  1.166 -1.229
