2#apb#apb09#app0911/O  -0.123 0.326  -0.134 0.464  -0.141 0.600  -0.242 0.680  -0.376 0.701  -0.505 0.650  -0.631 0.594  -0.739 0.508  -0.847 0.421  -0.925 0.309  -0.994 0.189  -1.062 0.069  -1.087 -0.067  -1.113 -0.203  -1.136 -0.339  -1.095 -0.471  -1.055 -0.603  -0.975 -0.708  -0.863 -0.789  -0.750 -0.867  -0.613 -0.882  -0.475 -0.898  -0.338 -0.913  -0.201 -0.901  -0.064 -0.880  0.073 -0.858  0.209 -0.836  0.339 -0.792  0.466 -0.736  0.592 -0.680  0.718 -0.622  0.822 -0.531  0.926 -0.440  1.029 -0.348  1.092 -0.225  1.154 -0.101  1.173 0.029  1.152 0.166  1.125 0.301  1.050 0.417  0.976 0.534  0.886 0.636  0.773 0.716  0.660 0.796  0.537 0.856  0.408 0.907  0.278 0.953  0.142 0.981  0.012 0.975  -0.110 0.909
2#apb#apb09#app0911/y  -1.272 1.051  -1.173 0.965  -1.095 0.854  -1.017 0.743  -0.939 0.632  -0.849 0.531  -0.757 0.432  -0.662 0.336  -0.566 0.240  -0.474 0.141  -0.382 0.042  -0.287 -0.054  -0.181 -0.136  -0.054 -0.143  0.047 -0.074  0.093 0.053  0.139 0.180  0.186 0.308  0.232 0.435  0.278 0.562  0.324 0.689  0.371 0.816  0.417 0.944  0.463 1.071  0.509 1.198  0.424 1.099  0.362 0.979  0.301 0.858  0.262 0.728  0.222 0.599  0.190 0.468  0.171 0.334  0.153 0.200  0.136 0.066  0.140 -0.070  0.144 -0.205  0.148 -0.340  0.154 -0.476  0.172 -0.610  0.189 -0.744  0.206 -0.878  0.235 -1.010  0.268 -1.142  0.301 -1.273  0.335 -1.404  0.369 -1.535  0.403 -1.666  0.436 -1.797  0.465 -1.929  0.465 -2.065
2#apb#apb09#app0911/P  -0.534 -0.069  -0.643 0.020  -0.624 -0.124  -0.624 -0.287  -0.624 -0.449  -0.635 -0.611  -0.654 -0.773  -0.617 -0.932  -0.588 -1.092  -0.549 -1.247  -0.615 -1.136  -0.677 -0.986  -0.726 -0.831  -0.767 -0.674  -0.790 -0.513  -0.813 -0.351  -0.810 -0.189  -0.799 -0.027  -0.786 0.135  -0.736 0.290  -0.687 0.445  -0.593 0.578  -0.488 0.701  -0.355 0.794  -0.222 0.887  -0.070 0.946  0.082 1.005  0.238 1.046  0.400 1.065  0.561 1.082  0.721 1.049  0.880 1.016  1.003 0.917  1.115 0.799  1.204 0.665  1.280 0.521  1.292 0.361  1.292 0.198  1.213 0.057  1.129 -0.082  1.008 -0.191  0.886 -0.299  0.744 -0.375  0.595 -0.442  0.444 -0.501  0.291 -0.557  0.129 -0.554  -0.027 -0.516  -0.172 -0.446  -0.280 -0.324
2#apb#apb09#app0911/r  -0.576 0.584  -0.588 0.474  -0.600 0.363  -0.609 0.252  -0.616 0.142  -0.623 0.031  -0.630 -0.080  -0.642 -0.191  -0.655 -0.301  -0.669 -0.411  -0.683 -0.521  -0.674 -0.631  -0.657 -0.741  -0.640 -0.851  -0.622 -0.961  -0.604 -1.070  -0.578 -1.178  -0.576 -1.190  -0.567 -1.080  -0.558 -0.969  -0.549 -0.858  -0.521 -0.751  -0.493 -0.643  -0.465 -0.536  -0.437 -0.428  -0.406 -0.322  -0.345 -0.229  -0.283 -0.137  -0.221 -0.045  -0.160 0.048  -0.084 0.127  0.002 0.197  0.089 0.267  0.175 0.338  0.261 0.408  0.351 0.473  0.444 0.534  0.537 0.594  0.630 0.654  0.724 0.715  0.824 0.758  0.933 0.777  1.043 0.797  1.152 0.816  1.262 0.833  1.373 0.833  1.484 0.833  1.592 0.824  1.682 0.759  1.773 0.695
2#apb#apb09#app0911/o  -0.280 1.218  -0.388 1.178  -0.483 1.099  -0.578 1.020  -0.630 0.909  -0.681 0.796  -0.732 0.684  -0.783 0.572  -0.813 0.452  -0.843 0.333  -0.872 0.213  -0.902 0.094  -0.893 -0.029  -0.883 -0.152  -0.873 -0.275  -0.863 -0.398  -0.806 -0.506  -0.743 -0.612  -0.681 -0.718  -0.586 -0.791  -0.477 -0.848  -0.368 -0.905  -0.257 -0.957  -0.136 -0.981  -0.015 -1.005  0.106 -1.029  0.224 -1.002  0.343 -0.968  0.461 -0.933  0.560 -0.860  0.658 -0.786  0.757 -0.712  0.819 -0.609  0.867 -0.496  0.915 -0.382  0.946 -0.265  0.946 -0.142  0.946 -0.019  0.946 0.104  0.908 0.220  0.860 0.333  0.811 0.447  0.761 0.559  0.674 0.646  0.587 0.733  0.500 0.820  0.405 0.898  0.297 0.957  0.190 1.017  0.082 1.077
2#apb#apb09#app0911/v  -1.035 1.428  -1.009 1.326  -0.981 1.224  -0.952 1.122  -0.924 1.021  -0.896 0.919  -0.867 0.818  -0.838 0.716  -0.809 0.614  -0.780 0.513  -0.746 0.413  -0.705 0.316  -0.664 0.218  -0.623 0.121  -0.582 0.024  -0.547 -0.076  -0.512 -0.175  -0.477 -0.275  -0.442 -0.375  -0.399 -0.470  -0.339 -0.557  -0.278 -0.643  -0.218 -0.730  -0.148 -0.809  -0.078 -0.888  -0.007 -0.966  0.073 -1.035  0.152 -1.105  0.241 -1.083  0.332 -1.030  0.397 -0.947  0.462 -0.864  0.518 -0.775  0.568 -0.682  0.617 -0.588  0.666 -0.495  0.708 -0.399  0.739 -0.298  0.770 -0.197  0.800 -0.096  0.831 0.005  0.857 0.107  0.866 0.213  0.876 0.318  0.885 0.423  0.894 0.528  0.901 0.633  0.901 0.739  0.901 0.844  0.901 0.950
2#apb#apb09#app0911/i  -0.247 1.439  -0.267 1.421  -0.229 1.475  -0.156 1.506  -0.133 1.465  -0.135 1.387  -0.137 1.308  -0.140 1.229  -0.142 1.150  -0.144 1.072  -0.147 0.993  -0.149 0.914  -0.151 0.835  -0.153 0.757  -0.156 0.678  -0.158 0.599  -0.160 0.520  -0.163 0.441  -0.165 0.363  -0.167 0.284  -0.170 0.205  -0.143 0.265  -0.106 0.297  -0.075 0.224  -0.038 0.155  -0.000 0.086  0.037 0.016  0.055 -0.060  0.068 -0.138  0.082 -0.215  0.095 -0.293  0.109 -0.370  0.122 -0.448  0.138 -0.525  0.153 -0.603  0.169 -0.680  0.184 -0.757  0.198 -0.835  0.198 -0.913  0.198 -0.992  0.198 -1.071  0.198 -1.150  0.198 -1.229  0.198 -1.307  0.198 -1.386  0.198 -1.465  0.200 -1.544  0.206 -1.622  0.212 -1.701  0.218 -1.779
2#apb#apb09#app0911/d  -0.090 1.888  -0.015 1.749  0.079 1.594  0.157 1.432  0.235 1.269  0.292 1.097  0.341 0.923  0.390 0.749  0.450 0.579  0.511 0.409  0.557 0.235  0.590 0.057  0.621 -0.121  0.649 -0.300  0.676 -0.479  0.694 -0.659  0.697 -0.839  0.672 -1.017  0.629 -1.037  0.606 -0.859  0.563 -0.683  0.508 -0.511  0.452 -0.339  0.385 -0.171  0.317 -0.003  0.225 0.150  0.112 0.291  -0.008 0.425  -0.140 0.549  -0.294 0.628  -0.473 0.654  -0.651 0.633  -0.815 0.569  -0.958 0.460  -1.063 0.313  -1.122 0.145  -1.162 -0.031  -1.135 -0.207  -1.095 -0.384  -1.002 -0.539  -0.895 -0.681  -0.746 -0.783  -0.588 -0.867  -0.413 -0.911  -0.236 -0.943  -0.055 -0.943  0.125 -0.934  0.304 -0.909  0.477 -0.862  0.644 -0.793
2#apb#apb09#app0911/e  -0.734 -0.228  -0.602 -0.277  -0.459 -0.290  -0.317 -0.268  -0.175 -0.239  -0.045 -0.183  0.078 -0.107  0.202 -0.032  0.319 0.051  0.431 0.142  0.543 0.233  0.637 0.340  0.711 0.464  0.785 0.588  0.782 0.730  0.772 0.874  0.718 1.007  0.658 1.138  0.547 1.222  0.420 1.291  0.279 1.278  0.136 1.258  0.003 1.203  -0.128 1.142  -0.241 1.059  -0.331 0.946  -0.420 0.833  -0.510 0.719  -0.567 0.588  -0.619 0.453  -0.670 0.318  -0.670 0.174  -0.670 0.030  -0.670 -0.115  -0.648 -0.256  -0.604 -0.393  -0.560 -0.531  -0.513 -0.667  -0.438 -0.790  -0.362 -0.913  -0.286 -1.035  -0.170 -1.121  -0.053 -1.206  0.070 -1.277  0.209 -1.315  0.349 -1.353  0.488 -1.391  0.631 -1.379  0.775 -1.365  0.918 -1.351
2#apb#apb09#app0911/n  -0.991 0.401  -1.031 0.295  -1.050 0.184  -1.050 0.070  -1.050 -0.043  -1.045 -0.157  -1.027 -0.269  -1.010 -0.382  -0.989 -0.494  -0.968 -0.606  -0.945 -0.717  -0.917 -0.828  -0.885 -0.882  -0.834 -0.781  -0.783 -0.679  -0.729 -0.578  -0.676 -0.478  -0.623 -0.377  -0.572 -0.275  -0.521 -0.174  -0.470 -0.072  -0.419 0.030  -0.350 0.120  -0.276 0.207  -0.203 0.294  -0.129 0.380  -0.051 0.462  0.038 0.534  0.126 0.606  0.214 0.678  0.313 0.733  0.415 0.784  0.518 0.826  0.628 0.796  0.734 0.759  0.826 0.691  0.904 0.611  0.969 0.517  1.034 0.424  1.077 0.319  1.113 0.211  1.149 0.103  1.170 -0.008  1.177 -0.121  1.184 -0.235  1.191 -0.349  1.198 -0.462  1.205 -0.576  1.205 -0.690  1.205 -0.804
2#apb#apb09#app0911/c  0.630 1.220  0.656 1.310  0.615 1.341  0.531 1.299  0.447 1.257  0.366 1.210  0.285 1.162  0.204 1.114  0.124 1.065  0.052 1.006  -0.021 0.946  -0.093 0.886  -0.166 0.826  -0.235 0.763  -0.303 0.699  -0.372 0.634  -0.440 0.570  -0.503 0.501  -0.545 0.417  -0.587 0.333  -0.629 0.249  -0.671 0.165  -0.700 0.077  -0.710 -0.016  -0.721 -0.109  -0.731 -0.203  -0.704 -0.291  -0.671 -0.379  -0.638 -0.467  -0.585 -0.541  -0.512 -0.600  -0.439 -0.659  -0.367 -0.718  -0.287 -0.766  -0.200 -0.801  -0.113 -0.836  -0.025 -0.871  0.063 -0.900  0.156 -0.912  0.250 -0.924  0.343 -0.935  0.436 -0.947  0.529 -0.948  0.623 -0.940  0.716 -0.931  0.810 -0.923  0.902 -0.910  0.990 -0.875  1.077 -0.840  1.164 -0.805
2#apb#apb09#app0911/e  -1.215 -0.201  -1.062 -0.166  -0.910 -0.128  -0.760 -0.085  -0.607 -0.053  -0.452 -0.028  -0.300 0.005  -0.156 0.067  -0.013 0.130  0.129 0.197  0.271 0.264  0.401 0.351  0.527 0.444  0.635 0.554  0.724 0.683  0.724 0.839  0.691 0.987  0.610 1.121  0.486 1.216  0.337 1.238  0.184 1.220  0.040 1.158  -0.099 1.088  -0.214 0.981  -0.328 0.874  -0.431 0.757  -0.527 0.633  -0.623 0.510  -0.678 0.364  -0.726 0.215  -0.751 0.063  -0.744 -0.094  -0.736 -0.250  -0.683 -0.396  -0.619 -0.539  -0.533 -0.666  -0.415 -0.769  -0.297 -0.872  -0.157 -0.937  -0.010 -0.993  0.137 -1.047  0.293 -1.053  0.450 -1.060  0.606 -1.062  0.760 -1.034  0.914 -1.005  1.068 -0.977  1.212 -0.918  1.352 -0.848  1.492 -0.777
2#apb#apb09#app0911/M  -1.045 0.407  -1.103 0.425  -1.081 0.273  -1.062 0.122  -1.046 -0.031  -1.032 -0.183  -1.026 -0.336  -1.021 -0.489  -1.021 -0.642  -1.004 -0.793  -0.971 -0.941  -0.890 -0.890  -0.831 -0.749  -0.792 -0.601  -0.757 -0.452  -0.733 -0.301  -0.709 -0.150  -0.674 -0.001  -0.630 0.145  -0.584 0.291  -0.509 0.424  -0.401 0.525  -0.260 0.567  -0.132 0.501  -0.051 0.376  0.004 0.233  0.045 0.086  0.075 -0.064  0.094 -0.215  0.130 -0.364  0.192 -0.387  0.226 -0.238  0.285 -0.097  0.345 0.044  0.406 0.184  0.477 0.318  0.575 0.436  0.687 0.538  0.813 0.625  0.958 0.672  1.098 0.650  1.224 0.567  1.327 0.454  1.384 0.312  1.433 0.167  1.463 0.017  1.486 -0.134  1.509 -0.285  1.543 -0.434  1.585 -0.581
2#apb#apb09#app0911/a  0.419 0.096  0.485 0.241  0.519 0.395  0.515 0.553  0.477 0.708  0.402 0.841  0.283 0.948  0.144 1.023  -0.002 1.087  -0.159 1.097  -0.318 1.089  -0.467 1.046  -0.602 0.961  -0.737 0.876  -0.850 0.764  -0.960 0.648  -1.069 0.532  -1.129 0.385  -1.182 0.234  -1.228 0.083  -1.211 -0.076  -1.193 -0.235  -1.109 -0.371  -1.026 -0.507  -0.910 -0.610  -0.771 -0.688  -0.623 -0.744  -0.467 -0.777  -0.311 -0.791  -0.157 -0.748  -0.006 -0.701  0.130 -0.616  0.265 -0.531  0.366 -0.408  0.465 -0.282  0.517 -0.132  0.565 0.020  0.578 0.179  0.580 0.330  0.576 0.177  0.601 0.020  0.646 -0.133  0.697 -0.284  0.762 -0.430  0.829 -0.575  0.915 -0.709  1.007 -0.839  1.125 -0.946  1.247 -1.050  1.371 -1.150
2#apb#apb09#app0911/g  0.376 0.791  0.362 0.922  0.312 1.039  0.222 1.134  0.112 1.204  -0.014 1.241  -0.145 1.231  -0.261 1.177  -0.372 1.105  -0.463 1.010  -0.532 0.903  -0.558 0.774  -0.543 0.645  -0.507 0.521  -0.417 0.425  -0.312 0.347  -0.192 0.304  -0.061 0.301  0.061 0.351  0.167 0.426  0.250 0.526  0.301 0.647  0.327 0.775  0.297 0.739  0.284 0.611  0.300 0.480  0.331 0.352  0.359 0.224  0.383 0.094  0.407 -0.035  0.433 -0.165  0.460 -0.294  0.488 -0.422  0.516 -0.551  0.521 -0.682  0.521 -0.814  0.484 -0.936  0.418 -1.050  0.317 -1.134  0.213 -1.214  0.089 -1.259  -0.034 -1.305  -0.163 -1.332  -0.292 -1.358  -0.423 -1.357  -0.554 -1.344  -0.684 -1.325  -0.813 -1.298  -0.935 -1.252  -1.036 -1.172
2#apb#apb09#app0911/n  -0.989 0.691  -1.010 0.567  -1.001 0.442  -0.993 0.318  -0.980 0.193  -0.967 0.069  -0.953 -0.056  -0.935 -0.179  -0.914 -0.303  -0.893 -0.426  -0.880 -0.550  -0.870 -0.675  -0.817 -0.773  -0.713 -0.815  -0.669 -0.698  -0.630 -0.579  -0.602 -0.458  -0.580 -0.334  -0.558 -0.211  -0.536 -0.088  -0.513 0.035  -0.491 0.158  -0.466 0.280  -0.399 0.385  -0.331 0.491  -0.254 0.587  -0.154 0.662  -0.054 0.737  0.066 0.760  0.190 0.769  0.315 0.769  0.440 0.760  0.558 0.732  0.660 0.659  0.761 0.586  0.856 0.505  0.940 0.412  1.024 0.320  1.059 0.200  1.093 0.080  1.126 -0.041  1.131 -0.165  1.131 -0.291  1.131 -0.416  1.124 -0.541  1.116 -0.665  1.106 -0.790  1.096 -0.915  1.100 -1.038  1.131 -1.159
2#apb#apb09#app0911/o  -0.258 0.950  -0.378 0.906  -0.495 0.857  -0.595 0.776  -0.694 0.696  -0.794 0.615  -0.863 0.508  -0.928 0.397  -0.993 0.287  -1.020 0.164  -1.034 0.036  -1.048 -0.091  -1.014 -0.214  -0.973 -0.335  -0.933 -0.457  -0.842 -0.545  -0.746 -0.629  -0.649 -0.713  -0.537 -0.774  -0.420 -0.827  -0.303 -0.879  -0.184 -0.920  -0.056 -0.926  0.072 -0.932  0.201 -0.938  0.328 -0.926  0.456 -0.912  0.583 -0.899  0.680 -0.819  0.775 -0.732  0.867 -0.643  0.940 -0.538  1.013 -0.433  1.042 -0.314  1.042 -0.185  1.042 -0.057  1.010 0.064  0.955 0.179  0.899 0.295  0.844 0.411  0.755 0.502  0.662 0.590  0.569 0.678  0.476 0.766  0.371 0.838  0.261 0.905  0.152 0.972  0.039 1.032  -0.079 1.082  -0.197 1.133
2#apb#apb09#app0911/l  -0.338 1.663  -0.306 1.601  -0.287 1.534  -0.271 1.467  -0.255 1.399  -0.239 1.331  -0.223 1.264  -0.213 1.195  -0.204 1.126  -0.195 1.057  -0.186 0.988  -0.177 0.919  -0.168 0.850  -0.156 0.781  -0.137 0.714  -0.119 0.647  -0.101 0.580  -0.083 0.513  -0.064 0.446  -0.046 0.379  -0.032 0.310  -0.019 0.242  -0.006 0.174  0.007 0.106  0.020 0.037  0.033 -0.031  0.047 -0.099  0.060 -0.168  0.074 -0.236  0.087 -0.304  0.101 -0.372  0.114 -0.441  0.128 -0.509  0.142 -0.577  0.155 -0.645  0.169 -0.714  0.183 -0.782  0.196 -0.850  0.210 -0.918  0.210 -0.988  0.210 -1.057  0.210 -1.127  0.210 -1.196  0.202 -1.265  0.191 -1.334  0.180 -1.403  0.171 -1.472  0.171 -1.541  0.171 -1.611  0.171 -1.681
2#apb#apb09#app0911/i  -0.110 1.139  -0.183 1.109  -0.258 1.093  -0.337 1.093  -0.335 1.166  -0.280 1.222  -0.224 1.277  -0.169 1.333  -0.129 1.341  -0.119 1.263  -0.108 1.185  -0.098 1.107  -0.087 1.029  -0.077 0.951  -0.066 0.873  -0.056 0.796  -0.045 0.718  -0.035 0.640  -0.024 0.562  -0.014 0.484  -0.004 0.406  0.007 0.328  0.017 0.251  0.028 0.173  -0.027 0.124  -0.052 0.049  -0.064 -0.027  -0.064 -0.106  -0.064 -0.184  -0.064 -0.263  -0.038 -0.337  -0.012 -0.411  0.014 -0.485  0.040 -0.559  0.066 -0.633  0.084 -0.710  0.097 -0.787  0.111 -0.864  0.125 -0.942  0.138 -1.019  0.156 -1.095  0.176 -1.171  0.197 -1.247  0.217 -1.323  0.237 -1.399  0.252 -1.476  0.267 -1.553  0.284 -1.630  0.305 -1.706  0.327 -1.781
