2#apa#apa01#app0175/1  0.052 1.335  0.052 1.409  0.052 1.483  -0.018 1.487  -0.092 1.487  -0.100 1.422  -0.100 1.348  -0.100 1.274  -0.100 1.200  -0.100 1.127  -0.100 1.053  -0.100 0.979  -0.100 0.905  -0.100 0.832  -0.100 0.758  -0.100 0.684  -0.100 0.610  -0.100 0.536  -0.100 0.463  -0.100 0.389  -0.100 0.315  -0.100 0.241  -0.100 0.168  -0.100 0.094  -0.100 0.020  -0.083 -0.047  -0.031 -0.099  0.021 -0.151  0.052 -0.212  0.052 -0.286  0.052 -0.360  0.052 -0.433  0.052 -0.507  0.052 -0.581  0.052 -0.655  0.052 -0.728  0.052 -0.802  0.052 -0.876  0.052 -0.950  0.052 -1.023  0.052 -1.097  0.052 -1.171  0.053 -1.244  0.105 -1.296  0.157 -1.349  0.203 -1.403  0.203 -1.477  0.203 -1.551  0.203 -1.624  0.203 -1.698
2#apa#apa01#app0175/a  0.499 -0.292  0.647 -0.145  0.677 0.051  0.677 0.260  0.677 0.468  0.677 0.677  0.566 0.774  0.499 0.916  0.326 0.952  0.118 0.952  -0.091 0.952  -0.299 0.952  -0.508 0.952  -0.716 0.952  -0.747 0.774  -0.923 0.742  -0.987 0.597  -1.101 0.502  -1.226 0.419  -1.279 0.263  -1.279 0.055  -1.279 -0.154  -1.279 -0.363  -1.207 -0.542  -1.043 -0.648  -0.923 -0.737  -0.803 -0.826  -0.595 -0.826  -0.387 -0.823  -0.240 -0.676  -0.043 -0.648  -0.012 -0.470  0.143 -0.417  0.203 -0.233  0.321 -0.073  0.372 0.114  0.499 0.270  0.499 0.479  0.499 0.506  0.585 0.333  0.677 0.163  0.677 -0.046  0.677 -0.255  0.677 -0.463  0.855 -0.494  0.855 -0.702  0.855 -0.911  0.971 -1.003  1.032 -1.150  1.210 -1.181
2#apa#apa01#app0175/r  -0.898 0.757  -0.898 0.611  -0.811 0.551  -0.692 0.524  -0.692 0.377  -0.692 0.231  -0.637 0.139  -0.491 0.139  -0.486 -0.003  -0.486 -0.149  -0.470 -0.289  -0.366 -0.393  -0.279 -0.503  -0.279 -0.650  -0.279 -0.796  -0.279 -0.943  -0.279 -1.089  -0.279 -1.236  -0.279 -1.382  -0.279 -1.491  -0.279 -1.345  -0.279 -1.198  -0.279 -1.052  -0.279 -0.905  -0.279 -0.759  -0.279 -0.612  -0.279 -0.466  -0.279 -0.319  -0.279 -0.173  -0.279 -0.026  -0.279 0.120  -0.279 0.267  -0.231 0.393  -0.128 0.497  -0.073 0.621  -0.063 0.757  0.083 0.757  0.230 0.757  0.376 0.757  0.523 0.757  0.669 0.757  0.816 0.757  0.962 0.757  1.109 0.757  1.255 0.757  1.402 0.757  1.548 0.757  1.576 0.638  1.576 0.491  1.576 0.345
2#apa#apa01#app0175/e  -0.316 0.249  -0.316 0.091  -0.181 0.067  -0.023 0.067  0.110 0.129  0.222 0.241  0.377 0.249  0.412 0.373  0.412 0.531  0.488 0.613  0.594 0.666  0.594 0.824  0.588 0.977  0.429 0.977  0.412 1.118  0.295 1.159  0.136 1.159  -0.022 1.159  -0.134 1.112  -0.157 0.977  -0.315 0.977  -0.428 0.865  -0.540 0.753  -0.652 0.641  -0.680 0.495  -0.775 0.431  -0.862 0.360  -0.862 0.201  -0.862 0.043  -0.862 -0.115  -0.862 -0.274  -0.766 -0.392  -0.680 -0.515  -0.667 -0.661  -0.509 -0.661  -0.498 -0.808  -0.374 -0.843  -0.316 -0.943  -0.239 -1.025  -0.080 -1.025  0.078 -1.025  0.236 -1.025  0.395 -1.025  0.553 -1.025  0.712 -1.025  0.870 -1.025  1.028 -1.025  1.187 -1.025  1.345 -1.025  1.504 -1.025
2#apa#apa01#app0175/^  -1.276 -1.159  -1.276 -1.040  -1.276 -0.922  -1.276 -0.803  -1.276 -0.684  -1.269 -0.573  -1.151 -0.573  -1.032 -0.573  -0.983 -0.503  -0.983 -0.385  -0.970 -0.280  -0.851 -0.280  -0.733 -0.280  -0.690 -0.204  -0.690 -0.085  -0.670 0.013  -0.551 0.013  -0.433 0.013  -0.339 0.072  -0.255 0.156  -0.171 0.239  -0.080 0.306  0.038 0.306  0.157 0.306  0.188 0.393  0.188 0.512  0.188 0.630  0.188 0.749  0.188 0.867  0.282 0.892  0.401 0.892  0.519 0.892  0.638 0.892  0.756 0.892  0.774 0.791  0.774 0.672  0.774 0.554  0.774 0.435  0.774 0.317  0.774 0.198  0.774 0.080  0.811 -0.024  0.895 -0.107  0.978 -0.191  1.062 -0.275  1.067 -0.392  1.067 -0.510  1.067 -0.629  1.067 -0.747  1.067 -0.866
2#apa#apa01#app0175/u  -1.203 1.025  -1.203 0.878  -1.203 0.731  -1.203 0.585  -1.203 0.438  -1.203 0.291  -1.203 0.144  -1.203 -0.002  -1.203 -0.149  -1.203 -0.296  -1.071 -0.311  -1.036 -0.423  -0.945 -0.478  -0.869 -0.549  -0.818 -0.645  -0.671 -0.645  -0.525 -0.645  -0.378 -0.645  -0.231 -0.645  -0.084 -0.645  -0.034 -0.548  0.042 -0.478  0.132 -0.421  0.158 -0.285  0.262 -0.181  0.299 -0.050  0.351 0.075  0.455 0.179  0.466 0.321  0.466 0.468  0.466 0.614  0.466 0.761  0.466 0.908  0.466 0.995  0.473 0.851  0.577 0.747  0.633 0.624  0.633 0.477  0.633 0.330  0.638 0.185  0.742 0.082  0.800 -0.041  0.831 -0.175  0.935 -0.278  0.967 -0.412  1.048 -0.478  1.195 -0.478  1.301 -0.518  1.321 -0.645  1.468 -0.645
2#apa#apa01#app0175/n  -1.073 0.561  -1.073 0.411  -0.986 0.298  -0.896 0.185  -0.896 0.036  -0.896 -0.114  -0.896 -0.263  -0.832 -0.386  -0.726 -0.492  -0.719 -0.639  -0.719 -0.788  -0.719 -0.767  -0.719 -0.618  -0.719 -0.468  -0.718 -0.319  -0.651 -0.185  -0.584 -0.051  -0.543 0.088  -0.543 0.238  -0.543 0.388  -0.543 0.537  -0.543 0.687  -0.444 0.738  -0.366 0.809  -0.322 0.914  -0.172 0.914  -0.022 0.914  0.127 0.914  0.277 0.914  0.426 0.914  0.559 0.873  0.665 0.767  0.694 0.630  0.694 0.480  0.748 0.384  0.871 0.358  0.871 0.208  0.871 0.059  0.871 -0.091  0.871 -0.240  0.871 -0.390  0.871 -0.540  0.871 -0.689  0.871 -0.839  0.871 -0.988  0.871 -1.138  0.952 -1.206  1.047 -1.152  1.047 -1.002  1.047 -0.853
2#apa#apa01#app0175/d  0.211 -0.264  0.126 -0.371  -0.067 -0.371  -0.220 -0.411  -0.344 -0.479  -0.436 -0.580  -0.544 -0.665  -0.544 -0.858  -0.511 -1.018  -0.426 -1.126  -0.261 -1.193  -0.112 -1.261  -0.001 -1.342  0.192 -1.342  0.211 -1.168  0.319 -1.083  0.300 -0.892  0.272 -0.701  0.244 -0.510  0.215 -0.320  0.187 -0.129  0.159 0.062  0.131 0.253  0.102 0.443  0.074 0.634  0.046 0.825  0.018 1.015  -0.011 1.206  -0.039 1.397  -0.067 1.587  -0.095 1.778  -0.112 1.970  -0.112 1.840  -0.112 1.647  -0.109 1.455  -0.023 1.283  -0.005 1.094  -0.005 0.901  -0.005 0.709  -0.005 0.516  -0.005 0.323  0.060 0.146  0.103 -0.037  0.103 -0.230  0.103 -0.423  0.103 -0.616  0.103 -0.808  0.103 -1.001  0.259 -0.971  0.427 -0.911
2#apa#apa01#app0175/e  -0.410 -0.301  -0.244 -0.301  -0.078 -0.301  -0.000 -0.214  -0.000 -0.048  0.006 0.115  0.123 0.232  0.204 0.364  0.217 0.517  0.382 0.517  0.409 0.656  0.409 0.822  0.409 0.987  0.387 1.131  0.221 1.131  0.204 1.279  0.095 1.336  -0.000 1.265  -0.032 1.131  -0.197 1.131  -0.317 1.019  -0.444 0.926  -0.609 0.926  -0.614 0.766  -0.700 0.636  -0.817 0.519  -0.819 0.354  -0.819 0.188  -0.819 0.022  -0.819 -0.143  -0.811 -0.301  -0.646 -0.301  -0.614 -0.435  -0.519 -0.506  -0.410 -0.562  -0.392 -0.710  -0.227 -0.710  -0.205 -0.854  -0.100 -0.915  0.065 -0.915  0.223 -0.934  0.340 -1.051  0.477 -1.119  0.643 -1.119  0.808 -1.119  0.974 -1.119  1.140 -1.119  1.227 -1.041  1.266 -0.915  1.432 -0.915
2#apa#apa01#app0175/f  -0.175 -1.884  -0.191 -1.761  -0.299 -1.729  -0.299 -1.589  -0.299 -1.450  -0.299 -1.310  -0.299 -1.171  -0.299 -1.031  -0.300 -0.892  -0.362 -0.767  -0.423 -0.642  -0.423 -0.502  -0.423 -0.362  -0.423 -0.223  -0.423 -0.083  -0.423 0.056  -0.423 0.196  -0.423 0.336  -0.423 0.475  -0.423 0.615  -0.423 0.754  -0.423 0.894  -0.353 0.964  -0.299 1.049  -0.198 1.088  -0.175 1.205  -0.042 1.212  0.097 1.212  0.237 1.212  0.377 1.212  0.516 1.212  0.568 1.124  0.568 0.984  0.687 0.964  0.688 0.830  0.634 0.701  0.580 0.572  0.526 0.443  0.473 0.314  0.419 0.185  0.365 0.056  0.312 -0.072  0.258 -0.201  0.204 -0.330  0.151 -0.459  0.097 -0.588  0.149 -0.646  0.289 -0.646  0.320 -0.754  0.444 -0.770
2#apa#apa01#app0175/i  0.114 0.023  0.114 -0.080  0.114 -0.183  0.114 -0.286  0.114 -0.390  0.114 -0.493  0.114 -0.596  0.114 -0.699  0.114 -0.802  0.114 -0.905  0.114 -1.008  0.114 -1.111  0.114 -1.214  0.114 -1.317  0.174 -1.360  0.277 -1.360  0.312 -1.291  0.312 -1.188  0.312 -1.085  0.312 -0.982  0.288 -0.883  0.260 -0.784  0.232 -0.685  0.203 -0.586  0.175 -0.486  0.147 -0.387  0.118 -0.288  0.090 -0.189  0.062 -0.090  0.033 0.009  0.005 0.108  -0.023 0.207  -0.051 0.306  -0.080 0.405  -0.108 0.504  -0.136 0.603  -0.165 0.702  -0.193 0.801  -0.221 0.900  -0.250 0.999  -0.278 1.098  -0.306 1.197  -0.334 1.296  -0.363 1.395  -0.391 1.495  -0.419 1.594  -0.448 1.693  -0.476 1.792  -0.384 1.800  -0.281 1.800
2#apa#apa01#app0175/n  -0.581 1.076  -0.403 1.065  -0.403 0.876  -0.403 0.687  -0.403 0.499  -0.420 0.313  -0.480 0.134  -0.539 -0.045  -0.581 -0.227  -0.581 -0.415  -0.581 -0.604  -0.671 -0.702  -0.758 -0.803  -0.758 -0.992  -0.758 -1.181  -0.758 -1.101  -0.758 -0.913  -0.758 -0.724  -0.758 -0.536  -0.581 -0.524  -0.581 -0.336  -0.581 -0.148  -0.581 0.041  -0.550 0.217  -0.417 0.350  -0.403 0.533  -0.276 0.669  -0.225 0.837  -0.098 0.898  -0.047 1.036  0.102 1.076  0.291 1.076  0.479 1.076  0.490 0.898  0.664 0.883  0.664 0.694  0.664 0.506  0.711 0.364  0.841 0.306  0.841 0.117  0.841 -0.071  0.841 -0.260  0.841 -0.448  0.841 -0.637  0.841 -0.826  0.976 -0.880  1.019 -1.025  1.175 -1.058  1.197 -0.891  1.375 -0.880
2#apa#apa01#app0175/e  -0.729 0.042  -0.570 0.042  -0.412 0.042  -0.254 0.042  -0.212 0.159  -0.109 0.215  -0.040 0.304  0.036 0.387  0.132 0.449  0.180 0.559  0.305 0.593  0.305 0.752  0.305 0.910  0.305 1.069  0.305 1.227  0.167 1.248  0.009 1.248  -0.040 1.138  -0.136 1.076  -0.270 1.018  -0.382 0.906  -0.540 0.904  -0.557 0.762  -0.684 0.731  -0.729 0.617  -0.729 0.459  -0.729 0.301  -0.729 0.142  -0.729 -0.016  -0.729 -0.175  -0.698 -0.302  -0.557 -0.319  -0.554 -0.477  -0.442 -0.589  -0.330 -0.701  -0.218 -0.813  -0.062 -0.819  -0.040 -0.955  0.083 -0.991  0.241 -0.991  0.399 -0.991  0.534 -1.048  0.646 -1.160  0.803 -1.163  0.962 -1.163  1.083 -1.074  1.207 -0.991  1.338 -0.964  1.352 -0.819  1.510 -0.819
2#apa#apa01#app0175/d  0.081 -0.416  -0.096 -0.416  -0.273 -0.416  -0.449 -0.416  -0.540 -0.502  -0.630 -0.588  -0.721 -0.674  -0.781 -0.791  -0.695 -0.932  -0.609 -1.073  -0.522 -1.164  -0.392 -1.236  -0.236 -1.292  -0.076 -1.364  0.100 -1.364  0.167 -1.253  0.167 -1.077  0.167 -0.900  0.167 -0.723  0.167 -0.547  0.167 -0.370  0.167 -0.193  0.167 -0.017  0.167 0.160  0.167 0.337  0.167 0.513  0.167 0.690  0.167 0.867  0.167 1.044  0.167 1.220  0.167 1.397  0.167 1.574  0.167 1.750  0.167 1.894  0.167 1.717  0.167 1.541  0.167 1.364  0.167 1.187  0.167 1.011  0.167 0.834  0.167 0.657  0.167 0.481  0.167 0.304  0.167 0.127  0.167 -0.049  0.167 -0.226  0.167 -0.403  0.167 -0.580  0.167 -0.756  0.167 -0.933
2#apa#apa01#app0175/^  -1.556 -0.593  -1.446 -0.593  -1.335 -0.593  -1.297 -0.521  -1.297 -0.411  -1.274 -0.311  -1.196 -0.233  -1.118 -0.155  -1.040 -0.077  -1.037 0.032  -1.037 0.142  -0.970 0.185  -0.860 0.185  -0.749 0.185  -0.639 0.185  -0.529 0.185  -0.448 0.255  -0.370 0.333  -0.293 0.411  -0.196 0.444  -0.086 0.444  -0.001 0.469  -0.001 0.579  -0.001 0.689  0.096 0.703  0.206 0.703  0.316 0.703  0.426 0.703  0.536 0.703  0.646 0.703  0.757 0.703  0.776 0.612  0.776 0.502  0.776 0.392  0.776 0.282  0.776 0.172  0.776 0.062  0.776 -0.048  0.776 -0.159  0.776 -0.269  0.776 -0.379  0.776 -0.489  0.776 -0.599  0.776 -0.709  0.776 -0.819  0.854 -0.852  0.964 -0.852  1.035 -0.891  1.035 -1.001  1.035 -1.111
