2#apa#apa20#app2009/{  0.269 1.221  0.394 1.221  0.339 1.285  0.278 1.349  0.216 1.413  0.091 1.413  -0.034 1.413  -0.133 1.349  -0.234 1.292  -0.292 1.221  -0.306 1.109  -0.275 0.997  -0.227 0.901  -0.169 0.828  -0.081 0.740  0.014 0.691  0.085 0.610  0.141 0.520  0.205 0.458  0.269 0.397  0.323 0.326  0.333 0.211  0.333 0.086  0.269 -0.013  0.189 -0.058  0.128 -0.122  0.011 -0.155  -0.107 -0.186  -0.168 -0.250  -0.063 -0.250  -0.002 -0.314  0.123 -0.314  0.141 -0.421  0.106 -0.524  0.014 -0.592  -0.064 -0.648  -0.153 -0.736  -0.241 -0.825  -0.348 -0.868  -0.434 -0.957  -0.434 -1.083  -0.434 -1.208  -0.370 -1.269  -0.262 -1.327  -0.205 -1.413  -0.086 -1.453  0.034 -1.475  0.147 -1.529  0.272 -1.529  0.397 -1.529
2#apa#apa20#app2009/e  -0.398 0.061  -0.253 0.061  -0.140 0.140  -0.036 0.241  0.110 0.241  0.255 0.241  0.401 0.241  0.547 0.241  0.690 0.248  0.793 0.351  0.863 0.468  0.863 0.613  0.863 0.759  0.741 0.782  0.604 0.821  0.474 0.886  0.344 0.952  0.201 0.962  0.055 0.962  -0.091 0.962  -0.236 0.962  -0.382 0.962  -0.528 0.962  -0.646 0.895  -0.749 0.792  -0.852 0.689  -0.939 0.580  -0.939 0.434  -0.939 0.288  -0.939 0.143  -0.910 0.004  -0.845 -0.127  -0.780 -0.257  -0.689 -0.369  -0.586 -0.472  -0.518 -0.600  -0.453 -0.730  -0.382 -0.856  -0.279 -0.959  -0.158 -1.020  -0.013 -1.020  0.133 -1.020  0.239 -1.116  0.350 -1.200  0.495 -1.200  0.641 -1.200  0.787 -1.200  0.932 -1.200  1.078 -1.200  1.223 -1.200
2#apa#apa20#app2009/l  0.120 1.476  0.120 1.548  0.120 1.578  0.120 1.506  0.120 1.435  0.120 1.363  0.120 1.291  0.120 1.219  0.120 1.148  0.120 1.076  0.120 1.004  0.120 0.932  0.120 0.860  0.120 0.789  0.104 0.724  0.054 0.673  0.003 0.622  -0.002 0.552  -0.002 0.481  -0.002 0.409  -0.002 0.337  -0.002 0.265  -0.002 0.194  -0.002 0.122  -0.002 0.050  -0.002 -0.022  -0.002 -0.093  -0.002 -0.165  -0.002 -0.237  -0.002 -0.309  -0.002 -0.380  -0.002 -0.452  -0.002 -0.524  -0.002 -0.596  -0.028 -0.662  -0.060 -0.726  -0.092 -0.790  -0.124 -0.854  -0.125 -0.926  -0.125 -0.997  -0.125 -1.069  -0.125 -1.141  -0.125 -1.213  -0.125 -1.285  -0.125 -1.356  -0.125 -1.428  -0.125 -1.500  -0.125 -1.572  -0.125 -1.643  -0.125 -1.715
2#apa#apa20#app2009/f  0.645 1.463  0.511 1.497  0.389 1.562  0.271 1.637  0.133 1.662  -0.016 1.662  -0.152 1.649  -0.196 1.519  -0.252 1.393  -0.252 1.244  -0.252 1.095  -0.252 0.947  -0.252 0.798  -0.252 0.649  -0.252 0.500  -0.216 0.357  -0.169 0.216  -0.122 0.075  -0.075 -0.066  -0.053 -0.212  -0.053 -0.361  -0.018 -0.501  0.047 -0.635  0.047 -0.784  0.047 -0.932  0.047 -1.081  0.047 -1.230  -0.002 -1.330  -0.053 -1.428  -0.095 -1.288  -0.138 -1.146  -0.181 -1.003  -0.223 -0.861  -0.266 -0.718  -0.309 -0.576  -0.352 -0.433  -0.452 -0.384  -0.549 -0.332  -0.505 -0.233  -0.356 -0.233  -0.207 -0.233  -0.068 -0.275  0.067 -0.332  0.209 -0.363  0.342 -0.430  0.490 -0.432  0.612 -0.498  0.747 -0.532  0.895 -0.532  1.044 -0.532
2#apa#apa20#app2009/}  -0.344 1.116  -0.391 1.185  -0.413 1.279  -0.362 1.374  -0.253 1.392  -0.137 1.392  -0.021 1.392  0.088 1.374  0.170 1.292  0.208 1.192  0.179 1.087  0.139 0.988  0.070 0.901  0.031 0.801  -0.068 0.766  -0.120 0.702  -0.137 0.603  -0.206 0.556  -0.206 0.440  -0.275 0.352  -0.275 0.236  -0.205 0.149  -0.137 0.061  -0.070 0.012  0.001 -0.033  0.094 -0.057  0.210 -0.057  0.228 -0.057  0.112 -0.057  0.065 -0.126  0.001 -0.178  0.001 -0.294  0.056 -0.387  0.097 -0.471  0.191 -0.523  0.273 -0.605  0.307 -0.707  0.346 -0.807  0.346 -0.923  0.285 -1.014  0.277 -1.127  0.208 -1.174  0.208 -1.290  0.139 -1.378  0.099 -1.477  0.001 -1.512  -0.053 -1.574  -0.159 -1.597  -0.256 -1.643  -0.344 -1.574
2#apa#apa20#app2009/;  -0.227 0.964  -0.292 1.029  -0.358 1.095  -0.423 1.160  -0.488 1.226  -0.554 1.291  -0.619 1.357  -0.578 1.316  -0.513 1.250  -0.497 1.164  -0.469 1.099  -0.377 1.099  -0.335 1.026  -0.304 0.939  -0.272 0.852  -0.240 0.765  -0.209 0.678  -0.177 0.591  -0.145 0.505  -0.114 0.418  -0.082 0.331  -0.051 0.244  -0.019 0.157  0.013 0.070  0.044 -0.017  0.076 -0.104  0.108 -0.191  0.139 -0.278  0.171 -0.365  0.178 -0.314  0.178 -0.279  0.178 -0.371  0.257 -0.385  0.313 -0.422  0.313 -0.514  0.374 -0.581  0.440 -0.647  0.448 -0.736  0.448 -0.828  0.448 -0.921  0.448 -1.013  0.448 -1.106  0.448 -1.198  0.448 -1.291  0.410 -1.368  0.344 -1.433  0.279 -1.499  0.214 -1.564  0.136 -1.599  0.043 -1.599
2#apa#apa20#app2009/@  0.242 0.045  0.131 0.173  -0.005 0.292  -0.209 0.377  -0.408 0.280  -0.533 0.093  -0.533 -0.146  -0.422 -0.340  -0.287 -0.509  -0.048 -0.509  0.174 -0.466  0.306 -0.270  0.352 -0.041  0.242 0.003  0.242 -0.237  0.242 -0.476  0.388 -0.655  0.557 -0.824  0.789 -0.841  0.960 -0.676  1.127 -0.505  1.127 -0.266  1.127 -0.027  1.127 0.212  1.074 0.430  0.983 0.631  0.893 0.833  0.704 0.976  0.574 1.135  0.352 1.152  0.125 1.228  -0.109 1.263  -0.344 1.246  -0.561 1.152  -0.755 1.041  -0.924 0.872  -1.093 0.702  -1.197 0.506  -1.197 0.267  -1.197 0.028  -1.182 -0.208  -1.068 -0.417  -0.927 -0.607  -0.775 -0.775  -0.561 -0.882  -0.362 -1.011  -0.144 -1.062  0.095 -1.062  0.335 -1.062  0.574 -1.062
2#apa#apa20#app2009/e  0.046 0.340  0.046 0.481  -0.088 0.488  0.024 0.488  0.046 0.368  0.158 0.340  0.299 0.340  0.441 0.340  0.582 0.340  0.640 0.423  0.716 0.488  0.788 0.557  0.788 0.698  0.750 0.824  0.650 0.924  0.513 0.934  0.407 1.018  0.292 1.082  0.150 1.082  0.020 1.056  -0.080 0.956  -0.212 0.934  -0.323 0.862  -0.423 0.762  -0.523 0.662  -0.623 0.562  -0.697 0.451  -0.718 0.319  -0.818 0.219  -0.845 0.089  -0.845 -0.053  -0.845 -0.194  -0.845 -0.335  -0.845 -0.477  -0.799 -0.598  -0.699 -0.698  -0.599 -0.798  -0.499 -0.898  -0.399 -0.998  -0.272 -1.061  -0.146 -1.124  -0.010 -1.146  0.131 -1.146  0.264 -1.181  0.391 -1.244  0.520 -1.294  0.662 -1.294  0.803 -1.294  0.944 -1.294  1.085 -1.294
2#apa#apa20#app2009/a  -0.489 1.143  -0.455 1.276  -0.356 1.343  -0.254 1.408  -0.088 1.408  0.078 1.408  0.223 1.358  0.341 1.240  0.438 1.114  0.438 0.948  0.438 0.782  0.438 0.615  0.405 0.482  0.239 0.482  0.102 0.411  -0.039 0.349  -0.205 0.349  -0.371 0.349  -0.489 0.301  -0.571 0.217  -0.703 0.135  -0.849 0.085  -0.885 -0.045  -1.001 -0.163  -1.018 -0.323  -1.018 -0.489  -1.018 -0.655  -0.938 -0.788  -0.821 -0.906  -0.683 -0.974  -0.517 -0.974  -0.350 -0.974  -0.184 -0.974  -0.018 -0.974  0.148 -0.974  0.273 -0.874  0.426 -0.841  0.453 -0.693  0.571 -0.577  0.727 -0.552  0.835 -0.430  0.835 -0.264  0.835 -0.098  0.719 -0.047  0.702 -0.197  0.702 -0.364  0.702 -0.530  0.702 -0.696  0.717 -0.856  0.835 -0.974
2#apa#apa20#app2009/s  0.395 0.883  0.325 0.953  0.255 1.023  0.158 1.028  0.059 1.028  -0.041 1.028  -0.111 1.098  -0.181 1.168  -0.278 1.174  -0.377 1.174  -0.476 1.174  -0.576 1.174  -0.625 1.124  -0.625 1.024  -0.625 0.925  -0.625 0.826  -0.620 0.728  -0.576 0.639  -0.531 0.550  -0.487 0.461  -0.421 0.388  -0.351 0.318  -0.281 0.248  -0.211 0.177  -0.141 0.107  -0.070 0.037  -0.000 -0.033  0.070 -0.103  0.140 -0.173  0.210 -0.244  0.281 -0.314  0.351 -0.384  0.421 -0.454  0.491 -0.524  0.541 -0.603  0.541 -0.702  0.541 -0.801  0.541 -0.901  0.541 -1.000  0.541 -1.099  0.500 -1.157  0.400 -1.157  0.395 -1.251  0.348 -1.303  0.248 -1.303  0.149 -1.303  0.066 -1.341  -0.004 -1.411  -0.088 -1.448  -0.187 -1.448
2#apa#apa20#app2009/e  -0.847 0.053  -0.686 0.053  -0.677 0.206  -0.533 0.223  -0.372 0.223  -0.338 0.350  -0.220 0.392  -0.059 0.392  0.102 0.392  0.263 0.392  0.424 0.392  0.585 0.392  0.746 0.392  0.907 0.392  1.017 0.443  1.017 0.604  0.993 0.755  0.879 0.869  0.731 0.900  0.570 0.900  0.409 0.900  0.248 0.900  0.087 0.900  -0.073 0.900  -0.234 0.900  -0.379 0.860  -0.492 0.746  -0.606 0.632  -0.720 0.519  -0.834 0.405  -0.847 0.249  -0.847 0.088  -0.847 -0.073  -0.847 -0.234  -0.770 -0.363  -0.677 -0.485  -0.662 -0.640  -0.548 -0.753  -0.434 -0.867  -0.316 -0.974  -0.172 -1.046  -0.028 -1.118  0.130 -1.132  0.255 -1.218  0.381 -1.302  0.542 -1.302  0.703 -1.302  0.864 -1.302  1.025 -1.302  1.186 -1.302
2#apa#apa20#app2009/@  0.352 0.297  0.262 0.494  0.035 0.511  -0.164 0.424  -0.290 0.304  -0.397 0.114  -0.397 -0.120  -0.290 -0.247  -0.193 -0.442  0.038 -0.451  0.233 -0.357  0.352 -0.172  0.352 0.063  0.245 0.190  0.245 -0.044  0.245 -0.278  0.288 -0.494  0.496 -0.558  0.730 -0.558  0.965 -0.558  1.086 -0.375  1.167 -0.171  1.208 0.046  1.144 0.254  1.071 0.464  0.950 0.662  0.785 0.827  0.590 0.958  0.405 1.100  0.193 1.153  -0.042 1.153  -0.276 1.153  -0.510 1.153  -0.718 1.126  -0.827 0.937  -0.970 0.755  -1.075 0.545  -1.146 0.328  -1.146 0.093  -1.146 -0.141  -1.132 -0.372  -1.027 -0.582  -0.916 -0.787  -0.751 -0.953  -0.550 -1.070  -0.340 -1.175  -0.131 -1.280  0.097 -1.307  0.332 -1.307  0.566 -1.307
2#apa#apa20#app2009/l  0.056 1.317  0.056 1.389  0.056 1.462  0.056 1.531  0.056 1.459  0.056 1.386  0.056 1.314  0.056 1.241  0.028 1.180  -0.024 1.129  -0.052 1.069  -0.052 0.996  -0.052 0.924  -0.052 0.851  -0.052 0.779  -0.052 0.706  -0.052 0.634  -0.052 0.561  -0.052 0.489  -0.052 0.416  -0.052 0.344  -0.052 0.271  -0.052 0.199  -0.052 0.126  -0.052 0.054  -0.052 -0.019  -0.052 -0.091  -0.052 -0.164  -0.052 -0.236  -0.052 -0.309  -0.052 -0.381  -0.052 -0.454  -0.052 -0.526  -0.052 -0.599  -0.052 -0.671  -0.052 -0.743  -0.052 -0.816  -0.052 -0.888  -0.048 -0.960  -0.015 -1.025  0.017 -1.090  0.049 -1.154  0.056 -1.225  0.066 -1.295  0.098 -1.360  0.131 -1.425  0.163 -1.490  0.164 -1.562  0.164 -1.635  0.164 -1.707
2#apa#apa20#app2009/a  -0.532 0.932  -0.521 1.105  -0.395 1.231  -0.226 1.255  -0.048 1.255  0.130 1.255  0.299 1.233  0.425 1.107  0.438 0.934  0.600 0.918  0.600 0.740  0.554 0.608  0.375 0.608  0.197 0.608  0.019 0.608  -0.159 0.608  -0.337 0.608  -0.515 0.608  -0.646 0.494  -0.772 0.368  -0.856 0.224  -0.856 0.046  -0.921 -0.105  -1.017 -0.243  -1.017 -0.421  -1.017 -0.599  -0.953 -0.751  -0.827 -0.877  -0.701 -1.003  -0.575 -1.129  -0.414 -1.171  -0.236 -1.171  -0.058 -1.171  0.119 -1.167  0.245 -1.041  0.371 -0.915  0.497 -0.789  0.623 -0.663  0.748 -0.537  0.762 -0.365  0.762 -0.187  0.762 -0.008  0.715 0.123  0.600 0.060  0.600 -0.119  0.600 -0.297  0.600 -0.475  0.600 -0.653  0.600 -0.831  0.762 -0.848
2#apa#apa20#app2009/s  0.107 1.212  -0.019 1.212  -0.128 1.255  -0.217 1.344  -0.319 1.403  -0.445 1.403  -0.571 1.403  -0.659 1.364  -0.659 1.238  -0.659 1.112  -0.659 0.986  -0.659 0.860  -0.659 0.733  -0.659 0.607  -0.659 0.481  -0.567 0.446  -0.449 0.428  -0.359 0.338  -0.270 0.249  -0.181 0.160  -0.092 0.071  -0.002 -0.019  0.087 -0.108  0.205 -0.128  0.321 -0.151  0.411 -0.240  0.504 -0.319  0.630 -0.319  0.735 -0.373  0.824 -0.462  0.913 -0.551  1.002 -0.641  1.064 -0.741  1.064 -0.867  0.964 -0.894  0.838 -0.894  0.712 -0.894  0.585 -0.894  0.459 -0.894  0.333 -0.894  0.207 -0.894  0.081 -0.894  -0.046 -0.894  -0.146 -0.832  -0.236 -0.742  -0.345 -0.702  -0.471 -0.702  -0.598 -0.702  -0.659 -0.767  -0.659 -0.894
2#apa#apa20#app2009/t  -0.277 1.686  -0.277 1.857  -0.277 1.805  -0.277 1.635  -0.202 1.495  -0.162 1.341  -0.162 1.170  -0.162 0.999  -0.122 0.834  -0.080 0.668  -0.047 0.501  -0.047 0.331  -0.047 0.160  -0.047 -0.011  -0.047 -0.182  -0.011 -0.344  0.065 -0.496  0.068 -0.667  0.068 -0.837  0.068 -1.008  0.068 -1.179  0.068 -1.349  0.068 -1.520  0.054 -1.620  -0.011 -1.462  -0.076 -1.305  -0.141 -1.147  -0.206 -0.989  -0.271 -0.831  -0.336 -0.673  -0.401 -0.515  -0.466 -0.357  -0.531 -0.199  -0.596 -0.042  -0.661 0.116  -0.726 0.274  -0.599 0.304  -0.437 0.269  -0.284 0.192  -0.119 0.167  0.033 0.091  0.200 0.074  0.371 0.074  0.541 0.074  0.712 0.074  0.883 0.074  1.054 0.074  1.224 0.074  1.335 0.133  1.220 0.189
2#apa#apa20#app2009/.  1.802 -0.785  1.660 -0.785  1.518 -0.785  1.375 -0.785  1.233 -0.785  1.091 -0.785  0.949 -0.785  0.817 -0.761  0.716 -0.661  0.616 -0.560  0.515 -0.460  0.415 -0.359  0.314 -0.259  0.214 -0.158  0.113 -0.058  0.013 0.042  -0.088 0.143  -0.216 0.176  -0.358 0.176  -0.500 0.176  -0.642 0.176  -0.784 0.176  -0.926 0.176  -1.068 0.176  -1.082 0.305  -1.082 0.447  -1.082 0.589  -1.082 0.731  -1.082 0.873  -1.082 1.015  -1.069 1.124  -0.968 1.024  -0.868 0.923  -0.767 0.823  -0.667 0.722  -0.566 0.622  -0.466 0.521  -0.365 0.421  -0.265 0.320  -0.164 0.220  -0.064 0.119  0.036 0.019  0.137 -0.082  0.237 -0.182  0.338 -0.283  0.438 -0.383  0.539 -0.483  0.639 -0.584  0.740 -0.684  0.840 -0.785
