1c#app#app19#app1962/h  -0.748 1.284  -0.722 1.407  -0.650 1.512  -0.650 1.647  -0.650 1.568  -0.650 1.433  -0.592 1.323  -0.553 1.205  -0.553 1.070  -0.553 0.936  -0.553 0.802  -0.462 0.705  -0.455 0.573  -0.455 0.439  -0.455 0.305  -0.455 0.170  -0.455 0.036  -0.455 -0.099  -0.455 -0.233  -0.427 -0.363  -0.384 -0.490  -0.358 -0.620  -0.358 -0.755  -0.358 -0.889  -0.313 -1.005  -0.201 -1.059  -0.095 -0.991  0.027 -0.961  0.073 -0.839  0.116 -0.711  0.130 -0.579  0.219 -0.482  0.228 -0.351  0.271 -0.234  0.326 -0.123  0.326 0.012  0.423 0.049  0.493 0.113  0.618 0.103  0.665 0.015  0.716 -0.068  0.801 -0.167  0.827 -0.291  0.911 -0.390  0.911 -0.525  0.911 -0.659  1.000 -0.757  1.009 -0.887  1.009 -1.022  1.009 -1.156
1c#app#app19#app1962/v  -1.092 0.973  -0.977 0.973  -0.922 0.914  -0.919 0.803  -0.805 0.803  -0.752 0.741  -0.752 0.627  -0.752 0.513  -0.752 0.399  -0.752 0.285  -0.752 0.170  -0.752 0.056  -0.743 -0.054  -0.663 -0.135  -0.582 -0.216  -0.582 -0.330  -0.582 -0.444  -0.582 -0.558  -0.582 -0.673  -0.538 -0.769  -0.458 -0.849  -0.377 -0.930  -0.296 -1.011  -0.204 -1.064  -0.090 -1.064  0.024 -1.064  0.126 -1.035  0.207 -0.954  0.288 -0.873  0.368 -0.793  0.444 -0.708  0.495 -0.606  0.546 -0.504  0.597 -0.402  0.673 -0.318  0.754 -0.237  0.776 -0.132  0.776 -0.018  0.776 0.096  0.776 0.211  0.776 0.325  0.776 0.439  0.776 0.553  0.791 0.664  0.842 0.766  0.893 0.868  0.944 0.970  0.945 1.084  0.945 1.198  0.945 1.312
1c#app#app19#app1962/e  -0.654 -0.506  -0.494 -0.503  -0.489 -0.345  -0.333 -0.338  -0.323 -0.184  -0.172 -0.172  -0.158 -0.024  0.003 -0.016  0.149 0.057  0.295 0.129  0.413 0.240  0.553 0.297  0.630 0.382  0.630 0.545  0.630 0.708  0.630 0.871  0.564 1.007  0.439 1.100  0.309 1.133  0.274 1.261  0.111 1.261  -0.052 1.261  -0.215 1.261  -0.333 1.216  -0.380 1.100  -0.529 1.065  -0.644 0.950  -0.654 0.791  -0.654 0.628  -0.654 0.465  -0.654 0.302  -0.654 0.139  -0.654 -0.024  -0.581 -0.170  -0.508 -0.316  -0.494 -0.475  -0.400 -0.599  -0.265 -0.666  -0.172 -0.737  -0.172 -0.900  -0.097 -0.987  0.053 -1.031  0.189 -1.121  0.324 -1.211  0.460 -1.302  0.621 -1.309  0.784 -1.309  0.947 -1.309  1.110 -1.309  1.273 -1.309
1c#app#app19#app1962/r  -0.514 0.093  -0.514 -0.037  -0.436 -0.088  -0.333 -0.115  -0.333 -0.245  -0.333 -0.374  -0.333 -0.504  -0.333 -0.634  -0.333 -0.764  -0.275 -0.869  -0.183 -0.961  -0.152 -1.078  -0.128 -1.198  -0.036 -1.289  0.029 -1.392  0.029 -1.522  0.029 -1.419  0.029 -1.289  0.029 -1.160  0.029 -1.030  0.029 -0.900  0.029 -0.770  0.029 -0.641  -0.025 -0.524  -0.083 -0.408  -0.141 -0.292  -0.199 -0.176  -0.257 -0.060  -0.315 0.056  -0.333 0.182  -0.333 0.312  -0.333 0.441  -0.333 0.571  -0.333 0.701  -0.333 0.830  -0.333 0.960  -0.241 0.998  -0.123 1.027  -0.032 1.118  0.073 1.179  0.203 1.179  0.333 1.179  0.462 1.179  0.592 1.179  0.722 1.179  0.851 1.179  0.967 1.145  1.059 1.053  1.166 0.998  1.295 0.998
1c#app#app19#app1962/y  -0.793 1.240  -0.793 1.132  -0.793 1.023  -0.793 0.915  -0.725 0.835  -0.681 0.745  -0.651 0.648  -0.574 0.572  -0.498 0.495  -0.421 0.419  -0.344 0.342  -0.236 0.341  -0.165 0.421  -0.096 0.504  -0.026 0.587  0.043 0.671  0.112 0.754  0.182 0.837  0.251 0.920  0.321 1.004  0.330 0.922  0.420 0.903  0.443 0.818  0.443 0.709  0.443 0.601  0.391 0.514  0.330 0.430  0.330 0.322  0.330 0.214  0.327 0.106  0.292 0.003  0.258 -0.100  0.224 -0.203  0.218 -0.310  0.218 -0.419  0.181 -0.518  0.133 -0.615  0.106 -0.717  0.106 -0.826  0.106 -0.934  0.106 -1.042  0.106 -1.151  0.106 -1.259  0.106 -1.368  0.106 -1.476  0.106 -1.585  0.106 -1.693  0.106 -1.801  0.106 -1.910  0.106 -2.018
1c#app#app19#app1962/o  0.304 0.624  0.304 0.767  0.304 0.910  0.235 0.984  0.092 0.984  -0.051 0.984  -0.194 0.984  -0.337 0.984  -0.415 0.919  -0.443 0.804  -0.586 0.804  -0.690 0.709  -0.774 0.601  -0.774 0.458  -0.866 0.353  -0.954 0.247  -0.954 0.104  -0.954 -0.039  -0.954 -0.182  -0.954 -0.324  -0.954 -0.467  -0.954 -0.610  -0.869 -0.718  -0.768 -0.819  -0.667 -0.920  -0.555 -0.993  -0.412 -0.993  -0.269 -0.993  -0.126 -0.993  0.017 -0.993  0.160 -0.993  0.303 -0.993  0.446 -0.993  0.558 -0.919  0.659 -0.818  0.760 -0.717  0.861 -0.616  0.962 -0.515  1.023 -0.397  1.023 -0.254  1.023 -0.111  1.023 0.032  0.959 0.149  0.858 0.250  0.843 0.386  0.783 0.504  0.682 0.605  0.559 0.676  0.432 0.740  0.304 0.804
1c#app#app19#app1962/p  -0.131 0.714  -0.212 0.618  -0.323 0.497  -0.323 0.321  -0.323 0.144  -0.323 -0.032  -0.323 -0.208  -0.323 -0.384  -0.236 -0.525  -0.176 -0.689  -0.131 -0.858  -0.117 -1.028  -0.008 -1.164  0.061 -1.324  0.066 -1.498  0.156 -1.637  0.247 -1.776  0.156 -1.708  0.156 -1.532  0.061 -1.396  0.024 -1.228  -0.035 -1.066  -0.048 -0.893  -0.127 -0.735  -0.131 -0.560  -0.131 -0.384  -0.144 -0.209  -0.199 -0.042  -0.227 0.130  -0.227 0.306  -0.227 0.482  -0.227 0.658  -0.227 0.834  -0.227 1.011  -0.227 1.187  -0.227 1.363  -0.113 1.481  0.063 1.481  0.215 1.422  0.280 1.289  0.357 1.185  0.481 1.060  0.540 0.908  0.636 0.772  0.636 0.596  0.630 0.426  0.454 0.426  0.277 0.426  0.141 0.522  0.061 0.618
1c#app#app19#app1962/p  -0.398 0.190  -0.398 0.038  -0.398 -0.114  -0.398 -0.266  -0.398 -0.417  -0.398 -0.569  -0.322 -0.689  -0.298 -0.831  -0.298 -0.983  -0.212 -1.099  -0.139 -1.231  -0.098 -1.373  -0.019 -1.493  0.017 -1.629  0.103 -1.685  0.103 -1.533  0.103 -1.381  0.103 -1.230  0.103 -1.078  0.064 -0.935  0.003 -0.798  0.003 -0.646  0.003 -0.494  0.003 -0.342  -0.004 -0.192  -0.052 -0.048  -0.098 0.097  -0.098 0.249  -0.098 0.400  -0.098 0.552  -0.098 0.704  -0.098 0.856  -0.098 1.008  -0.098 1.159  -0.044 1.299  0.003 1.439  0.003 1.591  0.138 1.559  0.203 1.434  0.281 1.315  0.389 1.208  0.496 1.100  0.504 0.952  0.504 0.800  0.504 0.648  0.504 0.496  0.358 0.491  0.206 0.491  0.054 0.491  -0.098 0.491
1c#app#app19#app1962/o  0.363 0.291  0.247 0.407  0.131 0.522  0.016 0.638  -0.108 0.734  -0.272 0.734  -0.435 0.734  -0.599 0.734  -0.763 0.734  -0.926 0.734  -0.966 0.610  -1.013 0.466  -1.128 0.350  -1.188 0.211  -1.172 0.054  -1.056 -0.062  -0.950 -0.185  -0.877 -0.331  -0.804 -0.477  -0.722 -0.618  -0.606 -0.733  -0.477 -0.817  -0.314 -0.817  -0.194 -0.924  -0.078 -1.038  0.086 -1.038  0.249 -1.038  0.413 -1.038  0.576 -1.038  0.740 -1.038  0.904 -1.038  1.027 -0.998  1.027 -0.834  1.027 -0.671  1.027 -0.507  1.027 -0.344  1.027 -0.180  0.931 -0.056  0.816 0.060  0.806 0.219  0.724 0.332  0.577 0.405  0.431 0.478  0.363 0.600  0.342 0.755  0.226 0.871  0.098 0.955  -0.066 0.955  -0.186 1.061  -0.302 1.177
1c#app#app19#app1962/r  -0.291 -0.844  -0.387 -0.844  -0.464 -0.862  -0.464 -0.957  -0.464 -1.053  -0.464 -1.148  -0.464 -1.244  -0.464 -1.339  -0.392 -1.362  -0.296 -1.362  -0.291 -1.272  -0.291 -1.176  -0.291 -1.081  -0.291 -0.985  -0.291 -0.890  -0.291 -0.795  -0.291 -0.699  -0.291 -0.604  -0.291 -0.508  -0.291 -0.413  -0.291 -0.317  -0.291 -0.222  -0.291 -0.127  -0.291 -0.031  -0.291 0.064  -0.291 0.160  -0.264 0.249  -0.221 0.334  -0.178 0.419  -0.136 0.505  -0.119 0.596  -0.119 0.691  -0.065 0.765  0.002 0.832  0.076 0.884  0.172 0.884  0.227 0.924  0.227 1.020  0.285 1.057  0.381 1.057  0.476 1.057  0.572 1.057  0.667 1.057  0.762 1.057  0.858 1.057  0.943 1.032  1.010 0.964  1.078 0.897  1.091 0.807  1.091 0.711
1c#app#app19#app1962/t  -0.234 1.430  -0.115 1.549  -0.022 1.680  -0.122 1.749  -0.128 1.586  -0.137 1.420  -0.234 1.291  -0.234 1.122  -0.234 0.953  -0.234 0.784  -0.234 0.615  -0.234 0.446  -0.234 0.277  -0.234 0.107  -0.234 -0.062  -0.234 -0.231  -0.234 -0.400  -0.187 -0.555  -0.093 -0.696  0.006 -0.831  0.126 -0.951  0.246 -1.071  0.365 -1.190  0.518 -1.229  0.687 -1.229  0.857 -1.229  1.026 -1.229  1.111 -1.201  0.975 -1.101  0.838 -1.001  0.702 -0.900  0.566 -0.800  0.430 -0.700  0.294 -0.599  0.158 -0.499  0.021 -0.399  -0.115 -0.298  -0.251 -0.198  -0.387 -0.098  -0.523 0.003  -0.659 0.103  -0.796 0.203  -0.798 0.260  -0.660 0.290  -0.566 0.366  -0.412 0.401  -0.272 0.473  -0.103 0.473  0.040 0.535  0.191 0.579
1c#app#app19#app1962/u  -0.705 0.905  -0.596 0.905  -0.548 0.966  -0.548 1.076  -0.548 1.186  -0.623 1.220  -0.705 1.193  -0.705 1.083  -0.705 0.974  -0.705 0.864  -0.705 0.754  -0.705 0.644  -0.705 0.535  -0.705 0.425  -0.705 0.315  -0.705 0.206  -0.705 0.096  -0.705 -0.014  -0.705 -0.123  -0.682 -0.223  -0.604 -0.301  -0.548 -0.387  -0.548 -0.497  -0.483 -0.580  -0.405 -0.657  -0.328 -0.735  -0.250 -0.813  -0.148 -0.831  -0.038 -0.831  0.071 -0.831  0.181 -0.831  0.291 -0.831  0.400 -0.831  0.510 -0.831  0.620 -0.831  0.725 -0.820  0.803 -0.743  0.880 -0.665  0.958 -0.588  1.030 -0.508  1.030 -0.398  1.030 -0.289  1.030 -0.179  1.030 -0.069  1.030 0.041  1.030 0.150  1.030 0.260  1.030 0.370  1.030 0.479  1.030 0.589
1c#app#app19#app1962/n  -0.742 1.102  -0.578 1.102  -0.533 1.221  -0.533 1.236  -0.533 1.072  -0.533 0.908  -0.533 0.744  -0.607 0.611  -0.723 0.495  -0.742 0.339  -0.742 0.175  -0.742 0.011  -0.742 -0.153  -0.742 -0.317  -0.828 -0.446  -0.944 -0.561  -0.951 -0.722  -0.842 -0.778  -0.742 -0.713  -0.723 -0.569  -0.559 -0.569  -0.533 -0.430  -0.440 -0.360  -0.303 -0.316  -0.229 -0.170  -0.156 -0.023  -0.064 0.110  0.052 0.226  0.093 0.373  0.155 0.475  0.302 0.492  0.302 0.656  0.438 0.684  0.602 0.684  0.720 0.638  0.721 0.475  0.885 0.475  0.928 0.355  0.928 0.191  0.928 0.027  0.928 -0.137  0.928 -0.301  0.928 -0.465  0.928 -0.629  0.928 -0.793  0.928 -0.957  0.928 -1.121  0.928 -1.285  0.928 -1.449  0.928 -1.613
1c#app#app19#app1962/i  -0.554 1.210  -0.467 1.210  -0.379 1.210  -0.305 1.224  -0.305 1.311  -0.305 1.399  -0.305 1.431  -0.305 1.344  -0.305 1.256  -0.305 1.168  -0.305 1.081  -0.305 0.993  -0.305 0.906  -0.305 0.818  -0.305 0.730  -0.305 0.643  -0.305 0.555  -0.305 0.468  -0.305 0.380  -0.305 0.292  -0.297 0.213  -0.209 0.213  -0.121 0.213  -0.056 0.191  -0.056 0.103  -0.056 0.016  -0.056 -0.072  -0.056 -0.160  -0.056 -0.247  -0.034 -0.329  0.005 -0.408  0.045 -0.486  0.084 -0.565  0.123 -0.643  0.162 -0.721  0.193 -0.802  0.193 -0.889  0.193 -0.977  0.225 -1.032  0.313 -1.032  0.401 -1.032  0.442 -1.078  0.442 -1.166  0.442 -1.253  0.502 -1.281  0.590 -1.281  0.677 -1.281  0.765 -1.281  0.852 -1.281  0.940 -1.281
1c#app#app19#app1962/t  -0.315 2.128  -0.172 2.108  -0.172 1.945  -0.172 1.782  -0.172 1.619  -0.172 1.456  -0.172 1.293  -0.172 1.130  -0.172 0.968  -0.172 0.805  -0.172 0.642  -0.172 0.479  -0.172 0.316  -0.172 0.153  -0.172 -0.010  -0.172 -0.173  -0.172 -0.335  -0.172 -0.498  -0.112 -0.636  -0.030 -0.765  0.018 -0.908  0.133 -1.023  0.248 -1.139  0.266 -1.288  0.419 -1.310  0.534 -1.425  0.674 -1.419  0.576 -1.289  0.478 -1.159  0.380 -1.028  0.283 -0.898  0.185 -0.768  0.087 -0.638  -0.010 -0.507  -0.108 -0.377  -0.206 -0.247  -0.304 -0.116  -0.401 0.014  -0.499 0.144  -0.597 0.275  -0.583 0.135  -0.420 0.135  -0.257 0.135  -0.094 0.135  0.069 0.135  0.197 0.051  0.335 -0.007  0.498 -0.007  0.661 -0.007  0.824 -0.007
1c#app#app19#app1962/y  -1.305 0.906  -1.171 0.906  -1.152 0.790  -1.055 0.753  -0.943 0.697  -0.848 0.602  -0.753 0.507  -0.648 0.425  -0.528 0.364  -0.408 0.304  -0.387 0.183  -0.294 0.140  -0.181 0.088  -0.086 -0.007  0.002 0.083  0.090 0.185  0.177 0.288  0.265 0.390  0.352 0.492  0.440 0.594  0.527 0.696  0.615 0.798  0.703 0.901  0.790 1.003  0.838 0.999  0.809 0.876  0.714 0.781  0.685 0.659  0.651 0.532  0.591 0.412  0.532 0.291  0.532 0.156  0.448 0.057  0.353 -0.039  0.258 -0.134  0.226 -0.255  0.226 -0.390  0.189 -0.509  0.094 -0.604  0.026 -0.719  -0.034 -0.839  -0.080 -0.963  -0.080 -1.097  -0.080 -1.232  -0.080 -1.367  -0.130 -1.489  -0.190 -1.610  -0.233 -1.734  -0.233 -1.869  -0.233 -2.003
