1b#app#app19#app1905/F  -0.769 -0.852  -0.769 -0.615  -0.769 -0.379  -0.769 -0.143  -0.626 -0.049  -0.663 0.150  -0.769 0.020  -0.689 -0.136  -0.626 -0.310  -0.626 -0.546  -0.626 -0.783  -0.602 -0.995  -0.483 -1.112  -0.550 -0.995  -0.626 -0.834  -0.705 -0.630  -0.769 -0.421  -0.769 -0.184  -0.769 0.052  -0.769 0.288  -0.681 0.436  -0.599 0.607  -0.411 0.722  -0.317 0.866  -0.115 0.948  0.096 1.009  0.303 1.079  0.510 1.152  0.746 1.152  0.982 1.152  1.219 1.152  1.432 1.097  1.520 0.897  1.388 0.709  1.235 0.529  1.083 0.348  0.930 0.168  0.777 -0.013  0.625 -0.193  0.472 -0.374  0.319 -0.554  0.167 -0.734  0.014 -0.915  -0.054 -0.863  -0.054 -0.627  0.070 -0.442  0.239 -0.279  0.475 -0.279  0.569 -0.136  0.805 -0.136
1b#app#app19#app1905/P  0.243 -0.086  0.187 0.080  0.131 0.023  0.046 -0.147  0.022 -0.331  0.022 -0.521  0.022 -0.711  0.022 -0.900  0.022 -1.090  0.022 -1.280  0.022 -1.470  0.013 -1.611  -0.054 -1.434  -0.120 -1.256  -0.187 -1.078  -0.254 -0.901  -0.320 -0.723  -0.387 -0.545  -0.453 -0.368  -0.520 -0.190  -0.587 -0.012  -0.653 0.165  -0.720 0.343  -0.787 0.521  -0.853 0.698  -0.920 0.876  -0.974 1.056  -0.858 1.130  -0.753 1.214  -0.589 1.241  -0.400 1.241  -0.210 1.241  -0.020 1.241  0.126 1.136  0.268 1.020  0.458 1.020  0.602 0.909  0.760 0.834  0.894 0.700  0.950 0.533  1.017 0.371  1.017 0.181  0.953 0.007  0.846 -0.147  0.711 -0.281  0.577 -0.415  0.411 -0.471  0.245 -0.529  0.101 -0.639  -0.089 -0.639
1b#app#app19#app1905/E  -0.300 0.296  -0.300 0.467  -0.300 0.303  -0.465 0.296  -0.475 0.135  -0.475 -0.036  -0.475 -0.208  -0.475 -0.379  -0.475 -0.551  -0.475 -0.722  -0.475 -0.893  -0.475 -1.065  -0.382 -1.197  -0.244 -1.279  -0.072 -1.279  0.099 -1.279  0.270 -1.279  0.429 -1.249  0.551 -1.127  0.672 -1.006  0.694 -0.901  0.541 -0.824  0.387 -0.748  0.234 -0.671  0.081 -0.594  -0.073 -0.518  -0.226 -0.441  -0.300 -0.316  -0.216 -0.229  -0.126 -0.148  -0.048 -0.054  0.123 -0.054  0.295 -0.054  0.357 -0.002  0.250 0.132  0.143 0.266  0.036 0.400  -0.071 0.534  -0.178 0.668  -0.285 0.801  -0.300 0.967  -0.199 1.097  -0.078 1.218  0.043 1.339  0.164 1.461  0.286 1.582  0.410 1.695  0.574 1.703  0.578 1.870  0.749 1.870
1b#app#app19#app1905/C  0.740 -0.034  0.740 0.080  0.740 0.077  0.740 -0.031  0.740 0.083  0.740 0.197  0.744 0.309  0.825 0.389  0.905 0.469  0.909 0.582  0.909 0.695  0.909 0.809  0.830 0.890  0.750 0.970  0.640 0.980  0.527 0.980  0.413 0.980  0.299 0.980  0.186 0.980  0.072 0.980  -0.011 0.906  -0.091 0.825  -0.172 0.745  -0.252 0.664  -0.332 0.584  -0.413 0.504  -0.443 0.402  -0.454 0.293  -0.535 0.213  -0.615 0.132  -0.695 0.052  -0.776 -0.028  -0.781 -0.140  -0.781 -0.254  -0.781 -0.367  -0.781 -0.481  -0.781 -0.595  -0.781 -0.708  -0.781 -0.822  -0.741 -0.919  -0.660 -1.000  -0.580 -1.080  -0.500 -1.160  -0.409 -1.217  -0.296 -1.217  -0.192 -1.258  -0.090 -1.309  0.012 -1.360  0.119 -1.386  0.233 -1.386
1b#app#app19#app1905/T  0.038 -0.005  -0.052 -0.095  -0.108 -0.200  -0.108 -0.328  -0.108 -0.456  -0.108 -0.584  -0.108 -0.712  -0.108 -0.840  -0.068 -0.959  -0.011 -1.073  0.038 -1.190  0.038 -1.317  0.038 -1.445  0.150 -1.462  0.144 -1.376  0.091 -1.260  0.037 -1.144  -0.016 -1.028  -0.070 -0.912  -0.124 -0.796  -0.177 -0.679  -0.231 -0.563  -0.284 -0.447  -0.338 -0.331  -0.392 -0.215  -0.445 -0.099  -0.499 0.018  -0.553 0.134  -0.606 0.250  -0.660 0.366  -0.690 0.487  -0.653 0.578  -0.545 0.597  -0.543 0.724  -0.415 0.724  -0.320 0.803  -0.219 0.869  -0.093 0.876  0.021 0.934  0.136 0.991  0.258 1.015  0.386 1.015  0.503 1.042  0.593 1.133  0.710 1.161  0.837 1.161  0.965 1.161  1.093 1.161  1.221 1.161  1.349 1.161
1b#app#app19#app1905/E  -0.538 0.196  -0.538 0.338  -0.557 0.178  -0.676 0.058  -0.693 -0.103  -0.693 -0.271  -0.693 -0.440  -0.693 -0.608  -0.693 -0.776  -0.693 -0.945  -0.625 -1.045  -0.538 -1.126  -0.444 -1.201  -0.275 -1.201  -0.107 -1.201  -0.072 -1.067  0.075 -1.045  0.238 -1.040  0.256 -0.890  0.425 -0.890  0.593 -0.890  0.659 -0.853  0.530 -0.745  0.401 -0.638  0.271 -0.530  0.142 -0.422  0.012 -0.314  -0.117 -0.206  -0.227 -0.090  -0.190 0.041  -0.021 0.041  0.147 0.041  0.315 0.041  0.484 0.041  0.502 0.134  0.427 0.284  0.352 0.435  0.276 0.586  0.201 0.736  0.126 0.887  0.050 1.038  -0.025 1.188  -0.072 1.345  0.004 1.438  0.083 1.527  0.185 1.593  0.354 1.593  0.522 1.593  0.691 1.593  0.859 1.593
1b#app#app19#app1905/D  -0.644 0.204  -0.644 0.308  -0.579 0.204  -0.506 0.106  -0.506 -0.064  -0.506 -0.234  -0.506 -0.403  -0.416 -0.483  -0.369 -0.606  -0.427 -0.476  -0.490 -0.318  -0.553 -0.160  -0.616 -0.003  -0.679 0.155  -0.742 0.313  -0.805 0.470  -0.868 0.628  -0.893 0.778  -0.773 0.898  -0.653 1.018  -0.487 1.027  -0.317 1.027  -0.147 1.027  0.022 1.027  0.176 0.960  0.329 0.886  0.490 0.832  0.651 0.779  0.791 0.691  0.930 0.615  1.072 0.548  1.192 0.428  1.278 0.294  1.278 0.124  1.278 -0.046  1.176 -0.173  1.056 -0.293  0.936 -0.413  0.816 -0.534  0.696 -0.654  0.569 -0.757  0.405 -0.782  0.253 -0.858  0.118 -0.957  -0.021 -1.032  -0.181 -1.075  -0.333 -1.151  -0.460 -1.261  -0.611 -1.307  -0.781 -1.307
1b#app#app19#app1905/A  -1.115 -1.050  -1.072 -0.857  -0.923 -0.709  -0.775 -0.560  -0.668 -0.394  -0.583 -0.220  -0.520 -0.036  -0.391 0.121  -0.348 0.313  -0.200 0.462  -0.073 0.619  -0.073 0.829  0.035 0.995  0.076 1.188  0.076 1.398  0.076 1.608  0.076 1.818  0.076 1.830  0.076 1.620  0.076 1.410  0.076 1.200  0.076 0.990  0.076 0.780  0.076 0.570  0.133 0.383  0.225 0.211  0.225 0.001  0.225 -0.209  0.306 -0.385  0.374 -0.567  0.374 -0.777  0.461 -0.901  0.523 -1.048  0.565 -1.241  0.714 -1.389  0.779 -1.455  0.631 -1.306  0.482 -1.158  0.334 -1.009  0.185 -0.860  0.037 -0.712  -0.112 -0.563  -0.261 -0.415  -0.409 -0.266  -0.466 -0.156  -0.289 -0.075  -0.107 -0.007  0.103 -0.007  0.313 -0.007  0.523 -0.007
1b#app#app19#app1905/J  0.397 1.639  0.294 1.639  0.192 1.639  0.152 1.576  0.152 1.474  0.152 1.371  0.152 1.269  0.152 1.167  0.152 1.064  0.152 0.962  0.152 0.859  0.161 0.758  0.193 0.661  0.225 0.564  0.258 0.467  0.274 0.367  0.295 0.274  0.368 0.201  0.397 0.111  0.397 0.009  0.419 -0.072  0.519 -0.074  0.519 -0.176  0.519 -0.279  0.519 -0.381  0.551 -0.470  0.623 -0.543  0.641 -0.638  0.600 -0.723  0.528 -0.796  0.429 -0.805  0.327 -0.805  0.225 -0.805  0.122 -0.805  0.020 -0.805  -0.082 -0.805  -0.185 -0.805  -0.287 -0.805  -0.374 -0.767  -0.446 -0.695  -0.544 -0.683  -0.646 -0.683  -0.744 -0.662  -0.835 -0.617  -0.927 -0.571  -1.027 -0.561  -1.129 -0.561  -1.231 -0.561  -1.334 -0.561  -1.436 -0.561
1b#app#app19#app1905/E  -0.384 0.500  -0.551 0.500  -0.678 0.461  -0.678 0.294  -0.678 0.127  -0.678 -0.040  -0.678 -0.207  -0.678 -0.373  -0.678 -0.540  -0.678 -0.707  -0.645 -0.860  -0.531 -0.980  -0.513 -1.139  -0.395 -1.257  -0.234 -1.266  -0.115 -1.148  0.040 -1.121  0.207 -1.120  0.356 -1.046  0.506 -0.974  0.666 -0.956  0.784 -0.838  0.940 -0.825  0.795 -0.742  0.650 -0.659  0.505 -0.576  0.360 -0.493  0.215 -0.411  0.070 -0.328  -0.075 -0.245  -0.086 -0.089  0.074 -0.073  0.192 0.045  0.354 0.058  0.472 0.176  0.439 0.315  0.358 0.461  0.277 0.607  0.196 0.753  0.115 0.899  0.034 1.045  -0.047 1.191  -0.128 1.337  -0.209 1.483  -0.236 1.421  -0.106 1.384  0.060 1.386  0.178 1.504  0.334 1.532  0.501 1.532
1b#app#app19#app1905/J  0.190 1.252  0.285 1.252  0.307 1.325  0.255 1.368  0.190 1.398  0.182 1.485  0.087 1.485  0.074 1.403  0.074 1.309  0.074 1.214  0.074 1.119  0.074 1.025  0.074 0.930  0.074 0.835  0.074 0.741  0.074 0.646  0.076 0.552  0.143 0.485  0.190 0.410  0.190 0.316  0.190 0.221  0.190 0.126  0.231 0.049  0.298 -0.018  0.307 -0.110  0.307 -0.204  0.307 -0.299  0.307 -0.394  0.307 -0.488  0.307 -0.583  0.307 -0.678  0.307 -0.772  0.307 -0.867  0.303 -0.960  0.236 -1.027  0.161 -1.073  0.066 -1.073  -0.028 -1.073  -0.123 -1.073  -0.218 -1.073  -0.301 -1.047  -0.368 -0.980  -0.454 -0.957  -0.548 -0.957  -0.641 -0.948  -0.725 -0.906  -0.810 -0.864  -0.899 -0.841  -0.994 -0.841  -1.089 -0.841
1b#app#app19#app1905/U  -1.201 0.341  -1.201 0.450  -1.201 0.440  -1.201 0.330  -1.201 0.221  -1.201 0.112  -1.187 0.008  -1.109 -0.069  -1.032 -0.146  -0.955 -0.224  -0.884 -0.303  -0.884 -0.413  -0.815 -0.454  -0.711 -0.467  -0.634 -0.544  -0.553 -0.612  -0.444 -0.612  -0.356 -0.664  -0.278 -0.741  -0.181 -0.771  -0.072 -0.771  0.037 -0.771  0.147 -0.771  0.256 -0.771  0.365 -0.771  0.387 -0.684  0.425 -0.612  0.535 -0.612  0.615 -0.543  0.693 -0.466  0.770 -0.389  0.847 -0.311  0.864 -0.209  0.864 -0.099  0.864 0.010  0.864 0.119  0.864 0.229  0.864 0.338  0.864 0.447  0.823 0.540  0.746 0.617  0.705 0.709  0.704 0.818  0.626 0.896  0.549 0.973  0.472 1.050  0.394 1.128  0.387 1.234  0.387 1.343  0.387 1.453
1b#app#app19#app1905/N  -0.514 0.330  -0.514 0.131  -0.594 -0.036  -0.657 -0.209  -0.657 -0.408  -0.657 -0.607  -0.657 -0.807  -0.657 -1.006  -0.550 -1.098  -0.514 -1.262  -0.437 -1.384  -0.371 -1.250  -0.371 -1.051  -0.371 -0.852  -0.383 -0.657  -0.514 -0.512  -0.514 -0.313  -0.514 -0.114  -0.527 0.084  -0.590 0.273  -0.653 0.462  -0.789 0.605  -0.799 0.801  -0.799 0.803  -0.657 0.746  -0.608 0.567  -0.514 0.407  -0.427 0.243  -0.251 0.187  -0.104 0.063  0.037 -0.078  0.220 -0.118  0.361 -0.259  0.509 -0.384  0.708 -0.384  0.907 -0.384  1.107 -0.384  1.306 -0.384  1.343 -0.222  1.343 -0.023  1.343 0.177  1.310 0.363  1.170 0.503  1.029 0.644  0.888 0.785  0.747 0.926  0.606 1.067  0.486 1.217  0.400 1.330  0.343 1.473
1b#app#app19#app1905/E  -0.490 0.168  -0.356 0.200  -0.420 0.303  -0.490 0.207  -0.490 0.040  -0.490 -0.126  -0.490 -0.293  -0.490 -0.459  -0.490 -0.626  -0.383 -0.748  -0.356 -0.903  -0.221 -0.935  -0.163 -1.044  -0.023 -1.108  0.048 -1.245  0.146 -1.314  0.312 -1.314  0.471 -1.295  0.585 -1.177  0.479 -1.049  0.372 -0.921  0.265 -0.793  0.159 -0.665  0.052 -0.537  -0.055 -0.409  -0.086 -0.488  -0.221 -0.491  -0.267 -0.371  -0.356 -0.293  -0.246 -0.236  -0.081 -0.231  0.036 -0.113  0.198 -0.101  0.303 -0.057  0.250 0.101  0.198 0.259  0.145 0.417  0.092 0.575  0.040 0.733  -0.013 0.892  -0.066 1.050  -0.086 1.213  -0.086 1.379  0.031 1.498  0.055 1.650  0.222 1.650  0.381 1.682  0.530 1.756  0.690 1.785  0.857 1.785
