3#app#app12#app1269/a  0.542 0.962  0.435 1.069  0.284 1.069  0.133 1.069  -0.019 1.069  -0.163 1.037  -0.298 0.970  -0.341 0.855  -0.492 0.855  -0.534 0.742  -0.641 0.635  -0.750 0.534  -0.849 0.481  -0.849 0.330  -0.949 0.220  -0.980 0.081  -1.063 -0.036  -1.063 -0.187  -1.063 -0.339  -1.021 -0.472  -0.956 -0.597  -0.956 -0.748  -0.915 -0.858  -0.849 -0.944  -0.719 -0.965  -0.568 -0.965  -0.449 -0.886  -0.310 -0.855  -0.184 -0.771  -0.058 -0.687  0.059 -0.592  0.166 -0.485  0.254 -0.365  0.322 -0.229  0.425 -0.119  0.532 -0.012  0.639 0.095  0.746 0.202  0.786 0.319  0.863 0.393  0.863 0.309  0.863 0.157  0.863 0.006  0.900 -0.109  0.970 -0.190  1.091 -0.229  1.185 -0.341  1.247 -0.430  1.367 -0.506  1.506 -0.537
3#app#app12#app1269/l  -0.066 1.624  -0.066 1.553  -0.031 1.516  0.040 1.516  0.042 1.447  0.042 1.376  0.042 1.305  0.042 1.234  0.042 1.163  0.042 1.092  0.042 1.021  0.042 0.950  0.042 0.879  0.042 0.808  0.042 0.737  0.042 0.666  0.042 0.595  0.042 0.524  0.042 0.453  0.042 0.382  0.042 0.311  0.042 0.240  0.042 0.169  0.042 0.097  0.042 0.026  0.042 -0.045  0.042 -0.116  0.042 -0.187  0.042 -0.258  0.042 -0.329  0.042 -0.400  0.042 -0.471  0.029 -0.537  -0.021 -0.587  -0.066 -0.639  -0.066 -0.710  -0.066 -0.781  -0.066 -0.853  -0.066 -0.924  -0.066 -0.995  -0.066 -1.066  -0.066 -1.137  -0.066 -1.208  -0.066 -1.279  -0.066 -1.350  -0.066 -1.421  -0.066 -1.492  -0.066 -1.563  -0.066 -1.634  -0.066 -1.705
3#app#app12#app1269/m  -1.017 0.290  -1.017 0.107  -1.017 -0.076  -0.995 -0.237  -0.885 -0.310  -0.885 -0.493  -0.885 -0.676  -0.885 -0.859  -0.885 -1.042  -0.885 -1.224  -0.885 -1.178  -0.885 -0.995  -0.885 -0.812  -0.824 -0.643  -0.753 -0.477  -0.753 -0.294  -0.753 -0.111  -0.721 0.059  -0.591 0.188  -0.489 0.328  -0.426 0.485  -0.357 0.640  -0.225 0.691  -0.169 0.818  -0.093 0.711  0.039 0.660  0.039 0.477  0.039 0.294  0.039 0.111  0.039 -0.072  0.144 -0.211  0.185 -0.369  0.367 -0.369  0.435 -0.253  0.459 -0.081  0.566 0.058  0.625 0.217  0.698 0.369  0.790 0.514  0.830 0.681  0.956 0.812  1.094 0.776  1.187 0.686  1.226 0.542  1.289 0.422  1.358 0.308  1.358 0.125  1.418 -0.033  1.490 -0.186  1.490 -0.369
3#app#app12#app1269/n  -0.702 1.206  -0.702 1.029  -0.702 0.853  -0.702 0.676  -0.636 0.527  -0.511 0.402  -0.497 0.231  -0.497 0.054  -0.497 -0.123  -0.497 -0.299  -0.497 -0.476  -0.497 -0.653  -0.497 -0.829  -0.497 -1.006  -0.497 -1.183  -0.497 -1.360  -0.497 -1.372  -0.497 -1.196  -0.497 -1.019  -0.497 -0.842  -0.497 -0.666  -0.497 -0.489  -0.413 -0.347  -0.292 -0.220  -0.292 -0.044  -0.292 0.133  -0.292 0.310  -0.222 0.458  -0.097 0.583  -0.088 0.755  0.008 0.892  0.117 1.024  0.117 1.200  0.288 1.206  0.465 1.206  0.578 1.103  0.657 0.945  0.731 0.786  0.731 0.609  0.844 0.479  0.936 0.341  0.936 0.164  0.936 -0.013  0.936 -0.189  0.936 -0.366  0.936 -0.543  0.936 -0.720  0.936 -0.896  0.936 -1.073  0.936 -1.250
3#app#app12#app1269/o  -0.365 0.809  -0.365 0.667  -0.365 0.525  -0.481 0.499  -0.520 0.396  -0.520 0.254  -0.520 0.111  -0.520 -0.031  -0.520 -0.173  -0.520 -0.315  -0.520 -0.457  -0.520 -0.600  -0.520 -0.742  -0.520 -0.884  -0.520 -1.026  -0.520 -1.168  -0.417 -1.208  -0.365 -1.297  -0.288 -1.363  -0.146 -1.363  -0.004 -1.363  0.101 -1.325  0.118 -1.190  0.219 -1.090  0.256 -0.963  0.310 -0.843  0.411 -0.743  0.411 -0.601  0.411 -0.459  0.493 -0.350  0.566 -0.239  0.566 -0.096  0.566 0.046  0.566 0.188  0.566 0.330  0.566 0.472  0.566 0.615  0.566 0.757  0.566 0.899  0.512 1.019  0.412 1.119  0.411 1.261  0.283 1.275  0.256 1.390  0.153 1.430  0.037 1.367  -0.063 1.266  -0.164 1.166  -0.264 1.065  -0.365 0.964
3#app#app12#app1269/p  -0.103 -0.113  -0.103 -0.258  -0.103 -0.402  -0.103 -0.547  -0.103 -0.692  -0.103 -0.837  -0.103 -0.981  -0.103 -1.126  -0.136 -1.257  -0.196 -1.377  -0.196 -1.522  -0.196 -1.667  -0.213 -1.564  -0.234 -1.421  -0.254 -1.278  -0.275 -1.134  -0.295 -0.991  -0.316 -0.848  -0.336 -0.704  -0.357 -0.561  -0.377 -0.418  -0.398 -0.274  -0.418 -0.131  -0.439 0.012  -0.459 0.155  -0.474 0.299  -0.474 0.444  -0.436 0.573  -0.334 0.675  -0.288 0.801  -0.194 0.907  -0.103 1.014  -0.042 1.121  0.086 1.188  0.175 1.296  0.246 1.369  0.391 1.369  0.452 1.285  0.545 1.233  0.638 1.181  0.676 1.052  0.730 0.930  0.730 0.785  0.730 0.640  0.730 0.496  0.665 0.378  0.563 0.275  0.426 0.257  0.304 0.202  0.175 0.165
3#app#app12#app1269/q  0.048 1.458  -0.078 1.332  -0.276 1.236  -0.406 1.112  -0.500 0.910  -0.600 0.710  -0.765 0.537  -0.859 0.335  -0.924 0.121  -0.816 -0.013  -0.660 -0.162  -0.472 -0.034  -0.276 0.063  -0.144 0.186  -0.060 0.393  0.044 0.591  0.156 0.722  0.188 0.950  0.264 1.160  0.264 1.401  0.264 1.273  0.264 1.032  0.156 0.836  0.156 0.595  0.156 0.353  0.134 0.117  0.048 -0.104  0.030 -0.342  -0.029 -0.576  -0.060 -0.814  -0.060 -1.055  -0.060 -1.296  -0.060 -1.537  -0.060 -1.778  0.033 -1.981  0.156 -1.885  0.253 -1.684  0.264 -1.448  0.264 -1.207  0.264 -0.965  0.350 -0.745  0.372 -0.509  0.372 -0.267  0.276 -0.066  0.256 0.162  0.048 0.129  0.214 0.054  0.431 0.114  0.633 0.208  0.804 0.378
3#app#app12#app1269/r  -0.599 0.144  -0.599 0.025  -0.536 -0.068  -0.452 -0.152  -0.451 -0.271  -0.451 -0.390  -0.409 -0.492  -0.325 -0.576  -0.302 -0.686  -0.302 -0.805  -0.302 -0.924  -0.302 -1.043  -0.302 -1.162  -0.302 -1.282  -0.302 -1.401  -0.302 -1.458  -0.302 -1.339  -0.302 -1.220  -0.302 -1.101  -0.302 -0.982  -0.279 -0.872  -0.195 -0.788  -0.154 -0.686  -0.154 -0.567  -0.154 -0.448  -0.154 -0.329  -0.154 -0.210  -0.154 -0.091  -0.154 0.029  -0.151 0.147  -0.067 0.231  -0.005 0.324  -0.005 0.444  -0.005 0.563  0.060 0.655  0.143 0.739  0.143 0.859  0.208 0.951  0.292 1.035  0.376 1.119  0.440 1.212  0.440 1.331  0.559 1.332  0.678 1.332  0.779 1.290  0.863 1.205  0.974 1.183  1.034 1.125  1.063 1.035  1.182 1.035
3#app#app12#app1269/s  0.118 1.743  0.118 1.632  0.061 1.545  -0.017 1.466  -0.022 1.357  -0.097 1.321  -0.163 1.276  -0.163 1.165  -0.163 1.055  -0.259 1.040  -0.303 0.973  -0.329 0.873  -0.408 0.795  -0.444 0.699  -0.465 0.597  -0.544 0.519  -0.584 0.425  -0.584 0.314  -0.584 0.203  -0.584 0.092  -0.584 -0.019  -0.539 -0.084  -0.428 -0.084  -0.317 -0.084  -0.206 -0.084  -0.095 -0.084  0.016 -0.084  0.127 -0.084  0.237 -0.084  0.348 -0.084  0.442 -0.126  0.520 -0.205  0.540 -0.307  0.540 -0.418  0.540 -0.529  0.540 -0.640  0.540 -0.751  0.540 -0.862  0.540 -0.972  0.524 -1.068  0.414 -1.068  0.399 -1.164  0.332 -1.208  0.259 -1.246  0.251 -1.349  0.140 -1.349  0.029 -1.349  -0.022 -1.289  -0.052 -1.208  -0.163 -1.208
3#app#app12#app1269/t  -0.233 0.829  -0.220 0.690  -0.093 0.664  -0.093 0.511  -0.093 0.359  -0.093 0.207  -0.093 0.054  -0.093 -0.098  -0.093 -0.250  -0.093 -0.403  -0.093 -0.555  -0.093 -0.707  -0.093 -0.860  -0.093 -1.012  -0.093 -1.164  -0.093 -1.317  -0.093 -1.469  -0.129 -1.469  -0.197 -1.333  -0.266 -1.196  -0.334 -1.060  -0.402 -0.924  -0.470 -0.788  -0.538 -0.651  -0.606 -0.515  -0.674 -0.379  -0.742 -0.243  -0.811 -0.106  -0.879 0.030  -0.930 0.170  -0.879 0.271  -0.726 0.271  -0.574 0.271  -0.448 0.335  -0.327 0.411  -0.175 0.411  -0.030 0.443  0.106 0.511  0.243 0.579  0.379 0.647  0.521 0.690  0.673 0.690  0.802 0.748  0.920 0.829  1.058 0.865  1.167 0.968  1.320 0.968  1.472 0.968  1.611 1.000  1.719 1.108
3#app#app12#app1269/u  -0.945 0.825  -0.945 0.720  -0.945 0.615  -0.945 0.510  -0.945 0.405  -0.945 0.300  -0.945 0.195  -0.945 0.090  -0.945 -0.015  -0.931 -0.117  -0.884 -0.211  -0.837 -0.305  -0.790 -0.399  -0.762 -0.498  -0.762 -0.603  -0.762 -0.708  -0.762 -0.813  -0.666 -0.823  -0.561 -0.823  -0.456 -0.823  -0.350 -0.823  -0.245 -0.823  -0.140 -0.823  -0.035 -0.823  0.041 -0.752  0.115 -0.678  0.154 -0.589  0.154 -0.484  0.232 -0.456  0.337 -0.456  0.411 -0.382  0.485 -0.308  0.520 -0.217  0.520 -0.112  0.579 -0.031  0.653 0.043  0.703 0.127  0.703 0.232  0.747 0.320  0.821 0.394  0.892 0.471  0.939 0.565  0.986 0.659  1.033 0.753  1.070 0.849  1.070 0.954  1.070 1.059  1.070 1.165  1.070 1.270  1.070 1.375
3#app#app12#app1269/v  -0.500 1.043  -0.624 1.035  -0.624 0.905  -0.624 0.774  -0.624 0.644  -0.624 0.514  -0.624 0.383  -0.574 0.303  -0.500 0.245  -0.500 0.115  -0.500 -0.015  -0.500 -0.146  -0.500 -0.276  -0.500 -0.407  -0.500 -0.537  -0.425 -0.636  -0.377 -0.747  -0.377 -0.878  -0.377 -1.008  -0.377 -1.138  -0.377 -1.269  -0.278 -1.300  -0.254 -1.407  -0.254 -1.310  -0.168 -1.215  -0.130 -1.100  -0.071 -0.994  -0.007 -0.890  -0.007 -0.760  0.017 -0.635  0.075 -0.518  0.116 -0.398  0.149 -0.281  0.239 -0.188  0.244 -0.058  0.302 0.058  0.361 0.175  0.452 0.268  0.523 0.376  0.581 0.492  0.609 0.616  0.662 0.725  0.746 0.823  0.804 0.940  0.856 1.058  0.878 1.166  0.979 1.195  1.005 1.315  1.097 1.407  1.103 1.536
3#app#app12#app1269/w  -1.125 1.058  -1.125 0.922  -1.055 0.856  -1.025 0.751  -1.025 0.615  -0.991 0.487  -0.930 0.365  -0.924 0.231  -0.924 0.095  -0.860 -0.015  -0.823 -0.135  -0.823 -0.271  -0.823 -0.407  -0.823 -0.543  -0.736 -0.643  -0.640 -0.739  -0.520 -0.750  -0.477 -0.657  -0.419 -0.579  -0.414 -0.445  -0.353 -0.323  -0.318 -0.195  -0.318 -0.059  -0.190 -0.052  -0.117 -0.115  -0.019 -0.153  -0.016 -0.286  0.032 -0.402  0.085 -0.516  0.181 -0.557  0.186 -0.687  0.251 -0.758  0.387 -0.758  0.483 -0.663  0.508 -0.537  0.604 -0.441  0.697 -0.343  0.757 -0.221  0.818 -0.099  0.879 0.022  0.940 0.144  1.001 0.265  1.061 0.387  1.122 0.509  1.183 0.630  1.244 0.752  1.296 0.875  1.320 1.005  1.381 1.127  1.397 1.259
3#app#app12#app1269/x  -1.166 0.827  -1.038 0.827  -1.088 0.827  -1.116 0.827  -1.010 0.827  -0.971 0.659  -0.830 0.593  -0.756 0.417  -0.609 0.270  -0.463 0.124  -0.316 -0.023  -0.170 -0.169  -0.023 -0.316  0.010 -0.509  0.200 -0.539  0.346 -0.686  0.386 -0.853  0.570 -0.909  0.682 -1.070  0.677 -1.102  0.664 -0.895  0.651 -0.688  0.638 -0.482  0.625 -0.275  0.612 -0.068  0.599 0.139  0.586 0.345  0.573 0.552  0.560 0.759  0.547 0.966  0.534 1.172  0.521 1.379  0.514 1.413  0.514 1.206  0.514 0.999  0.370 0.851  0.291 0.663  0.226 0.467  0.178 0.267  0.111 0.088  0.010 -0.078  0.010 -0.285  -0.091 -0.450  -0.158 -0.629  -0.265 -0.792  -0.380 -0.961  -0.473 -1.147  -0.494 -1.349  -0.635 -1.498  -0.662 -1.693
3#app#app12#app1269/y  -0.644 1.215  -0.644 1.061  -0.644 0.907  -0.535 0.861  -0.535 0.707  -0.535 0.553  -0.535 0.399  -0.464 0.275  -0.427 0.136  -0.427 -0.018  -0.343 -0.088  -0.318 -0.218  -0.252 -0.306  -0.157 -0.207  -0.085 -0.071  -0.012 0.065  0.060 0.201  0.133 0.337  0.205 0.472  0.278 0.608  0.350 0.744  0.423 0.880  0.495 1.016  0.568 1.152  0.640 1.288  0.579 1.243  0.551 1.100  0.534 0.949  0.486 0.803  0.442 0.656  0.442 0.502  0.394 0.359  0.333 0.219  0.333 0.065  0.285 -0.078  0.216 -0.215  0.147 -0.353  0.116 -0.500  0.116 -0.654  0.068 -0.788  0.008 -0.917  0.005 -1.071  -0.064 -1.208  -0.101 -1.354  -0.138 -1.502  -0.186 -1.648  -0.210 -1.798  -0.318 -1.844  -0.318 -1.998  -0.318 -1.935
3#app#app12#app1269/z  -0.992 1.102  -0.852 1.102  -0.716 1.120  -0.590 1.183  -0.459 1.222  -0.319 1.222  -0.179 1.222  -0.039 1.222  0.102 1.222  0.242 1.222  0.326 1.165  0.403 1.102  0.446 1.005  0.446 0.865  0.348 0.765  0.326 0.634  0.319 0.496  0.220 0.397  0.121 0.298  0.086 0.172  0.007 0.064  -0.092 -0.035  -0.153 -0.150  -0.206 -0.268  -0.305 -0.367  -0.393 -0.471  -0.429 -0.575  -0.513 -0.632  -0.567 -0.750  -0.633 -0.863  -0.701 -0.935  -0.752 -1.023  -0.752 -0.945  -0.623 -0.935  -0.483 -0.935  -0.393 -0.884  -0.322 -0.815  -0.182 -0.815  -0.047 -0.779  0.086 -0.735  0.220 -0.695  0.360 -0.695  0.494 -0.671  0.620 -0.608  0.752 -0.575  0.893 -0.575  1.033 -0.575  1.171 -0.569  1.270 -0.470  1.404 -0.455
