2#apa#apa19#app1999/[  0.524 1.013  0.517 1.117  0.406 1.117  0.316 1.138  0.288 1.221  0.188 1.246  0.109 1.324  -0.001 1.325  -0.112 1.325  -0.218 1.311  -0.296 1.232  -0.307 1.126  -0.409 1.117  -0.411 1.008  -0.411 0.897  -0.403 0.788  -0.353 0.689  -0.307 0.588  -0.307 0.477  -0.307 0.366  -0.307 0.255  -0.307 0.144  -0.307 0.034  -0.271 -0.063  -0.203 -0.145  -0.203 -0.256  -0.203 -0.367  -0.203 -0.478  -0.203 -0.589  -0.239 -0.686  -0.307 -0.768  -0.328 -0.858  -0.439 -0.858  -0.515 -0.893  -0.473 -0.962  -0.362 -0.962  -0.252 -0.962  -0.141 -0.962  -0.030 -0.962  0.081 -0.962  0.192 -0.962  0.303 -0.962  0.414 -0.962  0.525 -0.962  0.634 -0.957  0.712 -0.878  0.815 -0.858  0.926 -0.858  1.037 -0.858  1.148 -0.858
2#apa#apa19#app1999/k  -0.614 1.908  -0.402 1.908  -0.363 1.735  -0.363 1.522  -0.363 1.310  -0.363 1.097  -0.363 0.885  -0.363 0.672  -0.497 0.515  -0.614 0.351  -0.614 0.139  -0.614 -0.074  -0.614 -0.286  -0.614 -0.499  -0.614 -0.712  -0.614 -0.924  -0.614 -1.137  -0.614 -1.349  -0.519 -1.193  -0.416 -1.007  -0.312 -0.821  -0.209 -0.636  -0.106 -0.450  -0.003 -0.264  0.101 -0.078  0.204 0.108  0.307 0.294  0.410 0.479  0.514 0.665  0.617 0.851  0.645 0.746  0.563 0.567  0.412 0.417  0.208 0.398  0.038 0.294  -0.112 0.144  -0.263 -0.006  -0.363 -0.177  -0.330 -0.358  -0.118 -0.358  0.095 -0.358  0.307 -0.358  0.393 -0.485  0.481 -0.610  0.693 -0.610  0.903 -0.616  1.053 -0.767  1.227 -0.861  1.400 -0.901  1.400 -1.113
2#apa#apa19#app1999/n  -0.590 0.445  -0.590 0.272  -0.590 0.100  -0.590 -0.073  -0.590 -0.246  -0.590 -0.418  -0.590 -0.591  -0.654 -0.738  -0.776 -0.860  -0.870 -0.993  -0.870 -1.166  -0.870 -1.129  -0.870 -0.956  -0.700 -0.954  -0.590 -0.891  -0.590 -0.718  -0.590 -0.545  -0.590 -0.372  -0.590 -0.200  -0.529 -0.053  -0.406 0.069  -0.311 0.202  -0.311 0.375  -0.311 0.548  -0.311 0.720  -0.142 0.725  -0.031 0.786  -0.031 0.959  0.096 1.005  0.249 1.024  0.249 1.197  0.334 1.284  0.507 1.284  0.529 1.134  0.529 0.961  0.529 0.788  0.638 0.725  0.809 0.723  0.809 0.550  0.809 0.377  0.809 0.205  0.809 0.032  0.809 -0.141  0.809 -0.314  0.809 -0.486  0.809 -0.659  0.920 -0.785  1.042 -0.908  1.088 -1.061  1.088 -1.234
2#apa#apa19#app1999/o  0.516 1.165  0.358 1.165  0.249 1.115  0.249 0.956  0.149 0.897  -0.009 0.897  -0.168 0.897  -0.286 0.856  -0.286 0.698  -0.376 0.630  -0.535 0.630  -0.553 0.489  -0.575 0.340  -0.688 0.228  -0.800 0.116  -0.820 -0.034  -0.820 -0.193  -0.820 -0.351  -0.820 -0.510  -0.820 -0.669  -0.820 -0.827  -0.808 -0.974  -0.650 -0.974  -0.553 -1.036  -0.553 -1.194  -0.441 -1.241  -0.283 -1.241  -0.124 -1.241  0.019 -1.204  0.131 -1.092  0.243 -0.979  0.400 -0.974  0.546 -0.944  0.658 -0.832  0.770 -0.720  0.784 -0.567  0.784 -0.408  0.784 -0.250  0.784 -0.091  0.784 0.067  0.784 0.226  0.768 0.378  0.656 0.490  0.544 0.603  0.516 0.750  0.505 0.897  0.347 0.897  0.206 0.940  0.094 1.052  -0.018 1.165
2#apa#apa19#app1999/w  -1.095 1.163  -1.095 1.012  -1.095 0.860  -1.095 0.708  -1.095 0.557  -1.095 0.405  -1.095 0.254  -1.095 0.102  -1.095 -0.050  -1.095 -0.201  -1.095 -0.353  -1.095 -0.505  -1.029 -0.590  -0.877 -0.590  -0.726 -0.590  -0.580 -0.576  -0.473 -0.469  -0.365 -0.362  -0.258 -0.255  -0.151 -0.148  -0.093 -0.020  -0.093 0.132  -0.093 0.283  -0.093 0.435  -0.093 0.586  -0.093 0.586  -0.093 0.435  -0.093 0.283  -0.063 0.161  0.089 0.161  0.158 0.079  0.158 -0.073  0.253 -0.185  0.361 -0.292  0.408 -0.424  0.408 -0.576  0.545 -0.590  0.697 -0.590  0.848 -0.590  0.973 -0.526  1.081 -0.419  1.199 -0.340  1.351 -0.340  1.410 -0.247  1.410 -0.096  1.410 0.056  1.410 0.207  1.410 0.359  1.410 0.511  1.410 0.662
2#apa#apa19#app1999/w  -1.046 0.992  -0.886 0.992  -1.013 0.992  -1.046 0.864  -1.046 0.704  -1.046 0.544  -1.046 0.384  -1.046 0.224  -1.046 0.064  -1.046 -0.097  -1.046 -0.257  -1.046 -0.417  -1.046 -0.577  -0.946 -0.695  -0.817 -0.772  -0.657 -0.772  -0.517 -0.752  -0.514 -0.593  -0.401 -0.480  -0.288 -0.367  -0.175 -0.253  -0.164 -0.098  -0.164 0.062  -0.164 0.222  -0.164 0.190  -0.164 0.030  -0.119 -0.112  -0.006 -0.225  0.108 -0.338  0.234 -0.419  0.365 -0.448  0.378 -0.595  0.538 -0.595  0.698 -0.595  0.858 -0.595  0.894 -0.471  1.002 -0.419  1.071 -0.327  1.146 -0.243  1.247 -0.184  1.247 -0.023  1.228 0.129  1.115 0.242  1.071 0.384  1.071 0.544  1.006 0.639  0.894 0.688  0.894 0.848  0.878 0.992  0.718 0.992
2#apa#apa19#app1999/h  -0.856 1.949  -0.757 1.850  -0.658 1.751  -0.654 1.613  -0.654 1.473  -0.648 1.335  -0.549 1.236  -0.452 1.137  -0.452 0.997  -0.452 0.857  -0.452 0.717  -0.452 0.577  -0.384 0.465  -0.285 0.366  -0.249 0.241  -0.249 0.101  -0.249 -0.039  -0.249 -0.179  -0.249 -0.319  -0.249 -0.459  -0.164 -0.564  -0.065 -0.663  -0.047 -0.795  -0.047 -0.935  -0.047 -1.075  -0.047 -1.215  -0.047 -1.221  -0.047 -1.081  -0.047 -0.941  -0.047 -0.801  -0.047 -0.661  -0.047 -0.521  -0.047 -0.381  -0.047 -0.241  -0.047 -0.102  0.033 0.005  0.132 0.104  0.262 0.128  0.402 0.128  0.542 0.128  0.646 0.042  0.745 -0.057  0.762 -0.190  0.800 -0.314  0.899 -0.413  0.964 -0.526  0.964 -0.666  0.964 -0.806  0.964 -0.946  0.964 -1.086
2#apa#apa19#app1999/a  -0.814 1.366  -0.624 1.366  -0.434 1.366  -0.244 1.366  -0.054 1.366  0.136 1.366  0.230 1.271  0.255 1.105  0.444 1.105  0.491 0.962  0.491 0.772  0.491 0.582  0.491 0.392  0.491 0.202  0.442 0.061  0.252 0.061  0.230 0.229  0.133 0.322  -0.057 0.322  -0.247 0.322  -0.394 0.220  -0.528 0.086  -0.708 0.061  -0.874 0.002  -1.008 -0.133  -1.075 -0.295  -1.075 -0.485  -1.075 -0.675  -1.075 -0.865  -1.003 -0.983  -0.813 -0.983  -0.623 -0.983  -0.434 -0.983  -0.244 -0.983  -0.054 -0.983  0.136 -0.983  0.230 -0.887  0.248 -0.704  0.382 -0.570  0.491 -0.425  0.491 -0.235  0.491 -0.045  0.550 0.002  0.684 -0.132  0.752 -0.294  0.752 -0.484  0.752 -0.674  0.894 -0.722  1.013 -0.793  1.013 -0.983
2#apa#apa19#app1999/t  -0.301 2.043  -0.136 2.043  -0.133 1.881  -0.133 1.716  -0.133 1.551  -0.133 1.386  -0.086 1.229  -0.034 1.072  0.019 0.916  0.036 0.753  0.036 0.588  0.036 0.423  0.036 0.258  0.036 0.093  0.036 -0.072  0.100 -0.210  0.204 -0.332  0.204 -0.498  0.204 -0.663  0.210 -0.825  0.326 -0.942  0.372 -1.088  0.372 -1.253  0.372 -1.418  0.312 -1.426  0.203 -1.302  0.093 -1.179  -0.017 -1.056  -0.126 -0.932  -0.236 -0.809  -0.346 -0.685  -0.455 -0.562  -0.565 -0.439  -0.675 -0.315  -0.784 -0.192  -0.894 -0.069  -0.932 0.022  -0.766 0.022  -0.601 0.022  -0.436 0.022  -0.271 0.022  -0.106 0.022  0.059 0.022  0.224 0.022  0.389 0.022  0.554 0.022  0.719 0.022  0.884 0.022  1.049 0.022  1.214 0.022
2#apa#apa19#app1999/!  -0.124 1.874  -0.124 1.790  -0.124 1.706  -0.124 1.622  -0.124 1.538  -0.124 1.453  -0.124 1.369  -0.124 1.285  -0.124 1.201  -0.124 1.117  -0.124 1.033  -0.124 0.948  -0.124 0.864  -0.124 0.780  -0.124 0.696  -0.124 0.612  -0.124 0.527  -0.124 0.443  -0.124 0.359  -0.124 0.275  -0.124 0.191  -0.124 0.107  -0.124 0.022  -0.124 -0.062  -0.124 -0.146  -0.124 -0.230  -0.124 -0.314  -0.124 -0.398  -0.116 -0.480  -0.073 -0.553  -0.029 -0.625  0.014 -0.697  0.057 -0.769  0.101 -0.841  0.144 -0.914  0.187 -0.986  0.230 -1.058  0.274 -1.130  0.317 -1.202  0.360 -1.274  0.343 -1.268  0.283 -1.209  0.224 -1.149  0.211 -1.070  0.211 -0.986  0.211 -0.902  0.211 -0.818  0.162 -0.850  0.103 -0.910  0.043 -0.969
2#apa#apa19#app1999/}  -0.384 1.369  -0.384 1.423  -0.384 1.426  -0.299 1.451  -0.188 1.451  -0.077 1.451  -0.049 1.369  0.029 1.336  0.029 1.225  0.029 1.114  0.029 1.003  0.029 0.892  -0.054 0.864  -0.092 0.791  -0.136 0.725  -0.219 0.696  -0.219 0.585  -0.219 0.475  -0.219 0.364  -0.219 0.253  -0.147 0.214  -0.119 0.131  -0.008 0.131  0.029 0.057  0.111 0.029  0.063 -0.034  0.029 -0.110  -0.076 -0.116  -0.136 -0.167  -0.136 -0.278  -0.054 -0.306  -0.000 -0.364  0.029 -0.446  0.111 -0.474  0.167 -0.529  0.195 -0.613  0.273 -0.691  0.294 -0.794  0.359 -0.877  0.359 -0.988  0.359 -1.099  0.359 -1.210  0.359 -1.321  0.281 -1.354  0.276 -1.460  0.225 -1.519  0.114 -1.519  0.003 -1.519  -0.108 -1.519  -0.219 -1.519
2#apa#apa19#app1999/]  -0.637 1.256  -0.551 1.256  -0.464 1.256  -0.377 1.256  -0.290 1.256  -0.203 1.256  -0.116 1.256  -0.034 1.251  -0.018 1.180  0.069 1.180  0.156 1.180  0.193 1.130  0.193 1.043  0.193 0.957  0.193 0.870  0.178 0.789  0.117 0.727  0.117 0.640  0.117 0.554  0.117 0.467  0.117 0.380  0.117 0.293  0.048 0.275  0.042 0.195  0.042 0.108  0.042 0.021  0.042 -0.066  0.042 -0.153  0.042 -0.240  0.042 -0.327  0.042 -0.413  0.042 -0.500  0.042 -0.587  0.042 -0.674  0.042 -0.761  0.042 -0.848  0.044 -0.932  0.117 -0.946  0.117 -1.033  0.117 -1.120  0.117 -1.207  0.117 -1.293  0.188 -1.309  0.117 -1.316  0.099 -1.385  0.012 -1.385  -0.075 -1.385  -0.162 -1.385  -0.249 -1.385  -0.336 -1.385
2#apa#apa19#app1999/.  1.856 -0.905  1.712 -0.905  1.569 -0.905  1.425 -0.905  1.281 -0.905  1.137 -0.905  0.993 -0.905  0.866 -0.865  0.764 -0.764  0.662 -0.662  0.561 -0.560  0.459 -0.459  0.357 -0.357  0.256 -0.255  0.154 -0.153  0.052 -0.052  -0.045 0.052  -0.045 0.196  -0.045 0.340  -0.045 0.483  -0.045 0.627  -0.045 0.771  -0.045 0.915  -0.108 0.996  -0.251 0.996  -0.395 0.996  -0.539 0.996  -0.683 0.996  -0.827 0.996  -0.971 0.996  -0.996 0.877  -0.996 0.733  -0.996 0.589  -0.996 0.446  -0.996 0.302  -0.996 0.158  -0.964 0.045  -0.820 0.045  -0.677 0.045  -0.533 0.045  -0.389 0.045  -0.245 0.045  -0.101 0.045  -0.045 -0.042  -0.045 -0.186  -0.045 -0.330  -0.045 -0.474  -0.045 -0.617  -0.045 -0.761  -0.045 -0.905
