2#app#app37#app3716/F  -0.434 1.544  -0.434 1.307  -0.400 1.078  -0.301 0.864  -0.301 0.626  -0.301 0.389  -0.301 0.152  -0.301 -0.086  -0.301 -0.323  -0.301 -0.560  -0.301 -0.798  -0.301 -1.035  -0.301 -1.272  -0.301 -1.510  -0.168 -1.614  -0.168 -1.851  -0.034 -1.882  -0.036 -1.645  -0.098 -1.415  -0.159 -1.186  -0.220 -0.957  -0.281 -0.727  -0.342 -0.498  -0.403 -0.269  -0.465 -0.039  -0.526 0.190  -0.513 0.400  -0.345 0.567  -0.178 0.735  0.000 0.878  0.232 0.884  0.342 1.012  0.524 1.145  0.761 1.145  0.866 1.278  0.790 1.103  0.666 0.901  0.542 0.699  0.417 0.497  0.293 0.295  0.168 0.093  0.044 -0.110  -0.080 -0.312  -0.113 -0.408  0.069 -0.256  0.251 -0.104  0.434 0.048  0.616 0.200  0.794 0.346  0.898 0.479
2#app#app37#app3716/P  -0.542 0.604  -0.542 0.426  -0.542 0.249  -0.542 0.072  -0.542 -0.105  -0.542 -0.283  -0.542 -0.460  -0.542 -0.637  -0.542 -0.814  -0.542 -0.991  -0.542 -1.169  -0.542 -1.346  -0.542 -1.523  -0.542 -1.666  -0.533 -1.490  -0.486 -1.319  -0.438 -1.148  -0.391 -0.978  -0.344 -0.807  -0.296 -0.636  -0.249 -0.465  -0.201 -0.294  -0.154 -0.124  -0.106 0.047  -0.059 0.218  -0.012 0.389  0.036 0.559  0.083 0.730  0.131 0.901  0.178 1.072  0.226 1.242  0.273 1.413  0.445 1.420  0.622 1.420  0.765 1.386  0.799 1.223  0.924 1.098  0.928 0.922  0.928 0.745  0.928 0.568  0.893 0.405  0.768 0.280  0.755 0.114  0.578 0.114  0.412 0.087  0.286 -0.039  0.161 -0.164  0.036 -0.289  -0.090 -0.414  -0.215 -0.540
2#app#app37#app3716/E  -0.692 0.974  -0.569 0.719  -0.562 0.415  -0.562 0.109  -0.562 -0.197  -0.692 -0.449  -0.692 -0.755  -0.692 -1.061  -0.692 -1.367  -0.533 -1.514  -0.248 -1.462  0.026 -1.383  0.201 -1.252  0.453 -1.121  0.679 -0.928  0.895 -0.711  1.150 -0.587  1.271 -0.331  1.271 -0.025  1.050 0.092  0.748 0.140  0.445 0.188  0.143 0.235  -0.160 0.283  -0.462 0.331  -0.765 0.379  -1.067 0.426  -1.077 0.519  -0.803 0.656  -0.529 0.793  -0.289 0.974  -0.003 1.057  0.272 1.153  0.544 1.235  0.850 1.235  0.868 1.223  0.677 0.984  0.486 0.744  0.294 0.505  0.103 0.266  -0.088 0.027  -0.279 -0.212  -0.471 -0.451  -0.662 -0.690  -0.472 -0.596  -0.209 -0.438  0.037 -0.260  0.266 -0.074  0.486 0.013  0.617 0.188
2#app#app37#app3716/C  0.636 0.769  0.529 0.716  0.423 0.663  0.408 0.757  0.408 0.876  0.408 0.995  0.294 0.999  0.289 1.116  0.205 1.200  0.096 1.225  -0.023 1.225  -0.114 1.159  -0.198 1.075  -0.285 0.997  -0.396 0.985  -0.449 0.879  -0.502 0.772  -0.504 0.654  -0.508 0.537  -0.592 0.453  -0.655 0.353  -0.708 0.247  -0.732 0.134  -0.732 0.015  -0.732 -0.104  -0.732 -0.223  -0.732 -0.342  -0.732 -0.460  -0.665 -0.551  -0.618 -0.651  -0.578 -0.753  -0.494 -0.837  -0.409 -0.921  -0.325 -1.005  -0.227 -1.054  -0.108 -1.054  0.011 -1.054  0.130 -1.054  0.248 -1.054  0.367 -1.054  0.463 -0.999  0.547 -0.915  0.631 -0.831  0.748 -0.826  0.833 -0.744  0.917 -0.659  0.978 -0.566  1.004 -0.458  1.088 -0.374  1.092 -0.257
2#app#app37#app3716/T  0.214 1.126  0.214 0.962  0.214 0.798  0.214 0.634  0.214 0.470  0.214 0.307  0.214 0.143  0.214 -0.021  0.214 -0.185  0.214 -0.349  0.214 -0.513  0.214 -0.677  0.214 -0.841  0.214 -1.005  0.214 -1.169  0.214 -1.333  0.214 -1.497  0.214 -1.515  0.144 -1.376  0.038 -1.251  -0.068 -1.126  -0.174 -1.001  -0.280 -0.876  -0.385 -0.750  -0.491 -0.625  -0.597 -0.500  -0.703 -0.375  -0.809 -0.250  -0.915 -0.125  -1.021 0.000  -1.127 0.126  -1.170 0.222  -1.027 0.273  -0.895 0.351  -0.732 0.351  -0.604 0.438  -0.457 0.480  -0.294 0.485  -0.148 0.558  0.004 0.609  0.159 0.647  0.306 0.720  0.465 0.738  0.583 0.850  0.740 0.868  0.891 0.899  1.014 0.997  1.118 1.057  1.213 1.126  1.377 1.126
2#app#app37#app3716/E  -0.634 0.800  -0.634 0.543  -0.634 0.286  -0.634 0.029  -0.659 -0.218  -0.758 -0.434  -0.758 -0.691  -0.819 -0.934  -0.882 -1.176  -0.881 -1.433  -0.675 -1.556  -0.418 -1.556  -0.161 -1.556  0.028 -1.391  0.210 -1.209  0.358 -1.013  0.487 -0.812  0.620 -0.688  0.730 -0.541  0.762 -0.316  0.819 -0.171  0.600 -0.036  0.382 0.099  0.163 0.234  -0.056 0.368  -0.275 0.503  -0.494 0.638  -0.713 0.773  -0.567 0.876  -0.329 0.972  -0.101 1.084  0.080 1.266  0.325 1.296  0.582 1.296  0.788 1.420  0.749 1.261  0.606 1.047  0.463 0.833  0.321 0.620  0.178 0.406  0.035 0.192  -0.107 -0.022  -0.250 -0.236  -0.375 -0.435  -0.145 -0.320  0.098 -0.260  0.308 -0.118  0.525 0.015  0.760 0.086  0.978 0.180
2#app#app37#app3716/D  -0.053 1.213  -0.103 1.015  -0.152 0.817  -0.187 0.616  -0.187 0.412  -0.187 0.208  -0.187 0.003  -0.187 -0.201  -0.187 -0.405  -0.187 -0.610  -0.187 -0.814  -0.187 -1.019  -0.187 -1.223  -0.213 -1.236  -0.268 -1.039  -0.323 -0.842  -0.377 -0.645  -0.432 -0.448  -0.487 -0.251  -0.541 -0.054  -0.596 0.143  -0.651 0.340  -0.705 0.536  -0.760 0.733  -0.815 0.930  -0.806 1.079  -0.602 1.079  -0.398 1.079  -0.193 1.079  0.011 1.079  0.215 1.079  0.412 1.047  0.595 0.956  0.750 0.898  0.868 0.812  1.017 0.678  1.017 0.474  1.017 0.270  0.963 0.088  0.884 -0.083  0.811 -0.271  0.720 -0.453  0.628 -0.636  0.491 -0.786  0.346 -0.930  0.202 -1.075  0.057 -1.219  -0.087 -1.364  -0.250 -1.464  -0.321 -1.597
2#app#app37#app3716/A  -0.896 -1.232  -0.846 -1.041  -0.755 -0.866  -0.755 -0.654  -0.695 -0.467  -0.613 -0.289  -0.602 -0.079  -0.507 0.110  -0.472 0.314  -0.381 0.505  -0.331 0.705  -0.331 0.917  -0.259 1.100  -0.190 1.283  -0.190 1.495  -0.076 1.593  -0.048 1.691  0.066 1.593  0.137 1.452  0.234 1.337  0.365 1.179  0.376 0.971  0.466 0.797  0.517 0.606  0.517 0.394  0.517 0.182  0.517 -0.031  0.616 -0.201  0.666 -0.393  0.799 -0.550  0.799 -0.762  0.799 -0.974  0.894 -1.091  0.780 -1.051  0.574 -0.999  0.368 -0.948  0.162 -0.896  -0.044 -0.845  -0.249 -0.793  -0.455 -0.742  -0.661 -0.691  -0.755 -0.552  -0.568 -0.526  -0.390 -0.444  -0.203 -0.385  -0.049 -0.244  0.163 -0.243  0.234 -0.102  0.376 -0.032  0.376 -0.102
2#app#app37#app3716/J  0.600 0.897  0.600 1.054  0.600 1.212  0.483 1.241  0.483 1.083  0.483 0.925  0.483 0.768  0.483 0.610  0.483 0.452  0.483 0.294  0.483 0.136  0.483 -0.022  0.483 -0.180  0.483 -0.338  0.483 -0.496  0.483 -0.654  0.483 -0.811  0.483 -0.969  0.366 -1.010  0.289 -1.091  0.131 -1.091  -0.027 -1.091  -0.185 -1.091  -0.307 -1.003  -0.452 -0.974  -0.610 -0.974  -0.744 -0.916  -0.878 -0.857  -1.036 -0.857  -1.148 -0.747  -1.251 -0.715  -1.152 -0.592  -1.054 -0.469  -0.955 -0.345  -0.856 -0.222  -0.758 -0.099  -0.659 0.025  -0.560 0.148  -0.462 0.271  -0.363 0.395  -0.234 0.480  -0.094 0.553  0.018 0.663  0.171 0.682  0.313 0.753  0.435 0.849  0.547 0.961  0.683 1.013  0.839 1.019  0.950 1.130
2#app#app37#app3716/E  -0.626 0.793  -0.626 0.853  -0.626 0.658  -0.626 0.463  -0.626 0.269  -0.626 0.074  -0.626 -0.121  -0.626 -0.315  -0.739 -0.463  -0.753 -0.652  -0.753 -0.846  -0.753 -1.041  -0.753 -1.236  -0.559 -1.237  -0.365 -1.237  -0.170 -1.237  -0.017 -1.137  0.120 -0.999  0.304 -0.963  0.478 -0.876  0.534 -0.712  0.683 -0.603  0.878 -0.603  0.931 -0.442  1.024 -0.286  1.151 -0.218  1.151 -0.023  1.094 0.159  1.013 0.336  0.933 0.513  0.852 0.690  0.771 0.867  0.691 1.045  0.610 1.222  0.530 1.399  0.492 1.275  0.361 1.131  0.229 0.988  0.098 0.844  -0.034 0.701  -0.165 0.557  -0.297 0.414  -0.428 0.270  -0.560 0.127  -0.691 -0.017  -0.823 -0.160  -0.781 -0.172  -0.606 -0.085  -0.432 0.002  -0.245 0.032
2#app#app37#app3716/J  0.312 1.001  0.312 0.846  0.312 0.691  0.372 0.560  0.438 0.432  0.438 0.277  0.522 0.156  0.565 0.019  0.565 -0.137  0.583 -0.285  0.692 -0.395  0.692 -0.550  0.692 -0.705  0.605 -0.774  0.565 -0.889  0.426 -0.913  0.316 -1.023  0.169 -1.043  0.060 -1.153  -0.095 -1.154  -0.250 -1.154  -0.406 -1.154  -0.528 -1.075  -0.664 -1.028  -0.785 -0.945  -0.829 -0.808  -0.951 -0.774  -0.956 -0.624  -0.956 -0.469  -0.956 -0.313  -0.956 -0.158  -0.956 -0.003  -0.956 0.153  -0.909 0.288  -0.799 0.398  -0.683 0.494  -0.542 0.528  -0.425 0.621  -0.270 0.621  -0.138 0.678  -0.011 0.748  0.144 0.748  0.299 0.748  0.440 0.812  0.576 0.885  0.686 0.995  0.795 1.105  0.905 1.214  0.847 1.255  0.692 1.255
2#app#app37#app3716/U  -0.882 1.342  -0.882 1.164  -0.882 0.985  -0.882 0.806  -0.882 0.627  -0.882 0.448  -0.882 0.269  -0.882 0.091  -0.882 -0.088  -0.882 -0.267  -0.882 -0.446  -0.882 -0.625  -0.882 -0.804  -0.864 -0.964  -0.685 -0.964  -0.506 -0.964  -0.363 -0.878  -0.306 -0.723  -0.174 -0.676  -0.087 -0.527  -0.017 -0.364  -0.017 -0.186  0.048 -0.034  0.157 0.105  0.237 0.265  0.271 0.436  0.271 0.615  0.393 0.743  0.519 0.870  0.559 1.032  0.559 1.211  0.559 1.295  0.559 1.116  0.559 0.938  0.452 0.803  0.415 0.640  0.415 0.461  0.415 0.282  0.415 0.103  0.415 -0.076  0.415 -0.255  0.415 -0.433  0.415 -0.612  0.497 -0.757  0.559 -0.910  0.684 -0.964  0.859 -0.975  0.985 -1.101  1.154 -1.091  1.280 -0.964
2#app#app37#app3716/N  -0.407 0.919  -0.407 0.961  -0.407 0.737  -0.407 0.512  -0.407 0.288  -0.407 0.064  -0.417 -0.156  -0.540 -0.329  -0.540 -0.554  -0.540 -0.778  -0.540 -1.002  -0.540 -1.195  -0.647 -1.078  -0.673 -0.880  -0.673 -0.655  -0.673 -0.431  -0.673 -0.207  -0.673 0.017  -0.673 0.241  -0.673 0.466  -0.673 0.690  -0.673 0.914  -0.587 1.052  -0.407 1.007  -0.405 0.784  -0.274 0.614  -0.274 0.390  -0.234 0.175  -0.130 -0.023  -0.007 -0.196  -0.002 -0.418  0.157 -0.576  0.259 -0.759  0.380 -0.933  0.466 -1.078  0.557 -1.211  0.781 -1.211  0.791 -0.996  0.819 -0.783  0.924 -0.603  0.924 -0.379  0.924 -0.154  0.924 0.070  0.924 0.294  0.924 0.518  0.924 0.742  0.924 0.967  0.924 1.191  0.993 1.387  1.057 1.584
2#app#app37#app3716/E  -0.707 0.963  -0.707 0.775  -0.707 0.586  -0.707 0.398  -0.707 0.209  -0.707 0.021  -0.707 -0.168  -0.707 -0.356  -0.743 -0.530  -0.819 -0.686  -0.819 -0.875  -0.819 -1.063  -0.819 -1.252  -0.705 -1.391  -0.516 -1.391  -0.371 -1.348  -0.251 -1.279  -0.088 -1.220  0.046 -1.087  0.179 -0.953  0.345 -0.899  0.478 -0.766  0.647 -0.718  0.750 -0.633  0.862 -0.557  0.862 -0.368  0.952 -0.270  0.938 -0.118  0.811 0.022  0.684 0.161  0.557 0.301  0.431 0.440  0.304 0.579  0.177 0.719  0.050 0.858  -0.076 0.998  -0.063 1.075  0.079 1.187  0.245 1.242  0.302 1.407  0.414 1.340  0.400 1.154  0.330 0.979  0.260 0.804  0.190 0.629  0.120 0.454  0.050 0.279  -0.020 0.104  0.113 0.066  0.190 0.178
