3#app#app32#app3210/w  -0.487 0.117  -0.487 0.293  -0.487 0.469  -0.487 0.646  -0.500 0.809  -0.660 0.825  -0.660 1.001  -0.660 1.177  -0.660 1.353  -0.632 1.501  -0.487 1.469  -0.487 1.293  -0.487 1.117  -0.487 0.941  -0.487 0.765  -0.487 0.588  -0.487 0.412  -0.487 0.236  -0.487 0.060  -0.487 -0.116  -0.487 -0.292  -0.487 -0.469  -0.487 -0.645  -0.487 -0.821  -0.487 -0.845  -0.431 -0.692  -0.306 -0.567  -0.182 -0.443  -0.141 -0.521  -0.141 -0.697  -0.141 -0.873  -0.141 -1.049  -0.010 -1.094  0.166 -1.094  0.343 -1.094  0.477 -0.994  0.623 -0.921  0.724 -0.845  0.779 -0.692  0.897 -0.565  0.906 -0.392  1.031 -0.268  1.070 -0.108  1.158 0.032  1.243 0.173  1.184 0.290  1.008 0.290  0.897 0.225  0.945 0.069  1.070 -0.056
3#app#app32#app3210/o  -0.481 0.731  -0.584 0.628  -0.687 0.525  -0.747 0.403  -0.747 0.258  -0.809 0.137  -0.912 0.034  -1.012 -0.070  -1.012 -0.216  -1.012 -0.362  -1.012 -0.508  -0.973 -0.637  -0.870 -0.740  -0.767 -0.844  -0.663 -0.947  -0.560 -1.050  -0.447 -1.129  -0.301 -1.129  -0.156 -1.129  -0.010 -1.129  0.136 -1.129  0.282 -1.129  0.316 -1.018  0.316 -0.872  0.414 -0.766  0.517 -0.663  0.620 -0.560  0.723 -0.457  0.826 -0.353  0.848 -0.216  0.848 -0.071  0.848 0.075  0.848 0.221  0.848 0.367  0.800 0.465  0.654 0.465  0.582 0.539  0.582 0.685  0.582 0.831  0.582 0.977  0.493 1.086  0.390 1.189  0.275 1.263  0.129 1.263  0.051 1.195  0.051 1.049  0.051 0.903  0.051 0.757  0.051 0.611  0.051 0.465
3#app#app32#app3210/u  -0.937 0.902  -0.937 0.773  -0.937 0.643  -0.937 0.514  -0.937 0.384  -1.061 0.379  -1.190 0.379  -1.198 0.258  -1.198 0.128  -1.198 -0.002  -1.198 -0.131  -1.117 -0.227  -1.025 -0.318  -0.937 -0.411  -0.937 -0.541  -0.935 -0.668  -0.805 -0.668  -0.676 -0.668  -0.546 -0.668  -0.417 -0.668  -0.413 -0.543  -0.413 -0.413  -0.290 -0.407  -0.160 -0.407  -0.066 -0.322  0.025 -0.230  0.120 -0.145  0.249 -0.145  0.372 -0.138  0.372 -0.009  0.375 0.120  0.467 0.211  0.558 0.303  0.656 0.379  0.786 0.379  0.896 0.398  0.896 0.528  0.912 0.641  1.042 0.641  1.158 0.627  1.158 0.497  1.158 0.368  1.158 0.238  1.158 0.109  1.158 -0.021  1.158 -0.150  1.158 -0.280  1.158 -0.409  1.158 -0.539  1.158 -0.668
3#app#app32#app3210/s  0.716 0.620  0.884 0.620  0.896 0.776  0.752 0.799  0.584 0.799  0.451 0.885  0.322 0.979  0.154 0.979  -0.013 0.974  -0.163 0.899  -0.313 0.824  -0.475 0.799  -0.643 0.799  -0.811 0.799  -0.902 0.722  -0.968 0.620  -1.120 0.581  -1.239 0.463  -1.261 0.304  -1.174 0.172  -1.044 0.080  -0.876 0.080  -0.708 0.080  -0.540 0.080  -0.372 0.080  -0.250 -0.032  -0.111 -0.100  0.057 -0.100  0.225 -0.100  0.390 -0.116  0.540 -0.191  0.690 -0.266  0.855 -0.279  1.023 -0.279  1.157 -0.361  1.235 -0.480  1.116 -0.598  0.998 -0.717  0.872 -0.819  0.704 -0.819  0.536 -0.819  0.368 -0.819  0.246 -0.930  0.106 -0.999  -0.062 -0.999  -0.230 -0.999  -0.398 -0.999  -0.566 -0.999  -0.734 -0.999  -0.902 -0.999
3#app#app32#app3210/h  -0.022 1.693  -0.022 1.808  -0.022 1.888  -0.022 1.773  -0.022 1.659  -0.022 1.545  -0.022 1.430  -0.049 1.322  -0.100 1.220  -0.128 1.112  -0.128 0.997  -0.150 0.886  -0.186 0.778  -0.222 0.669  -0.234 0.557  -0.234 0.442  -0.276 0.338  -0.327 0.236  -0.340 0.124  -0.340 0.010  -0.340 -0.105  -0.340 -0.219  -0.340 -0.334  -0.340 -0.448  -0.340 -0.563  -0.340 -0.677  -0.340 -0.792  -0.340 -0.906  -0.274 -0.955  -0.181 -0.902  -0.100 -0.821  -0.022 -0.739  -0.022 -0.625  -0.007 -0.516  0.074 -0.435  0.084 -0.325  0.161 -0.242  0.190 -0.286  0.190 -0.401  0.254 -0.489  0.296 -0.586  0.296 -0.700  0.296 -0.815  0.353 -0.906  0.434 -0.986  0.515 -1.067  0.595 -1.148  0.702 -1.166  0.817 -1.166  0.931 -1.166
3#app#app32#app3210/o  -0.134 0.984  -0.134 0.827  -0.153 0.689  -0.310 0.689  -0.467 0.689  -0.624 0.689  -0.781 0.689  -0.938 0.689  -1.020 0.613  -1.020 0.456  -1.020 0.299  -1.020 0.142  -1.020 -0.015  -1.020 -0.172  -0.926 -0.290  -0.815 -0.401  -0.725 -0.521  -0.725 -0.678  -0.677 -0.787  -0.520 -0.787  -0.362 -0.787  -0.205 -0.787  -0.074 -0.847  0.037 -0.958  0.148 -1.070  0.300 -1.082  0.457 -1.082  0.614 -1.082  0.765 -1.067  0.876 -0.956  0.987 -0.845  1.046 -0.713  1.046 -0.556  1.046 -0.399  1.046 -0.242  1.046 -0.085  1.046 0.072  0.953 0.191  0.842 0.302  0.731 0.413  0.620 0.524  0.509 0.635  0.374 0.689  0.217 0.689  0.161 0.789  0.161 0.946  0.042 0.984  -0.115 0.984  -0.134 0.846  -0.134 0.689
3#app#app32#app3210/u  -1.058 0.189  -1.204 0.189  -1.334 0.153  -1.437 0.050  -1.538 -0.054  -1.538 -0.200  -1.500 -0.330  -1.397 -0.433  -1.292 -0.532  -1.147 -0.532  -1.001 -0.532  -0.855 -0.532  -0.710 -0.532  -0.564 -0.532  -0.418 -0.532  -0.292 -0.485  -0.189 -0.382  -0.086 -0.279  0.017 -0.176  0.120 -0.073  0.223 0.030  0.326 0.133  0.382 0.255  0.382 0.401  0.466 0.512  0.569 0.615  0.623 0.738  0.623 0.884  0.623 1.030  0.596 1.149  0.451 1.149  0.382 1.072  0.382 0.926  0.382 0.780  0.382 0.635  0.382 0.489  0.382 0.343  0.382 0.198  0.382 0.052  0.382 -0.094  0.382 -0.239  0.476 -0.291  0.622 -0.291  0.725 -0.394  0.828 -0.497  0.931 -0.600  1.034 -0.703  1.137 -0.806  1.240 -0.909  1.343 -1.012
3#app#app32#app3210/l  0.481 1.174  0.428 1.226  0.375 1.279  0.322 1.332  0.258 1.358  0.183 1.358  0.111 1.356  0.111 1.281  0.111 1.206  0.081 1.144  0.029 1.091  -0.024 1.038  -0.074 0.984  -0.074 0.909  -0.074 0.834  -0.074 0.759  -0.074 0.685  -0.074 0.610  -0.074 0.535  -0.074 0.460  -0.074 0.386  -0.074 0.311  -0.074 0.236  -0.074 0.161  -0.074 0.087  -0.074 0.012  -0.074 -0.063  -0.074 -0.138  -0.074 -0.212  -0.074 -0.287  -0.074 -0.362  -0.074 -0.437  -0.074 -0.511  -0.074 -0.586  -0.074 -0.661  -0.074 -0.736  -0.074 -0.811  -0.074 -0.885  -0.074 -0.960  -0.074 -1.035  -0.074 -1.110  -0.074 -1.184  -0.074 -1.259  -0.074 -1.334  -0.074 -1.409  -0.074 -1.483  -0.074 -1.558  -0.038 -1.598  0.036 -1.598  0.111 -1.598
3#app#app32#app3210/d  -0.095 -0.558  -0.262 -0.558  -0.430 -0.558  -0.597 -0.558  -0.726 -0.597  -0.798 -0.735  -0.832 -0.889  -0.832 -1.056  -0.726 -1.118  -0.658 -1.258  -0.506 -1.295  -0.339 -1.295  -0.180 -1.275  -0.095 -1.142  0.010 -1.080  0.058 -0.932  0.116 -0.788  0.162 -0.628  0.215 -0.470  0.288 -0.319  0.326 -0.160  0.326 0.007  0.326 0.175  0.326 0.342  0.326 0.510  0.326 0.677  0.389 0.830  0.431 0.988  0.431 1.155  0.431 1.323  0.431 1.490  0.431 1.658  0.363 1.757  0.315 1.629  0.240 1.479  0.132 1.352  0.116 1.192  0.070 1.035  0.010 0.882  0.010 0.714  0.010 0.546  0.010 0.379  0.010 0.211  0.010 0.044  0.010 -0.124  0.010 -0.291  0.010 -0.459  0.058 -0.606  0.116 -0.750  0.221 -0.874
3#app#app32#app3210/n  -0.553 0.485  -0.553 0.328  -0.635 0.252  -0.792 0.252  -0.950 0.252  -1.020 0.164  -1.020 0.007  -1.020 -0.151  -1.020 -0.309  -1.003 -0.449  -0.845 -0.449  -0.687 -0.449  -0.553 -0.426  -0.553 -0.268  -0.553 -0.111  -0.533 0.039  -0.421 0.150  -0.310 0.261  -0.198 0.373  -0.087 0.484  -0.086 0.642  -0.029 0.776  0.082 0.887  0.147 1.018  0.147 1.175  0.251 1.290  0.363 1.401  0.381 1.287  0.381 1.129  0.381 0.972  0.381 0.814  0.381 0.657  0.381 0.499  0.381 0.341  0.381 0.184  0.381 0.026  0.381 -0.131  0.381 -0.289  0.381 -0.447  0.381 -0.604  0.381 -0.762  0.383 -0.918  0.495 -1.030  0.606 -1.141  0.614 -1.295  0.684 -1.383  0.842 -1.383  1.000 -1.383  1.157 -1.383  1.315 -1.383
3#app#app32#app3210/'  0.741 -0.800  0.741 -0.680  0.741 -0.560  0.741 -0.440  0.741 -0.320  0.741 -0.199  0.741 -0.079  0.741 0.041  0.741 0.161  0.741 0.281  0.660 0.368  0.575 0.453  0.490 0.538  0.405 0.623  0.320 0.708  0.235 0.793  0.150 0.878  0.065 0.963  -0.020 1.048  -0.105 1.133  -0.190 1.218  -0.275 1.303  -0.347 1.357  -0.347 1.237  -0.347 1.117  -0.347 0.997  -0.347 0.877  -0.347 0.756  -0.347 0.636  -0.347 0.516  -0.347 0.396  -0.347 0.275  -0.347 0.155  -0.347 0.035  -0.347 -0.085  -0.347 -0.205  -0.347 -0.326  -0.347 -0.446  -0.347 -0.566  -0.347 -0.686  -0.347 -0.806  -0.347 -0.927  -0.347 -1.047  -0.347 -1.167  -0.347 -1.287  -0.347 -1.408  -0.347 -1.528  -0.347 -1.648  -0.347 -1.768  -0.347 -1.888
3#app#app32#app3210/t  0.207 1.735  0.345 1.700  0.296 1.547  0.207 1.411  0.207 1.238  0.124 1.100  0.070 0.949  0.070 0.776  0.070 0.603  0.070 0.430  0.070 0.257  0.070 0.084  -0.050 -0.039  -0.068 -0.205  -0.068 -0.378  -0.068 -0.551  -0.068 -0.724  -0.068 -0.897  -0.068 -1.070  -0.068 -1.243  0.015 -1.381  0.070 -1.532  0.162 -1.666  0.156 -1.615  0.074 -1.463  -0.008 -1.311  -0.090 -1.158  -0.172 -1.006  -0.254 -0.854  -0.337 -0.701  -0.419 -0.549  -0.501 -0.397  -0.583 -0.244  -0.665 -0.092  -0.747 0.060  -0.758 0.231  -0.758 0.404  -0.675 0.494  -0.502 0.494  -0.374 0.602  -0.213 0.632  -0.040 0.632  0.133 0.632  0.277 0.563  0.422 0.494  0.595 0.494  0.768 0.494  0.928 0.463  1.050 0.341  1.172 0.218
3#app#app32#app3210/o  0.550 0.821  0.439 0.932  0.312 1.001  0.155 1.001  -0.001 1.001  -0.158 1.001  -0.272 0.900  -0.382 0.789  -0.493 0.679  -0.603 0.568  -0.710 0.456  -0.710 0.300  -0.808 0.184  -0.890 0.062  -0.890 -0.095  -0.890 -0.251  -0.890 -0.407  -0.890 -0.564  -0.890 -0.720  -0.890 -0.876  -0.852 -1.017  -0.742 -1.128  -0.599 -1.159  -0.442 -1.159  -0.286 -1.159  -0.130 -1.159  0.027 -1.159  0.183 -1.159  0.190 -1.009  0.316 -0.979  0.442 -0.906  0.553 -0.796  0.663 -0.685  0.730 -0.557  0.757 -0.412  0.868 -0.301  0.910 -0.162  0.910 -0.006  0.910 0.151  0.891 0.299  0.781 0.410  0.670 0.521  0.560 0.631  0.550 0.783  0.431 0.821  0.275 0.821  0.190 0.892  0.142 1.001  0.010 0.978  0.010 0.821
3#app#app32#app3210/f  0.690 1.600  0.675 1.738  0.522 1.738  0.382 1.705  0.274 1.596  0.165 1.488  0.057 1.380  0.002 1.249  0.002 1.096  -0.074 0.974  -0.165 0.853  -0.234 0.716  -0.274 0.572  -0.274 0.419  -0.274 0.266  -0.274 0.113  -0.274 -0.041  -0.274 -0.194  -0.274 -0.347  -0.274 -0.501  -0.274 -0.654  -0.274 -0.807  -0.274 -0.960  -0.205 -1.085  -0.097 -1.194  0.012 -1.302  0.120 -1.410  0.252 -1.486  0.389 -1.555  0.367 -1.453  0.308 -1.311  0.249 -1.170  0.190 -1.028  0.131 -0.887  0.072 -0.745  0.013 -0.604  -0.046 -0.462  -0.105 -0.321  -0.164 -0.179  -0.222 -0.038  -0.294 0.085  -0.411 0.121  -0.411 0.274  -0.345 0.361  -0.196 0.335  -0.050 0.286  0.095 0.238  0.246 0.223  0.399 0.223  0.415 0.085
