2#tos#t1#t1012066/#  -1.149 0.598  -1.332 0.450  -0.926 0.413  -0.514 0.413  -0.102 0.413  0.307 0.406  0.697 0.338  0.906 0.312  0.507 0.207  0.109 0.103  -0.289 -0.002  -0.688 -0.106  -1.086 -0.210  -1.372 -0.398  -0.982 -0.442  -0.571 -0.442  -0.159 -0.442  0.253 -0.442  0.665 -0.442  0.986 -0.377  0.743 -0.045  0.500 0.288  0.258 0.621  0.015 0.954  -0.228 1.287  -0.406 1.192  -0.407 0.780  -0.480 0.379  -0.518 -0.018  -0.555 -0.421  -0.568 -0.831  -0.592 -1.240  -0.512 -1.333  -0.319 -0.969  -0.126 -0.605  0.068 -0.242  0.261 0.122  0.454 0.486  0.648 0.849  0.841 1.213  0.866 1.416  0.675 1.143  0.634 0.743  0.597 0.340  0.597 -0.072  0.523 -0.469  0.492 -0.874  0.458 -1.278  0.448 -1.687  0.374 -2.077
2#tos#t1#t1012066/[  0.113 1.136  0.039 1.098  -0.074 1.098  -0.149 1.060  -0.171 0.983  -0.058 0.983  0.055 0.983  0.168 0.983  0.281 0.983  0.394 0.983  0.486 0.984  0.373 0.992  0.260 1.000  0.148 1.008  0.035 1.016  -0.078 1.021  -0.185 0.986  -0.241 0.983  -0.231 0.881  -0.231 0.768  -0.231 0.655  -0.231 0.542  -0.231 0.429  -0.231 0.316  -0.231 0.203  -0.235 0.091  -0.269 -0.017  -0.269 -0.129  -0.269 -0.242  -0.269 -0.355  -0.269 -0.468  -0.269 -0.581  -0.269 -0.694  -0.269 -0.807  -0.269 -0.920  -0.269 -1.033  -0.308 -1.107  -0.269 -1.182  -0.249 -1.274  -0.136 -1.274  -0.023 -1.274  0.090 -1.274  0.203 -1.274  0.305 -1.263  0.391 -1.236  0.427 -1.160  0.540 -1.160  0.653 -1.160  0.764 -1.158  0.764 -1.121
2#tos#t1#t1012066/_  -1.173 0.201  -1.248 0.201  -1.312 0.189  -1.312 0.114  -1.336 0.062  -1.412 0.062  -1.415 0.062  -1.339 0.062  -1.264 0.062  -1.194 0.038  -1.126 0.004  -1.054 -0.007  -0.978 -0.007  -0.902 -0.007  -0.827 -0.007  -0.751 -0.007  -0.676 -0.007  -0.600 -0.007  -0.525 -0.007  -0.449 -0.007  -0.373 -0.007  -0.298 -0.007  -0.222 -0.007  -0.147 -0.007  -0.071 -0.007  0.004 -0.007  0.080 -0.007  0.155 -0.007  0.231 -0.007  0.307 -0.007  0.382 -0.007  0.458 -0.007  0.533 -0.007  0.609 -0.007  0.684 -0.007  0.760 -0.007  0.836 -0.007  0.911 -0.007  0.987 -0.007  1.062 -0.007  1.138 -0.007  1.192 -0.029  1.219 -0.077  1.295 -0.077  1.371 -0.077  1.446 -0.077  1.522 -0.077  1.540 -0.134  1.603 -0.146  1.679 -0.146
2#tos#t1#t1012066/`  0.491 1.112  0.491 0.992  0.491 0.873  0.374 0.870  0.254 0.870  0.134 0.870  0.014 0.870  -0.106 0.870  -0.226 0.870  -0.346 0.870  -0.466 0.870  -0.586 0.870  -0.706 0.870  -0.826 0.870  -0.946 0.870  -0.964 0.768  -0.964 0.648  -0.964 0.528  -0.964 0.408  -0.868 0.385  -0.748 0.385  -0.628 0.385  -0.508 0.385  -0.438 0.303  -0.385 0.196  -0.331 0.089  -0.277 -0.019  -0.237 -0.129  -0.237 -0.249  -0.211 -0.343  -0.091 -0.343  0.029 -0.343  0.149 -0.343  0.248 -0.364  0.248 -0.484  0.248 -0.604  0.248 -0.724  0.264 -0.828  0.384 -0.828  0.504 -0.828  0.624 -0.828  0.734 -0.839  0.734 -0.958  0.734 -1.078  0.734 -1.198  0.739 -1.313  0.859 -1.313  0.979 -1.313  1.099 -1.313  1.219 -1.313
2#tos#t1#t1012066/|  0.071 1.658  -0.001 1.634  -0.073 1.610  -0.073 1.533  -0.073 1.457  -0.073 1.381  -0.073 1.305  -0.073 1.229  -0.121 1.172  -0.121 1.096  -0.121 1.020  -0.121 0.944  -0.121 0.868  -0.121 0.792  -0.121 0.716  -0.121 0.639  -0.121 0.563  -0.121 0.487  -0.121 0.411  -0.121 0.335  -0.083 0.274  -0.073 0.202  -0.073 0.126  -0.045 0.056  -0.015 -0.014  0.015 -0.084  0.045 -0.154  0.075 -0.224  0.105 -0.294  0.135 -0.364  0.165 -0.434  0.195 -0.504  0.192 -0.553  0.116 -0.553  0.071 -0.584  0.071 -0.661  0.071 -0.737  0.071 -0.813  0.071 -0.889  0.071 -0.965  0.071 -1.041  0.071 -1.118  0.071 -1.194  0.071 -1.270  0.071 -1.346  0.071 -1.422  0.049 -1.489  0.023 -1.555  0.071 -1.583  0.071 -1.659
2#tos#t1#t1012066/~  -1.117 0.203  -1.179 0.152  -1.292 0.152  -1.372 0.119  -1.372 0.006  -1.406 0.050  -1.367 0.152  -1.270 0.168  -1.243 0.254  -1.168 0.292  -1.068 0.305  -1.015 0.365  -0.965 0.457  -0.852 0.458  -0.739 0.458  -0.626 0.458  -0.513 0.458  -0.421 0.407  -0.351 0.364  -0.298 0.305  -0.249 0.241  -0.225 0.152  -0.112 0.152  -0.096 0.055  -0.096 -0.058  -0.028 -0.104  0.085 -0.104  0.109 -0.193  0.160 -0.255  0.168 -0.359  0.281 -0.359  0.364 -0.389  0.456 -0.410  0.467 -0.512  0.580 -0.512  0.693 -0.512  0.806 -0.512  0.919 -0.512  0.977 -0.457  1.043 -0.410  1.156 -0.410  1.232 -0.344  1.259 -0.257  1.321 -0.206  1.335 -0.107  1.342 -0.002  1.386 0.068  1.386 0.181  1.426 0.254  1.488 0.305
2#tos#t1#t1012066/0  0.095 -0.987  -0.014 -1.096  -0.087 -1.104  -0.217 -1.079  -0.295 -1.002  -0.388 -0.932  -0.475 -0.819  -0.559 -0.702  -0.628 -0.593  -0.724 -0.498  -0.724 -0.344  -0.724 -0.189  -0.756 -0.038  -0.763 0.115  -0.763 0.270  -0.763 0.424  -0.724 0.540  -0.721 0.692  -0.646 0.801  -0.525 0.887  -0.488 1.006  -0.363 1.092  -0.256 1.157  -0.217 1.272  -0.067 1.277  0.088 1.277  0.242 1.277  0.280 1.160  0.356 1.082  0.469 1.032  0.525 0.911  0.594 0.778  0.681 0.660  0.720 0.522  0.720 0.367  0.759 0.251  0.759 0.097  0.759 -0.058  0.759 -0.212  0.720 -0.351  0.681 -0.489  0.611 -0.596  0.486 -0.656  0.447 -0.771  0.408 -0.887  0.329 -0.963  0.200 -0.993  0.134 -1.107  0.094 -1.221  -0.022 -1.260
2#tos#t1#t1012066/2  -0.344 1.226  -0.491 1.226  -0.525 1.248  -0.448 1.316  -0.346 1.362  -0.245 1.407  -0.098 1.407  0.018 1.376  0.108 1.320  0.206 1.271  0.244 1.162  0.310 1.069  0.380 0.978  0.425 0.850  0.425 0.704  0.425 0.557  0.425 0.410  0.415 0.270  0.289 0.218  0.221 0.139  0.199 0.015  0.135 -0.105  0.063 -0.195  -0.011 -0.268  -0.133 -0.328  -0.209 -0.443  -0.289 -0.530  -0.378 -0.624  -0.435 -0.718  -0.534 -0.766  -0.662 -0.811  -0.752 -0.894  -0.891 -0.902  -0.919 -0.902  -0.772 -0.902  -0.681 -0.825  -0.576 -0.766  -0.430 -0.766  -0.283 -0.766  -0.136 -0.766  0.010 -0.766  0.157 -0.766  0.304 -0.766  0.450 -0.766  0.597 -0.766  0.699 -0.721  0.845 -0.721  0.947 -0.676  1.093 -0.676  1.195 -0.630
2#tos#t1#t1012066/3  -0.371 1.243  -0.512 1.262  -0.428 1.337  -0.316 1.384  -0.156 1.384  -0.042 1.339  0.116 1.337  0.240 1.302  0.380 1.283  0.480 1.196  0.521 1.078  0.564 0.961  0.568 0.806  0.568 0.647  0.564 0.492  0.474 0.422  0.380 0.357  0.287 0.291  0.171 0.235  0.058 0.122  -0.099 0.116  -0.200 0.022  -0.309 -0.041  -0.461 -0.072  -0.526 -0.166  -0.685 -0.166  -0.695 -0.119  -0.559 -0.096  -0.424 -0.072  -0.264 -0.072  -0.124 -0.119  0.005 -0.149  0.147 -0.166  0.240 -0.233  0.325 -0.306  0.388 -0.407  0.427 -0.550  0.427 -0.710  0.380 -0.822  0.334 -0.934  0.251 -1.011  0.232 -1.152  0.099 -1.178  0.052 -1.290  -0.051 -1.368  -0.181 -1.456  -0.335 -1.480  -0.494 -1.480  -0.654 -1.480  -0.794 -1.527
2#tos#t1#t1012066/5  -0.319 1.123  -0.446 1.086  -0.362 1.049  -0.199 1.049  -0.035 1.049  0.128 1.049  0.290 1.041  0.447 1.012  0.602 1.012  0.441 1.035  0.280 1.063  0.119 1.091  -0.043 1.119  -0.204 1.147  -0.337 1.097  -0.430 0.988  -0.430 0.824  -0.430 0.661  -0.467 0.534  -0.504 0.377  -0.520 0.220  -0.541 0.065  -0.542 -0.098  -0.557 -0.172  -0.436 -0.172  -0.347 -0.094  -0.192 -0.061  -0.028 -0.061  0.136 -0.061  0.299 -0.061  0.389 -0.135  0.495 -0.192  0.589 -0.283  0.643 -0.393  0.643 -0.556  0.680 -0.683  0.673 -0.839  0.643 -0.973  0.569 -1.062  0.530 -1.209  0.409 -1.258  0.273 -1.300  0.139 -1.364  0.017 -1.431  -0.146 -1.431  -0.236 -1.357  -0.356 -1.292  -0.430 -1.203  -0.430 -1.039  -0.467 -0.913
2#tos#t1#t1012066/7  -0.798 1.013  -0.905 0.966  -0.811 0.861  -0.727 0.753  -0.727 0.599  -0.600 0.523  -0.514 0.407  -0.514 0.253  -0.407 0.176  -0.361 0.032  -0.274 -0.054  -0.274 0.020  -0.288 0.174  -0.301 0.328  -0.314 0.481  -0.328 0.635  -0.397 0.729  -0.530 0.677  -0.443 0.677  -0.304 0.693  -0.186 0.732  -0.039 0.764  0.110 0.794  0.264 0.800  0.418 0.800  0.572 0.800  0.727 0.800  0.838 0.757  0.792 0.617  0.731 0.500  0.685 0.357  0.615 0.231  0.589 0.103  0.589 -0.052  0.508 -0.125  0.482 -0.254  0.458 -0.398  0.409 -0.537  0.375 -0.681  0.291 -0.779  0.257 -0.919  0.166 -1.042  0.162 -1.195  0.155 -1.348  0.091 -1.487  0.001 -1.567  -0.016 -1.719  -0.020 -1.872  -0.087 -1.977  -0.123 -2.046
2#tos#t1#t1012066/8  0.406 0.072  0.266 -0.038  0.053 -0.074  -0.166 -0.074  -0.360 -0.049  -0.514 0.043  -0.616 0.177  -0.676 0.364  -0.762 0.540  -0.762 0.759  -0.762 0.978  -0.712 1.176  -0.527 1.276  -0.433 1.422  -0.226 1.463  -0.016 1.495  0.173 1.422  0.381 1.374  0.532 1.250  0.625 1.073  0.698 0.899  0.698 0.680  0.655 0.473  0.582 0.327  0.416 0.222  0.297 0.118  0.098 0.073  0.000 -0.076  -0.203 -0.136  -0.314 -0.293  -0.379 -0.459  -0.470 -0.598  -0.543 -0.772  -0.571 -0.979  -0.579 -1.195  -0.517 -1.352  -0.371 -1.425  -0.151 -1.425  0.068 -1.425  0.260 -1.398  0.406 -1.297  0.516 -1.160  0.589 -0.985  0.662 -0.796  0.625 -0.614  0.585 -0.432  0.443 -0.330  0.348 -0.184  0.202 -0.111  0.041 -0.001
2#tos#t1#t1012066/A  0.440 1.702  0.264 1.473  0.062 1.218  -0.088 0.907  -0.227 0.578  -0.381 0.295  -0.547 0.061  -0.688 -0.198  -0.781 -0.483  -0.924 -0.755  -0.884 -0.669  -0.711 -0.332  -0.537 0.005  -0.364 0.343  -0.191 0.680  -0.018 1.017  0.156 1.354  0.329 1.691  0.264 1.475  0.360 1.143  0.509 0.825  0.576 0.486  0.687 0.166  0.758 -0.184  0.793 -0.528  0.899 -0.830  0.946 -0.989  0.678 -0.721  0.410 -0.453  0.142 -0.185  -0.127 0.084  -0.395 0.303  -0.330 0.186  0.049 0.186  0.428 0.186  0.674 0.145  0.334 -0.022  -0.006 -0.189  -0.346 -0.356  -0.687 -0.523  -1.027 -0.690  -1.329 -0.888  -1.118 -0.942  -0.739 -0.934  -0.360 -0.918  0.018 -0.903  0.397 -0.887  0.776 -0.872  0.746 -1.047  1.110 -1.012
2#tos#t1#t1012066/H  -0.767 0.856  -0.913 0.596  -0.918 0.117  -0.986 -0.346  -0.986 -0.826  -0.820 -0.921  -0.472 -0.591  -0.123 -0.262  0.226 0.067  0.575 0.397  0.923 0.726  0.911 0.533  0.911 0.054  0.875 -0.390  0.875 -0.869  0.761 -1.145  0.426 -0.801  0.092 -0.457  -0.243 -0.114  -0.591 0.200  -0.510 0.054  -0.030 0.054  0.441 0.017  0.891 -0.056  0.726 0.132  0.321 0.389  -0.084 0.647  -0.488 0.904  -0.893 1.162  -1.165 1.112  -0.688 1.105  -0.591 0.774  -0.727 0.314  -0.863 -0.146  -0.999 -0.606  -1.205 -0.993  -0.798 -1.114  -0.474 -0.849  -0.240 -0.430  -0.007 -0.011  0.227 0.408  0.461 0.827  0.532 1.039  0.981 0.966  1.023 0.605  0.931 0.135  0.838 -0.336  0.746 -0.807  0.723 -1.041  1.167 -1.078
2#tos#t1#t1012066/K  -0.931 1.306  -0.871 1.220  -0.575 1.220  -0.336 1.162  -0.438 1.184  -0.643 1.099  -0.614 0.832  -0.585 0.564  -0.556 0.296  -0.556 -0.000  -0.556 -0.297  -0.556 -0.593  -0.556 -0.889  -0.628 -1.041  -0.873 -1.077  -0.670 -1.170  -0.373 -1.170  -0.118 -1.113  -0.069 -0.921  -0.190 -0.650  -0.311 -0.380  -0.432 -0.109  -0.427 0.003  -0.192 0.154  0.013 0.292  0.209 0.413  0.388 0.540  0.565 0.673  0.722 0.845  0.668 1.012  0.513 1.018  0.779 1.002  1.044 1.008  0.816 0.818  0.588 0.629  0.359 0.440  0.131 0.251  -0.097 0.061  -0.329 -0.121  -0.240 -0.263  -0.056 -0.393  0.164 -0.508  0.387 -0.616  0.604 -0.739  0.774 -0.882  0.738 -0.940  0.463 -0.975  0.665 -1.055  0.962 -1.055  1.229 -1.084
2#tos#t1#t1012066/M  -0.715 1.180  -0.805 0.975  -0.805 0.679  -0.805 0.383  -0.805 0.087  -0.805 -0.208  -0.805 -0.504  -0.803 -0.763  -0.772 -0.469  -0.740 -0.175  -0.708 0.119  -0.677 0.413  -0.645 0.707  -0.613 1.001  -0.711 1.180  -0.555 1.020  -0.396 0.848  -0.233 0.669  -0.081 0.472  0.070 0.327  0.190 0.156  0.251 0.391  0.371 0.613  0.492 0.823  0.613 1.016  0.744 1.180  0.763 0.903  0.824 0.627  0.854 0.344  0.900 0.094  0.942 -0.176  0.945 -0.471  1.005 -0.706  0.815 -0.744  0.519 -0.735  0.223 -0.726  -0.072 -0.717  -0.368 -0.707  -0.663 -0.698  -0.948 -0.726  -0.797 -0.812  -0.506 -0.781  -0.210 -0.775  0.085 -0.754  0.380 -0.732  0.675 -0.711  0.933 -0.713  0.866 -0.812  1.162 -0.812  1.427 -0.781
2#tos#t1#t1012066/N  -0.798 1.068  -0.900 0.757  -0.900 0.363  -0.962 -0.009  -0.968 -0.401  -0.968 -0.794  -0.995 -1.002  -0.954 -0.611  -0.914 -0.220  -0.873 0.172  -0.833 0.563  -0.855 0.898  -0.750 0.714  -0.572 0.400  -0.346 0.164  -0.167 -0.116  0.062 -0.345  0.263 -0.606  0.431 -0.873  0.598 -1.055  0.652 -0.666  0.708 -0.277  0.763 0.113  0.819 0.502  0.875 0.891  0.734 1.092  0.734 0.698  0.734 0.305  0.666 -0.060  0.700 -0.445  0.700 -0.839  0.692 -0.992  0.663 -0.599  0.635 -0.207  0.606 0.185  0.578 0.577  0.550 0.970  0.474 1.170  0.684 1.016  1.007 0.897  0.909 0.700  0.604 0.452  0.299 0.203  -0.005 -0.045  -0.310 -0.294  -0.615 -0.542  -0.920 -0.791  -1.207 -0.994  -0.837 -1.043  -0.492 -1.043
2#tos#t1#t1012066/O  0.275 -0.780  0.239 -0.899  0.166 -0.982  0.027 -0.999  -0.129 -0.999  -0.285 -0.999  -0.404 -0.962  -0.515 -0.890  -0.614 -0.777  -0.709 -0.701  -0.746 -0.560  -0.824 -0.426  -0.887 -0.285  -0.892 -0.130  -0.892 0.026  -0.892 0.182  -0.928 0.329  -0.928 0.485  -0.871 0.626  -0.822 0.765  -0.772 0.902  -0.639 0.970  -0.569 1.074  -0.416 1.079  -0.260 1.079  -0.119 1.116  0.036 1.116  0.192 1.116  0.312 1.058  0.421 0.969  0.541 0.934  0.664 0.849  0.749 0.760  0.824 0.678  0.859 0.558  0.859 0.402  0.895 0.283  0.895 0.127  0.895 -0.029  0.895 -0.184  0.859 -0.325  0.793 -0.415  0.705 -0.529  0.566 -0.598  0.530 -0.718  0.421 -0.764  0.290 -0.802  0.202 -0.878  0.058 -0.890  -0.053 -0.962
2#tos#t1#t1012066/R  -0.331 1.357  -0.430 1.224  -0.430 0.907  -0.430 0.589  -0.430 0.271  -0.430 -0.046  -0.430 -0.364  -0.430 -0.682  -0.430 -0.999  -0.427 -0.870  -0.423 -0.552  -0.419 -0.235  -0.414 0.083  -0.410 0.400  -0.406 0.718  -0.401 1.036  -0.427 1.324  -0.448 1.456  -0.171 1.523  0.146 1.523  0.423 1.423  0.647 1.291  0.695 1.002  0.586 0.794  0.500 0.562  0.278 0.397  0.062 0.285  -0.165 0.132  -0.464 0.150  -0.406 0.165  -0.163 0.033  0.075 -0.067  0.306 -0.199  0.525 -0.299  0.696 -0.464  0.881 -0.597  0.795 -0.712  0.551 -0.828  0.760 -0.828  1.070 -0.862  1.064 -0.875  0.747 -0.903  0.431 -0.930  0.115 -0.957  -0.202 -0.985  -0.518 -1.012  -0.795 -1.068  -0.602 -1.126  -0.318 -1.093  -0.000 -1.093
