1c#apa#apa02#app0241/j  0.118 0.829  0.118 0.973  0.126 0.923  0.212 0.864  0.289 0.751  0.306 0.613  0.306 0.469  0.306 0.324  0.306 0.180  0.306 0.035  0.306 -0.110  0.306 -0.254  0.306 -0.399  0.306 -0.544  0.306 -0.688  0.306 -0.833  0.212 -0.884  0.159 -1.006  0.118 -1.134  0.019 -1.235  -0.069 -1.291  -0.176 -1.329  -0.321 -1.329  -0.465 -1.329  -0.610 -1.329  -0.661 -1.235  -0.697 -1.161  -0.643 -1.027  -0.589 -0.892  -0.535 -0.758  -0.482 -0.624  -0.428 -0.490  -0.374 -0.355  -0.321 -0.221  -0.267 -0.087  -0.213 0.048  -0.159 0.182  -0.106 0.316  -0.052 0.450  0.002 0.585  0.055 0.719  0.109 0.853  0.163 0.987  0.217 1.122  0.270 1.256  0.324 1.390  0.378 1.525  0.399 1.665  0.306 1.716  0.212 1.767
1c#apa#apa02#app0241/d  0.540 1.820  0.540 1.882  0.540 1.709  0.540 1.536  0.493 1.375  0.423 1.219  0.423 1.046  0.462 0.880  0.516 0.716  0.540 0.547  0.540 0.374  0.540 0.202  0.644 0.072  0.657 -0.095  0.657 -0.268  0.657 -0.440  0.657 -0.613  0.657 -0.786  0.579 -0.880  0.524 -0.763  0.423 -0.692  0.333 -0.556  0.298 -0.397  0.221 -0.242  0.118 -0.106  0.070 0.047  -0.078 0.089  -0.164 0.226  -0.239 0.368  -0.394 0.411  -0.566 0.411  -0.728 0.364  -0.879 0.283  -1.001 0.161  -1.103 0.030  -1.163 -0.118  -1.221 -0.266  -1.221 -0.439  -1.162 -0.587  -1.013 -0.645  -0.883 -0.748  -0.733 -0.831  -0.571 -0.880  -0.399 -0.880  -0.226 -0.880  -0.054 -0.880  0.071 -0.763  0.227 -0.724  0.367 -0.645  0.540 -0.645
1c#apa#apa02#app0241/e  -0.536 -0.134  -0.375 -0.134  -0.214 -0.134  -0.054 -0.134  0.107 -0.134  0.245 -0.078  0.369 0.011  0.478 0.062  0.545 0.156  0.623 0.239  0.693 0.370  0.768 0.500  0.768 0.661  0.768 0.822  0.695 0.953  0.565 1.025  0.478 1.099  0.388 1.170  0.227 1.170  0.066 1.170  -0.054 1.072  -0.195 1.025  -0.356 1.025  -0.480 0.936  -0.536 0.798  -0.605 0.666  -0.719 0.552  -0.832 0.439  -0.946 0.325  -0.971 0.174  -0.971 0.014  -0.971 -0.147  -0.971 -0.308  -0.939 -0.456  -0.825 -0.569  -0.712 -0.683  -0.564 -0.714  -0.536 -0.847  -0.403 -0.925  -0.259 -0.997  -0.100 -1.004  0.061 -1.004  0.222 -1.004  0.383 -1.004  0.544 -1.004  0.704 -1.004  0.865 -1.004  1.026 -1.004  1.187 -1.004  1.348 -1.004
1c#apa#apa02#app0241/n  -1.005 1.278  -0.885 1.248  -0.843 1.116  -0.765 0.998  -0.765 0.848  -0.765 0.698  -0.765 0.547  -0.765 0.397  -0.716 0.268  -0.645 0.147  -0.645 -0.003  -0.645 -0.153  -0.645 -0.303  -0.645 -0.453  -0.645 -0.604  -0.645 -0.754  -0.631 -0.631  -0.525 -0.525  -0.524 -0.375  -0.483 -0.242  -0.387 -0.129  -0.320 0.005  -0.234 0.126  -0.128 0.233  -0.044 0.348  -0.044 0.498  0.020 0.621  0.127 0.728  0.233 0.834  0.348 0.918  0.498 0.918  0.622 0.853  0.677 0.726  0.677 0.576  0.677 0.426  0.677 0.276  0.677 0.126  0.677 -0.024  0.677 -0.174  0.677 -0.325  0.677 -0.475  0.677 -0.625  0.769 -0.737  0.797 -0.875  0.797 -1.025  0.797 -1.175  0.797 -1.326  0.797 -1.476  0.811 -1.620  0.918 -1.726
1c#apa#apa02#app0241/b  -0.308 2.053  -0.308 2.127  -0.308 1.978  -0.308 1.829  -0.308 1.680  -0.308 1.530  -0.308 1.381  -0.308 1.232  -0.308 1.082  -0.308 0.933  -0.308 0.784  -0.308 0.634  -0.308 0.485  -0.308 0.336  -0.254 0.209  -0.196 0.084  -0.196 -0.066  -0.196 -0.215  -0.196 -0.364  -0.196 -0.514  -0.196 -0.663  -0.196 -0.812  -0.196 -0.962  -0.196 -1.050  -0.196 -0.901  -0.196 -0.752  -0.174 -0.611  -0.084 -0.499  -0.084 -0.350  -0.016 -0.229  0.067 -0.107  0.134 0.026  0.252 0.062  0.313 0.150  0.462 0.150  0.572 0.054  0.598 -0.084  0.699 -0.191  0.699 -0.341  0.699 -0.490  0.699 -0.639  0.655 -0.745  0.587 -0.826  0.471 -0.861  0.365 -0.967  0.220 -0.984  0.087 -1.051  -0.031 -1.140  -0.159 -1.192  -0.308 -1.192
1c#apa#apa02#app0241/y  -0.760 1.206  -0.760 1.050  -0.760 0.894  -0.808 0.758  -0.859 0.624  -0.859 0.468  -0.859 0.312  -0.859 0.157  -0.854 0.003  -0.760 -0.114  -0.704 -0.247  -0.594 -0.357  -0.452 -0.391  -0.315 -0.346  -0.205 -0.235  -0.095 -0.125  0.015 -0.015  0.125 0.095  0.165 0.235  0.275 0.345  0.338 0.475  0.425 0.594  0.438 0.745  0.504 0.873  0.538 1.015  0.473 1.106  0.438 1.185  0.438 1.183  0.438 1.073  0.438 0.917  0.438 0.761  0.438 0.605  0.438 0.450  0.438 0.294  0.438 0.138  0.382 -0.005  0.338 -0.150  0.338 -0.306  0.338 -0.462  0.338 -0.618  0.301 -0.765  0.238 -0.906  0.238 -1.061  0.226 -1.214  0.156 -1.354  0.139 -1.505  0.139 -1.661  0.118 -1.808  0.039 -1.931  -0.061 -1.987
1c#apa#apa02#app0241/q  0.247 0.883  0.325 0.969  0.325 1.134  0.247 1.220  0.169 1.306  0.049 1.351  -0.101 1.315  -0.240 1.254  -0.379 1.195  -0.459 1.107  -0.533 0.960  -0.610 0.828  -0.610 0.664  -0.610 0.500  -0.554 0.359  -0.476 0.260  -0.312 0.260  -0.148 0.260  0.017 0.260  0.099 0.346  0.216 0.462  0.325 0.536  0.403 0.668  0.376 0.805  0.325 0.692  0.239 0.564  0.140 0.435  0.091 0.283  0.075 0.120  0.036 -0.039  -0.019 -0.193  -0.065 -0.346  -0.065 -0.511  -0.065 -0.675  -0.138 -0.822  -0.143 -0.985  -0.143 -1.149  -0.143 -1.313  -0.143 -1.477  -0.120 -1.632  -0.065 -1.758  0.024 -1.676  0.091 -1.540  0.202 -1.421  0.263 -1.282  0.325 -1.144  0.330 -0.982  0.403 -0.848  0.403 -0.683  0.403 -0.519
1c#apa#apa02#app0241/u  -0.764 1.120  -0.764 1.206  -0.798 1.052  -0.870 0.908  -0.888 0.751  -0.888 0.589  -0.888 0.428  -0.937 0.278  -1.009 0.134  -1.011 -0.027  -1.011 -0.188  -1.011 -0.350  -1.011 -0.511  -1.011 -0.673  -0.968 -0.824  -0.896 -0.968  -0.744 -0.984  -0.599 -0.943  -0.472 -0.860  -0.335 -0.802  -0.221 -0.688  -0.107 -0.574  0.008 -0.460  0.122 -0.346  0.226 -0.227  0.262 -0.081  0.377 0.033  0.484 0.152  0.557 0.296  0.597 0.448  0.674 0.578  0.721 0.719  0.721 0.881  0.721 1.042  0.721 1.036  0.721 0.875  0.608 0.760  0.597 0.603  0.597 0.442  0.597 0.280  0.597 0.119  0.632 -0.028  0.721 -0.153  0.721 -0.314  0.721 -0.475  0.826 -0.594  0.845 -0.747  0.893 -0.860  0.968 -0.946  0.968 -1.108
1c#apa#apa02#app0241/i  -0.001 0.420  -0.001 0.301  -0.018 0.186  -0.072 0.079  -0.100 -0.034  -0.100 -0.153  -0.100 -0.272  -0.100 -0.392  -0.100 -0.511  -0.100 -0.630  -0.154 -0.727  -0.199 -0.828  -0.199 -0.947  -0.199 -1.066  -0.199 -1.186  -0.199 -1.305  -0.199 -1.424  -0.199 -1.544  -0.184 -1.470  -0.166 -1.353  -0.147 -1.235  -0.129 -1.117  -0.111 -0.999  -0.092 -0.881  -0.074 -0.763  -0.055 -0.645  -0.037 -0.527  -0.018 -0.410  -0.000 -0.292  0.018 -0.174  0.037 -0.056  0.055 0.062  0.074 0.180  0.092 0.298  0.110 0.416  0.129 0.533  0.147 0.651  0.166 0.769  0.184 0.887  0.203 1.005  0.221 1.123  0.239 1.241  0.258 1.359  0.276 1.476  0.295 1.594  0.226 1.684  0.198 1.792  0.127 1.739  0.099 1.632  0.099 1.513
1c#apa#apa02#app0241/e  -0.236 -0.115  -0.096 -0.101  0.007 0.003  0.142 0.019  0.170 0.137  0.316 0.137  0.394 0.205  0.482 0.263  0.520 0.371  0.522 0.517  0.625 0.620  0.646 0.757  0.640 0.901  0.536 1.004  0.520 1.144  0.377 1.146  0.231 1.146  0.085 1.146  -0.058 1.122  -0.196 1.075  -0.335 1.029  -0.362 0.903  -0.496 0.886  -0.600 0.783  -0.615 0.643  -0.717 0.539  -0.820 0.436  -0.867 0.309  -0.867 0.163  -0.867 0.017  -0.867 -0.129  -0.867 -0.275  -0.867 -0.422  -0.800 -0.527  -0.670 -0.592  -0.555 -0.679  -0.452 -0.783  -0.348 -0.886  -0.245 -0.989  -0.102 -0.998  0.041 -1.010  0.172 -1.076  0.306 -1.124  0.452 -1.124  0.599 -1.124  0.745 -1.124  0.891 -1.124  1.037 -1.124  1.174 -1.101  1.277 -0.998
1c#apa#apa02#app0241/t  0.420 1.679  0.598 1.679  0.617 1.767  0.529 1.625  0.529 1.447  0.470 1.294  0.420 1.137  0.372 0.979  0.312 0.826  0.295 0.651  0.239 0.482  0.203 0.310  0.203 0.132  0.161 -0.036  0.094 -0.198  0.094 -0.375  0.094 -0.553  0.004 -0.694  -0.014 -0.864  -0.014 -1.042  -0.014 -1.220  0.009 -1.388  0.094 -1.530  0.221 -1.582  0.265 -1.508  0.170 -1.358  0.075 -1.207  -0.020 -1.057  -0.115 -0.906  -0.210 -0.756  -0.305 -0.606  -0.400 -0.455  -0.495 -0.305  -0.590 -0.155  -0.684 -0.004  -0.779 0.146  -0.874 0.296  -0.969 0.447  -0.884 0.458  -0.789 0.375  -0.720 0.266  -0.542 0.266  -0.364 0.266  -0.186 0.266  -0.021 0.215  0.144 0.157  0.322 0.157  0.499 0.157  0.677 0.157  0.855 0.157
1c#apa#apa02#app0241/z  -0.857 0.752  -0.751 0.752  -0.746 0.855  -0.649 0.864  -0.542 0.864  -0.461 0.926  -0.375 0.975  -0.268 0.975  -0.161 0.975  -0.055 0.975  0.052 0.975  0.158 0.975  0.265 0.975  0.372 0.975  0.478 0.975  0.585 0.975  0.692 0.975  0.698 0.875  0.631 0.796  0.555 0.721  0.480 0.645  0.431 0.551  0.383 0.455  0.318 0.372  0.247 0.294  0.199 0.199  0.152 0.103  0.081 0.024  0.015 -0.058  -0.032 -0.153  -0.080 -0.249  -0.156 -0.324  -0.191 -0.416  -0.191 -0.523  -0.225 -0.615  -0.300 -0.691  -0.302 -0.797  -0.302 -0.903  -0.302 -1.010  -0.302 -1.117  -0.302 -1.223  -0.220 -1.248  -0.191 -1.325  -0.118 -1.359  -0.031 -1.407  0.050 -1.470  0.156 -1.470  0.263 -1.470  0.369 -1.470  0.476 -1.470
1c#apa#apa02#app0241/e  -0.435 0.048  -0.418 -0.082  -0.271 -0.082  -0.125 -0.082  0.002 -0.034  0.111 0.061  0.242 0.127  0.377 0.178  0.474 0.227  0.521 0.354  0.633 0.437  0.766 0.470  0.863 0.576  0.863 0.723  0.863 0.869  0.863 1.016  0.787 1.086  0.641 1.086  0.494 1.086  0.348 1.086  0.201 1.086  0.058 1.073  -0.073 1.007  -0.208 0.957  -0.340 0.921  -0.440 0.815  -0.506 0.684  -0.575 0.556  -0.679 0.453  -0.694 0.312  -0.758 0.181  -0.823 0.050  -0.824 -0.097  -0.824 -0.243  -0.790 -0.376  -0.694 -0.482  -0.675 -0.621  -0.571 -0.724  -0.467 -0.828  -0.364 -0.932  -0.277 -1.047  -0.211 -1.178  -0.109 -1.250  0.038 -1.250  0.155 -1.321  0.277 -1.380  0.424 -1.380  0.570 -1.380  0.717 -1.380  0.863 -1.380
1c#apa#apa02#app0241/a  0.647 0.621  0.647 0.805  0.589 0.964  0.504 1.113  0.399 1.192  0.216 1.192  0.032 1.192  -0.152 1.192  -0.336 1.192  -0.370 1.033  -0.500 0.903  -0.630 0.773  -0.760 0.643  -0.786 0.470  -0.868 0.305  -0.925 0.135  -0.925 -0.049  -1.023 -0.192  -1.068 -0.357  -1.068 -0.541  -1.068 -0.725  -0.996 -0.879  -0.925 -1.033  -0.802 -1.093  -0.618 -1.093  -0.434 -1.093  -0.353 -0.990  -0.210 -0.950  -0.080 -0.820  -0.044 -0.665  0.121 -0.619  0.251 -0.489  0.361 -0.351  0.410 -0.187  0.526 -0.048  0.609 0.116  0.647 0.291  0.647 0.475  0.774 0.606  0.647 0.601  0.647 0.418  0.647 0.234  0.647 0.050  0.647 -0.134  0.647 -0.317  0.647 -0.501  0.667 -0.665  0.789 -0.726  0.789 -0.910  0.789 -1.093
1c#apa#apa02#app0241/l  0.415 1.613  0.415 1.541  0.393 1.478  0.343 1.427  0.292 1.376  0.241 1.325  0.190 1.275  0.188 1.204  0.188 1.132  0.188 1.060  0.162 0.994  0.130 0.930  0.098 0.865  0.074 0.799  0.074 0.727  0.074 0.655  0.069 0.585  0.018 0.535  -0.033 0.484  -0.040 0.415  -0.040 0.343  -0.040 0.271  -0.052 0.200  -0.069 0.131  -0.087 0.061  -0.104 -0.009  -0.122 -0.079  -0.139 -0.148  -0.153 -0.218  -0.153 -0.290  -0.153 -0.362  -0.153 -0.434  -0.153 -0.506  -0.153 -0.578  -0.153 -0.650  -0.153 -0.722  -0.153 -0.794  -0.153 -0.866  -0.153 -0.937  -0.153 -1.009  -0.153 -1.081  -0.153 -1.153  -0.153 -1.225  -0.153 -1.297  -0.133 -1.361  -0.082 -1.411  -0.040 -1.466  -0.040 -1.538  -0.040 -1.609  -0.040 -1.681
