2#apb#apb13#app1362/F  -0.479 -0.372  -0.461 -0.117  -0.388 0.135  -0.339 0.400  -0.279 0.624  -0.261 0.360  -0.335 0.097  -0.443 -0.155  -0.542 -0.410  -0.641 -0.666  -0.745 -0.919  -0.870 -1.163  -0.947 -1.425  -1.025 -1.679  -1.007 -1.480  -0.911 -1.224  -0.815 -0.967  -0.719 -0.710  -0.624 -0.453  -0.528 -0.196  -0.432 0.060  -0.336 0.317  -0.292 0.557  -0.521 0.682  -0.473 0.652  -0.201 0.673  0.071 0.709  0.343 0.746  0.616 0.755  0.890 0.755  1.145 0.846  1.415 0.882  1.680 0.857  1.676 0.665  1.426 0.553  1.175 0.442  0.925 0.331  0.674 0.220  0.424 0.108  0.173 -0.003  -0.077 -0.114  -0.328 -0.226  -0.588 -0.205  -0.372 -0.154  -0.101 -0.127  0.170 -0.081  0.440 -0.036  0.701 0.046  0.962 0.125  1.175 0.283
2#apb#apb13#app1362/V  -0.921 0.615  -1.036 0.746  -1.112 0.910  -1.097 1.088  -1.036 1.085  -0.977 0.915  -0.941 0.738  -0.916 0.559  -0.906 0.379  -0.876 0.202  -0.819 0.031  -0.756 -0.138  -0.678 -0.301  -0.597 -0.462  -0.478 -0.596  -0.336 -0.705  -0.217 -0.818  -0.107 -0.960  0.031 -1.042  0.129 -0.890  0.227 -0.739  0.325 -0.587  0.424 -0.436  0.522 -0.284  0.620 -0.132  0.718 0.019  0.816 0.171  0.915 0.322  1.013 0.474  1.111 0.626  1.209 0.777  1.298 0.934  1.205 0.969  1.051 0.874  0.905 0.769  0.777 0.642  0.649 0.514  0.518 0.390  0.386 0.267  0.268 0.132  0.175 -0.023  0.079 -0.175  -0.026 -0.322  -0.123 -0.474  -0.193 -0.641  -0.265 -0.806  -0.335 -0.973  -0.355 -1.147  -0.223 -1.249  -0.043 -1.249
2#apb#apb13#app1362/A  0.443 1.324  0.303 1.264  0.139 1.038  0.014 0.786  -0.161 0.567  -0.337 0.347  -0.510 0.125  -0.678 -0.100  -0.840 -0.329  -1.009 -0.554  -1.170 -0.784  -1.286 -1.038  -1.299 -1.317  -1.119 -1.430  -0.962 -1.207  -0.817 -0.966  -0.673 -0.725  -0.529 -0.483  -0.384 -0.242  -0.240 -0.001  -0.096 0.241  0.049 0.482  0.193 0.723  0.337 0.965  0.386 1.191  0.323 1.324  0.442 1.088  0.546 0.827  0.603 0.555  0.591 0.275  0.506 0.007  0.373 -0.240  0.252 -0.494  0.098 -0.727  -0.043 -0.955  0.159 -1.066  0.309 -0.957  0.141 -0.731  -0.027 -0.505  -0.195 -0.280  -0.362 -0.054  -0.357 0.202  -0.099 0.308  0.177 0.361  0.454 0.358  0.732 0.319  0.996 0.224  1.269 0.158  1.540 0.084  1.818 0.041
2#apb#apb13#app1362/N  -0.114 0.791  -0.313 0.800  -0.467 0.655  -0.583 0.477  -0.688 0.291  -0.801 0.110  -0.915 -0.071  -1.026 -0.253  -1.143 -0.431  -1.262 -0.608  -1.356 -0.797  -1.313 -0.992  -1.121 -1.046  -0.913 -0.999  -0.829 -0.821  -0.771 -0.616  -0.713 -0.410  -0.655 -0.205  -0.597 0.001  -0.539 0.206  -0.481 0.411  -0.505 0.565  -0.677 0.574  -0.562 0.402  -0.399 0.265  -0.224 0.143  -0.025 0.069  0.138 -0.065  0.297 -0.200  0.445 -0.354  0.558 -0.535  0.698 -0.461  0.806 -0.277  0.914 -0.093  1.022 0.091  1.130 0.275  1.238 0.459  1.346 0.643  1.454 0.827  1.388 0.987  1.271 0.814  1.175 0.623  1.059 0.445  0.937 0.270  0.809 0.099  0.680 -0.072  0.548 -0.239  0.426 -0.414  0.294 -0.580  0.359 -0.755
2#apb#apb13#app1362/I  0.133 0.771  0.149 0.850  0.161 0.929  0.161 1.010  0.184 1.083  0.232 1.148  0.293 1.201  0.357 1.249  0.347 1.306  0.415 1.293  0.415 1.212  0.415 1.132  0.414 1.051  0.396 0.972  0.377 0.894  0.359 0.815  0.340 0.736  0.322 0.658  0.303 0.579  0.273 0.504  0.241 0.430  0.210 0.355  0.179 0.281  0.147 0.206  0.116 0.132  0.085 0.057  0.049 -0.015  0.011 -0.086  -0.027 -0.158  -0.065 -0.229  -0.103 -0.300  -0.141 -0.372  -0.178 -0.443  -0.199 -0.521  -0.220 -0.600  -0.240 -0.678  -0.261 -0.756  -0.282 -0.834  -0.304 -0.911  -0.327 -0.989  -0.351 -1.066  -0.374 -1.144  -0.410 -1.216  -0.446 -1.288  -0.482 -1.361  -0.516 -1.433  -0.516 -1.514  -0.554 -1.579  -0.572 -1.652  -0.516 -1.710
2#apb#apb13#app1362/Z  -0.859 0.848  -0.830 0.966  -0.729 1.034  -0.611 1.073  -0.490 1.106  -0.370 1.139  -0.249 1.170  -0.124 1.170  0.001 1.166  0.122 1.133  0.244 1.106  0.368 1.092  0.493 1.090  0.610 1.050  0.672 0.969  0.659 0.845  0.635 0.723  0.569 0.617  0.498 0.514  0.424 0.414  0.345 0.317  0.265 0.220  0.186 0.124  0.104 0.029  0.022 -0.066  -0.060 -0.160  -0.146 -0.251  -0.234 -0.340  -0.322 -0.428  -0.411 -0.517  -0.499 -0.605  -0.576 -0.704  -0.648 -0.806  -0.714 -0.912  -0.767 -1.023  -0.684 -1.080  -0.563 -1.113  -0.441 -1.110  -0.319 -1.084  -0.196 -1.058  -0.074 -1.031  0.047 -1.002  0.169 -0.973  0.291 -0.944  0.406 -0.896  0.522 -0.848  0.638 -0.801  0.757 -0.762  0.875 -0.722  0.994 -0.682
2#apb#apb13#app1362/E  -0.394 0.879  -0.283 0.872  -0.389 0.563  -0.548 0.279  -0.737 0.011  -0.938 -0.247  -1.116 -0.522  -1.265 -0.812  -1.192 -1.096  -0.915 -1.060  -0.798 -0.754  -0.681 -0.448  -0.564 -0.143  -0.447 0.163  -0.330 0.469  -0.213 0.775  -0.081 1.048  0.223 1.160  0.545 1.222  0.869 1.263  1.195 1.237  1.394 1.022  1.195 0.809  0.925 0.624  0.655 0.438  0.385 0.253  0.115 0.067  -0.155 -0.119  -0.425 -0.304  -0.433 -0.071  -0.157 0.106  0.148 0.225  0.456 0.334  0.778 0.396  1.094 0.390  1.299 0.163  1.061 -0.013  0.773 -0.170  0.485 -0.326  0.198 -0.483  -0.090 -0.639  -0.378 -0.796  -0.666 -0.952  -0.959 -1.094  -0.733 -0.972  -0.421 -0.871  -0.105 -0.785  0.213 -0.708  0.539 -0.691  0.866 -0.691
2#apb#apb13#app1362/D  0.350 1.054  0.238 0.898  0.109 0.755  -0.007 0.602  -0.114 0.441  -0.237 0.294  -0.369 0.153  -0.502 0.014  -0.638 -0.122  -0.774 -0.258  -0.911 -0.395  -1.021 -0.550  -1.116 -0.718  -1.153 -0.901  -1.064 -1.044  -0.970 -0.875  -0.876 -0.707  -0.783 -0.538  -0.689 -0.370  -0.596 -0.202  -0.502 -0.033  -0.409 0.135  -0.315 0.304  -0.221 0.472  -0.135 0.638  -0.206 0.763  -0.058 0.881  0.117 0.960  0.307 0.989  0.484 1.060  0.672 1.058  0.853 0.995  1.017 0.896  1.177 0.789  1.227 0.614  1.227 0.427  1.226 0.234  1.182 0.047  1.067 -0.107  0.949 -0.259  0.813 -0.395  0.675 -0.529  0.555 -0.679  0.421 -0.818  0.277 -0.945  0.124 -1.047  -0.068 -1.055  -0.257 -1.021  -0.444 -0.977  -0.631 -0.930
2#apb#apb13#app1362/T  0.230 0.467  0.342 0.593  0.431 0.735  0.506 0.886  0.589 1.026  0.609 0.890  0.583 0.724  0.521 0.570  0.436 0.425  0.352 0.279  0.271 0.131  0.190 -0.016  0.103 -0.161  0.015 -0.305  -0.071 -0.450  -0.155 -0.596  -0.244 -0.739  -0.337 -0.879  -0.444 -1.009  -0.563 -1.124  -0.696 -1.227  -0.832 -1.326  -0.931 -1.455  -0.838 -1.574  -0.775 -1.452  -0.726 -1.291  -0.676 -1.130  -0.627 -0.969  -0.578 -0.808  -0.528 -0.646  -0.479 -0.485  -0.430 -0.324  -0.380 -0.163  -0.331 -0.002  -0.282 0.159  -0.232 0.320  -0.183 0.481  -0.273 0.587  -0.367 0.639  -0.203 0.673  -0.039 0.714  0.124 0.755  0.288 0.794  0.454 0.819  0.621 0.844  0.787 0.876  0.951 0.911  1.111 0.962  1.280 0.962  1.429 0.905
2#apb#apb13#app1362/H  -0.320 0.879  -0.190 1.078  -0.151 0.812  -0.238 0.552  -0.349 0.302  -0.468 0.055  -0.595 -0.187  -0.731 -0.425  -0.880 -0.655  -1.031 -0.884  -1.166 -1.122  -1.199 -1.355  -0.933 -1.300  -0.744 -1.109  -0.567 -0.900  -0.390 -0.691  -0.213 -0.482  -0.036 -0.273  0.141 -0.063  0.318 0.146  0.495 0.355  0.672 0.564  0.849 0.773  1.026 0.983  1.203 1.192  1.347 1.422  1.208 1.387  1.076 1.150  0.943 0.910  0.798 0.678  0.668 0.437  0.537 0.196  0.400 -0.041  0.250 -0.270  0.092 -0.494  -0.053 -0.727  -0.169 -0.974  -0.118 -1.204  -0.201 -0.996  -0.313 -0.746  -0.425 -0.496  -0.537 -0.246  -0.649 0.004  -0.718 0.156  -0.452 0.222  -0.181 0.261  0.090 0.303  0.364 0.304  0.638 0.304  0.896 0.216
2#apb#apb13#app1362/E  -0.026 0.688  -0.078 0.605  -0.235 0.330  -0.433 0.084  -0.609 -0.179  -0.789 -0.439  -0.923 -0.726  -0.987 -1.030  -0.872 -0.859  -0.750 -0.567  -0.628 -0.275  -0.506 0.017  -0.384 0.308  -0.262 0.600  -0.306 0.883  -0.041 1.044  0.253 1.159  0.557 1.245  0.870 1.284  1.182 1.311  1.480 1.233  1.571 0.945  1.476 0.648  1.196 0.525  0.897 0.424  0.597 0.322  0.298 0.221  -0.002 0.119  -0.301 0.018  -0.601 -0.084  -0.766 -0.085  -0.476 0.040  -0.171 0.124  0.135 0.206  0.444 0.270  0.742 0.207  0.861 -0.084  0.598 -0.247  0.324 -0.406  0.051 -0.565  -0.223 -0.723  -0.496 -0.882  -0.770 -1.041  -1.069 -1.115  -0.920 -1.014  -0.609 -0.959  -0.295 -0.920  0.018 -0.875  0.331 -0.874  0.646 -0.909
2#apb#apb13#app1362/B  0.028 0.794  0.027 0.831  -0.092 0.600  -0.226 0.376  -0.388 0.172  -0.531 -0.043  -0.636 -0.282  -0.718 -0.529  -0.802 -0.775  -0.911 -1.004  -0.941 -1.255  -0.860 -1.165  -0.758 -0.925  -0.657 -0.685  -0.556 -0.445  -0.455 -0.205  -0.353 0.035  -0.252 0.275  -0.151 0.516  -0.195 0.737  -0.307 0.970  -0.188 1.189  0.038 1.304  0.269 1.422  0.529 1.426  0.789 1.426  0.976 1.283  0.973 1.026  0.883 0.782  0.750 0.557  0.584 0.366  0.339 0.287  0.080 0.263  -0.176 0.225  -0.306 0.168  -0.047 0.181  0.213 0.162  0.464 0.096  0.691 -0.032  0.892 -0.195  0.977 -0.428  0.902 -0.677  0.753 -0.885  0.537 -1.027  0.293 -1.111  0.037 -1.161  -0.220 -1.199  -0.480 -1.197  -0.539 -1.122  -0.279 -1.122
2#apb#apb13#app1362/O  1.013 0.270  1.070 0.422  1.073 0.581  1.005 0.706  0.853 0.754  0.691 0.754  0.530 0.744  0.371 0.711  0.212 0.677  0.057 0.631  -0.091 0.566  -0.240 0.501  -0.386 0.430  -0.531 0.357  -0.676 0.285  -0.813 0.198  -0.948 0.108  -1.082 0.016  -1.201 -0.093  -1.321 -0.203  -1.423 -0.328  -1.493 -0.471  -1.458 -0.621  -1.338 -0.717  -1.191 -0.785  -1.036 -0.826  -0.875 -0.841  -0.713 -0.856  -0.552 -0.862  -0.392 -0.835  -0.232 -0.809  -0.072 -0.782  0.081 -0.732  0.229 -0.665  0.377 -0.598  0.524 -0.531  0.660 -0.441  0.795 -0.351  0.918 -0.249  1.011 -0.116  1.061 0.030  1.061 0.192  1.002 0.330  0.887 0.445  0.772 0.559  0.630 0.609  0.469 0.604  0.321 0.538  0.226 0.421  0.166 0.270
2#apb#apb13#app1362/X  0.987 0.792  1.101 0.953  1.115 1.095  1.014 0.926  0.896 0.768  0.773 0.615  0.650 0.461  0.523 0.311  0.394 0.162  0.265 0.013  0.143 -0.141  0.026 -0.299  -0.091 -0.457  -0.210 -0.614  -0.336 -0.766  -0.461 -0.918  -0.568 -1.082  -0.658 -1.257  -0.633 -1.433  -0.440 -1.430  -0.351 -1.318  -0.383 -1.123  -0.414 -0.929  -0.446 -0.735  -0.477 -0.540  -0.508 -0.346  -0.540 -0.151  -0.571 0.043  -0.603 0.237  -0.634 0.432  -0.665 0.626  -0.698 0.820  -0.771 1.003  -0.786 1.197  -0.707 1.323  -0.543 1.221  -0.395 1.093  -0.283 0.930  -0.172 0.768  -0.057 0.608  0.062 0.451  0.181 0.295  0.295 0.134  0.401 -0.032  0.507 -0.198  0.613 -0.364  0.710 -0.535  0.807 -0.706  0.905 -0.876  1.032 -1.026
2#apb#apb13#app1362/M  -0.697 0.795  -0.888 0.558  -1.080 0.316  -1.275 0.076  -1.467 -0.165  -1.668 -0.400  -1.838 -0.652  -1.693 -0.834  -1.427 -0.676  -1.162 -0.518  -0.897 -0.360  -0.631 -0.203  -0.366 -0.045  -0.101 0.113  0.164 0.271  0.430 0.429  0.690 0.591  0.761 0.883  0.638 0.611  0.467 0.354  0.308 0.090  0.152 -0.177  0.030 -0.459  0.094 -0.732  0.256 -0.618  0.376 -0.333  0.497 -0.049  0.617 0.235  0.740 0.518  0.939 0.722  1.105 0.471  1.187 0.173  1.263 -0.126  1.330 -0.425  1.419 -0.714  1.388 -0.778  1.142 -0.591  0.897 -0.403  0.652 -0.216  0.407 -0.028  0.161 0.159  -0.084 0.347  -0.329 0.534  -0.575 0.722  -0.593 0.800  -0.450 0.527  -0.372 0.230  -0.269 -0.061  -0.178 -0.346  -0.068 -0.617
2#apb#apb13#app1362/O  0.643 0.468  0.670 0.629  0.645 0.790  0.501 0.827  0.359 0.751  0.221 0.664  0.081 0.579  -0.060 0.497  -0.198 0.410  -0.329 0.312  -0.460 0.214  -0.579 0.102  -0.694 -0.013  -0.812 -0.127  -0.939 -0.229  -1.067 -0.331  -1.163 -0.463  -1.259 -0.595  -1.324 -0.743  -1.295 -0.882  -1.168 -0.974  -1.006 -0.995  -0.843 -0.989  -0.680 -0.980  -0.517 -0.971  -0.359 -0.929  -0.203 -0.880  -0.047 -0.831  0.111 -0.789  0.269 -0.747  0.421 -0.691  0.565 -0.614  0.709 -0.536  0.840 -0.439  0.969 -0.338  1.045 -0.194  1.103 -0.043  1.138 0.115  1.077 0.267  1.004 0.411  0.888 0.526  0.772 0.641  0.645 0.745  0.519 0.848  0.370 0.904  0.210 0.936  0.049 0.963  -0.112 0.936  -0.273 0.909  -0.435 0.882
2#apb#apb13#app1362/C  0.564 0.314  0.613 0.423  0.700 0.510  0.771 0.609  0.856 0.696  0.892 0.811  0.830 0.904  0.717 0.951  0.600 0.976  0.478 0.976  0.358 0.959  0.241 0.922  0.125 0.886  0.008 0.850  -0.106 0.807  -0.215 0.752  -0.324 0.698  -0.434 0.643  -0.543 0.588  -0.638 0.512  -0.733 0.435  -0.828 0.358  -0.921 0.279  -1.014 0.200  -1.097 0.114  -1.131 -0.003  -1.152 -0.123  -1.122 -0.234  -1.044 -0.328  -0.954 -0.409  -0.851 -0.474  -0.748 -0.540  -0.641 -0.596  -0.522 -0.623  -0.403 -0.651  -0.284 -0.678  -0.163 -0.700  -0.043 -0.721  0.077 -0.742  0.198 -0.764  0.319 -0.770  0.441 -0.770  0.564 -0.770  0.686 -0.770  0.808 -0.770  0.925 -0.765  0.969 -0.822  1.007 -0.938  1.056 -1.050  1.106 -1.161
2#apb#apb13#app1362/K  0.139 1.335  0.354 1.450  0.342 1.299  0.221 1.087  0.077 0.891  -0.069 0.695  -0.209 0.496  -0.356 0.302  -0.509 0.112  -0.632 -0.098  -0.753 -0.310  -0.878 -0.519  -0.995 -0.732  -1.045 -0.970  -1.064 -1.213  -1.005 -1.449  -0.863 -1.277  -0.716 -1.082  -0.569 -0.888  -0.423 -0.693  -0.276 -0.498  -0.130 -0.303  0.017 -0.108  0.164 0.086  0.310 0.281  0.457 0.476  0.618 0.655  0.804 0.810  0.944 1.001  0.987 1.103  0.839 0.910  0.663 0.744  0.450 0.626  0.233 0.516  0.010 0.416  -0.214 0.319  -0.439 0.227  -0.668 0.142  -0.829 0.047  -0.630 -0.088  -0.400 -0.169  -0.171 -0.252  0.058 -0.335  0.292 -0.403  0.529 -0.462  0.762 -0.531  0.982 -0.634  1.185 -0.764  1.212 -1.003  1.193 -1.246
2#apb#apb13#app1362/J  0.856 0.655  0.881 0.738  0.906 0.820  0.938 0.900  0.970 0.981  0.997 1.062  1.014 1.131  0.975 1.054  0.927 0.982  0.878 0.912  0.823 0.845  0.765 0.782  0.706 0.719  0.647 0.656  0.588 0.593  0.530 0.529  0.471 0.466  0.413 0.402  0.361 0.333  0.310 0.264  0.258 0.195  0.209 0.124  0.164 0.051  0.119 -0.022  0.080 -0.099  0.046 -0.179  0.012 -0.258  -0.014 -0.340  -0.042 -0.421  -0.077 -0.500  -0.114 -0.578  -0.164 -0.644  -0.241 -0.682  -0.319 -0.721  -0.396 -0.759  -0.474 -0.796  -0.557 -0.817  -0.641 -0.838  -0.727 -0.842  -0.813 -0.842  -0.896 -0.818  -0.978 -0.793  -1.044 -0.737  -1.108 -0.680  -1.169 -0.619  -1.224 -0.552  -1.270 -0.480  -1.276 -0.399  -1.194 -0.391  -1.107 -0.391
