3#apb#apb05#app0536/A  0.294 1.257  0.173 1.066  0.079 0.841  0.004 0.609  -0.068 0.375  -0.148 0.145  -0.242 -0.081  -0.334 -0.307  -0.422 -0.535  -0.512 -0.762  -0.612 -0.985  -0.709 -1.209  -0.776 -1.373  -0.745 -1.131  -0.703 -0.890  -0.650 -0.652  -0.587 -0.416  -0.525 -0.180  -0.466 0.057  -0.406 0.294  -0.333 0.527  -0.244 0.754  -0.156 0.982  -0.059 1.207  0.046 1.427  0.187 1.623  0.385 1.711  0.518 1.520  0.633 1.305  0.677 1.068  0.701 0.825  0.721 0.581  0.738 0.337  0.748 0.093  0.747 -0.150  0.719 -0.393  0.694 -0.636  0.683 -0.880  0.678 -1.124  0.603 -1.310  0.404 -1.172  0.230 -1.001  0.055 -0.830  -0.119 -0.659  -0.293 -0.488  -0.468 -0.317  -0.617 -0.309  -0.413 -0.323  -0.174 -0.271  0.064 -0.218
3#apb#apb05#app0536/L  0.049 1.635  -0.018 1.694  -0.070 1.638  -0.101 1.553  -0.131 1.466  -0.152 1.378  -0.173 1.289  -0.194 1.200  -0.214 1.111  -0.233 1.022  -0.251 0.933  -0.270 0.843  -0.288 0.754  -0.300 0.663  -0.312 0.573  -0.323 0.483  -0.335 0.392  -0.347 0.302  -0.361 0.211  -0.374 0.121  -0.388 0.031  -0.401 -0.059  -0.413 -0.150  -0.424 -0.240  -0.436 -0.331  -0.448 -0.421  -0.462 -0.511  -0.476 -0.601  -0.502 -0.687  -0.477 -0.728  -0.390 -0.706  -0.307 -0.670  -0.216 -0.659  -0.125 -0.650  -0.034 -0.650  0.057 -0.650  0.144 -0.672  0.229 -0.706  0.316 -0.728  0.407 -0.728  0.498 -0.728  0.580 -0.768  0.662 -0.808  0.752 -0.818  0.843 -0.830  0.926 -0.867  1.009 -0.905  1.087 -0.951  1.159 -1.007  1.231 -1.063
3#apb#apb05#app0536/M  -0.799 0.660  -0.926 0.487  -0.960 0.265  -0.949 0.037  -0.947 -0.192  -0.940 -0.420  -0.900 -0.645  -0.866 -0.871  -0.844 -1.098  -0.766 -1.310  -0.705 -1.293  -0.641 -1.074  -0.599 -0.850  -0.573 -0.623  -0.548 -0.396  -0.524 -0.168  -0.500 0.059  -0.467 0.286  -0.435 0.512  -0.401 0.738  -0.348 0.956  -0.217 0.953  -0.121 0.745  -0.105 0.518  -0.097 0.289  -0.097 0.061  -0.068 -0.166  -0.012 -0.387  0.090 -0.420  0.198 -0.219  0.289 -0.010  0.362 0.207  0.434 0.424  0.514 0.638  0.594 0.853  0.708 1.050  0.830 1.244  0.950 1.298  0.967 1.072  0.945 0.845  0.924 0.617  0.903 0.389  0.885 0.161  0.867 -0.066  0.841 -0.294  0.813 -0.521  0.800 -0.749  0.790 -0.977  0.790 -1.206  0.864 -1.410
3#apb#apb05#app0536/N  -0.680 1.048  -0.600 0.911  -0.547 0.720  -0.525 0.523  -0.504 0.326  -0.487 0.128  -0.473 -0.069  -0.493 -0.266  -0.512 -0.464  -0.531 -0.661  -0.555 -0.857  -0.618 -1.045  -0.680 -1.232  -0.680 -1.074  -0.680 -0.876  -0.677 -0.677  -0.669 -0.479  -0.661 -0.281  -0.647 -0.084  -0.633 0.114  -0.619 0.312  -0.604 0.509  -0.590 0.707  -0.556 0.902  -0.515 1.096  -0.415 1.215  -0.295 1.057  -0.206 0.880  -0.139 0.694  -0.089 0.503  -0.034 0.312  0.034 0.126  0.111 -0.056  0.203 -0.232  0.295 -0.407  0.387 -0.583  0.479 -0.758  0.612 -0.905  0.776 -1.011  0.951 -0.948  1.064 -0.789  1.123 -0.599  1.155 -0.405  1.172 -0.208  1.192 -0.011  1.223 0.185  1.253 0.381  1.275 0.578  1.295 0.775  1.316 0.972
3#apb#apb05#app0536/O  -0.336 0.880  -0.442 0.855  -0.507 0.747  -0.554 0.627  -0.591 0.505  -0.628 0.382  -0.663 0.258  -0.689 0.133  -0.715 0.007  -0.742 -0.118  -0.764 -0.245  -0.786 -0.371  -0.803 -0.498  -0.810 -0.626  -0.817 -0.754  -0.797 -0.878  -0.753 -0.999  -0.668 -1.088  -0.555 -1.137  -0.427 -1.137  -0.298 -1.137  -0.176 -1.100  -0.053 -1.061  0.061 -1.009  0.161 -0.928  0.260 -0.847  0.359 -0.764  0.446 -0.671  0.534 -0.577  0.622 -0.484  0.703 -0.384  0.780 -0.282  0.857 -0.179  0.909 -0.065  0.938 0.060  0.946 0.186  0.923 0.312  0.901 0.438  0.849 0.554  0.784 0.664  0.719 0.775  0.632 0.866  0.530 0.944  0.429 1.023  0.319 1.089  0.209 1.155  0.096 1.216  -0.023 1.263  -0.133 1.240  -0.235 1.163
3#apb#apb05#app0536/P  -0.238 0.771  -0.355 0.712  -0.379 0.535  -0.382 0.356  -0.382 0.176  -0.359 -0.002  -0.336 -0.180  -0.328 -0.359  -0.328 -0.538  -0.328 -0.718  -0.328 -0.898  -0.328 -1.077  -0.328 -1.257  -0.328 -1.436  -0.315 -1.615  -0.296 -1.717  -0.314 -1.538  -0.333 -1.360  -0.351 -1.181  -0.370 -1.002  -0.389 -0.824  -0.407 -0.645  -0.426 -0.466  -0.445 -0.288  -0.463 -0.109  -0.482 0.069  -0.500 0.248  -0.519 0.427  -0.538 0.605  -0.556 0.784  -0.489 0.850  -0.313 0.883  -0.140 0.931  0.034 0.973  0.213 0.989  0.392 1.005  0.570 0.979  0.747 0.952  0.917 0.894  1.087 0.835  1.261 0.796  1.348 0.656  1.284 0.494  1.145 0.380  0.983 0.307  0.815 0.245  0.646 0.183  0.478 0.121  0.309 0.058  0.141 -0.005
3#apb#apb05#app0536/Q  0.283 0.945  0.178 1.130  -0.012 1.137  -0.148 0.975  -0.264 0.795  -0.371 0.609  -0.478 0.424  -0.566 0.228  -0.654 0.033  -0.742 -0.163  -0.830 -0.358  -0.879 -0.567  -0.917 -0.777  -0.887 -0.989  -0.774 -1.164  -0.569 -1.208  -0.357 -1.201  -0.145 -1.168  0.037 -1.062  0.209 -0.934  0.360 -0.783  0.509 -0.629  0.613 -0.441  0.716 -0.253  0.759 -0.044  0.774 0.167  0.741 0.379  0.663 0.573  0.541 0.750  0.416 0.924  0.289 1.097  0.105 1.205  -0.085 1.303  -0.287 1.355  -0.477 1.275  -0.445 1.063  -0.413 0.851  -0.382 0.639  -0.350 0.427  -0.318 0.215  -0.241 0.026  -0.084 -0.120  0.067 -0.272  0.213 -0.429  0.364 -0.580  0.509 -0.738  0.654 -0.897  0.790 -1.061  0.901 -1.245  0.985 -1.441
3#apb#apb05#app0536/R  -0.371 0.730  -0.403 0.654  -0.421 0.429  -0.409 0.202  -0.393 -0.025  -0.376 -0.252  -0.357 -0.479  -0.336 -0.706  -0.316 -0.933  -0.297 -1.159  -0.284 -1.387  -0.278 -1.614  -0.263 -1.603  -0.296 -1.377  -0.330 -1.152  -0.364 -0.927  -0.397 -0.702  -0.431 -0.477  -0.464 -0.252  -0.498 -0.026  -0.532 0.199  -0.565 0.424  -0.599 0.649  -0.627 0.874  -0.576 1.096  -0.387 1.220  -0.172 1.293  0.050 1.343  0.276 1.360  0.501 1.337  0.716 1.272  0.869 1.103  0.971 0.900  1.000 0.679  0.881 0.487  0.694 0.361  0.479 0.288  0.257 0.243  0.031 0.243  -0.183 0.316  -0.297 0.260  -0.153 0.087  0.008 -0.074  0.165 -0.239  0.321 -0.404  0.488 -0.559  0.661 -0.707  0.838 -0.850  1.020 -0.987  1.149 -1.160
3#apb#apb05#app0536/S  0.356 1.291  0.333 1.369  0.214 1.384  0.092 1.350  -0.026 1.302  -0.142 1.251  -0.248 1.185  -0.338 1.096  -0.428 1.006  -0.518 0.917  -0.611 0.830  -0.704 0.744  -0.794 0.654  -0.879 0.560  -0.950 0.457  -0.947 0.343  -0.890 0.229  -0.769 0.200  -0.645 0.173  -0.519 0.156  -0.393 0.138  -0.267 0.121  -0.142 0.101  -0.017 0.080  0.108 0.059  0.230 0.027  0.348 -0.021  0.466 -0.068  0.581 -0.121  0.692 -0.184  0.802 -0.246  0.904 -0.322  0.988 -0.411  1.028 -0.531  0.997 -0.653  0.937 -0.761  0.852 -0.856  0.748 -0.924  0.632 -0.975  0.515 -1.022  0.390 -1.047  0.266 -1.072  0.139 -1.072  0.012 -1.072  -0.114 -1.060  -0.239 -1.037  -0.360 -1.004  -0.467 -0.936  -0.568 -0.860  -0.657 -0.770
3#apb#apb05#app0536/T  0.297 1.018  0.232 0.898  0.199 0.740  0.210 0.578  0.217 0.416  0.210 0.255  0.203 0.093  0.207 -0.068  0.228 -0.229  0.249 -0.389  0.258 -0.551  0.258 -0.713  0.258 -0.875  0.258 -1.037  0.258 -1.199  0.235 -1.358  0.199 -1.516  0.147 -1.643  0.047 -1.522  -0.024 -1.377  -0.094 -1.231  -0.165 -1.085  -0.235 -0.939  -0.305 -0.793  -0.376 -0.648  -0.446 -0.502  -0.517 -0.356  -0.587 -0.210  -0.657 -0.064  -0.728 0.082  -0.798 0.227  -0.869 0.373  -0.939 0.519  -1.009 0.665  -0.986 0.739  -0.825 0.720  -0.664 0.706  -0.503 0.720  -0.341 0.734  -0.180 0.749  -0.019 0.765  0.142 0.782  0.303 0.799  0.465 0.807  0.626 0.814  0.788 0.820  0.950 0.822  1.112 0.822  1.274 0.822  1.436 0.822
3#apb#apb05#app0536/U  -0.718 1.347  -0.617 1.466  -0.617 1.293  -0.641 1.119  -0.679 0.947  -0.716 0.775  -0.753 0.603  -0.789 0.430  -0.823 0.258  -0.858 0.085  -0.867 -0.091  -0.876 -0.267  -0.865 -0.442  -0.844 -0.617  -0.814 -0.790  -0.779 -0.963  -0.649 -1.081  -0.495 -1.163  -0.328 -1.162  -0.161 -1.109  -0.009 -1.021  0.110 -0.896  0.210 -0.751  0.301 -0.601  0.380 -0.443  0.458 -0.286  0.502 -0.116  0.541 0.056  0.579 0.228  0.604 0.402  0.625 0.577  0.645 0.752  0.651 0.928  0.651 1.104  0.561 1.223  0.482 1.076  0.427 0.910  0.387 0.738  0.360 0.565  0.343 0.389  0.331 0.214  0.348 0.038  0.364 -0.137  0.393 -0.311  0.426 -0.484  0.475 -0.651  0.561 -0.804  0.647 -0.958  0.729 -1.114  0.812 -1.270
3#apb#apb05#app0536/V  -0.790 0.888  -0.866 0.983  -0.942 1.078  -0.938 1.119  -0.873 1.016  -0.809 0.912  -0.755 0.804  -0.714 0.688  -0.674 0.573  -0.634 0.458  -0.599 0.341  -0.563 0.224  -0.527 0.108  -0.494 -0.009  -0.463 -0.128  -0.432 -0.246  -0.402 -0.364  -0.371 -0.482  -0.339 -0.600  -0.308 -0.718  -0.276 -0.835  -0.244 -0.953  -0.188 -1.061  -0.125 -1.165  -0.055 -1.264  0.024 -1.357  0.123 -1.323  0.195 -1.226  0.247 -1.115  0.299 -1.005  0.333 -0.888  0.357 -0.769  0.381 -0.649  0.408 -0.530  0.441 -0.413  0.474 -0.295  0.507 -0.178  0.539 -0.060  0.570 0.058  0.601 0.176  0.632 0.294  0.665 0.412  0.700 0.529  0.734 0.646  0.769 0.763  0.804 0.879  0.841 0.996  0.877 1.112  0.912 1.229  0.948 1.346
3#apb#apb05#app0536/W  -1.381 1.244  -1.357 1.113  -1.260 0.927  -1.132 0.760  -1.018 0.584  -0.909 0.403  -0.800 0.223  -0.689 0.043  -0.578 -0.136  -0.480 -0.323  -0.382 -0.509  -0.311 -0.708  -0.241 -0.907  -0.182 -1.109  -0.090 -1.262  -0.090 -1.052  -0.090 -0.841  -0.102 -0.631  -0.130 -0.422  -0.155 -0.212  -0.173 -0.002  -0.192 0.208  -0.212 0.417  -0.233 0.627  -0.275 0.834  -0.268 0.789  -0.236 0.580  -0.186 0.376  -0.131 0.172  -0.071 -0.030  -0.001 -0.228  0.090 -0.419  0.181 -0.609  0.275 -0.797  0.384 -0.976  0.525 -1.133  0.654 -1.132  0.727 -0.936  0.775 -0.731  0.793 -0.521  0.811 -0.311  0.820 -0.101  0.828 0.110  0.846 0.320  0.874 0.529  0.903 0.737  0.927 0.947  0.947 1.157  0.979 1.365  1.016 1.572
3#apb#apb05#app0536/X  -1.074 1.289  -1.065 1.125  -0.994 0.951  -0.913 0.781  -0.831 0.612  -0.733 0.451  -0.634 0.290  -0.515 0.145  -0.394 0.001  -0.279 -0.148  -0.176 -0.306  -0.074 -0.464  0.047 -0.608  0.169 -0.751  0.241 -0.925  0.315 -1.099  0.405 -1.264  0.459 -1.444  0.507 -1.439  0.521 -1.251  0.535 -1.064  0.549 -0.876  0.563 -0.688  0.577 -0.500  0.590 -0.312  0.604 -0.125  0.618 0.063  0.632 0.251  0.646 0.439  0.660 0.627  0.674 0.815  0.687 1.002  0.701 1.190  0.704 1.361  0.538 1.273  0.375 1.178  0.274 1.021  0.178 0.859  0.091 0.692  0.003 0.525  -0.090 0.362  -0.185 0.199  -0.282 0.038  -0.386 -0.119  -0.491 -0.276  -0.588 -0.437  -0.675 -0.603  -0.759 -0.772  -0.829 -0.947  -0.899 -1.122
3#apb#apb05#app0536/Y  -0.937 1.004  -0.936 0.920  -0.874 0.769  -0.793 0.628  -0.709 0.488  -0.619 0.353  -0.520 0.224  -0.400 0.114  -0.287 -0.003  -0.181 -0.127  -0.082 -0.256  0.015 -0.387  0.135 -0.496  0.231 -0.617  0.273 -0.474  0.314 -0.317  0.355 -0.159  0.396 -0.001  0.438 0.156  0.479 0.314  0.520 0.472  0.561 0.630  0.602 0.787  0.644 0.945  0.685 1.103  0.726 1.260  0.759 1.395  0.669 1.260  0.572 1.130  0.502 0.982  0.433 0.835  0.382 0.680  0.330 0.526  0.275 0.372  0.204 0.226  0.133 0.079  0.063 -0.068  -0.003 -0.217  -0.064 -0.368  -0.126 -0.519  -0.185 -0.671  -0.238 -0.825  -0.292 -0.979  -0.346 -1.132  -0.406 -1.284  -0.465 -1.436  -0.516 -1.590  -0.555 -1.749  -0.587 -1.907  -0.571 -2.069
3#apb#apb05#app0536/Z  -0.745 1.194  -0.858 1.156  -0.890 1.048  -0.826 0.960  -0.705 0.928  -0.578 0.928  -0.452 0.931  -0.327 0.946  -0.201 0.960  -0.075 0.967  0.051 0.974  0.177 0.978  0.303 0.978  0.429 0.978  0.556 0.978  0.671 0.937  0.750 0.851  0.738 0.727  0.694 0.608  0.617 0.512  0.527 0.423  0.443 0.329  0.363 0.231  0.284 0.133  0.194 0.044  0.102 -0.042  0.010 -0.129  -0.080 -0.218  -0.169 -0.307  -0.258 -0.396  -0.348 -0.486  -0.437 -0.575  -0.524 -0.666  -0.600 -0.767  -0.673 -0.870  -0.728 -0.981  -0.630 -1.043  -0.508 -1.066  -0.382 -1.066  -0.256 -1.066  -0.131 -1.048  -0.006 -1.030  0.120 -1.016  0.246 -1.016  0.372 -1.016  0.498 -1.008  0.622 -0.987  0.747 -0.967  0.873 -0.966  0.999 -0.966
