3#apb#apb31#app3189/E  0.510 1.317  0.460 1.060  0.369 0.814  0.269 0.572  0.161 0.334  0.048 0.097  -0.066 -0.139  -0.191 -0.369  -0.317 -0.599  -0.473 -0.810  -0.629 -1.020  -0.793 -1.223  -0.912 -1.317  -0.803 -1.079  -0.694 -0.840  -0.585 -0.602  -0.476 -0.364  -0.367 -0.125  -0.258 0.113  -0.149 0.351  -0.040 0.590  0.069 0.828  0.277 0.958  0.496 1.101  0.736 1.207  0.980 1.301  1.231 1.377  1.248 1.321  1.054 1.146  0.859 0.970  0.665 0.794  0.470 0.619  0.276 0.443  0.081 0.267  -0.113 0.092  -0.307 -0.084  -0.486 -0.253  -0.254 -0.135  0.001 -0.077  0.245 0.020  0.322 -0.011  0.168 -0.223  0.013 -0.435  -0.141 -0.647  -0.295 -0.858  -0.449 -1.070  -0.603 -1.282  -0.757 -1.491  -0.547 -1.367  -0.302 -1.272
3#apb#apb31#app3189/r  -0.164 0.409  -0.248 0.337  -0.325 0.261  -0.352 0.155  -0.378 0.048  -0.405 -0.059  -0.433 -0.166  -0.461 -0.272  -0.489 -0.379  -0.517 -0.485  -0.538 -0.593  -0.558 -0.701  -0.577 -0.810  -0.602 -0.916  -0.651 -1.015  -0.701 -1.113  -0.720 -1.219  -0.739 -1.237  -0.705 -1.132  -0.666 -1.029  -0.626 -0.927  -0.561 -0.840  -0.486 -0.759  -0.411 -0.679  -0.336 -0.599  -0.262 -0.517  -0.194 -0.430  -0.126 -0.343  -0.058 -0.257  0.010 -0.170  0.077 -0.083  0.144 0.004  0.206 0.095  0.269 0.186  0.332 0.276  0.394 0.367  0.457 0.458  0.519 0.548  0.582 0.639  0.645 0.729  0.709 0.819  0.773 0.908  0.836 0.998  0.900 1.088  0.963 1.178  1.015 1.275  1.067 1.372  1.119 1.469  1.154 1.574  1.118 1.534
3#apb#apb31#app3189/a  0.584 1.167  0.414 1.099  0.244 1.031  0.084 0.942  -0.076 0.853  -0.226 0.749  -0.363 0.627  -0.500 0.505  -0.628 0.375  -0.746 0.235  -0.864 0.095  -0.971 -0.053  -1.062 -0.212  -1.153 -0.371  -1.235 -0.534  -1.303 -0.704  -1.329 -0.878  -1.273 -1.038  -1.093 -1.074  -0.917 -1.081  -0.754 -0.999  -0.590 -0.917  -0.428 -0.831  -0.267 -0.743  -0.106 -0.656  0.045 -0.554  0.177 -0.428  0.310 -0.302  0.443 -0.175  0.564 -0.038  0.683 0.101  0.801 0.241  0.896 0.395  0.971 0.563  1.041 0.731  1.077 0.911  0.955 1.025  0.788 0.960  0.674 0.826  0.580 0.669  0.500 0.504  0.432 0.334  0.364 0.164  0.333 -0.016  0.306 -0.197  0.318 -0.373  0.392 -0.541  0.483 -0.693  0.636 -0.795  0.788 -0.897
3#apb#apb31#app3189/t  0.422 1.722  0.574 1.659  0.602 1.480  0.556 1.287  0.508 1.095  0.427 0.916  0.327 0.745  0.235 0.570  0.158 0.387  0.081 0.205  -0.007 0.028  -0.096 -0.150  -0.183 -0.328  -0.268 -0.507  -0.346 -0.688  -0.361 -0.885  -0.356 -1.082  -0.331 -1.279  -0.297 -1.474  -0.193 -1.621  -0.006 -1.663  0.113 -1.504  0.224 -1.340  0.336 -1.177  0.453 -1.017  0.593 -0.880  0.718 -0.734  0.616 -0.602  0.456 -0.485  0.297 -0.367  0.137 -0.249  -0.022 -0.132  -0.182 -0.014  -0.341 0.104  -0.500 0.221  -0.660 0.339  -0.819 0.457  -0.979 0.574  -1.138 0.692  -1.035 0.589  -0.858 0.500  -0.665 0.489  -0.467 0.498  -0.269 0.503  -0.071 0.503  0.128 0.503  0.326 0.506  0.523 0.520  0.721 0.534  0.919 0.549
3#apb#apb31#app3189/i  0.117 0.328  0.095 0.218  0.073 0.107  0.051 -0.003  0.032 -0.114  0.014 -0.225  -0.004 -0.336  -0.022 -0.448  -0.048 -0.557  -0.080 -0.665  -0.111 -0.773  -0.143 -0.881  -0.169 -0.990  -0.192 -1.101  -0.216 -1.211  -0.243 -1.320  -0.276 -1.427  -0.295 -1.476  -0.274 -1.366  -0.253 -1.255  -0.232 -1.145  -0.212 -1.034  -0.191 -0.923  -0.170 -0.813  -0.149 -0.702  -0.128 -0.591  -0.107 -0.481  -0.086 -0.370  -0.065 -0.259  -0.044 -0.149  -0.023 -0.038  -0.003 0.072  0.018 0.183  0.039 0.294  0.060 0.404  0.081 0.515  0.102 0.626  0.123 0.736  0.144 0.847  0.165 0.957  0.186 1.068  0.206 1.179  0.227 1.289  0.248 1.400  0.269 1.511  0.290 1.621  0.311 1.732  0.326 1.843  0.316 1.904  0.244 1.817
3#apb#apb31#app3189/o  -0.100 0.639  -0.126 0.518  -0.152 0.396  -0.194 0.280  -0.249 0.169  -0.305 0.058  -0.352 -0.056  -0.388 -0.175  -0.424 -0.294  -0.460 -0.412  -0.492 -0.532  -0.510 -0.655  -0.529 -0.778  -0.547 -0.901  -0.545 -1.024  -0.538 -1.148  -0.530 -1.272  -0.469 -1.380  -0.373 -1.444  -0.270 -1.433  -0.200 -1.330  -0.129 -1.228  -0.059 -1.126  -0.025 -1.006  0.007 -0.887  0.040 -0.767  0.073 -0.647  0.110 -0.529  0.146 -0.410  0.183 -0.291  0.220 -0.173  0.257 -0.054  0.283 0.067  0.307 0.189  0.331 0.311  0.354 0.433  0.378 0.555  0.399 0.677  0.413 0.800  0.428 0.923  0.443 1.047  0.458 1.170  0.472 1.293  0.487 1.417  0.501 1.540  0.502 1.664  0.410 1.597  0.331 1.502  0.255 1.404  0.179 1.305
3#apb#apb31#app3189/n  -0.560 0.432  -0.635 0.292  -0.709 0.152  -0.777 0.009  -0.844 -0.134  -0.899 -0.282  -0.947 -0.433  -0.995 -0.584  -1.039 -0.736  -1.073 -0.887  -0.959 -0.979  -0.818 -0.931  -0.710 -0.824  -0.628 -0.688  -0.546 -0.552  -0.464 -0.417  -0.381 -0.282  -0.311 -0.140  -0.244 0.003  -0.172 0.144  -0.097 0.283  -0.030 0.375  -0.094 0.230  -0.128 0.075  -0.160 -0.080  -0.200 -0.233  -0.233 -0.387  -0.233 -0.545  -0.222 -0.700  -0.117 -0.803  0.037 -0.806  0.176 -0.731  0.295 -0.629  0.401 -0.512  0.498 -0.387  0.593 -0.260  0.674 -0.125  0.733 0.022  0.792 0.169  0.851 0.315  0.911 0.462  0.971 0.608  0.989 0.765  1.002 0.923  1.016 1.080  1.049 1.235  1.084 1.390  1.079 1.546  1.061 1.703  1.016 1.854
3#apb#apb31#app3189/s  -0.275 1.337  -0.194 1.409  -0.091 1.443  0.019 1.443  0.130 1.443  0.231 1.402  0.145 1.344  0.055 1.281  -0.037 1.219  -0.119 1.147  -0.191 1.063  -0.250 0.970  -0.304 0.874  -0.341 0.771  -0.373 0.665  -0.374 0.556  -0.363 0.446  -0.310 0.352  -0.246 0.262  -0.183 0.171  -0.120 0.080  -0.054 -0.007  0.045 -0.056  0.144 -0.105  0.242 -0.155  0.339 -0.208  0.436 -0.261  0.538 -0.302  0.643 -0.337  0.746 -0.375  0.845 -0.424  0.857 -0.494  0.765 -0.555  0.663 -0.598  0.562 -0.642  0.460 -0.686  0.360 -0.732  0.260 -0.779  0.160 -0.826  0.057 -0.865  -0.047 -0.903  -0.150 -0.941  -0.254 -0.979  -0.349 -1.035  -0.444 -1.091  -0.540 -1.147  -0.634 -1.204  -0.727 -1.264  -0.820 -1.324  -0.913 -1.383
3#apb#apb31#app3189/D  -0.157 0.703  -0.238 0.587  -0.274 0.411  -0.317 0.236  -0.347 0.058  -0.371 -0.120  -0.407 -0.296  -0.451 -0.471  -0.507 -0.642  -0.567 -0.812  -0.605 -0.988  -0.661 -1.156  -0.737 -1.129  -0.727 -0.950  -0.699 -0.772  -0.676 -0.593  -0.653 -0.414  -0.644 -0.235  -0.637 -0.055  -0.625 0.125  -0.602 0.304  -0.579 0.483  -0.550 0.660  -0.516 0.837  -0.437 0.996  -0.334 1.143  -0.188 1.219  -0.008 1.221  0.172 1.211  0.341 1.152  0.509 1.086  0.664 0.996  0.814 0.896  0.957 0.787  1.093 0.669  1.178 0.514  1.215 0.343  1.192 0.164  1.147 -0.007  1.049 -0.158  0.946 -0.306  0.827 -0.441  0.703 -0.571  0.559 -0.679  0.410 -0.780  0.255 -0.871  0.101 -0.965  -0.052 -1.061  -0.204 -1.158  -0.363 -1.168
3#apb#apb31#app3189/i  0.427 0.340  0.401 0.229  0.375 0.119  0.351 0.008  0.341 -0.105  0.330 -0.218  0.320 -0.331  0.298 -0.441  0.260 -0.549  0.223 -0.656  0.185 -0.763  0.142 -0.868  0.099 -0.973  0.056 -1.078  -0.002 -1.175  -0.061 -1.272  -0.131 -1.360  -0.227 -1.405  -0.339 -1.391  -0.327 -1.283  -0.310 -1.171  -0.292 -1.059  -0.275 -0.947  -0.257 -0.835  -0.240 -0.722  -0.222 -0.610  -0.205 -0.498  -0.187 -0.386  -0.169 -0.274  -0.152 -0.162  -0.134 -0.049  -0.117 0.063  -0.099 0.175  -0.082 0.287  -0.064 0.399  -0.047 0.511  -0.029 0.623  -0.012 0.736  0.006 0.848  0.023 0.960  0.041 1.072  0.058 1.184  0.076 1.296  0.093 1.408  0.111 1.521  0.114 1.626  0.017 1.685  -0.079 1.745  -0.152 1.826  -0.137 1.920
3#apb#apb31#app3189/r  -0.337 0.270  -0.361 0.164  -0.382 0.057  -0.401 -0.050  -0.420 -0.157  -0.449 -0.262  -0.480 -0.366  -0.511 -0.470  -0.549 -0.572  -0.593 -0.672  -0.636 -0.772  -0.694 -0.864  -0.756 -0.953  -0.815 -1.044  -0.868 -1.139  -0.912 -1.164  -0.835 -1.087  -0.760 -1.008  -0.697 -0.919  -0.635 -0.830  -0.573 -0.740  -0.511 -0.651  -0.447 -0.563  -0.383 -0.475  -0.319 -0.387  -0.255 -0.299  -0.190 -0.211  -0.123 -0.126  -0.052 -0.043  0.018 0.040  0.088 0.123  0.159 0.206  0.229 0.289  0.300 0.372  0.370 0.455  0.441 0.538  0.511 0.621  0.582 0.704  0.654 0.785  0.726 0.867  0.799 0.948  0.872 1.029  0.949 1.105  1.030 1.178  1.117 1.228  1.199 1.184  1.220 1.078  1.227 0.969  1.227 0.860  1.227 0.752
3#apb#apb31#app3189/e  -0.557 -0.089  -0.654 -0.189  -0.688 -0.339  -0.702 -0.490  -0.694 -0.642  -0.626 -0.779  -0.506 -0.833  -0.352 -0.833  -0.224 -0.757  -0.099 -0.667  0.025 -0.577  0.133 -0.469  0.239 -0.358  0.345 -0.247  0.449 -0.135  0.547 -0.016  0.645 0.102  0.742 0.220  0.838 0.340  0.917 0.471  0.996 0.603  1.075 0.734  1.147 0.869  1.220 1.004  1.222 1.143  1.082 1.186  0.932 1.151  0.785 1.109  0.640 1.058  0.496 1.007  0.367 0.923  0.239 0.839  0.110 0.756  0.003 0.648  -0.100 0.534  -0.202 0.419  -0.301 0.302  -0.394 0.180  -0.487 0.058  -0.580 -0.064  -0.655 -0.197  -0.726 -0.333  -0.798 -0.469  -0.855 -0.610  -0.904 -0.756  -0.949 -0.901  -0.909 -1.050  -0.870 -1.198  -0.747 -1.286  -0.619 -1.371
3#apb#apb31#app3189/c  0.824 1.615  0.739 1.587  0.653 1.558  0.582 1.509  0.524 1.440  0.465 1.371  0.407 1.302  0.350 1.232  0.311 1.151  0.273 1.069  0.234 0.988  0.195 0.907  0.156 0.825  0.117 0.744  0.075 0.664  0.029 0.586  -0.017 0.509  -0.063 0.431  -0.109 0.353  -0.154 0.276  -0.200 0.198  -0.239 0.117  -0.275 0.034  -0.312 -0.048  -0.348 -0.131  -0.384 -0.214  -0.421 -0.296  -0.457 -0.379  -0.483 -0.465  -0.503 -0.553  -0.522 -0.641  -0.542 -0.729  -0.561 -0.817  -0.552 -0.906  -0.536 -0.994  -0.520 -1.083  -0.440 -1.111  -0.352 -1.130  -0.265 -1.128  -0.178 -1.103  -0.092 -1.077  -0.005 -1.052  0.082 -1.026  0.153 -0.973  0.222 -0.914  0.290 -0.856  0.359 -0.797  0.428 -0.739  0.497 -0.681  0.565 -0.622
3#apb#apb31#app3189/t  0.960 1.071  1.001 1.057  0.988 0.900  0.959 0.747  0.898 0.602  0.836 0.457  0.777 0.312  0.717 0.166  0.657 0.020  0.589 -0.121  0.518 -0.262  0.448 -0.403  0.376 -0.543  0.302 -0.682  0.227 -0.820  0.146 -0.955  0.065 -1.090  -0.050 -1.197  -0.166 -1.303  -0.283 -1.408  -0.370 -1.398  -0.420 -1.249  -0.470 -1.099  -0.520 -0.950  -0.571 -0.801  -0.621 -0.652  -0.671 -0.503  -0.721 -0.353  -0.771 -0.204  -0.822 -0.055  -0.872 0.094  -0.922 0.244  -0.972 0.393  -1.022 0.542  -1.072 0.691  -1.014 0.802  -0.858 0.812  -0.708 0.762  -0.559 0.712  -0.408 0.667  -0.255 0.631  -0.102 0.594  0.051 0.560  0.207 0.537  0.363 0.515  0.519 0.493  0.673 0.464  0.828 0.432  0.982 0.400  1.136 0.369
3#apb#apb31#app3189/o  -0.129 1.004  -0.184 0.885  -0.240 0.767  -0.298 0.649  -0.356 0.532  -0.415 0.415  -0.467 0.295  -0.511 0.172  -0.555 0.048  -0.598 -0.075  -0.639 -0.199  -0.665 -0.328  -0.692 -0.456  -0.718 -0.584  -0.731 -0.713  -0.720 -0.844  -0.710 -0.974  -0.689 -1.101  -0.612 -1.207  -0.517 -1.292  -0.398 -1.346  -0.282 -1.334  -0.168 -1.270  -0.053 -1.206  0.028 -1.105  0.107 -1.000  0.185 -0.895  0.251 -0.782  0.311 -0.666  0.371 -0.549  0.431 -0.433  0.486 -0.315  0.522 -0.189  0.559 -0.063  0.595 0.063  0.630 0.189  0.648 0.318  0.666 0.448  0.684 0.578  0.687 0.707  0.658 0.835  0.628 0.962  0.599 1.090  0.563 1.216  0.526 1.341  0.441 1.426  0.334 1.382  0.234 1.297  0.145 1.201  0.057 1.105
3#apb#apb31#app3189/r  -0.198 0.545  -0.235 0.424  -0.271 0.303  -0.301 0.181  -0.332 0.058  -0.359 -0.066  -0.381 -0.190  -0.404 -0.315  -0.420 -0.440  -0.431 -0.566  -0.442 -0.692  -0.456 -0.818  -0.472 -0.943  -0.488 -1.068  -0.505 -1.194  -0.520 -1.319  -0.530 -1.445  -0.577 -1.385  -0.595 -1.260  -0.571 -1.136  -0.546 -1.012  -0.521 -0.888  -0.487 -0.767  -0.449 -0.646  -0.412 -0.525  -0.374 -0.405  -0.332 -0.285  -0.282 -0.169  -0.231 -0.054  -0.180 0.062  -0.130 0.178  -0.067 0.288  -0.000 0.395  0.067 0.502  0.134 0.610  0.212 0.709  0.290 0.808  0.369 0.908  0.466 0.986  0.569 1.060  0.678 1.123  0.793 1.176  0.912 1.211  1.037 1.208  1.122 1.120  1.149 0.996  1.174 0.872  1.175 0.747  1.170 0.621  1.183 0.495
3#apb#apb31#app3189/T  0.285 0.793  0.397 0.809  0.431 0.665  0.425 0.518  0.419 0.370  0.397 0.224  0.372 0.078  0.348 -0.068  0.318 -0.213  0.285 -0.357  0.252 -0.501  0.219 -0.645  0.192 -0.791  0.166 -0.936  0.139 -1.082  0.086 -1.220  0.033 -1.358  -0.022 -1.495  -0.093 -1.621  -0.161 -1.581  -0.193 -1.437  -0.226 -1.293  -0.258 -1.149  -0.291 -1.004  -0.323 -0.860  -0.356 -0.716  -0.388 -0.571  -0.421 -0.427  -0.453 -0.283  -0.486 -0.138  -0.518 0.006  -0.551 0.150  -0.583 0.295  -0.616 0.439  -0.648 0.583  -0.681 0.727  -0.713 0.872  -0.628 0.896  -0.482 0.899  -0.335 0.920  -0.188 0.936  -0.041 0.950  0.106 0.963  0.252 0.991  0.396 1.022  0.541 1.054  0.685 1.088  0.827 1.127  0.970 1.167  1.112 1.207
3#apb#apb31#app3189/r  -0.593 -0.172  -0.646 -0.251  -0.688 -0.336  -0.704 -0.430  -0.721 -0.524  -0.739 -0.618  -0.758 -0.712  -0.776 -0.806  -0.789 -0.900  -0.795 -0.996  -0.800 -1.091  -0.800 -1.187  -0.757 -1.121  -0.721 -1.033  -0.675 -0.949  -0.630 -0.864  -0.584 -0.780  -0.539 -0.696  -0.493 -0.612  -0.448 -0.528  -0.394 -0.449  -0.337 -0.373  -0.279 -0.296  -0.221 -0.220  -0.163 -0.144  -0.105 -0.068  -0.048 0.009  0.009 0.085  0.067 0.162  0.124 0.238  0.181 0.315  0.239 0.391  0.294 0.469  0.348 0.548  0.403 0.627  0.457 0.705  0.512 0.784  0.578 0.852  0.646 0.920  0.714 0.987  0.788 1.046  0.870 1.095  0.955 1.120  1.046 1.090  1.094 1.012  1.131 0.924  1.163 0.834  1.195 0.744  1.195 0.648  1.195 0.552
