1d#tos#t3#t3050062/!  -0.027 1.300  -0.102 1.300  -0.159 1.344  -0.202 1.401  -0.234 1.463  -0.205 1.434  -0.202 1.360  -0.202 1.285  -0.202 1.210  -0.178 1.139  -0.154 1.067  -0.130 0.996  -0.114 0.924  -0.114 0.848  -0.114 0.773  -0.114 0.698  -0.114 0.623  -0.114 0.548  -0.114 0.473  -0.097 0.405  -0.044 0.352  0.009 0.299  0.017 0.227  0.017 0.152  0.017 0.077  0.017 0.001  0.017 -0.074  0.017 -0.149  0.017 -0.224  0.017 -0.299  0.017 -0.374  0.028 -0.448  0.049 -0.520  0.070 -0.592  0.092 -0.664  0.113 -0.736  0.134 -0.808  0.155 -0.880  0.176 -0.952  0.198 -1.024  0.219 -1.097  0.236 -1.169  0.236 -1.244  0.217 -1.313  0.172 -1.373  0.127 -1.433  0.105 -1.501  0.105 -1.576  0.149 -1.607  0.193 -1.639
1d#tos#t3#t3050062/:  0.007 1.543  0.007 1.462  0.007 1.381  -0.001 1.308  -0.082 1.308  -0.163 1.308  -0.243 1.308  -0.288 1.308  -0.223 1.288  -0.207 1.209  -0.190 1.130  -0.173 1.051  -0.156 0.972  -0.139 0.893  -0.122 0.814  -0.105 0.735  -0.088 0.656  -0.071 0.576  -0.054 0.497  -0.037 0.418  -0.020 0.339  -0.003 0.260  0.014 0.181  0.030 0.102  0.047 0.023  0.064 -0.056  0.081 -0.135  0.098 -0.214  0.115 -0.293  0.132 -0.372  0.149 -0.451  0.166 -0.530  0.183 -0.609  0.200 -0.688  0.217 -0.767  0.234 -0.846  0.241 -0.926  0.241 -1.007  0.195 -1.054  0.118 -1.080  0.042 -1.105  -0.024 -1.148  -0.081 -1.205  -0.139 -1.262  -0.084 -1.273  -0.071 -1.341  -0.071 -1.422  0.002 -1.430  0.082 -1.430  0.163 -1.430
1d#tos#t3#t3050062/;  -0.424 1.644  -0.370 1.590  -0.298 1.579  -0.243 1.528  -0.229 1.458  -0.213 1.384  -0.194 1.310  -0.176 1.236  -0.157 1.162  -0.139 1.088  -0.120 1.014  -0.102 0.940  -0.083 0.866  -0.065 0.793  -0.047 0.719  -0.028 0.645  -0.010 0.571  0.009 0.497  0.027 0.423  0.046 0.349  0.064 0.275  0.083 0.201  0.101 0.128  0.120 0.054  0.138 -0.020  0.157 -0.094  0.175 -0.168  0.194 -0.242  0.212 -0.316  0.230 -0.390  0.249 -0.463  0.267 -0.537  0.286 -0.611  0.289 -0.687  0.354 -0.698  0.334 -0.762  0.266 -0.796  0.206 -0.841  0.161 -0.902  0.115 -0.963  0.069 -1.024  0.027 -1.086  0.002 -1.158  -0.022 -1.231  -0.061 -1.292  -0.121 -1.339  -0.180 -1.387  -0.240 -1.435  -0.299 -1.482  -0.359 -1.530
1d#tos#t3#t3050062/<  0.840 1.468  0.741 1.468  0.642 1.468  0.604 1.400  0.534 1.330  0.464 1.260  0.394 1.190  0.329 1.117  0.284 1.028  0.216 0.957  0.146 0.887  0.076 0.817  0.006 0.747  -0.064 0.677  -0.134 0.607  -0.204 0.537  -0.254 0.453  -0.317 0.381  -0.400 0.326  -0.465 0.256  -0.514 0.171  -0.556 0.089  -0.580 0.005  -0.669 -0.039  -0.757 -0.084  -0.779 -0.169  -0.835 -0.212  -0.787 -0.262  -0.691 -0.278  -0.602 -0.318  -0.503 -0.318  -0.444 -0.391  -0.440 -0.487  -0.346 -0.518  -0.252 -0.550  -0.158 -0.581  -0.076 -0.631  -0.023 -0.714  0.040 -0.783  0.128 -0.828  0.217 -0.872  0.265 -0.956  0.338 -1.016  0.419 -1.070  0.489 -1.140  0.574 -1.190  0.653 -1.248  0.739 -1.278  0.820 -1.323  0.895 -1.379
1d#tos#t3#t3050062/>  -0.195 0.853  -0.313 0.853  -0.431 0.853  -0.537 0.892  -0.634 0.957  -0.749 0.966  -0.867 0.966  -0.763 0.966  -0.663 0.924  -0.551 0.909  -0.433 0.909  -0.388 0.809  -0.320 0.740  -0.203 0.740  -0.091 0.705  0.021 0.668  0.133 0.630  0.244 0.593  0.353 0.550  0.456 0.494  0.554 0.428  0.656 0.370  0.751 0.303  0.862 0.287  0.935 0.243  0.984 0.174  1.001 0.150  0.904 0.086  0.821 0.003  0.723 -0.062  0.638 -0.139  0.574 -0.233  0.469 -0.285  0.365 -0.340  0.282 -0.423  0.231 -0.526  0.182 -0.629  0.084 -0.695  -0.007 -0.768  -0.090 -0.851  -0.179 -0.927  -0.277 -0.992  -0.334 -1.089  -0.378 -1.196  -0.462 -1.279  -0.545 -1.362  -0.591 -1.461  -0.699 -1.501  -0.761 -1.574  -0.761 -1.692
1d#tos#t3#t3050062/@  0.743 -0.190  0.743 -0.014  0.609 0.109  0.470 0.294  0.313 0.412  0.180 0.522  -0.063 0.522  -0.287 0.476  -0.406 0.347  -0.496 0.194  -0.515 -0.030  -0.402 -0.194  -0.227 -0.361  -0.050 -0.463  0.193 -0.463  0.430 -0.448  0.579 -0.332  0.777 -0.244  0.897 -0.080  0.972 0.094  1.017 0.318  1.017 0.561  0.863 0.676  0.647 0.741  0.481 0.850  0.261 0.905  0.080 0.990  -0.157 1.015  -0.400 1.015  -0.642 1.010  -0.844 0.924  -0.995 0.775  -1.172 0.683  -1.172 0.440  -1.282 0.265  -1.282 0.022  -1.282 -0.221  -1.232 -0.452  -1.064 -0.572  -0.908 -0.728  -0.699 -0.840  -0.480 -0.936  -0.246 -0.956  -0.003 -0.956  0.240 -0.956  0.483 -0.956  0.726 -0.956  0.969 -0.956  1.212 -0.956  1.400 -0.901
1d#tos#t3#t3050062/]  -0.744 1.090  -0.872 1.090  -0.989 1.080  -0.892 1.049  -0.767 1.058  -0.647 1.090  -0.520 1.090  -0.396 1.111  -0.271 1.131  -0.145 1.140  -0.023 1.172  0.104 1.172  0.232 1.172  0.359 1.172  0.397 1.082  0.397 0.955  0.397 0.828  0.397 0.700  0.397 0.573  0.430 0.453  0.438 0.328  0.438 0.200  0.438 0.073  0.479 -0.045  0.479 -0.172  0.479 -0.300  0.479 -0.427  0.479 -0.555  0.479 -0.682  0.438 -0.769  0.328 -0.786  0.200 -0.786  0.073 -0.786  -0.054 -0.786  -0.182 -0.786  -0.309 -0.786  -0.430 -0.812  -0.554 -0.826  -0.637 -0.910  -0.622 -0.990  -0.495 -0.990  -0.368 -0.990  -0.242 -0.983  -0.122 -0.949  0.005 -0.949  0.132 -0.949  0.260 -0.949  0.387 -0.949  0.515 -0.949  0.642 -0.949
1d#tos#t3#t3050062/^  -1.088 -0.684  -1.137 -0.745  -1.161 -0.832  -1.272 -0.832  -1.236 -0.785  -1.202 -0.680  -1.135 -0.600  -1.042 -0.538  -0.991 -0.441  -0.930 -0.348  -0.873 -0.254  -0.817 -0.159  -0.751 -0.070  -0.683 0.017  -0.605 0.096  -0.551 0.192  -0.459 0.248  -0.360 0.298  -0.304 0.390  -0.254 0.489  -0.217 0.593  -0.186 0.699  -0.159 0.806  -0.099 0.866  -0.070 0.948  -0.000 0.976  0.032 0.898  0.143 0.898  0.195 0.804  0.292 0.752  0.296 0.644  0.345 0.553  0.434 0.503  0.490 0.413  0.539 0.314  0.615 0.234  0.693 0.156  0.741 0.065  0.815 -0.016  0.890 -0.095  0.890 -0.206  0.915 -0.301  1.009 -0.358  1.087 -0.436  1.130 -0.529  1.137 -0.637  1.151 -0.733  1.186 -0.809  1.274 -0.832  1.285 -0.931
1d#tos#t3#t3050062/`  -0.556 1.175  -0.634 1.175  -0.712 1.175  -0.790 1.175  -0.831 1.138  -0.831 1.060  -0.841 0.992  -0.919 0.992  -0.870 0.939  -0.815 0.884  -0.760 0.829  -0.705 0.774  -0.649 0.718  -0.606 0.654  -0.562 0.589  -0.519 0.524  -0.476 0.459  -0.413 0.416  -0.343 0.381  -0.275 0.344  -0.220 0.289  -0.165 0.233  -0.109 0.178  -0.063 0.115  -0.020 0.051  0.023 -0.014  0.067 -0.079  0.105 -0.147  0.140 -0.217  0.175 -0.287  0.242 -0.325  0.312 -0.360  0.372 -0.404  0.407 -0.474  0.442 -0.544  0.499 -0.591  0.569 -0.626  0.637 -0.662  0.637 -0.740  0.637 -0.818  0.637 -0.896  0.672 -0.953  0.742 -0.988  0.812 -1.022  0.889 -1.027  0.912 -1.081  0.912 -1.160  0.912 -1.238  0.926 -1.302  1.004 -1.302
1d#tos#t3#t3050062/{  0.475 1.489  0.409 1.433  0.307 1.433  0.206 1.433  0.104 1.433  0.003 1.433  -0.083 1.380  -0.127 1.320  -0.172 1.264  -0.172 1.162  -0.172 1.061  -0.172 0.959  -0.154 0.862  -0.099 0.779  -0.088 0.680  -0.017 0.616  0.025 0.557  0.025 0.455  0.053 0.382  0.053 0.280  0.042 0.183  -0.038 0.125  -0.084 0.053  -0.150 0.014  -0.224 -0.031  -0.285 -0.072  -0.368 -0.087  -0.267 -0.087  -0.193 -0.116  -0.148 -0.172  -0.115 -0.256  -0.088 -0.331  -0.088 -0.432  -0.088 -0.534  -0.088 -0.635  -0.088 -0.737  -0.109 -0.833  -0.137 -0.924  -0.144 -1.023  -0.144 -1.124  -0.110 -1.213  -0.049 -1.270  0.041 -1.298  0.086 -1.354  0.182 -1.377  0.278 -1.410  0.380 -1.410  0.447 -1.377  0.526 -1.354  0.616 -1.326
1d#tos#t3#t3050062/|  0.143 1.569  0.074 1.560  0.010 1.528  -0.059 1.518  -0.061 1.449  -0.061 1.377  -0.061 1.306  -0.048 1.237  -0.017 1.174  -0.010 1.104  -0.010 1.032  -0.010 0.961  -0.010 0.890  -0.010 0.818  -0.010 0.747  -0.010 0.675  -0.010 0.604  -0.010 0.532  -0.010 0.461  -0.010 0.390  -0.010 0.318  -0.010 0.247  -0.010 0.175  -0.010 0.104  -0.010 0.033  -0.010 -0.039  -0.010 -0.110  -0.010 -0.182  -0.010 -0.253  -0.010 -0.324  -0.010 -0.396  -0.010 -0.467  -0.010 -0.539  -0.010 -0.610  -0.010 -0.681  -0.010 -0.753  -0.010 -0.824  -0.010 -0.896  -0.010 -0.967  -0.010 -1.039  -0.010 -1.110  -0.010 -1.181  0.001 -1.242  0.041 -1.273  0.041 -1.345  0.041 -1.416  0.041 -1.487  0.052 -1.548  0.092 -1.579  0.092 -1.548
1d#tos#t3#t3050062/}  -0.279 1.482  -0.378 1.482  -0.461 1.445  -0.361 1.445  -0.266 1.433  -0.241 1.343  -0.152 1.333  -0.064 1.305  -0.009 1.250  0.057 1.177  0.057 1.077  0.057 0.978  0.057 0.878  0.057 0.778  0.038 0.690  -0.034 0.629  -0.092 0.549  -0.092 0.450  -0.130 0.365  -0.130 0.266  -0.130 0.166  -0.130 0.066  -0.055 0.041  -0.043 -0.046  0.057 -0.046  0.131 -0.072  0.215 -0.093  0.288 -0.158  0.388 -0.158  0.409 -0.195  0.314 -0.216  0.280 -0.295  0.243 -0.379  0.164 -0.424  0.131 -0.510  0.131 -0.610  0.131 -0.710  0.131 -0.810  0.131 -0.909  0.131 -1.009  0.131 -1.109  0.131 -1.208  0.131 -1.308  0.131 -1.408  0.065 -1.463  -0.030 -1.492  -0.129 -1.500  -0.228 -1.500  -0.328 -1.500  -0.428 -1.500
1d#tos#t3#t3050062/~  -1.426 -0.050  -1.426 -0.147  -1.426 -0.074  -1.410 0.013  -1.323 0.056  -1.317 0.149  -1.239 0.169  -1.179 0.227  -1.113 0.278  -1.032 0.303  -0.987 0.389  -0.919 0.458  -0.838 0.496  -0.741 0.496  -0.644 0.496  -0.551 0.490  -0.507 0.403  -0.499 0.308  -0.499 0.211  -0.448 0.152  -0.356 0.121  -0.282 0.061  -0.196 0.017  -0.140 -0.058  -0.072 -0.104  -0.035 -0.187  0.004 -0.268  0.101 -0.268  0.156 -0.310  0.156 -0.407  0.228 -0.431  0.325 -0.431  0.422 -0.431  0.519 -0.431  0.616 -0.431  0.713 -0.431  0.794 -0.393  0.863 -0.325  0.931 -0.256  1.010 -0.213  1.103 -0.200  1.184 -0.146  1.247 -0.083  1.256 0.005  1.353 0.005  1.438 0.033  1.507 0.101  1.520 0.193  1.586 0.223  1.574 0.223
