2#tos#f1#f1081063/\"  -0.346 1.257  -0.499 1.257  -0.608 1.186  -0.677 1.049  -0.686 0.898  -0.686 0.744  -0.686 0.591  -0.686 0.438  -0.686 0.285  -0.686 0.131  -0.751 -0.006  -0.799 -0.148  -0.799 -0.302  -0.799 -0.455  -0.799 -0.608  -0.799 -0.761  -0.799 -0.915  -0.772 -1.062  -0.703 -1.199  -0.686 -1.347  -0.595 -1.224  -0.504 -1.100  -0.413 -0.977  -0.322 -0.854  -0.231 -0.730  -0.140 -0.607  -0.049 -0.483  0.042 -0.360  0.133 -0.237  0.224 -0.113  0.314 0.010  0.405 0.133  0.496 0.257  0.587 0.380  0.678 0.504  0.769 0.627  0.860 0.750  0.900 0.891  0.900 1.018  0.900 0.865  0.900 0.711  0.900 0.558  0.900 0.405  0.900 0.252  0.900 0.098  0.900 -0.055  0.900 -0.208  0.900 -0.361  0.900 -0.515  0.900 -0.668
2#tos#f1#f1081063/@  0.686 0.360  0.686 0.478  0.552 0.564  0.383 0.615  0.163 0.615  -0.027 0.585  -0.129 0.467  -0.221 0.309  -0.282 0.150  -0.282 -0.070  -0.282 -0.290  -0.231 -0.489  -0.145 -0.644  0.068 -0.660  0.288 -0.660  0.381 -0.502  0.483 -0.354  0.537 -0.150  0.604 0.003  0.636 0.192  0.636 0.412  0.636 0.632  0.636 0.852  0.535 0.972  0.483 1.139  0.362 1.277  0.244 1.379  0.024 1.379  -0.187 1.365  -0.346 1.246  -0.435 1.061  -0.537 0.943  -0.582 0.768  -0.588 0.554  -0.639 0.346  -0.639 0.126  -0.639 -0.094  -0.647 -0.311  -0.690 -0.513  -0.690 -0.733  -0.690 -0.953  -0.639 -1.161  -0.537 -1.309  -0.432 -1.425  -0.233 -1.476  -0.025 -1.527  0.193 -1.519  0.390 -1.456  0.537 -1.319  0.636 -1.170
2#tos#f1#f1081063/[  0.919 1.082  0.828 1.082  0.760 1.105  0.686 1.122  0.596 1.122  0.505 1.122  0.414 1.122  0.323 1.122  0.233 1.119  0.145 1.097  0.065 1.061  -0.002 1.003  -0.093 1.003  -0.183 1.003  -0.229 0.930  -0.312 0.919  -0.312 0.828  -0.312 0.738  -0.312 0.647  -0.277 0.571  -0.272 0.482  -0.272 0.391  -0.272 0.300  -0.272 0.210  -0.272 0.119  -0.272 0.028  -0.272 -0.063  -0.272 -0.153  -0.272 -0.244  -0.272 -0.335  -0.272 -0.426  -0.272 -0.517  -0.272 -0.607  -0.272 -0.698  -0.272 -0.789  -0.272 -0.880  -0.272 -0.970  -0.272 -1.061  -0.272 -1.152  -0.272 -1.243  -0.200 -1.261  -0.109 -1.261  -0.018 -1.261  0.070 -1.249  0.154 -1.221  0.243 -1.208  0.329 -1.181  0.420 -1.181  0.511 -1.181  0.601 -1.181
2#tos#f1#f1081063/_  -0.067 0.279  -0.168 0.279  -0.264 0.253  -0.359 0.222  -0.454 0.190  -0.550 0.158  -0.645 0.126  -0.740 0.095  -0.835 0.063  -0.931 0.036  -1.032 0.036  -1.132 0.036  -1.232 0.036  -1.278 -0.018  -1.312 -0.085  -1.386 -0.085  -1.286 -0.085  -1.186 -0.085  -1.085 -0.085  -0.985 -0.085  -0.885 -0.085  -0.784 -0.085  -0.684 -0.085  -0.584 -0.085  -0.483 -0.085  -0.383 -0.085  -0.282 -0.085  -0.182 -0.085  -0.082 -0.085  0.019 -0.085  0.119 -0.085  0.219 -0.085  0.320 -0.085  0.420 -0.085  0.520 -0.085  0.621 -0.085  0.721 -0.085  0.822 -0.085  0.922 -0.085  1.022 -0.085  1.123 -0.085  1.219 -0.060  1.314 -0.028  1.409 0.004  1.505 0.036  1.602 0.060  1.699 0.084  1.797 0.109  1.894 0.133  1.991 0.157
2#tos#f1#f1081063/|  0.075 1.285  0.055 1.346  -0.024 1.346  -0.072 1.398  -0.106 1.470  -0.106 1.504  -0.106 1.424  -0.106 1.344  -0.106 1.264  -0.106 1.184  -0.106 1.104  -0.106 1.024  -0.106 0.944  -0.106 0.865  -0.106 0.785  -0.106 0.705  -0.106 0.625  -0.106 0.545  -0.106 0.465  -0.106 0.385  -0.106 0.305  -0.106 0.225  -0.106 0.145  -0.079 0.071  -0.048 -0.003  -0.017 -0.077  0.013 -0.151  0.044 -0.225  0.075 -0.298  0.106 -0.372  0.136 -0.446  0.167 -0.520  0.190 -0.589  0.110 -0.589  0.075 -0.633  0.015 -0.653  0.015 -0.732  0.015 -0.812  0.016 -0.892  0.072 -0.948  0.075 -1.027  0.075 -1.107  0.075 -1.187  0.079 -1.266  0.105 -1.342  0.130 -1.418  0.135 -1.497  0.135 -1.577  0.135 -1.657  0.135 -1.737
2#tos#f1#f1081063/0  0.292 0.884  0.140 0.884  0.041 0.937  0.014 1.078  -0.090 1.135  -0.242 1.135  -0.359 1.051  -0.420 0.925  -0.469 0.793  -0.587 0.714  -0.650 0.601  -0.671 0.462  -0.671 0.310  -0.671 0.158  -0.671 0.006  -0.671 -0.146  -0.671 -0.299  -0.633 -0.444  -0.611 -0.593  -0.587 -0.741  -0.515 -0.863  -0.412 -0.974  -0.344 -1.110  -0.287 -1.216  -0.150 -1.251  -0.030 -1.318  0.076 -1.415  0.227 -1.419  0.296 -1.335  0.364 -1.251  0.449 -1.158  0.502 -1.025  0.532 -0.886  0.585 -0.748  0.620 -0.602  0.627 -0.451  0.627 -0.299  0.627 -0.147  0.627 0.006  0.627 0.158  0.627 0.310  0.585 0.452  0.540 0.592  0.460 0.695  0.387 0.825  0.294 0.922  0.201 1.041  0.125 1.166  -0.001 1.192  -0.085 1.261
2#tos#f1#f1081063/1  -0.094 1.369  -0.094 1.440  -0.094 1.511  -0.045 1.534  -0.039 1.469  -0.039 1.398  -0.039 1.326  -0.039 1.255  -0.039 1.184  -0.039 1.113  -0.039 1.042  -0.039 0.970  -0.039 0.899  -0.039 0.828  -0.039 0.757  -0.039 0.685  -0.039 0.614  -0.039 0.543  -0.039 0.472  -0.039 0.401  -0.039 0.329  -0.039 0.258  -0.039 0.187  -0.039 0.116  -0.039 0.044  -0.039 -0.027  -0.039 -0.098  -0.026 -0.168  -0.009 -0.237  0.009 -0.306  0.016 -0.376  0.016 -0.447  0.016 -0.519  0.016 -0.590  0.016 -0.661  0.016 -0.732  0.016 -0.804  0.016 -0.875  0.018 -0.946  0.040 -1.013  0.063 -1.081  0.071 -1.151  0.073 -1.222  0.096 -1.289  0.118 -1.357  0.126 -1.427  0.126 -1.498  0.126 -1.569  0.126 -1.640  0.126 -1.712
2#tos#f1#f1081063/4  -0.493 1.120  -0.632 1.211  -0.687 1.071  -0.687 0.866  -0.706 0.671  -0.833 0.534  -0.833 0.329  -0.894 0.157  -0.982 -0.001  -1.075 -0.178  -1.075 -0.382  -1.083 -0.522  -0.896 -0.564  -0.697 -0.578  -0.493 -0.578  -0.288 -0.578  -0.083 -0.578  0.122 -0.578  0.326 -0.578  0.504 -0.489  0.708 -0.481  0.889 -0.402  1.077 -0.336  1.206 -0.260  1.103 -0.087  0.988 0.082  0.872 0.252  0.757 0.421  0.642 0.590  0.527 0.760  0.412 0.929  0.291 1.072  0.135 1.120  0.041 1.231  0.041 1.193  0.041 0.988  0.041 0.784  0.041 0.579  0.041 0.374  0.041 0.169  0.059 -0.031  0.090 -0.229  0.090 -0.434  0.138 -0.630  0.138 -0.835  0.147 -1.038  0.223 -1.228  0.235 -1.431  0.235 -1.636  0.235 -1.840
2#tos#f1#f1081063/5  -0.148 0.857  -0.295 0.892  -0.295 0.835  -0.295 0.653  -0.295 0.471  -0.393 0.349  -0.393 0.167  -0.364 -0.010  -0.276 -0.126  -0.100 -0.168  0.081 -0.168  0.263 -0.168  0.409 -0.257  0.544 -0.333  0.584 -0.505  0.584 -0.687  0.584 -0.869  0.538 -1.040  0.482 -1.200  0.380 -1.348  0.226 -1.437  0.044 -1.437  -0.138 -1.437  -0.320 -1.437  -0.481 -1.388  -0.486 -1.215  -0.482 -1.033  -0.478 -0.852  -0.473 -0.670  -0.469 -0.488  -0.465 -0.306  -0.461 -0.124  -0.457 0.058  -0.452 0.240  -0.448 0.421  -0.444 0.603  -0.516 0.710  -0.636 0.613  -0.483 0.713  -0.319 0.784  -0.168 0.857  0.011 0.885  0.174 0.958  0.337 1.035  0.517 1.052  0.698 1.052  0.873 1.100  1.054 1.107  1.232 1.143  1.413 1.150
2#tos#f1#f1081063/8  0.168 0.361  0.385 0.361  0.602 0.361  0.760 0.490  0.835 0.646  0.835 0.863  0.738 1.020  0.601 1.139  0.384 1.139  0.168 1.139  -0.049 1.139  -0.266 1.139  -0.476 1.117  -0.666 1.028  -0.824 0.932  -1.021 0.894  -1.084 0.724  -1.048 0.522  -0.913 0.356  -0.738 0.246  -0.545 0.151  -0.348 0.083  -0.171 0.009  -0.035 -0.158  0.121 -0.306  0.338 -0.306  0.474 -0.445  0.634 -0.536  0.668 -0.747  0.599 -0.937  0.467 -1.106  0.280 -1.213  0.098 -1.320  -0.079 -1.417  -0.295 -1.417  -0.512 -1.417  -0.667 -1.333  -0.721 -1.149  -0.721 -0.932  -0.602 -0.798  -0.448 -0.644  -0.303 -0.484  -0.180 -0.306  -0.047 -0.135  0.147 -0.039  0.357 0.010  0.522 0.129  0.667 0.286  0.855 0.392  1.057 0.472
2#tos#f1#f1081063/B  -0.305 1.036  -0.490 1.132  -0.544 1.358  -0.544 1.200  -0.544 0.920  -0.544 0.640  -0.544 0.359  -0.544 0.079  -0.544 -0.201  -0.544 -0.481  -0.539 -0.761  -0.476 -1.033  -0.449 -1.309  -0.449 -1.589  -0.388 -1.461  -0.369 -1.181  -0.350 -0.901  -0.331 -0.622  -0.312 -0.342  -0.293 -0.063  -0.274 0.217  -0.265 0.495  -0.391 0.711  -0.544 0.945  -0.403 1.084  -0.123 1.084  0.154 1.070  0.425 1.031  0.651 0.904  0.747 0.720  0.641 0.504  0.388 0.415  0.188 0.255  -0.073 0.176  -0.353 0.176  -0.311 0.128  -0.090 0.224  0.182 0.272  0.461 0.259  0.737 0.224  0.968 0.089  1.183 -0.082  1.225 -0.356  1.225 -0.636  1.016 -0.816  0.815 -1.004  0.593 -1.173  0.332 -1.227  0.071 -1.306  -0.066 -1.163
2#tos#f1#f1081063/C  0.669 1.264  0.591 1.318  0.458 1.318  0.399 1.244  0.399 1.111  0.399 0.979  0.428 0.858  0.484 0.748  0.568 0.649  0.610 0.523  0.615 0.391  0.615 0.258  0.669 0.221  0.572 0.282  0.552 0.404  0.426 0.446  0.323 0.500  0.234 0.570  0.163 0.671  0.030 0.671  -0.102 0.671  -0.235 0.671  -0.368 0.671  -0.474 0.607  -0.568 0.513  -0.626 0.395  -0.686 0.287  -0.788 0.228  -0.788 0.096  -0.788 -0.037  -0.788 -0.170  -0.788 -0.302  -0.788 -0.435  -0.788 -0.568  -0.788 -0.700  -0.768 -0.828  -0.693 -0.936  -0.617 -1.044  -0.520 -1.111  -0.387 -1.111  -0.277 -1.165  -0.144 -1.165  -0.012 -1.165  0.121 -1.165  0.254 -1.165  0.387 -1.165  0.517 -1.149  0.646 -1.117  0.767 -1.062  0.885 -1.003
2#tos#f1#f1081063/D  -0.221 0.768  -0.423 0.830  -0.542 0.947  -0.542 1.019  -0.542 0.809  -0.542 0.598  -0.536 0.389  -0.467 0.191  -0.450 -0.018  -0.450 -0.229  -0.450 -0.439  -0.450 -0.650  -0.442 -0.859  -0.405 -1.064  -0.397 -1.130  -0.374 -0.921  -0.352 -0.711  -0.330 -0.502  -0.307 -0.292  -0.285 -0.083  -0.267 0.127  -0.291 0.324  -0.472 0.433  -0.582 0.568  -0.634 0.741  -0.634 0.952  -0.514 1.043  -0.303 1.043  -0.092 1.043  0.118 1.043  0.326 1.016  0.519 0.938  0.700 0.829  0.880 0.720  0.990 0.549  1.103 0.389  1.237 0.230  1.245 0.022  1.245 -0.189  1.143 -0.371  1.063 -0.559  0.926 -0.718  0.759 -0.824  0.557 -0.882  0.387 -1.006  0.221 -1.121  0.013 -1.155  -0.170 -1.255  -0.378 -1.289  -0.588 -1.294
2#tos#f1#f1081063/E  -0.572 1.240  -0.794 1.209  -0.640 1.171  -0.415 1.171  -0.189 1.171  0.036 1.171  0.262 1.171  0.487 1.171  0.713 1.171  0.844 1.134  0.620 1.114  0.395 1.095  0.170 1.075  -0.054 1.055  -0.279 1.035  -0.493 0.987  -0.539 0.830  -0.467 0.618  -0.434 0.398  -0.434 0.172  -0.434 -0.054  -0.391 -0.275  -0.365 -0.497  -0.349 -0.719  -0.296 -0.932  -0.242 -1.147  -0.228 -1.312  -0.236 -1.087  -0.243 -0.862  -0.250 -0.636  -0.257 -0.411  -0.351 -0.274  -0.257 -0.240  -0.033 -0.229  0.182 -0.171  0.408 -0.171  0.634 -0.171  0.703 -0.227  0.529 -0.371  0.355 -0.515  0.181 -0.658  0.007 -0.802  -0.132 -0.939  -0.251 -1.066  -0.047 -1.066  0.178 -1.066  0.404 -1.066  0.629 -1.066  0.855 -1.066  1.081 -1.066
2#tos#f1#f1081063/F  -0.426 0.901  -0.660 0.890  -0.893 0.859  -0.814 0.859  -0.578 0.859  -0.343 0.859  -0.107 0.859  0.128 0.859  0.364 0.859  0.599 0.859  0.835 0.859  1.017 0.860  0.781 0.867  0.546 0.874  0.311 0.882  0.075 0.889  -0.160 0.896  -0.396 0.901  -0.626 0.859  -0.678 0.676  -0.678 0.440  -0.608 0.216  -0.594 -0.016  -0.568 -0.248  -0.539 -0.480  -0.510 -0.710  -0.510 -0.946  -0.472 -1.170  -0.426 -1.391  -0.426 -1.627  -0.391 -1.543  -0.340 -1.313  -0.288 -1.084  -0.237 -0.854  -0.186 -0.624  -0.310 -0.526  -0.348 -0.484  -0.112 -0.484  0.123 -0.484  0.353 -0.442  0.572 -0.400  0.737 -0.278  0.856 -0.074  0.930 0.104  0.708 0.091  0.744 -0.136  0.792 -0.363  0.876 -0.575  0.919 -0.802  0.959 -1.029
2#tos#f1#f1081063/G  0.542 1.116  0.540 1.327  0.417 1.447  0.207 1.450  0.004 1.490  -0.207 1.489  -0.396 1.407  -0.578 1.315  -0.700 1.150  -0.808 0.972  -0.872 0.786  -0.929 0.585  -0.955 0.378  -0.955 0.166  -0.955 -0.046  -0.955 -0.258  -0.851 -0.435  -0.788 -0.631  -0.682 -0.808  -0.542 -0.957  -0.362 -1.057  -0.179 -1.129  0.033 -1.129  0.245 -1.129  0.350 -0.989  0.500 -0.839  0.654 -0.738  0.529 -0.566  0.405 -0.395  0.280 -0.223  0.155 -0.052  0.030 0.120  -0.157 0.142  -0.357 0.076  -0.176 0.076  0.026 0.118  0.238 0.118  0.450 0.118  0.662 0.118  0.874 0.118  0.796 0.238  0.585 0.243  0.522 0.079  0.500 -0.128  0.500 -0.341  0.459 -0.535  0.459 -0.748  0.459 -0.960  0.479 -1.169  0.500 -1.379
2#tos#f1#f1081063/I  -0.037 0.856  -0.171 1.012  -0.125 1.118  -0.082 0.873  -0.045 0.626  -0.037 0.375  -0.017 0.127  0.007 -0.121  0.024 -0.370  0.052 -0.619  0.096 -0.865  0.096 -1.116  0.096 -1.368  0.043 -1.128  -0.010 -0.882  -0.064 -0.637  -0.118 -0.391  -0.171 -0.145  -0.225 0.101  -0.278 0.346  -0.332 0.592  -0.386 0.838  -0.443 1.079  -0.661 1.139  -0.672 1.257  -0.421 1.257  -0.169 1.257  0.082 1.257  0.334 1.257  0.585 1.257  0.795 1.233  0.670 1.015  0.545 0.796  0.421 0.578  0.296 0.359  0.171 0.141  0.046 -0.077  -0.078 -0.296  -0.203 -0.514  -0.346 -0.720  -0.526 -0.891  -0.625 -1.108  -0.596 -1.213  -0.373 -1.282  -0.122 -1.282  0.130 -1.282  0.354 -1.193  0.587 -1.132  0.825 -1.059  1.076 -1.059
2#tos#f1#f1081063/J  0.517 0.924  0.433 1.001  0.363 1.065  0.363 0.905  0.375 0.745  0.401 0.587  0.428 0.430  0.448 0.272  0.478 0.115  0.478 -0.046  0.478 -0.206  0.511 -0.363  0.517 -0.523  0.517 -0.684  0.517 -0.844  0.517 -1.005  0.476 -1.140  0.339 -1.209  0.184 -1.236  0.030 -1.274  -0.131 -1.274  -0.291 -1.274  -0.452 -1.274  -0.568 -1.226  -0.640 -1.082  -0.756 -1.015  -0.756 -0.854  -0.756 -0.694  -0.756 -0.533  -0.756 -0.372  -0.756 -0.212  -0.756 -0.051  -0.756 0.110  -0.756 0.270  -0.756 0.431  -0.756 0.591  -0.850 0.615  -0.690 0.615  -0.565 0.710  -0.409 0.731  -0.255 0.769  -0.094 0.769  0.057 0.809  0.209 0.847  0.369 0.847  0.530 0.847  0.690 0.847  0.851 0.847  1.012 0.847  1.172 0.847
2#tos#f1#f1081063/N  -0.551 -0.731  -0.610 -0.871  -0.660 -1.022  -0.703 -1.084  -0.780 -0.972  -0.780 -0.813  -0.802 -0.661  -0.856 -0.518  -0.856 -0.359  -0.879 -0.203  -0.895 -0.047  -0.895 0.113  -0.895 0.272  -0.895 0.431  -0.895 0.590  -0.869 0.746  -0.856 0.904  -0.820 1.027  -0.698 0.933  -0.626 0.795  -0.517 0.697  -0.395 0.600  -0.303 0.473  -0.220 0.342  -0.155 0.197  -0.047 0.085  0.083 -0.007  0.179 -0.127  0.250 -0.269  0.353 -0.380  0.475 -0.474  0.576 -0.597  0.668 -0.724  0.793 -0.819  0.907 -0.906  0.919 -0.881  0.902 -0.726  0.902 -0.567  0.902 -0.408  0.877 -0.252  0.863 -0.094  0.863 0.065  0.863 0.224  0.863 0.383  0.863 0.542  0.863 0.702  0.863 0.861  0.863 1.020  0.863 1.179  0.902 1.332
