2#apa#apa14#app1440/F  -0.173 0.848  -0.338 1.013  -0.344 0.792  -0.344 0.558  -0.344 0.325  -0.344 0.091  -0.344 -0.143  -0.344 -0.377  -0.344 -0.611  -0.344 -0.844  -0.344 -1.078  -0.344 -1.312  -0.344 -1.546  -0.344 -1.779  -0.344 -1.749  -0.344 -1.516  -0.344 -1.282  -0.344 -1.048  -0.344 -0.814  -0.344 -0.580  -0.344 -0.347  -0.344 -0.113  -0.344 0.121  -0.344 0.355  -0.344 0.588  -0.473 0.742  -0.682 0.847  -0.478 0.951  -0.260 1.018  -0.042 1.084  0.167 1.189  0.401 1.189  0.635 1.189  0.869 1.189  1.102 1.189  1.192 1.044  1.072 0.848  0.938 0.657  0.804 0.465  0.670 0.274  0.536 0.082  0.402 -0.109  0.268 -0.301  0.134 -0.492  -0.000 -0.684  -0.165 -0.525  -0.016 -0.360  0.212 -0.346  0.446 -0.346  0.680 -0.346
2#apa#apa14#app1440/C  0.938 0.356  0.938 0.463  0.915 0.559  0.840 0.634  0.765 0.709  0.715 0.803  0.668 0.898  0.620 0.992  0.565 1.075  0.459 1.075  0.353 1.075  0.247 1.075  0.141 1.075  0.034 1.075  -0.072 1.075  -0.139 1.036  -0.139 0.930  -0.139 0.824  -0.139 0.718  -0.213 0.642  -0.288 0.567  -0.363 0.492  -0.438 0.417  -0.508 0.338  -0.555 0.243  -0.603 0.148  -0.650 0.053  -0.678 -0.046  -0.678 -0.152  -0.678 -0.258  -0.678 -0.365  -0.678 -0.471  -0.678 -0.577  -0.678 -0.683  -0.630 -0.769  -0.555 -0.844  -0.480 -0.919  -0.405 -0.995  -0.330 -1.070  -0.228 -1.081  -0.122 -1.081  -0.016 -1.081  0.090 -1.081  0.196 -1.081  0.302 -1.081  0.409 -1.081  0.515 -1.081  0.609 -1.110  0.684 -1.185  0.759 -1.260
2#apa#apa14#app1440/T  0.281 0.450  0.281 0.609  0.376 0.539  0.465 0.416  0.465 0.257  0.465 0.098  0.465 -0.061  0.465 -0.221  0.465 -0.380  0.465 -0.539  0.465 -0.698  0.465 -0.857  0.465 -1.016  0.465 -1.176  0.465 -1.335  0.465 -1.494  0.417 -1.509  0.321 -1.382  0.226 -1.254  0.130 -1.127  0.035 -1.000  -0.061 -0.872  -0.156 -0.745  -0.252 -0.618  -0.347 -0.490  -0.443 -0.363  -0.538 -0.236  -0.634 -0.108  -0.729 0.019  -0.825 0.146  -0.920 0.274  -1.016 0.401  -1.111 0.528  -1.190 0.661  -1.187 0.818  -1.028 0.818  -0.869 0.818  -0.710 0.818  -0.550 0.818  -0.391 0.818  -0.232 0.818  -0.073 0.818  0.086 0.818  0.246 0.818  0.405 0.818  0.564 0.818  0.723 0.818  0.882 0.818  1.041 0.818  1.201 0.818
2#apa#apa14#app1440/E  -0.567 0.783  -0.728 0.915  -0.728 0.659  -0.728 0.402  -0.728 0.146  -0.728 -0.110  -0.728 -0.366  -0.728 -0.622  -0.728 -0.879  -0.728 -1.135  -0.480 -1.144  -0.224 -1.144  0.032 -1.144  0.286 -1.127  0.529 -1.046  0.775 -0.983  1.031 -0.983  0.962 -1.101  0.737 -0.979  0.512 -0.856  0.287 -0.733  0.062 -0.611  -0.163 -0.488  -0.388 -0.365  -0.613 -0.243  -0.602 -0.180  -0.346 -0.180  -0.090 -0.180  0.167 -0.180  0.368 -0.048  0.613 -0.019  0.869 -0.019  0.654 0.083  0.421 0.189  0.187 0.295  -0.046 0.401  -0.279 0.507  -0.512 0.613  -0.746 0.719  -0.888 0.883  -0.693 0.944  -0.436 0.944  -0.184 0.965  0.059 1.046  0.306 1.105  0.562 1.105  0.819 1.105  1.075 1.105  1.292 1.012  1.199 0.944
2#apa#apa14#app1440/D  -0.404 0.528  -0.538 0.663  -0.423 0.547  -0.404 0.653  -0.404 0.463  -0.404 0.273  -0.404 0.083  -0.385 -0.104  -0.325 -0.284  -0.265 -0.464  -0.260 -0.653  -0.290 -0.699  -0.368 -0.525  -0.445 -0.352  -0.522 -0.178  -0.599 -0.005  -0.676 0.169  -0.753 0.343  -0.831 0.516  -0.961 0.653  -0.819 0.681  -0.649 0.766  -0.474 0.841  -0.294 0.901  -0.114 0.960  0.074 0.975  0.254 1.035  0.434 1.096  0.575 0.989  0.753 0.960  0.928 0.924  1.036 0.779  1.036 0.589  1.036 0.399  1.036 0.209  1.036 0.019  1.036 -0.171  0.916 -0.312  0.823 -0.475  0.738 -0.645  0.653 -0.815  0.523 -0.912  0.403 -1.026  0.318 -1.196  0.150 -1.283  -0.026 -1.344  -0.186 -1.414  -0.337 -1.450  -0.507 -1.365  -0.692 -1.344
2#apa#apa14#app1440/A  -0.690 -1.231  -0.690 -1.033  -0.690 -0.835  -0.690 -0.637  -0.690 -0.439  -0.654 -0.247  -0.591 -0.060  -0.529 0.128  -0.466 0.316  -0.404 0.504  -0.383 0.697  -0.294 0.874  -0.252 1.062  -0.143 1.214  -0.003 1.354  0.041 1.534  0.174 1.677  0.314 1.563  0.350 1.380  0.484 1.236  0.546 1.048  0.609 0.861  0.625 0.665  0.625 0.467  0.700 0.301  0.794 0.135  0.842 -0.057  0.890 -0.249  0.917 -0.444  0.917 -0.641  0.917 -0.839  0.917 -1.037  0.774 -1.037  0.586 -0.975  0.399 -0.912  0.211 -0.850  0.023 -0.787  -0.164 -0.725  -0.352 -0.662  -0.540 -0.599  -0.728 -0.537  -0.895 -0.441  -0.982 -0.279  -0.855 -0.209  -0.657 -0.209  -0.459 -0.209  -0.261 -0.209  -0.063 -0.209  0.135 -0.209  0.333 -0.209
2#apa#apa14#app1440/J  -0.084 1.472  -0.084 1.557  -0.084 1.604  -0.084 1.519  -0.057 1.446  0.002 1.386  0.062 1.327  0.066 1.244  0.070 1.161  0.097 1.081  0.124 1.001  0.150 0.921  0.177 0.841  0.204 0.761  0.236 0.683  0.274 0.608  0.311 0.532  0.349 0.457  0.367 0.377  0.367 0.292  0.367 0.208  0.367 0.124  0.367 0.040  0.367 -0.045  0.367 -0.129  0.367 -0.213  0.367 -0.298  0.367 -0.382  0.367 -0.466  0.367 -0.551  0.362 -0.633  0.303 -0.693  0.243 -0.752  0.170 -0.779  0.085 -0.779  0.020 -0.825  -0.039 -0.885  -0.103 -0.939  -0.178 -0.976  -0.254 -1.014  -0.329 -1.052  -0.407 -1.079  -0.491 -1.079  -0.571 -1.060  -0.647 -1.022  -0.722 -0.985  -0.798 -0.947  -0.865 -0.960  -0.924 -1.019  -0.984 -1.079
2#apa#apa14#app1440/E  -0.420 0.906  -0.420 1.019  -0.420 0.792  -0.497 0.583  -0.590 0.378  -0.590 0.151  -0.590 -0.076  -0.590 -0.303  -0.590 -0.530  -0.590 -0.757  -0.590 -0.984  -0.533 -1.188  -0.353 -1.300  -0.126 -1.300  0.101 -1.300  0.328 -1.300  0.555 -1.300  0.782 -1.300  0.866 -1.300  0.671 -1.216  0.500 -1.066  0.329 -0.917  0.158 -0.767  -0.013 -0.618  -0.183 -0.468  -0.354 -0.319  -0.525 -0.169  -0.491 -0.013  -0.293 0.057  -0.066 0.057  0.161 0.057  0.374 0.115  0.577 0.217  0.802 0.227  0.846 0.227  0.619 0.227  0.419 0.329  0.222 0.442  0.025 0.555  -0.172 0.667  -0.369 0.780  -0.566 0.893  -0.560 1.076  -0.333 1.076  -0.111 1.111  0.110 1.166  0.330 1.221  0.517 1.334  0.710 1.415  0.937 1.415
2#apa#apa14#app1440/J  0.051 1.079  0.012 1.156  -0.026 1.232  -0.064 1.309  -0.098 1.387  -0.098 1.473  -0.098 1.489  -0.098 1.403  -0.098 1.317  -0.098 1.232  -0.098 1.146  -0.098 1.060  -0.098 0.975  -0.079 0.893  -0.041 0.817  -0.002 0.740  0.036 0.663  0.075 0.586  0.113 0.510  0.151 0.433  0.190 0.356  0.199 0.273  0.199 0.187  0.199 0.101  0.199 0.016  0.199 -0.070  0.214 -0.153  0.241 -0.235  0.269 -0.316  0.296 -0.397  0.323 -0.479  0.343 -0.560  0.305 -0.636  0.266 -0.713  0.228 -0.790  0.190 -0.866  0.151 -0.943  0.113 -1.020  0.075 -1.096  0.019 -1.145  -0.067 -1.145  -0.153 -1.145  -0.239 -1.145  -0.246 -1.223  -0.262 -1.293  -0.348 -1.293  -0.433 -1.293  -0.519 -1.293  -0.605 -1.293  -0.691 -1.293
2#apa#apa14#app1440/U  -0.675 1.730  -0.675 1.626  -0.675 1.522  -0.675 1.417  -0.671 1.313  -0.646 1.212  -0.621 1.111  -0.595 1.010  -0.570 0.909  -0.545 0.808  -0.519 0.706  -0.494 0.605  -0.474 0.503  -0.474 0.399  -0.474 0.295  -0.474 0.190  -0.474 0.086  -0.474 -0.018  -0.455 -0.118  -0.408 -0.211  -0.361 -0.305  -0.315 -0.398  -0.272 -0.492  -0.272 -0.597  -0.272 -0.701  -0.272 -0.805  -0.255 -0.902  -0.181 -0.976  -0.108 -1.050  -0.018 -1.086  0.086 -1.086  0.184 -1.059  0.277 -1.012  0.371 -0.966  0.464 -0.919  0.545 -0.860  0.591 -0.767  0.638 -0.673  0.685 -0.580  0.731 -0.487  0.765 -0.388  0.798 -0.289  0.831 -0.190  0.864 -0.091  0.897 0.008  0.930 0.107  0.935 0.210  0.935 0.315  0.935 0.419  0.935 0.523
2#apa#apa14#app1440/N  -0.910 -1.077  -0.910 -0.922  -0.910 -0.768  -0.910 -0.613  -0.910 -0.459  -0.910 -0.304  -0.910 -0.149  -0.910 0.005  -0.910 0.160  -0.910 0.314  -0.910 0.469  -0.910 0.623  -0.910 0.778  -0.856 0.910  -0.749 1.014  -0.749 0.860  -0.643 0.749  -0.533 0.640  -0.425 0.530  -0.356 0.392  -0.287 0.253  -0.266 0.104  -0.175 0.005  -0.037 -0.064  0.056 -0.161  0.056 -0.315  0.082 -0.459  0.192 -0.568  0.301 -0.677  0.378 -0.800  0.417 -0.916  0.539 -0.948  0.565 -1.077  0.700 -1.057  0.700 -0.903  0.700 -0.748  0.700 -0.594  0.700 -0.439  0.766 -0.300  0.835 -0.162  0.861 -0.014  0.861 0.141  0.861 0.295  0.861 0.450  0.861 0.605  0.890 0.752  0.959 0.891  1.022 1.030  1.022 1.185  1.022 1.339
2#apa#apa14#app1440/E  -0.805 1.006  -0.616 0.940  -0.709 0.723  -0.805 0.508  -0.805 0.252  -0.805 -0.003  -0.805 -0.259  -0.805 -0.514  -0.805 -0.770  -0.805 -1.025  -0.793 -1.268  -0.537 -1.268  -0.282 -1.268  -0.033 -1.253  0.151 -1.078  0.406 -1.078  0.620 -0.979  0.620 -0.979  0.425 -1.014  0.212 -0.873  -0.000 -0.731  -0.213 -0.589  -0.425 -0.448  -0.590 -0.320  -0.361 -0.255  -0.157 -0.131  0.098 -0.131  0.343 -0.064  0.585 0.017  0.834 0.059  1.089 0.059  1.089 0.182  0.996 0.152  0.784 0.277  0.537 0.339  0.289 0.401  0.041 0.463  -0.207 0.525  -0.455 0.587  -0.679 0.690  -0.751 0.871  -0.552 1.006  -0.296 1.006  -0.041 1.006  0.212 0.988  0.460 0.927  0.708 0.865  0.958 0.817  1.213 0.817  1.468 0.817
