2#apb#apb35#app3579/T  0.243 1.091  0.185 1.051  0.119 0.904  0.055 0.754  -0.010 0.607  -0.034 0.645  0.024 0.795  0.092 0.942  0.163 1.088  0.236 1.233  0.311 1.377  0.423 1.487  0.555 1.433  0.577 1.276  0.598 1.115  0.618 0.954  0.613 0.792  0.601 0.631  0.581 0.470  0.556 0.310  0.528 0.150  0.476 -0.003  0.415 -0.153  0.346 -0.300  0.275 -0.446  0.169 -0.569  0.059 -0.687  -0.072 -0.782  -0.214 -0.859  -0.366 -0.916  -0.526 -0.938  -0.686 -0.941  -0.846 -0.911  -1.000 -0.863  -1.150 -0.802  -1.260 -0.684  -1.241 -0.624  -1.079 -0.630  -0.917 -0.637  -0.755 -0.644  -0.593 -0.650  -0.431 -0.657  -0.269 -0.663  -0.107 -0.670  0.055 -0.676  0.217 -0.683  0.379 -0.689  0.541 -0.696  0.703 -0.703  0.844 -0.628
2#apb#apb35#app3579/i  -1.326 -1.245  -1.202 -1.162  -1.093 -1.059  -0.988 -0.952  -0.897 -0.833  -0.802 -0.718  -0.699 -0.608  -0.602 -0.494  -0.511 -0.375  -0.420 -0.256  -0.327 -0.138  -0.234 -0.021  -0.140 0.097  -0.050 0.216  0.011 0.348  0.027 0.442  -0.073 0.332  -0.142 0.201  -0.205 0.064  -0.279 -0.066  -0.341 -0.202  -0.389 -0.343  -0.401 -0.493  -0.380 -0.640  -0.284 -0.744  -0.150 -0.800  -0.001 -0.820  0.146 -0.797  0.293 -0.768  0.439 -0.733  0.585 -0.697  0.704 -0.643  0.687 -0.494  0.670 -0.345  0.653 -0.196  0.635 -0.047  0.618 0.102  0.601 0.251  0.584 0.400  0.566 0.549  0.549 0.698  0.532 0.847  0.515 0.996  0.498 1.145  0.480 1.294  0.463 1.443  0.446 1.592  0.429 1.741  0.411 1.890  0.394 2.039
2#apb#apb35#app3579/n  -0.383 1.099  -0.339 0.980  -0.363 0.819  -0.405 0.661  -0.463 0.508  -0.521 0.356  -0.610 0.218  -0.698 0.081  -0.778 -0.062  -0.854 -0.207  -0.934 -0.349  -1.035 -0.478  -1.136 -0.606  -1.230 -0.740  -1.241 -0.893  -1.103 -0.851  -0.981 -0.743  -0.874 -0.620  -0.784 -0.484  -0.683 -0.356  -0.572 -0.236  -0.462 -0.114  -0.355 0.009  -0.248 0.133  -0.144 0.259  -0.042 0.387  0.060 0.515  0.171 0.635  0.282 0.755  0.411 0.852  0.555 0.931  0.698 1.010  0.848 1.037  0.893 0.892  0.911 0.729  0.882 0.568  0.841 0.410  0.793 0.254  0.741 0.099  0.687 -0.055  0.633 -0.210  0.602 -0.370  0.577 -0.532  0.600 -0.694  0.632 -0.850  0.776 -0.927  0.921 -0.999  1.082 -0.970  1.243 -0.941  1.404 -0.911
2#apb#apb35#app3579/s  -1.090 -1.418  -1.000 -1.311  -0.936 -1.188  -0.883 -1.060  -0.800 -0.946  -0.724 -0.829  -0.657 -0.705  -0.583 -0.587  -0.487 -0.484  -0.392 -0.381  -0.316 -0.265  -0.259 -0.136  -0.201 -0.008  -0.141 0.118  -0.076 0.243  -0.011 0.367  0.054 0.492  0.128 0.611  0.206 0.728  0.284 0.845  0.362 0.962  0.440 1.079  0.518 1.196  0.595 1.313  0.670 1.432  0.782 1.491  0.772 1.360  0.749 1.222  0.717 1.086  0.675 0.951  0.631 0.818  0.584 0.686  0.544 0.551  0.513 0.414  0.483 0.277  0.438 0.144  0.389 0.012  0.341 -0.119  0.286 -0.249  0.231 -0.378  0.167 -0.503  0.100 -0.627  0.023 -0.743  -0.067 -0.849  -0.184 -0.927  -0.313 -0.981  -0.447 -1.009  -0.579 -0.961  -0.706 -0.903  -0.829 -0.835
2#apb#apb35#app3579/o  0.163 0.992  0.043 0.892  -0.027 0.751  -0.117 0.626  -0.235 0.522  -0.303 0.383  -0.361 0.237  -0.428 0.095  -0.506 -0.042  -0.583 -0.179  -0.661 -0.315  -0.740 -0.451  -0.796 -0.597  -0.842 -0.747  -0.873 -0.901  -0.899 -1.056  -0.901 -1.213  -0.812 -1.328  -0.665 -1.383  -0.517 -1.343  -0.369 -1.289  -0.223 -1.232  -0.079 -1.172  0.044 -1.073  0.166 -0.974  0.282 -0.869  0.391 -0.756  0.472 -0.621  0.541 -0.481  0.599 -0.335  0.658 -0.189  0.721 -0.045  0.784 0.099  0.823 0.250  0.846 0.405  0.845 0.561  0.821 0.716  0.795 0.871  0.767 1.026  0.651 1.122  0.500 1.161  0.345 1.169  0.196 1.119  0.047 1.069  -0.102 1.019  -0.210 0.926  -0.251 0.775  -0.137 0.678  -0.001 0.600  0.140 0.530
2#apb#apb35#app3579/n  -0.268 1.351  -0.300 1.192  -0.348 1.037  -0.414 0.889  -0.476 0.739  -0.539 0.589  -0.620 0.447  -0.701 0.306  -0.768 0.158  -0.825 0.006  -0.882 -0.146  -0.955 -0.292  -1.039 -0.430  -1.145 -0.553  -1.172 -0.712  -1.082 -0.730  -0.985 -0.600  -0.879 -0.476  -0.770 -0.355  -0.648 -0.249  -0.519 -0.150  -0.392 -0.048  -0.273 0.063  -0.155 0.174  -0.036 0.285  0.079 0.400  0.194 0.515  0.314 0.625  0.443 0.724  0.572 0.823  0.727 0.864  0.879 0.915  0.969 0.839  0.962 0.679  0.925 0.521  0.868 0.370  0.790 0.227  0.719 0.081  0.661 -0.071  0.603 -0.223  0.545 -0.375  0.496 -0.530  0.447 -0.685  0.429 -0.842  0.458 -1.002  0.548 -1.131  0.663 -1.246  0.805 -1.305  0.967 -1.324  1.128 -1.343
2#apb#apb35#app3579/Y  -0.492 1.366  -0.523 1.338  -0.585 1.153  -0.645 0.967  -0.695 0.778  -0.738 0.587  -0.778 0.396  -0.808 0.203  -0.701 0.047  -0.516 0.030  -0.330 0.092  -0.163 0.193  -0.009 0.313  0.127 0.451  0.238 0.612  0.350 0.772  0.462 0.932  0.574 1.092  0.686 1.253  0.697 1.295  0.627 1.112  0.566 0.927  0.525 0.736  0.485 0.545  0.460 0.351  0.435 0.157  0.406 -0.036  0.373 -0.229  0.338 -0.421  0.299 -0.613  0.259 -0.804  0.212 -0.993  0.160 -1.182  0.101 -1.368  0.032 -1.551  -0.054 -1.726  -0.231 -1.796  -0.342 -1.649  -0.367 -1.457  -0.360 -1.262  -0.334 -1.068  -0.298 -0.877  -0.233 -0.693  -0.168 -0.509  -0.087 -0.331  0.003 -0.157  0.092 0.016  0.201 0.178  0.316 0.336  0.431 0.494
2#apb#apb35#app3579/o  0.210 0.994  0.054 0.874  -0.083 0.720  -0.223 0.569  -0.324 0.389  -0.429 0.211  -0.536 0.035  -0.647 -0.139  -0.760 -0.312  -0.854 -0.494  -0.934 -0.685  -0.996 -0.881  -1.047 -1.081  -1.047 -1.287  -0.921 -1.439  -0.727 -1.419  -0.569 -1.289  -0.432 -1.136  -0.308 -0.971  -0.222 -0.785  -0.145 -0.593  -0.078 -0.398  -0.013 -0.202  0.042 -0.003  0.092 0.197  0.131 0.400  0.158 0.604  0.189 0.808  0.227 1.011  0.063 1.067  -0.094 0.943  -0.211 0.773  -0.312 0.593  -0.373 0.403  -0.373 0.196  -0.348 -0.008  -0.253 -0.185  -0.094 -0.307  0.096 -0.356  0.293 -0.293  0.487 -0.225  0.679 -0.150  0.861 -0.057  1.021 0.075  1.168 0.218  1.294 0.381  1.421 0.544  1.547 0.708  1.636 0.893  1.684 1.085
2#apb#apb35#app3579/r  -1.342 -0.933  -1.350 -0.953  -1.279 -0.846  -1.207 -0.739  -1.136 -0.633  -1.062 -0.528  -0.987 -0.423  -0.913 -0.319  -0.839 -0.213  -0.767 -0.107  -0.695 -0.001  -0.623 0.105  -0.550 0.211  -0.477 0.317  -0.404 0.423  -0.331 0.529  -0.258 0.634  -0.196 0.747  -0.135 0.860  -0.074 0.973  -0.005 1.081  0.076 1.180  0.149 1.285  0.209 1.219  0.271 1.106  0.341 0.999  0.416 0.895  0.477 0.782  0.535 0.667  0.603 0.558  0.688 0.467  0.793 0.395  0.870 0.297  0.874 0.172  0.807 0.062  0.731 -0.041  0.649 -0.140  0.564 -0.236  0.476 -0.330  0.388 -0.424  0.319 -0.532  0.252 -0.641  0.213 -0.763  0.226 -0.884  0.313 -0.969  0.426 -1.029  0.549 -1.056  0.677 -1.066  0.805 -1.075  0.933 -1.084
2#apb#apb35#app3579/k  -1.609 -1.156  -1.382 -1.013  -1.211 -0.809  -1.023 -0.619  -0.840 -0.424  -0.666 -0.220  -0.490 -0.019  -0.313 0.183  -0.153 0.397  -0.006 0.621  0.141 0.845  0.279 1.075  0.413 1.306  0.540 1.542  0.479 1.644  0.313 1.437  0.183 1.203  0.063 0.963  -0.048 0.720  -0.146 0.470  -0.248 0.222  -0.352 -0.025  -0.453 -0.273  -0.552 -0.522  -0.632 -0.775  -0.609 -1.038  -0.376 -1.009  -0.198 -0.812  -0.033 -0.601  0.132 -0.390  0.298 -0.180  0.463 0.031  0.629 0.242  0.794 0.453  0.959 0.664  0.916 0.817  0.661 0.744  0.449 0.581  0.237 0.417  0.050 0.225  -0.126 0.023  -0.253 -0.208  -0.284 -0.469  -0.175 -0.694  0.040 -0.843  0.293 -0.934  0.559 -0.948  0.827 -0.954  1.095 -0.947  1.363 -0.941
2#apb#apb35#app3579/Z  -1.171 -0.100  -1.252 -0.158  -1.152 0.007  -1.023 0.154  -0.894 0.301  -0.769 0.452  -0.646 0.604  -0.516 0.750  -0.382 0.893  -0.247 1.034  -0.096 1.159  0.058 1.278  0.241 1.347  0.388 1.257  0.389 1.062  0.334 0.875  0.261 0.694  0.167 0.523  0.065 0.356  -0.042 0.192  -0.171 0.046  -0.313 -0.088  -0.422 -0.149  -0.326 0.020  -0.204 0.173  -0.072 0.316  0.077 0.443  0.239 0.553  0.413 0.641  0.601 0.688  0.756 0.590  0.823 0.408  0.833 0.213  0.823 0.017  0.802 -0.177  0.775 -0.371  0.727 -0.560  0.676 -0.749  0.600 -0.930  0.516 -1.106  0.415 -1.273  0.293 -1.425  0.142 -1.546  -0.037 -1.618  -0.214 -1.580  -0.319 -1.422  -0.345 -1.231  -0.336 -1.037  -0.266 -0.854  -0.197 -0.672
2#apb#apb35#app3579/i  -1.127 -1.235  -1.035 -1.153  -0.958 -1.021  -0.860 -0.905  -0.757 -0.793  -0.668 -0.670  -0.580 -0.546  -0.488 -0.424  -0.395 -0.303  -0.302 -0.182  -0.213 -0.058  -0.125 0.065  -0.040 0.192  0.042 0.320  0.123 0.448  0.021 0.354  -0.066 0.229  -0.150 0.102  -0.235 -0.025  -0.317 -0.153  -0.387 -0.288  -0.458 -0.423  -0.498 -0.570  -0.490 -0.716  -0.426 -0.852  -0.316 -0.944  -0.166 -0.971  -0.018 -0.949  0.128 -0.905  0.263 -0.838  0.395 -0.761  0.443 -0.633  0.453 -0.481  0.463 -0.329  0.472 -0.177  0.482 -0.025  0.492 0.127  0.502 0.279  0.512 0.431  0.522 0.583  0.532 0.736  0.542 0.888  0.551 1.040  0.561 1.192  0.571 1.344  0.581 1.496  0.591 1.648  0.601 1.800  0.611 1.952  0.621 2.104
2#apb#apb35#app3579/m  -0.053 0.841  -0.019 0.801  -0.094 0.563  -0.207 0.338  -0.304 0.106  -0.420 -0.117  -0.528 -0.344  -0.641 -0.563  -0.490 -0.425  -0.346 -0.218  -0.200 -0.013  -0.050 0.189  0.105 0.387  0.267 0.579  0.457 0.743  0.668 0.878  0.877 0.872  0.903 0.631  0.842 0.387  0.779 0.144  0.720 -0.101  0.675 -0.348  0.811 -0.522  1.057 -0.517  1.299 -0.453  1.527 -0.346  1.688 -0.259  1.439 -0.299  1.191 -0.338  0.942 -0.377  0.693 -0.416  0.445 -0.455  0.196 -0.494  -0.052 -0.533  -0.301 -0.572  -0.550 -0.611  -0.798 -0.650  -1.047 -0.689  -1.296 -0.728  -1.543 -0.750  -1.489 -0.511  -1.389 -0.281  -1.300 -0.045  -1.166 0.163  -0.995 0.348  -0.820 0.529  -0.660 0.723  -0.460 0.873  -0.244 0.996  -0.120 0.881
2#apb#apb35#app3579/m  -0.793 0.763  -0.855 0.598  -0.897 0.425  -0.964 0.261  -1.027 0.094  -1.086 -0.073  -1.140 -0.243  -1.191 -0.414  -1.285 -0.563  -1.335 -0.731  -1.315 -0.666  -1.203 -0.530  -1.119 -0.373  -1.028 -0.220  -0.935 -0.068  -0.795 0.041  -0.662 0.159  -0.536 0.285  -0.410 0.411  -0.265 0.508  -0.102 0.579  0.070 0.621  0.177 0.495  0.177 0.317  0.152 0.142  0.112 -0.032  0.082 -0.207  0.009 -0.369  -0.025 -0.544  -0.089 -0.706  0.041 -0.585  0.149 -0.445  0.239 -0.291  0.347 -0.151  0.465 -0.017  0.578 0.120  0.688 0.260  0.798 0.399  0.936 0.512  1.079 0.614  1.251 0.658  1.370 0.584  1.393 0.408  1.368 0.233  1.336 0.057  1.286 -0.113  1.239 -0.284  1.230 -0.462  1.230 -0.640  1.255 -0.816
2#apb#apb35#app3579/e  -1.309 -1.233  -1.185 -1.168  -1.073 -1.060  -0.953 -0.960  -0.833 -0.860  -0.712 -0.762  -0.591 -0.663  -0.475 -0.560  -0.361 -0.453  -0.248 -0.345  -0.133 -0.240  -0.014 -0.139  0.104 -0.038  0.223 0.063  0.324 0.182  0.425 0.302  0.525 0.421  0.634 0.533  0.744 0.643  0.845 0.760  0.930 0.892  1.005 1.027  1.055 1.175  1.034 1.321  0.881 1.320  0.732 1.275  0.589 1.216  0.454 1.137  0.320 1.058  0.207 0.951  0.096 0.841  -0.014 0.731  -0.100 0.601  -0.182 0.469  -0.264 0.336  -0.344 0.202  -0.424 0.068  -0.503 -0.066  -0.549 -0.211  -0.565 -0.367  -0.580 -0.522  -0.505 -0.658  -0.427 -0.793  -0.282 -0.845  -0.134 -0.892  0.015 -0.938  0.171 -0.938  0.327 -0.938  0.483 -0.938  0.639 -0.938
2#apb#apb35#app3579/r  -1.527 -0.933  -1.448 -0.802  -1.339 -0.687  -1.234 -0.568  -1.130 -0.448  -1.026 -0.328  -0.930 -0.202  -0.835 -0.075  -0.739 0.052  -0.643 0.178  -0.546 0.303  -0.449 0.429  -0.357 0.558  -0.267 0.689  -0.178 0.820  -0.091 0.953  -0.026 1.093  -0.094 1.149  -0.198 1.039  -0.251 0.890  -0.253 0.732  -0.191 0.595  -0.051 0.525  0.076 0.429  0.224 0.383  0.211 0.235  0.144 0.092  0.037 -0.026  -0.066 -0.146  -0.164 -0.271  -0.255 -0.400  -0.338 -0.535  -0.401 -0.681  -0.309 -0.790  -0.158 -0.749  -0.006 -0.704  0.145 -0.656  0.296 -0.607  0.447 -0.558  0.598 -0.509  0.743 -0.447  0.878 -0.364  1.013 -0.281  1.149 -0.198  1.284 -0.116  1.409 -0.018  1.530 0.085  1.651 0.187  1.772 0.290  1.893 0.393
