1c#apb#apb41#app4145/a  0.050 0.338  0.074 0.491  -0.002 0.641  -0.094 0.782  -0.227 0.884  -0.389 0.892  -0.548 0.855  -0.682 0.752  -0.815 0.649  -0.924 0.521  -1.031 0.390  -1.138 0.260  -1.217 0.112  -1.293 -0.039  -1.340 -0.196  -1.340 -0.365  -1.310 -0.523  -1.205 -0.655  -1.069 -0.726  -0.901 -0.736  -0.732 -0.745  -0.572 -0.694  -0.412 -0.640  -0.252 -0.587  -0.122 -0.482  0.004 -0.370  0.130 -0.258  0.247 -0.138  0.356 -0.009  0.461 0.122  0.541 0.271  0.615 0.420  0.615 0.589  0.582 0.751  0.466 0.754  0.395 0.612  0.376 0.444  0.357 0.277  0.395 0.113  0.436 -0.051  0.516 -0.195  0.619 -0.329  0.739 -0.442  0.890 -0.517  1.043 -0.580  1.212 -0.580  1.380 -0.578  1.545 -0.543  1.709 -0.505  1.864 -0.439
1c#apb#apb41#app4145/u  -0.867 0.459  -0.764 0.528  -0.691 0.618  -0.631 0.722  -0.574 0.717  -0.594 0.594  -0.619 0.473  -0.643 0.351  -0.667 0.230  -0.686 0.107  -0.701 -0.016  -0.717 -0.139  -0.730 -0.262  -0.730 -0.386  -0.730 -0.510  -0.730 -0.634  -0.686 -0.748  -0.631 -0.859  -0.567 -0.964  -0.486 -1.058  -0.392 -1.127  -0.269 -1.138  -0.145 -1.149  -0.027 -1.116  0.091 -1.077  0.208 -1.038  0.311 -0.977  0.391 -0.882  0.471 -0.787  0.551 -0.693  0.610 -0.585  0.658 -0.471  0.706 -0.356  0.727 -0.235  0.740 -0.112  0.754 0.011  0.768 0.135  0.741 0.254  0.704 0.372  0.667 0.491  0.630 0.609  0.592 0.727  0.555 0.845  0.518 0.964  0.480 1.082  0.470 1.204  0.470 1.328  0.470 1.452  0.470 1.576  0.525 1.469
1c#apb#apb41#app4145/r  -0.596 0.536  -0.561 0.667  -0.543 0.638  -0.543 0.502  -0.548 0.366  -0.555 0.230  -0.562 0.094  -0.568 -0.042  -0.570 -0.178  -0.570 -0.314  -0.570 -0.450  -0.570 -0.587  -0.570 -0.723  -0.570 -0.859  -0.570 -0.995  -0.562 -1.130  -0.535 -1.264  -0.494 -1.392  -0.418 -1.504  -0.342 -1.404  -0.287 -1.281  -0.250 -1.151  -0.212 -1.020  -0.179 -0.888  -0.148 -0.755  -0.117 -0.622  -0.088 -0.489  -0.062 -0.356  -0.037 -0.222  -0.011 -0.088  0.018 0.045  0.057 0.175  0.097 0.305  0.137 0.435  0.176 0.566  0.235 0.687  0.306 0.803  0.377 0.919  0.448 1.036  0.541 1.132  0.650 1.214  0.776 1.244  0.897 1.193  0.989 1.102  1.028 0.972  1.063 0.840  1.085 0.706  1.108 0.572  1.109 0.436  1.109 0.300
1c#apb#apb41#app4145/e  -0.705 0.167  -0.705 0.084  -0.659 -0.059  -0.514 -0.074  -0.360 -0.074  -0.218 -0.014  -0.076 0.047  0.064 0.111  0.202 0.179  0.340 0.248  0.473 0.326  0.603 0.409  0.722 0.504  0.822 0.621  0.859 0.765  0.858 0.915  0.784 1.050  0.682 1.156  0.542 1.220  0.399 1.252  0.250 1.212  0.101 1.172  -0.028 1.095  -0.144 0.994  -0.261 0.893  -0.370 0.787  -0.444 0.652  -0.519 0.517  -0.593 0.382  -0.660 0.244  -0.699 0.095  -0.738 -0.054  -0.778 -0.203  -0.779 -0.356  -0.770 -0.510  -0.760 -0.664  -0.668 -0.780  -0.559 -0.889  -0.450 -0.998  -0.317 -1.070  -0.172 -1.121  -0.027 -1.172  0.123 -1.190  0.276 -1.176  0.430 -1.162  0.583 -1.148  0.736 -1.129  0.889 -1.107  1.041 -1.085  1.194 -1.063
1c#apb#apb41#app4145/o  -0.095 -0.108  -0.111 0.056  -0.122 0.220  -0.122 0.384  -0.105 0.547  -0.127 0.705  -0.253 0.696  -0.359 0.571  -0.466 0.446  -0.566 0.316  -0.643 0.171  -0.719 0.026  -0.792 -0.121  -0.821 -0.283  -0.850 -0.444  -0.859 -0.605  -0.817 -0.764  -0.774 -0.923  -0.668 -1.040  -0.539 -1.143  -0.390 -1.200  -0.229 -1.235  -0.069 -1.245  0.091 -1.208  0.251 -1.170  0.397 -1.102  0.527 -1.001  0.657 -0.901  0.768 -0.780  0.874 -0.655  0.977 -0.528  1.029 -0.372  1.081 -0.216  1.044 -0.056  1.007 0.104  0.959 0.259  0.855 0.386  0.752 0.514  0.648 0.642  0.538 0.763  0.426 0.884  0.314 1.004  0.176 1.086  0.025 1.151  -0.128 1.195  -0.289 1.161  -0.450 1.126  -0.567 1.016  -0.679 0.895  -0.790 0.775
1c#apb#apb41#app4145/w  -1.009 0.018  -1.009 0.195  -1.034 0.367  -1.054 0.542  -1.131 0.509  -1.207 0.349  -1.281 0.189  -1.298 0.016  -1.298 -0.161  -1.234 -0.326  -1.159 -0.484  -1.048 -0.622  -0.902 -0.709  -0.735 -0.769  -0.561 -0.765  -0.386 -0.743  -0.224 -0.678  -0.065 -0.599  0.055 -0.474  0.158 -0.331  0.221 -0.166  0.241 0.002  0.201 0.175  0.139 0.340  0.069 0.502  -0.011 0.653  -0.121 0.537  -0.134 0.368  -0.123 0.191  -0.096 0.016  -0.066 -0.158  0.013 -0.310  0.124 -0.448  0.255 -0.566  0.400 -0.653  0.577 -0.666  0.745 -0.627  0.904 -0.551  1.051 -0.453  1.133 -0.298  1.169 -0.129  1.169 0.047  1.155 0.223  1.136 0.399  1.111 0.574  1.074 0.747  1.038 0.920  1.012 1.095  0.999 1.269  1.036 1.441
1c#apb#apb41#app4145/n  -0.323 0.468  -0.459 0.529  -0.585 0.393  -0.691 0.240  -0.788 0.081  -0.867 -0.088  -0.940 -0.259  -0.974 -0.442  -1.007 -0.626  -0.997 -0.807  -0.874 -0.837  -0.754 -0.697  -0.672 -0.531  -0.606 -0.357  -0.573 -0.173  -0.539 0.010  -0.520 0.195  -0.520 0.382  -0.520 0.568  -0.520 0.755  -0.520 0.941  -0.466 1.117  -0.442 0.990  -0.427 0.805  -0.411 0.619  -0.395 0.433  -0.365 0.249  -0.325 0.067  -0.285 -0.115  -0.197 -0.278  -0.100 -0.437  0.016 -0.580  0.161 -0.697  0.311 -0.804  0.493 -0.844  0.675 -0.885  0.862 -0.886  1.042 -0.855  1.201 -0.769  1.295 -0.608  1.337 -0.433  1.337 -0.246  1.304 -0.065  1.245 0.112  1.186 0.289  1.127 0.465  1.068 0.642  1.016 0.821  0.977 1.004  1.009 1.145
1c#apb#apb41#app4145/e  -1.116 0.021  -1.284 0.041  -1.167 -0.039  -0.998 -0.039  -0.829 -0.036  -0.661 -0.020  -0.492 -0.003  -0.324 0.014  -0.158 0.045  0.006 0.084  0.170 0.124  0.335 0.164  0.497 0.211  0.659 0.259  0.819 0.312  0.958 0.408  1.086 0.515  1.104 0.654  1.005 0.791  0.862 0.875  0.708 0.944  0.551 1.002  0.382 1.009  0.213 1.016  0.049 0.998  -0.107 0.933  -0.263 0.867  -0.409 0.787  -0.529 0.668  -0.648 0.548  -0.737 0.410  -0.787 0.249  -0.836 0.087  -0.838 -0.078  -0.808 -0.244  -0.778 -0.410  -0.663 -0.532  -0.543 -0.652  -0.424 -0.771  -0.270 -0.839  -0.113 -0.904  0.043 -0.969  0.202 -1.022  0.370 -1.038  0.539 -1.054  0.707 -1.070  0.876 -1.079  1.045 -1.079  1.214 -1.079  1.383 -1.079
1c#apb#apb41#app4145/e  -0.904 -0.186  -0.892 -0.186  -0.740 -0.179  -0.591 -0.153  -0.441 -0.126  -0.294 -0.091  -0.149 -0.044  -0.005 0.002  0.140 0.048  0.284 0.097  0.427 0.147  0.570 0.197  0.712 0.251  0.850 0.315  0.987 0.379  1.103 0.473  1.203 0.588  1.170 0.726  1.088 0.849  0.976 0.951  0.861 1.048  0.710 1.065  0.559 1.083  0.410 1.081  0.267 1.031  0.124 0.981  -0.020 0.931  -0.138 0.838  -0.252 0.737  -0.366 0.637  -0.472 0.530  -0.540 0.395  -0.608 0.259  -0.675 0.123  -0.717 -0.021  -0.737 -0.171  -0.757 -0.322  -0.776 -0.472  -0.745 -0.619  -0.700 -0.763  -0.654 -0.908  -0.567 -1.023  -0.444 -1.113  -0.322 -1.203  -0.188 -1.271  -0.044 -1.319  0.100 -1.367  0.247 -1.398  0.399 -1.408  0.550 -1.419
1c#apb#apb41#app4145/w  -1.083 0.464  -1.150 0.339  -1.211 0.200  -1.254 0.055  -1.269 -0.096  -1.284 -0.248  -1.264 -0.399  -1.232 -0.545  -1.140 -0.667  -1.045 -0.785  -0.944 -0.899  -0.796 -0.920  -0.649 -0.895  -0.506 -0.844  -0.388 -0.750  -0.276 -0.646  -0.185 -0.526  -0.103 -0.398  -0.062 -0.254  -0.039 -0.103  -0.025 0.048  -0.032 0.200  -0.039 0.352  -0.041 0.504  -0.040 0.527  -0.018 0.376  0.007 0.226  0.038 0.077  0.071 -0.072  0.131 -0.212  0.201 -0.345  0.309 -0.453  0.429 -0.543  0.566 -0.586  0.706 -0.533  0.827 -0.440  0.930 -0.328  1.001 -0.203  1.001 -0.051  1.001 0.102  0.978 0.252  0.948 0.401  0.918 0.550  0.893 0.701  0.871 0.851  0.849 1.002  0.836 1.153  0.836 1.306  0.836 1.458  0.891 1.597
1c#apb#apb41#app4145/e  -1.017 0.077  -1.094 -0.030  -0.947 -0.111  -0.778 -0.139  -0.604 -0.123  -0.430 -0.107  -0.256 -0.087  -0.084 -0.059  0.088 -0.030  0.261 -0.001  0.428 0.050  0.593 0.105  0.756 0.166  0.907 0.255  1.047 0.355  1.146 0.497  1.082 0.660  0.978 0.792  0.836 0.893  0.691 0.989  0.519 1.016  0.346 1.044  0.175 1.044  0.006 0.998  -0.162 0.952  -0.328 0.899  -0.477 0.808  -0.626 0.716  -0.761 0.613  -0.836 0.455  -0.911 0.297  -0.986 0.139  -1.002 -0.034  -1.011 -0.208  -0.978 -0.369  -0.873 -0.509  -0.768 -0.649  -0.629 -0.741  -0.463 -0.797  -0.298 -0.852  -0.129 -0.895  0.044 -0.923  0.216 -0.950  0.389 -0.978  0.561 -0.953  0.733 -0.922  0.905 -0.891  1.076 -0.856  1.247 -0.820  1.418 -0.784
1c#apb#apb41#app4145/l  -0.065 1.486  -0.046 1.553  -0.026 1.575  -0.048 1.508  -0.065 1.441  -0.065 1.371  -0.065 1.301  -0.065 1.231  -0.065 1.161  -0.065 1.091  -0.065 1.020  -0.065 0.950  -0.065 0.880  -0.065 0.810  -0.065 0.740  -0.065 0.670  -0.065 0.600  -0.065 0.529  -0.065 0.459  -0.065 0.389  -0.065 0.319  -0.058 0.249  -0.051 0.179  -0.044 0.110  -0.037 0.040  -0.030 -0.030  -0.023 -0.100  -0.015 -0.169  -0.008 -0.239  -0.002 -0.309  0.004 -0.379  0.011 -0.449  0.017 -0.519  0.023 -0.588  0.029 -0.658  0.035 -0.728  0.043 -0.798  0.052 -0.867  0.062 -0.937  0.071 -1.006  0.081 -1.076  0.091 -1.145  0.100 -1.215  0.108 -1.284  0.116 -1.354  0.125 -1.424  0.134 -1.493  0.146 -1.562  0.157 -1.632  0.159 -1.702
1c#apb#apb41#app4145/e  -0.948 -0.275  -0.795 -0.254  -0.642 -0.230  -0.489 -0.207  -0.335 -0.193  -0.180 -0.193  -0.026 -0.193  0.127 -0.171  0.279 -0.140  0.430 -0.110  0.579 -0.068  0.728 -0.025  0.859 0.046  0.962 0.162  1.050 0.286  1.092 0.434  1.044 0.580  0.991 0.725  0.886 0.836  0.772 0.941  0.659 1.046  0.520 1.105  0.370 1.145  0.221 1.185  0.067 1.176  -0.088 1.164  -0.217 1.095  -0.330 0.990  -0.444 0.885  -0.545 0.771  -0.598 0.626  -0.652 0.481  -0.705 0.336  -0.731 0.185  -0.739 0.030  -0.746 -0.124  -0.753 -0.279  -0.713 -0.427  -0.664 -0.574  -0.615 -0.720  -0.539 -0.850  -0.429 -0.959  -0.320 -1.069  -0.195 -1.159  -0.063 -1.240  0.068 -1.321  0.220 -1.351  0.372 -1.378  0.526 -1.366  0.680 -1.352
1c#apb#apb41#app4145/r  -0.720 0.152  -0.735 0.052  -0.723 -0.057  -0.720 -0.167  -0.720 -0.277  -0.720 -0.388  -0.720 -0.498  -0.720 -0.608  -0.719 -0.718  -0.702 -0.826  -0.686 -0.935  -0.667 -1.044  -0.643 -1.151  -0.627 -1.259  -0.603 -1.268  -0.558 -1.167  -0.517 -1.065  -0.477 -0.963  -0.437 -0.860  -0.398 -0.757  -0.358 -0.655  -0.316 -0.553  -0.274 -0.451  -0.233 -0.349  -0.191 -0.247  -0.145 -0.148  -0.088 -0.054  -0.030 0.040  0.027 0.134  0.084 0.228  0.141 0.322  0.201 0.415  0.262 0.507  0.323 0.598  0.384 0.690  0.445 0.781  0.507 0.872  0.573 0.960  0.639 1.048  0.707 1.135  0.793 1.204  0.892 1.217  0.956 1.127  1.012 1.033  1.042 0.928  1.072 0.822  1.097 0.715  1.097 0.605  1.097 0.495  1.097 0.385
1c#apb#apb41#app4145/s  0.558 0.280  0.643 0.390  0.729 0.500  0.813 0.612  0.853 0.731  0.796 0.856  0.705 0.962  0.583 1.015  0.447 1.045  0.310 1.062  0.172 1.043  0.034 1.023  -0.104 1.003  -0.241 0.977  -0.377 0.946  -0.513 0.915  -0.649 0.884  -0.764 0.809  -0.872 0.721  -0.962 0.619  -1.013 0.490  -1.002 0.367  -0.925 0.251  -0.846 0.136  -0.724 0.068  -0.602 0.001  -0.480 -0.066  -0.356 -0.130  -0.223 -0.173  -0.090 -0.215  0.043 -0.257  0.176 -0.299  0.310 -0.338  0.443 -0.378  0.577 -0.418  0.709 -0.462  0.799 -0.551  0.773 -0.672  0.696 -0.788  0.585 -0.868  0.463 -0.937  0.342 -1.005  0.217 -1.068  0.091 -1.127  -0.036 -1.186  -0.161 -1.247  -0.286 -1.310  -0.412 -1.369  -0.547 -1.403  -0.682 -1.437
1c#apb#apb41#app4145/o  0.362 -0.189  0.308 -0.014  0.233 0.153  0.124 0.296  -0.027 0.402  -0.196 0.475  -0.372 0.494  -0.554 0.468  -0.720 0.389  -0.886 0.311  -1.018 0.183  -1.147 0.053  -1.237 -0.104  -1.307 -0.274  -1.311 -0.452  -1.253 -0.615  -1.105 -0.724  -0.948 -0.806  -0.764 -0.806  -0.580 -0.806  -0.396 -0.806  -0.214 -0.785  -0.031 -0.764  0.151 -0.742  0.330 -0.707  0.500 -0.636  0.669 -0.565  0.839 -0.494  1.007 -0.419  1.174 -0.343  1.341 -0.266  1.477 -0.143  1.557 0.006  1.516 0.173  1.391 0.308  1.261 0.436  1.094 0.513  0.927 0.590  0.760 0.667  0.577 0.687  0.395 0.708  0.212 0.725  0.030 0.699  -0.152 0.673  -0.334 0.647  -0.480 0.536  -0.626 0.425  -0.765 0.307  -0.858 0.148  -0.952 -0.010
1c#apb#apb41#app4145/c  0.835 0.347  0.835 0.467  0.820 0.584  0.766 0.687  0.672 0.761  0.571 0.823  0.454 0.850  0.337 0.877  0.218 0.881  0.098 0.881  -0.022 0.880  -0.130 0.826  -0.237 0.772  -0.344 0.719  -0.452 0.665  -0.556 0.605  -0.660 0.546  -0.764 0.486  -0.869 0.426  -0.959 0.348  -1.044 0.263  -1.129 0.178  -1.154 0.062  -1.178 -0.056  -1.179 -0.170  -1.115 -0.271  -1.050 -0.372  -0.971 -0.456  -0.859 -0.498  -0.746 -0.540  -0.634 -0.583  -0.521 -0.625  -0.404 -0.639  -0.283 -0.643  -0.163 -0.646  -0.043 -0.650  0.077 -0.653  0.197 -0.657  0.316 -0.648  0.435 -0.634  0.555 -0.620  0.674 -0.606  0.793 -0.592  0.912 -0.578  1.029 -0.553  1.144 -0.518  1.259 -0.484  1.374 -0.449  1.489 -0.415  1.604 -0.380
1c#apb#apb41#app4145/k  -0.426 1.710  -0.496 1.830  -0.609 1.673  -0.681 1.488  -0.723 1.294  -0.759 1.099  -0.774 0.901  -0.774 0.702  -0.774 0.503  -0.752 0.306  -0.721 0.110  -0.687 -0.086  -0.639 -0.279  -0.587 -0.471  -0.522 -0.659  -0.454 -0.846  -0.528 -0.785  -0.667 -0.642  -0.805 -0.499  -0.885 -0.340  -0.727 -0.224  -0.544 -0.154  -0.350 -0.109  -0.157 -0.060  0.035 -0.008  0.227 0.044  0.421 0.085  0.616 0.125  0.807 0.179  0.995 0.244  1.187 0.295  1.070 0.244  0.885 0.172  0.700 0.100  0.514 0.028  0.329 -0.044  0.143 -0.116  -0.042 -0.188  -0.227 -0.259  -0.268 -0.356  -0.074 -0.400  0.121 -0.439  0.307 -0.507  0.491 -0.583  0.676 -0.655  0.861 -0.728  1.042 -0.810  1.223 -0.892  1.405 -0.972  1.597 -1.024
