1c#apb#apb15#app1543/u  -1.397 0.438  -1.359 0.361  -1.316 0.286  -1.266 0.216  -1.216 0.146  -1.168 0.075  -1.134 -0.004  -1.100 -0.084  -1.060 -0.159  -1.007 -0.227  -0.953 -0.294  -0.904 -0.365  -0.857 -0.437  -0.803 -0.502  -0.728 -0.545  -0.653 -0.588  -0.576 -0.621  -0.489 -0.621  -0.403 -0.621  -0.317 -0.621  -0.233 -0.604  -0.148 -0.586  -0.064 -0.567  0.019 -0.544  0.101 -0.517  0.182 -0.490  0.264 -0.463  0.346 -0.435  0.412 -0.383  0.473 -0.323  0.534 -0.262  0.595 -0.201  0.656 -0.140  0.708 -0.072  0.749 0.004  0.790 0.080  0.830 0.156  0.871 0.232  0.912 0.308  0.931 0.392  0.949 0.476  0.967 0.560  0.985 0.645  1.003 0.729  1.004 0.814  0.996 0.900  0.987 0.986  0.978 1.072  0.962 1.156  0.945 1.241
1c#apb#apb15#app1543/p  -0.065 0.825  -0.094 0.678  -0.081 0.531  -0.065 0.382  -0.032 0.237  0.001 0.092  0.040 -0.052  0.084 -0.194  0.128 -0.336  0.160 -0.482  0.187 -0.628  0.214 -0.775  0.226 -0.923  0.232 -1.072  0.225 -1.219  0.191 -1.365  0.144 -1.505  0.081 -1.640  -0.052 -1.644  -0.158 -1.539  -0.210 -1.400  -0.262 -1.260  -0.297 -1.115  -0.330 -0.970  -0.362 -0.825  -0.369 -0.676  -0.372 -0.527  -0.376 -0.378  -0.380 -0.229  -0.373 -0.081  -0.352 0.067  -0.332 0.214  -0.311 0.362  -0.290 0.509  -0.270 0.657  -0.250 0.805  -0.230 0.952  -0.211 1.100  -0.149 1.234  -0.068 1.357  0.049 1.443  0.198 1.443  0.340 1.403  0.461 1.324  0.558 1.211  0.625 1.078  0.633 0.931  0.605 0.787  0.532 0.660  0.427 0.555
1c#apb#apb15#app1543/e  -1.241 -0.302  -1.178 -0.196  -1.019 -0.168  -0.850 -0.168  -0.682 -0.162  -0.513 -0.153  -0.345 -0.145  -0.177 -0.137  -0.013 -0.102  0.150 -0.059  0.313 -0.016  0.476 0.027  0.639 0.070  0.802 0.114  0.964 0.157  1.100 0.253  1.228 0.363  1.292 0.517  1.215 0.659  1.122 0.800  0.977 0.869  0.815 0.916  0.653 0.962  0.487 0.986  0.320 1.007  0.152 1.028  -0.005 0.989  -0.158 0.918  -0.311 0.847  -0.448 0.751  -0.582 0.648  -0.715 0.545  -0.793 0.407  -0.829 0.243  -0.864 0.078  -0.864 -0.089  -0.851 -0.257  -0.826 -0.420  -0.723 -0.554  -0.621 -0.688  -0.518 -0.821  -0.370 -0.897  -0.216 -0.966  -0.062 -1.034  0.092 -1.102  0.260 -1.117  0.428 -1.131  0.596 -1.144  0.763 -1.157  0.931 -1.171
1c#apb#apb15#app1543/r  -0.465 0.111  -0.437 -0.001  -0.414 -0.115  -0.391 -0.229  -0.364 -0.341  -0.300 -0.438  -0.235 -0.534  -0.176 -0.633  -0.148 -0.746  -0.120 -0.859  -0.075 -0.965  -0.028 -1.071  0.009 -1.180  -0.024 -1.282  -0.118 -1.276  -0.219 -1.218  -0.306 -1.145  -0.376 -1.052  -0.446 -0.959  -0.490 -0.853  -0.525 -0.743  -0.559 -0.632  -0.594 -0.521  -0.620 -0.410  -0.596 -0.296  -0.572 -0.182  -0.548 -0.069  -0.524 0.045  -0.501 0.159  -0.443 0.259  -0.380 0.356  -0.318 0.454  -0.255 0.552  -0.181 0.638  -0.083 0.700  0.015 0.763  0.113 0.825  0.221 0.865  0.333 0.898  0.444 0.932  0.555 0.965  0.666 0.998  0.778 1.029  0.894 1.029  1.010 1.029  1.126 1.029  1.243 1.029  1.359 1.029  1.475 1.029  1.591 1.029
1c#apb#apb15#app1543/o  -0.393 0.767  -0.368 0.879  -0.441 0.924  -0.556 0.852  -0.658 0.763  -0.745 0.658  -0.832 0.554  -0.909 0.441  -0.980 0.325  -1.052 0.208  -1.079 0.075  -1.104 -0.059  -1.128 -0.193  -1.100 -0.326  -1.071 -0.460  -1.010 -0.575  -0.909 -0.666  -0.808 -0.758  -0.681 -0.795  -0.546 -0.816  -0.411 -0.838  -0.277 -0.847  -0.141 -0.828  -0.006 -0.810  0.129 -0.791  0.262 -0.764  0.391 -0.719  0.520 -0.674  0.648 -0.629  0.769 -0.568  0.883 -0.493  0.996 -0.417  1.102 -0.333  1.187 -0.226  1.273 -0.120  1.287 0.015  1.298 0.151  1.228 0.260  1.138 0.363  1.020 0.429  0.898 0.490  0.776 0.551  0.650 0.597  0.514 0.604  0.377 0.612  0.241 0.619  0.106 0.637  -0.029 0.658  -0.162 0.653  -0.295 0.620
1c#apb#apb15#app1543/n  -1.223 0.578  -1.142 0.455  -1.060 0.333  -1.000 0.198  -0.940 0.064  -0.884 -0.072  -0.844 -0.214  -0.807 -0.356  -0.793 -0.503  -0.778 -0.649  -0.776 -0.796  -0.796 -0.941  -0.810 -1.088  -0.786 -1.088  -0.711 -0.964  -0.619 -0.849  -0.527 -0.734  -0.436 -0.618  -0.370 -0.486  -0.304 -0.355  -0.238 -0.223  -0.172 -0.091  -0.112 0.043  -0.055 0.179  0.002 0.315  0.059 0.450  0.117 0.586  0.174 0.722  0.242 0.852  0.311 0.982  0.381 1.112  0.451 1.241  0.558 1.313  0.593 1.170  0.629 1.027  0.638 0.881  0.638 0.734  0.638 0.586  0.638 0.439  0.648 0.293  0.689 0.152  0.729 0.010  0.770 -0.131  0.816 -0.271  0.892 -0.397  0.968 -0.523  1.043 -0.649  1.115 -0.778  1.187 -0.907  1.258 -1.035
1c#apb#apb15#app1543/a  0.607 0.349  0.572 0.500  0.546 0.653  0.444 0.767  0.380 0.905  0.284 0.988  0.132 0.967  -0.016 0.918  -0.163 0.869  -0.304 0.803  -0.443 0.734  -0.582 0.664  -0.721 0.595  -0.837 0.495  -0.943 0.382  -1.049 0.268  -1.154 0.154  -1.233 0.021  -1.302 -0.118  -1.372 -0.257  -1.342 -0.409  -1.311 -0.561  -1.175 -0.617  -1.026 -0.662  -0.873 -0.658  -0.719 -0.639  -0.565 -0.620  -0.410 -0.604  -0.255 -0.594  -0.100 -0.584  0.039 -0.539  0.149 -0.429  0.259 -0.319  0.347 -0.192  0.427 -0.059  0.500 0.078  0.562 0.221  0.576 0.373  0.609 0.369  0.624 0.214  0.640 0.060  0.705 -0.082  0.769 -0.223  0.862 -0.342  0.982 -0.442  1.101 -0.541  1.228 -0.627  1.373 -0.685  1.517 -0.743  1.661 -0.801
1c#apb#apb15#app1543/c  0.634 0.950  0.545 1.001  0.457 1.051  0.359 1.077  0.259 1.097  0.159 1.116  0.066 1.073  -0.027 1.031  -0.119 0.988  -0.212 0.944  -0.301 0.896  -0.391 0.847  -0.480 0.798  -0.548 0.725  -0.606 0.641  -0.664 0.557  -0.722 0.473  -0.774 0.385  -0.814 0.291  -0.854 0.197  -0.894 0.104  -0.922 0.008  -0.906 -0.093  -0.891 -0.194  -0.875 -0.295  -0.816 -0.368  -0.732 -0.426  -0.648 -0.484  -0.564 -0.542  -0.475 -0.587  -0.374 -0.606  -0.274 -0.624  -0.173 -0.642  -0.073 -0.660  0.028 -0.679  0.128 -0.693  0.230 -0.693  0.333 -0.693  0.435 -0.693  0.537 -0.693  0.639 -0.693  0.741 -0.693  0.843 -0.691  0.944 -0.679  1.046 -0.668  1.147 -0.656  1.248 -0.644  1.350 -0.633  1.451 -0.621  1.553 -0.609
1c#apb#apb15#app1543/h  -0.282 1.968  -0.317 1.855  -0.353 1.743  -0.388 1.631  -0.408 1.515  -0.428 1.399  -0.448 1.283  -0.468 1.167  -0.472 1.049  -0.472 0.932  -0.472 0.814  -0.472 0.696  -0.471 0.579  -0.462 0.461  -0.453 0.344  -0.444 0.227  -0.435 0.109  -0.424 -0.008  -0.409 -0.125  -0.394 -0.241  -0.378 -0.358  -0.364 -0.475  -0.351 -0.592  -0.338 -0.709  -0.325 -0.826  -0.278 -0.933  -0.240 -1.043  -0.210 -1.050  -0.149 -0.949  -0.086 -0.850  -0.019 -0.753  0.048 -0.656  0.116 -0.560  0.185 -0.465  0.254 -0.370  0.323 -0.274  0.404 -0.189  0.491 -0.110  0.578 -0.031  0.679 -0.002  0.725 -0.106  0.748 -0.221  0.748 -0.339  0.748 -0.457  0.765 -0.573  0.784 -0.689  0.821 -0.800  0.864 -0.910  0.929 -1.007  1.000 -1.101
1c#apb#apb15#app1543/a  0.608 0.647  0.526 0.761  0.444 0.874  0.345 0.973  0.241 1.061  0.102 1.079  -0.035 1.077  -0.168 1.032  -0.301 0.988  -0.424 0.925  -0.535 0.840  -0.646 0.755  -0.757 0.669  -0.855 0.570  -0.949 0.466  -1.042 0.362  -1.099 0.237  -1.141 0.103  -1.182 -0.031  -1.180 -0.167  -1.153 -0.304  -1.104 -0.431  -1.011 -0.535  -0.917 -0.639  -0.811 -0.721  -0.673 -0.746  -0.535 -0.770  -0.398 -0.794  -0.259 -0.802  -0.121 -0.781  0.017 -0.760  0.156 -0.740  0.294 -0.719  0.424 -0.668  0.551 -0.609  0.678 -0.551  0.793 -0.473  0.897 -0.380  1.002 -0.287  1.032 -0.155  1.048 -0.016  1.051 0.124  1.009 0.225  0.910 0.126  0.811 0.027  0.798 -0.108  0.798 -0.248  0.854 -0.374  0.921 -0.497  0.988 -0.620
1c#apb#apb15#app1543/r  -0.275 0.993  -0.312 0.861  -0.348 0.729  -0.367 0.593  -0.386 0.457  -0.406 0.322  -0.402 0.187  -0.375 0.052  -0.348 -0.082  -0.317 -0.216  -0.286 -0.349  -0.254 -0.483  -0.223 -0.616  -0.188 -0.749  -0.148 -0.880  -0.107 -1.011  -0.067 -1.142  -0.036 -1.276  -0.007 -1.410  -0.017 -1.541  -0.027 -1.518  -0.098 -1.401  -0.159 -1.278  -0.221 -1.155  -0.276 -1.031  -0.283 -0.894  -0.291 -0.757  -0.298 -0.620  -0.306 -0.483  -0.299 -0.347  -0.278 -0.212  -0.256 -0.076  -0.235 0.059  -0.214 0.195  -0.172 0.324  -0.115 0.448  -0.057 0.573  0.000 0.697  0.076 0.811  0.155 0.924  0.234 1.036  0.353 1.089  0.486 1.122  0.620 1.155  0.755 1.177  0.891 1.191  1.027 1.204  1.156 1.157  1.285 1.110  1.414 1.063
1c#apb#apb15#app1543/y  -0.632 1.120  -0.678 1.036  -0.678 0.931  -0.663 0.826  -0.621 0.729  -0.562 0.640  -0.484 0.577  -0.382 0.546  -0.280 0.520  -0.173 0.520  -0.069 0.532  0.031 0.568  0.124 0.616  0.207 0.682  0.286 0.753  0.353 0.835  0.421 0.917  0.485 1.002  0.541 1.091  0.514 1.054  0.463 0.961  0.418 0.864  0.372 0.768  0.327 0.672  0.302 0.569  0.281 0.465  0.259 0.361  0.237 0.257  0.215 0.153  0.192 0.049  0.168 -0.054  0.145 -0.158  0.124 -0.262  0.106 -0.367  0.089 -0.472  0.071 -0.577  0.054 -0.682  0.036 -0.787  0.019 -0.891  0.003 -0.996  -0.014 -1.101  -0.031 -1.206  -0.055 -1.310  -0.079 -1.413  -0.104 -1.517  -0.142 -1.616  -0.181 -1.715  -0.246 -1.797  -0.332 -1.847  -0.438 -1.847
1c#apb#apb15#app1543/s  0.732 1.186  0.692 1.282  0.594 1.223  0.493 1.176  0.383 1.149  0.273 1.121  0.163 1.094  0.059 1.050  -0.042 0.999  -0.143 0.948  -0.245 0.898  -0.347 0.849  -0.455 0.816  -0.564 0.784  -0.672 0.750  -0.769 0.692  -0.851 0.619  -0.901 0.518  -0.865 0.413  -0.794 0.332  -0.692 0.282  -0.591 0.231  -0.489 0.181  -0.385 0.136  -0.281 0.092  -0.177 0.047  -0.073 0.003  0.028 -0.050  0.125 -0.107  0.223 -0.164  0.321 -0.221  0.412 -0.288  0.497 -0.363  0.583 -0.437  0.642 -0.527  0.667 -0.638  0.691 -0.748  0.667 -0.854  0.622 -0.959  0.555 -1.044  0.462 -1.109  0.369 -1.174  0.276 -1.239  0.165 -1.247  0.052 -1.247  -0.061 -1.247  -0.173 -1.257  -0.283 -1.287  -0.392 -1.317  -0.501 -1.347
1c#apb#apb15#app1543/d  0.330 1.996  0.368 1.973  0.379 1.831  0.380 1.689  0.373 1.547  0.366 1.405  0.376 1.263  0.386 1.121  0.397 0.979  0.402 0.837  0.402 0.695  0.402 0.553  0.402 0.411  0.407 0.269  0.412 0.127  0.418 -0.015  0.425 -0.157  0.432 -0.299  0.441 -0.441  0.454 -0.583  0.395 -0.667  0.316 -0.559  0.246 -0.435  0.168 -0.317  0.087 -0.200  -0.010 -0.096  -0.107 0.008  -0.214 0.101  -0.334 0.166  -0.476 0.166  -0.593 0.104  -0.693 0.003  -0.789 -0.102  -0.871 -0.217  -0.947 -0.336  -0.975 -0.475  -0.989 -0.614  -0.944 -0.749  -0.854 -0.848  -0.733 -0.922  -0.598 -0.956  -0.456 -0.968  -0.315 -0.981  -0.174 -0.961  -0.034 -0.936  0.106 -0.911  0.246 -0.890  0.388 -0.879  0.530 -0.868  0.671 -0.857
1c#apb#apb15#app1543/e  -0.700 -0.429  -0.709 -0.364  -0.580 -0.299  -0.445 -0.246  -0.309 -0.195  -0.174 -0.145  -0.038 -0.094  0.098 -0.043  0.234 0.007  0.370 0.057  0.506 0.107  0.642 0.157  0.786 0.162  0.931 0.162  1.075 0.162  1.203 0.211  1.316 0.302  1.336 0.438  1.279 0.571  1.190 0.674  1.058 0.735  0.927 0.795  0.795 0.856  0.661 0.910  0.526 0.964  0.393 0.972  0.260 0.914  0.127 0.856  -0.006 0.798  -0.134 0.733  -0.249 0.645  -0.364 0.556  -0.479 0.468  -0.581 0.369  -0.653 0.243  -0.725 0.117  -0.797 -0.008  -0.846 -0.142  -0.863 -0.286  -0.880 -0.429  -0.897 -0.573  -0.890 -0.714  -0.832 -0.846  -0.774 -0.979  -0.716 -1.112  -0.650 -1.238  -0.532 -1.323  -0.414 -1.407  -0.297 -1.491  -0.179 -1.575
1c#apb#apb15#app1543/s  0.423 1.206  0.316 1.206  0.208 1.206  0.101 1.203  -0.005 1.182  -0.110 1.161  -0.216 1.140  -0.321 1.117  -0.424 1.086  -0.527 1.056  -0.626 1.016  -0.719 0.962  -0.793 0.894  -0.804 0.790  -0.767 0.689  -0.729 0.589  -0.638 0.531  -0.547 0.474  -0.457 0.415  -0.369 0.354  -0.280 0.293  -0.192 0.231  -0.100 0.175  -0.004 0.127  0.092 0.079  0.188 0.031  0.282 -0.021  0.370 -0.083  0.458 -0.145  0.545 -0.208  0.621 -0.284  0.697 -0.360  0.745 -0.452  0.768 -0.557  0.784 -0.661  0.755 -0.765  0.713 -0.860  0.627 -0.925  0.542 -0.991  0.457 -1.056  0.372 -1.122  0.267 -1.142  0.161 -1.160  0.055 -1.178  -0.052 -1.195  -0.158 -1.210  -0.265 -1.210  -0.373 -1.210  -0.481 -1.210  -0.588 -1.210
1c#apb#apb15#app1543/k  -0.271 2.214  -0.238 2.015  -0.205 1.816  -0.205 1.614  -0.205 1.412  -0.207 1.210  -0.215 1.008  -0.223 0.806  -0.239 0.605  -0.265 0.404  -0.291 0.204  -0.317 0.004  -0.348 -0.196  -0.378 -0.395  -0.405 -0.596  -0.415 -0.797  -0.424 -0.999  -0.424 -1.201  -0.437 -1.155  -0.410 -0.956  -0.333 -0.770  -0.248 -0.587  -0.130 -0.424  -0.011 -0.260  0.107 -0.097  0.226 0.067  0.344 0.231  0.463 0.394  0.581 0.558  0.700 0.721  0.819 0.885  0.804 0.718  0.668 0.569  0.515 0.442  0.337 0.347  0.164 0.242  -0.004 0.130  -0.168 0.013  -0.330 -0.108  -0.454 -0.254  -0.457 -0.454  -0.393 -0.641  -0.274 -0.799  -0.104 -0.908  0.075 -1.000  0.265 -1.069  0.455 -1.138  0.645 -1.206  0.835 -1.275  1.025 -1.343
