1b#apb#apb16#app1674/A  -0.263 -0.526  -0.293 -0.273  -0.428 -0.155  -0.657 -0.327  -0.903 -0.479  -1.121 -0.667  -1.324 -0.871  -1.441 -1.119  -1.200 -1.180  -0.998 -0.974  -0.810 -0.756  -0.644 -0.520  -0.489 -0.277  -0.361 -0.019  -0.240 0.243  -0.094 0.491  0.029 0.751  0.161 1.004  0.338 1.232  0.516 1.459  0.711 1.671  0.854 1.783  0.784 1.504  0.686 1.233  0.593 0.960  0.510 0.683  0.431 0.406  0.374 0.124  0.327 -0.161  0.279 -0.445  0.242 -0.731  0.212 -1.018  0.239 -1.301  0.436 -1.220  0.531 -0.949  0.571 -0.665  0.561 -0.378  0.499 -0.096  0.327 0.119  0.077 0.251  -0.203 0.323  -0.487 0.298  -0.695 0.171  -0.501 -0.023  -0.223 -0.093  0.060 -0.038  0.343 0.016  0.622 0.088  0.897 0.175  1.167 0.278
1b#apb#apb16#app1674/L  -0.528 0.702  -0.702 0.723  -0.745 0.534  -0.696 0.339  -0.544 0.206  -0.364 0.122  -0.168 0.087  0.034 0.087  0.234 0.115  0.425 0.173  0.604 0.266  0.774 0.376  0.928 0.503  1.050 0.664  1.134 0.848  1.161 1.044  1.148 1.245  1.077 1.425  0.923 1.299  0.796 1.142  0.682 0.976  0.572 0.806  0.462 0.637  0.353 0.466  0.245 0.296  0.136 0.126  0.029 -0.046  -0.077 -0.217  -0.183 -0.389  -0.304 -0.551  -0.427 -0.711  -0.563 -0.860  -0.718 -0.985  -0.908 -1.042  -1.099 -0.994  -1.212 -0.832  -1.228 -0.633  -1.160 -0.443  -1.047 -0.276  -0.868 -0.197  -0.698 -0.307  -0.531 -0.420  -0.371 -0.544  -0.215 -0.672  -0.046 -0.781  0.136 -0.868  0.330 -0.914  0.528 -0.893  0.722 -0.835  0.919 -0.794
1b#apb#apb16#app1674/M  -0.602 1.193  -0.631 1.476  -0.571 1.576  -0.317 1.447  -0.095 1.269  0.026 1.022  -0.016 0.749  -0.124 0.485  -0.249 0.229  -0.402 -0.011  -0.562 -0.248  -0.719 -0.486  -0.880 -0.721  -1.052 -0.950  -1.226 -1.176  -1.305 -1.148  -1.133 -0.920  -0.960 -0.693  -0.783 -0.469  -0.597 -0.252  -0.403 -0.044  -0.207 0.164  -0.009 0.369  0.191 0.573  0.393 0.775  0.614 0.950  0.677 0.768  0.575 0.502  0.458 0.242  0.327 -0.011  0.191 -0.262  0.048 -0.509  -0.094 -0.757  -0.236 -1.004  -0.244 -0.968  -0.080 -0.735  0.063 -0.488  0.230 -0.257  0.393 -0.023  0.574 0.197  0.742 0.425  0.957 0.613  1.100 0.597  1.009 0.328  0.931 0.053  0.859 -0.223  0.781 -0.497  0.730 -0.774  0.761 -1.057  0.869 -1.317
1b#apb#apb16#app1674/N  -0.743 0.852  -0.907 0.973  -0.803 0.812  -0.618 0.719  -0.399 0.703  -0.184 0.745  0.024 0.814  0.120 0.717  0.047 0.510  -0.063 0.320  -0.173 0.129  -0.274 -0.066  -0.375 -0.261  -0.480 -0.454  -0.587 -0.646  -0.686 -0.843  -0.782 -1.040  -0.896 -1.228  -0.910 -1.215  -0.820 -1.015  -0.689 -0.840  -0.563 -0.661  -0.455 -0.469  -0.342 -0.281  -0.220 -0.098  -0.094 0.082  0.047 0.251  0.187 0.421  0.318 0.597  0.450 0.773  0.606 0.928  0.761 1.084  0.922 1.231  1.121 1.320  1.107 1.115  1.010 0.920  0.894 0.733  0.776 0.548  0.657 0.363  0.550 0.171  0.443 -0.021  0.335 -0.213  0.227 -0.404  0.132 -0.602  0.055 -0.807  0.020 -1.022  0.064 -1.232  0.196 -1.398  0.388 -1.493  0.605 -1.525
1b#apb#apb16#app1674/O  0.345 0.618  0.345 0.785  0.345 0.948  0.249 0.999  0.133 0.880  0.023 0.754  -0.077 0.619  -0.176 0.485  -0.271 0.347  -0.364 0.208  -0.457 0.069  -0.546 -0.072  -0.633 -0.215  -0.721 -0.357  -0.794 -0.507  -0.860 -0.661  -0.912 -0.818  -0.928 -0.985  -0.911 -1.148  -0.847 -1.301  -0.735 -1.401  -0.568 -1.401  -0.404 -1.367  -0.252 -1.306  -0.114 -1.210  0.021 -1.113  0.139 -0.995  0.258 -0.876  0.374 -0.756  0.489 -0.635  0.593 -0.506  0.672 -0.358  0.752 -0.211  0.807 -0.054  0.858 0.105  0.891 0.268  0.896 0.435  0.902 0.602  0.844 0.758  0.780 0.912  0.652 1.007  0.501 1.076  0.335 1.063  0.168 1.051  0.024 0.969  -0.118 0.880  -0.253 0.784  -0.369 0.663  -0.485 0.543  -0.601 0.423
1b#apb#apb16#app1674/P  0.083 0.541  0.055 0.718  -0.022 0.558  -0.097 0.395  -0.168 0.230  -0.233 0.063  -0.299 -0.105  -0.372 -0.269  -0.446 -0.433  -0.520 -0.596  -0.611 -0.752  -0.701 -0.907  -0.791 -1.063  -0.880 -1.219  -0.982 -1.366  -1.041 -1.430  -1.016 -1.252  -0.947 -1.086  -0.873 -0.922  -0.784 -0.766  -0.695 -0.610  -0.611 -0.451  -0.528 -0.292  -0.446 -0.132  -0.355 0.023  -0.262 0.177  -0.170 0.331  -0.066 0.478  0.040 0.623  0.146 0.768  0.270 0.898  0.393 1.029  0.534 1.139  0.685 1.234  0.857 1.277  1.016 1.192  1.122 1.049  1.176 0.881  1.204 0.705  1.172 0.528  1.120 0.358  1.037 0.198  0.923 0.064  0.786 -0.053  0.635 -0.147  0.473 -0.225  0.308 -0.296  0.136 -0.346  -0.040 -0.374  -0.219 -0.364
1b#apb#apb16#app1674/Q  0.288 0.361  0.332 0.545  0.408 0.723  0.512 0.883  0.573 1.067  0.606 1.256  0.497 1.377  0.321 1.300  0.175 1.173  0.030 1.044  -0.109 0.910  -0.248 0.776  -0.384 0.638  -0.518 0.499  -0.653 0.360  -0.762 0.201  -0.871 0.041  -0.977 -0.120  -1.059 -0.295  -1.141 -0.470  -1.132 -0.658  -0.975 -0.688  -0.793 -0.630  -0.621 -0.540  -0.455 -0.441  -0.294 -0.335  -0.136 -0.223  0.019 -0.108  0.163 0.020  0.296 0.160  0.427 0.303  0.554 0.448  0.661 0.609  0.757 0.777  0.751 0.678  0.701 0.491  0.644 0.307  0.581 0.124  0.518 -0.059  0.454 -0.241  0.391 -0.424  0.327 -0.607  0.263 -0.789  0.200 -0.972  0.130 -1.152  0.055 -1.330  -0.020 -1.508  -0.096 -1.686  -0.179 -1.860  -0.213 -1.935
1b#apb#apb16#app1674/R  0.047 0.876  0.029 0.911  -0.068 0.694  -0.144 0.468  -0.248 0.254  -0.353 0.040  -0.446 -0.180  -0.537 -0.400  -0.632 -0.619  -0.730 -0.836  -0.809 -1.061  -0.868 -1.161  -0.872 -0.927  -0.820 -0.695  -0.749 -0.467  -0.670 -0.242  -0.585 -0.020  -0.482 0.195  -0.368 0.404  -0.238 0.603  -0.092 0.792  0.072 0.963  0.251 1.120  0.450 1.252  0.661 1.355  0.895 1.401  1.125 1.343  1.285 1.175  1.257 0.938  1.178 0.716  1.076 0.501  0.918 0.323  0.756 0.147  0.581 -0.014  0.393 -0.159  0.184 -0.272  -0.047 -0.329  -0.267 -0.284  -0.410 -0.102  -0.397 0.124  -0.366 -0.101  -0.385 -0.338  -0.409 -0.576  -0.415 -0.811  -0.335 -1.032  -0.150 -1.177  0.080 -1.240  0.317 -1.224  0.553 -1.189  0.786 -1.141
1b#apb#apb16#app1674/S  -1.419 -1.030  -1.315 -0.892  -1.191 -0.745  -1.051 -0.609  -0.913 -0.472  -0.760 -0.351  -0.608 -0.230  -0.459 -0.104  -0.311 0.023  -0.160 0.146  -0.007 0.267  0.143 0.392  0.287 0.522  0.431 0.654  0.551 0.807  0.670 0.961  0.782 1.121  0.859 1.297  0.888 1.488  0.777 1.624  0.599 1.579  0.497 1.414  0.438 1.229  0.410 1.036  0.386 0.843  0.402 0.649  0.420 0.455  0.456 0.263  0.492 0.072  0.544 -0.116  0.584 -0.306  0.593 -0.498  0.522 -0.677  0.389 -0.813  0.204 -0.873  0.012 -0.904  -0.183 -0.904  -0.375 -0.872  -0.564 -0.825  -0.735 -0.739  -0.869 -0.601  -0.921 -0.437  -0.731 -0.457  -0.548 -0.518  -0.353 -0.526  -0.158 -0.518  0.034 -0.492  0.226 -0.460  0.420 -0.441  0.615 -0.432
1b#apb#apb16#app1674/T  -0.264 0.613  -0.437 0.631  -0.600 0.525  -0.771 0.433  -0.620 0.468  -0.432 0.522  -0.243 0.572  -0.058 0.634  0.120 0.713  0.294 0.802  0.465 0.897  0.634 0.995  0.799 1.099  0.942 1.233  1.000 1.412  0.870 1.434  0.760 1.272  0.672 1.099  0.597 0.918  0.528 0.735  0.468 0.549  0.407 0.363  0.351 0.176  0.295 -0.012  0.240 -0.199  0.198 -0.390  0.156 -0.581  0.110 -0.772  0.060 -0.960  -0.015 -1.141  -0.187 -1.210  -0.380 -1.193  -0.563 -1.128  -0.726 -1.022  -0.859 -0.879  -1.003 -0.746  -1.093 -0.574  -1.175 -0.398  -1.052 -0.454  -0.898 -0.575  -0.720 -0.649  -0.531 -0.694  -0.335 -0.694  -0.141 -0.683  0.052 -0.650  0.244 -0.613  0.429 -0.551  0.615 -0.489  0.805 -0.442  0.994 -0.394
1b#apb#apb16#app1674/U  -0.977 0.662  -0.916 0.869  -0.752 1.007  -0.525 1.018  -0.298 1.018  -0.081 0.993  0.051 0.816  0.004 0.612  -0.120 0.425  -0.284 0.269  -0.454 0.118  -0.635 -0.019  -0.815 -0.156  -0.986 -0.305  -1.158 -0.453  -1.339 -0.590  -1.320 -0.774  -1.100 -0.723  -0.881 -0.661  -0.665 -0.594  -0.455 -0.508  -0.248 -0.415  -0.058 -0.294  0.128 -0.163  0.302 -0.018  0.469 0.135  0.617 0.306  0.765 0.478  0.911 0.652  1.055 0.827  1.194 1.006  1.282 1.110  1.160 0.920  1.017 0.744  0.866 0.575  0.713 0.407  0.566 0.234  0.423 0.058  0.279 -0.117  0.122 -0.280  -0.035 -0.444  -0.166 -0.628  -0.284 -0.821  -0.282 -1.025  -0.079 -1.089  0.148 -1.086  0.374 -1.073  0.600 -1.057  0.822 -1.009  1.044 -0.960
1b#apb#apb16#app1674/V  -0.819 0.459  -0.756 0.600  -0.649 0.708  -0.528 0.805  -0.390 0.868  -0.248 0.925  -0.118 1.008  0.027 1.037  0.182 1.037  0.327 1.017  0.378 0.880  0.341 0.735  0.276 0.596  0.186 0.471  0.090 0.351  -0.008 0.231  -0.109 0.115  -0.210 -0.002  -0.315 -0.115  -0.429 -0.218  -0.543 -0.322  -0.656 -0.428  -0.765 -0.537  -0.872 -0.647  -0.963 -0.772  -1.051 -0.899  -1.095 -1.036  -1.006 -1.147  -0.858 -1.149  -0.707 -1.119  -0.562 -1.067  -0.422 -1.003  -0.282 -0.938  -0.149 -0.859  -0.017 -0.781  0.116 -0.702  0.232 -0.601  0.348 -0.499  0.463 -0.396  0.575 -0.290  0.682 -0.179  0.788 -0.068  0.893 0.046  0.989 0.166  1.085 0.287  1.168 0.417  1.245 0.550  1.314 0.688  1.374 0.830  1.448 0.946
1b#apb#apb16#app1674/W  -0.734 0.826  -0.606 0.954  -0.427 1.001  -0.255 0.892  -0.155 0.705  -0.139 0.500  -0.188 0.293  -0.299 0.111  -0.413 -0.070  -0.533 -0.247  -0.652 -0.423  -0.808 -0.569  -0.965 -0.714  -1.117 -0.864  -1.270 -1.012  -1.369 -1.091  -1.197 -0.966  -1.044 -0.817  -0.896 -0.663  -0.754 -0.505  -0.610 -0.347  -0.467 -0.189  -0.326 -0.028  -0.186 0.133  -0.042 0.291  0.102 0.448  0.249 0.603  0.416 0.735  0.509 0.609  0.477 0.403  0.382 0.212  0.286 0.021  0.187 -0.168  0.082 -0.354  -0.025 -0.538  -0.122 -0.728  -0.103 -0.816  0.069 -0.691  0.238 -0.560  0.389 -0.409  0.542 -0.260  0.699 -0.116  0.858 0.026  1.019 0.167  1.170 0.317  1.311 0.477  1.457 0.633  1.608 0.784  1.759 0.935  1.893 1.069
1b#apb#apb16#app1674/X  0.886 1.211  0.932 1.363  0.910 1.401  0.778 1.266  0.676 1.107  0.576 0.946  0.478 0.785  0.379 0.624  0.278 0.464  0.178 0.304  0.075 0.145  -0.030 -0.013  -0.135 -0.170  -0.239 -0.328  -0.339 -0.488  -0.440 -0.648  -0.542 -0.807  -0.644 -0.966  -0.748 -1.124  -0.852 -1.205  -0.848 -1.021  -0.793 -0.840  -0.745 -0.657  -0.699 -0.474  -0.653 -0.291  -0.606 -0.107  -0.560 0.076  -0.514 0.259  -0.468 0.443  -0.421 0.626  -0.375 0.809  -0.329 0.993  -0.299 1.178  -0.230 1.106  -0.127 0.947  -0.037 0.781  0.044 0.610  0.122 0.438  0.198 0.265  0.273 0.091  0.345 -0.083  0.417 -0.258  0.468 -0.439  0.499 -0.625  0.525 -0.813  0.540 -1.001  0.552 -1.190  0.552 -1.379  0.524 -1.565  0.469 -1.744
1b#apb#apb16#app1674/Y  -0.255 1.065  -0.179 1.156  -0.043 1.231  0.002 1.199  -0.097 1.071  -0.201 0.946  -0.306 0.823  -0.410 0.698  -0.512 0.572  -0.614 0.446  -0.699 0.308  -0.779 0.167  -0.855 0.024  -0.928 -0.121  -0.921 -0.281  -0.763 -0.299  -0.610 -0.245  -0.459 -0.184  -0.313 -0.114  -0.169 -0.041  -0.034 0.050  0.100 0.142  0.224 0.245  0.345 0.354  0.465 0.463  0.585 0.572  0.705 0.681  0.800 0.812  0.893 0.943  0.866 0.892  0.796 0.746  0.730 0.598  0.668 0.448  0.607 0.297  0.545 0.147  0.485 -0.003  0.425 -0.154  0.364 -0.305  0.304 -0.455  0.243 -0.606  0.182 -0.756  0.121 -0.906  0.061 -1.057  0.000 -1.207  -0.060 -1.358  -0.122 -1.508  -0.192 -1.654  -0.263 -1.800  -0.329 -1.948  -0.402 -2.093
1b#apb#apb16#app1674/Z  -0.453 0.827  -0.599 0.991  -0.556 1.216  -0.365 1.345  -0.136 1.405  0.100 1.430  0.335 1.401  0.539 1.290  0.688 1.113  0.705 0.896  0.619 0.676  0.451 0.508  0.270 0.357  0.065 0.237  -0.145 0.127  -0.370 0.052  -0.598 -0.014  -0.831 -0.062  -1.067 -0.064  -1.030 0.095  -0.824 0.203  -0.599 0.280  -0.366 0.325  -0.131 0.350  0.107 0.350  0.332 0.285  0.531 0.165  0.629 -0.033  0.629 -0.270  0.563 -0.498  0.475 -0.717  0.353 -0.921  0.214 -1.114  0.056 -1.288  -0.141 -1.417  -0.376 -1.452  -0.611 -1.416  -0.816 -1.309  -0.868 -1.094  -0.757 -0.894  -0.589 -0.726  -0.383 -0.608  -0.175 -0.492  0.045 -0.405  0.270 -0.328  0.497 -0.261  0.730 -0.210  0.962 -0.159  1.194 -0.110  1.427 -0.062
