3#apa#apa04#app0418/8  -0.392 0.814  -0.128 0.814  -0.092 0.980  -0.227 0.851  -0.392 0.752  -0.553 0.649  -0.651 0.483  -0.724 0.291  -0.724 0.027  -0.525 -0.114  -0.277 -0.181  -0.075 -0.029  0.160 0.040  0.379 0.151  0.643 0.151  0.769 0.290  0.934 0.388  0.934 0.653  0.862 0.887  0.636 0.980  0.538 1.146  0.291 1.219  0.049 1.312  -0.216 1.312  -0.314 1.146  -0.411 0.961  -0.437 0.698  -0.463 0.435  -0.490 0.172  -0.516 -0.091  -0.542 -0.354  -0.453 -0.512  -0.419 -0.705  -0.606 -0.891  -0.724 -1.107  -0.695 -1.342  -0.468 -1.432  -0.235 -1.507  0.003 -1.444  0.225 -1.342  0.489 -1.342  0.709 -1.235  0.934 -1.161  0.934 -0.897  0.902 -0.646  0.715 -0.459  0.528 -0.272  0.302 -0.181  0.038 -0.181  -0.227 -0.181
3#apa#apa04#app0418/;  -0.076 1.470  0.005 1.470  0.049 1.508  0.049 1.589  0.049 1.521  0.053 1.440  0.066 1.360  0.078 1.280  0.090 1.200  0.103 1.120  0.115 1.039  0.127 0.959  0.140 0.879  0.152 0.799  0.164 0.719  0.177 0.639  0.189 0.558  0.201 0.478  0.214 0.398  0.226 0.318  0.238 0.238  0.251 0.158  0.263 0.078  0.275 -0.003  0.288 -0.083  0.298 -0.163  0.298 -0.244  0.265 -0.311  0.208 -0.369  0.174 -0.436  0.174 -0.517  0.104 -0.528  0.049 -0.554  0.049 -0.635  0.049 -0.716  0.035 -0.792  -0.022 -0.849  -0.076 -0.908  -0.076 -0.989  -0.118 -1.028  -0.199 -1.028  -0.257 -1.084  -0.315 -1.141  -0.372 -1.199  -0.429 -1.256  -0.501 -1.278  -0.583 -1.278  -0.664 -1.278  -0.745 -1.278  -0.826 -1.278
3#apa#apa04#app0418/>  -0.743 1.300  -0.743 1.409  -0.743 1.406  -0.741 1.298  -0.664 1.221  -0.587 1.144  -0.481 1.138  -0.386 1.105  -0.309 1.028  -0.232 0.951  -0.155 0.874  -0.071 0.813  0.038 0.813  0.068 0.734  0.086 0.633  0.163 0.556  0.244 0.489  0.353 0.489  0.393 0.419  0.409 0.327  0.518 0.327  0.555 0.255  0.573 0.164  0.682 0.164  0.717 0.090  0.717 -0.019  0.717 -0.128  0.717 -0.237  0.694 -0.322  0.585 -0.322  0.555 -0.401  0.529 -0.484  0.421 -0.484  0.393 -0.566  0.365 -0.647  0.256 -0.647  0.172 -0.706  0.095 -0.783  -0.004 -0.809  -0.107 -0.822  -0.184 -0.899  -0.261 -0.976  -0.338 -1.053  -0.415 -1.130  -0.523 -1.133  -0.581 -1.184  -0.581 -1.293  -0.687 -1.295  -0.743 -1.349  -0.743 -1.458
3#apa#apa04#app0418/S  1.435 0.691  1.334 0.792  1.222 0.826  1.157 0.904  1.015 0.904  0.912 1.001  0.773 1.011  0.631 1.011  0.488 1.011  0.346 1.011  0.209 0.984  0.082 0.920  -0.057 0.904  -0.185 0.840  -0.317 0.798  -0.451 0.760  -0.579 0.696  -0.681 0.598  -0.801 0.567  -0.801 0.425  -0.801 0.282  -0.781 0.159  -0.694 0.103  -0.607 0.024  -0.471 -0.022  -0.346 -0.083  -0.239 -0.175  -0.111 -0.239  0.001 -0.323  0.123 -0.373  0.265 -0.375  0.366 -0.475  0.507 -0.480  0.630 -0.527  0.690 -0.645  0.595 -0.692  0.452 -0.692  0.309 -0.692  0.195 -0.761  0.068 -0.799  -0.074 -0.799  -0.217 -0.799  -0.350 -0.840  -0.478 -0.903  -0.620 -0.905  -0.694 -0.973  -0.799 -1.012  -0.835 -1.118  -0.907 -1.189  -0.907 -1.331
3#apa#apa04#app0418/i  -0.018 -0.503  -0.018 -0.596  -0.018 -0.688  -0.018 -0.780  -0.027 -0.863  -0.119 -0.863  -0.198 -0.877  -0.198 -0.970  -0.198 -1.062  -0.198 -1.154  -0.198 -1.247  -0.198 -1.339  -0.194 -1.376  -0.182 -1.284  -0.170 -1.193  -0.157 -1.101  -0.145 -1.010  -0.133 -0.918  -0.121 -0.827  -0.109 -0.735  -0.096 -0.644  -0.084 -0.552  -0.072 -0.460  -0.060 -0.369  -0.048 -0.277  -0.035 -0.186  -0.023 -0.094  -0.011 -0.003  0.001 0.089  0.013 0.180  0.026 0.272  0.038 0.363  0.050 0.455  0.062 0.546  0.074 0.638  0.087 0.729  0.099 0.821  0.111 0.913  0.123 1.004  0.135 1.096  0.148 1.187  0.160 1.279  0.162 1.371  0.162 1.463  0.162 1.556  0.162 1.648  0.245 1.657  0.338 1.657  0.342 1.569  0.342 1.477
3#apa#apa04#app0418/m  -0.853 0.375  -0.853 0.226  -0.853 0.078  -0.853 -0.070  -0.853 -0.219  -0.858 -0.362  -1.006 -0.362  -1.037 -0.480  -1.095 -0.604  -1.200 -0.709  -1.221 -0.848  -1.138 -0.914  -1.037 -0.867  -1.025 -0.730  -0.877 -0.730  -0.729 -0.730  -0.669 -0.642  -0.632 -0.509  -0.527 -0.404  -0.422 -0.299  -0.317 -0.194  -0.300 -0.052  -0.300 0.096  -0.263 0.228  -0.158 0.333  -0.053 0.438  0.052 0.543  0.068 0.685  0.158 0.743  0.252 0.688  0.252 0.540  0.252 0.391  0.252 0.243  0.252 0.095  0.312 0.006  0.460 0.006  0.609 0.006  0.717 0.103  0.829 0.191  0.977 0.191  1.126 0.191  1.172 0.292  1.172 0.441  1.203 0.559  1.351 0.559  1.499 0.559  1.540 0.452  1.540 0.303  1.540 0.155  1.540 0.006
3#apa#apa04#app0418/i  -0.008 -0.960  -0.066 -1.019  -0.125 -1.077  -0.178 -1.138  -0.178 -1.221  -0.178 -1.303  -0.178 -1.386  -0.178 -1.469  -0.172 -1.388  -0.166 -1.306  -0.160 -1.223  -0.154 -1.141  -0.148 -1.058  -0.142 -0.976  -0.137 -0.893  -0.131 -0.811  -0.125 -0.728  -0.119 -0.646  -0.113 -0.563  -0.107 -0.481  -0.101 -0.398  -0.095 -0.316  -0.089 -0.233  -0.084 -0.150  -0.078 -0.068  -0.072 0.015  -0.066 0.097  -0.060 0.180  -0.054 0.262  -0.048 0.345  -0.042 0.427  -0.036 0.510  -0.030 0.592  -0.025 0.675  -0.019 0.757  -0.013 0.840  0.006 0.908  0.089 0.908  0.162 0.918  0.162 1.000  0.162 1.083  0.162 1.166  0.163 1.248  0.221 1.307  0.279 1.365  0.341 1.418  0.423 1.418  0.502 1.422  0.502 1.505  0.502 1.587
3#apa#apa04#app0418/l  0.412 1.585  0.412 1.512  0.412 1.439  0.412 1.365  0.392 1.301  0.340 1.249  0.288 1.197  0.280 1.127  0.277 1.057  0.204 1.057  0.148 1.040  0.148 0.966  0.148 0.893  0.148 0.820  0.115 0.760  0.063 0.709  0.016 0.655  0.016 0.582  0.016 0.508  0.016 0.435  0.008 0.363  -0.010 0.292  -0.028 0.221  -0.046 0.150  -0.063 0.079  -0.081 0.008  -0.099 -0.063  -0.116 -0.134  -0.116 -0.207  -0.116 -0.281  -0.116 -0.354  -0.116 -0.427  -0.116 -0.500  -0.116 -0.574  -0.116 -0.647  -0.116 -0.720  -0.116 -0.793  -0.116 -0.866  -0.124 -0.938  -0.156 -1.003  -0.189 -1.069  -0.222 -1.134  -0.248 -1.201  -0.248 -1.275  -0.248 -1.348  -0.248 -1.421  -0.248 -1.494  -0.248 -1.567  -0.248 -1.641  -0.248 -1.714
3#apa#apa04#app0418/a  0.557 0.090  0.689 0.221  0.788 0.366  0.788 0.552  0.788 0.738  0.788 0.925  0.691 1.013  0.505 1.013  0.319 1.013  0.133 1.013  -0.053 1.013  -0.209 0.940  -0.340 0.808  -0.516 0.783  -0.597 0.678  -0.657 0.552  -0.839 0.541  -0.970 0.410  -1.102 0.278  -1.233 0.146  -1.290 -0.016  -1.290 -0.202  -1.290 -0.388  -1.290 -0.575  -1.132 -0.603  -1.059 -0.716  -0.991 -0.834  -0.805 -0.834  -0.619 -0.834  -0.433 -0.834  -0.366 -0.714  -0.291 -0.603  -0.105 -0.603  0.081 -0.603  0.217 -0.482  0.357 -0.372  0.543 -0.372  0.557 -0.200  0.557 -0.014  0.640 0.090  0.788 0.127  0.788 0.313  0.788 0.142  0.788 -0.044  0.788 -0.230  0.788 -0.416  0.788 -0.602  0.919 -0.734  1.019 -0.879  1.019 -1.065
3#apa#apa04#app0418/r  -0.218 -0.062  -0.218 -0.170  -0.261 -0.260  -0.338 -0.336  -0.372 -0.430  -0.381 -0.533  -0.457 -0.609  -0.526 -0.689  -0.526 -0.797  -0.526 -0.904  -0.507 -1.004  -0.431 -1.080  -0.372 -1.164  -0.372 -1.271  -0.286 -1.293  -0.178 -1.293  -0.070 -1.293  -0.064 -1.192  -0.064 -1.084  -0.064 -0.976  -0.064 -0.868  -0.064 -0.761  -0.064 -0.653  -0.064 -0.545  -0.064 -0.438  -0.064 -0.330  -0.064 -0.222  -0.019 -0.125  0.030 -0.029  0.078 0.067  0.090 0.172  0.090 0.280  0.090 0.388  0.090 0.495  0.090 0.603  0.090 0.711  0.090 0.819  0.090 0.926  0.090 1.034  0.090 1.142  0.147 1.226  0.223 1.302  0.323 1.322  0.430 1.322  0.538 1.322  0.618 1.389  0.694 1.465  0.797 1.476  0.905 1.476  1.013 1.476
3#apa#apa04#app0418/?  -0.736 1.126  -0.628 1.126  -0.519 1.126  -0.410 1.126  -0.301 1.126  -0.193 1.126  -0.097 1.094  -0.017 1.025  0.092 1.025  0.192 1.006  0.269 0.929  0.371 0.892  0.474 0.858  0.577 0.823  0.678 0.815  0.678 0.706  0.654 0.621  0.555 0.599  0.478 0.522  0.371 0.517  0.294 0.440  0.217 0.363  0.127 0.318  0.024 0.294  -0.073 0.246  -0.175 0.217  -0.231 0.165  -0.274 0.074  -0.332 -0.011  -0.298 -0.086  -0.231 -0.128  -0.196 -0.222  -0.115 -0.288  -0.029 -0.311  -0.032 -0.420  -0.041 -0.528  -0.050 -0.636  -0.059 -0.745  -0.068 -0.853  -0.077 -0.961  -0.086 -1.070  -0.095 -1.178  -0.104 -1.287  -0.113 -1.395  -0.122 -1.503  -0.123 -1.608  -0.046 -1.685  -0.029 -1.787  -0.122 -1.803  -0.029 -1.803
