2#app#app35#app3526/t  -0.057 2.150  -0.057 1.986  -0.013 1.839  0.077 1.712  0.077 1.547  0.121 1.393  0.195 1.246  0.210 1.085  0.210 0.921  0.237 0.762  0.310 0.615  0.344 0.459  0.344 0.294  0.344 0.129  0.344 -0.035  0.344 -0.200  0.344 -0.364  0.344 -0.529  0.344 -0.693  0.344 -0.858  0.344 -1.022  0.344 -1.187  0.320 -1.299  0.199 -1.189  0.077 -1.078  -0.045 -0.967  -0.167 -0.857  -0.288 -0.746  -0.410 -0.635  -0.532 -0.525  -0.654 -0.414  -0.775 -0.303  -0.897 -0.193  -1.019 -0.082  -1.125 -0.007  -1.088 -0.156  -0.963 -0.252  -0.799 -0.252  -0.634 -0.252  -0.470 -0.252  -0.305 -0.252  -0.140 -0.252  0.024 -0.252  0.189 -0.252  0.338 -0.188  0.486 -0.119  0.651 -0.119  0.815 -0.119  0.980 -0.119  1.144 -0.119
2#app#app35#app3526/p  -0.574 0.871  -0.574 0.688  -0.574 0.505  -0.514 0.336  -0.470 0.163  -0.470 -0.020  -0.455 -0.199  -0.373 -0.363  -0.367 -0.544  -0.302 -0.712  -0.263 -0.886  -0.263 -1.069  -0.159 -1.209  -0.159 -1.392  -0.159 -1.575  -0.263 -1.588  -0.342 -1.437  -0.470 -1.308  -0.470 -1.124  -0.470 -0.941  -0.470 -0.758  -0.470 -0.575  -0.470 -0.392  -0.470 -0.209  -0.454 -0.030  -0.372 0.133  -0.367 0.315  -0.320 0.491  -0.262 0.664  -0.142 0.800  -0.060 0.964  0.066 1.096  0.153 1.243  0.251 1.385  0.432 1.390  0.601 1.357  0.731 1.227  0.860 1.098  0.879 0.923  0.907 0.767  0.983 0.660  0.983 0.477  0.957 0.300  0.879 0.136  0.817 -0.021  0.688 -0.151  0.555 -0.271  0.399 -0.336  0.256 -0.400  0.153 -0.479
2#app#app35#app3526/h  -0.756 1.779  -0.657 1.740  -0.657 1.602  -0.657 1.464  -0.657 1.327  -0.657 1.189  -0.640 1.055  -0.578 0.932  -0.559 0.799  -0.550 0.662  -0.517 0.528  -0.483 0.395  -0.460 0.260  -0.460 0.122  -0.460 -0.016  -0.460 -0.153  -0.460 -0.291  -0.460 -0.429  -0.460 -0.567  -0.377 -0.670  -0.361 -0.801  -0.361 -0.939  -0.361 -1.077  -0.361 -0.944  -0.361 -0.806  -0.325 -0.674  -0.281 -0.544  -0.207 -0.432  -0.164 -0.312  -0.152 -0.180  -0.058 -0.079  0.003 0.044  0.083 0.154  0.201 0.202  0.307 0.279  0.436 0.300  0.574 0.300  0.686 0.239  0.783 0.141  0.881 0.044  0.920 -0.078  0.936 -0.209  1.019 -0.312  1.019 -0.450  1.019 -0.588  1.019 -0.726  1.019 -0.863  1.019 -1.001  1.019 -1.139  1.019 -1.277
2#app#app35#app3526/w  -1.488 1.007  -1.427 0.900  -1.373 0.781  -1.280 0.641  -1.187 0.502  -1.108 0.354  -1.033 0.204  -0.958 0.054  -0.952 -0.113  -0.875 -0.249  -0.789 -0.391  -0.738 -0.546  -0.657 -0.681  -0.614 -0.831  -0.496 -0.949  -0.361 -1.028  -0.310 -0.912  -0.310 -0.744  -0.310 -0.576  -0.310 -0.408  -0.310 -0.240  -0.310 -0.073  -0.286 0.090  -0.211 0.240  -0.202 0.405  -0.202 0.573  -0.084 0.686  0.084 0.686  0.178 0.567  0.269 0.428  0.333 0.287  0.395 0.134  0.440 -0.023  0.530 -0.154  0.648 -0.272  0.691 -0.422  0.830 -0.493  0.891 -0.600  0.976 -0.682  1.083 -0.671  1.083 -0.503  1.083 -0.335  1.083 -0.168  1.083 0.000  1.083 0.168  1.083 0.336  1.083 0.504  1.083 0.671  1.083 0.839  1.083 1.007
2#app#app35#app3526/o  0.125 1.087  -0.010 1.087  -0.145 1.087  -0.257 1.031  -0.353 0.936  -0.448 0.840  -0.544 0.744  -0.639 0.649  -0.735 0.553  -0.830 0.458  -0.854 0.333  -0.854 0.198  -0.854 0.062  -0.854 -0.073  -0.854 -0.208  -0.854 -0.343  -0.854 -0.478  -0.854 -0.613  -0.827 -0.737  -0.731 -0.832  -0.636 -0.928  -0.540 -1.023  -0.410 -1.036  -0.275 -1.036  -0.140 -1.036  -0.005 -1.036  0.130 -1.036  0.265 -1.036  0.368 -0.957  0.468 -0.872  0.603 -0.872  0.615 -0.749  0.710 -0.709  0.778 -0.642  0.778 -0.507  0.778 -0.372  0.778 -0.237  0.778 -0.102  0.778 0.033  0.778 0.168  0.778 0.303  0.776 0.438  0.716 0.559  0.655 0.680  0.615 0.805  0.603 0.936  0.508 1.031  0.396 1.087  0.289 1.115  0.289 1.250
2#app#app35#app3526/r  -0.980 0.800  -0.882 0.702  -0.780 0.616  -0.642 0.616  -0.611 0.508  -0.568 0.388  -0.470 0.290  -0.427 0.170  -0.405 0.041  -0.308 -0.057  -0.243 -0.168  -0.243 -0.306  -0.243 -0.444  -0.243 -0.582  -0.243 -0.720  -0.243 -0.858  -0.145 -0.956  -0.058 -1.058  -0.058 -1.196  -0.058 -1.334  -0.058 -1.472  -0.058 -1.581  -0.058 -1.443  -0.058 -1.304  -0.058 -1.166  -0.058 -1.028  -0.058 -0.890  -0.058 -0.752  -0.058 -0.614  -0.058 -0.476  -0.058 -0.338  -0.058 -0.200  -0.016 -0.079  0.081 0.018  0.126 0.138  0.126 0.276  0.126 0.414  0.211 0.517  0.309 0.615  0.310 0.752  0.351 0.881  0.412 1.004  0.474 1.128  0.587 1.168  0.679 1.215  0.679 1.353  0.817 1.353  0.955 1.353  1.093 1.353  1.231 1.353
2#app#app35#app3526/k  -0.868 2.101  -0.868 1.905  -0.761 1.816  -0.761 1.620  -0.761 1.424  -0.748 1.233  -0.654 1.076  -0.654 0.880  -0.654 0.684  -0.650 0.489  -0.562 0.314  -0.548 0.121  -0.530 -0.071  -0.442 -0.246  -0.414 -0.437  -0.352 -0.623  -0.311 -0.807  -0.227 -0.968  -0.193 -1.054  -0.082 -0.893  0.029 -0.731  0.140 -0.569  0.251 -0.408  0.362 -0.246  0.473 -0.085  0.584 0.077  0.695 0.238  0.807 0.400  0.918 0.561  0.948 0.463  0.860 0.304  0.716 0.178  0.551 0.102  0.384 0.003  0.198 -0.038  0.046 -0.142  -0.110 -0.239  -0.302 -0.249  -0.441 -0.192  -0.334 -0.182  -0.211 -0.265  -0.073 -0.403  0.087 -0.513  0.249 -0.619  0.314 -0.783  0.482 -0.851  0.621 -0.990  0.791 -1.053  0.948 -1.121  1.055 -1.211
2#app#app35#app3526/e  -0.754 -0.269  -0.754 -0.114  -0.706 0.021  -0.597 0.130  -0.477 0.214  -0.343 0.264  -0.218 0.335  -0.089 0.397  0.042 0.456  0.186 0.503  0.324 0.572  0.478 0.577  0.632 0.577  0.695 0.669  0.816 0.703  0.788 0.846  0.678 0.956  0.567 1.060  0.412 1.060  0.257 1.060  0.103 1.060  -0.052 1.060  -0.151 1.004  -0.241 0.939  -0.359 0.851  -0.392 0.710  -0.513 0.676  -0.552 0.538  -0.634 0.417  -0.634 0.262  -0.634 0.107  -0.634 -0.048  -0.634 -0.202  -0.634 -0.357  -0.632 -0.511  -0.523 -0.621  -0.499 -0.766  -0.390 -0.875  -0.280 -0.985  -0.135 -1.009  -0.024 -1.114  0.128 -1.127  0.275 -1.176  0.422 -1.224  0.575 -1.235  0.730 -1.235  0.885 -1.235  1.039 -1.235  1.154 -1.332  1.299 -1.356
2#app#app35#app3526/d  0.269 -0.430  0.243 -0.209  0.171 -0.008  0.171 0.223  -0.000 0.326  -0.181 0.448  -0.412 0.448  -0.603 0.350  -0.728 0.231  -0.822 0.039  -0.917 -0.153  -0.999 -0.350  -0.999 -0.581  -0.935 -0.786  -0.841 -0.978  -0.649 -1.073  -0.457 -1.167  -0.243 -1.210  -0.012 -1.210  0.219 -1.210  0.358 -1.126  0.335 -0.896  0.312 -0.666  0.289 -0.436  0.266 -0.206  0.243 0.024  0.220 0.254  0.197 0.484  0.174 0.714  0.151 0.944  0.128 1.174  0.105 1.404  0.082 1.634  0.171 1.768  0.171 1.822  0.183 1.593  0.269 1.382  0.269 1.151  0.269 0.920  0.269 0.689  0.269 0.458  0.366 0.249  0.366 0.018  0.366 -0.213  0.366 -0.444  0.366 -0.675  0.366 -0.906  0.269 -1.040  0.269 -1.271  0.269 -1.503
2#app#app35#app3526/.  0.619 -0.737  0.472 -0.737  0.326 -0.737  0.179 -0.737  0.033 -0.737  -0.010 -0.841  -0.010 -0.987  -0.010 -1.134  -0.010 -1.280  -0.010 -1.305  -0.010 -1.159  -0.010 -1.012  -0.010 -0.866  0.008 -0.737  0.154 -0.737  0.301 -0.737  0.447 -0.737  0.594 -0.737  0.619 -0.616  0.619 -0.469  0.619 -0.323  0.619 -0.176  0.619 -0.030  0.619 0.117  0.619 0.263  0.619 0.409  0.619 0.556  0.619 0.702  0.619 0.849  0.619 0.995  0.619 1.142  0.480 1.149  0.333 1.149  0.187 1.149  0.040 1.149  -0.078 1.081  -0.182 0.978  -0.285 0.874  -0.389 0.770  -0.492 0.667  -0.596 0.563  -0.725 0.520  -0.871 0.520  -1.017 0.520  -1.164 0.520  -1.268 0.478  -1.268 0.331  -1.268 0.185  -1.268 0.038  -1.268 -0.108
2#app#app35#app3526/E  0.553 1.330  0.641 1.420  0.511 1.420  0.381 1.420  0.260 1.399  0.162 1.315  0.045 1.257  -0.054 1.175  -0.164 1.107  -0.280 1.049  -0.396 0.991  -0.498 0.913  -0.590 0.821  -0.682 0.729  -0.753 0.621  -0.806 0.504  -0.806 0.373  -0.806 0.243  -0.806 0.113  -0.736 0.026  -0.620 -0.032  -0.504 -0.090  -0.380 -0.120  -0.250 -0.120  -0.120 -0.120  0.010 -0.120  0.140 -0.120  0.270 -0.120  0.365 -0.035  0.462 -0.060  0.391 -0.120  0.294 -0.198  0.202 -0.290  0.167 -0.392  0.055 -0.436  0.009 -0.547  -0.001 -0.673  -0.082 -0.770  -0.082 -0.900  -0.082 -1.030  -0.082 -1.160  0.002 -1.207  0.132 -1.207  0.262 -1.207  0.392 -1.207  0.523 -1.207  0.653 -1.207  0.783 -1.207  0.913 -1.207  1.006 -1.116
2#app#app35#app3526/v  -1.081 1.389  -0.960 1.389  -0.848 1.380  -0.848 1.258  -0.848 1.137  -0.848 1.016  -0.848 0.895  -0.848 0.774  -0.822 0.664  -0.736 0.578  -0.651 0.492  -0.615 0.386  -0.615 0.264  -0.558 0.167  -0.473 0.081  -0.387 -0.004  -0.382 -0.124  -0.382 -0.245  -0.382 -0.366  -0.370 -0.475  -0.249 -0.475  -0.149 -0.497  -0.149 -0.618  -0.149 -0.739  -0.149 -0.860  -0.121 -0.969  -0.035 -1.055  0.051 -1.141  0.158 -1.174  0.279 -1.174  0.376 -1.114  0.462 -1.029  0.547 -0.943  0.549 -0.823  0.549 -0.701  0.549 -0.580  0.561 -0.464  0.646 -0.378  0.732 -0.292  0.782 -0.192  0.782 -0.071  0.782 0.050  0.782 0.171  0.782 0.293  0.782 0.414  0.782 0.535  0.782 0.656  0.844 0.752  0.930 0.837  1.015 0.923
2#app#app35#app3526/e  -0.562 -0.348  -0.405 -0.346  -0.401 -0.191  -0.244 -0.187  -0.131 -0.074  0.011 -0.034  0.140 0.039  0.260 0.141  0.402 0.213  0.545 0.280  0.695 0.290  0.706 0.437  0.862 0.447  0.974 0.559  1.009 0.704  1.009 0.863  0.896 0.909  0.852 1.024  0.735 1.066  0.575 1.066  0.416 1.066  0.257 1.066  0.098 1.066  -0.024 0.976  -0.155 0.909  -0.295 0.862  -0.408 0.752  -0.562 0.747  -0.567 0.590  -0.680 0.477  -0.719 0.335  -0.719 0.175  -0.795 0.048  -0.877 -0.078  -0.877 -0.237  -0.855 -0.391  -0.784 -0.533  -0.719 -0.677  -0.708 -0.831  -0.595 -0.944  -0.483 -1.056  -0.356 -1.134  -0.197 -1.134  -0.053 -1.172  0.059 -1.284  0.216 -1.291  0.375 -1.291  0.534 -1.291  0.693 -1.291  0.852 -1.291
2#app#app35#app3526/n  -0.856 0.552  -0.856 0.412  -0.856 0.273  -0.856 0.133  -0.856 -0.006  -0.856 -0.145  -0.856 -0.285  -0.856 -0.424  -0.856 -0.564  -0.856 -0.703  -0.856 -0.842  -0.856 -0.982  -0.856 -0.998  -0.802 -0.881  -0.732 -0.770  -0.732 -0.631  -0.660 -0.564  -0.581 -0.480  -0.537 -0.348  -0.493 -0.216  -0.485 -0.078  -0.482 0.061  -0.420 0.186  -0.357 0.310  -0.295 0.435  -0.230 0.558  -0.132 0.657  -0.033 0.755  0.011 0.876  0.103 0.923  0.243 0.923  0.382 0.923  0.522 0.923  0.661 0.923  0.755 0.878  0.755 0.738  0.809 0.621  0.879 0.511  0.918 0.388  1.003 0.283  1.003 0.144  1.003 0.005  1.050 -0.115  1.126 -0.223  1.126 -0.362  1.126 -0.502  1.126 -0.641  1.126 -0.781  1.126 -0.920  1.250 -0.935
2#app#app35#app3526/a  0.554 0.318  0.554 0.482  0.554 0.647  0.554 0.812  0.554 0.977  0.472 1.107  0.436 1.257  0.322 1.375  0.159 1.379  -0.006 1.379  -0.131 1.284  -0.273 1.202  -0.390 1.109  -0.447 0.968  -0.563 0.852  -0.626 0.713  -0.694 0.569  -0.786 0.431  -0.861 0.290  -0.861 0.125  -0.861 -0.040  -0.861 -0.205  -0.861 -0.370  -0.861 -0.534  -0.861 -0.699  -0.777 -0.829  -0.626 -0.862  -0.461 -0.862  -0.390 -0.768  -0.256 -0.728  -0.139 -0.611  -0.036 -0.489  -0.007 -0.332  0.067 -0.184  0.092 -0.027  0.200 0.093  0.200 0.141  0.200 -0.023  0.307 -0.144  0.318 -0.304  0.374 -0.446  0.436 -0.585  0.436 -0.750  0.473 -0.899  0.604 -0.980  0.672 -1.077  0.808 -1.116  0.932 -1.216  1.097 -1.216  1.262 -1.216
