2#apb#apb29#app2945/k  -1.329 0.994  -1.265 1.198  -1.210 1.401  -1.124 1.275  -1.047 1.078  -0.983 0.875  -0.900 0.678  -0.817 0.481  -0.732 0.286  -0.644 0.091  -0.557 -0.103  -0.466 -0.297  -0.375 -0.489  -0.287 -0.684  -0.210 -0.883  -0.133 -1.082  -0.079 -1.288  0.003 -1.485  -0.009 -1.285  0.049 -1.080  0.107 -0.875  0.166 -0.669  0.224 -0.464  0.282 -0.259  0.340 -0.053  0.398 0.152  0.456 0.357  0.514 0.563  0.572 0.768  0.630 0.974  0.683 1.176  0.605 0.979  0.525 0.781  0.397 0.612  0.251 0.457  0.101 0.305  -0.038 0.143  -0.188 -0.008  -0.367 -0.120  -0.417 -0.215  -0.209 -0.235  0.004 -0.239  0.215 -0.271  0.427 -0.295  0.639 -0.312  0.848 -0.357  1.051 -0.418  1.229 -0.529  1.312 -0.717  1.364 -0.914
2#apb#apb29#app2945/e  -0.494 -0.107  -0.365 -0.103  -0.257 -0.188  -0.116 -0.169  0.026 -0.189  0.170 -0.191  0.282 -0.105  0.390 -0.009  0.484 0.100  0.570 0.215  0.642 0.340  0.660 0.479  0.660 0.623  0.635 0.765  0.609 0.907  0.547 1.035  0.466 1.152  0.353 1.242  0.214 1.279  0.073 1.301  -0.072 1.301  -0.185 1.212  -0.299 1.124  -0.397 1.019  -0.491 0.910  -0.552 0.779  -0.611 0.648  -0.668 0.516  -0.724 0.383  -0.776 0.249  -0.787 0.105  -0.798 -0.039  -0.791 -0.182  -0.767 -0.324  -0.732 -0.461  -0.636 -0.568  -0.540 -0.675  -0.436 -0.775  -0.326 -0.868  -0.216 -0.961  -0.101 -1.045  0.035 -1.093  0.171 -1.141  0.307 -1.189  0.448 -1.210  0.592 -1.219  0.736 -1.228  0.880 -1.226  1.023 -1.215  1.167 -1.204
2#apb#apb29#app2945/w  -1.138 0.532  -1.164 0.685  -1.180 0.816  -1.188 0.663  -1.208 0.509  -1.222 0.356  -1.222 0.201  -1.208 0.049  -1.173 -0.102  -1.111 -0.241  -1.031 -0.373  -0.915 -0.475  -0.779 -0.537  -0.627 -0.562  -0.475 -0.554  -0.350 -0.464  -0.290 -0.324  -0.254 -0.176  -0.261 -0.024  -0.336 0.111  -0.400 0.252  -0.460 0.394  -0.546 0.444  -0.460 0.315  -0.367 0.192  -0.260 0.082  -0.146 -0.023  -0.025 -0.117  0.105 -0.201  0.235 -0.285  0.366 -0.366  0.499 -0.445  0.634 -0.519  0.776 -0.581  0.917 -0.643  1.071 -0.646  1.225 -0.636  1.362 -0.586  1.407 -0.443  1.424 -0.292  1.379 -0.144  1.321 -0.001  1.256 0.139  1.162 0.260  1.058 0.374  0.938 0.470  0.814 0.561  0.725 0.687  0.623 0.800  0.503 0.869
2#apb#apb29#app2945/i  0.048 -0.210  0.028 -0.272  0.044 -0.366  0.062 -0.461  0.066 -0.557  0.058 -0.653  0.051 -0.749  0.048 -0.845  0.048 -0.941  0.048 -1.038  0.040 -1.132  -0.008 -1.215  -0.030 -1.304  -0.017 -1.399  0.027 -1.372  0.025 -1.276  0.023 -1.180  0.020 -1.083  0.018 -0.987  0.016 -0.891  0.014 -0.795  0.012 -0.698  0.010 -0.602  0.008 -0.506  0.006 -0.409  0.004 -0.313  0.002 -0.217  0.000 -0.120  -0.002 -0.024  -0.004 0.072  -0.006 0.168  -0.008 0.265  -0.010 0.361  -0.012 0.457  -0.014 0.554  -0.016 0.650  -0.018 0.746  -0.020 0.843  -0.022 0.939  -0.024 1.035  -0.026 1.131  -0.028 1.228  -0.030 1.324  -0.032 1.420  -0.034 1.517  -0.037 1.613  -0.051 1.708  -0.086 1.795  -0.099 1.888  -0.099 1.900
2#apb#apb29#app2945/t  0.278 1.740  0.156 1.630  0.156 1.457  0.156 1.285  0.156 1.112  0.156 0.939  0.156 0.766  0.156 0.594  0.156 0.421  0.182 0.251  0.219 0.082  0.257 -0.086  0.278 -0.257  0.278 -0.429  0.277 -0.602  0.264 -0.774  0.252 -0.946  0.208 -1.112  0.150 -1.274  0.102 -1.440  0.053 -1.570  -0.041 -1.425  -0.135 -1.280  -0.229 -1.135  -0.323 -0.990  -0.418 -0.846  -0.512 -0.701  -0.606 -0.556  -0.700 -0.411  -0.794 -0.267  -0.889 -0.122  -0.983 0.023  -1.077 0.168  -1.171 0.312  -1.043 0.350  -0.872 0.361  -0.700 0.346  -0.528 0.339  -0.355 0.348  -0.183 0.358  -0.010 0.365  0.162 0.351  0.334 0.336  0.501 0.292  0.667 0.246  0.839 0.263  1.008 0.292  1.174 0.340  1.337 0.399  1.499 0.458
2#apb#apb29#app2945/h  -0.364 1.925  -0.345 1.867  -0.325 1.720  -0.336 1.570  -0.337 1.419  -0.327 1.268  -0.318 1.118  -0.310 0.967  -0.301 0.816  -0.301 0.666  -0.311 0.515  -0.319 0.364  -0.319 0.214  -0.319 0.063  -0.322 -0.088  -0.344 -0.237  -0.367 -0.387  -0.389 -0.536  -0.413 -0.685  -0.436 -0.834  -0.460 -0.983  -0.483 -1.132  -0.499 -1.282  -0.482 -1.416  -0.411 -1.286  -0.344 -1.151  -0.276 -1.016  -0.209 -0.881  -0.193 -0.732  -0.180 -0.581  -0.171 -0.431  -0.162 -0.280  -0.161 -0.129  -0.131 0.019  -0.072 0.154  0.025 0.270  0.151 0.351  0.294 0.387  0.444 0.397  0.594 0.378  0.734 0.324  0.866 0.253  0.967 0.147  1.011 0.002  1.026 -0.146  1.026 -0.297  1.026 -0.448  1.003 -0.596  0.960 -0.740  0.914 -0.878
2#apb#apb29#app2945/f  -0.153 -1.670  -0.037 -1.591  0.117 -1.674  0.137 -1.753  0.072 -1.580  0.034 -1.398  -0.016 -1.218  -0.069 -1.039  -0.114 -0.858  -0.163 -0.678  -0.227 -0.502  -0.292 -0.327  -0.361 -0.154  -0.430 0.020  -0.509 0.189  -0.592 0.356  -0.691 0.513  -0.786 0.670  -0.817 0.853  -0.686 0.975  -0.514 1.042  -0.331 1.078  -0.146 1.094  0.041 1.104  0.227 1.115  0.414 1.125  0.600 1.137  0.786 1.146  0.971 1.138  1.021 1.039  0.881 0.917  0.740 0.794  0.599 0.671  0.459 0.549  0.318 0.426  0.177 0.303  0.037 0.180  -0.104 0.058  -0.245 -0.065  -0.386 -0.188  -0.526 -0.310  -0.645 -0.412  -0.485 -0.326  -0.299 -0.322  -0.112 -0.322  0.074 -0.324  0.244 -0.399  0.420 -0.452  0.591 -0.485  0.773 -0.443
2#apb#apb29#app2945/r  -0.424 -0.135  -0.363 -0.190  -0.363 -0.305  -0.363 -0.421  -0.349 -0.536  -0.333 -0.651  -0.297 -0.761  -0.260 -0.871  -0.209 -0.974  -0.142 -1.068  -0.073 -1.162  0.001 -1.251  0.082 -1.327  0.147 -1.353  0.074 -1.273  0.031 -1.165  -0.012 -1.058  -0.064 -0.954  -0.120 -0.853  -0.177 -0.752  -0.246 -0.658  -0.315 -0.566  -0.363 -0.466  -0.363 -0.350  -0.363 -0.234  -0.376 -0.119  -0.395 -0.004  -0.414 0.110  -0.457 0.214  -0.519 0.310  -0.538 0.425  -0.511 0.529  -0.419 0.575  -0.347 0.665  -0.261 0.737  -0.153 0.779  -0.044 0.820  0.064 0.862  0.171 0.907  0.277 0.953  0.383 1.000  0.489 1.046  0.596 1.091  0.709 1.117  0.822 1.143  0.935 1.169  1.047 1.200  1.158 1.234  1.269 1.268  1.379 1.302
2#apb#apb29#app2945/a  0.438 0.336  0.438 0.505  0.370 0.654  0.231 0.736  0.137 0.877  -0.012 0.916  -0.178 0.931  -0.334 0.998  -0.478 0.963  -0.626 0.884  -0.784 0.824  -0.900 0.709  -0.999 0.571  -1.124 0.457  -1.252 0.347  -1.279 0.184  -1.294 0.015  -1.317 -0.152  -1.318 -0.315  -1.234 -0.462  -1.118 -0.578  -0.971 -0.663  -0.825 -0.748  -0.666 -0.787  -0.497 -0.787  -0.327 -0.787  -0.158 -0.778  0.011 -0.765  0.180 -0.752  0.322 -0.659  0.463 -0.565  0.604 -0.471  0.736 -0.370  0.802 -0.214  0.820 -0.053  0.787 0.113  0.732 0.270  0.640 0.410  0.567 0.553  0.510 0.513  0.510 0.344  0.534 0.180  0.610 0.028  0.699 -0.115  0.807 -0.245  0.917 -0.374  1.027 -0.503  1.136 -0.633  1.250 -0.754  1.416 -0.787
2#apb#apb29#app2945/n  -0.604 0.638  -0.662 0.506  -0.677 0.358  -0.680 0.211  -0.647 0.065  -0.625 -0.081  -0.611 -0.230  -0.604 -0.378  -0.604 -0.527  -0.597 -0.675  -0.561 -0.819  -0.548 -0.966  -0.548 -1.115  -0.567 -1.203  -0.604 -1.065  -0.606 -0.917  -0.653 -0.776  -0.673 -0.629  -0.687 -0.481  -0.688 -0.332  -0.688 -0.183  -0.671 -0.037  -0.624 0.104  -0.585 0.248  -0.553 0.393  -0.501 0.532  -0.404 0.642  -0.299 0.748  -0.183 0.839  -0.054 0.912  0.085 0.966  0.225 1.015  0.368 1.058  0.503 1.052  0.628 0.972  0.748 0.932  0.797 0.792  0.863 0.659  0.898 0.515  0.927 0.369  0.942 0.221  0.955 0.073  0.982 -0.073  1.012 -0.219  1.070 -0.356  1.129 -0.492  1.170 -0.635  1.236 -0.766  1.236 -0.914  1.236 -0.952
2#apb#apb29#app2945/t  0.199 1.833  0.201 1.700  0.199 1.538  0.198 1.375  0.173 1.214  0.148 1.053  0.144 0.890  0.144 0.727  0.144 0.564  0.144 0.401  0.144 0.238  0.138 0.075  0.120 -0.086  0.102 -0.248  0.088 -0.411  0.088 -0.574  0.088 -0.737  0.088 -0.900  0.088 -1.062  0.063 -1.223  0.032 -1.383  0.008 -1.544  0.074 -1.660  0.018 -1.529  -0.058 -1.385  -0.135 -1.241  -0.211 -1.097  -0.287 -0.953  -0.364 -0.809  -0.440 -0.665  -0.517 -0.521  -0.593 -0.377  -0.669 -0.233  -0.746 -0.089  -0.822 0.055  -0.890 0.201  -0.824 0.301  -0.678 0.374  -0.521 0.416  -0.363 0.456  -0.202 0.481  -0.040 0.502  0.122 0.522  0.284 0.532  0.447 0.543  0.610 0.547  0.773 0.547  0.935 0.547  1.098 0.547  1.261 0.547
2#apb#apb29#app2945/i  -0.165 -0.192  -0.095 -0.263  -0.016 -0.323  0.032 -0.406  0.064 -0.500  0.095 -0.595  0.113 -0.692  0.113 -0.791  0.109 -0.891  0.099 -0.990  0.089 -1.089  0.037 -1.172  -0.021 -1.254  -0.069 -1.340  -0.114 -1.429  -0.106 -1.333  -0.098 -1.234  -0.089 -1.135  -0.081 -1.035  -0.072 -0.936  -0.064 -0.837  -0.055 -0.738  -0.047 -0.638  -0.038 -0.539  -0.030 -0.440  -0.021 -0.341  -0.013 -0.241  -0.004 -0.142  0.004 -0.043  0.013 0.057  0.021 0.156  0.030 0.255  0.038 0.354  0.047 0.454  0.055 0.553  0.064 0.652  0.072 0.752  0.081 0.851  0.089 0.950  0.098 1.049  0.106 1.149  0.110 1.248  0.100 1.347  0.090 1.446  0.043 1.530  -0.021 1.606  -0.074 1.690  -0.124 1.776  -0.203 1.826  -0.191 1.856
2#apb#apb29#app2945/c  0.589 1.289  0.498 1.289  0.411 1.309  0.322 1.316  0.233 1.303  0.144 1.290  0.077 1.232  0.014 1.168  -0.050 1.104  -0.114 1.040  -0.178 0.976  -0.242 0.913  -0.305 0.849  -0.365 0.782  -0.413 0.705  -0.461 0.629  -0.508 0.552  -0.530 0.465  -0.547 0.377  -0.565 0.288  -0.585 0.200  -0.614 0.115  -0.642 0.029  -0.671 -0.056  -0.651 -0.141  -0.620 -0.226  -0.588 -0.310  -0.543 -0.388  -0.493 -0.463  -0.443 -0.538  -0.393 -0.613  -0.321 -0.666  -0.245 -0.714  -0.169 -0.763  -0.093 -0.811  -0.014 -0.852  0.076 -0.852  0.166 -0.852  0.256 -0.852  0.346 -0.857  0.432 -0.882  0.519 -0.907  0.606 -0.931  0.693 -0.956  0.779 -0.981  0.869 -0.970  0.958 -0.957  1.044 -0.933  1.124 -0.893  1.205 -0.852
2#apb#apb29#app2945/j  -0.160 0.429  -0.176 0.477  -0.141 0.356  -0.097 0.238  -0.066 0.115  -0.017 -0.002  0.033 -0.118  0.086 -0.233  0.139 -0.348  0.193 -0.462  0.247 -0.577  0.300 -0.692  0.352 -0.807  0.384 -0.929  0.417 -1.052  0.451 -1.173  0.513 -1.283  0.437 -1.311  0.314 -1.284  0.193 -1.247  0.069 -1.225  -0.056 -1.203  -0.178 -1.173  -0.268 -1.095  -0.319 -0.984  -0.319 -0.858  -0.310 -0.732  -0.292 -0.606  -0.273 -0.481  -0.255 -0.356  -0.236 -0.231  -0.218 -0.106  -0.199 0.020  -0.181 0.145  -0.163 0.270  -0.144 0.395  -0.126 0.520  -0.107 0.646  -0.089 0.771  -0.070 0.896  -0.052 1.021  -0.034 1.146  -0.015 1.272  0.003 1.397  0.022 1.522  0.040 1.647  0.059 1.772  0.036 1.797  0.098 1.870  0.174 1.845
2#apb#apb29#app2945/o  -0.420 0.609  -0.474 0.735  -0.472 0.861  -0.490 0.956  -0.557 0.837  -0.662 0.748  -0.755 0.649  -0.826 0.532  -0.894 0.413  -0.943 0.285  -0.993 0.156  -1.013 0.024  -0.999 -0.112  -0.964 -0.244  -0.913 -0.371  -0.839 -0.483  -0.741 -0.580  -0.642 -0.675  -0.528 -0.751  -0.414 -0.828  -0.296 -0.898  -0.174 -0.960  -0.051 -1.021  0.084 -1.032  0.221 -1.032  0.358 -1.025  0.489 -0.986  0.617 -0.939  0.732 -0.863  0.844 -0.784  0.941 -0.687  1.025 -0.581  1.072 -0.452  1.116 -0.323  1.116 -0.185  1.092 -0.055  1.018 0.061  0.944 0.176  0.864 0.288  0.784 0.399  0.690 0.494  0.564 0.548  0.437 0.602  0.314 0.661  0.193 0.728  0.087 0.811  -0.002 0.916  -0.092 1.020  -0.181 1.124  -0.264 1.234
2#apb#apb29#app2945/u  -1.073 0.628  -1.121 0.720  -1.209 0.708  -1.180 0.607  -1.160 0.505  -1.149 0.401  -1.128 0.299  -1.099 0.198  -1.071 0.097  -1.035 -0.000  -0.981 -0.090  -0.927 -0.180  -0.866 -0.265  -0.802 -0.347  -0.734 -0.426  -0.649 -0.488  -0.564 -0.549  -0.479 -0.609  -0.387 -0.659  -0.295 -0.709  -0.199 -0.750  -0.098 -0.775  0.004 -0.800  0.106 -0.795  0.208 -0.773  0.311 -0.751  0.409 -0.717  0.503 -0.670  0.596 -0.623  0.689 -0.576  0.767 -0.506  0.845 -0.436  0.921 -0.365  0.951 -0.265  0.981 -0.164  0.978 -0.062  0.962 0.042  0.946 0.145  0.919 0.246  0.889 0.347  0.860 0.447  0.830 0.548  0.775 0.636  0.717 0.723  0.659 0.810  0.597 0.894  0.532 0.977  0.470 1.061  0.416 1.150  0.364 1.161
2#apb#apb29#app2945/r  -0.269 0.544  -0.329 0.629  -0.293 0.488  -0.269 0.345  -0.236 0.202  -0.204 0.060  -0.204 -0.087  -0.198 -0.234  -0.171 -0.378  -0.145 -0.523  -0.103 -0.663  -0.057 -0.803  0.008 -0.934  0.081 -1.061  0.175 -1.174  0.271 -1.286  0.394 -1.365  0.533 -1.393  0.549 -1.388  0.541 -1.299  0.441 -1.192  0.343 -1.083  0.245 -0.973  0.129 -0.884  0.007 -0.802  -0.098 -0.705  -0.167 -0.576  -0.237 -0.446  -0.307 -0.317  -0.383 -0.191  -0.459 -0.065  -0.523 0.066  -0.578 0.203  -0.624 0.341  -0.624 0.488  -0.624 0.635  -0.621 0.755  -0.501 0.838  -0.383 0.926  -0.255 0.995  -0.118 1.049  0.018 1.104  0.155 1.158  0.299 1.185  0.444 1.212  0.588 1.239  0.730 1.277  0.868 1.327  1.006 1.377  1.152 1.383
2#apb#apb29#app2945/n  -1.143 0.463  -1.027 0.432  -0.948 0.313  -0.848 0.211  -0.754 0.103  -0.665 -0.009  -0.597 -0.133  -0.537 -0.264  -0.459 -0.383  -0.377 -0.500  -0.341 -0.638  -0.310 -0.778  -0.328 -0.917  -0.427 -0.834  -0.523 -0.729  -0.621 -0.625  -0.685 -0.497  -0.736 -0.364  -0.776 -0.227  -0.799 -0.086  -0.798 0.054  -0.757 0.191  -0.726 0.330  -0.689 0.467  -0.618 0.591  -0.527 0.702  -0.414 0.788  -0.287 0.853  -0.155 0.903  -0.012 0.903  0.131 0.903  0.274 0.903  0.417 0.891  0.541 0.841  0.637 0.735  0.723 0.622  0.787 0.494  0.847 0.364  0.895 0.229  0.943 0.095  1.007 -0.033  1.071 -0.161  1.111 -0.297  1.133 -0.438  1.167 -0.576  1.212 -0.712  1.231 -0.852  1.234 -0.994  1.247 -1.119  1.275 -1.208
