3#app#app41#app4100/{  0.312 1.267  0.425 1.267  0.446 1.360  0.518 1.401  0.543 1.365  0.463 1.284  0.383 1.204  0.312 1.120  0.312 1.006  0.205 0.998  0.117 0.938  0.034 0.864  -0.080 0.864  -0.091 0.762  -0.173 0.730  -0.226 0.668  -0.185 0.596  -0.071 0.596  0.043 0.596  0.156 0.596  0.177 0.503  0.177 0.389  0.177 0.276  0.155 0.171  0.075 0.090  -0.025 0.058  -0.091 0.011  -0.118 -0.076  -0.226 -0.082  -0.226 -0.196  -0.126 -0.210  -0.091 -0.289  -0.091 -0.403  -0.091 -0.517  -0.091 -0.630  -0.091 -0.744  -0.202 -0.747  -0.226 -0.837  -0.295 -0.882  -0.360 -0.930  -0.360 -1.044  -0.360 -1.158  -0.360 -1.271  -0.360 -1.385  -0.303 -1.475  -0.222 -1.553  -0.108 -1.553  -0.023 -1.621  0.064 -1.687  0.177 -1.687
3#app#app41#app4100/e  -0.146 0.455  -0.040 0.349  0.065 0.243  0.182 0.164  0.332 0.164  0.468 0.197  0.574 0.303  0.680 0.409  0.810 0.455  0.960 0.455  1.016 0.548  1.016 0.698  0.943 0.818  0.837 0.924  0.732 1.029  0.585 1.036  0.435 1.036  0.285 1.036  0.136 1.036  -0.014 1.036  -0.146 1.018  -0.146 0.868  -0.173 0.745  -0.322 0.745  -0.437 0.710  -0.437 0.560  -0.437 0.411  -0.437 0.261  -0.490 0.164  -0.639 0.164  -0.727 0.102  -0.727 -0.047  -0.727 -0.197  -0.727 -0.347  -0.727 -0.496  -0.727 -0.646  -0.727 -0.796  -0.727 -0.945  -0.631 -0.998  -0.481 -0.998  -0.437 -1.104  -0.437 -1.253  -0.322 -1.289  -0.173 -1.289  -0.023 -1.289  0.127 -1.289  0.276 -1.289  0.426 -1.289  0.576 -1.289  0.725 -1.289
3#app#app41#app4100/l  -0.118 1.737  -0.118 1.664  -0.118 1.591  -0.118 1.518  -0.118 1.445  -0.118 1.372  -0.118 1.298  -0.118 1.225  -0.118 1.152  -0.118 1.079  -0.118 1.006  -0.118 0.933  -0.118 0.860  -0.118 0.787  -0.118 0.714  -0.118 0.641  -0.118 0.568  -0.118 0.495  -0.118 0.422  -0.118 0.349  -0.118 0.276  -0.118 0.203  -0.118 0.130  -0.118 0.057  -0.118 -0.016  -0.118 -0.089  -0.118 -0.162  -0.118 -0.235  -0.118 -0.309  -0.118 -0.382  -0.105 -0.452  -0.073 -0.517  -0.040 -0.582  -0.007 -0.648  0.025 -0.713  0.058 -0.778  0.091 -0.844  0.123 -0.909  0.152 -0.975  0.152 -1.048  0.152 -1.121  0.152 -1.194  0.182 -1.238  0.255 -1.238  0.328 -1.238  0.401 -1.238  0.423 -1.289  0.423 -1.362  0.423 -1.435  0.423 -1.508
3#app#app41#app4100/f  0.979 1.236  0.979 1.385  0.850 1.405  0.733 1.482  0.623 1.574  0.474 1.574  0.325 1.574  0.213 1.485  0.108 1.380  0.003 1.275  -0.103 1.169  -0.205 1.063  -0.205 0.914  -0.205 0.765  -0.284 0.649  -0.374 0.538  -0.374 0.389  -0.374 0.240  -0.374 0.091  -0.263 0.053  -0.205 -0.037  -0.205 -0.186  -0.205 -0.335  -0.175 -0.454  -0.036 -0.464  -0.036 -0.613  -0.036 -0.761  0.082 -0.792  0.133 -0.890  0.133 -1.039  0.133 -1.188  0.133 -1.336  0.125 -1.454  0.051 -1.325  -0.022 -1.196  -0.096 -1.067  -0.170 -0.938  -0.244 -0.808  -0.318 -0.679  -0.392 -0.550  -0.465 -0.421  -0.539 -0.291  -0.401 -0.285  -0.374 -0.407  -0.273 -0.454  -0.124 -0.454  0.025 -0.454  0.174 -0.454  0.323 -0.454  0.472 -0.454
3#app#app41#app4100/}  -0.164 1.477  -0.051 1.477  0.062 1.477  0.175 1.477  0.288 1.477  0.402 1.477  0.416 1.379  0.416 1.266  0.416 1.152  0.380 1.054  0.300 0.974  0.220 0.894  0.140 0.814  0.060 0.734  0.029 0.634  0.029 0.520  -0.073 0.510  -0.149 0.494  -0.069 0.414  0.011 0.334  0.029 0.228  0.022 0.123  -0.092 0.123  -0.164 0.082  -0.164 -0.031  -0.238 -0.071  -0.351 -0.071  -0.358 -0.177  -0.384 -0.265  -0.497 -0.265  -0.510 -0.306  -0.430 -0.386  -0.358 -0.469  -0.358 -0.582  -0.314 -0.652  -0.201 -0.652  -0.164 -0.728  -0.164 -0.842  -0.055 -0.845  0.029 -0.874  0.029 -0.988  0.091 -1.039  0.204 -1.039  0.223 -1.134  0.223 -1.247  0.223 -1.360  0.223 -1.473  0.223 -1.586  0.223 -1.700  0.223 -1.813
3#app#app41#app4100/;  0.146 0.884  0.088 0.942  0.031 0.999  -0.027 1.057  -0.082 1.115  -0.082 1.196  -0.082 1.277  -0.082 1.321  -0.082 1.240  -0.082 1.159  -0.047 1.112  0.034 1.112  0.115 1.112  0.146 1.061  0.146 0.980  0.146 0.899  0.138 0.818  0.127 0.737  0.117 0.657  0.107 0.576  0.097 0.496  0.087 0.415  0.077 0.334  0.067 0.254  0.057 0.173  0.047 0.092  0.037 0.012  0.027 -0.069  0.017 -0.150  0.007 -0.230  -0.004 -0.311  -0.014 -0.391  -0.024 -0.472  -0.034 -0.553  -0.044 -0.633  -0.054 -0.714  -0.064 -0.795  -0.074 -0.875  -0.082 -0.956  -0.082 -1.037  -0.082 -1.119  -0.082 -1.200  -0.082 -1.281  -0.082 -1.362  -0.082 -1.444  -0.082 -1.525  -0.082 -1.606  -0.082 -1.687  -0.082 -1.769  -0.082 -1.850
3#app#app41#app4100/@  0.330 -0.559  0.426 -0.395  0.523 -0.231  0.659 -0.105  0.601 0.098  0.340 0.098  0.079 0.098  -0.018 -0.066  -0.245 -0.148  -0.472 -0.231  -0.492 -0.471  -0.483 -0.724  -0.223 -0.724  -0.126 -0.559  0.001 -0.426  0.164 -0.232  0.071 -0.066  0.001 -0.258  0.125 -0.395  0.205 -0.599  0.414 -0.724  0.506 -0.548  0.659 -0.350  0.759 -0.131  0.823 0.104  0.823 0.365  0.823 0.626  0.823 0.887  0.794 1.141  0.678 1.374  0.504 1.567  0.248 1.577  -0.013 1.577  -0.274 1.577  -0.474 1.430  -0.659 1.246  -0.828 1.053  -0.892 0.800  -0.955 0.546  -0.985 0.289  -0.985 0.028  -0.985 -0.233  -0.915 -0.465  -0.764 -0.673  -0.642 -0.903  -0.443 -1.052  -0.225 -1.156  -0.007 -1.295  0.233 -1.381  0.494 -1.381
3#app#app41#app4100/e  -0.365 0.306  -0.227 0.306  -0.088 0.306  0.050 0.306  0.189 0.306  0.327 0.306  0.466 0.306  0.605 0.306  0.743 0.306  0.882 0.306  1.016 0.310  1.016 0.448  1.016 0.587  0.942 0.651  0.803 0.651  0.667 0.656  0.569 0.754  0.471 0.852  0.373 0.950  0.254 0.997  0.115 0.997  -0.023 0.997  -0.162 0.997  -0.301 0.997  -0.365 0.923  -0.365 0.784  -0.369 0.647  -0.467 0.549  -0.565 0.451  -0.663 0.353  -0.711 0.235  -0.711 0.096  -0.711 -0.043  -0.711 -0.181  -0.711 -0.320  -0.711 -0.458  -0.711 -0.597  -0.707 -0.734  -0.609 -0.832  -0.511 -0.930  -0.413 -1.028  -0.315 -1.126  -0.217 -1.224  -0.119 -1.322  -0.021 -1.420  0.117 -1.421  0.255 -1.421  0.325 -1.490  0.325 -1.628  0.325 -1.767
3#app#app41#app4100/a  0.175 1.413  0.027 1.413  -0.121 1.413  -0.202 1.346  -0.202 1.198  -0.202 1.050  -0.336 1.036  -0.484 1.036  -0.579 0.983  -0.579 0.835  -0.579 0.687  -0.664 0.574  -0.769 0.469  -0.873 0.365  -0.956 0.251  -0.956 0.103  -0.956 -0.045  -0.956 -0.193  -0.956 -0.341  -0.938 -0.472  -0.790 -0.472  -0.642 -0.472  -0.579 -0.557  -0.579 -0.705  -0.575 -0.849  -0.427 -0.849  -0.279 -0.849  -0.131 -0.849  0.017 -0.849  0.165 -0.849  0.175 -0.710  0.175 -0.562  0.216 -0.431  0.320 -0.326  0.425 -0.222  0.530 -0.117  0.552 0.022  0.552 0.170  0.577 0.257  0.682 0.152  0.786 0.048  0.891 -0.057  0.929 -0.189  0.929 -0.337  0.942 -0.472  1.090 -0.472  1.238 -0.472  1.306 -0.553  1.306 -0.701  1.306 -0.849
3#app#app41#app4100/s  0.160 1.503  0.160 1.386  0.160 1.269  0.072 1.240  -0.045 1.240  -0.162 1.240  -0.279 1.240  -0.364 1.209  -0.364 1.092  -0.367 0.978  -0.484 0.978  -0.601 0.978  -0.627 0.887  -0.627 0.770  -0.627 0.653  -0.627 0.537  -0.593 0.453  -0.476 0.453  -0.364 0.448  -0.364 0.331  -0.364 0.215  -0.271 0.191  -0.154 0.191  -0.038 0.191  0.079 0.191  0.160 0.155  0.160 0.038  0.165 -0.077  0.248 -0.159  0.331 -0.242  0.413 -0.325  0.423 -0.438  0.423 -0.555  0.498 -0.596  0.615 -0.596  0.685 -0.643  0.685 -0.760  0.672 -0.871  0.590 -0.954  0.507 -1.037  0.424 -1.119  0.308 -1.121  0.191 -1.121  0.160 -1.207  0.160 -1.324  0.103 -1.383  -0.014 -1.383  -0.131 -1.383  -0.248 -1.383  -0.364 -1.383
3#app#app41#app4100/e  -0.595 0.138  -0.595 -0.024  -0.595 -0.187  -0.472 -0.227  -0.310 -0.227  -0.147 -0.227  0.016 -0.227  0.178 -0.227  0.341 -0.227  0.500 -0.224  0.500 -0.061  0.500 0.102  0.627 0.138  0.789 0.138  0.866 0.225  0.866 0.387  0.866 0.550  0.866 0.713  0.866 0.875  0.866 1.038  0.866 1.201  0.736 1.234  0.573 1.234  0.411 1.234  0.248 1.234  0.100 1.199  -0.015 1.083  -0.130 0.968  -0.230 0.847  -0.230 0.684  -0.230 0.522  -0.230 0.359  -0.230 0.196  -0.335 0.138  -0.497 0.138  -0.595 0.073  -0.595 -0.089  -0.595 -0.252  -0.595 -0.415  -0.595 -0.577  -0.595 -0.740  -0.595 -0.903  -0.595 -1.066  -0.595 -1.228  -0.547 -1.371  -0.432 -1.486  -0.317 -1.601  -0.190 -1.688  -0.028 -1.688  0.135 -1.688
3#app#app41#app4100/@  0.511 0.288  0.341 0.271  0.317 0.094  0.184 -0.039  0.171 -0.221  0.187 -0.393  0.318 -0.370  0.186 -0.237  0.171 -0.389  0.185 -0.563  0.341 -0.594  0.389 -0.733  0.511 -0.668  0.594 -0.563  0.682 -0.463  0.798 -0.393  0.852 -0.259  0.852 -0.071  0.852 0.116  0.837 0.288  0.682 0.321  0.659 0.503  0.576 0.670  0.480 0.830  0.348 0.962  0.336 1.145  0.203 1.277  0.029 1.309  -0.158 1.309  -0.346 1.309  -0.533 1.309  -0.680 1.269  -0.698 1.085  -0.757 0.907  -0.817 0.729  -0.850 0.547  -0.850 0.360  -0.850 0.172  -0.850 -0.015  -0.850 -0.203  -0.775 -0.372  -0.691 -0.540  -0.680 -0.725  -0.553 -0.860  -0.510 -1.029  -0.409 -1.174  -0.340 -1.333  -0.264 -1.489  -0.132 -1.622  0.001 -1.754
3#app#app41#app4100/l  -0.291 0.981  -0.291 1.069  -0.291 1.156  -0.291 1.243  -0.291 1.331  -0.291 1.418  -0.291 1.505  -0.291 1.424  -0.291 1.337  -0.291 1.249  -0.291 1.162  -0.291 1.075  -0.291 0.988  -0.291 0.900  -0.291 0.813  -0.291 0.726  -0.291 0.638  -0.291 0.551  -0.291 0.464  -0.256 0.385  -0.217 0.307  -0.178 0.228  -0.139 0.150  -0.100 0.072  -0.061 -0.006  -0.027 -0.085  -0.027 -0.173  -0.027 -0.260  -0.027 -0.347  -0.027 -0.434  -0.027 -0.522  -0.018 -0.600  0.069 -0.600  0.157 -0.600  0.236 -0.607  0.236 -0.695  0.236 -0.782  0.236 -0.869  0.236 -0.957  0.236 -1.044  0.241 -1.127  0.328 -1.127  0.416 -1.127  0.500 -1.130  0.500 -1.217  0.500 -1.304  0.501 -1.390  0.589 -1.390  0.676 -1.390  0.763 -1.390
3#app#app41#app4100/a  0.439 0.634  0.439 0.831  0.397 0.985  0.200 0.985  0.087 1.069  0.087 1.266  -0.038 1.337  -0.235 1.337  -0.265 1.170  -0.277 0.985  -0.474 0.985  -0.616 0.931  -0.616 0.734  -0.684 0.566  -0.823 0.427  -0.963 0.288  -0.968 0.093  -0.968 -0.104  -0.968 -0.301  -0.968 -0.497  -0.968 -0.694  -0.968 -0.891  -0.968 -1.088  -0.809 -1.125  -0.612 -1.125  -0.415 -1.125  -0.218 -1.125  -0.021 -1.125  0.087 -1.037  0.087 -0.840  0.217 -0.773  0.414 -0.773  0.439 -0.601  0.439 -0.404  0.439 -0.208  0.439 -0.011  0.439 0.186  0.439 0.383  0.439 0.580  0.439 0.491  0.439 0.294  0.439 0.098  0.468 -0.070  0.665 -0.070  0.790 -0.141  0.790 -0.338  0.904 -0.421  1.100 -0.421  1.142 -0.576  1.142 -0.773
3#app#app41#app4100/s  0.474 0.712  0.474 0.847  0.474 0.983  0.372 1.016  0.236 1.016  0.101 1.016  -0.035 1.016  -0.170 1.016  -0.305 1.016  -0.438 1.013  -0.438 0.878  -0.438 0.742  -0.543 0.712  -0.679 0.712  -0.814 0.712  -0.950 0.712  -1.046 0.673  -1.046 0.538  -1.041 0.408  -0.905 0.408  -0.770 0.408  -0.666 0.332  -0.570 0.236  -0.474 0.140  -0.354 0.104  -0.218 0.104  -0.083 0.104  0.053 0.104  0.170 0.086  0.170 -0.049  0.170 -0.185  0.290 -0.200  0.426 -0.200  0.536 -0.262  0.631 -0.358  0.727 -0.453  0.778 -0.568  0.778 -0.703  0.778 -0.839  0.778 -0.974  0.778 -1.109  0.646 -1.112  0.510 -1.112  0.474 -1.212  0.474 -1.347  0.408 -1.416  0.272 -1.416  0.137 -1.416  0.001 -1.416  -0.134 -1.416
3#app#app41#app4100/t  -0.052 1.900  -0.052 1.700  -0.052 1.501  -0.052 1.301  -0.052 1.101  -0.052 0.902  -0.168 0.750  -0.259 0.588  -0.259 0.388  -0.259 0.189  -0.259 -0.011  -0.259 -0.210  -0.259 -0.410  -0.259 -0.610  -0.259 -0.809  -0.259 -1.009  -0.254 -1.204  -0.054 -1.204  0.087 -1.343  0.259 -1.410  0.459 -1.410  0.658 -1.410  0.775 -1.328  0.851 -1.204  0.936 -1.153  0.803 -1.004  0.669 -0.856  0.536 -0.708  0.402 -0.559  0.269 -0.411  0.135 -0.262  0.002 -0.114  -0.132 0.034  -0.266 0.183  -0.399 0.331  -0.533 0.480  -0.666 0.628  -0.800 0.776  -0.880 0.786  -0.880 0.586  -0.815 0.452  -0.615 0.452  -0.415 0.452  -0.216 0.452  -0.016 0.452  0.184 0.452  0.383 0.452  0.583 0.452  0.782 0.452  0.982 0.452
3#app#app41#app4100/.  -0.052 1.900  -0.052 1.700  -0.052 1.501  -0.052 1.301  -0.052 1.101  -0.052 0.902  -0.168 0.750  -0.259 0.588  -0.259 0.388  -0.259 0.189  -0.259 -0.011  -0.259 -0.210  -0.259 -0.410  -0.259 -0.610  -0.259 -0.809  -0.259 -1.009  -0.254 -1.204  -0.054 -1.204  0.087 -1.343  0.259 -1.410  0.459 -1.410  0.658 -1.410  0.775 -1.328  0.851 -1.204  0.936 -1.153  0.803 -1.004  0.669 -0.856  0.536 -0.708  0.402 -0.559  0.269 -0.411  0.135 -0.262  0.002 -0.114  -0.132 0.034  -0.266 0.183  -0.399 0.331  -0.533 0.480  -0.666 0.628  -0.800 0.776  -0.880 0.786  -0.880 0.586  -0.815 0.452  -0.615 0.452  -0.415 0.452  -0.216 0.452  -0.016 0.452  0.184 0.452  0.383 0.452  0.583 0.452  0.782 0.452  0.982 0.452
