3#apa#apa13#app1303/j  0.520 0.420  0.550 0.306  0.604 0.203  0.604 0.077  0.604 -0.049  0.604 -0.175  0.604 -0.301  0.604 -0.427  0.604 -0.553  0.520 -0.594  0.520 -0.720  0.434 -0.761  0.345 -0.850  0.253 -0.935  0.141 -0.992  0.020 -1.012  -0.071 -1.097  -0.197 -1.097  -0.323 -1.097  -0.449 -1.097  -0.575 -1.097  -0.701 -1.097  -0.802 -1.038  -0.792 -0.930  -0.741 -0.815  -0.691 -0.699  -0.640 -0.584  -0.590 -0.468  -0.539 -0.353  -0.489 -0.238  -0.438 -0.122  -0.388 -0.007  -0.338 0.108  -0.287 0.224  -0.237 0.339  -0.186 0.454  -0.136 0.570  -0.085 0.685  -0.035 0.800  0.016 0.916  0.066 1.031  0.117 1.147  0.167 1.262  0.218 1.377  0.268 1.493  0.319 1.608  0.352 1.640  0.267 1.598  0.225 1.515  0.183 1.431
3#apa#apa13#app1303/d  0.186 2.088  0.297 1.970  0.297 1.806  0.297 1.642  0.297 1.478  0.249 1.325  0.186 1.175  0.186 1.011  0.186 0.847  0.186 0.683  0.186 0.519  0.215 0.361  0.289 0.214  0.297 0.052  0.297 -0.112  0.396 -0.235  0.409 -0.394  0.471 -0.533  0.520 -0.677  0.631 -0.656  0.541 -0.582  0.520 -0.439  0.520 -0.275  0.501 -0.118  0.385 -0.002  0.297 0.126  0.232 0.263  0.116 0.379  -0.032 0.420  -0.196 0.420  -0.331 0.348  -0.447 0.232  -0.584 0.146  -0.704 0.055  -0.763 -0.085  -0.856 -0.218  -0.926 -0.365  -0.926 -0.529  -0.926 -0.694  -0.926 -0.858  -0.820 -0.915  -0.702 -1.027  -0.537 -1.027  -0.405 -1.103  -0.255 -1.138  -0.091 -1.138  0.073 -1.138  0.238 -1.138  0.402 -1.138  0.520 -1.027
3#apa#apa13#app1303/e  -0.554 -0.365  -0.438 -0.481  -0.276 -0.487  -0.135 -0.433  0.001 -0.365  0.133 -0.287  0.248 -0.171  0.364 -0.055  0.480 0.061  0.576 0.192  0.649 0.338  0.758 0.460  0.787 0.611  0.903 0.727  0.905 0.890  0.905 1.054  0.817 1.182  0.667 1.215  0.503 1.215  0.339 1.215  0.175 1.215  0.024 1.185  -0.092 1.069  -0.208 0.953  -0.327 0.842  -0.474 0.769  -0.587 0.662  -0.661 0.516  -0.768 0.393  -0.852 0.255  -0.919 0.106  -0.919 -0.058  -0.919 -0.222  -0.919 -0.386  -0.919 -0.550  -0.919 -0.713  -0.893 -0.852  -0.749 -0.900  -0.616 -0.973  -0.452 -0.973  -0.288 -0.973  -0.124 -0.973  0.040 -0.973  0.203 -0.964  0.358 -0.913  0.514 -0.861  0.676 -0.852  0.837 -0.834  0.993 -0.782  1.148 -0.730
3#apa#apa13#app1303/n  -1.179 0.231  -1.179 0.083  -1.175 -0.064  -1.109 -0.197  -1.042 -0.329  -1.036 -0.476  -1.036 -0.624  -1.036 -0.772  -0.932 -0.877  -0.892 -1.009  -0.795 -1.060  -0.677 -0.988  -0.572 -0.883  -0.467 -0.779  -0.462 -0.633  -0.359 -0.527  -0.318 -0.396  -0.251 -0.276  -0.175 -0.159  -0.155 -0.016  -0.089 0.117  -0.032 0.251  -0.024 0.398  0.023 0.539  0.070 0.679  0.119 0.819  0.185 0.951  0.251 1.084  0.255 1.231  0.357 1.337  0.488 1.378  0.542 1.284  0.542 1.136  0.542 0.988  0.542 0.840  0.542 0.692  0.542 0.544  0.542 0.396  0.542 0.248  0.542 0.099  0.542 -0.049  0.542 -0.197  0.645 -0.302  0.686 -0.434  0.781 -0.486  0.829 -0.586  0.903 -0.704  1.022 -0.773  1.155 -0.812  1.259 -0.917
3#apa#apa13#app1303/b  -0.492 2.143  -0.492 1.977  -0.492 1.812  -0.492 1.646  -0.492 1.480  -0.492 1.315  -0.492 1.149  -0.420 1.001  -0.409 0.838  -0.409 0.672  -0.409 0.506  -0.409 0.341  -0.347 0.190  -0.326 0.029  -0.326 -0.136  -0.326 -0.302  -0.326 -0.468  -0.326 -0.633  -0.275 -0.787  -0.235 -0.942  -0.164 -0.958  -0.174 -0.793  -0.184 -0.627  -0.194 -0.462  -0.205 -0.297  -0.215 -0.132  -0.225 0.034  -0.236 0.199  -0.192 0.314  -0.026 0.314  0.139 0.314  0.305 0.314  0.470 0.314  0.631 0.292  0.774 0.211  0.891 0.094  0.949 -0.047  1.004 -0.190  1.001 -0.355  0.921 -0.487  0.885 -0.638  0.768 -0.755  0.651 -0.872  0.511 -0.934  0.353 -0.968  0.216 -1.057  0.070 -1.110  -0.078 -1.183  -0.244 -1.183  -0.409 -1.183
3#apa#apa13#app1303/y  1.075 1.130  0.977 1.049  0.869 0.913  0.789 0.753  0.684 0.617  0.636 0.449  0.527 0.319  0.379 0.227  0.299 0.067  0.219 -0.093  0.155 -0.260  0.099 -0.430  0.019 -0.590  -0.061 -0.750  -0.141 -0.910  -0.221 -1.070  -0.305 -1.227  -0.431 -1.354  -0.489 -1.509  -0.489 -1.687  -0.482 -1.740  -0.461 -1.562  -0.440 -1.384  -0.419 -1.207  -0.398 -1.029  -0.377 -0.851  -0.357 -0.674  -0.336 -0.496  -0.315 -0.318  -0.294 -0.141  -0.273 0.037  -0.252 0.215  -0.231 0.392  -0.210 0.570  -0.189 0.748  -0.168 0.925  -0.148 1.103  -0.127 1.281  -0.106 1.458  -0.001 1.504  -0.001 1.325  -0.001 1.146  -0.001 0.967  -0.001 0.788  0.014 0.613  0.094 0.453  0.097 0.275  0.138 0.112  0.264 -0.014  0.391 -0.141
3#apa#apa13#app1303/q  0.461 0.912  0.557 0.955  0.568 1.064  0.530 1.163  0.461 1.217  0.366 1.252  0.260 1.285  0.194 1.333  0.085 1.338  -0.010 1.293  -0.107 1.251  -0.187 1.170  -0.268 1.089  -0.311 0.993  -0.348 0.893  -0.392 0.789  -0.392 0.675  -0.370 0.570  -0.290 0.489  -0.232 0.430  -0.170 0.379  -0.056 0.379  -0.019 0.408  -0.019 0.294  -0.019 0.180  -0.051 0.080  -0.072 -0.026  -0.072 -0.140  -0.072 -0.254  -0.072 -0.368  -0.125 -0.460  -0.125 -0.574  -0.126 -0.688  -0.179 -0.780  -0.179 -0.894  -0.179 -1.008  -0.179 -1.122  -0.168 -1.232  -0.179 -1.275  -0.179 -1.389  -0.125 -1.450  -0.057 -1.453  0.045 -1.402  0.097 -1.318  0.141 -1.223  0.220 -1.142  0.263 -1.045  0.308 -0.954  0.365 -0.891  0.408 -0.794
3#apa#apa13#app1303/u  -1.377 1.019  -1.268 0.977  -1.268 0.827  -1.268 0.677  -1.268 0.528  -1.268 0.378  -1.268 0.228  -1.215 0.100  -1.160 -0.027  -1.157 -0.176  -1.074 -0.301  -0.991 -0.426  -0.898 -0.543  -0.774 -0.606  -0.654 -0.678  -0.548 -0.784  -0.414 -0.822  -0.264 -0.822  -0.135 -0.772  -0.029 -0.666  0.096 -0.606  0.246 -0.606  0.352 -0.501  0.436 -0.377  0.520 -0.252  0.611 -0.134  0.717 -0.028  0.789 0.092  0.789 0.242  0.789 0.391  0.789 0.541  0.789 0.691  0.789 0.841  0.732 0.968  0.604 1.019  0.573 0.900  0.536 0.765  0.464 0.645  0.464 0.495  0.464 0.345  0.464 0.195  0.464 0.045  0.464 -0.105  0.501 -0.246  0.568 -0.380  0.604 -0.497  0.733 -0.549  0.859 -0.606  0.977 -0.684  1.114 -0.714
3#apa#apa13#app1303/i  -0.080 0.727  -0.080 0.603  -0.080 0.480  -0.080 0.356  -0.080 0.233  -0.080 0.109  -0.080 -0.014  -0.080 -0.138  -0.080 -0.261  -0.080 -0.385  -0.080 -0.508  0.002 -0.598  0.023 -0.712  0.023 -0.836  0.023 -0.959  0.023 -1.083  0.023 -1.206  0.023 -1.330  0.023 -1.453  0.050 -1.550  0.124 -1.504  0.117 -1.380  0.110 -1.257  0.103 -1.134  0.096 -1.010  0.089 -0.887  0.082 -0.764  0.075 -0.640  0.068 -0.517  0.061 -0.394  0.054 -0.271  0.047 -0.147  0.040 -0.024  0.033 0.099  0.026 0.223  0.019 0.346  0.012 0.469  0.005 0.593  -0.003 0.716  -0.010 0.839  -0.017 0.962  -0.024 1.086  -0.031 1.209  -0.038 1.332  -0.045 1.456  -0.052 1.579  -0.059 1.702  -0.066 1.825  -0.073 1.949  -0.080 2.072
3#apa#apa13#app1303/e  -0.972 -0.486  -0.800 -0.486  -0.628 -0.486  -0.456 -0.486  -0.285 -0.486  -0.148 -0.402  0.008 -0.363  0.131 -0.246  0.273 -0.150  0.416 -0.054  0.569 0.006  0.680 0.105  0.758 0.258  0.880 0.379  1.000 0.501  1.000 0.673  1.000 0.844  0.976 0.992  0.812 1.025  0.659 1.101  0.490 1.116  0.319 1.116  0.147 1.116  -0.025 1.116  -0.197 1.116  -0.328 1.019  -0.450 0.898  -0.571 0.776  -0.693 0.655  -0.814 0.534  -0.903 0.389  -0.972 0.233  -0.972 0.062  -0.972 -0.110  -0.972 -0.282  -0.972 -0.453  -0.873 -0.585  -0.752 -0.706  -0.631 -0.827  -0.471 -0.856  -0.299 -0.856  -0.127 -0.856  0.044 -0.856  0.216 -0.856  0.388 -0.856  0.560 -0.856  0.731 -0.856  0.903 -0.856  1.075 -0.856  1.246 -0.856
3#apa#apa13#app1303/t  0.094 2.033  0.194 1.960  0.194 1.786  0.194 1.612  0.194 1.439  0.194 1.265  0.194 1.092  0.194 0.918  0.194 0.744  0.194 0.571  0.194 0.397  0.194 0.224  0.194 0.050  0.194 -0.124  0.194 -0.297  0.194 -0.471  0.194 -0.644  0.194 -0.818  0.212 -0.984  0.294 -1.124  0.316 -1.288  0.394 -1.430  0.370 -1.535  0.262 -1.399  0.155 -1.263  0.047 -1.127  -0.060 -0.990  -0.168 -0.854  -0.275 -0.718  -0.383 -0.582  -0.491 -0.445  -0.598 -0.309  -0.706 -0.173  -0.813 -0.037  -0.921 0.100  -1.028 0.236  -1.057 0.334  -0.919 0.248  -0.751 0.234  -0.578 0.234  -0.434 0.162  -0.272 0.134  -0.098 0.134  0.075 0.134  0.249 0.134  0.422 0.134  0.596 0.134  0.762 0.100  0.920 0.034  1.093 0.034
3#apa#apa13#app1303/z  -0.933 0.945  -0.807 0.945  -0.682 0.945  -0.584 1.011  -0.461 1.016  -0.336 1.016  -0.215 1.043  -0.096 1.083  0.029 1.087  0.154 1.087  0.279 1.087  0.404 1.087  0.530 1.087  0.655 1.087  0.694 1.001  0.694 0.875  0.694 0.750  0.623 0.654  0.579 0.547  0.490 0.459  0.380 0.400  0.304 0.308  0.248 0.196  0.186 0.090  0.074 0.034  -0.018 -0.050  -0.113 -0.130  -0.225 -0.186  -0.300 -0.286  -0.375 -0.386  -0.453 -0.484  -0.541 -0.573  -0.630 -0.661  -0.719 -0.750  -0.720 -0.874  -0.720 -1.000  -0.636 -1.048  -0.534 -1.105  -0.409 -1.105  -0.284 -1.105  -0.159 -1.105  -0.046 -1.051  0.075 -1.035  0.200 -1.034  0.312 -0.978  0.434 -0.964  0.560 -0.964  0.685 -0.964  0.810 -0.964  0.906 -1.035
3#apa#apa13#app1303/e  -0.937 -0.138  -0.775 -0.138  -0.612 -0.138  -0.449 -0.138  -0.287 -0.138  -0.139 -0.100  -0.006 -0.029  0.156 -0.029  0.301 0.014  0.416 0.129  0.546 0.224  0.691 0.296  0.807 0.411  0.922 0.526  1.019 0.648  1.019 0.811  1.019 0.974  0.941 1.058  0.778 1.058  0.615 1.058  0.453 1.058  0.290 1.058  0.131 1.026  -0.027 0.987  -0.182 0.944  -0.300 0.833  -0.446 0.760  -0.573 0.662  -0.660 0.526  -0.740 0.386  -0.845 0.264  -0.918 0.119  -0.937 -0.039  -0.937 -0.202  -0.937 -0.365  -0.892 -0.509  -0.796 -0.637  -0.724 -0.783  -0.610 -0.898  -0.448 -0.898  -0.296 -0.947  -0.148 -1.007  0.015 -1.007  0.174 -1.020  0.320 -1.092  0.477 -1.116  0.640 -1.116  0.802 -1.116  0.965 -1.116  1.128 -1.116
3#apa#apa13#app1303/a  0.499 0.982  0.462 1.153  0.316 1.249  0.131 1.249  -0.055 1.249  -0.219 1.197  -0.351 1.065  -0.502 0.982  -0.652 0.897  -0.806 0.796  -0.967 0.710  -1.008 0.541  -1.100 0.394  -1.148 0.219  -1.231 0.053  -1.233 -0.132  -1.162 -0.288  -1.100 -0.448  -0.955 -0.496  -0.819 -0.617  -0.633 -0.617  -0.447 -0.617  -0.262 -0.617  -0.076 -0.617  0.086 -0.537  0.240 -0.434  0.401 -0.350  0.561 -0.289  0.692 -0.157  0.766 -0.002  0.899 0.050  0.899 0.236  0.824 0.391  0.663 0.449  0.477 0.449  0.291 0.449  0.233 0.322  0.106 0.189  0.099 0.006  0.099 -0.180  0.099 -0.365  0.147 -0.531  0.233 -0.682  0.316 -0.833  0.447 -0.964  0.611 -1.017  0.788 -1.039  0.927 -1.150  1.113 -1.150  1.299 -1.150
3#apa#apa13#app1303/l  -0.119 1.704  -0.119 1.633  -0.119 1.563  -0.119 1.492  -0.119 1.421  -0.119 1.350  -0.119 1.279  -0.119 1.209  -0.119 1.138  -0.119 1.067  -0.119 0.996  -0.119 0.925  -0.119 0.855  -0.119 0.784  -0.119 0.713  -0.119 0.642  -0.119 0.571  -0.100 0.505  -0.068 0.442  -0.036 0.378  -0.022 0.311  -0.022 0.240  -0.022 0.169  -0.022 0.099  -0.022 0.028  -0.019 -0.042  0.012 -0.106  0.044 -0.169  0.074 -0.233  0.074 -0.303  0.074 -0.374  0.074 -0.445  0.074 -0.516  0.074 -0.587  0.074 -0.657  0.074 -0.728  0.074 -0.799  0.074 -0.870  0.074 -0.941  0.074 -1.012  0.074 -1.082  0.074 -1.153  0.094 -1.216  0.144 -1.266  0.171 -1.325  0.171 -1.396  0.171 -1.467  0.171 -1.538  0.171 -1.609  0.171 -1.680
