3#apb#apb09#app0900/H  -0.973 0.794  -0.908 0.679  -0.878 0.534  -0.849 0.389  -0.825 0.243  -0.801 0.097  -0.782 -0.050  -0.764 -0.197  -0.740 -0.342  -0.709 -0.487  -0.676 -0.631  -0.642 -0.775  -0.609 -0.920  -0.631 -0.951  -0.715 -0.830  -0.800 -0.708  -0.884 -0.587  -0.969 -0.465  -1.053 -0.343  -1.138 -0.222  -1.026 -0.168  -0.883 -0.130  -0.737 -0.104  -0.592 -0.079  -0.446 -0.055  -0.300 -0.031  -0.154 -0.005  -0.008 0.022  0.137 0.049  0.283 0.076  0.428 0.104  0.568 0.153  0.708 0.199  0.820 0.267  0.854 0.411  0.888 0.555  0.922 0.699  0.956 0.843  0.983 0.952  1.006 0.810  1.040 0.667  1.063 0.521  1.096 0.377  1.130 0.233  1.168 0.090  1.207 -0.053  1.250 -0.195  1.294 -0.336  1.338 -0.477  1.351 -0.625
3#apb#apb09#app0900/t  -0.566 1.963  -0.503 1.816  -0.451 1.666  -0.401 1.514  -0.352 1.363  -0.310 1.209  -0.267 1.056  -0.222 0.903  -0.176 0.750  -0.130 0.598  -0.085 0.445  -0.053 0.289  -0.022 0.133  0.011 -0.023  0.049 -0.178  0.088 -0.333  0.124 -0.488  0.152 -0.645  0.179 -0.802  0.186 -0.960  0.186 -1.120  0.186 -1.279  0.186 -1.438  0.152 -1.593  0.080 -1.594  0.024 -1.444  -0.031 -1.295  -0.086 -1.145  -0.141 -0.996  -0.196 -0.846  -0.251 -0.697  -0.307 -0.547  -0.362 -0.398  -0.417 -0.249  -0.472 -0.099  -0.527 0.050  -0.582 0.200  -0.538 0.257  -0.383 0.240  -0.224 0.255  -0.066 0.271  0.093 0.282  0.253 0.289  0.412 0.296  0.570 0.308  0.728 0.334  0.885 0.361  1.039 0.398  1.193 0.440  1.347 0.483
3#apb#apb09#app0900/l  -0.462 1.637  -0.443 1.570  -0.423 1.503  -0.402 1.437  -0.378 1.371  -0.355 1.305  -0.332 1.239  -0.309 1.174  -0.285 1.108  -0.262 1.042  -0.238 0.976  -0.214 0.911  -0.190 0.845  -0.166 0.780  -0.142 0.714  -0.119 0.648  -0.097 0.582  -0.078 0.515  -0.060 0.447  -0.042 0.380  -0.024 0.313  -0.006 0.245  0.012 0.178  0.030 0.110  0.049 0.043  0.066 -0.025  0.083 -0.092  0.100 -0.160  0.117 -0.228  0.134 -0.295  0.151 -0.363  0.168 -0.431  0.185 -0.499  0.199 -0.567  0.213 -0.635  0.227 -0.704  0.240 -0.772  0.254 -0.841  0.268 -0.909  0.279 -0.978  0.271 -1.047  0.262 -1.116  0.254 -1.186  0.246 -1.255  0.238 -1.324  0.226 -1.393  0.211 -1.461  0.197 -1.530  0.182 -1.598  0.167 -1.666
3#apb#apb09#app0900/e  -1.085 0.081  -0.949 0.013  -0.801 -0.019  -0.651 -0.043  -0.501 -0.019  -0.350 0.005  -0.201 0.035  -0.052 0.066  0.085 0.125  0.212 0.210  0.338 0.294  0.443 0.404  0.547 0.516  0.626 0.644  0.694 0.780  0.697 0.930  0.675 1.077  0.587 1.202  0.455 1.247  0.303 1.256  0.155 1.219  0.010 1.177  -0.100 1.073  -0.211 0.968  -0.317 0.859  -0.411 0.740  -0.505 0.620  -0.598 0.500  -0.643 0.356  -0.677 0.208  -0.711 0.060  -0.704 -0.089  -0.676 -0.239  -0.647 -0.388  -0.595 -0.529  -0.520 -0.662  -0.445 -0.794  -0.348 -0.904  -0.213 -0.975  -0.078 -1.046  0.064 -1.098  0.209 -1.146  0.354 -1.187  0.506 -1.194  0.659 -1.201  0.802 -1.161  0.940 -1.098  1.079 -1.035  1.209 -0.956  1.340 -0.878
3#apb#apb09#app0900/R  -0.731 0.496  -0.822 0.362  -0.843 0.195  -0.850 0.025  -0.844 -0.143  -0.795 -0.305  -0.746 -0.468  -0.726 -0.636  -0.665 -0.787  -0.650 -0.694  -0.675 -0.526  -0.696 -0.358  -0.715 -0.189  -0.725 -0.021  -0.683 0.144  -0.642 0.308  -0.594 0.470  -0.508 0.616  -0.421 0.762  -0.319 0.894  -0.177 0.986  -0.035 1.079  0.123 1.138  0.285 1.187  0.451 1.193  0.619 1.166  0.773 1.099  0.901 0.992  0.957 0.843  0.937 0.679  0.851 0.533  0.746 0.402  0.616 0.293  0.483 0.188  0.337 0.102  0.193 0.012  0.068 -0.103  -0.046 -0.227  -0.138 -0.369  -0.147 -0.527  -0.047 -0.656  0.084 -0.764  0.230 -0.850  0.376 -0.937  0.516 -1.033  0.654 -1.132  0.794 -1.228  0.935 -1.322  1.074 -1.419  1.236 -1.471
3#apb#apb09#app0900/o  -0.628 0.828  -0.744 0.828  -0.821 0.742  -0.898 0.655  -0.948 0.551  -0.997 0.446  -1.047 0.341  -1.073 0.231  -1.073 0.115  -1.073 -0.001  -1.073 -0.117  -1.039 -0.227  -1.004 -0.338  -0.969 -0.448  -0.897 -0.533  -0.805 -0.602  -0.712 -0.672  -0.614 -0.730  -0.502 -0.763  -0.391 -0.796  -0.279 -0.821  -0.163 -0.833  -0.048 -0.846  0.066 -0.850  0.176 -0.812  0.285 -0.774  0.395 -0.735  0.492 -0.675  0.581 -0.601  0.670 -0.527  0.759 -0.452  0.828 -0.361  0.890 -0.263  0.951 -0.165  0.999 -0.060  1.036 0.050  1.073 0.160  1.109 0.270  1.092 0.382  1.066 0.495  0.999 0.582  0.907 0.653  0.815 0.723  0.708 0.766  0.599 0.804  0.490 0.843  0.375 0.861  0.260 0.876  0.145 0.891  0.030 0.906
3#apb#apb09#app0900/c  0.499 0.973  0.407 1.010  0.315 1.047  0.218 1.072  0.122 1.094  0.024 1.111  -0.074 1.097  -0.173 1.084  -0.270 1.067  -0.360 1.026  -0.450 0.984  -0.535 0.935  -0.605 0.864  -0.676 0.794  -0.712 0.705  -0.735 0.608  -0.757 0.511  -0.775 0.414  -0.775 0.315  -0.775 0.215  -0.775 0.116  -0.763 0.018  -0.733 -0.076  -0.703 -0.171  -0.673 -0.266  -0.627 -0.351  -0.559 -0.424  -0.492 -0.497  -0.424 -0.570  -0.345 -0.628  -0.258 -0.676  -0.171 -0.725  -0.084 -0.773  0.007 -0.810  0.103 -0.836  0.199 -0.861  0.295 -0.886  0.392 -0.886  0.488 -0.863  0.585 -0.840  0.682 -0.817  0.776 -0.788  0.862 -0.737  0.947 -0.687  1.033 -0.637  1.116 -0.582  1.190 -0.517  1.265 -0.451  1.340 -0.386  1.415 -0.321
3#apb#apb09#app0900/k  -0.775 1.549  -0.727 1.337  -0.675 1.125  -0.623 0.914  -0.577 0.701  -0.531 0.488  -0.507 0.272  -0.496 0.055  -0.490 -0.163  -0.490 -0.381  -0.484 -0.598  -0.469 -0.816  -0.508 -1.029  -0.624 -1.211  -0.603 -1.159  -0.479 -0.980  -0.356 -0.801  -0.232 -0.621  -0.109 -0.442  0.015 -0.263  0.139 -0.083  0.262 0.096  0.386 0.275  0.510 0.455  0.633 0.634  0.757 0.813  0.880 0.993  1.005 1.170  0.930 1.053  0.732 0.961  0.528 0.886  0.321 0.817  0.121 0.733  -0.077 0.641  -0.283 0.572  -0.469 0.474  -0.611 0.308  -0.680 0.115  -0.592 -0.060  -0.414 -0.185  -0.222 -0.287  -0.035 -0.399  0.144 -0.522  0.318 -0.653  0.477 -0.801  0.641 -0.945  0.818 -1.071  0.994 -1.200  1.168 -1.331  1.358 -1.437
3#apb#apb09#app0900/M  -1.301 0.351  -1.317 0.312  -1.303 0.190  -1.289 0.068  -1.267 -0.053  -1.229 -0.169  -1.182 -0.283  -1.124 -0.391  -1.038 -0.474  -1.004 -0.371  -0.977 -0.252  -0.948 -0.132  -0.926 -0.011  -0.904 0.109  -0.861 0.223  -0.802 0.331  -0.726 0.423  -0.624 0.492  -0.509 0.524  -0.388 0.533  -0.298 0.450  -0.213 0.361  -0.139 0.264  -0.072 0.161  -0.022 0.049  0.026 -0.064  0.069 -0.179  0.109 -0.295  0.145 -0.413  0.172 -0.533  0.234 -0.504  0.315 -0.412  0.396 -0.320  0.471 -0.222  0.542 -0.122  0.613 -0.021  0.693 0.071  0.775 0.163  0.865 0.246  0.963 0.320  1.076 0.351  1.190 0.318  1.287 0.247  1.350 0.141  1.414 0.036  1.475 -0.070  1.512 -0.187  1.551 -0.303  1.590 -0.420  1.634 -0.534
3#apb#apb09#app0900/i  -0.178 1.370  -0.195 1.440  -0.257 1.450  -0.184 1.450  -0.110 1.450  -0.077 1.410  -0.075 1.337  -0.074 1.264  -0.073 1.191  -0.071 1.118  -0.070 1.045  -0.068 0.972  -0.067 0.898  -0.066 0.825  -0.064 0.752  -0.063 0.679  -0.062 0.606  -0.060 0.533  -0.059 0.460  -0.057 0.387  -0.088 0.321  -0.119 0.255  -0.127 0.182  -0.136 0.109  -0.144 0.037  -0.153 -0.036  -0.152 -0.108  -0.137 -0.180  -0.122 -0.251  -0.107 -0.323  -0.092 -0.394  -0.077 -0.466  -0.056 -0.536  -0.035 -0.606  -0.014 -0.676  0.007 -0.746  0.028 -0.816  0.051 -0.886  0.079 -0.953  0.107 -1.021  0.135 -1.089  0.163 -1.156  0.195 -1.221  0.241 -1.278  0.288 -1.334  0.334 -1.391  0.383 -1.445  0.438 -1.494  0.492 -1.542  0.547 -1.591
3#apb#apb09#app0900/a  0.363 0.132  0.400 0.277  0.436 0.423  0.425 0.571  0.398 0.717  0.312 0.840  0.200 0.925  0.054 0.959  -0.092 0.989  -0.242 0.982  -0.392 0.975  -0.539 0.958  -0.676 0.896  -0.813 0.835  -0.940 0.760  -1.042 0.650  -1.144 0.540  -1.200 0.405  -1.238 0.260  -1.264 0.116  -1.200 -0.020  -1.135 -0.155  -1.060 -0.283  -0.961 -0.396  -0.861 -0.508  -0.751 -0.605  -0.614 -0.667  -0.477 -0.728  -0.335 -0.762  -0.185 -0.754  -0.036 -0.746  0.102 -0.690  0.238 -0.626  0.359 -0.544  0.456 -0.429  0.551 -0.313  0.624 -0.182  0.698 -0.052  0.770 0.080  0.842 0.211  0.842 0.142  0.842 -0.008  0.863 -0.156  0.897 -0.302  0.935 -0.447  0.983 -0.589  1.034 -0.729  1.106 -0.861  1.189 -0.986  1.281 -1.104
3#apb#apb09#app0900/m  -1.372 0.354  -1.322 0.233  -1.296 0.106  -1.284 -0.025  -1.270 -0.155  -1.253 -0.285  -1.217 -0.410  -1.187 -0.537  -1.107 -0.535  -1.038 -0.424  -0.979 -0.308  -0.940 -0.183  -0.895 -0.060  -0.836 0.057  -0.778 0.174  -0.705 0.282  -0.619 0.380  -0.524 0.468  -0.408 0.530  -0.283 0.497  -0.205 0.392  -0.164 0.267  -0.131 0.141  -0.113 0.011  -0.112 -0.120  -0.089 -0.247  -0.051 -0.373  -0.006 -0.481  0.101 -0.405  0.184 -0.305  0.262 -0.200  0.338 -0.093  0.412 0.015  0.486 0.123  0.563 0.230  0.639 0.336  0.737 0.420  0.846 0.492  0.973 0.526  1.101 0.507  1.194 0.420  1.257 0.307  1.306 0.186  1.338 0.059  1.361 -0.070  1.376 -0.200  1.393 -0.330  1.413 -0.460  1.442 -0.587  1.461 -0.717
3#apb#apb09#app0900/i  -0.199 0.722  -0.260 0.627  -0.269 0.501  -0.262 0.375  -0.255 0.248  -0.247 0.122  -0.241 -0.005  -0.234 -0.131  -0.227 -0.258  -0.214 -0.383  -0.192 -0.508  -0.170 -0.633  -0.147 -0.757  -0.100 -0.875  -0.053 -0.992  -0.006 -1.110  0.050 -1.224  0.100 -1.339  0.121 -1.464  0.161 -1.584  0.165 -1.510  0.159 -1.383  0.154 -1.257  0.148 -1.130  0.142 -1.004  0.136 -0.877  0.131 -0.751  0.125 -0.624  0.119 -0.498  0.114 -0.371  0.108 -0.245  0.102 -0.118  0.096 0.008  0.091 0.135  0.085 0.261  0.079 0.388  0.074 0.514  0.068 0.641  0.062 0.767  0.056 0.894  0.051 1.020  0.045 1.147  0.039 1.274  0.034 1.400  0.028 1.527  0.022 1.653  -0.091 1.605  -0.013 1.683  0.097 1.742  0.219 1.777
