3#app#app11#app1192/I  -0.043 1.546  0.028 1.546  0.100 1.546  0.104 1.478  0.104 1.407  0.059 1.354  0.008 1.303  -0.042 1.252  -0.043 1.181  -0.043 1.110  -0.043 1.038  -0.043 0.966  -0.043 0.895  -0.043 0.823  -0.043 0.751  -0.043 0.680  -0.043 0.608  -0.043 0.537  -0.043 0.465  -0.043 0.393  -0.043 0.322  -0.043 0.250  -0.043 0.179  -0.043 0.107  -0.043 0.035  -0.043 -0.036  -0.043 -0.108  -0.043 -0.180  -0.043 -0.251  -0.043 -0.323  -0.043 -0.394  -0.043 -0.466  -0.043 -0.538  -0.043 -0.609  -0.043 -0.681  -0.043 -0.752  -0.043 -0.824  -0.043 -0.896  -0.036 -0.964  0.014 -1.015  0.065 -1.066  0.104 -1.121  0.104 -1.193  0.104 -1.264  0.104 -1.336  0.104 -1.408  0.104 -1.479  0.104 -1.551  0.104 -1.622  0.104 -1.694
3#app#app11#app1192/o  -0.431 0.741  -0.289 0.741  -0.362 0.741  -0.505 0.741  -0.608 0.701  -0.613 0.564  -0.755 0.564  -0.784 0.451  -0.784 0.308  -0.784 0.166  -0.792 0.026  -0.892 -0.074  -0.961 -0.188  -0.961 -0.331  -0.961 -0.473  -0.961 -0.615  -0.961 -0.758  -0.911 -0.850  -0.773 -0.861  -0.672 -0.962  -0.557 -1.027  -0.419 -1.015  -0.318 -0.914  -0.203 -0.850  -0.060 -0.850  0.082 -0.850  0.225 -0.850  0.340 -0.786  0.441 -0.685  0.579 -0.673  0.629 -0.582  0.687 -0.496  0.822 -0.480  0.923 -0.380  0.983 -0.262  0.983 -0.120  0.983 0.023  0.983 0.165  0.983 0.308  0.938 0.432  0.838 0.532  0.806 0.662  0.743 0.741  0.629 0.770  0.629 0.912  0.629 1.055  0.526 1.094  0.384 1.094  0.276 1.128  0.276 1.271
3#app#app11#app1192/u  -0.834 1.466  -0.834 1.360  -0.834 1.254  -0.834 1.148  -0.834 1.042  -0.834 0.936  -0.834 0.830  -0.834 0.724  -0.834 0.618  -0.834 0.512  -0.834 0.406  -0.834 0.300  -0.752 0.276  -0.646 0.276  -0.596 0.220  -0.596 0.114  -0.596 0.008  -0.596 -0.098  -0.596 -0.204  -0.596 -0.310  -0.596 -0.416  -0.512 -0.437  -0.406 -0.437  -0.359 -0.496  -0.359 -0.601  -0.326 -0.675  -0.220 -0.675  -0.114 -0.675  -0.008 -0.675  0.098 -0.675  0.204 -0.675  0.310 -0.675  0.416 -0.675  0.522 -0.675  0.628 -0.675  0.734 -0.675  0.831 -0.666  0.831 -0.560  0.831 -0.454  0.893 -0.374  0.968 -0.299  1.043 -0.224  1.068 -0.129  1.068 -0.023  1.100 0.070  1.175 0.145  1.250 0.220  1.306 0.302  1.306 0.408  1.306 0.514
3#app#app11#app1192/r  -0.675 0.422  -0.572 0.318  -0.468 0.215  -0.457 0.072  -0.415 -0.057  -0.311 -0.161  -0.238 -0.278  -0.238 -0.425  -0.238 -0.572  -0.238 -0.718  -0.238 -0.865  -0.152 -0.977  -0.048 -1.080  -0.019 -1.215  -0.019 -1.362  -0.019 -1.509  0.058 -1.469  0.162 -1.365  0.200 -1.234  0.178 -1.109  0.031 -1.109  -0.019 -1.012  -0.019 -0.865  -0.019 -0.718  -0.019 -0.572  -0.039 -0.433  -0.143 -0.329  -0.238 -0.222  -0.238 -0.075  -0.238 0.072  -0.249 0.215  -0.353 0.318  -0.457 0.422  -0.457 0.569  -0.382 0.641  -0.238 0.644  -0.238 0.791  -0.183 0.915  -0.079 1.019  0.043 1.079  0.190 1.079  0.337 1.079  0.484 1.079  0.631 1.079  0.637 1.219  0.706 1.297  0.853 1.297  1.000 1.297  1.147 1.297  1.293 1.297
3#app#app11#app1192/F  1.006 1.446  0.980 1.321  0.828 1.321  0.677 1.321  0.556 1.246  0.426 1.196  0.274 1.196  0.126 1.190  0.018 1.083  -0.114 1.011  -0.250 0.946  -0.401 0.946  -0.493 0.887  -0.579 0.821  -0.618 0.709  -0.743 0.683  -0.743 0.532  -0.697 0.400  -0.618 0.281  -0.618 0.129  -0.618 -0.022  -0.618 -0.173  -0.618 -0.325  -0.585 -0.462  -0.493 -0.576  -0.493 -0.727  -0.440 -0.856  -0.369 -0.978  -0.369 -1.129  -0.296 -1.251  -0.244 -1.380  -0.179 -1.347  -0.084 -1.229  0.010 -1.111  0.105 -0.992  0.199 -0.874  0.294 -0.756  0.389 -0.638  0.483 -0.520  0.578 -0.401  0.672 -0.283  0.773 -0.178  0.837 -0.178  0.686 -0.178  0.563 -0.247  0.435 -0.303  0.284 -0.303  0.169 -0.391  0.033 -0.428  -0.119 -0.428
3#app#app11#app1192/r  -0.767 0.563  -0.767 0.401  -0.684 0.323  -0.528 0.317  -0.528 0.155  -0.528 -0.007  -0.516 -0.157  -0.354 -0.157  -0.288 -0.252  -0.288 -0.414  -0.288 -0.576  -0.216 -0.708  -0.102 -0.822  -0.048 -0.962  -0.042 -1.122  0.072 -1.236  0.187 -1.350  0.192 -1.510  0.192 -1.518  0.192 -1.357  0.078 -1.242  -0.036 -1.127  -0.048 -0.970  -0.048 -0.809  -0.048 -0.647  -0.048 -0.485  -0.100 -0.345  -0.214 -0.230  -0.329 -0.116  -0.443 -0.001  -0.528 0.126  -0.528 0.287  -0.528 0.449  -0.479 0.563  -0.318 0.563  -0.288 0.695  -0.234 0.803  -0.072 0.803  0.090 0.803  0.192 0.863  0.192 1.025  0.336 1.042  0.498 1.042  0.659 1.042  0.821 1.042  0.983 1.042  1.145 1.042  1.307 1.042  1.469 1.042  1.630 1.042
3#app#app11#app1192/i  -0.429 1.631  -0.429 1.552  -0.429 1.474  -0.429 1.395  -0.429 1.316  -0.429 1.237  -0.429 1.158  -0.429 1.080  -0.429 1.001  -0.429 0.922  -0.429 0.843  -0.429 0.764  -0.429 0.685  -0.398 0.637  -0.320 0.637  -0.241 0.637  -0.162 0.637  -0.097 0.623  -0.097 0.544  -0.097 0.465  -0.097 0.386  -0.097 0.308  -0.097 0.229  -0.097 0.150  -0.097 0.071  -0.097 -0.008  -0.070 -0.080  -0.035 -0.151  0.000 -0.221  0.036 -0.292  0.071 -0.362  0.106 -0.433  0.141 -0.503  0.177 -0.574  0.212 -0.644  0.234 -0.718  0.234 -0.796  0.234 -0.875  0.234 -0.954  0.243 -1.029  0.299 -1.085  0.354 -1.141  0.410 -1.196  0.466 -1.252  0.522 -1.308  0.582 -1.352  0.661 -1.352  0.740 -1.352  0.819 -1.352  0.897 -1.352
3#app#app11#app1192/e  -0.656 -0.065  -0.492 -0.065  -0.327 -0.065  -0.163 -0.065  0.002 -0.065  0.062 0.040  0.151 0.115  0.294 0.167  0.411 0.284  0.527 0.400  0.601 0.534  0.646 0.654  0.780 0.684  0.780 0.848  0.780 1.013  0.780 1.177  0.631 1.192  0.466 1.192  0.302 1.192  0.137 1.192  0.062 1.103  -0.012 1.013  -0.160 0.971  -0.276 0.854  -0.392 0.738  -0.477 0.609  -0.507 0.474  -0.656 0.459  -0.656 0.294  -0.773 0.178  -0.836 0.040  -0.836 -0.125  -0.836 -0.289  -0.836 -0.454  -0.836 -0.618  -0.836 -0.783  -0.719 -0.899  -0.581 -0.962  -0.434 -1.005  -0.318 -1.121  -0.162 -1.142  0.003 -1.142  0.167 -1.142  0.332 -1.142  0.496 -1.142  0.661 -1.142  0.780 -1.097  0.810 -0.962  0.975 -0.962  1.139 -0.962
3#app#app11#app1192/n  -1.190 0.959  -1.072 0.841  -1.000 0.705  -1.000 0.538  -0.983 0.389  -0.817 0.389  -0.810 0.229  -0.810 0.063  -0.730 -0.071  -0.620 -0.191  -0.620 -0.357  -0.620 -0.524  -0.620 -0.690  -0.545 -0.826  -0.430 -0.944  -0.430 -1.110  -0.430 -1.277  -0.430 -1.200  -0.360 -1.062  -0.243 -0.944  -0.240 -0.779  -0.240 -0.613  -0.240 -0.447  -0.240 -0.280  -0.240 -0.114  -0.240 0.052  -0.240 0.219  -0.240 0.385  -0.077 0.389  -0.050 0.528  -0.050 0.694  0.042 0.769  0.140 0.837  0.185 0.959  0.351 0.959  0.518 0.959  0.520 0.795  0.660 0.769  0.793 0.686  0.900 0.565  0.900 0.398  1.011 0.278  1.090 0.144  1.090 -0.022  1.095 -0.186  1.213 -0.304  1.280 -0.442  1.280 -0.609  1.304 -0.751  1.470 -0.751
3#app#app11#app1192/d  -0.023 1.826  0.101 1.702  0.126 1.538  0.142 1.380  0.275 1.337  0.275 1.163  0.275 0.988  0.360 0.849  0.423 0.700  0.423 0.526  0.423 0.351  0.433 0.180  0.557 0.057  0.572 -0.111  0.572 -0.286  0.628 -0.405  0.721 -0.487  0.721 -0.661  0.855 -0.702  0.861 -0.545  0.738 -0.422  0.721 -0.254  0.721 -0.080  0.667 0.041  0.572 0.121  0.467 0.190  0.423 0.321  0.266 0.339  0.091 0.339  -0.083 0.339  -0.258 0.339  -0.433 0.339  -0.469 0.200  -0.633 0.190  -0.796 0.161  -0.915 0.035  -0.938 -0.130  -1.061 -0.253  -1.079 -0.420  -1.203 -0.544  -1.098 -0.667  -1.064 -0.828  -0.956 -0.958  -0.833 -1.081  -0.686 -1.148  -0.511 -1.148  -0.336 -1.148  -0.162 -1.148  0.002 -1.123  0.126 -0.999
3#app#app11#app1192/,  -0.790 1.413  -0.790 1.328  -0.790 1.242  -0.790 1.156  -0.761 1.100  -0.675 1.100  -0.589 1.100  -0.504 1.100  -0.477 1.041  -0.477 0.955  -0.477 0.870  -0.474 0.788  -0.388 0.788  -0.303 0.788  -0.217 0.788  -0.165 0.754  -0.165 0.669  -0.165 0.583  -0.165 0.497  -0.120 0.430  -0.059 0.370  0.001 0.309  0.062 0.248  0.122 0.188  0.148 0.113  0.148 0.027  0.148 -0.058  0.148 -0.144  0.148 -0.230  0.148 -0.315  0.148 -0.401  0.171 -0.464  0.257 -0.464  0.342 -0.464  0.428 -0.464  0.461 -0.516  0.461 -0.602  0.461 -0.688  0.461 -0.773  0.461 -0.859  0.461 -0.945  0.461 -1.030  0.461 -1.116  0.461 -1.202  0.461 -1.287  0.461 -1.373  0.461 -1.459  0.461 -1.544  0.461 -1.630  0.461 -1.716
3#app#app11#app1192/\"  -1.158 0.907  -0.969 0.907  -0.902 0.785  -0.862 0.612  -0.729 0.478  -0.647 0.323  -0.647 0.134  -0.647 -0.056  -0.517 -0.115  -0.391 -0.179  -0.391 -0.368  -0.391 -0.557  -0.391 -0.746  -0.391 -0.935  -0.391 -1.125  -0.391 -1.314  -0.313 -1.471  -0.179 -1.604  -0.125 -1.520  -0.110 -1.332  -0.094 -1.143  -0.078 -0.955  -0.062 -0.766  -0.047 -0.577  -0.031 -0.389  -0.015 -0.200  0.000 -0.012  0.016 0.177  0.032 0.365  0.048 0.554  0.063 0.742  0.079 0.931  0.095 1.119  0.110 1.308  0.120 1.340  0.132 1.163  0.321 1.163  0.375 1.028  0.444 0.907  0.631 0.905  0.631 0.716  0.719 0.563  0.853 0.430  0.886 0.254  0.886 0.065  0.886 -0.124  0.886 -0.314  0.886 -0.503  0.886 -0.692  0.886 -0.881
