2#app#app06#app0694/A  0.367 1.243  0.273 1.016  0.199 0.774  0.085 0.534  -0.011 0.286  -0.103 0.037  -0.176 -0.219  -0.260 -0.470  -0.393 -0.699  -0.477 -0.952  -0.584 -1.195  -0.643 -1.447  -0.777 -1.658  -0.704 -1.710  -0.615 -1.473  -0.549 -1.215  -0.483 -0.957  -0.417 -0.699  -0.352 -0.441  -0.286 -0.183  -0.220 0.075  -0.154 0.333  -0.088 0.591  -0.023 0.849  0.043 1.107  0.109 1.365  0.175 1.624  0.198 1.849  0.095 1.644  0.030 1.405  0.104 1.169  0.216 0.940  0.299 0.705  0.418 0.467  0.562 0.247  0.636 0.010  0.703 -0.241  0.770 -0.491  0.823 -0.745  0.876 -0.895  0.635 -0.780  0.395 -0.666  0.154 -0.551  -0.086 -0.437  -0.327 -0.322  -0.508 -0.170  -0.329 -0.057  -0.101 0.036  0.133 0.134  0.367 0.235
2#app#app06#app0694/L  0.298 1.143  0.376 1.221  0.454 1.299  0.471 1.402  0.549 1.480  0.462 1.479  0.385 1.401  0.373 1.293  0.324 1.195  0.275 1.096  0.225 0.997  0.155 0.914  0.077 0.836  -0.001 0.758  -0.079 0.680  -0.152 0.598  -0.213 0.506  -0.274 0.414  -0.329 0.319  -0.379 0.221  -0.428 0.122  -0.477 0.024  -0.538 -0.068  -0.599 -0.160  -0.658 -0.253  -0.708 -0.351  -0.736 -0.455  -0.736 -0.565  -0.736 -0.675  -0.736 -0.786  -0.736 -0.896  -0.679 -0.982  -0.581 -1.012  -0.481 -0.970  -0.384 -0.918  -0.306 -0.840  -0.199 -0.829  -0.100 -0.780  0.004 -0.753  0.114 -0.753  0.223 -0.748  0.322 -0.698  0.424 -0.667  0.535 -0.667  0.644 -0.668  0.722 -0.746  0.830 -0.753  0.940 -0.753  0.988 -0.815  1.074 -0.839
2#app#app06#app0694/M  -0.634 0.008  -0.634 -0.044  -0.656 -0.236  -0.715 -0.391  -0.837 -0.561  -0.917 -0.760  -1.016 -0.943  -1.052 -1.142  -1.203 -1.246  -1.203 -1.287  -1.121 -1.106  -1.052 -0.909  -0.926 -0.739  -0.830 -0.547  -0.735 -0.356  -0.639 -0.164  -0.490 -0.011  -0.402 0.182  -0.322 0.380  -0.200 0.552  -0.079 0.725  0.096 0.820  0.097 0.608  0.097 0.394  0.016 0.213  0.016 -0.001  -0.026 -0.197  -0.065 -0.395  -0.031 -0.364  0.063 -0.189  0.214 -0.038  0.341 0.124  0.380 0.328  0.505 0.498  0.601 0.690  0.697 0.881  0.818 1.054  0.923 1.239  1.072 1.386  1.072 1.172  1.066 0.959  1.014 0.751  0.991 0.540  0.915 0.344  0.892 0.135  0.828 -0.064  0.828 -0.278  0.747 -0.458  0.747 -0.672  0.747 -0.886
2#app#app06#app0694/N  -0.633 -0.164  -0.633 -0.320  -0.712 -0.396  -0.761 -0.531  -0.791 -0.674  -0.813 -0.820  -0.870 -0.952  -0.870 -1.108  -0.950 -1.001  -0.950 -0.846  -0.873 -0.722  -0.870 -0.568  -0.821 -0.433  -0.791 -0.290  -0.778 -0.137  -0.712 0.003  -0.708 0.156  -0.633 0.281  -0.544 0.399  -0.474 0.526  -0.395 0.496  -0.316 0.420  -0.236 0.344  -0.157 0.221  -0.118 0.075  -0.049 -0.064  0.032 -0.195  0.142 -0.305  0.196 -0.438  0.250 -0.571  0.377 -0.640  0.453 -0.719  0.608 -0.719  0.715 -0.624  0.780 -0.496  0.794 -0.346  0.794 -0.191  0.835 -0.042  0.874 0.108  0.874 0.263  0.874 0.418  0.874 0.574  0.874 0.729  0.874 0.885  0.874 1.040  0.874 1.196  0.874 1.351  0.874 1.506  0.874 1.662  0.874 1.659
2#app#app06#app0694/O  0.017 0.708  -0.127 0.708  -0.179 0.615  -0.277 0.569  -0.339 0.450  -0.468 0.413  -0.571 0.315  -0.571 0.170  -0.637 0.053  -0.740 -0.049  -0.801 -0.176  -0.846 -0.314  -0.866 -0.455  -0.866 -0.599  -0.866 -0.744  -0.866 -0.888  -0.866 -1.033  -0.768 -1.079  -0.708 -1.186  -0.578 -1.251  -0.435 -1.255  -0.315 -1.195  -0.186 -1.156  -0.082 -1.060  0.049 -1.027  0.151 -0.925  0.253 -0.822  0.355 -0.720  0.440 -0.606  0.505 -0.476  0.605 -0.373  0.704 -0.269  0.704 -0.125  0.704 0.019  0.768 0.149  0.802 0.285  0.802 0.430  0.802 0.574  0.802 0.719  0.802 0.863  0.800 1.007  0.735 1.136  0.651 1.251  0.525 1.297  0.389 1.276  0.287 1.174  0.185 1.072  0.083 0.970  0.017 0.852  0.017 0.708
2#app#app06#app0694/P  -0.298 -0.467  -0.298 -0.601  -0.298 -0.734  -0.371 -0.838  -0.373 -0.970  -0.403 -1.091  -0.447 -1.207  -0.447 -1.340  -0.447 -1.474  -0.473 -1.581  -0.521 -1.496  -0.521 -1.362  -0.521 -1.229  -0.447 -1.126  -0.447 -0.993  -0.447 -0.859  -0.396 -0.738  -0.373 -0.610  -0.373 -0.477  -0.363 -0.344  -0.337 -0.213  -0.310 -0.082  -0.247 0.029  -0.179 0.142  -0.150 0.269  -0.126 0.396  -0.076 0.518  -0.071 0.649  0.048 0.708  0.073 0.827  0.137 0.933  0.221 1.032  0.287 1.125  0.399 1.195  0.493 1.289  0.616 1.314  0.741 1.306  0.809 1.240  0.815 1.113  0.815 0.980  0.815 0.846  0.757 0.737  0.667 0.641  0.602 0.572  0.505 0.484  0.411 0.390  0.295 0.348  0.191 0.275  0.058 0.275  -0.001 0.201
2#app#app06#app0694/Q  0.114 0.502  0.206 0.626  0.206 0.843  0.018 0.871  -0.186 0.814  -0.317 0.655  -0.456 0.494  -0.645 0.389  -0.768 0.215  -0.897 0.044  -0.968 -0.160  -1.086 -0.334  -1.086 -0.551  -1.086 -0.767  -1.014 -0.954  -0.806 -0.975  -0.590 -0.975  -0.373 -0.975  -0.195 -0.882  -0.005 -0.817  0.200 -0.790  0.355 -0.641  0.499 -0.481  0.608 -0.296  0.741 -0.126  0.852 0.057  0.915 0.259  0.970 0.462  1.037 0.663  1.037 0.880  0.944 1.058  0.855 1.237  0.744 1.386  0.548 1.397  0.483 1.208  0.391 1.029  0.366 0.818  0.275 0.621  0.185 0.425  0.094 0.228  0.003 0.031  -0.088 -0.165  -0.126 -0.329  -0.163 -0.397  -0.234 -0.585  -0.255 -0.792  -0.255 -1.009  -0.348 -1.187  -0.348 -1.404  -0.348 -1.621
2#app#app06#app0694/R  -0.766 -0.835  -0.766 -1.004  -0.677 -1.137  -0.677 -1.307  -0.588 -1.388  -0.588 -1.357  -0.588 -1.187  -0.588 -1.017  -0.588 -0.848  -0.588 -0.678  -0.499 -0.545  -0.492 -0.376  -0.416 -0.225  -0.380 -0.063  -0.304 0.089  -0.232 0.241  -0.232 0.411  -0.123 0.540  -0.043 0.689  0.077 0.809  0.197 0.929  0.317 1.049  0.437 1.169  0.569 1.232  0.670 1.301  0.813 1.367  0.925 1.342  1.014 1.261  1.014 1.091  0.913 0.984  0.777 0.886  0.720 0.740  0.600 0.620  0.480 0.500  0.318 0.464  0.213 0.359  0.093 0.291  -0.053 0.233  -0.186 0.144  -0.321 0.109  -0.239 -0.027  -0.232 -0.193  -0.187 -0.345  -0.143 -0.496  -0.073 -0.637  -0.054 -0.799  0.035 -0.880  0.092 -1.037  0.132 -1.191  0.213 -1.280
2#app#app06#app0694/S  1.004 1.185  0.984 1.292  0.857 1.292  0.736 1.266  0.622 1.209  0.500 1.185  0.383 1.143  0.269 1.086  0.144 1.077  0.018 1.068  -0.096 1.012  -0.204 0.946  -0.294 0.856  -0.384 0.766  -0.474 0.676  -0.589 0.646  -0.611 0.541  -0.611 0.413  -0.611 0.286  -0.554 0.216  -0.449 0.161  -0.344 0.108  -0.224 0.076  -0.110 0.019  0.013 0.000  0.129 -0.047  0.243 -0.104  0.358 -0.119  0.389 -0.215  0.502 -0.251  0.600 -0.323  0.681 -0.369  0.681 -0.496  0.621 -0.598  0.531 -0.689  0.441 -0.779  0.348 -0.861  0.220 -0.861  0.107 -0.897  0.013 -0.980  -0.101 -1.037  -0.219 -1.077  -0.347 -1.077  -0.451 -1.132  -0.557 -1.184  -0.684 -1.184  -0.812 -1.184  -0.906 -1.104  -0.934 -0.989  -0.826 -0.969
2#app#app06#app0694/T  0.075 0.177  0.181 0.284  0.288 0.390  0.282 0.496  0.187 0.385  0.149 0.251  0.075 0.131  0.037 -0.010  -0.030 -0.144  -0.132 -0.253  -0.148 -0.397  -0.172 -0.541  -0.240 -0.675  -0.260 -0.821  -0.361 -0.929  -0.371 -1.075  -0.371 -1.225  -0.371 -1.375  -0.343 -1.497  -0.284 -1.435  -0.338 -1.295  -0.391 -1.155  -0.445 -1.015  -0.499 -0.875  -0.553 -0.734  -0.607 -0.594  -0.661 -0.454  -0.715 -0.314  -0.769 -0.174  -0.805 -0.046  -0.670 -0.009  -0.595 0.110  -0.521 0.214  -0.387 0.281  -0.277 0.383  -0.246 0.512  -0.111 0.549  0.003 0.644  0.138 0.711  0.254 0.803  0.377 0.886  0.511 0.954  0.657 0.971  0.791 1.038  0.934 1.071  1.083 1.073  1.189 1.180  1.338 1.182  1.488 1.182  1.638 1.182
2#app#app06#app0694/U  -0.573 0.937  -0.552 0.937  -0.633 0.836  -0.702 0.706  -0.777 0.554  -0.879 0.414  -0.946 0.259  -1.023 0.097  -1.081 -0.076  -1.184 -0.217  -1.184 -0.399  -1.184 -0.582  -1.184 -0.765  -1.082 -0.846  -0.959 -0.918  -0.810 -0.998  -0.641 -0.964  -0.486 -0.896  -0.323 -0.850  -0.164 -0.793  -0.035 -0.664  0.118 -0.591  0.242 -0.472  0.340 -0.387  0.398 -0.231  0.446 -0.068  0.512 0.087  0.548 0.255  0.548 0.438  0.588 0.611  0.650 0.780  0.650 0.962  0.724 1.114  0.751 1.286  0.751 1.221  0.679 1.069  0.586 0.913  0.505 0.750  0.446 0.581  0.446 0.398  0.446 0.215  0.446 0.032  0.446 -0.150  0.446 -0.333  0.503 -0.502  0.548 -0.675  0.713 -0.693  0.793 -0.795  0.976 -0.795  1.159 -0.795
2#app#app06#app0694/V  -0.296 0.657  -0.305 0.739  -0.359 0.631  -0.396 0.519  -0.437 0.415  -0.497 0.319  -0.497 0.198  -0.497 0.078  -0.540 -0.033  -0.594 -0.141  -0.597 -0.261  -0.597 -0.382  -0.597 -0.503  -0.597 -0.624  -0.597 -0.745  -0.597 -0.866  -0.597 -0.986  -0.597 -1.107  -0.543 -1.206  -0.497 -1.307  -0.420 -1.352  -0.396 -1.256  -0.313 -1.169  -0.296 -1.056  -0.244 -0.947  -0.187 -0.841  -0.101 -0.756  -0.045 -0.649  0.009 -0.541  0.063 -0.433  0.117 -0.325  0.171 -0.217  0.220 -0.107  0.258 0.008  0.296 0.123  0.346 0.233  0.400 0.341  0.441 0.454  0.479 0.569  0.528 0.677  0.613 0.762  0.699 0.848  0.757 0.953  0.811 1.061  0.897 1.146  0.911 1.261  0.997 1.347  1.011 1.462  1.097 1.547  1.111 1.461
2#app#app06#app0694/W  -0.578 0.969  -0.480 0.910  -0.493 0.759  -0.604 0.648  -0.701 0.527  -0.771 0.386  -0.841 0.246  -0.872 0.096  -0.938 -0.045  -1.029 -0.170  -1.068 -0.310  -1.068 -0.467  -1.068 -0.624  -1.068 -0.781  -1.026 -0.896  -0.899 -0.824  -0.774 -0.776  -0.718 -0.643  -0.676 -0.503  -0.565 -0.392  -0.480 -0.271  -0.413 -0.142  -0.302 -0.031  -0.260 0.109  -0.135 0.184  0.011 0.172  0.011 0.015  0.011 -0.141  0.074 -0.272  0.109 -0.415  0.177 -0.503  0.236 -0.601  0.367 -0.663  0.507 -0.694  0.625 -0.601  0.757 -0.541  0.868 -0.431  0.992 -0.382  0.992 -0.226  1.090 -0.109  1.090 0.048  1.090 0.204  1.090 0.361  1.090 0.518  1.090 0.675  1.090 0.832  1.090 0.989  1.090 1.146  1.090 1.302  1.188 1.361
2#app#app06#app0694/X  0.098 1.154  0.098 1.327  0.062 1.463  -0.005 1.357  -0.005 1.185  -0.005 1.012  -0.005 0.840  -0.005 0.668  -0.005 0.496  0.001 0.326  0.098 0.194  0.098 0.022  0.148 -0.130  0.201 -0.280  0.332 -0.343  0.411 -0.496  0.533 -0.618  0.655 -0.739  0.715 -0.887  0.558 -0.919  0.387 -0.938  0.215 -0.957  0.044 -0.976  -0.127 -0.995  -0.298 -1.014  -0.469 -1.033  -0.641 -1.052  -0.812 -1.071  -0.983 -1.090  -1.136 -1.088  -1.136 -0.916  -1.024 -0.790  -0.902 -0.668  -0.781 -0.546  -0.659 -0.425  -0.537 -0.303  -0.415 -0.181  -0.293 -0.059  -0.186 0.073  -0.109 0.227  0.012 0.349  0.134 0.471  0.271 0.572  0.415 0.659  0.492 0.813  0.605 0.942  0.764 0.982  0.907 1.077  1.056 1.154  1.228 1.154
2#app#app06#app0694/Y  -0.698 0.382  -0.613 0.325  -0.593 0.192  -0.527 0.077  -0.514 -0.059  -0.442 -0.171  -0.357 -0.227  -0.289 -0.301  -0.195 -0.204  -0.107 -0.093  -0.019 0.018  0.069 0.130  0.156 0.241  0.244 0.352  0.332 0.463  0.420 0.574  0.508 0.686  0.595 0.797  0.683 0.908  0.771 1.019  0.859 1.130  0.946 1.242  0.980 1.291  0.923 1.173  0.840 1.066  0.739 0.966  0.639 0.866  0.555 0.754  0.489 0.629  0.388 0.529  0.296 0.422  0.218 0.305  0.139 0.187  0.061 0.069  -0.017 -0.049  -0.081 -0.176  -0.155 -0.297  -0.233 -0.415  -0.304 -0.537  -0.364 -0.665  -0.409 -0.799  -0.468 -0.925  -0.553 -1.036  -0.613 -1.163  -0.613 -1.305  -0.698 -1.411  -0.724 -1.547  -0.783 -1.675  -0.783 -1.816  -0.698 -1.923
2#app#app06#app0694/Z  -0.393 0.783  -0.261 0.937  -0.085 1.091  0.108 1.195  0.326 1.236  0.530 1.313  0.757 1.305  0.913 1.225  0.934 1.011  0.851 0.794  0.670 0.651  0.520 0.484  0.337 0.351  0.165 0.191  -0.038 0.075  -0.242 -0.040  -0.409 -0.206  -0.577 -0.371  -0.747 -0.502  -0.920 -0.631  -0.924 -0.864  -0.811 -0.987  -0.664 -1.075  -0.428 -1.075  -0.192 -1.075  0.044 -1.075  0.191 -1.164  0.338 -1.252  0.492 -1.334  0.721 -1.341  0.612 -1.203  0.441 -1.041  0.270 -0.878  0.100 -0.716  -0.071 -0.554  -0.242 -0.391  -0.413 -0.229  -0.584 -0.066  -0.755 0.096  -0.926 0.258  -0.924 0.368  -0.748 0.429  -0.529 0.469  -0.314 0.517  -0.083 0.540  0.137 0.606  0.373 0.606  0.606 0.593  0.823 0.517  1.023 0.429
