1c#apa#apa19#app1967/b  -0.542 1.952  -0.507 1.813  -0.402 1.742  -0.402 1.568  -0.402 1.393  -0.402 1.218  -0.402 1.043  -0.402 0.868  -0.402 0.693  -0.402 0.519  -0.402 0.344  -0.402 0.169  -0.402 -0.006  -0.402 -0.181  -0.402 -0.355  -0.402 -0.530  -0.402 -0.705  -0.402 -0.880  -0.402 -0.908  -0.402 -0.734  -0.402 -0.559  -0.402 -0.384  -0.402 -0.209  -0.325 -0.066  -0.263 0.083  -0.263 0.257  -0.246 0.416  -0.123 0.467  -0.036 0.555  0.139 0.555  0.314 0.555  0.473 0.518  0.597 0.394  0.715 0.269  0.757 0.136  0.855 0.059  0.934 -0.083  0.995 -0.233  0.995 -0.408  0.980 -0.577  0.857 -0.700  0.823 -0.842  0.667 -0.890  0.544 -1.013  0.414 -1.121  0.256 -1.162  0.122 -1.261  -0.053 -1.261  -0.228 -1.261  -0.402 -1.261
1c#apa#apa19#app1967/l  -0.138 1.571  -0.068 1.571  0.001 1.571  0.004 1.504  0.004 1.435  0.004 1.365  0.004 1.295  0.004 1.225  0.004 1.156  0.004 1.086  0.004 1.016  0.004 0.946  0.004 0.876  0.004 0.807  0.004 0.737  0.004 0.667  0.004 0.597  0.004 0.528  0.004 0.458  0.004 0.388  0.004 0.318  0.004 0.249  0.004 0.179  0.004 0.109  0.004 0.039  0.004 -0.031  0.004 -0.100  0.004 -0.170  0.004 -0.240  0.004 -0.310  0.004 -0.379  0.004 -0.449  0.004 -0.519  0.004 -0.589  0.004 -0.658  0.004 -0.728  0.004 -0.798  0.004 -0.868  0.004 -0.938  0.004 -1.007  0.004 -1.077  0.004 -1.147  0.004 -1.217  0.004 -1.286  0.004 -1.356  0.004 -1.426  0.004 -1.496  0.004 -1.565  0.004 -1.635  0.004 -1.705
1c#apa#apa19#app1967/s  0.040 0.971  -0.081 0.971  -0.202 0.971  -0.323 0.971  -0.440 0.987  -0.548 1.041  -0.656 1.095  -0.770 1.120  -0.891 1.120  -1.004 1.112  -1.004 0.992  -0.934 0.900  -0.851 0.813  -0.797 0.705  -0.743 0.597  -0.668 0.523  -0.547 0.523  -0.426 0.523  -0.335 0.451  -0.248 0.369  -0.140 0.315  -0.032 0.261  0.069 0.196  0.154 0.111  0.253 0.044  0.361 -0.010  0.469 -0.064  0.558 -0.144  0.643 -0.230  0.729 -0.315  0.814 -0.400  0.900 -0.486  0.985 -0.571  1.070 -0.657  1.084 -0.772  1.032 -0.871  0.946 -0.956  0.830 -0.968  0.710 -0.968  0.589 -0.968  0.468 -0.968  0.347 -0.968  0.227 -0.968  0.106 -0.968  -0.015 -0.968  -0.136 -0.968  -0.256 -0.968  -0.343 -0.884  -0.436 -0.819  -0.557 -0.819
1c#apa#apa19#app1967/w  -0.936 1.092  -1.045 1.192  -1.045 1.029  -1.045 0.866  -1.045 0.704  -1.045 0.541  -1.045 0.378  -1.042 0.215  -0.969 0.070  -0.936 -0.085  -0.913 -0.238  -0.827 -0.366  -0.759 -0.501  -0.718 -0.646  -0.669 -0.760  -0.506 -0.760  -0.500 -0.603  -0.428 -0.470  -0.390 -0.323  -0.282 -0.205  -0.282 -0.042  -0.278 0.120  -0.205 0.265  -0.173 0.421  -0.173 0.584  -0.173 0.746  -0.064 0.730  -0.064 0.567  -0.053 0.406  -0.002 0.251  0.045 0.096  0.076 -0.060  0.149 -0.205  0.261 -0.323  0.376 -0.438  0.491 -0.553  0.590 -0.675  0.667 -0.760  0.830 -0.760  0.993 -0.760  1.142 -0.702  1.279 -0.616  1.352 -0.484  1.352 -0.321  1.352 -0.158  1.352 0.005  1.352 0.168  1.352 0.330  1.352 0.493  1.243 0.547
1c#apa#apa19#app1967/a  -0.723 1.292  -0.585 1.420  -0.394 1.420  -0.243 1.325  -0.066 1.292  0.102 1.237  0.237 1.102  0.401 1.036  0.503 0.892  0.560 0.715  0.649 0.561  0.688 0.386  0.638 0.216  0.480 0.138  0.289 0.138  0.098 0.138  -0.052 0.236  -0.210 0.287  -0.294 0.394  -0.485 0.394  -0.675 0.394  -0.866 0.394  -1.014 0.325  -1.100 0.154  -1.108 -0.035  -1.108 -0.226  -1.108 -0.417  -1.108 -0.608  -0.990 -0.750  -0.818 -0.794  -0.666 -0.889  -0.475 -0.889  -0.284 -0.889  -0.093 -0.889  0.083 -0.853  0.235 -0.760  0.390 -0.673  0.560 -0.628  0.560 -0.437  0.560 -0.246  0.514 -0.074  0.431 -0.064  0.431 -0.255  0.481 -0.425  0.596 -0.575  0.681 -0.746  0.812 -0.884  1.001 -0.889  1.157 -0.973  1.329 -1.017
1c#apa#apa19#app1967/x  -1.015 1.259  -0.888 1.132  -0.858 0.965  -0.701 0.943  -0.701 0.764  -0.701 0.584  -0.670 0.412  -0.590 0.251  -0.490 0.105  -0.371 -0.028  -0.291 -0.189  -0.200 -0.342  -0.074 -0.468  0.053 -0.595  0.180 -0.722  0.307 -0.849  0.434 -0.976  0.561 -1.103  0.688 -1.230  0.734 -1.115  0.760 -0.937  0.785 -0.760  0.810 -0.582  0.836 -0.404  0.861 -0.227  0.886 -0.049  0.912 0.129  0.937 0.306  0.963 0.484  0.988 0.662  1.013 0.839  0.955 0.945  0.776 0.945  0.596 0.945  0.458 0.846  0.331 0.719  0.204 0.592  0.075 0.468  -0.085 0.388  -0.242 0.303  -0.369 0.176  -0.456 0.020  -0.536 -0.141  -0.659 -0.271  -0.808 -0.367  -0.969 -0.447  -1.015 -0.598  -1.082 -0.761  -1.162 -0.922  -1.172 -1.099
1c#apa#apa19#app1967/m  -0.756 0.647  -0.756 0.849  -0.861 0.765  -0.861 0.563  -0.861 0.361  -0.861 0.160  -0.861 -0.042  -0.861 -0.244  -0.861 -0.445  -0.891 -0.364  -0.965 -0.192  -0.965 0.009  -0.965 0.211  -0.965 0.412  -0.965 0.614  -0.861 0.773  -0.846 0.960  -0.749 1.064  -0.547 1.064  -0.374 0.994  -0.232 0.851  -0.089 0.709  0.054 0.566  0.077 0.374  0.149 0.190  0.222 0.002  0.285 -0.189  0.285 -0.391  0.285 -0.592  0.285 -0.794  0.285 -0.996  0.285 -1.051  0.181 -0.892  0.189 -0.692  0.279 -0.512  0.285 -0.312  0.339 -0.133  0.390 0.048  0.477 0.214  0.672 0.230  0.873 0.230  0.971 0.126  1.053 -0.016  1.167 -0.179  1.223 -0.367  1.223 -0.569  1.327 -0.727  1.327 -0.929  1.327 -1.131  1.431 -1.228
1c#apa#apa19#app1967/e  -0.816 0.705  -0.693 0.583  -0.639 0.431  -0.545 0.352  -0.463 0.260  -0.374 0.176  -0.286 0.090  -0.203 -0.001  -0.030 -0.001  0.121 -0.055  0.245 -0.177  0.418 -0.177  0.592 -0.177  0.765 -0.177  0.939 -0.177  1.113 -0.177  1.286 -0.177  1.302 -0.019  1.302 0.154  1.195 0.283  1.126 0.428  1.074 0.581  0.951 0.703  0.778 0.705  0.654 0.824  0.504 0.882  0.331 0.882  0.157 0.882  -0.017 0.882  -0.190 0.882  -0.356 0.847  -0.511 0.770  -0.639 0.675  -0.659 0.510  -0.782 0.387  -0.816 0.227  -0.816 0.054  -0.816 -0.120  -0.816 -0.293  -0.816 -0.467  -0.816 -0.641  -0.768 -0.803  -0.690 -0.958  -0.597 -1.102  -0.474 -1.225  -0.351 -1.348  -0.205 -1.413  -0.031 -1.413  0.120 -1.467  0.243 -1.589
1c#apa#apa19#app1967/r  -0.243 -0.190  -0.243 -0.297  -0.243 -0.403  -0.243 -0.509  -0.243 -0.616  -0.243 -0.722  -0.243 -0.828  -0.243 -0.935  -0.243 -1.041  -0.243 -1.148  -0.243 -1.254  -0.243 -1.360  -0.243 -1.467  -0.243 -1.407  -0.243 -1.301  -0.243 -1.195  -0.243 -1.088  -0.243 -0.982  -0.243 -0.876  -0.243 -0.769  -0.243 -0.663  -0.243 -0.557  -0.243 -0.450  -0.243 -0.344  -0.243 -0.238  -0.243 -0.131  -0.243 -0.025  -0.204 0.072  -0.157 0.168  -0.109 0.263  -0.062 0.358  -0.057 0.463  -0.057 0.569  -0.057 0.676  -0.026 0.769  0.049 0.844  0.124 0.920  0.128 1.024  0.150 1.109  0.256 1.109  0.314 1.158  0.314 1.264  0.389 1.295  0.496 1.295  0.602 1.295  0.708 1.295  0.815 1.295  0.906 1.260  0.982 1.185  1.057 1.109
1c#apa#apa19#app1967/c  1.145 0.672  1.080 0.737  1.015 0.802  0.951 0.867  0.886 0.931  0.821 0.996  0.748 1.042  0.656 1.042  0.564 1.042  0.472 1.042  0.387 1.024  0.322 0.959  0.258 0.895  0.181 0.857  0.089 0.857  0.008 0.831  -0.056 0.766  -0.121 0.701  -0.150 0.621  -0.150 0.529  -0.200 0.487  -0.292 0.487  -0.336 0.439  -0.336 0.347  -0.336 0.255  -0.336 0.163  -0.367 0.084  -0.432 0.019  -0.497 -0.046  -0.521 -0.128  -0.521 -0.220  -0.521 -0.311  -0.521 -0.403  -0.521 -0.495  -0.521 -0.587  -0.482 -0.663  -0.417 -0.728  -0.352 -0.793  -0.336 -0.878  -0.336 -0.970  -0.336 -1.061  -0.336 -1.153  -0.289 -1.226  -0.224 -1.291  -0.159 -1.356  -0.071 -1.365  0.021 -1.365  0.090 -1.420  0.155 -1.485  0.220 -1.550
1c#apa#apa19#app1967/i  -0.082 0.044  -0.191 0.044  -0.300 0.044  -0.390 -0.002  -0.468 -0.079  -0.475 -0.186  -0.475 -0.295  -0.475 -0.404  -0.475 -0.514  -0.475 -0.623  -0.475 -0.732  -0.475 -0.842  -0.475 -0.951  -0.436 -1.044  -0.359 -1.122  -0.344 -1.225  -0.297 -1.315  -0.220 -1.392  -0.188 -1.302  -0.160 -1.196  -0.132 -1.091  -0.105 -0.985  -0.077 -0.879  -0.050 -0.773  -0.022 -0.667  0.006 -0.562  0.033 -0.456  0.061 -0.350  0.088 -0.244  0.116 -0.138  0.144 -0.033  0.171 0.073  0.199 0.179  0.226 0.285  0.254 0.391  0.282 0.496  0.309 0.602  0.337 0.708  0.364 0.814  0.392 0.920  0.420 1.025  0.447 1.131  0.475 1.237  0.502 1.343  0.530 1.449  0.558 1.555  0.544 1.649  0.467 1.726  0.389 1.804  0.312 1.881
1c#apa#apa19#app1967/f  0.977 1.032  0.918 1.124  0.867 1.234  0.760 1.340  0.635 1.400  0.520 1.488  0.371 1.493  0.221 1.493  0.070 1.493  -0.041 1.397  -0.129 1.283  -0.189 1.157  -0.221 1.020  -0.221 0.869  -0.221 0.718  -0.221 0.568  -0.221 0.417  -0.221 0.266  -0.221 0.116  -0.221 -0.035  -0.213 -0.184  -0.145 -0.318  -0.129 -0.465  -0.129 -0.616  -0.129 -0.766  -0.054 -0.886  -0.037 -1.030  -0.037 -1.180  0.005 -1.314  0.055 -1.443  0.036 -1.507  -0.027 -1.370  -0.090 -1.233  -0.153 -1.096  -0.217 -0.959  -0.280 -0.823  -0.343 -0.686  -0.406 -0.549  -0.469 -0.412  -0.498 -0.268  -0.590 -0.209  -0.483 -0.166  -0.332 -0.166  -0.193 -0.194  -0.069 -0.258  0.074 -0.277  0.194 -0.350  0.345 -0.350  0.496 -0.350  0.608 -0.442
1c#apa#apa19#app1967/u  -0.547 1.123  -0.627 1.044  -0.706 0.964  -0.786 0.885  -0.865 0.805  -0.892 0.704  -0.892 0.592  -0.892 0.479  -0.892 0.367  -0.892 0.254  -0.892 0.142  -0.892 0.030  -0.892 -0.083  -0.842 -0.183  -0.791 -0.284  -0.741 -0.384  -0.674 -0.473  -0.595 -0.552  -0.547 -0.645  -0.547 -0.757  -0.450 -0.772  -0.348 -0.799  -0.269 -0.878  -0.184 -0.944  -0.072 -0.944  0.041 -0.944  0.153 -0.944  0.265 -0.944  0.359 -0.900  0.439 -0.820  0.518 -0.741  0.597 -0.661  0.659 -0.574  0.659 -0.462  0.694 -0.358  0.744 -0.257  0.794 -0.157  0.831 -0.053  0.831 0.059  0.831 0.172  0.831 0.284  0.831 0.396  0.831 0.509  0.831 0.621  0.831 0.733  0.831 0.846  0.831 0.958  0.831 1.071  0.831 1.183  0.831 1.295
1c#apa#apa19#app1967/l  0.223 1.658  0.223 1.587  0.194 1.528  0.144 1.477  0.120 1.416  0.120 1.345  0.120 1.273  0.120 1.202  0.120 1.131  0.120 1.060  0.120 0.988  0.103 0.924  0.053 0.874  0.018 0.817  0.018 0.746  0.018 0.675  0.018 0.604  0.018 0.532  0.018 0.461  0.018 0.390  0.018 0.319  0.018 0.247  0.018 0.176  0.010 0.107  -0.021 0.043  -0.053 -0.021  -0.085 -0.085  -0.085 -0.156  -0.085 -0.227  -0.085 -0.298  -0.085 -0.370  -0.085 -0.441  -0.085 -0.512  -0.085 -0.583  -0.085 -0.655  -0.085 -0.726  -0.085 -0.797  -0.085 -0.868  -0.085 -0.939  -0.085 -1.011  -0.085 -1.082  -0.085 -1.153  -0.085 -1.224  -0.085 -1.296  -0.085 -1.367  -0.085 -1.438  -0.085 -1.509  -0.085 -1.581  -0.053 -1.621  0.018 -1.621
