2#apb#apb32#app3221/4  -0.942 0.255  -0.834 0.453  -0.788 0.670  -0.692 0.874  -0.610 1.084  -0.460 1.183  -0.419 0.976  -0.476 0.758  -0.544 0.542  -0.629 0.333  -0.730 0.131  -0.840 -0.066  -0.951 -0.263  -1.052 -0.465  -1.132 -0.649  -0.919 -0.638  -0.698 -0.588  -0.479 -0.534  -0.257 -0.491  -0.034 -0.459  0.192 -0.459  0.418 -0.459  0.634 -0.516  0.828 -0.629  1.033 -0.720  1.041 -0.616  0.984 -0.397  0.927 -0.178  0.870 0.040  0.813 0.259  0.756 0.478  0.699 0.696  0.642 0.915  0.585 1.134  0.528 1.352  0.442 1.283  0.375 1.067  0.338 0.845  0.304 0.621  0.271 0.398  0.238 0.174  0.205 -0.049  0.157 -0.270  0.107 -0.490  0.064 -0.712  0.029 -0.935  -0.004 -1.159  -0.034 -1.383  -0.038 -1.608  0.081 -1.791
2#apb#apb32#app3221/5  0.016 0.777  -0.002 0.967  0.016 1.153  -0.060 1.063  -0.139 0.892  -0.239 0.730  -0.320 0.558  -0.400 0.385  -0.479 0.213  -0.484 0.026  -0.319 0.042  -0.135 0.087  0.053 0.109  0.242 0.086  0.423 0.039  0.594 -0.046  0.719 -0.183  0.825 -0.340  0.889 -0.520  0.945 -0.700  0.960 -0.890  0.933 -1.077  0.827 -1.231  0.657 -1.304  0.474 -1.328  0.287 -1.293  0.100 -1.257  -0.086 -1.219  -0.270 -1.173  -0.452 -1.116  -0.631 -1.052  -0.806 -0.977  -0.820 -0.821  -0.778 -0.636  -0.735 -0.450  -0.693 -0.265  -0.651 -0.079  -0.608 0.106  -0.566 0.291  -0.523 0.477  -0.481 0.662  -0.438 0.848  -0.369 1.018  -0.205 1.091  -0.016 1.112  0.173 1.104  0.361 1.078  0.549 1.050  0.736 1.014  0.923 0.979
2#apb#apb32#app3221/7  -1.175 0.290  -1.255 0.353  -1.249 0.464  -1.179 0.540  -1.069 0.564  -0.959 0.588  -0.849 0.612  -0.738 0.632  -0.626 0.632  -0.513 0.632  -0.401 0.632  -0.289 0.643  -0.178 0.663  -0.067 0.684  0.044 0.704  0.155 0.713  0.268 0.713  0.381 0.713  0.493 0.713  0.604 0.693  0.713 0.667  0.823 0.641  0.933 0.616  1.042 0.592  1.073 0.490  1.027 0.388  0.971 0.291  0.902 0.202  0.833 0.113  0.764 0.024  0.688 -0.058  0.599 -0.128  0.511 -0.197  0.422 -0.267  0.334 -0.337  0.252 -0.415  0.171 -0.492  0.089 -0.570  0.007 -0.647  -0.071 -0.728  -0.142 -0.816  -0.213 -0.903  -0.284 -0.990  -0.349 -1.082  -0.412 -1.176  -0.469 -1.271  -0.469 -1.384  -0.446 -1.492  -0.388 -1.585  -0.308 -1.665
2#apb#apb32#app3221/N  -0.730 0.696  -0.761 0.871  -0.704 0.749  -0.671 0.570  -0.633 0.392  -0.628 0.211  -0.636 0.029  -0.658 -0.151  -0.689 -0.331  -0.744 -0.504  -0.808 -0.675  -0.888 -0.838  -0.960 -0.827  -0.960 -0.644  -0.952 -0.462  -0.935 -0.282  -0.885 -0.107  -0.833 0.068  -0.777 0.241  -0.721 0.414  -0.657 0.585  -0.593 0.755  -0.465 0.885  -0.337 0.823  -0.250 0.663  -0.176 0.497  -0.107 0.329  -0.043 0.158  0.023 -0.012  0.124 -0.163  0.225 -0.315  0.332 -0.461  0.455 -0.596  0.578 -0.730  0.710 -0.856  0.846 -0.977  0.999 -1.072  1.127 -0.986  1.167 -0.811  1.180 -0.630  1.161 -0.449  1.134 -0.269  1.101 -0.090  1.069 0.090  1.043 0.270  1.016 0.450  1.002 0.632  0.988 0.813  0.965 0.994  0.955 1.048
2#apb#apb32#app3221/.  -0.554 0.784  -0.579 0.857  -0.603 0.931  -0.628 1.005  -0.653 1.078  -0.677 1.152  -0.702 1.226  -0.708 1.184  -0.708 1.107  -0.664 1.047  -0.609 0.992  -0.554 0.937  -0.500 0.882  -0.445 0.827  -0.390 0.772  -0.335 0.717  -0.280 0.662  -0.225 0.608  -0.170 0.553  -0.115 0.498  -0.060 0.443  -0.005 0.388  0.050 0.333  0.078 0.262  0.101 0.188  0.123 0.113  0.146 0.039  0.169 -0.035  0.192 -0.109  0.215 -0.183  0.238 -0.258  0.260 -0.332  0.283 -0.406  0.306 -0.480  0.329 -0.555  0.352 -0.629  0.375 -0.703  0.397 -0.777  0.420 -0.852  0.443 -0.926  0.466 -1.000  0.489 -1.074  0.512 -1.148  0.534 -1.223  0.557 -1.297  0.580 -1.371  0.603 -1.445  0.626 -1.520  0.649 -1.594  0.672 -1.668
2#apb#apb32#app3221/S  0.548 0.936  0.666 0.995  0.753 1.091  0.811 1.169  0.709 1.190  0.581 1.160  0.455 1.122  0.330 1.079  0.206 1.035  0.085 0.982  -0.036 0.929  -0.157 0.876  -0.279 0.827  -0.404 0.783  -0.528 0.738  -0.648 0.686  -0.758 0.613  -0.867 0.539  -0.968 0.455  -1.048 0.355  -1.058 0.225  -0.965 0.132  -0.863 0.052  -0.740 0.006  -0.616 -0.041  -0.492 -0.087  -0.369 -0.132  -0.245 -0.178  -0.121 -0.223  0.003 -0.270  0.123 -0.323  0.243 -0.377  0.364 -0.431  0.484 -0.486  0.600 -0.548  0.717 -0.609  0.811 -0.695  0.876 -0.809  0.844 -0.930  0.729 -0.994  0.607 -1.044  0.482 -1.087  0.352 -1.104  0.221 -1.117  0.089 -1.104  -0.042 -1.092  -0.174 -1.081  -0.305 -1.074  -0.437 -1.069  -0.569 -1.069
2#apb#apb32#app3221/a  0.389 0.299  0.494 0.411  0.570 0.544  0.609 0.688  0.600 0.836  0.469 0.916  0.320 0.948  0.167 0.957  0.013 0.957  -0.138 0.931  -0.288 0.899  -0.438 0.867  -0.575 0.799  -0.711 0.726  -0.846 0.653  -0.973 0.567  -1.099 0.479  -1.199 0.370  -1.256 0.228  -1.296 0.084  -1.259 -0.065  -1.221 -0.214  -1.149 -0.347  -1.059 -0.471  -0.968 -0.596  -0.822 -0.620  -0.669 -0.630  -0.516 -0.641  -0.363 -0.629  -0.209 -0.617  -0.065 -0.580  0.065 -0.497  0.194 -0.415  0.299 -0.305  0.394 -0.184  0.475 -0.055  0.536 0.086  0.577 0.234  0.569 0.148  0.548 -0.004  0.591 -0.150  0.645 -0.294  0.702 -0.437  0.779 -0.568  0.879 -0.684  1.003 -0.767  1.122 -0.855  1.228 -0.964  1.364 -1.017  1.517 -1.017
2#apb#apb32#app3221/l  -0.199 1.641  -0.239 1.615  -0.229 1.546  -0.221 1.476  -0.221 1.407  -0.221 1.337  -0.221 1.267  -0.221 1.197  -0.221 1.127  -0.221 1.057  -0.217 0.988  -0.202 0.920  -0.187 0.852  -0.172 0.783  -0.157 0.715  -0.142 0.647  -0.127 0.579  -0.112 0.511  -0.097 0.442  -0.082 0.374  -0.067 0.306  -0.051 0.238  -0.035 0.170  -0.018 0.102  -0.002 0.035  0.015 -0.033  0.031 -0.101  0.047 -0.169  0.064 -0.237  0.080 -0.305  0.093 -0.373  0.105 -0.442  0.117 -0.511  0.129 -0.580  0.141 -0.648  0.153 -0.717  0.165 -0.786  0.177 -0.855  0.190 -0.923  0.203 -0.992  0.216 -1.061  0.229 -1.129  0.238 -1.198  0.238 -1.268  0.238 -1.338  0.238 -1.408  0.226 -1.476  0.200 -1.535  0.172 -1.588  0.172 -1.658
2#apb#apb32#app3221/i  -0.170 0.053  -0.206 -0.045  -0.241 -0.142  -0.224 -0.240  -0.187 -0.337  -0.151 -0.434  -0.115 -0.532  -0.081 -0.630  -0.047 -0.728  -0.012 -0.825  0.010 -0.926  0.010 -1.029  0.010 -1.133  0.010 -1.237  0.010 -1.341  0.010 -1.445  0.011 -1.390  0.013 -1.286  0.015 -1.182  0.016 -1.078  0.018 -0.975  0.020 -0.871  0.022 -0.767  0.024 -0.663  0.025 -0.560  0.027 -0.456  0.029 -0.352  0.031 -0.248  0.032 -0.144  0.034 -0.041  0.036 0.063  0.038 0.167  0.040 0.271  0.041 0.375  0.043 0.478  0.045 0.582  0.047 0.686  0.048 0.790  0.050 0.893  0.052 0.997  0.054 1.101  0.056 1.205  0.057 1.309  0.059 1.412  0.061 1.516  0.063 1.620  0.064 1.724  0.066 1.827  0.068 1.931  0.070 2.035
2#apb#apb32#app3221/n  -0.982 0.905  -0.957 0.952  -0.912 0.835  -0.887 0.710  -0.868 0.584  -0.862 0.456  -0.856 0.328  -0.850 0.201  -0.844 0.073  -0.843 -0.054  -0.843 -0.182  -0.843 -0.310  -0.827 -0.437  -0.810 -0.563  -0.793 -0.690  -0.768 -0.815  -0.737 -0.939  -0.645 -0.923  -0.565 -0.824  -0.516 -0.706  -0.467 -0.588  -0.418 -0.470  -0.373 -0.350  -0.328 -0.231  -0.284 -0.111  -0.229 0.004  -0.163 0.113  -0.096 0.222  -0.030 0.331  0.037 0.440  0.130 0.526  0.229 0.607  0.328 0.688  0.447 0.710  0.575 0.710  0.694 0.676  0.805 0.612  0.871 0.508  0.925 0.392  0.979 0.276  1.032 0.160  1.083 0.043  1.133 -0.074  1.183 -0.192  1.240 -0.307  1.297 -0.421  1.354 -0.535  1.396 -0.654  1.419 -0.780  1.442 -0.906
2#apb#apb32#app3221/a  0.156 0.923  0.114 1.050  0.001 1.078  -0.121 1.022  -0.242 0.966  -0.362 0.906  -0.475 0.835  -0.589 0.764  -0.702 0.693  -0.807 0.611  -0.905 0.520  -1.004 0.429  -1.088 0.331  -1.107 0.199  -1.126 0.066  -1.124 -0.066  -1.098 -0.197  -1.037 -0.308  -0.936 -0.396  -0.822 -0.441  -0.689 -0.426  -0.558 -0.399  -0.428 -0.367  -0.313 -0.312  -0.237 -0.202  -0.161 -0.092  -0.083 0.017  -0.001 0.122  0.080 0.229  0.115 0.358  0.150 0.487  0.234 0.587  0.298 0.470  0.337 0.342  0.376 0.215  0.425 0.090  0.478 -0.033  0.530 -0.156  0.583 -0.279  0.644 -0.397  0.727 -0.502  0.811 -0.606  0.895 -0.711  0.986 -0.808  1.084 -0.899  1.182 -0.990  1.280 -1.082  1.390 -1.154  1.510 -1.214  1.630 -1.274
2#apb#apb32#app3221/S  0.951 0.877  0.963 0.990  0.945 1.097  0.832 1.076  0.724 1.039  0.615 1.003  0.505 0.970  0.393 0.943  0.282 0.916  0.170 0.889  0.058 0.862  -0.051 0.827  -0.160 0.790  -0.269 0.754  -0.377 0.718  -0.486 0.680  -0.592 0.635  -0.698 0.591  -0.804 0.547  -0.904 0.494  -0.997 0.426  -1.046 0.342  -1.024 0.229  -0.945 0.149  -0.858 0.075  -0.769 0.003  -0.668 -0.052  -0.567 -0.107  -0.466 -0.161  -0.365 -0.216  -0.265 -0.272  -0.165 -0.328  -0.064 -0.384  0.036 -0.440  0.130 -0.506  0.222 -0.574  0.315 -0.641  0.408 -0.709  0.494 -0.785  0.578 -0.863  0.662 -0.941  0.719 -1.041  0.676 -1.136  0.592 -1.211  0.493 -1.270  0.382 -1.281  0.267 -1.281  0.154 -1.269  0.042 -1.241  -0.069 -1.213
2#apb#apb32#app3221/t  0.148 1.734  0.050 1.835  0.022 1.663  -0.003 1.487  -0.004 1.310  -0.004 1.133  -0.000 0.956  0.015 0.780  0.031 0.603  0.046 0.427  0.065 0.251  0.085 0.075  0.104 -0.101  0.125 -0.277  0.156 -0.452  0.188 -0.626  0.220 -0.800  0.242 -0.976  0.263 -1.152  0.274 -1.328  0.274 -1.505  0.224 -1.671  0.217 -1.581  0.129 -1.427  0.042 -1.273  -0.046 -1.119  -0.134 -0.965  -0.222 -0.811  -0.309 -0.657  -0.397 -0.503  -0.485 -0.350  -0.572 -0.196  -0.660 -0.042  -0.748 0.112  -0.835 0.266  -0.923 0.420  -0.914 0.570  -0.742 0.613  -0.571 0.633  -0.402 0.580  -0.233 0.527  -0.067 0.467  0.096 0.397  0.259 0.327  0.421 0.257  0.582 0.181  0.742 0.106  0.909 0.055  1.085 0.034  1.261 0.014
2#apb#apb32#app3221/1  0.084 0.568  0.021 0.630  -0.013 0.693  -0.012 0.743  0.041 0.813  0.078 0.890  0.134 0.958  0.161 1.040  0.173 1.126  0.199 1.210  0.199 1.298  0.215 1.340  0.232 1.306  0.216 1.219  0.200 1.132  0.183 1.046  0.166 0.959  0.148 0.872  0.131 0.786  0.116 0.699  0.102 0.611  0.088 0.524  0.074 0.437  0.058 0.350  0.036 0.264  0.013 0.179  -0.009 0.093  -0.031 0.008  -0.053 -0.078  -0.064 -0.166  -0.075 -0.253  -0.087 -0.341  -0.098 -0.428  -0.110 -0.516  -0.129 -0.602  -0.148 -0.689  -0.166 -0.775  -0.185 -0.861  -0.204 -0.948  -0.206 -1.036  -0.206 -1.124  -0.206 -1.213  -0.202 -1.301  -0.182 -1.387  -0.163 -1.473  -0.143 -1.559  -0.126 -1.646  -0.109 -1.733  -0.091 -1.819  -0.051 -1.845
2#apb#apb32#app3221/2  -0.743 0.828  -0.795 0.976  -0.790 1.121  -0.691 1.248  -0.545 1.284  -0.383 1.284  -0.221 1.284  -0.088 1.197  0.042 1.099  0.162 0.991  0.262 0.864  0.360 0.735  0.429 0.588  0.499 0.441  0.515 0.284  0.507 0.122  0.482 -0.036  0.406 -0.179  0.330 -0.323  0.214 -0.434  0.089 -0.536  -0.043 -0.626  -0.204 -0.648  -0.365 -0.670  -0.526 -0.679  -0.687 -0.661  -0.848 -0.643  -1.003 -0.595  -1.138 -0.521  -1.216 -0.380  -1.128 -0.248  -1.018 -0.139  -0.859 -0.111  -0.699 -0.084  -0.536 -0.084  -0.374 -0.084  -0.212 -0.084  -0.056 -0.129  0.099 -0.176  0.255 -0.223  0.406 -0.281  0.557 -0.340  0.708 -0.399  0.857 -0.464  1.005 -0.531  1.153 -0.599  1.282 -0.693  1.402 -0.803  1.524 -0.909  1.619 -1.037
2#apb#apb32#app3221/B  -0.310 0.857  -0.462 0.803  -0.525 0.539  -0.546 0.267  -0.573 -0.004  -0.566 -0.276  -0.552 -0.547  -0.538 -0.819  -0.525 -1.091  -0.458 -1.314  -0.383 -1.054  -0.382 -0.782  -0.386 -0.510  -0.396 -0.238  -0.411 0.034  -0.428 0.306  -0.435 0.578  -0.435 0.851  -0.420 1.122  -0.382 1.391  -0.271 1.631  -0.031 1.669  0.166 1.493  0.325 1.273  0.462 1.037  0.528 0.774  0.548 0.507  0.469 0.257  0.289 0.052  0.035 -0.039  -0.230 -0.086  -0.499 -0.069  -0.713 0.070  -0.593 0.273  -0.324 0.315  -0.054 0.297  0.209 0.243  0.434 0.090  0.660 -0.062  0.886 -0.213  1.082 -0.401  1.260 -0.605  1.373 -0.844  1.240 -1.070  0.985 -1.150  0.715 -1.173  0.444 -1.158  0.175 -1.112  -0.093 -1.066  -0.364 -1.048
2#apb#apb32#app3221/i  0.011 -0.051  -0.016 -0.148  -0.044 -0.244  -0.029 -0.343  -0.014 -0.442  0.002 -0.541  0.025 -0.638  0.061 -0.732  0.097 -0.825  0.133 -0.919  0.168 -1.013  0.202 -1.107  0.236 -1.201  0.260 -1.297  0.260 -1.397  0.249 -1.367  0.232 -1.268  0.215 -1.170  0.198 -1.071  0.181 -0.972  0.164 -0.873  0.148 -0.774  0.131 -0.676  0.114 -0.577  0.097 -0.478  0.080 -0.379  0.063 -0.281  0.046 -0.182  0.030 -0.083  0.013 0.016  -0.004 0.115  -0.021 0.213  -0.038 0.312  -0.055 0.411  -0.072 0.510  -0.089 0.608  -0.105 0.707  -0.122 0.806  -0.139 0.905  -0.156 1.004  -0.173 1.102  -0.190 1.201  -0.207 1.300  -0.223 1.399  -0.240 1.498  -0.257 1.596  -0.274 1.695  -0.291 1.794  -0.308 1.893  -0.348 1.964
2#apb#apb32#app3221/g  -0.305 0.578  -0.224 0.682  -0.164 0.801  -0.077 0.885  -0.061 1.004  -0.191 0.983  -0.319 0.948  -0.432 0.879  -0.544 0.809  -0.657 0.739  -0.770 0.671  -0.884 0.603  -0.981 0.514  -1.060 0.412  -1.049 0.280  -1.002 0.173  -0.881 0.119  -0.750 0.113  -0.618 0.113  -0.488 0.137  -0.359 0.166  -0.233 0.202  -0.129 0.284  -0.026 0.367  0.078 0.449  0.183 0.530  0.288 0.611  0.376 0.710  0.450 0.699  0.476 0.569  0.502 0.439  0.518 0.307  0.529 0.175  0.541 0.043  0.552 -0.089  0.562 -0.221  0.572 -0.353  0.582 -0.485  0.590 -0.617  0.595 -0.749  0.600 -0.882  0.606 -1.014  0.591 -1.146  0.574 -1.277  0.557 -1.408  0.521 -1.534  0.466 -1.655  0.395 -1.765  0.302 -1.858  0.199 -1.942
2#apb#apb32#app3221/B  -0.470 1.002  -0.407 0.772  -0.360 0.525  -0.335 0.275  -0.315 0.025  -0.272 -0.223  -0.233 -0.472  -0.199 -0.721  -0.171 -0.971  -0.213 -1.213  -0.369 -1.203  -0.520 -1.003  -0.624 -0.776  -0.698 -0.536  -0.757 -0.291  -0.789 -0.042  -0.806 0.208  -0.804 0.460  -0.789 0.711  -0.756 0.959  -0.686 1.200  -0.560 1.412  -0.362 1.557  -0.134 1.542  0.067 1.399  0.232 1.210  0.374 1.002  0.484 0.779  0.537 0.536  0.470 0.294  0.308 0.109  0.096 -0.020  -0.140 -0.096  -0.295 0.007  -0.078 0.119  0.169 0.167  0.419 0.192  0.653 0.110  0.863 -0.026  1.035 -0.206  1.171 -0.416  1.273 -0.646  1.291 -0.893  1.119 -1.063  0.871 -1.103  0.622 -1.073  0.377 -1.023  0.140 -0.938  -0.097 -0.852  -0.333 -0.765
