2#kai#kai0#jhkim1/A  -1.107 -1.580  -1.050 -1.397  -1.050 -1.205  -0.999 -1.024  -0.928 -0.848  -0.897 -0.658  -0.851 -0.472  -0.790 -0.290  -0.714 -0.113  -0.622 0.055  -0.520 0.218  -0.434 0.390  -0.322 0.545  -0.230 0.711  -0.150 0.885  -0.051 1.050  0.090 1.176  0.224 1.309  0.310 1.481  0.371 1.646  0.425 1.463  0.425 1.270  0.441 1.080  0.488 0.894  0.534 0.707  0.539 0.515  0.585 0.337  0.652 0.165  0.675 -0.024  0.719 -0.211  0.757 -0.400  0.766 -0.591  0.819 -0.775  0.880 -0.957  0.880 -1.032  0.721 -0.924  0.562 -0.816  0.403 -0.708  0.244 -0.600  0.085 -0.492  -0.074 -0.384  -0.233 -0.276  -0.392 -0.168  -0.551 -0.060  -0.584 0.009  -0.391 0.009  -0.199 0.009  -0.007 0.009  0.185 0.009  0.368 0.066
2#kai#kai0#jhkim1/U  -0.954 1.289  -0.954 1.139  -0.954 0.989  -0.954 0.839  -0.954 0.689  -0.954 0.539  -0.956 0.390  -1.001 0.247  -1.001 0.097  -1.001 -0.053  -1.001 -0.203  -1.001 -0.353  -1.001 -0.503  -0.976 -0.647  -0.909 -0.781  -0.826 -0.906  -0.687 -0.926  -0.540 -0.899  -0.394 -0.864  -0.252 -0.817  -0.128 -0.746  -0.040 -0.624  0.066 -0.518  0.172 -0.412  0.276 -0.305  0.353 -0.176  0.433 -0.050  0.523 0.070  0.585 0.205  0.601 0.352  0.629 0.499  0.667 0.644  0.706 0.788  0.744 0.933  0.783 1.078  0.749 0.980  0.742 0.831  0.742 0.681  0.742 0.531  0.742 0.381  0.742 0.232  0.742 0.082  0.742 -0.068  0.742 -0.218  0.733 -0.367  0.708 -0.515  0.695 -0.664  0.695 -0.814  0.695 -0.964  0.695 -1.114
2#kai#kai0#jhkim1/W  -0.909 1.599  -0.909 1.418  -0.909 1.237  -0.909 1.057  -0.909 0.876  -0.909 0.695  -0.866 0.521  -0.860 0.342  -0.842 0.162  -0.820 -0.017  -0.810 -0.197  -0.772 -0.369  -0.697 -0.533  -0.660 -0.708  -0.592 -0.723  -0.495 -0.578  -0.448 -0.403  -0.396 -0.230  -0.354 -0.055  -0.318 0.123  -0.230 0.278  -0.165 0.446  -0.098 0.614  -0.016 0.632  0.037 0.467  0.037 0.286  0.037 0.105  0.068 -0.072  0.087 -0.250  0.087 -0.431  0.124 -0.606  0.164 -0.782  0.200 -0.959  0.235 -1.136  0.361 -1.265  0.531 -1.290  0.614 -1.131  0.709 -0.978  0.767 -0.809  0.806 -0.632  0.841 -0.455  0.877 -0.278  0.883 -0.098  0.933 0.075  0.949 0.253  1.007 0.424  1.049 0.600  1.079 0.778  1.132 0.950  1.282 1.051
2#kai#kai0#jhkim1/Z  -0.470 1.592  -0.286 1.592  -0.102 1.592  0.081 1.592  0.265 1.592  0.420 1.497  0.532 1.353  0.550 1.187  0.474 1.024  0.362 0.879  0.232 0.749  0.129 0.597  -0.014 0.482  -0.144 0.356  -0.235 0.196  -0.327 0.038  -0.438 -0.109  -0.528 -0.268  -0.598 -0.437  -0.619 -0.618  -0.535 -0.776  -0.386 -0.879  -0.230 -0.976  -0.068 -1.049  0.109 -1.081  0.280 -1.149  0.458 -1.193  0.641 -1.201  0.821 -1.237  0.963 -1.287  0.824 -1.167  0.685 -1.047  0.546 -0.927  0.407 -0.807  0.268 -0.686  0.130 -0.566  -0.009 -0.446  -0.148 -0.326  -0.287 -0.206  -0.426 -0.086  -0.565 0.034  -0.704 0.154  -0.843 0.275  -0.723 0.260  -0.541 0.247  -0.357 0.247  -0.174 0.247  0.010 0.247  0.194 0.247  0.377 0.247
2#kai#kai0#jhkim1/B  -0.511 1.408  -0.511 1.174  -0.511 0.940  -0.511 0.707  -0.511 0.473  -0.511 0.239  -0.511 0.005  -0.490 -0.225  -0.457 -0.454  -0.457 -0.687  -0.396 -0.903  -0.312 -1.118  -0.294 -1.349  -0.299 -1.446  -0.314 -1.213  -0.329 -0.980  -0.344 -0.746  -0.360 -0.513  -0.375 -0.280  -0.390 -0.046  -0.405 0.187  -0.420 0.420  -0.436 0.654  -0.451 0.887  -0.354 1.078  -0.152 1.185  0.080 1.192  0.314 1.192  0.548 1.192  0.777 1.170  0.963 1.046  0.923 0.860  0.734 0.722  0.527 0.617  0.305 0.544  0.079 0.486  -0.037 0.379  0.115 0.210  0.325 0.128  0.477 -0.044  0.644 -0.203  0.760 -0.403  0.853 -0.617  0.896 -0.840  0.775 -1.031  0.551 -1.095  0.346 -1.190  0.117 -1.222  -0.115 -1.244  -0.348 -1.244
2#kai#kai0#jhkim1/C  1.112 0.689  1.031 0.742  0.950 0.796  0.856 0.803  0.759 0.806  0.667 0.837  0.577 0.871  0.490 0.914  0.403 0.957  0.310 0.974  0.213 0.974  0.117 0.974  0.020 0.974  -0.077 0.974  -0.169 0.958  -0.250 0.904  -0.330 0.849  -0.407 0.791  -0.485 0.733  -0.544 0.666  -0.544 0.569  -0.564 0.477  -0.608 0.390  -0.651 0.303  -0.658 0.208  -0.658 0.111  -0.658 0.014  -0.653 -0.082  -0.634 -0.177  -0.615 -0.272  -0.591 -0.366  -0.555 -0.456  -0.519 -0.546  -0.480 -0.634  -0.422 -0.712  -0.364 -0.789  -0.300 -0.858  -0.208 -0.889  -0.119 -0.926  -0.035 -0.976  0.048 -1.025  0.131 -1.075  0.223 -1.102  0.317 -1.125  0.411 -1.152  0.502 -1.183  0.597 -1.205  0.692 -1.221  0.788 -1.237  0.883 -1.253
2#kai#kai0#jhkim1/F  -0.554 0.997  -0.403 0.997  -0.252 0.997  -0.105 1.032  0.045 1.041  0.196 1.041  0.347 1.041  0.494 1.067  0.643 1.085  0.794 1.085  0.944 1.085  0.797 1.050  0.651 1.014  0.504 0.979  0.357 0.943  0.210 0.908  0.063 0.872  -0.084 0.837  -0.231 0.801  -0.334 0.731  -0.334 0.580  -0.334 0.429  -0.334 0.277  -0.334 0.126  -0.334 -0.025  -0.334 -0.176  -0.334 -0.327  -0.334 -0.478  -0.334 -0.630  -0.334 -0.781  -0.327 -0.931  -0.298 -1.080  -0.263 -1.227  -0.246 -1.376  -0.222 -1.524  -0.153 -1.653  -0.117 -1.597  -0.122 -1.446  -0.128 -1.295  -0.134 -1.144  -0.139 -0.993  -0.145 -0.842  -0.150 -0.691  -0.156 -0.540  -0.056 -0.451  0.086 -0.414  0.235 -0.393  0.382 -0.356  0.529 -0.325  0.680 -0.325
2#kai#kai0#jhkim1/J  -0.796 0.970  -0.690 0.935  -0.580 0.923  -0.471 0.909  -0.365 0.874  -0.259 0.839  -0.149 0.829  -0.037 0.829  0.074 0.829  0.186 0.829  0.297 0.829  0.409 0.829  0.518 0.844  0.625 0.876  0.736 0.876  0.803 0.832  0.742 0.769  0.633 0.745  0.524 0.720  0.415 0.696  0.306 0.672  0.197 0.648  0.089 0.624  -0.020 0.599  -0.016 0.511  0.011 0.403  0.027 0.292  0.042 0.182  0.051 0.071  0.051 -0.041  0.051 -0.152  0.051 -0.264  0.051 -0.376  0.065 -0.485  0.098 -0.591  0.098 -0.703  0.098 -0.814  0.094 -0.926  0.067 -1.034  0.036 -1.141  -0.001 -1.246  -0.063 -1.339  -0.145 -1.408  -0.245 -1.458  -0.349 -1.498  -0.457 -1.522  -0.568 -1.520  -0.676 -1.493  -0.760 -1.440  -0.796 -1.334
2#kai#kai0#jhkim1/K  -0.901 1.150  -0.901 0.900  -0.878 0.653  -0.809 0.413  -0.785 0.167  -0.785 -0.083  -0.785 -0.333  -0.785 -0.583  -0.878 -0.815  -0.901 -1.061  -0.873 -1.296  -0.682 -1.332  -0.531 -1.132  -0.381 -0.933  -0.230 -0.733  -0.079 -0.534  0.071 -0.334  0.222 -0.135  0.372 0.065  0.523 0.264  0.674 0.464  0.824 0.663  0.975 0.863  1.126 1.062  1.276 1.262  1.385 1.427  1.164 1.311  0.969 1.155  0.801 0.973  0.648 0.775  0.492 0.580  0.290 0.434  0.106 0.267  -0.112 0.148  -0.285 -0.032  -0.435 -0.232  -0.611 -0.409  -0.612 -0.659  -0.504 -0.864  -0.398 -0.654  -0.296 -0.426  -0.193 -0.198  -0.091 0.030  0.012 0.258  0.094 0.073  0.203 -0.148  0.360 -0.342  0.537 -0.519  0.713 -0.695  0.890 -0.872
2#kai#kai0#jhkim1/P  -0.521 0.704  -0.521 0.529  -0.521 0.354  -0.521 0.179  -0.521 0.005  -0.521 -0.170  -0.521 -0.345  -0.521 -0.520  -0.471 -0.687  -0.463 -0.861  -0.411 -1.028  -0.363 -1.195  -0.269 -1.342  -0.223 -1.510  -0.184 -1.669  -0.192 -1.521  -0.213 -1.348  -0.234 -1.174  -0.255 -1.000  -0.276 -0.826  -0.296 -0.653  -0.317 -0.479  -0.338 -0.305  -0.359 -0.132  -0.380 0.042  -0.401 0.216  -0.421 0.390  -0.442 0.563  -0.463 0.737  -0.411 0.893  -0.299 1.026  -0.162 1.132  -0.004 1.206  0.166 1.248  0.340 1.251  0.500 1.199  0.648 1.106  0.798 1.016  0.909 0.883  1.014 0.743  1.119 0.603  1.216 0.458  1.201 0.290  1.077 0.166  0.923 0.085  0.760 0.022  0.594 -0.033  0.423 -0.070  0.250 -0.090  0.075 -0.090
2#kai#kai0#jhkim1/W  -1.162 1.249  -1.162 1.082  -1.155 0.917  -1.080 0.768  -1.005 0.619  -0.950 0.465  -0.950 0.298  -0.920 0.140  -0.834 -0.003  -0.775 -0.157  -0.742 -0.320  -0.738 -0.487  -0.738 -0.653  -0.724 -0.818  -0.682 -0.967  -0.608 -0.818  -0.547 -0.663  -0.527 -0.499  -0.465 -0.351  -0.400 -0.201  -0.352 -0.042  -0.277 0.108  -0.230 0.267  -0.164 0.417  -0.085 0.563  -0.041 0.610  -0.014 0.446  0.024 0.284  0.055 0.122  0.066 -0.042  0.140 -0.191  0.228 -0.333  0.267 -0.488  0.354 -0.608  0.445 -0.734  0.506 -0.877  0.648 -0.894  0.710 -0.739  0.807 -0.613  0.919 -0.499  0.978 -0.344  1.053 -0.195  1.108 -0.038  1.161 0.121  1.202 0.282  1.250 0.442  1.303 0.600  1.348 0.760  1.378 0.923  1.378 1.090
2#kai#kai0#jhkim1/X  0.878 1.465  0.793 1.296  0.715 1.122  0.645 0.946  0.529 0.800  0.394 0.665  0.271 0.523  0.165 0.365  0.060 0.207  -0.046 0.049  -0.191 -0.070  -0.287 -0.219  -0.349 -0.394  -0.483 -0.528  -0.603 -0.673  -0.688 -0.843  -0.705 -1.029  -0.753 -1.211  -0.641 -1.242  -0.631 -1.052  -0.622 -0.862  -0.612 -0.673  -0.603 -0.483  -0.593 -0.293  -0.584 -0.103  -0.574 0.086  -0.565 0.276  -0.555 0.466  -0.546 0.655  -0.536 0.845  -0.527 1.035  -0.517 1.224  -0.471 1.144  -0.411 0.964  -0.344 0.786  -0.274 0.610  -0.150 0.468  -0.016 0.334  0.048 0.156  0.174 0.017  0.317 -0.108  0.469 -0.222  0.626 -0.329  0.780 -0.439  0.932 -0.553  1.040 -0.709  1.145 -0.867  1.251 -1.025  1.321 -1.193  1.321 -1.383
2#kai#kai0#jhkim1/Y  -0.936 1.189  -0.886 1.038  -0.878 0.880  -0.841 0.727  -0.820 0.571  -0.815 0.412  -0.776 0.257  -0.761 0.100  -0.751 -0.057  -0.680 -0.199  -0.619 -0.346  -0.534 -0.429  -0.385 -0.374  -0.242 -0.303  -0.116 -0.209  -0.003 -0.097  0.109 0.016  0.227 0.123  0.352 0.222  0.469 0.326  0.520 0.478  0.628 0.593  0.741 0.706  0.833 0.835  0.921 0.968  1.024 1.072  1.153 1.060  1.041 0.947  0.928 0.834  0.815 0.722  0.702 0.609  0.590 0.496  0.477 0.384  0.364 0.271  0.252 0.158  0.139 0.046  0.026 -0.067  -0.086 -0.180  -0.199 -0.292  -0.210 -0.433  -0.177 -0.589  -0.177 -0.748  -0.177 -0.907  -0.177 -1.067  -0.177 -1.226  -0.177 -1.385  -0.177 -1.545  -0.177 -1.704  -0.177 -1.863  -0.177 -2.023
2#kai#kai0#jhkim1/Z  -0.839 1.537  -0.647 1.535  -0.465 1.473  -0.286 1.402  -0.106 1.334  0.080 1.293  0.272 1.290  0.459 1.243  0.552 1.096  0.489 0.930  0.351 0.801  0.191 0.694  0.032 0.585  -0.122 0.469  -0.276 0.354  -0.418 0.230  -0.488 0.053  -0.624 -0.083  -0.744 -0.233  -0.839 -0.394  -0.826 -0.584  -0.740 -0.746  -0.568 -0.832  -0.387 -0.898  -0.205 -0.959  -0.014 -0.972  0.173 -1.011  0.363 -1.033  0.537 -1.094  0.711 -1.155  0.899 -1.184  1.077 -1.257  1.020 -1.171  0.889 -1.030  0.757 -0.889  0.626 -0.748  0.495 -0.607  0.364 -0.467  0.233 -0.326  0.101 -0.185  -0.030 -0.044  -0.161 0.097  -0.292 0.238  -0.423 0.379  -0.523 0.468  -0.448 0.295  -0.294 0.180  -0.136 0.069  0.029 -0.029  0.201 -0.115
2#kai#kai0#jhkim1/C  0.745 0.766  0.665 0.827  0.584 0.887  0.503 0.946  0.420 1.002  0.334 1.048  0.233 1.048  0.133 1.048  0.033 1.048  -0.067 1.048  -0.166 1.043  -0.256 0.998  -0.346 0.953  -0.430 0.899  -0.510 0.839  -0.590 0.779  -0.643 0.695  -0.687 0.606  -0.725 0.514  -0.745 0.415  -0.764 0.317  -0.776 0.218  -0.776 0.117  -0.776 0.017  -0.776 -0.083  -0.749 -0.175  -0.693 -0.259  -0.634 -0.340  -0.572 -0.418  -0.509 -0.496  -0.447 -0.575  -0.377 -0.647  -0.306 -0.718  -0.222 -0.766  -0.125 -0.790  -0.028 -0.815  0.070 -0.839  0.167 -0.863  0.267 -0.867  0.367 -0.867  0.467 -0.867  0.568 -0.867  0.668 -0.867  0.768 -0.867  0.868 -0.867  0.969 -0.867  1.069 -0.867  1.168 -0.850  1.266 -0.830  1.364 -0.811
2#kai#kai0#jhkim1/E  -0.705 0.978  -0.502 0.978  -0.299 0.978  -0.096 0.978  0.106 0.978  0.307 0.999  0.506 1.035  0.709 1.035  0.911 1.027  1.014 0.952  0.842 0.845  0.669 0.738  0.497 0.631  0.325 0.524  0.152 0.417  -0.020 0.310  -0.192 0.203  -0.365 0.096  -0.537 -0.011  -0.452 -0.045  -0.250 -0.045  -0.047 -0.045  0.153 -0.015  0.352 0.012  0.553 -0.004  0.686 -0.025  0.515 0.085  0.345 0.196  0.175 0.306  0.005 0.417  -0.165 0.528  -0.335 0.638  -0.421 0.594  -0.495 0.413  -0.535 0.223  -0.535 0.020  -0.554 -0.182  -0.583 -0.383  -0.626 -0.581  -0.648 -0.781  -0.631 -0.982  -0.591 -1.181  -0.479 -1.350  -0.402 -1.531  -0.221 -1.622  -0.030 -1.690  0.173 -1.692  0.376 -1.692  0.571 -1.645  0.772 -1.635
2#kai#kai0#jhkim1/H  -0.895 1.214  -0.895 1.035  -0.895 0.856  -0.895 0.677  -0.874 0.499  -0.839 0.324  -0.796 0.150  -0.783 -0.028  -0.783 -0.207  -0.783 -0.386  -0.783 -0.565  -0.783 -0.745  -0.783 -0.924  -0.783 -1.103  -0.674 -1.153  -0.691 -0.975  -0.707 -0.796  -0.723 -0.618  -0.739 -0.439  -0.755 -0.261  -0.772 -0.082  -0.733 0.027  -0.560 -0.012  -0.381 -0.009  -0.207 0.034  -0.029 0.043  0.150 0.043  0.318 0.092  0.482 0.155  0.661 0.155  0.840 0.155  0.882 0.285  0.872 0.464  0.862 0.643  0.852 0.822  0.842 1.001  0.834 1.137  0.834 0.958  0.834 0.779  0.834 0.600  0.834 0.421  0.834 0.241  0.834 0.062  0.834 -0.117  0.834 -0.296  0.834 -0.475  0.834 -0.655  0.834 -0.834  0.886 -1.005  0.889 -1.183
2#kai#kai0#jhkim1/I  -0.531 1.098  -0.405 1.098  -0.278 1.098  -0.153 1.109  -0.031 1.140  0.094 1.153  0.220 1.153  0.347 1.153  0.473 1.153  0.599 1.153  0.715 1.109  0.637 1.083  0.512 1.065  0.387 1.047  0.262 1.030  0.137 1.012  0.012 0.994  -0.035 0.908  -0.035 0.781  -0.035 0.655  -0.035 0.529  -0.035 0.402  -0.035 0.276  -0.035 0.150  -0.035 0.023  -0.035 -0.103  -0.035 -0.230  -0.035 -0.356  -0.035 -0.482  -0.035 -0.609  -0.005 -0.728  0.052 -0.841  0.076 -0.962  0.076 -1.088  0.026 -1.157  -0.099 -1.140  -0.224 -1.122  -0.349 -1.104  -0.474 -1.086  -0.599 -1.068  -0.669 -1.054  -0.542 -1.054  -0.416 -1.054  -0.289 -1.054  -0.163 -1.054  -0.040 -1.028  0.083 -0.999  0.209 -0.999  0.336 -0.999  0.462 -0.999
