2#tos#f3#f3014059/!  0.116 1.572  0.043 1.572  0.017 1.572  0.054 1.537  0.054 1.464  0.054 1.391  0.054 1.318  0.054 1.245  0.054 1.172  0.054 1.099  0.054 1.026  0.054 0.953  0.054 0.880  0.054 0.807  0.054 0.734  0.054 0.661  0.054 0.588  0.058 0.515  0.076 0.444  0.093 0.374  0.111 0.303  0.116 0.230  0.116 0.157  0.116 0.084  0.116 0.011  0.116 -0.062  0.116 -0.135  0.115 -0.208  0.103 -0.280  0.091 -0.352  0.079 -0.424  0.067 -0.496  0.055 -0.568  0.043 -0.640  0.031 -0.712  0.019 -0.784  0.007 -0.856  -0.005 -0.928  -0.049 -0.983  -0.101 -1.035  -0.152 -1.086  -0.204 -1.138  -0.255 -1.190  -0.307 -1.241  -0.313 -1.312  -0.313 -1.385  -0.287 -1.431  -0.214 -1.431  -0.191 -1.481  -0.191 -1.554
2#tos#f3#f3014059/`  -0.642 0.903  -0.730 0.903  -0.818 0.903  -0.897 0.894  -0.897 0.806  -0.897 0.719  -0.914 0.648  -1.002 0.648  -1.089 0.648  -1.129 0.636  -1.051 0.597  -0.972 0.558  -0.894 0.519  -0.815 0.479  -0.737 0.440  -0.659 0.401  -0.642 0.323  -0.642 0.236  -0.642 0.148  -0.568 0.113  -0.485 0.086  -0.402 0.058  -0.319 0.030  -0.235 0.002  -0.152 -0.025  -0.069 -0.053  0.014 -0.081  0.098 -0.109  0.122 -0.179  0.122 -0.266  0.122 -0.354  0.192 -0.372  0.280 -0.372  0.368 -0.372  0.456 -0.372  0.543 -0.372  0.631 -0.372  0.710 -0.411  0.788 -0.450  0.867 -0.489  0.945 -0.528  1.024 -0.568  1.102 -0.607  1.181 -0.646  1.259 -0.685  1.338 -0.725  1.416 -0.764  1.495 -0.803  1.573 -0.842  1.652 -0.882
2#tos#f3#f3014059/{  0.470 1.382  0.451 1.303  0.393 1.342  0.294 1.342  0.232 1.378  0.137 1.382  0.049 1.358  -0.027 1.303  -0.086 1.263  -0.126 1.205  -0.152 1.117  -0.245 1.104  -0.245 1.005  -0.245 0.907  -0.240 0.809  -0.209 0.716  -0.166 0.627  -0.166 0.529  -0.166 0.430  -0.166 0.332  -0.166 0.233  -0.180 0.150  -0.206 0.076  -0.206 -0.022  -0.256 -0.100  -0.326 -0.169  -0.305 -0.169  -0.206 -0.169  -0.147 -0.208  -0.126 -0.285  -0.046 -0.304  -0.046 -0.403  -0.046 -0.501  -0.014 -0.592  -0.007 -0.689  -0.007 -0.787  -0.007 -0.886  -0.061 -0.951  -0.086 -1.034  -0.086 -1.132  -0.046 -1.191  -0.007 -1.249  0.020 -1.322  0.118 -1.322  0.217 -1.322  0.315 -1.322  0.414 -1.322  0.472 -1.282  0.571 -1.282  0.669 -1.282
2#tos#f3#f3014059/|  0.137 1.589  0.056 1.589  -0.025 1.589  -0.056 1.539  -0.056 1.458  -0.076 1.396  -0.120 1.360  -0.120 1.278  -0.120 1.197  -0.120 1.116  -0.120 1.035  -0.120 0.954  -0.120 0.872  -0.120 0.791  -0.120 0.710  -0.120 0.629  -0.109 0.559  -0.056 0.531  -0.056 0.450  -0.056 0.368  -0.031 0.291  -0.005 0.214  0.009 0.135  0.009 0.054  0.009 -0.027  0.009 -0.108  0.009 -0.190  0.009 -0.271  0.009 -0.352  0.009 -0.433  0.052 -0.471  0.073 -0.411  0.090 -0.482  0.107 -0.561  0.125 -0.640  0.142 -0.720  0.160 -0.799  0.178 -0.878  0.195 -0.957  0.165 -1.023  0.095 -1.051  0.014 -1.051  0.009 -1.126  0.009 -1.207  0.009 -1.288  0.009 -1.370  0.009 -1.451  0.009 -1.532  0.009 -1.613  0.009 -1.695
2#tos#f3#f3014059/~  -1.206 -0.201  -1.206 -0.304  -1.285 -0.327  -1.388 -0.327  -1.394 -0.232  -1.385 -0.138  -1.316 -0.092  -1.284 0.006  -1.213 0.051  -1.174 0.114  -1.080 0.122  -1.031 0.176  -0.954 0.201  -0.892 0.260  -0.795 0.292  -0.715 0.352  -0.618 0.365  -0.515 0.365  -0.412 0.365  -0.373 0.302  -0.324 0.248  -0.293 0.176  -0.193 0.171  -0.116 0.104  -0.025 0.058  0.051 -0.010  0.090 -0.075  0.129 -0.138  0.179 -0.191  0.209 -0.264  0.305 -0.270  0.351 -0.327  0.454 -0.327  0.556 -0.327  0.659 -0.327  0.762 -0.327  0.864 -0.327  0.900 -0.250  0.992 -0.204  1.094 -0.201  1.175 -0.150  1.210 -0.075  1.250 -0.012  1.278 0.079  1.366 0.114  1.406 0.176  1.439 0.246  1.439 0.349  1.525 0.365  1.502 0.365
2#tos#f3#f3014059/2  -0.435 1.155  -0.570 1.155  -0.705 1.155  -0.795 1.110  -0.675 1.138  -0.549 1.186  -0.417 1.206  -0.282 1.206  -0.148 1.206  -0.013 1.206  0.122 1.206  0.257 1.206  0.339 1.151  0.434 1.056  0.438 0.922  0.537 0.849  0.540 0.716  0.540 0.581  0.540 0.447  0.480 0.333  0.438 0.240  0.364 0.179  0.284 0.095  0.284 -0.040  0.263 -0.170  0.219 -0.290  0.105 -0.359  0.078 -0.482  0.001 -0.540  -0.083 -0.591  -0.179 -0.630  -0.249 -0.694  -0.333 -0.746  -0.416 -0.797  -0.488 -0.899  -0.589 -0.933  -0.706 -0.951  -0.697 -1.002  -0.563 -1.002  -0.428 -1.002  -0.293 -1.002  -0.158 -1.002  -0.023 -1.002  0.110 -0.992  0.238 -0.951  0.373 -0.951  0.508 -0.951  0.637 -0.928  0.765 -0.899  0.900 -0.899
2#tos#f3#f3014059/3  -0.350 0.741  -0.522 0.741  -0.694 0.741  -0.866 0.741  -0.915 0.846  -0.742 0.846  -0.611 0.887  -0.458 0.949  -0.297 0.986  -0.146 1.055  0.027 1.055  0.198 1.063  0.363 1.107  0.535 1.107  0.643 1.043  0.643 0.871  0.643 0.699  0.575 0.552  0.452 0.451  0.305 0.376  0.144 0.347  0.023 0.225  -0.043 0.114  -0.215 0.114  -0.387 0.114  -0.547 0.062  -0.502 0.062  -0.330 0.062  -0.158 0.062  0.014 0.062  0.187 0.062  0.294 -0.042  0.467 -0.042  0.587 -0.095  0.643 -0.254  0.643 -0.426  0.643 -0.599  0.643 -0.771  0.591 -0.931  0.501 -1.061  0.382 -1.170  0.278 -1.238  0.217 -1.349  0.044 -1.349  -0.106 -1.401  -0.238 -1.499  -0.408 -1.506  -0.580 -1.506  -0.752 -1.506  -0.820 -1.401
2#tos#f3#f3014059/4  -0.152 1.636  -0.260 1.536  -0.335 1.373  -0.406 1.178  -0.499 0.992  -0.615 0.822  -0.722 0.645  -0.754 0.444  -0.859 0.267  -0.941 0.076  -1.082 -0.072  -1.156 -0.241  -1.225 -0.422  -1.279 -0.522  -1.070 -0.522  -0.862 -0.522  -0.658 -0.554  -0.452 -0.573  -0.244 -0.573  -0.037 -0.557  0.167 -0.522  0.375 -0.516  0.551 -0.445  0.737 -0.422  0.946 -0.422  1.154 -0.422  1.296 -0.472  1.119 -0.416  1.010 -0.238  0.901 -0.060  0.792 0.118  0.683 0.296  0.574 0.474  0.465 0.652  0.356 0.830  0.247 1.008  0.099 1.066  0.099 0.857  0.099 0.648  0.141 0.449  0.150 0.243  0.150 0.034  0.150 -0.175  0.150 -0.383  0.150 -0.592  0.200 -0.792  0.200 -1.001  0.200 -1.210  0.200 -1.418  0.250 -1.577
2#tos#f3#f3014059/6  0.472 1.693  0.421 1.686  0.310 1.612  0.182 1.558  0.053 1.524  -0.013 1.392  -0.099 1.276  -0.145 1.149  -0.261 1.109  -0.349 0.992  -0.402 0.863  -0.402 0.716  -0.454 0.591  -0.475 0.448  -0.521 0.309  -0.557 0.168  -0.557 0.021  -0.557 -0.126  -0.600 -0.254  -0.660 -0.376  -0.660 -0.523  -0.660 -0.670  -0.660 -0.816  -0.599 -0.949  -0.534 -1.080  -0.422 -1.137  -0.288 -1.188  -0.141 -1.188  0.004 -1.177  0.147 -1.141  0.268 -1.068  0.405 -1.016  0.523 -0.932  0.575 -0.807  0.640 -0.725  0.726 -0.642  0.833 -0.552  0.833 -0.405  0.833 -0.259  0.833 -0.112  0.793 -0.005  0.678 0.027  0.552 0.047  0.405 0.047  0.279 -0.005  0.133 -0.005  -0.014 -0.005  -0.161 -0.005  -0.307 -0.005  -0.402 -0.056
2#tos#f3#f3014059/9  0.582 0.563  0.415 0.563  0.305 0.621  0.296 0.779  0.142 0.792  0.055 0.906  -0.112 0.906  -0.160 1.025  -0.275 1.077  -0.442 1.077  -0.609 1.077  -0.776 1.077  -0.845 0.979  -0.932 0.874  -0.959 0.711  -0.984 0.548  -1.016 0.386  -1.016 0.219  -1.016 0.052  -1.016 -0.115  -0.913 -0.179  -0.792 -0.289  -0.640 -0.350  -0.473 -0.350  -0.305 -0.350  -0.138 -0.350  -0.085 -0.236  0.076 -0.224  0.168 -0.085  0.317 -0.020  0.411 0.093  0.544 0.193  0.582 0.341  0.698 0.392  0.810 0.337  0.810 0.170  0.768 0.029  0.696 -0.094  0.678 -0.253  0.560 -0.372  0.525 -0.524  0.525 -0.691  0.508 -0.856  0.468 -1.016  0.468 -1.183  0.468 -1.350  0.468 -1.517  0.468 -1.684  0.401 -1.810  0.296 -1.891
2#tos#f3#f3014059/D  -0.365 1.071  -0.576 1.071  -0.562 0.928  -0.555 0.723  -0.555 0.512  -0.555 0.301  -0.547 0.092  -0.460 -0.065  -0.460 -0.276  -0.460 -0.487  -0.460 -0.698  -0.460 -0.909  -0.427 -1.107  -0.423 -1.122  -0.448 -0.912  -0.472 -0.703  -0.496 -0.493  -0.521 -0.283  -0.545 -0.074  -0.569 0.136  -0.594 0.346  -0.618 0.555  -0.643 0.765  -0.793 0.832  -0.678 0.737  -0.470 0.773  -0.260 0.785  -0.057 0.819  0.150 0.832  0.361 0.832  0.572 0.832  0.688 0.928  0.899 0.928  1.055 0.836  1.151 0.660  1.160 0.451  1.160 0.240  1.160 0.029  1.017 -0.075  1.017 -0.286  0.939 -0.437  0.874 -0.621  0.694 -0.692  0.636 -0.845  0.471 -0.918  0.361 -1.047  0.170 -1.130  -0.019 -1.210  -0.174 -1.311  -0.317 -1.312
2#tos#f3#f3014059/E  -0.026 0.948  -0.271 0.903  -0.493 0.776  -0.751 0.762  -0.711 0.762  -0.452 0.762  -0.198 0.814  0.044 0.901  0.304 0.901  0.500 1.030  0.758 1.040  0.987 1.146  1.118 1.176  0.867 1.109  0.616 1.043  0.366 0.976  0.115 0.910  -0.136 0.844  -0.387 0.777  -0.583 0.701  -0.583 0.441  -0.583 0.182  -0.583 -0.078  -0.583 -0.337  -0.583 -0.596  -0.583 -0.856  -0.599 -1.109  -0.713 -1.201  -0.638 -0.953  -0.564 -0.704  -0.489 -0.456  -0.435 -0.304  -0.180 -0.278  0.076 -0.258  0.289 -0.211  0.549 -0.211  0.762 -0.165  0.540 -0.298  0.317 -0.432  0.095 -0.565  -0.128 -0.699  -0.350 -0.832  -0.484 -1.040  -0.238 -1.046  0.021 -1.046  0.281 -1.046  0.540 -1.046  0.799 -1.046  1.059 -1.046  1.318 -1.046
2#tos#f3#f3014059/H  -0.638 0.923  -0.808 0.923  -0.838 0.782  -0.838 0.612  -0.838 0.442  -0.838 0.272  -0.838 0.102  -0.868 -0.065  -0.878 -0.234  -0.935 -0.390  -0.958 -0.555  -0.998 -0.716  -1.096 -0.852  -1.117 -1.013  -1.099 -0.941  -1.008 -0.797  -0.917 -0.653  -0.826 -0.509  -0.735 -0.366  -0.615 -0.275  -0.445 -0.275  -0.275 -0.274  -0.120 -0.209  0.034 -0.155  0.191 -0.124  0.341 -0.075  0.485 0.004  0.639 0.020  0.687 0.150  0.698 0.320  0.710 0.489  0.722 0.659  0.733 0.829  0.745 0.998  0.757 1.168  0.719 1.083  0.679 0.953  0.796 0.845  0.799 0.677  0.799 0.507  0.799 0.337  0.799 0.167  0.799 -0.003  0.799 -0.173  0.799 -0.343  0.799 -0.513  0.799 -0.683  0.799 -0.853  0.799 -1.023  0.799 -1.193
2#tos#f3#f3014059/I  -0.406 1.093  -0.536 1.085  -0.433 1.050  -0.295 1.050  -0.157 1.050  -0.023 1.069  0.110 1.093  0.238 1.134  0.376 1.137  0.514 1.137  0.609 1.180  0.522 1.211  0.389 1.249  0.255 1.256  0.156 1.189  0.114 1.093  0.113 0.956  0.113 0.818  0.113 0.680  0.095 0.544  0.070 0.409  0.070 0.271  0.070 0.133  0.070 -0.006  0.070 -0.144  0.055 -0.278  -0.007 -0.402  -0.017 -0.538  -0.017 -0.676  -0.017 -0.814  0.015 -0.896  -0.123 -0.885  -0.261 -0.873  -0.398 -0.862  -0.536 -0.854  -0.674 -0.854  -0.752 -0.914  -0.752 -1.052  -0.633 -1.070  -0.494 -1.070  -0.356 -1.070  -0.221 -1.062  -0.106 -0.985  0.032 -0.984  0.167 -0.966  0.301 -0.941  0.440 -0.941  0.578 -0.941  0.712 -0.910  0.849 -0.897
2#tos#f3#f3014059/J  -0.282 1.000  -0.388 0.963  -0.490 0.924  -0.497 0.888  -0.388 0.915  -0.275 0.925  -0.166 0.946  -0.056 0.963  0.057 0.976  0.167 1.000  0.281 1.000  0.384 1.028  0.494 1.038  0.608 1.038  0.671 1.022  0.578 0.955  0.485 0.889  0.392 0.823  0.299 0.756  0.207 0.690  0.101 0.662  0.056 0.594  0.093 0.495  0.101 0.383  0.165 0.290  0.168 0.177  0.168 0.063  0.168 -0.051  0.170 -0.164  0.206 -0.242  0.206 -0.356  0.206 -0.470  0.206 -0.584  0.206 -0.698  0.206 -0.813  0.206 -0.927  0.206 -1.041  0.168 -1.140  0.093 -1.222  0.013 -1.279  -0.095 -1.315  -0.170 -1.365  -0.284 -1.365  -0.398 -1.365  -0.489 -1.309  -0.580 -1.252  -0.688 -1.233  -0.777 -1.164  -0.828 -1.062  -0.883 -0.990
2#tos#f3#f3014059/K  -0.464 1.564  -0.667 1.589  -0.667 1.394  -0.667 1.167  -0.586 0.974  -0.586 0.747  -0.586 0.520  -0.586 0.293  -0.586 0.066  -0.550 -0.156  -0.531 -0.380  -0.505 -0.603  -0.505 -0.829  -0.505 -1.056  -0.519 -1.274  -0.542 -1.164  -0.454 -0.955  -0.366 -0.746  -0.278 -0.537  -0.189 -0.328  -0.101 -0.119  -0.013 0.090  0.075 0.299  0.163 0.508  0.251 0.717  0.340 0.926  0.428 1.135  0.506 1.297  0.417 1.160  0.312 0.980  0.201 0.783  0.110 0.576  0.066 0.373  -0.054 0.195  -0.122 -0.006  -0.181 -0.215  -0.287 -0.386  -0.209 -0.250  -0.101 -0.055  -0.060 -0.192  0.123 -0.270  0.264 -0.402  0.455 -0.488  0.590 -0.622  0.751 -0.782  0.934 -0.886  1.111 -1.023  1.314 -1.104  1.413 -1.259  1.639 -1.267
2#tos#f3#f3014059/L  -0.358 1.444  -0.448 1.444  -0.511 1.472  -0.506 1.482  -0.434 1.442  -0.434 1.351  -0.396 1.299  -0.393 1.209  -0.358 1.127  -0.358 1.036  -0.358 0.946  -0.358 0.855  -0.358 0.765  -0.332 0.679  -0.320 0.590  -0.320 0.500  -0.320 0.409  -0.320 0.319  -0.320 0.228  -0.320 0.138  -0.320 0.047  -0.320 -0.043  -0.348 -0.129  -0.358 -0.218  -0.358 -0.309  -0.358 -0.399  -0.358 -0.490  -0.358 -0.580  -0.358 -0.671  -0.328 -0.731  -0.243 -0.737  -0.201 -0.808  -0.111 -0.808  -0.020 -0.808  0.070 -0.808  0.161 -0.808  0.251 -0.808  0.342 -0.808  0.431 -0.801  0.519 -0.779  0.608 -0.770  0.699 -0.770  0.789 -0.770  0.880 -0.770  0.970 -0.770  1.015 -0.696  1.104 -0.693  1.194 -0.693  1.283 -0.692  1.245 -0.617
2#tos#f3#f3014059/M  -0.651 -0.990  -0.789 -1.029  -0.843 -1.128  -0.905 -1.067  -0.920 -0.929  -0.959 -0.791  -0.959 -0.637  -0.959 -0.483  -0.959 -0.329  -0.929 -0.179  -0.920 -0.026  -0.920 0.128  -0.920 0.282  -0.814 0.346  -0.739 0.476  -0.663 0.586  -0.613 0.690  -0.548 0.701  -0.497 0.598  -0.421 0.469  -0.344 0.347  -0.344 0.193  -0.344 0.039  -0.267 -0.038  -0.260 -0.100  -0.214 0.038  -0.107 0.137  -0.038 0.275  0.025 0.386  0.088 0.526  0.128 0.663  0.279 0.670  0.387 0.734  0.487 0.802  0.635 0.817  0.779 0.801  0.869 0.698  0.913 0.559  0.964 0.426  0.964 0.272  1.066 0.176  1.093 0.030  1.117 -0.121  1.117 -0.275  1.117 -0.429  1.117 -0.583  1.156 -0.721  1.156 -0.875  1.194 -0.990  1.194 -1.144
2#tos#f3#f3014059/N  -0.712 -0.793  -0.771 -0.909  -0.884 -0.886  -0.927 -0.777  -0.927 -0.625  -0.927 -0.472  -0.927 -0.320  -0.927 -0.168  -0.927 -0.016  -0.927 0.136  -0.927 0.288  -0.927 0.440  -0.927 0.593  -0.927 0.745  -0.912 0.882  -0.803 0.925  -0.676 0.846  -0.569 0.739  -0.540 0.598  -0.461 0.481  -0.319 0.424  -0.276 0.298  -0.238 0.152  -0.154 0.084  -0.113 -0.058  -0.029 -0.185  0.061 -0.300  0.154 -0.414  0.233 -0.541  0.329 -0.642  0.428 -0.753  0.469 -0.879  0.577 -0.924  0.688 -0.965  0.792 -0.917  0.812 -0.773  0.864 -0.634  0.878 -0.484  0.878 -0.332  0.882 -0.180  0.921 -0.034  0.921 0.118  0.921 0.270  0.921 0.422  0.940 0.572  0.964 0.721  1.006 0.855  1.006 1.008  1.006 1.160  1.006 1.226
