2#apa#apa13#app1357/0  0.126 1.137  -0.014 1.137  -0.154 1.137  -0.260 1.103  -0.338 1.040  -0.381 0.944  -0.453 0.876  -0.532 0.768  -0.601 0.648  -0.646 0.518  -0.646 0.378  -0.703 0.252  -0.743 0.121  -0.743 -0.019  -0.772 -0.147  -0.839 -0.259  -0.839 -0.399  -0.839 -0.539  -0.783 -0.656  -0.743 -0.779  -0.743 -0.919  -0.691 -1.038  -0.570 -1.083  -0.430 -1.083  -0.290 -1.083  -0.150 -1.083  -0.010 -1.083  0.130 -1.081  0.255 -1.018  0.368 -0.938  0.480 -0.858  0.605 -0.795  0.705 -0.697  0.804 -0.598  0.901 -0.498  0.964 -0.372  0.995 -0.240  0.995 -0.099  0.995 0.041  0.991 0.180  0.928 0.305  0.846 0.416  0.747 0.515  0.648 0.614  0.534 0.692  0.410 0.756  0.309 0.852  0.183 0.915  0.058 0.978  -0.067 1.040
2#apa#apa13#app1357/b  -0.529 1.665  -0.529 1.495  -0.529 1.324  -0.529 1.154  -0.529 0.983  -0.529 0.813  -0.529 0.642  -0.529 0.471  -0.529 0.301  -0.529 0.130  -0.529 -0.040  -0.529 -0.211  -0.529 -0.381  -0.529 -0.552  -0.524 -0.551  -0.512 -0.381  -0.501 -0.211  -0.490 -0.041  -0.478 0.129  -0.467 0.300  -0.456 0.470  -0.444 0.640  -0.425 0.802  -0.255 0.802  -0.084 0.802  0.086 0.802  0.223 0.721  0.382 0.682  0.533 0.603  0.653 0.483  0.774 0.362  0.895 0.241  1.006 0.117  1.006 -0.054  1.053 -0.205  1.101 -0.355  1.101 -0.526  1.101 -0.696  0.978 -0.760  0.858 -0.880  0.717 -0.973  0.564 -1.049  0.416 -1.131  0.279 -1.212  0.108 -1.212  -0.062 -1.212  -0.233 -1.212  -0.364 -1.117  -0.505 -1.045  -0.625 -0.925
2#apa#apa13#app1357/e  -0.156 -0.185  -0.010 -0.180  0.121 -0.114  0.252 -0.047  0.356 0.057  0.491 0.085  0.519 0.204  0.650 0.220  0.658 0.362  0.724 0.494  0.789 0.625  0.790 0.772  0.766 0.896  0.619 0.896  0.486 0.929  0.380 1.031  0.233 1.031  0.086 1.031  -0.061 1.031  -0.193 0.994  -0.299 0.896  -0.445 0.889  -0.584 0.843  -0.724 0.796  -0.847 0.730  -0.912 0.599  -0.967 0.465  -0.967 0.318  -0.967 0.171  -0.967 0.023  -0.967 -0.124  -0.967 -0.271  -0.967 -0.418  -0.889 -0.533  -0.773 -0.620  -0.641 -0.685  -0.521 -0.766  -0.413 -0.861  -0.266 -0.861  -0.121 -0.872  0.019 -0.919  0.158 -0.965  0.301 -0.996  0.448 -0.996  0.595 -0.996  0.742 -0.996  0.889 -0.996  1.036 -0.996  1.183 -0.996  1.330 -0.996
2#apa#apa13#app1357/f  0.055 -0.380  0.174 -0.270  0.288 -0.148  0.476 -0.051  0.565 0.130  0.722 0.294  0.824 0.499  0.824 0.727  0.824 0.956  0.727 1.144  0.604 1.322  0.482 1.499  0.293 1.596  0.065 1.596  -0.132 1.518  -0.237 1.376  -0.274 1.185  -0.274 0.956  -0.274 0.728  -0.274 0.500  -0.274 0.271  -0.274 0.043  -0.178 -0.146  -0.164 -0.369  -0.011 -0.533  0.055 -0.734  0.157 -0.921  0.165 -1.146  0.165 -1.374  0.155 -1.576  -0.000 -1.409  -0.156 -1.242  -0.311 -1.074  -0.467 -0.907  -0.622 -0.739  -0.778 -0.572  -0.933 -0.405  -1.088 -0.237  -1.244 -0.070  -1.105 -0.160  -0.877 -0.160  -0.648 -0.160  -0.420 -0.160  -0.191 -0.160  0.037 -0.160  0.265 -0.160  0.494 -0.160  0.710 -0.213  0.925 -0.270  1.153 -0.270
2#apa#apa13#app1357/o  -1.037 0.466  -1.141 0.466  -1.147 0.368  -1.147 0.265  -1.147 0.161  -1.147 0.057  -1.147 -0.047  -1.147 -0.150  -1.103 -0.236  -1.033 -0.311  -0.986 -0.404  -0.940 -0.497  -0.874 -0.575  -0.793 -0.631  -0.689 -0.631  -0.589 -0.640  -0.516 -0.713  -0.424 -0.741  -0.320 -0.741  -0.216 -0.741  -0.113 -0.741  -0.009 -0.741  0.085 -0.716  0.158 -0.643  0.257 -0.631  0.352 -0.595  0.445 -0.548  0.529 -0.491  0.603 -0.417  0.676 -0.344  0.749 -0.271  0.823 -0.197  0.896 -0.124  0.937 -0.037  0.937 0.066  0.937 0.170  0.937 0.274  0.937 0.377  0.937 0.481  0.933 0.584  0.887 0.677  0.840 0.769  0.775 0.848  0.697 0.915  0.604 0.962  0.511 1.008  0.435 1.078  0.355 1.141  0.262 1.187  0.169 1.234
2#apa#apa13#app1357/r  -0.893 1.068  -0.823 0.929  -0.754 0.790  -0.661 0.667  -0.554 0.557  -0.554 0.401  -0.554 0.246  -0.554 0.090  -0.502 -0.053  -0.432 -0.192  -0.384 -0.336  -0.360 -0.481  -0.250 -0.591  -0.215 -0.732  -0.215 -0.887  -0.160 -1.020  -0.050 -1.130  0.060 -1.240  0.124 -1.369  0.124 -1.421  0.086 -1.303  -0.046 -1.280  -0.052 -1.127  -0.162 -1.017  -0.215 -0.884  -0.215 -0.728  -0.215 -0.573  -0.215 -0.418  -0.215 -0.262  -0.223 -0.110  -0.333 -0.000  -0.384 0.134  -0.384 0.289  -0.384 0.445  -0.384 0.600  -0.358 0.729  -0.203 0.729  -0.047 0.729  0.108 0.729  0.264 0.729  0.419 0.729  0.574 0.729  0.730 0.729  0.885 0.729  1.041 0.729  1.196 0.729  1.351 0.729  1.507 0.729  1.662 0.729  1.818 0.729
2#apa#apa13#app1357/e  -0.182 0.131  -0.063 0.160  0.038 0.241  0.155 0.300  0.253 0.384  0.345 0.476  0.364 0.599  0.364 0.730  0.273 0.770  0.233 0.860  0.110 0.896  -0.007 0.951  -0.138 0.951  -0.243 0.889  -0.362 0.860  -0.489 0.843  -0.606 0.785  -0.705 0.701  -0.815 0.634  -0.928 0.569  -1.020 0.477  -1.092 0.376  -1.092 0.245  -1.092 0.114  -1.092 -0.016  -1.088 -0.146  -0.996 -0.238  -0.903 -0.330  -0.811 -0.423  -0.715 -0.506  -0.584 -0.506  -0.463 -0.547  -0.344 -0.597  -0.213 -0.597  -0.083 -0.601  0.034 -0.659  0.158 -0.688  0.288 -0.688  0.419 -0.688  0.550 -0.688  0.681 -0.688  0.807 -0.662  0.931 -0.620  1.058 -0.597  1.189 -0.597  1.320 -0.597  1.450 -0.597  1.581 -0.597  1.704 -0.564  1.821 -0.506
2#apa#apa13#app1357/'  1.302 1.051  1.252 1.000  1.202 0.950  1.151 0.900  1.101 0.849  1.050 0.799  1.000 0.748  0.941 0.717  0.870 0.717  0.798 0.717  0.727 0.717  0.655 0.717  0.599 0.681  0.549 0.631  0.498 0.580  0.448 0.530  0.397 0.479  0.347 0.429  0.296 0.378  0.246 0.328  0.195 0.277  0.145 0.227  0.094 0.176  0.044 0.126  -0.007 0.075  -0.057 0.025  -0.108 -0.026  -0.158 -0.076  -0.209 -0.127  -0.259 -0.177  -0.310 -0.227  -0.360 -0.278  -0.411 -0.328  -0.461 -0.379  -0.511 -0.429  -0.562 -0.480  -0.612 -0.530  -0.663 -0.581  -0.713 -0.631  -0.764 -0.682  -0.814 -0.732  -0.865 -0.783  -0.915 -0.833  -0.966 -0.884  -1.016 -0.934  -1.033 -0.999  -1.033 -1.070  -1.033 -1.141  -1.033 -1.213  -1.033 -1.284
2#apa#apa13#app1357/6  -0.201 1.352  -0.300 1.322  -0.360 1.254  -0.398 1.163  -0.519 1.155  -0.595 1.102  -0.678 1.056  -0.745 0.955  -0.808 0.844  -0.891 0.750  -0.891 0.621  -0.891 0.492  -0.891 0.363  -0.891 0.234  -0.891 0.105  -0.891 -0.024  -0.891 -0.153  -0.891 -0.281  -0.830 -0.385  -0.739 -0.476  -0.640 -0.557  -0.533 -0.629  -0.426 -0.700  -0.330 -0.786  -0.214 -0.817  -0.085 -0.817  0.044 -0.817  0.172 -0.817  0.301 -0.817  0.430 -0.817  0.559 -0.817  0.677 -0.773  0.793 -0.715  0.908 -0.657  1.028 -0.620  1.135 -0.566  1.180 -0.456  1.180 -0.327  1.180 -0.198  1.180 -0.070  1.092 -0.028  0.998 0.055  0.886 0.118  0.769 0.169  0.641 0.169  0.512 0.169  0.383 0.169  0.254 0.169  0.125 0.169  -0.004 0.169
2#apa#apa13#app1357/  0.909 1.366  0.909 1.295  0.867 1.267  0.810 1.253  0.810 1.182  0.770 1.128  0.720 1.077  0.670 1.027  0.619 0.977  0.569 0.927  0.519 0.877  0.469 0.826  0.419 0.776  0.378 0.718  0.338 0.659  0.299 0.600  0.259 0.541  0.220 0.482  0.187 0.420  0.155 0.356  0.123 0.293  0.079 0.238  0.029 0.188  -0.009 0.129  -0.040 0.065  -0.072 0.002  -0.104 -0.062  -0.136 -0.125  -0.167 -0.189  -0.199 -0.252  -0.231 -0.316  -0.263 -0.379  -0.299 -0.439  -0.349 -0.490  -0.394 -0.543  -0.426 -0.607  -0.458 -0.670  -0.490 -0.734  -0.521 -0.797  -0.553 -0.861  -0.585 -0.924  -0.585 -0.995  -0.585 -1.066  -0.595 -1.133  -0.645 -1.183  -0.684 -1.238  -0.684 -1.309  -0.684 -1.380  -0.684 -1.451  -0.684 -1.522
2#apa#apa13#app1357/7  -1.301 0.951  -1.108 0.951  -0.957 1.052  -0.764 1.052  -0.571 1.052  -0.379 1.052  -0.186 1.052  0.007 1.052  0.200 1.052  0.393 1.052  0.566 1.005  0.620 0.835  0.616 0.643  0.519 0.491  0.473 0.344  0.418 0.206  0.327 0.051  0.263 -0.115  0.198 -0.281  0.073 -0.426  -0.034 -0.587  -0.087 -0.764  -0.087 -0.956  -0.189 -1.107  -0.189 -1.300  -0.177 -1.488  -0.021 -1.577  -0.064 -1.439  -0.159 -1.271  -0.253 -1.103  -0.348 -0.935  -0.442 -0.767  -0.537 -0.599  -0.631 -0.431  -0.726 -0.263  -0.820 -0.095  -0.859 0.041  -0.666 0.041  -0.473 0.041  -0.286 0.076  -0.103 0.137  0.089 0.142  0.282 0.142  0.475 0.142  0.667 0.142  0.860 0.142  1.053 0.142  1.246 0.142  1.439 0.142  1.631 0.142
2#apa#apa13#app1357/  0.832 1.391  0.761 1.391  0.720 1.362  0.720 1.291  0.678 1.238  0.629 1.188  0.608 1.126  0.608 1.055  0.558 1.005  0.508 0.955  0.458 0.905  0.408 0.855  0.384 0.794  0.384 0.724  0.354 0.660  0.323 0.597  0.291 0.534  0.257 0.472  0.217 0.413  0.178 0.355  0.139 0.296  0.100 0.237  0.061 0.178  0.027 0.116  -0.005 0.053  -0.037 -0.010  -0.068 -0.073  -0.100 -0.136  -0.131 -0.200  -0.163 -0.263  -0.195 -0.326  -0.226 -0.389  -0.258 -0.452  -0.289 -0.516  -0.321 -0.579  -0.353 -0.642  -0.384 -0.705  -0.416 -0.768  -0.447 -0.831  -0.479 -0.895  -0.511 -0.958  -0.542 -1.021  -0.574 -1.084  -0.605 -1.147  -0.624 -1.214  -0.624 -1.284  -0.665 -1.338  -0.715 -1.388  -0.736 -1.450  -0.736 -1.521
2#apa#apa13#app1357/8  -0.489 0.147  -0.567 0.043  -0.646 -0.062  -0.790 -0.155  -0.864 -0.271  -0.907 -0.411  -0.907 -0.594  -0.907 -0.777  -0.803 -0.856  -0.704 -0.998  -0.574 -1.127  -0.433 -1.241  -0.268 -1.318  -0.085 -1.318  0.098 -1.318  0.270 -1.291  0.421 -1.213  0.561 -1.108  0.720 -1.051  0.767 -0.887  0.767 -0.704  0.767 -0.521  0.666 -0.380  0.589 -0.271  0.451 -0.164  0.310 -0.062  0.235 0.051  0.092 0.147  -0.022 0.260  -0.123 0.410  -0.279 0.467  -0.363 0.566  -0.442 0.670  -0.489 0.807  -0.489 0.990  -0.405 1.089  -0.265 1.194  -0.109 1.259  0.058 1.298  0.241 1.298  0.424 1.298  0.503 1.194  0.581 1.089  0.662 0.987  0.662 0.804  0.618 0.648  0.454 0.566  0.453 0.384  0.314 0.287  0.244 0.147
2#apa#apa13#app1357/9  0.507 0.147  0.620 0.182  0.620 0.330  0.694 0.448  0.734 0.580  0.728 0.727  0.662 0.859  0.620 0.998  0.530 1.056  0.418 1.144  0.280 1.169  0.132 1.169  -0.016 1.169  -0.134 1.096  -0.266 1.056  -0.401 1.000  -0.533 0.933  -0.666 0.867  -0.771 0.773  -0.837 0.640  -0.856 0.497  -0.856 0.348  -0.856 0.200  -0.856 0.052  -0.764 -0.058  -0.625 -0.080  -0.481 -0.097  -0.348 -0.164  -0.207 -0.193  -0.059 -0.193  0.090 -0.193  0.238 -0.193  0.355 -0.118  0.487 -0.080  0.609 -0.091  0.504 -0.196  0.399 -0.301  0.294 -0.405  0.190 -0.510  0.115 -0.637  0.052 -0.770  0.021 -0.906  -0.061 -1.020  -0.061 -1.168  -0.061 -1.316  -0.061 -1.464  -0.061 -1.613  -0.061 -1.761  -0.053 -1.906  0.052 -2.010
