3#apa#apa14#app1401/s  -0.583 1.252  -0.659 1.176  -0.753 1.146  -0.795 1.081  -0.862 1.040  -0.901 0.972  -0.901 0.865  -0.831 0.828  -0.724 0.828  -0.616 0.828  -0.509 0.828  -0.402 0.828  -0.295 0.828  -0.188 0.828  -0.104 0.773  -0.019 0.711  0.082 0.677  0.184 0.643  0.287 0.616  0.387 0.600  0.463 0.524  0.538 0.449  0.583 0.360  0.583 0.253  0.616 0.159  0.689 0.082  0.689 -0.025  0.689 -0.132  0.689 -0.239  0.689 -0.346  0.689 -0.453  0.689 -0.560  0.689 -0.667  0.683 -0.773  0.635 -0.869  0.587 -0.965  0.485 -0.973  0.407 -1.043  0.315 -1.079  0.207 -1.079  0.100 -1.079  -0.007 -1.079  -0.114 -1.079  -0.221 -1.079  -0.328 -1.079  -0.416 -1.034  -0.498 -0.973  -0.593 -0.953  -0.641 -0.857  -0.689 -0.761
3#apa#apa14#app1401/i  0.153 -0.223  0.153 -0.324  0.153 -0.426  0.153 -0.527  0.153 -0.629  0.153 -0.730  0.153 -0.832  0.167 -0.930  0.213 -1.021  0.258 -1.112  0.267 -1.211  0.267 -1.313  0.267 -1.414  0.256 -1.423  0.233 -1.324  0.210 -1.225  0.188 -1.126  0.165 -1.027  0.142 -0.928  0.119 -0.829  0.096 -0.730  0.073 -0.631  0.051 -0.532  0.028 -0.433  0.005 -0.334  -0.018 -0.236  -0.041 -0.137  -0.064 -0.038  -0.086 0.061  -0.109 0.160  -0.132 0.259  -0.155 0.358  -0.178 0.457  -0.201 0.556  -0.223 0.655  -0.246 0.754  -0.269 0.853  -0.292 0.952  -0.315 1.051  -0.338 1.150  -0.360 1.249  -0.383 1.348  -0.406 1.447  -0.343 1.477  -0.241 1.477  -0.139 1.477  -0.038 1.477  0.064 1.477  0.165 1.477  0.267 1.477
3#apa#apa14#app1401/m  -1.206 0.502  -1.206 0.332  -1.130 0.193  -1.090 0.040  -1.090 -0.130  -1.090 -0.300  -1.090 -0.469  -1.090 -0.639  -1.090 -0.740  -1.028 -0.596  -0.974 -0.448  -0.952 -0.288  -0.841 -0.160  -0.766 -0.009  -0.741 0.155  -0.623 0.277  -0.547 0.429  -0.448 0.564  -0.394 0.712  -0.290 0.838  -0.162 0.812  -0.203 0.652  -0.278 0.499  -0.278 0.330  -0.278 0.160  -0.278 -0.010  -0.278 -0.180  -0.239 -0.310  -0.162 -0.404  -0.016 -0.426  0.154 -0.426  0.317 -0.410  0.438 -0.290  0.558 -0.170  0.678 -0.050  0.765 0.083  0.836 0.224  0.956 0.344  0.997 0.497  1.148 0.536  1.229 0.563  1.229 0.393  1.229 0.223  1.229 0.053  1.229 -0.117  1.229 -0.286  1.295 -0.441  1.345 -0.599  1.423 -0.736  1.577 -0.774
3#apa#apa14#app1401/.  0.000 1.698  0.000 1.628  0.000 1.559  0.000 1.490  0.000 1.421  0.000 1.351  0.000 1.282  0.000 1.213  0.000 1.143  0.000 1.074  0.000 1.005  0.000 0.936  0.000 0.866  0.000 0.797  0.000 0.728  0.000 0.658  0.000 0.589  0.000 0.520  0.000 0.450  0.000 0.381  0.000 0.312  0.000 0.243  0.000 0.173  0.000 0.104  0.000 0.035  0.000 -0.035  0.000 -0.104  0.000 -0.173  0.000 -0.243  0.000 -0.312  0.000 -0.381  0.000 -0.450  0.000 -0.520  0.000 -0.589  0.000 -0.658  0.000 -0.728  0.000 -0.797  0.000 -0.866  0.000 -0.936  0.000 -1.005  0.000 -1.074  0.000 -1.143  0.000 -1.213  0.000 -1.282  0.000 -1.351  0.000 -1.421  0.000 -1.490  0.000 -1.559  0.000 -1.628  0.000 -1.698
3#apa#apa14#app1401/\"  -1.263 0.975  -1.263 1.151  -1.150 1.057  -1.068 0.915  -1.038 0.750  -0.914 0.626  -0.789 0.501  -0.679 0.370  -0.679 0.193  -0.679 0.017  -0.607 -0.142  -0.528 -0.300  -0.485 -0.467  -0.441 -0.625  -0.316 -0.749  -0.291 -0.915  -0.168 -0.969  -0.022 -1.043  0.098 -1.170  0.098 -1.346  0.085 -1.193  0.072 -1.018  0.058 -0.842  0.045 -0.666  0.031 -0.490  0.018 -0.314  0.004 -0.138  -0.009 0.038  -0.023 0.214  -0.036 0.390  -0.050 0.566  -0.063 0.742  -0.077 0.918  -0.091 1.094  -0.025 1.098  0.100 0.973  0.225 0.848  0.292 0.700  0.337 0.542  0.461 0.417  0.586 0.292  0.711 0.167  0.836 0.043  0.876 -0.117  0.948 -0.264  1.073 -0.388  1.231 -0.467  1.389 -0.546  1.528 -0.650  1.653 -0.775
3#apa#apa14#app1401/N  -0.785 0.834  -0.785 0.601  -0.785 0.368  -0.785 0.135  -0.785 -0.098  -0.785 -0.330  -0.785 -0.563  -0.721 -0.769  -0.694 -0.991  -0.610 -1.130  -0.657 -0.902  -0.704 -0.674  -0.752 -0.447  -0.799 -0.219  -0.847 0.009  -0.894 0.237  -0.942 0.465  -0.989 0.693  -1.037 0.921  -0.957 0.924  -0.768 0.817  -0.668 0.626  -0.540 0.435  -0.391 0.259  -0.227 0.094  -0.062 -0.070  0.055 -0.265  0.252 -0.385  0.417 -0.549  0.582 -0.714  0.773 -0.814  0.833 -0.756  0.812 -0.524  0.791 -0.292  0.770 -0.060  0.748 0.171  0.727 0.403  0.706 0.635  0.685 0.867  0.664 1.099  0.845 1.007  0.845 0.774  0.908 0.552  0.935 0.323  0.935 0.091  1.007 -0.125  1.026 -0.354  1.116 -0.549  1.116 -0.782  1.207 -0.977
3#apa#apa14#app1401/o  -0.970 0.343  -1.048 0.266  -1.087 0.172  -1.087 0.062  -1.087 -0.048  -1.087 -0.158  -1.087 -0.269  -1.072 -0.372  -0.994 -0.450  -0.970 -0.550  -0.921 -0.640  -0.843 -0.718  -0.765 -0.796  -0.667 -0.824  -0.557 -0.824  -0.447 -0.824  -0.337 -0.824  -0.227 -0.824  -0.119 -0.813  -0.014 -0.778  0.090 -0.743  0.195 -0.708  0.305 -0.707  0.404 -0.662  0.502 -0.613  0.590 -0.548  0.668 -0.471  0.745 -0.393  0.823 -0.315  0.898 -0.236  0.898 -0.126  0.898 -0.016  0.898 0.094  0.898 0.205  0.898 0.315  0.898 0.425  0.845 0.513  0.767 0.591  0.689 0.669  0.612 0.746  0.539 0.828  0.490 0.926  0.440 1.025  0.368 1.107  0.280 1.161  0.170 1.161  0.060 1.161  -0.050 1.161  -0.160 1.161  -0.270 1.161
3#apa#apa14#app1401/p  -0.249 0.244  -0.164 0.140  -0.164 -0.050  -0.164 -0.240  -0.164 -0.430  -0.107 -0.611  -0.078 -0.796  -0.078 -0.986  -0.078 -1.176  -0.078 -1.366  -0.015 -1.529  0.059 -1.689  0.043 -1.590  -0.024 -1.412  -0.090 -1.234  -0.157 -1.056  -0.224 -0.879  -0.290 -0.701  -0.357 -0.523  -0.424 -0.345  -0.490 -0.167  -0.557 0.010  -0.624 0.188  -0.690 0.366  -0.757 0.544  -0.824 0.722  -0.890 0.899  -0.933 1.081  -0.761 1.099  -0.571 1.099  -0.381 1.099  -0.206 1.035  -0.022 1.014  0.168 1.014  0.348 0.971  0.528 0.928  0.714 0.901  0.899 0.855  1.052 0.757  1.205 0.670  1.205 0.480  1.177 0.302  1.017 0.228  0.861 0.129  0.681 0.068  0.510 -0.013  0.321 -0.013  0.131 -0.013  -0.059 -0.013  -0.249 -0.013
3#apa#apa14#app1401/i  0.049 0.479  0.131 0.397  0.204 0.311  0.204 0.194  0.204 0.078  0.204 -0.038  0.204 -0.154  0.204 -0.271  0.204 -0.387  0.204 -0.503  0.204 -0.619  0.204 -0.736  0.204 -0.852  0.204 -0.968  0.204 -1.084  0.204 -1.201  0.204 -1.317  0.204 -1.433  0.201 -1.522  0.181 -1.408  0.161 -1.293  0.142 -1.178  0.122 -1.064  0.102 -0.949  0.082 -0.835  0.062 -0.720  0.042 -0.606  0.022 -0.491  0.002 -0.377  -0.018 -0.262  -0.038 -0.148  -0.058 -0.033  -0.078 0.081  -0.097 0.196  -0.117 0.311  -0.137 0.425  -0.157 0.540  -0.177 0.654  -0.197 0.769  -0.217 0.883  -0.237 0.998  -0.257 1.112  -0.277 1.227  -0.297 1.341  -0.317 1.456  -0.337 1.570  -0.356 1.685  -0.376 1.800  -0.396 1.914  -0.416 2.029
3#apa#apa14#app1401/n  -1.082 1.179  -1.082 1.027  -1.026 0.931  -0.957 0.848  -0.923 0.702  -0.875 0.558  -0.833 0.413  -0.833 0.261  -0.833 0.110  -0.833 -0.042  -0.833 -0.194  -0.833 -0.345  -0.833 -0.497  -0.833 -0.649  -0.833 -0.800  -0.689 -0.807  -0.585 -0.759  -0.509 -0.683  -0.461 -0.580  -0.368 -0.466  -0.261 -0.359  -0.213 -0.227  -0.213 -0.076  -0.115 0.035  -0.089 0.176  -0.025 0.313  0.041 0.449  0.089 0.593  0.136 0.737  0.238 0.806  0.284 0.912  0.408 0.921  0.434 0.780  0.532 0.669  0.532 0.518  0.532 0.366  0.532 0.214  0.532 0.063  0.532 -0.089  0.570 -0.225  0.678 -0.332  0.780 -0.441  0.804 -0.583  0.915 -0.683  1.055 -0.710  1.166 -0.807  1.318 -0.807  1.470 -0.807  1.621 -0.807  1.773 -0.807
3#apa#apa14#app1401/k  -0.681 2.076  -0.622 1.926  -0.591 1.763  -0.591 1.588  -0.591 1.413  -0.591 1.237  -0.591 1.062  -0.545 0.898  -0.500 0.733  -0.450 0.566  -0.410 0.397  -0.379 0.235  -0.319 0.084  -0.282 -0.082  -0.229 -0.245  -0.184 -0.413  -0.138 -0.580  -0.057 -0.722  -0.015 -0.757  0.063 -0.601  0.141 -0.444  0.220 -0.287  0.298 -0.130  0.376 0.026  0.455 0.183  0.533 0.340  0.530 0.446  0.392 0.356  0.217 0.356  0.069 0.291  -0.096 0.265  -0.259 0.235  -0.383 0.111  -0.506 -0.013  -0.591 -0.153  -0.591 -0.328  -0.560 -0.491  -0.409 -0.550  -0.252 -0.629  -0.096 -0.707  0.061 -0.785  0.225 -0.845  0.395 -0.887  0.567 -0.912  0.742 -0.912  0.911 -0.939  1.071 -1.003  1.245 -1.011  1.412 -1.067  1.582 -1.093
3#apa#apa14#app1401/!  -0.466 1.540  -0.390 1.540  -0.314 1.540  -0.261 1.518  -0.261 1.442  -0.261 1.366  -0.261 1.290  -0.261 1.214  -0.261 1.138  -0.261 1.062  -0.261 0.986  -0.261 0.910  -0.261 0.834  -0.261 0.758  -0.261 0.682  -0.254 0.609  -0.201 0.556  -0.158 0.497  -0.158 0.421  -0.158 0.345  -0.158 0.269  -0.154 0.194  -0.130 0.122  -0.106 0.050  -0.082 -0.022  -0.058 -0.094  -0.056 -0.170  -0.056 -0.246  -0.056 -0.321  -0.056 -0.397  -0.056 -0.473  -0.020 -0.514  0.047 -0.523  0.047 -0.598  0.088 -0.657  0.142 -0.711  0.196 -0.765  0.249 -0.818  0.303 -0.872  0.357 -0.926  0.410 -0.980  0.458 -1.036  0.458 -1.112  0.458 -1.188  0.458 -1.264  0.458 -1.340  0.458 -1.415  0.511 -1.438  0.561 -1.465  0.561 -1.541
