3#apa#apa20#app2011/@  0.509 -0.313  0.509 -0.007  0.387 0.176  0.221 0.341  -0.052 0.420  -0.306 0.298  -0.447 0.074  -0.589 -0.173  -0.589 -0.478  -0.429 -0.717  -0.158 -0.801  0.110 -0.711  0.352 -0.557  0.492 -0.330  0.509 -0.032  0.440 0.245  0.279 0.420  0.021 0.372  -0.101 0.189  -0.101 -0.117  0.063 -0.354  0.335 -0.435  0.640 -0.435  0.946 -0.435  1.177 -0.255  1.364 -0.027  1.364 0.278  1.162 0.500  1.009 0.719  0.765 0.896  0.494 1.034  0.197 1.108  -0.103 1.152  -0.408 1.152  -0.713 1.152  -0.999 1.069  -1.240 0.888  -1.444 0.708  -1.444 0.403  -1.444 0.098  -1.380 -0.200  -1.277 -0.480  -1.024 -0.644  -0.751 -0.781  -0.478 -0.918  -0.174 -0.923  0.132 -0.923  0.437 -0.923  0.743 -0.923  0.997 -0.801
3#apa#apa20#app2011/u  -0.782 1.384  -0.782 1.270  -0.735 1.202  -0.621 1.202  -0.601 1.108  -0.628 1.021  -0.743 1.021  -0.782 0.946  -0.782 0.831  -0.782 0.717  -0.782 0.602  -0.782 0.488  -0.782 0.373  -0.757 0.269  -0.676 0.188  -0.601 0.105  -0.601 -0.009  -0.601 -0.124  -0.601 -0.238  -0.528 -0.323  -0.447 -0.404  -0.419 -0.507  -0.414 -0.619  -0.333 -0.700  -0.252 -0.781  -0.153 -0.837  -0.051 -0.889  0.052 -0.940  0.157 -0.977  0.272 -0.977  0.386 -0.977  0.501 -0.977  0.615 -0.977  0.712 -0.935  0.793 -0.854  0.852 -0.764  0.852 -0.649  0.852 -0.535  0.852 -0.420  0.852 -0.306  0.852 -0.191  0.852 -0.077  0.852 0.038  0.852 0.152  0.852 0.267  0.852 0.381  0.852 0.496  0.852 0.610  0.785 0.658  0.670 0.658
3#apa#apa20#app2011/g  -0.029 1.055  -0.181 1.074  -0.294 1.187  -0.454 1.188  -0.614 1.188  -0.774 1.188  -0.829 1.084  -0.829 0.923  -0.829 0.763  -0.829 0.603  -0.829 0.443  -0.755 0.314  -0.696 0.178  -0.593 0.121  -0.471 0.030  -0.328 -0.013  -0.168 -0.013  -0.008 -0.013  0.138 0.021  0.257 0.121  0.372 0.166  0.372 0.326  0.372 0.486  0.372 0.646  0.264 0.762  0.238 0.911  0.105 0.905  0.105 0.745  0.105 0.585  0.173 0.453  0.238 0.320  0.305 0.188  0.372 0.055  0.372 -0.105  0.425 -0.252  0.496 -0.395  0.568 -0.539  0.638 -0.682  0.638 -0.842  0.638 -1.002  0.638 -1.162  0.638 -1.322  0.636 -1.480  0.476 -1.480  0.316 -1.480  0.156 -1.480  -0.004 -1.480  -0.164 -1.480  -0.316 -1.460  -0.429 -1.347
3#apa#apa20#app2011/g  -0.120 0.831  -0.129 0.965  -0.254 1.027  -0.378 1.090  -0.515 1.096  -0.613 1.194  -0.742 1.220  -0.881 1.220  -0.899 1.098  -0.899 0.959  -0.899 0.820  -0.884 0.687  -0.785 0.588  -0.687 0.490  -0.567 0.442  -0.452 0.384  -0.343 0.312  -0.203 0.312  -0.064 0.312  0.075 0.312  0.214 0.312  0.354 0.312  0.398 0.407  0.398 0.546  0.285 0.572  0.145 0.572  0.139 0.439  0.139 0.299  0.139 0.160  0.139 0.021  0.168 -0.106  0.267 -0.205  0.365 -0.303  0.440 -0.419  0.502 -0.544  0.528 -0.677  0.592 -0.789  0.658 -0.902  0.697 -1.024  0.787 -1.126  0.787 -1.266  0.757 -1.374  0.617 -1.374  0.478 -1.374  0.339 -1.374  0.220 -1.325  0.114 -1.244  -0.025 -1.244  -0.152 -1.213  -0.250 -1.115
3#apa#apa20#app2011/l  -0.386 1.183  -0.386 1.258  -0.386 1.332  -0.386 1.406  -0.386 1.435  -0.386 1.361  -0.362 1.296  -0.309 1.244  -0.257 1.191  -0.221 1.127  -0.187 1.060  -0.154 0.994  -0.121 0.927  -0.112 0.855  -0.112 0.781  -0.083 0.713  -0.049 0.647  -0.016 0.581  0.017 0.514  0.026 0.442  0.026 0.367  0.026 0.293  0.026 0.219  0.026 0.144  0.026 0.070  0.026 -0.004  0.026 -0.078  0.026 -0.153  0.043 -0.223  0.076 -0.290  0.109 -0.356  0.142 -0.423  0.163 -0.492  0.163 -0.566  0.163 -0.641  0.163 -0.715  0.163 -0.789  0.163 -0.864  0.163 -0.938  0.163 -1.012  0.163 -1.087  0.163 -1.161  0.163 -1.235  0.179 -1.303  0.231 -1.355  0.284 -1.408  0.300 -1.476  0.300 -1.550  0.300 -1.624  0.300 -1.699
3#apa#apa20#app2011/e  -0.964 0.193  -0.964 0.016  -0.882 -0.079  -0.705 -0.079  -0.528 -0.079  -0.351 -0.079  -0.174 -0.079  0.003 -0.079  0.180 -0.079  0.358 -0.079  0.535 -0.079  0.712 -0.079  0.889 -0.079  1.066 -0.079  1.212 -0.048  1.212 0.129  1.212 0.306  1.199 0.478  1.074 0.603  0.948 0.728  0.775 0.737  0.618 0.786  0.493 0.911  0.356 1.009  0.179 1.009  0.002 1.009  -0.175 1.009  -0.352 1.009  -0.497 0.932  -0.622 0.807  -0.747 0.681  -0.872 0.556  -0.964 0.417  -0.964 0.240  -0.964 0.063  -0.964 -0.114  -0.964 -0.291  -0.881 -0.434  -0.756 -0.559  -0.631 -0.684  -0.506 -0.809  -0.364 -0.895  -0.187 -0.895  -0.050 -0.993  0.075 -1.118  0.232 -1.167  0.409 -1.167  0.586 -1.167  0.763 -1.167  0.940 -1.167
3#apa#apa20#app2011/r  -0.539 0.116  -0.414 0.116  -0.340 0.064  -0.340 -0.061  -0.340 -0.186  -0.340 -0.311  -0.340 -0.436  -0.340 -0.561  -0.336 -0.686  -0.280 -0.798  -0.224 -0.909  -0.168 -1.021  -0.142 -1.140  -0.142 -1.265  -0.142 -1.390  -0.098 -1.472  0.027 -1.472  0.057 -1.377  0.057 -1.252  0.057 -1.127  0.024 -1.009  -0.032 -0.897  -0.088 -0.785  -0.142 -0.673  -0.142 -0.548  -0.142 -0.423  -0.142 -0.298  -0.142 -0.172  -0.142 -0.047  -0.142 0.078  -0.142 0.203  -0.142 0.328  -0.142 0.453  -0.142 0.578  -0.142 0.704  -0.142 0.829  -0.111 0.941  -0.022 1.030  0.057 1.122  0.057 1.247  0.122 1.307  0.247 1.307  0.372 1.307  0.497 1.307  0.622 1.307  0.748 1.307  0.851 1.286  0.851 1.161  0.924 1.109  1.050 1.109
3#apa#apa20#app2011/s  0.685 0.705  0.575 0.760  0.464 0.815  0.354 0.870  0.261 0.950  0.174 1.038  0.060 1.061  -0.052 1.086  -0.140 1.173  -0.236 1.239  -0.359 1.239  -0.483 1.239  -0.561 1.194  -0.561 1.070  -0.561 0.947  -0.561 0.824  -0.556 0.705  -0.433 0.705  -0.383 0.631  -0.370 0.514  -0.283 0.426  -0.195 0.339  -0.108 0.252  -0.021 0.165  0.066 0.077  0.155 -0.007  0.278 -0.007  0.380 -0.058  0.467 -0.146  0.555 -0.233  0.642 -0.320  0.685 -0.426  0.685 -0.549  0.685 -0.672  0.631 -0.773  0.543 -0.861  0.435 -0.897  0.329 -0.914  0.329 -1.038  0.243 -1.075  0.120 -1.075  -0.004 -1.075  -0.098 -1.146  -0.185 -1.233  -0.300 -1.253  -0.423 -1.253  -0.547 -1.253  -0.670 -1.253  -0.794 -1.253  -0.917 -1.253
3#apa#apa20#app2011/_  -1.454 0.034  -1.401 -0.020  -1.348 -0.073  -1.294 -0.126  -1.241 -0.179  -1.188 -0.233  -1.135 -0.286  -1.131 -0.220  -1.131 -0.144  -1.131 -0.069  -1.131 0.006  -1.083 0.034  -1.008 0.034  -0.932 0.034  -0.857 0.034  -0.782 0.034  -0.706 0.034  -0.631 0.034  -0.556 0.034  -0.480 0.034  -0.405 0.034  -0.330 0.034  -0.254 0.034  -0.179 0.034  -0.104 0.034  -0.028 0.034  0.047 0.034  0.122 0.034  0.198 0.034  0.273 0.034  0.348 0.034  0.424 0.034  0.499 0.034  0.574 0.034  0.650 0.034  0.725 0.034  0.800 0.034  0.876 0.034  0.951 0.034  1.026 0.034  1.102 0.034  1.177 0.034  1.252 0.034  1.328 0.034  1.403 0.034  1.478 0.034  1.554 0.034  1.629 0.034  1.704 0.034  1.780 0.034
3#apa#apa20#app2011/_  -1.698 0.000  -1.628 0.000  -1.559 0.000  -1.490 0.000  -1.421 0.000  -1.351 0.000  -1.282 0.000  -1.213 0.000  -1.143 0.000  -1.074 0.000  -1.005 0.000  -0.935 0.000  -0.866 0.000  -0.797 0.000  -0.728 0.000  -0.658 0.000  -0.589 0.000  -0.520 0.000  -0.450 0.000  -0.381 0.000  -0.312 0.000  -0.243 0.000  -0.173 0.000  -0.104 0.000  -0.035 0.000  0.035 0.000  0.104 0.000  0.173 0.000  0.243 0.000  0.312 0.000  0.381 0.000  0.450 0.000  0.520 0.000  0.589 0.000  0.658 0.000  0.728 0.000  0.797 0.000  0.866 0.000  0.935 0.000  1.005 0.000  1.074 0.000  1.143 0.000  1.213 0.000  1.282 0.000  1.351 0.000  1.421 0.000  1.490 0.000  1.559 0.000  1.628 0.000  1.698 0.000
3#apa#apa20#app2011/w  -1.115 0.547  -1.136 0.672  -1.240 0.630  -1.240 0.484  -1.240 0.338  -1.240 0.193  -1.240 0.047  -1.137 -0.056  -1.115 -0.193  -1.019 -0.299  -0.885 -0.328  -0.739 -0.326  -0.636 -0.223  -0.533 -0.120  -0.490 0.008  -0.415 0.123  -0.366 0.248  -0.366 0.394  -0.366 0.539  -0.366 0.685  -0.366 0.762  -0.366 0.617  -0.366 0.471  -0.366 0.325  -0.328 0.185  -0.282 0.047  -0.230 -0.088  -0.127 -0.191  -0.024 -0.294  0.079 -0.397  0.182 -0.500  0.292 -0.594  0.422 -0.659  0.544 -0.737  0.652 -0.827  0.798 -0.827  0.944 -0.827  1.066 -0.770  1.169 -0.667  1.258 -0.558  1.258 -0.412  1.258 -0.266  1.258 -0.121  1.258 0.025  1.258 0.171  1.244 0.311  1.141 0.414  1.133 0.557  1.112 0.694  1.008 0.797
3#apa#apa20#app2011/i  -0.138 0.294  -0.006 0.294  0.033 0.388  0.033 0.411  0.033 0.278  0.033 0.146  -0.045 0.046  -0.138 -0.048  -0.138 -0.180  -0.138 -0.313  -0.138 -0.445  -0.138 -0.577  -0.138 -0.710  -0.138 -0.842  -0.138 -0.974  -0.116 -1.097  -0.022 -1.191  0.033 -1.301  0.044 -1.428  0.138 -1.522  0.204 -1.549  0.204 -1.417  0.204 -1.285  0.204 -1.152  0.204 -1.020  0.204 -0.888  0.204 -0.755  0.204 -0.623  0.204 -0.490  0.204 -0.358  0.204 -0.226  0.204 -0.093  0.204 0.039  0.204 0.171  0.204 0.304  0.204 0.436  0.204 0.569  0.204 0.701  0.204 0.833  0.204 0.966  0.120 1.063  0.026 1.157  -0.067 1.250  -0.161 1.344  -0.255 1.438  -0.348 1.531  -0.442 1.625  -0.558 1.664  -0.652 1.702  -0.652 1.835
3#apa#apa20#app2011/l  -0.155 1.015  -0.155 1.093  -0.190 1.136  -0.267 1.136  -0.276 1.205  -0.276 1.282  -0.276 1.360  -0.234 1.335  -0.179 1.280  -0.155 1.212  -0.154 1.135  -0.099 1.080  -0.044 1.025  -0.006 0.958  0.029 0.889  0.064 0.819  0.087 0.747  0.087 0.669  0.087 0.592  0.087 0.514  0.087 0.436  0.087 0.358  0.087 0.281  0.087 0.203  0.087 0.125  0.087 0.048  0.087 -0.030  0.087 -0.108  0.087 -0.186  0.087 -0.263  0.087 -0.341  0.087 -0.419  0.087 -0.496  0.087 -0.574  0.087 -0.652  0.087 -0.729  0.087 -0.807  0.087 -0.885  0.087 -0.963  0.087 -1.040  0.087 -1.118  0.087 -1.196  0.087 -1.273  0.087 -1.351  0.069 -1.422  0.014 -1.477  -0.034 -1.534  -0.034 -1.612  -0.034 -1.690  -0.034 -1.767
3#apa#apa20#app2011/l  -0.056 1.219  -0.056 1.293  -0.056 1.367  -0.108 1.390  -0.142 1.430  -0.142 1.447  -0.142 1.373  -0.142 1.299  -0.142 1.225  -0.142 1.150  -0.142 1.076  -0.142 1.002  -0.142 0.928  -0.142 0.854  -0.137 0.781  -0.104 0.715  -0.071 0.649  -0.056 0.578  -0.056 0.504  -0.056 0.430  -0.056 0.356  -0.056 0.282  -0.056 0.208  -0.038 0.137  -0.014 0.066  0.009 -0.004  0.029 -0.075  0.029 -0.149  0.029 -0.223  0.029 -0.297  0.029 -0.371  0.029 -0.445  0.029 -0.519  0.029 -0.593  0.032 -0.667  0.065 -0.733  0.098 -0.799  0.115 -0.869  0.115 -0.943  0.115 -1.017  0.115 -1.091  0.115 -1.166  0.115 -1.240  0.115 -1.314  0.115 -1.388  0.136 -1.453  0.189 -1.505  0.200 -1.575  0.233 -1.635  0.286 -1.687
3#apa#apa20#app2011/_  -1.412 -0.622  -1.412 -0.547  -1.412 -0.473  -1.412 -0.398  -1.399 -0.337  -1.324 -0.337  -1.250 -0.337  -1.175 -0.337  -1.100 -0.337  -1.026 -0.337  -0.951 -0.337  -0.876 -0.337  -0.814 -0.308  -0.761 -0.255  -0.708 -0.203  -0.655 -0.150  -0.602 -0.097  -0.547 -0.052  -0.472 -0.052  -0.397 -0.052  -0.323 -0.052  -0.255 -0.035  -0.202 0.018  -0.149 0.071  -0.097 0.124  -0.044 0.176  0.009 0.229  0.082 0.234  0.156 0.234  0.231 0.234  0.306 0.234  0.380 0.234  0.455 0.234  0.530 0.234  0.604 0.234  0.679 0.234  0.754 0.234  0.828 0.234  0.903 0.234  0.978 0.234  1.052 0.234  1.127 0.234  1.202 0.234  1.276 0.234  1.351 0.234  1.426 0.234  1.500 0.234  1.575 0.234  1.650 0.234  1.724 0.234
3#apa#apa20#app2011/_  -1.648 -0.272  -1.586 -0.241  -1.523 -0.209  -1.460 -0.178  -1.398 -0.147  -1.335 -0.116  -1.273 -0.084  -1.210 -0.053  -1.148 -0.022  -1.085 0.009  -1.021 0.033  -0.951 0.033  -0.881 0.033  -0.811 0.033  -0.742 0.033  -0.672 0.033  -0.602 0.033  -0.532 0.033  -0.462 0.033  -0.392 0.033  -0.322 0.033  -0.252 0.033  -0.182 0.033  -0.113 0.033  -0.043 0.033  0.027 0.033  0.097 0.033  0.167 0.033  0.237 0.033  0.307 0.033  0.377 0.033  0.447 0.033  0.516 0.033  0.586 0.033  0.656 0.033  0.726 0.033  0.796 0.033  0.866 0.033  0.936 0.033  1.006 0.033  1.075 0.033  1.145 0.033  1.215 0.033  1.285 0.033  1.355 0.033  1.425 0.033  1.495 0.033  1.565 0.033  1.635 0.033  1.704 0.033
3#apa#apa20#app2011/d  0.028 1.713  0.128 1.826  0.175 1.867  0.228 1.735  0.228 1.581  0.228 1.427  0.256 1.285  0.328 1.161  0.328 1.007  0.328 0.854  0.328 0.700  0.328 0.546  0.328 0.392  0.328 0.238  0.328 0.084  0.328 -0.069  0.389 -0.209  0.428 -0.353  0.428 -0.507  0.428 -0.661  0.428 -0.815  0.428 -0.806  0.404 -0.663  0.328 -0.540  0.328 -0.386  0.259 -0.249  0.228 -0.102  0.130 0.011  0.092 0.149  -0.016 0.258  -0.147 0.313  -0.301 0.313  -0.455 0.313  -0.598 0.287  -0.672 0.164  -0.745 0.040  -0.772 -0.103  -0.772 -0.256  -0.772 -0.410  -0.772 -0.564  -0.750 -0.709  -0.648 -0.823  -0.563 -0.951  -0.478 -1.079  -0.344 -1.152  -0.206 -1.220  -0.069 -1.290  0.043 -1.395  0.180 -1.464  0.328 -1.488
3#apa#apa20#app2011/e  -0.932 -0.261  -0.784 -0.261  -0.637 -0.261  -0.490 -0.261  -0.343 -0.261  -0.218 -0.315  -0.114 -0.419  0.030 -0.426  0.178 -0.426  0.325 -0.426  0.472 -0.426  0.619 -0.426  0.766 -0.426  0.913 -0.426  1.059 -0.418  1.191 -0.353  1.322 -0.287  1.374 -0.172  1.374 -0.025  1.336 0.107  1.232 0.211  1.210 0.349  1.112 0.398  0.988 0.455  0.884 0.559  0.780 0.663  0.659 0.727  0.512 0.727  0.365 0.727  0.218 0.727  0.071 0.727  -0.077 0.727  -0.224 0.727  -0.371 0.727  -0.518 0.727  -0.647 0.683  -0.751 0.579  -0.855 0.475  -0.932 0.359  -0.941 0.214  -1.007 0.083  -1.073 -0.049  -1.096 -0.191  -1.096 -0.338  -1.096 -0.485  -1.096 -0.632  -1.079 -0.772  -0.975 -0.876  -0.871 -0.980  -0.767 -1.084
3#apa#apa20#app2011/s  0.148 1.364  0.051 1.364  -0.047 1.364  -0.144 1.364  -0.242 1.364  -0.339 1.364  -0.437 1.364  -0.442 1.272  -0.442 1.174  -0.442 1.077  -0.402 0.989  -0.358 0.902  -0.315 0.814  -0.258 0.737  -0.189 0.668  -0.120 0.599  -0.051 0.530  0.018 0.461  0.087 0.392  0.159 0.331  0.257 0.331  0.296 0.273  0.302 0.178  0.371 0.109  0.440 0.040  0.443 -0.056  0.473 -0.141  0.542 -0.210  0.591 -0.287  0.591 -0.385  0.591 -0.482  0.591 -0.580  0.591 -0.677  0.539 -0.753  0.470 -0.822  0.402 -0.891  0.333 -0.960  0.250 -0.997  0.153 -0.997  0.055 -0.997  -0.038 -1.016  -0.125 -1.060  -0.212 -1.103  -0.300 -1.144  -0.397 -1.144  -0.495 -1.144  -0.592 -1.144  -0.690 -1.144  -0.787 -1.144  -0.885 -1.144
