1d#app#app31#app3138/!  -0.226 0.890  -0.226 0.986  -0.226 1.083  -0.226 1.179  -0.226 1.275  -0.302 1.296  -0.362 1.333  -0.362 1.429  -0.295 1.365  -0.227 1.297  -0.226 1.201  -0.187 1.121  -0.118 1.053  -0.091 0.968  -0.078 0.877  -0.010 0.809  0.044 0.735  0.044 0.639  0.044 0.542  0.044 0.446  0.044 0.350  -0.051 0.349  -0.091 0.292  -0.091 0.196  -0.091 0.100  -0.091 0.003  -0.055 -0.057  0.041 -0.057  0.044 -0.150  0.044 -0.247  0.048 -0.343  0.069 -0.437  0.089 -0.531  0.110 -0.625  0.131 -0.719  0.152 -0.813  0.173 -0.907  0.194 -1.001  0.215 -1.095  0.236 -1.189  0.257 -1.283  0.277 -1.377  0.298 -1.471  0.301 -1.533  0.233 -1.464  0.180 -1.390  0.180 -1.294  0.102 -1.276  0.083 -1.276  0.180 -1.276
1d#app#app31#app3138/~  -0.858 0.174  -0.858 0.035  -0.871 -0.091  -1.010 -0.091  -1.123 -0.116  -1.123 -0.255  -1.123 -0.318  -1.123 -0.180  -1.123 -0.041  -1.123 0.098  -1.123 0.237  -1.123 0.376  -1.048 0.439  -0.909 0.439  -0.771 0.439  -0.632 0.439  -0.593 0.539  -0.593 0.678  -0.480 0.704  -0.342 0.704  -0.203 0.704  -0.064 0.704  0.034 0.607  0.133 0.509  0.202 0.399  0.202 0.260  0.165 0.137  0.067 0.039  -0.032 -0.059  -0.063 -0.185  -0.063 -0.324  -0.063 -0.463  -0.063 -0.602  0.057 -0.621  0.195 -0.621  0.334 -0.621  0.473 -0.621  0.612 -0.621  0.745 -0.608  0.843 -0.510  0.942 -0.412  1.057 -0.356  1.196 -0.356  1.314 -0.305  1.412 -0.207  1.510 -0.109  1.641 -0.091  1.780 -0.091  1.793 0.035  1.793 0.174
1d#app#app31#app3138/  -0.954 -1.204  -0.954 -1.116  -0.954 -1.027  -0.954 -0.939  -0.954 -0.851  -0.954 -0.763  -0.954 -0.675  -0.954 -0.587  -0.954 -0.499  -0.954 -0.411  -0.954 -0.323  -0.954 -0.235  -0.954 -0.147  -0.954 -0.059  -0.898 -0.027  -0.810 -0.027  -0.722 -0.027  -0.633 -0.027  -0.545 -0.027  -0.457 -0.027  -0.369 -0.027  -0.281 -0.027  -0.193 -0.027  -0.169 0.037  -0.169 0.125  -0.169 0.213  -0.169 0.301  -0.145 0.365  -0.057 0.365  0.031 0.365  0.119 0.365  0.207 0.365  0.295 0.365  0.383 0.365  0.471 0.365  0.559 0.365  0.647 0.365  0.735 0.365  0.823 0.365  0.911 0.365  0.999 0.365  1.088 0.365  1.176 0.365  1.264 0.365  1.352 0.365  1.440 0.365  1.528 0.365  1.616 0.365  1.704 0.365  1.792 0.365
1d#app#app31#app3138/_  -1.659 -0.332  -1.585 -0.332  -1.512 -0.332  -1.439 -0.332  -1.387 -0.281  -1.335 -0.229  -1.283 -0.177  -1.231 -0.125  -1.164 -0.111  -1.091 -0.111  -1.017 -0.111  -0.944 -0.111  -0.871 -0.111  -0.797 -0.111  -0.724 -0.111  -0.651 -0.111  -0.577 -0.111  -0.504 -0.111  -0.431 -0.111  -0.357 -0.111  -0.284 -0.111  -0.211 -0.111  -0.137 -0.111  -0.064 -0.111  0.009 -0.111  0.082 -0.111  0.143 -0.079  0.194 -0.027  0.246 0.025  0.298 0.077  0.357 0.111  0.431 0.111  0.504 0.111  0.577 0.111  0.651 0.111  0.724 0.111  0.797 0.111  0.871 0.111  0.944 0.111  1.011 0.126  1.063 0.178  1.114 0.230  1.166 0.282  1.219 0.332  1.292 0.332  1.365 0.332  1.439 0.332  1.512 0.332  1.585 0.332  1.659 0.332
1d#app#app31#app3138/+  0.335 0.611  0.335 0.822  0.335 1.033  0.335 1.244  0.335 1.154  0.335 0.943  0.335 0.732  0.335 0.521  0.335 0.310  0.335 0.098  0.335 -0.113  0.335 -0.324  0.335 -0.535  0.335 -0.746  0.335 -0.957  0.367 -1.155  0.516 -1.304  0.665 -1.454  0.536 -1.354  0.371 -1.222  0.206 -1.090  0.042 -0.958  -0.123 -0.826  -0.288 -0.695  -0.453 -0.563  -0.618 -0.431  -0.783 -0.299  -0.947 -0.167  -1.129 -0.083  -1.340 -0.083  -1.399 0.069  -1.399 0.280  -1.399 0.491  -1.308 0.611  -1.097 0.611  -0.886 0.611  -0.674 0.611  -0.463 0.611  -0.252 0.611  -0.041 0.611  -0.012 0.429  0.034 0.264  0.245 0.264  0.456 0.264  0.667 0.264  0.878 0.264  1.029 0.203  1.029 -0.008  1.165 -0.083  1.376 -0.083
1d#app#app31#app3138/=  -0.557 0.478  -0.557 0.660  -0.557 0.842  -0.420 0.886  -0.238 0.886  -0.056 0.886  0.126 0.886  0.293 0.853  0.422 0.724  0.587 0.682  0.768 0.682  0.950 0.682  1.132 0.682  1.280 0.649  1.291 0.478  1.473 0.478  1.484 0.308  1.344 0.227  1.171 0.170  0.999 0.112  0.826 0.055  0.654 -0.003  0.481 -0.060  0.309 -0.118  0.137 -0.175  -0.036 -0.233  -0.208 -0.290  -0.381 -0.348  -0.553 -0.405  -0.726 -0.463  -0.898 -0.520  -1.071 -0.578  -1.243 -0.635  -1.416 -0.693  -1.566 -0.747  -1.384 -0.747  -1.203 -0.747  -1.064 -0.642  -0.924 -0.542  -0.761 -0.523  -0.761 -0.342  -0.582 -0.338  -0.401 -0.338  -0.219 -0.338  -0.037 -0.338  0.145 -0.338  0.327 -0.338  0.464 -0.383  0.486 -0.542  0.668 -0.542
1d#app#app31#app3138/[  0.675 0.612  0.790 0.612  0.791 0.726  0.903 0.729  0.908 0.839  0.908 0.954  0.801 0.962  0.791 1.067  0.688 1.079  0.675 0.977  0.575 0.962  0.460 0.962  0.345 0.962  0.240 0.920  0.137 0.868  0.027 0.846  -0.088 0.846  -0.203 0.846  -0.258 0.786  -0.316 0.729  -0.375 0.673  -0.375 0.558  -0.375 0.443  -0.375 0.328  -0.375 0.213  -0.409 0.112  -0.490 0.031  -0.491 -0.084  -0.491 -0.199  -0.569 -0.281  -0.608 -0.380  -0.649 -0.478  -0.725 -0.562  -0.725 -0.677  -0.721 -0.790  -0.640 -0.872  -0.608 -0.973  -0.540 -1.020  -0.491 -1.087  -0.427 -1.137  -0.312 -1.137  -0.197 -1.137  -0.082 -1.137  0.033 -1.137  0.148 -1.137  0.247 -1.098  0.330 -1.020  0.442 -1.024  0.443 -1.137  0.558 -1.137
1d#app#app31#app3138/]  -0.416 0.837  -0.490 0.911  -0.549 0.990  -0.549 1.095  -0.452 1.102  -0.348 1.102  -0.244 1.102  -0.143 1.094  -0.069 1.021  0.014 0.970  0.118 0.970  0.222 0.970  0.326 0.970  0.431 0.970  0.535 0.970  0.639 0.970  0.645 0.872  0.596 0.788  0.522 0.714  0.513 0.614  0.513 0.510  0.489 0.416  0.415 0.342  0.380 0.252  0.362 0.156  0.288 0.082  0.247 -0.005  0.247 -0.109  0.247 -0.214  0.181 -0.290  0.115 -0.367  0.115 -0.471  0.115 -0.575  0.115 -0.680  0.115 -0.784  0.115 -0.888  0.115 -0.992  0.115 -1.096  0.067 -1.153  -0.037 -1.153  -0.142 -1.153  -0.246 -1.153  -0.350 -1.153  -0.454 -1.153  -0.558 -1.153  -0.662 -1.153  -0.767 -1.153  -0.814 -1.210  -0.814 -1.314  -0.814 -1.418
1d#app#app31#app3138/{  0.854 1.306  0.854 1.425  0.738 1.428  0.620 1.428  0.501 1.428  0.382 1.428  0.294 1.355  0.195 1.306  0.123 1.260  0.092 1.154  0.009 1.070  -0.075 0.986  -0.121 0.886  -0.121 0.768  -0.121 0.649  -0.089 0.544  -0.005 0.460  0.001 0.344  0.108 0.332  0.123 0.228  0.123 0.109  0.026 0.088  -0.066 0.022  -0.161 -0.034  -0.280 -0.034  -0.330 -0.034  -0.243 -0.065  -0.215 -0.156  -0.096 -0.156  0.001 -0.177  -0.012 -0.290  -0.096 -0.374  -0.180 -0.458  -0.243 -0.551  -0.269 -0.643  -0.365 -0.666  -0.385 -0.765  -0.486 -0.782  -0.486 -0.900  -0.486 -1.019  -0.479 -1.130  -0.361 -1.133  -0.278 -1.217  -0.173 -1.252  -0.074 -1.299  0.014 -1.374  0.132 -1.374  0.251 -1.374  0.370 -1.374  0.488 -1.374
1d#app#app31#app3138/}  0.008 1.566  -0.109 1.565  -0.106 1.450  0.011 1.447  0.094 1.364  0.124 1.258  0.201 1.217  0.241 1.139  0.297 1.045  0.389 0.984  0.474 0.951  0.474 0.833  0.474 0.715  0.437 0.634  0.357 0.596  0.318 0.518  0.200 0.518  0.087 0.499  -0.019 0.446  -0.126 0.401  -0.238 0.388  -0.322 0.305  -0.431 0.285  -0.458 0.194  -0.393 0.103  -0.296 0.052  -0.225 0.005  -0.177 -0.065  -0.109 -0.114  -0.058 -0.181  0.060 -0.181  0.124 -0.234  0.124 -0.352  0.124 -0.470  0.124 -0.588  0.124 -0.706  0.167 -0.806  0.241 -0.893  0.241 -1.011  0.230 -1.124  0.147 -1.208  0.038 -1.230  -0.079 -1.230  -0.109 -1.319  -0.199 -1.347  -0.290 -1.411  -0.386 -1.463  -0.504 -1.463  -0.608 -1.496  -0.691 -1.580
1d#app#app31#app3138/\\  -0.365 0.455  -0.365 0.553  -0.365 0.650  -0.376 0.737  -0.473 0.737  -0.506 0.802  -0.506 0.899  -0.506 0.996  -0.581 1.019  -0.647 1.050  -0.647 1.148  -0.647 1.073  -0.604 1.019  -0.507 1.019  -0.506 0.922  -0.453 0.878  -0.365 0.868  -0.365 0.771  -0.365 0.673  -0.345 0.596  -0.248 0.596  -0.225 0.522  -0.203 0.434  -0.134 0.365  -0.084 0.288  -0.084 0.191  -0.084 0.093  -0.057 0.007  0.012 -0.062  0.080 -0.131  0.149 -0.200  0.198 -0.277  0.198 -0.375  0.256 -0.448  0.325 -0.517  0.339 -0.608  0.363 -0.696  0.432 -0.764  0.479 -0.842  0.479 -0.940  0.539 -1.012  0.608 -1.081  0.620 -1.174  0.646 -1.260  0.715 -1.329  0.761 -1.408  0.761 -1.505  0.848 -1.516  0.902 -1.559  0.902 -1.656
1d#app#app31#app3138/,  0.258 0.416  0.368 0.416  0.477 0.416  0.587 0.416  0.696 0.416  0.712 0.510  0.712 0.619  0.712 0.729  0.712 0.838  0.656 0.925  0.579 1.002  0.502 1.079  0.424 1.157  0.347 1.234  0.269 1.312  0.258 1.229  0.258 1.119  0.258 1.010  0.258 0.901  0.258 0.791  0.258 0.682  0.258 0.572  0.258 0.463  0.214 0.372  0.137 0.294  0.059 0.217  -0.018 0.139  -0.096 0.062  -0.173 -0.015  -0.195 -0.116  -0.195 -0.225  -0.195 -0.335  -0.195 -0.444  -0.195 -0.554  -0.195 -0.663  -0.195 -0.772  -0.195 -0.882  -0.242 -0.945  -0.352 -0.945  -0.461 -0.945  -0.570 -0.945  -0.649 -0.976  -0.649 -1.085  -0.649 -1.195  -0.649 -1.304  -0.664 -1.398  -0.774 -1.398  -0.883 -1.398  -0.993 -1.398  -1.102 -1.398
1d#app#app31#app3138/  0.796 0.632  0.796 0.716  0.832 0.786  0.892 0.846  0.915 0.922  0.915 1.006  0.915 1.091  0.845 1.106  0.796 1.070  0.795 0.986  0.735 0.926  0.675 0.866  0.615 0.806  0.559 0.744  0.559 0.659  0.519 0.591  0.459 0.531  0.382 0.513  0.311 0.491  0.273 0.415  0.235 0.339  0.203 0.262  0.203 0.177  0.145 0.128  0.069 0.090  -0.007 0.052  -0.034 -0.016  -0.048 -0.095  -0.108 -0.155  -0.168 -0.214  -0.228 -0.274  -0.288 -0.334  -0.348 -0.394  -0.408 -0.454  -0.468 -0.514  -0.528 -0.574  -0.588 -0.634  -0.627 -0.703  -0.627 -0.788  -0.684 -0.849  -0.744 -0.909  -0.804 -0.969  -0.864 -1.029  -0.949 -1.029  -0.983 -1.079  -1.000 -1.148  -1.084 -1.148  -1.034 -1.148  -0.949 -1.148  -0.864 -1.148
1d#app#app31#app3138/?  -0.168 0.563  -0.290 0.564  -0.290 0.687  -0.290 0.810  -0.290 0.933  -0.289 1.055  -0.202 1.142  -0.093 1.176  0.031 1.176  0.154 1.176  0.277 1.176  0.400 1.176  0.445 1.099  0.523 1.054  0.647 1.054  0.635 0.998  0.548 0.911  0.461 0.824  0.374 0.737  0.287 0.650  0.199 0.563  0.077 0.562  -0.010 0.475  -0.097 0.388  -0.184 0.301  -0.272 0.214  -0.290 0.099  -0.290 -0.024  -0.290 -0.148  -0.290 -0.271  -0.221 -0.365  -0.168 -0.466  -0.119 -0.541  -0.045 -0.590  0.004 -0.663  0.078 -0.713  0.123 -0.809  0.233 -0.864  0.309 -0.926  0.230 -1.020  0.151 -1.115  0.072 -1.210  -0.007 -1.304  -0.086 -1.399  -0.164 -1.493  -0.243 -1.588  -0.325 -1.610  -0.412 -1.523  -0.413 -1.400  -0.413 -1.522
1d#app#app31#app3138/'  0.007 0.492  0.007 0.597  0.007 0.701  0.024 0.789  0.128 0.789  0.233 0.789  0.304 0.822  0.304 0.926  0.304 1.031  0.304 1.135  0.304 1.240  0.304 1.344  0.257 1.336  0.183 1.262  0.110 1.188  0.036 1.114  0.007 1.022  0.007 0.917  0.007 0.813  -0.050 0.732  -0.123 0.658  -0.197 0.584  -0.271 0.510  -0.289 0.414  -0.289 0.309  -0.289 0.205  -0.289 0.100  -0.289 -0.004  -0.289 -0.108  -0.289 -0.213  -0.289 -0.317  -0.289 -0.422  -0.289 -0.526  -0.289 -0.630  -0.289 -0.735  -0.289 -0.839  -0.289 -0.944  -0.233 -0.991  -0.128 -0.991  -0.024 -0.991  0.007 -1.064  0.007 -1.169  0.007 -1.273  0.071 -1.351  0.145 -1.425  0.219 -1.499  0.292 -1.573  0.392 -1.584  0.496 -1.584  0.601 -1.584
1d#app#app31#app3138/\"  0.361 1.818  0.361 1.626  0.361 1.434  0.189 1.415  -0.003 1.415  -0.042 1.262  -0.042 1.070  -0.176 1.012  -0.368 1.012  -0.445 0.897  -0.445 0.705  -0.445 0.513  -0.445 0.321  -0.445 0.129  -0.445 -0.062  -0.445 -0.254  -0.445 -0.446  -0.445 -0.638  -0.445 -0.830  -0.445 -1.022  -0.445 -1.214  -0.445 -1.406  -0.385 -1.227  -0.324 -1.045  -0.264 -0.863  -0.203 -0.681  -0.142 -0.499  -0.082 -0.316  -0.021 -0.134  0.040 0.048  0.101 0.230  0.161 0.412  0.222 0.594  0.283 0.776  0.343 0.958  0.361 0.876  0.361 0.684  0.361 0.492  0.361 0.300  0.361 0.109  0.361 -0.083  0.361 -0.275  0.361 -0.467  0.361 -0.659  0.361 -0.851  0.361 -1.043  0.361 -1.235  0.361 -1.427  0.361 -1.619  0.361 -1.811
1d#app#app31#app3138/<  1.140 0.849  1.266 0.849  1.294 0.946  1.225 1.003  1.100 1.003  0.979 0.994  0.890 0.906  0.788 0.849  0.668 0.837  0.580 0.749  0.476 0.696  0.351 0.696  0.226 0.696  0.113 0.643  0.001 0.587  -0.106 0.524  -0.194 0.435  -0.300 0.389  -0.416 0.367  -0.505 0.278  -0.612 0.235  -0.701 0.199  -0.709 0.082  -0.834 0.082  -0.959 0.082  -1.008 0.006  -1.056 -0.072  -1.142 -0.072  -1.017 -0.072  -0.892 -0.072  -0.855 -0.160  -0.795 -0.225  -0.670 -0.225  -0.548 -0.228  -0.548 -0.354  -0.447 -0.379  -0.343 -0.429  -0.255 -0.518  -0.166 -0.606  -0.078 -0.695  0.011 -0.783  0.113 -0.839  0.233 -0.852  0.321 -0.940  0.410 -1.029  0.498 -1.117  0.527 -1.231  0.583 -1.299  0.680 -1.328  0.680 -1.453
1d#app#app31#app3138/|  0.238 1.178  0.238 1.255  0.308 1.263  0.322 1.325  0.267 1.347  0.238 1.395  0.238 1.391  0.238 1.313  0.238 1.236  0.238 1.159  0.238 1.082  0.238 1.005  0.238 0.928  0.238 0.851  0.238 0.774  0.211 0.703  0.177 0.634  0.154 0.562  0.154 0.485  0.154 0.408  0.154 0.331  0.154 0.254  0.102 0.198  0.069 0.135  0.069 0.058  0.069 -0.019  0.065 -0.096  0.031 -0.164  -0.004 -0.233  -0.015 -0.308  -0.047 -0.372  -0.099 -0.427  -0.099 -0.504  -0.099 -0.581  -0.145 -0.639  -0.184 -0.701  -0.184 -0.778  -0.188 -0.854  -0.222 -0.923  -0.257 -0.992  -0.268 -1.066  -0.299 -1.130  -0.353 -1.185  -0.353 -1.263  -0.353 -1.340  -0.398 -1.398  -0.437 -1.459  -0.437 -1.536  -0.437 -1.613  -0.437 -1.690
1d#app#app31#app3138/>  0.331 1.019  0.331 1.120  0.356 1.196  0.457 1.196  0.507 1.144  0.507 1.043  0.507 0.942  0.509 0.842  0.610 0.842  0.684 0.815  0.684 0.714  0.737 0.666  0.838 0.666  0.860 0.587  0.860 0.486  0.860 0.385  0.831 0.313  0.730 0.313  0.684 0.258  0.684 0.157  0.603 0.136  0.507 0.131  0.507 0.030  0.477 -0.040  0.375 -0.040  0.291 -0.080  0.219 -0.152  0.145 -0.217  0.044 -0.217  -0.057 -0.217  -0.158 -0.217  -0.199 -0.277  -0.199 -0.378  -0.285 -0.394  -0.383 -0.401  -0.455 -0.473  -0.526 -0.544  -0.610 -0.599  -0.700 -0.644  -0.791 -0.689  -0.881 -0.735  -0.979 -0.747  -1.080 -0.747  -1.082 -0.846  -1.106 -0.923  -1.207 -0.923  -1.259 -0.973  -1.259 -1.074  -1.259 -1.175  -1.259 -1.277
