3#apb#apb35#app3578/S  -1.168 -1.186  -1.119 -1.056  -1.028 -0.942  -0.934 -0.830  -0.835 -0.723  -0.737 -0.615  -0.640 -0.506  -0.543 -0.397  -0.449 -0.285  -0.355 -0.174  -0.261 -0.062  -0.167 0.050  -0.074 0.163  0.017 0.277  0.103 0.394  0.190 0.512  0.278 0.629  0.368 0.743  0.458 0.858  0.549 0.972  0.640 1.086  0.714 1.212  0.781 1.342  0.841 1.475  0.769 1.372  0.736 1.230  0.730 1.085  0.706 0.943  0.677 0.800  0.655 0.656  0.624 0.513  0.599 0.369  0.582 0.224  0.559 0.080  0.532 -0.063  0.506 -0.207  0.460 -0.344  0.396 -0.475  0.312 -0.593  0.203 -0.690  0.074 -0.757  -0.065 -0.798  -0.209 -0.821  -0.355 -0.834  -0.500 -0.836  -0.646 -0.834  -0.792 -0.821  -0.930 -0.778  -1.063 -0.718  -1.188 -0.643
3#apb#apb35#app3578/t  0.950 1.787  0.947 1.721  0.870 1.576  0.792 1.432  0.710 1.291  0.627 1.149  0.538 1.012  0.445 0.878  0.352 0.743  0.257 0.609  0.160 0.477  0.064 0.345  -0.033 0.213  -0.120 0.074  -0.205 -0.066  -0.291 -0.205  -0.372 -0.347  -0.450 -0.491  -0.528 -0.635  -0.590 -0.786  -0.629 -0.941  -0.574 -1.085  -0.447 -1.181  -0.284 -1.181  -0.122 -1.168  0.033 -1.114  0.187 -1.061  0.339 -0.999  0.489 -0.934  0.637 -0.864  0.782 -0.789  0.882 -0.711  0.742 -0.626  0.602 -0.541  0.462 -0.456  0.323 -0.371  0.183 -0.285  0.043 -0.200  -0.097 -0.115  -0.237 -0.030  -0.376 0.055  -0.516 0.140  -0.656 0.226  -0.796 0.311  -0.936 0.396  -1.076 0.481  -1.012 0.527  -0.852 0.559  -0.689 0.580  -0.527 0.600
3#apb#apb35#app3578/o  0.210 0.922  0.093 0.842  -0.017 0.727  -0.133 0.618  -0.240 0.499  -0.341 0.375  -0.433 0.244  -0.526 0.113  -0.623 -0.014  -0.719 -0.142  -0.790 -0.285  -0.862 -0.428  -0.920 -0.576  -0.956 -0.732  -0.971 -0.891  -0.964 -1.050  -0.904 -1.198  -0.795 -1.307  -0.657 -1.365  -0.504 -1.318  -0.352 -1.267  -0.202 -1.211  -0.056 -1.149  0.061 -1.040  0.179 -0.931  0.285 -0.812  0.382 -0.685  0.480 -0.558  0.558 -0.419  0.627 -0.274  0.696 -0.130  0.760 0.016  0.811 0.168  0.861 0.320  0.895 0.474  0.887 0.634  0.879 0.794  0.828 0.942  0.749 1.081  0.636 1.177  0.481 1.219  0.326 1.187  0.175 1.138  0.047 1.048  -0.031 0.908  -0.072 0.754  -0.072 0.599  -0.030 0.444  0.076 0.327  0.189 0.213
3#apb#apb35#app3578/n  -0.040 1.097  -0.157 1.028  -0.234 0.891  -0.312 0.754  -0.388 0.616  -0.455 0.474  -0.522 0.331  -0.599 0.194  -0.681 0.059  -0.763 -0.075  -0.849 -0.207  -0.934 -0.339  -1.020 -0.472  -1.105 -0.604  -1.181 -0.741  -1.259 -0.872  -1.190 -0.763  -1.099 -0.635  -1.007 -0.507  -0.904 -0.388  -0.797 -0.273  -0.689 -0.158  -0.573 -0.052  -0.456 0.054  -0.340 0.160  -0.222 0.265  -0.103 0.367  0.017 0.470  0.137 0.572  0.274 0.648  0.415 0.718  0.559 0.781  0.710 0.827  0.851 0.792  0.931 0.668  0.893 0.519  0.840 0.371  0.782 0.224  0.725 0.078  0.684 -0.074  0.654 -0.228  0.637 -0.385  0.626 -0.542  0.733 -0.654  0.858 -0.746  1.004 -0.806  1.151 -0.859  1.308 -0.859  1.466 -0.859  1.623 -0.859
3#apb#apb35#app3578/U  -0.638 0.897  -0.535 1.046  -0.419 1.185  -0.392 1.135  -0.463 0.968  -0.535 0.802  -0.608 0.636  -0.677 0.468  -0.745 0.300  -0.821 0.136  -0.899 -0.028  -0.973 -0.193  -1.045 -0.359  -1.108 -0.529  -1.158 -0.703  -1.188 -0.882  -1.100 -1.025  -0.928 -1.036  -0.767 -0.963  -0.619 -0.858  -0.472 -0.752  -0.326 -0.646  -0.196 -0.520  -0.069 -0.390  0.050 -0.255  0.163 -0.113  0.276 0.029  0.389 0.171  0.501 0.313  0.613 0.455  0.726 0.598  0.838 0.740  0.950 0.882  1.038 1.038  0.917 0.923  0.827 0.766  0.735 0.610  0.642 0.455  0.563 0.292  0.487 0.127  0.422 -0.042  0.363 -0.213  0.358 -0.393  0.388 -0.568  0.487 -0.714  0.637 -0.809  0.818 -0.809  0.995 -0.788  1.165 -0.724  1.335 -0.661
3#apb#apb35#app3578/r  -1.363 -0.951  -1.356 -0.954  -1.313 -0.834  -1.260 -0.720  -1.170 -0.630  -1.080 -0.540  -0.991 -0.450  -0.904 -0.357  -0.816 -0.264  -0.729 -0.171  -0.648 -0.074  -0.573 0.029  -0.498 0.132  -0.423 0.235  -0.348 0.338  -0.272 0.440  -0.197 0.543  -0.121 0.645  -0.045 0.748  0.030 0.850  0.108 0.951  0.185 1.052  0.262 1.153  0.359 1.229  0.470 1.288  0.494 1.218  0.489 1.091  0.476 0.964  0.490 0.838  0.515 0.714  0.528 0.587  0.561 0.468  0.636 0.366  0.712 0.266  0.759 0.159  0.745 0.038  0.703 -0.082  0.636 -0.190  0.560 -0.292  0.476 -0.387  0.402 -0.490  0.342 -0.602  0.281 -0.714  0.247 -0.837  0.219 -0.960  0.254 -1.082  0.356 -1.148  0.478 -1.181  0.603 -1.204  0.729 -1.228
3#apb#apb35#app3578/b  0.383 1.962  0.315 1.826  0.226 1.670  0.140 1.513  0.074 1.346  0.008 1.179  -0.060 1.013  -0.129 0.847  -0.198 0.681  -0.270 0.517  -0.344 0.353  -0.418 0.190  -0.493 0.027  -0.569 -0.136  -0.644 -0.299  -0.712 -0.466  -0.780 -0.632  -0.861 -0.792  -0.948 -0.949  -0.888 -0.874  -0.807 -0.713  -0.716 -0.558  -0.618 -0.408  -0.518 -0.259  -0.414 -0.112  -0.310 0.034  -0.199 0.174  -0.066 0.295  0.067 0.416  0.220 0.509  0.376 0.596  0.532 0.685  0.687 0.607  0.766 0.446  0.816 0.273  0.865 0.100  0.910 -0.073  0.894 -0.252  0.873 -0.430  0.840 -0.606  0.784 -0.776  0.708 -0.938  0.595 -1.078  0.436 -1.152  0.279 -1.150  0.167 -1.016  0.015 -0.942  -0.162 -0.924  -0.338 -0.885  -0.511 -0.839
3#apb#apb35#app3578/a  0.744 1.135  0.622 1.254  0.435 1.203  0.264 1.114  0.105 1.006  -0.044 0.883  -0.192 0.760  -0.336 0.631  -0.480 0.503  -0.622 0.371  -0.754 0.231  -0.886 0.090  -0.999 -0.066  -1.098 -0.231  -1.197 -0.397  -1.275 -0.574  -1.346 -0.752  -1.312 -0.942  -1.163 -1.042  -0.975 -1.057  -0.783 -1.046  -0.607 -0.972  -0.437 -0.882  -0.273 -0.780  -0.121 -0.662  0.032 -0.543  0.167 -0.406  0.299 -0.265  0.422 -0.116  0.530 0.043  0.639 0.203  0.741 0.367  0.834 0.536  0.927 0.705  1.014 0.877  0.970 0.976  0.825 0.847  0.688 0.712  0.551 0.575  0.446 0.414  0.346 0.249  0.255 0.080  0.191 -0.103  0.140 -0.287  0.140 -0.480  0.185 -0.653  0.328 -0.783  0.500 -0.860  0.687 -0.909  0.873 -0.958
3#apb#apb35#app3578/n  -0.138 0.978  -0.243 0.861  -0.334 0.732  -0.416 0.598  -0.499 0.464  -0.585 0.332  -0.671 0.199  -0.754 0.066  -0.835 -0.069  -0.916 -0.205  -0.998 -0.340  -1.079 -0.475  -1.159 -0.611  -1.235 -0.749  -1.262 -0.894  -1.144 -0.800  -1.036 -0.686  -0.932 -0.567  -0.827 -0.449  -0.722 -0.332  -0.616 -0.215  -0.511 -0.097  -0.415 0.027  -0.318 0.152  -0.221 0.276  -0.121 0.398  -0.005 0.504  0.112 0.610  0.229 0.716  0.360 0.803  0.496 0.883  0.638 0.948  0.780 0.944  0.846 0.817  0.845 0.660  0.820 0.505  0.791 0.350  0.746 0.199  0.700 0.048  0.654 -0.103  0.607 -0.253  0.602 -0.410  0.619 -0.562  0.710 -0.692  0.850 -0.746  1.004 -0.780  1.160 -0.781  1.317 -0.766  1.474 -0.751  1.631 -0.737
3#apb#apb35#app3578/V  -0.532 0.565  -0.557 0.473  -0.577 0.370  -0.594 0.266  -0.611 0.162  -0.626 0.059  -0.637 -0.046  -0.647 -0.150  -0.658 -0.255  -0.669 -0.359  -0.680 -0.464  -0.691 -0.568  -0.704 -0.672  -0.717 -0.776  -0.730 -0.881  -0.743 -0.985  -0.737 -1.088  -0.682 -1.173  -0.597 -1.131  -0.521 -1.059  -0.445 -0.986  -0.377 -0.907  -0.312 -0.825  -0.246 -0.742  -0.183 -0.658  -0.125 -0.571  -0.068 -0.483  -0.010 -0.396  0.048 -0.308  0.106 -0.220  0.163 -0.132  0.221 -0.045  0.278 0.043  0.336 0.131  0.394 0.219  0.453 0.306  0.512 0.392  0.571 0.479  0.630 0.566  0.689 0.652  0.748 0.739  0.810 0.824  0.872 0.909  0.934 0.994  0.995 1.079  1.057 1.164  1.117 1.250  1.177 1.336  1.242 1.417  1.323 1.485
3#apb#apb35#app3578/o  0.223 0.901  0.055 0.827  -0.074 0.695  -0.178 0.539  -0.283 0.384  -0.389 0.230  -0.497 0.077  -0.606 -0.075  -0.701 -0.234  -0.763 -0.410  -0.824 -0.587  -0.881 -0.765  -0.932 -0.944  -0.907 -1.129  -0.804 -1.269  -0.633 -1.334  -0.452 -1.336  -0.274 -1.280  -0.101 -1.210  0.066 -1.126  0.227 -1.034  0.355 -0.897  0.481 -0.759  0.588 -0.606  0.695 -0.452  0.785 -0.290  0.852 -0.116  0.919 0.059  0.974 0.238  1.024 0.418  1.052 0.600  1.028 0.785  0.997 0.968  0.888 1.120  0.744 1.203  0.557 1.203  0.375 1.178  0.202 1.106  0.030 1.034  -0.122 0.925  -0.271 0.812  -0.406 0.685  -0.520 0.537  -0.589 0.376  -0.572 0.189  -0.525 0.014  -0.419 -0.140  -0.288 -0.269  -0.130 -0.369  0.027 -0.469
3#apb#apb35#app3578/g  0.198 1.363  0.033 1.274  -0.114 1.155  -0.255 1.030  -0.373 0.882  -0.472 0.722  -0.534 0.547  -0.531 0.359  -0.398 0.253  -0.213 0.284  -0.043 0.361  0.102 0.481  0.233 0.615  0.370 0.743  0.452 0.790  0.402 0.608  0.377 0.421  0.333 0.237  0.293 0.052  0.249 -0.131  0.193 -0.312  0.142 -0.494  0.090 -0.675  0.016 -0.849  -0.058 -1.023  -0.134 -1.196  -0.244 -1.350  -0.355 -1.503  -0.497 -1.624  -0.667 -1.697  -0.789 -1.563  -0.790 -1.378  -0.741 -1.197  -0.673 -1.020  -0.589 -0.851  -0.505 -0.682  -0.411 -0.518  -0.309 -0.359  -0.207 -0.200  -0.096 -0.047  0.021 0.101  0.140 0.248  0.266 0.389  0.393 0.529  0.539 0.648  0.693 0.758  0.855 0.853  1.022 0.943  1.202 1.000  1.389 1.022
3#apb#apb35#app3578/e  -0.976 -1.106  -0.840 -1.088  -0.713 -1.009  -0.596 -0.916  -0.476 -0.827  -0.354 -0.739  -0.234 -0.650  -0.125 -0.547  -0.016 -0.444  0.093 -0.341  0.202 -0.239  0.311 -0.136  0.420 -0.033  0.525 0.074  0.605 0.200  0.686 0.326  0.766 0.453  0.844 0.581  0.916 0.712  0.988 0.844  1.060 0.975  1.087 1.122  1.055 1.240  0.915 1.272  0.767 1.250  0.629 1.201  0.501 1.123  0.373 1.045  0.248 0.962  0.129 0.871  0.010 0.780  -0.109 0.689  -0.213 0.583  -0.302 0.462  -0.391 0.342  -0.480 0.221  -0.565 0.098  -0.644 -0.029  -0.723 -0.156  -0.802 -0.284  -0.812 -0.427  -0.797 -0.576  -0.782 -0.726  -0.694 -0.840  -0.588 -0.946  -0.477 -1.042  -0.328 -1.058  -0.179 -1.074  -0.030 -1.090  0.119 -1.106
3#apb#apb35#app3578/l  -1.072 -1.031  -0.944 -0.936  -0.815 -0.844  -0.685 -0.752  -0.570 -0.643  -0.457 -0.531  -0.345 -0.418  -0.233 -0.306  -0.122 -0.191  -0.022 -0.068  0.079 0.055  0.180 0.178  0.277 0.303  0.374 0.430  0.471 0.556  0.560 0.687  0.633 0.828  0.705 0.970  0.768 1.116  0.820 1.266  0.830 1.423  0.707 1.493  0.569 1.413  0.434 1.330  0.306 1.238  0.201 1.118  0.097 0.998  0.002 0.870  -0.092 0.742  -0.185 0.613  -0.267 0.477  -0.348 0.340  -0.429 0.203  -0.499 0.061  -0.556 -0.087  -0.613 -0.236  -0.642 -0.390  -0.647 -0.549  -0.617 -0.697  -0.527 -0.829  -0.413 -0.934  -0.277 -1.017  -0.133 -1.069  0.026 -1.069  0.185 -1.069  0.344 -1.062  0.500 -1.035  0.657 -1.008  0.814 -0.981  0.970 -0.954
