2#tos#f3#f3010058/\"  -0.346 0.524  -0.502 0.524  -0.658 0.524  -0.752 0.461  -0.768 0.321  -0.924 0.321  -1.056 0.297  -1.056 0.141  -1.056 -0.015  -1.056 -0.171  -1.056 -0.327  -1.056 -0.483  -1.056 -0.639  -1.056 -0.795  -1.056 -0.951  -0.950 -0.992  -0.845 -0.877  -0.740 -0.761  -0.635 -0.645  -0.531 -0.529  -0.426 -0.414  -0.321 -0.298  -0.216 -0.182  -0.112 -0.066  -0.007 0.049  0.098 0.165  0.202 0.281  0.307 0.397  0.412 0.512  0.517 0.628  0.621 0.744  0.726 0.860  0.831 0.975  0.936 1.091  0.902 1.062  0.792 0.951  0.770 0.804  0.770 0.648  0.784 0.495  0.854 0.356  0.872 0.204  0.872 0.048  0.872 -0.108  0.872 -0.265  0.872 -0.421  0.872 -0.577  0.872 -0.733  0.872 -0.889  0.872 -1.045  0.872 -1.201
2#tos#f3#f3010058/[  0.692 1.378  0.650 1.294  0.567 1.277  0.525 1.221  0.436 1.192  0.345 1.176  0.302 1.125  0.229 1.075  0.137 1.074  0.095 0.990  0.011 0.974  -0.082 0.974  -0.126 0.924  -0.219 0.924  -0.313 0.924  -0.367 0.885  -0.367 0.791  -0.367 0.698  -0.367 0.604  -0.361 0.514  -0.317 0.438  -0.317 0.345  -0.317 0.251  -0.317 0.157  -0.317 0.064  -0.317 -0.030  -0.317 -0.123  -0.317 -0.217  -0.317 -0.310  -0.317 -0.404  -0.317 -0.497  -0.280 -0.576  -0.266 -0.663  -0.266 -0.757  -0.266 -0.851  -0.266 -0.944  -0.266 -1.038  -0.266 -1.131  -0.186 -1.144  -0.092 -1.144  0.001 -1.144  0.095 -1.144  0.188 -1.144  0.282 -1.144  0.375 -1.144  0.469 -1.144  0.563 -1.144  0.656 -1.144  0.750 -1.144  0.843 -1.144
2#tos#f3#f3010058/]  -0.565 0.997  -0.659 0.997  -0.754 0.997  -0.813 0.940  -0.804 0.887  -0.732 0.940  -0.638 0.942  -0.548 0.966  -0.458 0.996  -0.364 0.997  -0.270 0.997  -0.176 0.997  -0.081 0.997  0.013 0.997  0.087 0.949  0.179 0.942  0.273 0.942  0.313 0.888  0.313 0.793  0.313 0.699  0.313 0.605  0.313 0.511  0.313 0.416  0.313 0.322  0.313 0.228  0.313 0.133  0.313 0.039  0.313 -0.055  0.313 -0.150  0.313 -0.244  0.313 -0.338  0.313 -0.432  0.313 -0.527  0.313 -0.621  0.313 -0.715  0.313 -0.810  0.313 -0.904  0.313 -0.998  0.313 -1.092  0.313 -1.187  0.313 -1.281  0.244 -1.307  0.150 -1.307  0.056 -1.307  -0.039 -1.307  -0.133 -1.307  -0.227 -1.307  -0.321 -1.307  -0.416 -1.307  -0.510 -1.307
2#tos#f3#f3010058/^  -0.935 -0.517  -0.982 -0.592  -1.077 -0.659  -1.135 -0.766  -1.161 -0.754  -1.082 -0.664  -0.996 -0.578  -0.935 -0.481  -0.929 -0.361  -0.849 -0.270  -0.795 -0.161  -0.714 -0.070  -0.634 0.019  -0.634 0.141  -0.614 0.255  -0.559 0.355  -0.495 0.450  -0.484 0.568  -0.484 0.690  -0.433 0.761  -0.365 0.849  -0.334 0.964  -0.310 1.062  -0.188 1.062  -0.108 0.975  -0.050 0.911  -0.011 0.815  0.075 0.728  0.161 0.642  0.193 0.533  0.242 0.460  0.353 0.441  0.407 0.332  0.493 0.287  0.493 0.165  0.578 0.080  0.687 0.025  0.719 -0.077  0.777 -0.141  0.869 -0.216  0.944 -0.307  0.988 -0.411  1.020 -0.520  1.020 -0.642  1.041 -0.743  1.163 -0.743  1.170 -0.858  1.232 -0.955  1.273 -1.043  1.395 -1.043
2#tos#f3#f3010058/_  -0.886 0.417  -0.968 0.417  -1.050 0.417  -1.064 0.349  -1.064 0.267  -1.102 0.201  -1.160 0.143  -1.218 0.085  -1.291 0.062  -1.330 0.019  -1.294 -0.027  -1.212 -0.027  -1.130 -0.027  -1.048 -0.027  -0.966 -0.027  -0.884 -0.027  -0.802 -0.027  -0.720 -0.027  -0.639 -0.027  -0.557 -0.027  -0.475 -0.027  -0.393 -0.027  -0.311 -0.027  -0.229 -0.027  -0.147 -0.027  -0.065 -0.027  0.017 -0.027  0.099 -0.027  0.181 -0.027  0.263 -0.027  0.345 -0.027  0.427 -0.027  0.508 -0.027  0.590 -0.027  0.672 -0.027  0.754 -0.027  0.836 -0.027  0.918 -0.027  1.000 -0.027  1.082 -0.027  1.155 -0.036  1.157 -0.116  1.239 -0.116  1.321 -0.116  1.382 -0.166  1.448 -0.204  1.530 -0.204  1.612 -0.204  1.694 -0.204  1.776 -0.204
2#tos#f3#f3010058/{  0.694 1.085  0.610 1.106  0.584 1.197  0.521 1.231  0.424 1.231  0.327 1.231  0.230 1.231  0.133 1.231  0.035 1.231  -0.025 1.195  -0.077 1.121  -0.157 1.070  -0.217 1.011  -0.288 0.946  -0.297 0.853  -0.297 0.756  -0.255 0.676  -0.207 0.607  -0.150 0.546  -0.116 0.463  -0.040 0.412  0.013 0.356  0.034 0.263  0.086 0.188  0.107 0.099  0.107 0.002  0.107 -0.095  0.107 -0.192  0.070 -0.253  0.034 -0.313  -0.030 -0.347  -0.076 -0.398  -0.078 -0.420  -0.113 -0.409  -0.113 -0.506  -0.113 -0.603  -0.113 -0.700  -0.113 -0.798  -0.113 -0.895  -0.150 -0.983  -0.150 -1.081  -0.187 -1.163  -0.187 -1.260  -0.187 -1.357  -0.156 -1.442  -0.150 -1.536  -0.111 -1.595  -0.076 -1.657  0.010 -1.668  0.107 -1.668
2#tos#f3#f3010058/}  -0.136 1.352  -0.226 1.352  -0.256 1.293  -0.216 1.301  -0.137 1.312  -0.128 1.392  -0.038 1.392  0.025 1.365  0.025 1.275  0.065 1.225  0.065 1.135  0.065 1.045  0.065 0.956  0.045 0.870  0.005 0.790  -0.015 0.705  -0.015 0.615  -0.015 0.525  -0.015 0.435  -0.015 0.345  -0.015 0.255  -0.015 0.165  -0.015 0.075  0.067 0.068  0.157 0.068  0.124 0.068  0.105 -0.003  0.036 -0.041  0.025 -0.127  0.025 -0.216  0.025 -0.306  0.035 -0.394  0.065 -0.477  0.065 -0.567  0.105 -0.616  0.105 -0.706  0.105 -0.796  0.105 -0.886  0.105 -0.976  0.105 -1.066  0.105 -1.156  0.085 -1.237  0.043 -1.297  0.025 -1.369  -0.017 -1.417  -0.066 -1.458  -0.095 -1.518  -0.123 -1.592  -0.206 -1.618  -0.216 -1.538
2#tos#f3#f3010058/0  0.392 -0.763  0.339 -0.912  0.339 -1.074  0.185 -1.081  0.024 -1.081  -0.138 -1.081  -0.240 -1.004  -0.337 -0.902  -0.491 -0.869  -0.577 -0.763  -0.615 -0.639  -0.615 -0.478  -0.615 -0.317  -0.721 -0.221  -0.721 -0.059  -0.738 0.085  -0.827 0.158  -0.827 0.319  -0.792 0.472  -0.721 0.617  -0.721 0.778  -0.667 0.907  -0.570 1.008  -0.509 1.132  -0.467 1.251  -0.305 1.251  -0.197 1.304  -0.035 1.304  0.115 1.257  0.222 1.198  0.330 1.145  0.339 0.992  0.436 0.911  0.498 0.788  0.498 0.626  0.498 0.465  0.604 0.409  0.604 0.248  0.710 0.152  0.710 -0.009  0.710 -0.171  0.710 -0.332  0.710 -0.494  0.710 -0.655  0.657 -0.764  0.604 -0.872  0.546 -0.975  0.445 -1.036  0.330 -1.086  0.180 -1.134
2#tos#f3#f3010058/2  -0.349 0.598  -0.435 0.552  -0.474 0.458  -0.606 0.458  -0.704 0.514  -0.723 0.641  -0.707 0.770  -0.648 0.888  -0.539 0.925  -0.495 1.048  -0.389 1.119  -0.273 1.159  -0.162 1.180  -0.055 1.205  0.062 1.243  0.190 1.252  0.303 1.205  0.338 1.095  0.398 1.000  0.398 0.868  0.398 0.736  0.398 0.604  0.362 0.480  0.351 0.350  0.305 0.265  0.263 0.142  0.258 0.011  0.258 -0.121  0.164 -0.160  0.096 -0.264  0.071 -0.386  0.031 -0.489  -0.088 -0.542  -0.116 -0.662  -0.180 -0.765  -0.256 -0.850  -0.256 -0.982  -0.303 -1.068  -0.384 -1.130  -0.303 -1.181  -0.213 -1.223  -0.080 -1.223  0.052 -1.223  0.184 -1.223  0.317 -1.223  0.449 -1.223  0.581 -1.223  0.713 -1.223  0.838 -1.204  0.959 -1.177
2#tos#f3#f3010058/3  -0.277 1.146  -0.438 1.146  -0.513 1.059  -0.560 1.087  -0.410 1.138  -0.256 1.172  -0.100 1.205  0.062 1.205  0.223 1.205  0.384 1.205  0.430 1.089  0.548 1.012  0.548 0.850  0.548 0.689  0.433 0.587  0.371 0.464  0.312 0.362  0.210 0.278  0.081 0.189  -0.075 0.150  -0.227 0.110  -0.382 0.085  -0.513 0.054  -0.587 -0.033  -0.690 0.026  -0.646 0.144  -0.485 0.144  -0.324 0.144  -0.163 0.144  -0.002 0.144  0.135 0.085  0.288 0.034  0.371 -0.095  0.446 -0.226  0.579 -0.313  0.607 -0.457  0.607 -0.618  0.607 -0.780  0.607 -0.941  0.517 -1.065  0.396 -1.169  0.265 -1.259  0.133 -1.350  0.018 -1.423  -0.119 -1.447  -0.281 -1.447  -0.442 -1.447  -0.603 -1.447  -0.764 -1.447  -0.866 -1.388
2#tos#f3#f3010058/4  0.236 1.628  0.167 1.438  0.064 1.257  -0.068 1.081  -0.241 0.969  -0.350 0.785  -0.408 0.574  -0.515 0.391  -0.690 0.271  -0.860 0.185  -0.878 -0.024  -1.024 -0.137  -1.103 -0.277  -1.225 -0.421  -1.270 -0.563  -1.050 -0.563  -0.831 -0.563  -0.611 -0.563  -0.392 -0.563  -0.173 -0.563  0.047 -0.563  0.257 -0.585  0.461 -0.624  0.680 -0.624  0.899 -0.624  1.119 -0.624  1.071 -0.451  0.981 -0.251  0.890 -0.051  0.800 0.149  0.710 0.349  0.619 0.549  0.529 0.749  0.439 0.949  0.348 1.149  0.219 1.211  0.099 1.051  0.053 0.843  0.053 0.623  0.053 0.404  0.053 0.184  0.053 -0.035  0.053 -0.254  0.053 -0.474  0.114 -0.683  0.114 -0.903  0.114 -1.122  0.114 -1.342  0.114 -1.561  0.114 -1.780
2#tos#f3#f3010058/6  0.611 1.849  0.468 1.849  0.403 1.738  0.326 1.655  0.279 1.540  0.151 1.476  0.098 1.364  0.047 1.233  -0.032 1.112  -0.122 1.001  -0.224 0.900  -0.245 0.764  -0.346 0.663  -0.358 0.524  -0.403 0.391  -0.417 0.250  -0.518 0.149  -0.587 0.023  -0.587 -0.121  -0.587 -0.265  -0.587 -0.409  -0.587 -0.552  -0.587 -0.696  -0.587 -0.840  -0.587 -0.984  -0.523 -1.068  -0.407 -1.150  -0.269 -1.175  -0.126 -1.175  0.018 -1.175  0.149 -1.121  0.212 -1.004  0.294 -0.930  0.413 -0.851  0.497 -0.745  0.557 -0.659  0.641 -0.545  0.668 -0.408  0.724 -0.319  0.783 -0.190  0.681 -0.148  0.594 -0.091  0.451 -0.091  0.307 -0.091  0.177 -0.126  0.049 -0.183  -0.033 -0.270  -0.165 -0.319  -0.302 -0.348  -0.415 -0.433
2#tos#f3#f3010058/7  -0.177 0.892  -0.292 0.837  -0.340 0.747  -0.405 0.674  -0.536 0.652  -0.651 0.575  -0.695 0.452  -0.748 0.348  -0.831 0.292  -0.928 0.194  -0.952 0.244  -0.876 0.359  -0.799 0.474  -0.736 0.566  -0.598 0.566  -0.483 0.620  -0.345 0.620  -0.267 0.704  -0.139 0.755  -0.006 0.783  0.132 0.783  0.258 0.771  0.353 0.729  0.490 0.721  0.616 0.674  0.720 0.592  0.847 0.566  0.910 0.490  0.910 0.352  0.832 0.275  0.698 0.241  0.638 0.121  0.603 0.005  0.479 -0.057  0.421 -0.159  0.421 -0.296  0.421 -0.434  0.346 -0.541  0.253 -0.642  0.210 -0.773  0.138 -0.890  0.095 -1.015  0.095 -1.153  0.057 -1.285  0.040 -1.420  0.040 -1.558  -0.014 -1.673  -0.014 -1.811  -0.068 -1.926  -0.123 -2.042
2#tos#f3#f3010058/8  0.780 0.614  0.791 0.477  0.833 0.649  0.833 0.831  0.771 0.982  0.696 1.098  0.526 1.162  0.352 1.193  0.174 1.220  -0.004 1.246  -0.186 1.246  -0.315 1.193  -0.486 1.157  -0.647 1.088  -0.768 1.015  -0.800 0.846  -0.853 0.686  -0.800 0.526  -0.751 0.370  -0.642 0.246  -0.477 0.185  -0.335 0.087  -0.219 -0.019  -0.045 -0.071  0.063 -0.197  0.171 -0.319  0.253 -0.430  0.253 -0.612  0.253 -0.794  0.253 -0.976  0.224 -1.139  0.148 -1.275  0.043 -1.392  -0.087 -1.453  -0.260 -1.493  -0.439 -1.486  -0.484 -1.323  -0.484 -1.141  -0.481 -0.960  -0.379 -0.842  -0.338 -0.689  -0.188 -0.602  -0.079 -0.457  0.028 -0.312  0.173 -0.212  0.328 -0.124  0.405 -0.018  0.582 -0.006  0.725 0.087  0.886 0.140
2#tos#f3#f3010058/A  -1.101 -1.112  -1.228 -1.239  -1.110 -1.158  -1.064 -0.994  -1.014 -0.823  -0.961 -0.665  -0.834 -0.538  -0.751 -0.393  -0.690 -0.232  -0.570 -0.099  -0.486 0.055  -0.406 0.215  -0.339 0.378  -0.274 0.534  -0.182 0.664  -0.182 0.844  -0.082 0.985  -0.014 1.151  0.090 1.280  0.206 1.382  0.331 1.469  0.500 1.443  0.534 1.278  0.578 1.112  0.647 0.947  0.728 0.787  0.736 0.609  0.747 0.432  0.780 0.258  0.819 0.084  0.824 -0.094  0.824 -0.274  0.865 -0.447  0.907 -0.619  0.955 -0.788  0.929 -0.922  0.771 -0.835  0.614 -0.749  0.457 -0.662  0.300 -0.575  0.143 -0.489  -0.014 -0.402  -0.171 -0.315  -0.331 -0.237  -0.510 -0.237  -0.690 -0.237  -0.590 -0.193  -0.410 -0.193  -0.231 -0.193  -0.051 -0.193
2#tos#f3#f3010058/E  -0.887 1.147  -0.978 0.991  -0.892 0.829  -0.672 0.879  -0.471 0.965  -0.238 1.030  0.001 1.088  0.235 1.164  0.462 1.257  0.698 1.327  0.937 1.373  0.907 1.275  0.685 1.168  0.462 1.062  0.240 0.955  0.017 0.848  -0.212 0.778  -0.252 0.548  -0.298 0.312  -0.298 0.065  -0.298 -0.181  -0.343 -0.421  -0.343 -0.667  -0.343 -0.914  -0.521 -1.071  -0.522 -1.286  -0.483 -1.043  -0.445 -0.799  -0.406 -0.555  -0.479 -0.479  -0.290 -0.391  -0.098 -0.304  0.056 -0.201  0.206 -0.077  0.446 -0.059  0.609 0.093  0.676 0.032  0.505 -0.146  0.334 -0.324  0.164 -0.502  -0.007 -0.681  -0.178 -0.859  -0.371 -0.984  -0.296 -1.122  -0.081 -1.130  0.151 -1.077  0.393 -1.064  0.606 -0.984  0.848 -0.972  1.062 -0.893
2#tos#f3#f3010058/F  -0.504 1.033  -0.555 0.928  -0.397 0.957  -0.235 0.957  -0.111 0.995  0.043 1.015  0.182 1.070  0.339 1.100  0.491 1.146  0.646 1.175  0.806 1.183  0.896 1.209  0.744 1.151  0.593 1.094  0.441 1.036  0.290 0.978  0.138 0.921  0.052 0.844  0.023 0.711  0.023 0.549  -0.015 0.403  -0.066 0.253  -0.090 0.096  -0.092 -0.065  -0.128 -0.223  -0.140 -0.384  -0.165 -0.543  -0.202 -0.697  -0.259 -0.847  -0.278 -1.007  -0.304 -1.167  -0.348 -1.322  -0.384 -1.476  -0.454 -1.603  -0.455 -1.682  -0.402 -1.528  -0.350 -1.375  -0.298 -1.222  -0.245 -1.068  -0.193 -0.915  -0.140 -0.762  -0.088 -0.608  -0.035 -0.455  0.017 -0.302  -0.122 -0.285  -0.047 -0.285  0.115 -0.285  0.276 -0.278  0.434 -0.248  0.550 -0.172
2#tos#f3#f3010058/J  -0.512 0.751  -0.639 0.751  -0.700 0.685  -0.732 0.601  -0.611 0.627  -0.492 0.670  -0.366 0.676  -0.259 0.741  -0.153 0.798  -0.028 0.819  0.094 0.853  0.220 0.864  0.300 0.939  0.427 0.939  0.554 0.939  0.681 0.939  0.808 0.939  0.747 0.908  0.627 0.868  0.507 0.828  0.386 0.788  0.266 0.748  0.144 0.714  0.051 0.680  0.058 0.556  0.126 0.458  0.146 0.335  0.201 0.228  0.201 0.101  0.201 -0.026  0.202 -0.152  0.232 -0.276  0.238 -0.402  0.238 -0.529  0.238 -0.656  0.238 -0.782  0.238 -0.909  0.183 -1.020  0.156 -1.139  0.084 -1.241  -0.006 -1.331  -0.073 -1.436  -0.181 -1.500  -0.308 -1.500  -0.435 -1.500  -0.547 -1.465  -0.652 -1.394  -0.664 -1.273  -0.700 -1.161  -0.737 -1.050
2#tos#f3#f3010058/M  -0.535 0.914  -0.535 0.734  -0.575 0.565  -0.609 0.392  -0.654 0.222  -0.679 0.047  -0.743 -0.121  -0.804 -0.289  -0.849 -0.462  -0.868 -0.638  -0.966 -0.782  -0.965 -0.850  -0.948 -0.672  -0.931 -0.494  -0.915 -0.315  -0.898 -0.137  -0.881 0.041  -0.864 0.220  -0.851 0.398  -0.851 0.577  -0.754 0.521  -0.733 0.347  -0.654 0.201  -0.577 0.047  -0.415 -0.010  -0.244 -0.035  -0.070 0.002  0.109 0.004  0.272 0.072  0.404 0.192  0.550 0.277  0.666 0.411  0.809 0.519  0.843 0.694  0.947 0.835  0.984 0.993  1.007 0.837  0.998 0.660  0.967 0.488  0.967 0.309  0.967 0.130  0.967 -0.050  0.967 -0.229  0.967 -0.408  0.967 -0.587  0.967 -0.766  0.967 -0.945  0.979 -1.121  1.046 -1.279  1.046 -1.458
