1d#ced#bngm-227_s_i5/:  0.440 -0.709  0.370 -0.659  0.296 -0.704  0.232 -0.768  0.191 -0.843  0.191 -0.935  0.191 -1.026  0.191 -1.118  0.228 -1.194  0.241 -1.280  0.252 -1.367  0.284 -1.371  0.266 -1.281  0.247 -1.192  0.229 -1.102  0.211 -1.012  0.192 -0.923  0.174 -0.833  0.156 -0.743  0.137 -0.654  0.119 -0.564  0.101 -0.474  0.083 -0.385  0.064 -0.295  0.046 -0.205  0.028 -0.116  0.009 -0.026  -0.009 0.064  -0.027 0.153  -0.046 0.243  -0.064 0.333  -0.082 0.422  -0.100 0.512  -0.119 0.602  -0.137 0.691  -0.155 0.781  -0.174 0.871  -0.192 0.960  -0.207 1.050  -0.211 1.141  -0.252 1.223  -0.293 1.305  -0.349 1.375  -0.356 1.464  -0.408 1.534  -0.456 1.558  -0.456 1.467  -0.415 1.392  -0.356 1.354  -0.307 1.283
1d#ced#bngm-227_s_i5/'  -0.033 0.829  -0.033 0.913  -0.033 0.998  0.006 1.066  0.065 1.126  0.067 1.209  0.067 1.160  0.103 1.164  0.163 1.224  0.166 1.148  0.166 1.192  0.166 1.178  0.142 1.104  0.083 1.044  0.067 0.966  0.100 0.896  0.160 0.836  0.166 0.755  0.166 0.670  0.147 0.591  0.109 0.515  0.071 0.440  0.067 0.357  0.067 0.272  0.067 0.188  0.067 0.104  0.067 0.019  0.067 -0.065  0.030 -0.140  -0.008 -0.216  -0.033 -0.294  -0.033 -0.379  -0.033 -0.463  -0.033 -0.547  -0.033 -0.631  -0.033 -0.716  -0.033 -0.800  -0.040 -0.883  -0.066 -0.963  -0.093 -1.043  -0.120 -1.123  -0.152 -1.200  -0.190 -1.276  -0.228 -1.351  -0.231 -1.435  -0.231 -1.519  -0.231 -1.603  -0.231 -1.687  -0.231 -1.772  -0.231 -1.856
1d#ced#bngm-227_s_i5/\"  -0.877 0.648  -0.953 0.645  -1.082 0.633  -1.159 0.637  -1.263 0.575  -1.317 0.447  -1.180 0.365  -1.052 0.236  -0.923 0.107  -0.794 -0.021  -0.701 -0.172  -0.628 -0.335  -0.499 -0.464  -0.370 -0.592  -0.241 -0.721  -0.113 -0.850  -0.031 -1.007  0.067 -1.145  0.151 -1.275  0.146 -1.211  0.138 -1.029  0.130 -0.847  0.122 -0.665  0.114 -0.484  0.106 -0.302  0.098 -0.120  0.091 0.062  0.083 0.244  0.078 0.426  0.063 0.604  0.004 0.772  0.004 0.954  -0.069 1.106  -0.069 1.288  0.045 1.195  0.165 1.060  0.225 0.892  0.284 0.735  0.400 0.637  0.473 0.474  0.599 0.343  0.700 0.192  0.801 0.040  0.899 -0.113  0.980 -0.276  1.069 -0.435  1.170 -0.586  1.271 -0.737  1.372 -0.889  1.473 -1.040
1d#ced#bngm-227_s_i5/=  -0.839 -0.448  -0.913 -0.461  -1.021 -0.460  -1.112 -0.448  -1.216 -0.508  -1.160 -0.618  -1.005 -0.645  -0.863 -0.708  -0.708 -0.751  -0.543 -0.751  -0.378 -0.751  -0.213 -0.751  -0.049 -0.751  0.114 -0.736  0.271 -0.690  0.436 -0.690  0.601 -0.690  0.766 -0.690  0.923 -0.657  1.081 -0.629  1.246 -0.629  1.395 -0.624  1.261 -0.528  1.127 -0.433  0.993 -0.337  0.858 -0.241  0.724 -0.145  0.590 -0.049  0.456 0.047  0.322 0.142  0.188 0.238  0.054 0.334  -0.081 0.430  -0.215 0.526  -0.342 0.630  -0.470 0.731  -0.601 0.827  -0.752 0.885  -0.839 0.893  -0.828 0.946  -0.663 0.946  -0.498 0.946  -0.333 0.946  -0.169 0.946  -0.004 0.946  0.161 0.946  0.322 0.922  0.481 0.885  0.646 0.885  0.797 0.824
1d#ced#bngm-227_s_i5/\"  -0.761 0.599  -0.936 0.599  -1.026 0.515  -1.026 0.341  -0.954 0.197  -0.854 0.057  -0.776 -0.099  -0.698 -0.254  -0.576 -0.378  -0.477 -0.521  -0.390 -0.671  -0.282 -0.805  -0.159 -0.928  -0.072 -1.073  0.016 -1.210  0.124 -1.330  0.212 -1.448  0.293 -1.571  0.259 -1.400  0.225 -1.229  0.191 -1.059  0.157 -0.888  0.122 -0.717  0.088 -0.547  0.054 -0.376  0.020 -0.205  -0.014 -0.035  -0.048 0.136  -0.082 0.307  -0.126 0.475  -0.167 0.642  -0.167 0.816  -0.210 0.972  -0.233 1.137  -0.233 1.311  -0.206 1.457  -0.059 1.391  0.033 1.257  0.156 1.134  0.279 1.011  0.379 0.869  0.466 0.719  0.573 0.585  0.696 0.462  0.797 0.322  0.874 0.166  0.967 0.020  1.076 -0.116  1.189 -0.247  1.285 -0.392
1d#ced#bngm-227_s_i5/  0.696 1.225  0.640 1.268  0.569 1.265  0.545 1.249  0.521 1.225  0.447 1.225  0.424 1.165  0.360 1.141  0.305 1.178  0.239 1.145  0.230 1.078  0.207 1.010  0.174 0.944  0.145 0.877  0.145 0.804  0.132 0.733  0.100 0.667  0.077 0.597  0.056 0.527  0.042 0.454  0.027 0.382  0.013 0.310  -0.002 0.238  -0.016 0.166  -0.032 0.094  -0.050 0.023  -0.067 -0.049  -0.082 -0.121  -0.096 -0.193  -0.111 -0.265  -0.129 -0.336  -0.147 -0.408  -0.162 -0.480  -0.176 -0.552  -0.191 -0.624  -0.205 -0.696  -0.220 -0.768  -0.234 -0.840  -0.252 -0.912  -0.269 -0.983  -0.287 -1.055  -0.305 -1.126  -0.323 -1.198  -0.337 -1.270  -0.351 -1.342  -0.368 -1.413  -0.391 -1.483  -0.412 -1.554  -0.430 -1.625  -0.448 -1.696
1d#ced#bngm-227_s_i5/=  -1.465 -0.696  -1.604 -0.625  -1.509 -0.555  -1.341 -0.555  -1.174 -0.555  -1.006 -0.555  -0.838 -0.555  -0.670 -0.555  -0.502 -0.555  -0.334 -0.555  -0.166 -0.555  0.002 -0.555  0.166 -0.530  0.328 -0.485  0.496 -0.485  0.664 -0.485  0.832 -0.485  1.000 -0.485  1.138 -0.555  1.299 -0.524  1.458 -0.485  1.418 -0.441  1.265 -0.374  1.111 -0.306  0.957 -0.238  0.804 -0.171  0.650 -0.103  0.496 -0.035  0.343 0.033  0.189 0.100  0.035 0.168  -0.118 0.236  -0.272 0.303  -0.426 0.371  -0.553 0.456  -0.666 0.554  -0.791 0.665  -0.904 0.786  -0.939 0.848  -0.771 0.848  -0.603 0.848  -0.435 0.848  -0.274 0.802  -0.110 0.778  0.057 0.778  0.225 0.778  0.386 0.734  0.550 0.708  0.718 0.708  0.886 0.708
1d#ced#bngm-227_s_i5/.  -0.113 0.898  -0.113 0.985  -0.113 1.072  -0.113 1.159  -0.113 1.246  -0.113 1.332  -0.113 1.419  -0.113 1.506  -0.113 1.419  -0.113 1.332  -0.113 1.246  -0.113 1.159  -0.113 1.072  -0.113 0.985  -0.113 0.898  -0.113 0.811  -0.113 0.724  -0.113 0.637  -0.113 0.550  -0.113 0.463  -0.113 0.376  -0.113 0.289  -0.113 0.202  -0.113 0.115  -0.113 0.028  -0.113 -0.059  -0.113 -0.146  -0.113 -0.233  -0.113 -0.320  -0.113 -0.407  -0.113 -0.494  -0.113 -0.581  -0.070 -0.624  0.017 -0.624  0.104 -0.624  0.191 -0.624  0.191 -0.711  0.191 -0.798  0.191 -0.885  0.191 -0.972  0.191 -1.059  0.191 -1.146  0.191 -1.233  0.191 -1.320  0.191 -1.407  0.191 -1.494  0.235 -1.538  0.322 -1.538  0.409 -1.538  0.496 -1.538
1d#ced#bngm-227_s_i5/%  -0.983 0.582  -1.051 0.691  -0.983 0.807  -0.854 0.912  -0.704 0.849  -0.576 0.734  -0.500 0.582  -0.489 0.440  -0.638 0.379  -0.806 0.404  -0.947 0.495  -1.033 0.623  -0.989 0.778  -0.872 0.898  -0.707 0.937  -0.539 0.953  -0.368 0.925  -0.196 0.897  -0.024 0.869  0.147 0.841  0.319 0.814  0.389 0.827  0.334 0.704  0.271 0.549  0.237 0.381  0.211 0.210  0.202 0.037  0.184 -0.134  0.161 -0.305  0.127 -0.475  0.089 -0.644  0.078 -0.817  0.028 -0.983  -0.003 -1.152  0.002 -1.281  0.132 -1.165  0.261 -1.049  0.391 -0.933  0.482 -0.799  0.559 -0.654  0.634 -0.520  0.783 -0.460  0.932 -0.469  1.024 -0.614  1.075 -0.775  1.075 -0.949  0.993 -1.075  0.839 -1.066  0.711 -0.960  0.592 -0.841
1d#ced#bngm-227_s_i5/$  0.881 0.658  0.676 0.795  0.680 1.017  0.437 1.078  0.196 1.051  -0.043 0.972  -0.266 0.851  -0.464 0.689  -0.613 0.481  -0.695 0.236  -0.608 0.011  -0.377 -0.087  -0.124 -0.130  0.136 -0.130  0.395 -0.130  0.646 -0.176  0.885 -0.276  0.964 -0.489  0.923 -0.739  0.811 -0.971  0.639 -1.159  0.432 -1.313  0.200 -1.425  -0.047 -1.504  -0.304 -1.522  -0.547 -1.512  -0.556 -1.274  -0.511 -1.018  -0.466 -0.762  -0.422 -0.507  -0.377 -0.251  -0.332 0.005  -0.288 0.260  -0.243 0.516  -0.198 0.771  -0.154 1.027  -0.129 1.282  -0.249 1.501  -0.327 1.563  -0.219 1.335  -0.171 1.084  -0.120 0.829  -0.077 0.573  -0.064 0.315  -0.028 0.058  -0.012 -0.201  -0.001 -0.459  0.014 -0.718  0.052 -0.974  0.067 -1.233
1d#ced#bngm-227_s_i5/,  0.190 0.518  0.115 0.444  0.041 0.502  -0.058 0.518  -0.164 0.518  -0.269 0.518  -0.375 0.518  -0.453 0.583  -0.528 0.658  -0.602 0.733  -0.677 0.725  -0.718 0.730  -0.788 0.766  -0.890 0.773  -0.965 0.848  -0.891 0.774  -0.872 0.848  -0.767 0.848  -0.661 0.848  -0.556 0.848  -0.480 0.776  -0.406 0.701  -0.352 0.612  -0.305 0.517  -0.230 0.443  -0.137 0.393  -0.058 0.337  -0.058 0.231  -0.014 0.144  0.061 0.070  0.135 -0.005  0.199 -0.086  0.232 -0.186  0.266 -0.287  0.319 -0.377  0.377 -0.465  0.436 -0.552  0.483 -0.646  0.531 -0.741  0.578 -0.835  0.625 -0.929  0.672 -1.024  0.719 -1.118  0.766 -1.212  0.814 -1.307  0.861 -1.401  0.908 -1.495  0.948 -1.592  0.982 -1.693  1.015 -1.793
1d#ced#bngm-227_s_i5/!  0.282 1.288  0.228 1.337  0.187 1.384  0.138 1.411  0.073 1.436  -0.002 1.436  -0.014 1.373  0.004 1.302  0.015 1.230  0.036 1.160  0.036 1.085  0.036 1.010  0.045 0.937  0.060 0.865  0.060 0.790  0.060 0.715  0.060 0.640  0.074 0.567  0.085 0.493  0.084 0.419  0.065 0.346  0.060 0.272  0.060 0.197  0.060 0.122  0.047 0.049  0.026 -0.023  0.011 -0.096  0.010 -0.170  -0.008 -0.243  -0.030 -0.315  -0.039 -0.388  -0.046 -0.462  -0.063 -0.534  -0.072 -0.606  -0.088 -0.678  -0.109 -0.749  -0.113 -0.823  -0.130 -0.887  -0.112 -0.960  -0.094 -1.032  -0.076 -1.105  -0.058 -1.178  -0.040 -1.250  -0.039 -1.325  -0.048 -1.398  -0.088 -1.459  -0.096 -1.526  -0.143 -1.557  -0.210 -1.575  -0.187 -1.526
1d#ced#bngm-227_s_i5/'  -0.441 0.933  -0.441 0.958  -0.395 0.979  -0.384 0.950  -0.384 0.941  -0.327 0.990  -0.303 0.957  -0.269 1.033  -0.217 0.995  -0.186 1.048  -0.097 1.048  -0.065 1.023  -0.055 0.990  -0.028 0.946  -0.003 0.971  -0.041 0.969  -0.098 0.979  -0.098 0.890  -0.098 0.800  -0.098 0.711  -0.061 0.630  -0.041 0.545  -0.041 0.455  -0.024 0.369  0.004 0.284  0.016 0.196  0.016 0.107  0.035 0.020  0.063 -0.065  0.087 -0.151  0.109 -0.238  0.130 -0.325  0.130 -0.414  0.133 -0.503  0.162 -0.588  0.187 -0.673  0.187 -0.763  0.187 -0.852  0.187 -0.942  0.187 -1.031  0.201 -1.119  0.223 -1.206  0.244 -1.293  0.244 -1.382  0.244 -1.472  0.244 -1.561  0.244 -1.651  0.244 -1.740  0.244 -1.830  0.244 -1.919
1d#ced#bngm-227_s_i5/'  -0.185 0.261  -0.074 0.261  0.038 0.261  0.123 0.324  0.202 0.403  0.281 0.482  0.383 0.506  0.428 0.573  0.484 0.629  0.551 0.673  0.584 0.752  0.674 0.774  0.674 0.864  0.674 0.752  0.674 0.863  0.774 0.875  0.797 0.964  0.718 0.997  0.674 0.930  0.618 0.875  0.551 0.829  0.527 0.728  0.448 0.649  0.369 0.570  0.284 0.506  0.178 0.497  0.128 0.397  0.078 0.297  0.060 0.189  0.033 0.084  -0.017 -0.016  -0.069 -0.114  -0.148 -0.193  -0.227 -0.272  -0.306 -0.351  -0.385 -0.430  -0.452 -0.518  -0.502 -0.618  -0.552 -0.717  -0.602 -0.817  -0.652 -0.917  -0.694 -1.020  -0.730 -1.126  -0.765 -1.232  -0.801 -1.337  -0.880 -1.416  -0.939 -1.508  -0.974 -1.614  -1.009 -1.720  -1.045 -1.826
1d#ced#bngm-227_s_i5/!  -0.120 1.182  -0.092 1.260  -0.029 1.323  0.025 1.383  0.056 1.456  0.092 1.509  0.107 1.534  0.107 1.445  0.107 1.356  0.107 1.267  0.108 1.178  0.132 1.092  0.132 1.003  0.145 0.916  0.157 0.828  0.162 0.740  0.182 0.654  0.182 0.565  0.182 0.475  0.203 0.389  0.227 0.307  0.204 0.221  0.181 0.135  0.158 0.049  0.136 -0.038  0.113 -0.124  0.090 -0.210  0.067 -0.297  0.044 -0.383  0.021 -0.469  -0.002 -0.555  -0.025 -0.642  -0.048 -0.728  -0.071 -0.814  -0.094 -0.901  -0.117 -0.987  -0.139 -1.073  -0.162 -1.159  -0.185 -1.246  -0.220 -1.309  -0.271 -1.255  -0.296 -1.191  -0.292 -1.212  -0.246 -1.268  -0.246 -1.210  -0.221 -1.146  -0.195 -1.067  -0.170 -0.988  -0.115 -0.961  -0.070 -1.032
1d#ced#bngm-227_s_i5/=  -0.910 -0.678  -0.776 -0.758  -0.694 -0.891  -0.553 -0.926  -0.594 -0.897  -0.539 -0.855  -0.410 -0.788  -0.252 -0.788  -0.095 -0.788  0.052 -0.744  0.207 -0.733  0.364 -0.733  0.521 -0.733  0.667 -0.683  0.819 -0.696  0.968 -0.733  1.125 -0.733  1.282 -0.733  1.239 -0.676  1.106 -0.592  0.972 -0.509  0.839 -0.425  0.706 -0.342  0.572 -0.259  0.439 -0.175  0.305 -0.092  0.172 -0.008  0.038 0.075  -0.095 0.158  -0.229 0.242  -0.362 0.325  -0.495 0.409  -0.629 0.492  -0.762 0.575  -0.889 0.667  -0.997 0.754  -1.074 0.851  -1.081 0.907  -0.936 0.935  -0.789 0.961  -0.632 0.961  -0.474 0.961  -0.317 0.961  -0.159 0.961  -0.002 0.961  0.155 0.961  0.313 0.961  0.470 0.961  0.627 0.961  0.785 0.961
