3#apb#apb38#app3822/D  -0.283 0.962  -0.334 0.791  -0.360 0.603  -0.351 0.413  -0.345 0.223  -0.345 0.032  -0.345 -0.158  -0.338 -0.348  -0.332 -0.538  -0.339 -0.728  -0.354 -0.917  -0.344 -1.106  -0.320 -1.238  -0.326 -1.050  -0.323 -0.860  -0.314 -0.670  -0.331 -0.480  -0.352 -0.292  -0.384 -0.104  -0.399 0.084  -0.378 0.273  -0.358 0.462  -0.344 0.651  -0.329 0.841  -0.290 1.027  -0.235 1.208  -0.153 1.380  -0.037 1.529  0.133 1.576  0.290 1.475  0.413 1.333  0.511 1.170  0.577 0.992  0.649 0.816  0.727 0.642  0.790 0.463  0.844 0.281  0.866 0.092  0.848 -0.095  0.800 -0.279  0.735 -0.457  0.641 -0.622  0.534 -0.779  0.399 -0.913  0.262 -1.045  0.119 -1.169  -0.035 -1.281  -0.199 -1.372  -0.386 -1.407  -0.576 -1.411
3#apb#apb38#app3822/r  -0.276 -0.494  -0.245 -0.577  -0.213 -0.660  -0.184 -0.744  -0.184 -0.833  -0.184 -0.921  -0.184 -1.010  -0.184 -1.099  -0.184 -1.188  -0.156 -1.268  -0.123 -1.347  -0.123 -1.379  -0.123 -1.291  -0.099 -1.205  -0.074 -1.120  -0.048 -1.035  -0.032 -0.949  -0.032 -0.860  -0.032 -0.772  -0.032 -0.683  -0.032 -0.594  -0.034 -0.505  -0.040 -0.417  -0.046 -0.328  -0.053 -0.240  -0.059 -0.151  -0.063 -0.063  -0.063 0.026  -0.063 0.115  -0.063 0.204  -0.063 0.292  -0.061 0.381  -0.054 0.470  -0.047 0.558  -0.040 0.647  -0.034 0.735  -0.014 0.821  0.010 0.907  0.033 0.992  0.056 1.078  0.094 1.158  0.134 1.238  0.173 1.317  0.214 1.395  0.285 1.449  0.356 1.502  0.427 1.555  0.505 1.597  0.586 1.632  0.668 1.667
3#apb#apb38#app3822/g  0.041 1.278  -0.071 1.215  -0.184 1.151  -0.296 1.087  -0.399 1.011  -0.498 0.928  -0.604 0.854  -0.711 0.782  -0.806 0.696  -0.886 0.595  -0.923 0.473  -0.928 0.349  -0.880 0.229  -0.775 0.154  -0.648 0.139  -0.523 0.148  -0.408 0.206  -0.292 0.264  -0.177 0.321  -0.088 0.415  -0.005 0.513  0.069 0.619  0.155 0.714  0.244 0.802  0.363 0.771  0.462 0.690  0.540 0.587  0.581 0.465  0.622 0.342  0.641 0.215  0.662 0.087  0.693 -0.038  0.722 -0.164  0.737 -0.292  0.751 -0.420  0.727 -0.547  0.704 -0.674  0.668 -0.798  0.627 -0.920  0.555 -1.027  0.475 -1.127  0.379 -1.214  0.271 -1.280  0.151 -1.327  0.027 -1.362  -0.098 -1.393  -0.226 -1.402  -0.356 -1.402  -0.481 -1.373  -0.605 -1.338
3#apb#apb38#app3822/i  -0.172 0.446  -0.231 0.345  -0.231 0.226  -0.210 0.112  -0.152 0.008  -0.094 -0.096  -0.083 -0.213  -0.083 -0.332  -0.083 -0.451  -0.083 -0.570  -0.083 -0.689  -0.083 -0.809  -0.083 -0.928  -0.092 -1.046  -0.118 -1.162  -0.142 -1.279  -0.142 -1.398  -0.142 -1.517  -0.130 -1.496  -0.109 -1.379  -0.088 -1.261  -0.068 -1.144  -0.047 -1.027  -0.026 -0.909  -0.006 -0.792  0.015 -0.675  0.036 -0.557  0.057 -0.440  0.077 -0.322  0.098 -0.205  0.119 -0.088  0.139 0.030  0.160 0.147  0.181 0.264  0.202 0.382  0.222 0.499  0.243 0.617  0.264 0.734  0.284 0.851  0.290 0.965  0.221 1.062  0.151 1.159  0.067 1.243  -0.017 1.328  -0.024 1.444  -0.026 1.563  -0.039 1.682  -0.053 1.800  0.018 1.893  0.095 1.985
3#apb#apb38#app3822/a  0.503 0.853  0.394 0.860  0.272 0.813  0.153 0.737  0.028 0.672  -0.100 0.613  -0.228 0.555  -0.357 0.499  -0.489 0.447  -0.620 0.396  -0.750 0.342  -0.876 0.279  -1.002 0.216  -1.115 0.136  -1.211 0.032  -1.296 -0.077  -1.335 -0.213  -1.347 -0.349  -1.309 -0.485  -1.196 -0.563  -1.076 -0.637  -0.935 -0.630  -0.795 -0.622  -0.664 -0.576  -0.536 -0.515  -0.410 -0.453  -0.301 -0.364  -0.192 -0.275  -0.087 -0.181  0.013 -0.081  0.093 0.032  0.156 0.159  0.189 0.295  0.202 0.435  0.173 0.474  0.268 0.370  0.354 0.259  0.468 0.175  0.584 0.096  0.703 0.020  0.822 -0.055  0.942 -0.129  1.060 -0.205  1.176 -0.286  1.297 -0.358  1.425 -0.417  1.554 -0.472  1.681 -0.532  1.794 -0.616  1.923 -0.673
3#apb#apb38#app3822/N  -0.883 -1.583  -0.908 -1.475  -0.919 -1.367  -0.904 -1.255  -0.890 -1.144  -0.876 -1.032  -0.858 -0.922  -0.837 -0.811  -0.816 -0.701  -0.795 -0.590  -0.774 -0.480  -0.753 -0.370  -0.728 -0.260  -0.703 -0.151  -0.677 -0.041  -0.642 0.065  -0.606 0.172  -0.567 0.277  -0.527 0.382  -0.473 0.480  -0.402 0.567  -0.298 0.571  -0.203 0.513  -0.127 0.431  -0.056 0.344  0.023 0.265  0.092 0.177  0.145 0.078  0.196 -0.022  0.251 -0.119  0.314 -0.213  0.379 -0.304  0.465 -0.369  0.563 -0.321  0.627 -0.230  0.671 -0.126  0.712 -0.022  0.753 0.083  0.781 0.192  0.805 0.301  0.821 0.412  0.842 0.523  0.875 0.630  0.900 0.739  0.919 0.850  0.956 0.956  0.993 1.062  1.018 1.171  1.047 1.280  1.078 1.388
3#apb#apb38#app3822/e  -0.385 -0.054  -0.282 -0.128  -0.176 -0.159  -0.063 -0.102  0.049 -0.045  0.160 0.015  0.270 0.076  0.351 0.169  0.419 0.275  0.487 0.381  0.565 0.479  0.654 0.568  0.743 0.657  0.812 0.761  0.873 0.871  0.890 0.993  0.876 1.118  0.797 1.191  0.677 1.212  0.562 1.160  0.447 1.108  0.337 1.047  0.228 0.983  0.121 0.918  0.024 0.837  -0.073 0.757  -0.168 0.675  -0.240 0.571  -0.312 0.467  -0.384 0.364  -0.422 0.244  -0.459 0.123  -0.497 0.003  -0.534 -0.117  -0.571 -0.238  -0.605 -0.359  -0.605 -0.485  -0.605 -0.611  -0.600 -0.737  -0.584 -0.862  -0.568 -0.987  -0.545 -1.110  -0.494 -1.225  -0.444 -1.341  -0.393 -1.456  -0.298 -1.534  -0.193 -1.604  -0.073 -1.623  0.053 -1.623  0.179 -1.623
3#apb#apb38#app3822/w  -0.939 0.806  -0.963 0.686  -0.988 0.566  -1.018 0.448  -1.047 0.329  -1.070 0.209  -1.092 0.089  -1.111 -0.031  -1.129 -0.152  -1.139 -0.274  -1.139 -0.396  -1.134 -0.517  -1.060 -0.587  -0.954 -0.539  -0.873 -0.449  -0.791 -0.358  -0.709 -0.267  -0.627 -0.176  -0.542 -0.090  -0.451 -0.008  -0.360 0.074  -0.267 0.153  -0.183 0.240  -0.087 0.235  0.009 0.173  0.058 0.061  0.094 -0.055  0.116 -0.175  0.140 -0.294  0.166 -0.414  0.198 -0.532  0.264 -0.626  0.379 -0.660  0.495 -0.628  0.588 -0.549  0.675 -0.463  0.754 -0.371  0.826 -0.272  0.897 -0.172  0.967 -0.072  1.037 0.028  1.101 0.132  1.152 0.242  1.204 0.353  1.262 0.460  1.334 0.559  1.406 0.657  1.463 0.765  1.518 0.874  1.572 0.984
3#apb#apb38#app3822/H  -0.875 1.074  -0.804 0.883  -0.811 0.661  -0.818 0.439  -0.826 0.218  -0.879 0.002  -0.918 -0.217  -0.928 -0.439  -0.952 -0.660  -0.987 -0.880  -0.991 -1.102  -0.972 -1.323  -0.900 -1.429  -0.779 -1.242  -0.659 -1.055  -0.538 -0.868  -0.418 -0.681  -0.297 -0.494  -0.176 -0.307  -0.056 -0.120  0.065 0.067  0.186 0.254  0.306 0.441  0.427 0.628  0.548 0.815  0.668 1.002  0.789 1.189  0.909 1.376  0.963 1.422  0.960 1.202  0.960 0.981  0.936 0.759  0.902 0.539  0.866 0.320  0.836 0.099  0.800 -0.120  0.746 -0.336  0.704 -0.554  0.644 -0.706  0.460 -0.581  0.277 -0.455  0.093 -0.329  -0.090 -0.204  -0.274 -0.078  -0.388 -0.021  -0.181 -0.090  0.039 -0.069  0.258 -0.030  0.477 0.003  0.700 0.018
3#apb#apb38#app3822/a  0.856 1.334  0.727 1.265  0.597 1.196  0.468 1.127  0.338 1.058  0.228 0.962  0.117 0.865  0.007 0.768  -0.103 0.671  -0.213 0.574  -0.323 0.477  -0.433 0.380  -0.545 0.286  -0.678 0.224  -0.811 0.162  -0.944 0.100  -1.070 0.030  -1.160 -0.086  -1.250 -0.202  -1.309 -0.331  -1.330 -0.476  -1.254 -0.589  -1.140 -0.679  -1.012 -0.752  -0.877 -0.767  -0.736 -0.729  -0.594 -0.691  -0.452 -0.654  -0.332 -0.572  -0.216 -0.483  -0.099 -0.393  0.017 -0.304  0.116 -0.195  0.214 -0.086  0.312 0.023  0.408 0.134  0.504 0.245  0.586 0.361  0.614 0.360  0.717 0.256  0.753 0.113  0.790 -0.028  0.872 -0.150  0.953 -0.272  1.011 -0.404  1.042 -0.548  1.080 -0.689  1.133 -0.826  1.186 -0.963  1.238 -1.100
3#apb#apb38#app3822/m  -0.749 0.279  -0.839 0.171  -0.905 0.048  -0.946 -0.085  -0.959 -0.225  -0.959 -0.365  -0.969 -0.505  -0.983 -0.645  -0.985 -0.786  -1.004 -0.925  -1.031 -1.005  -1.054 -0.882  -1.000 -0.753  -0.945 -0.623  -0.888 -0.495  -0.831 -0.366  -0.773 -0.238  -0.685 -0.129  -0.596 -0.020  -0.511 0.092  -0.428 0.206  -0.334 0.308  -0.219 0.388  -0.098 0.457  0.034 0.507  0.117 0.409  0.131 0.269  0.139 0.129  0.139 -0.011  0.120 -0.149  0.072 -0.281  0.046 -0.417  0.127 -0.314  0.211 -0.202  0.296 -0.089  0.386 0.018  0.481 0.122  0.579 0.221  0.698 0.297  0.816 0.373  0.933 0.451  1.048 0.532  1.168 0.604  1.297 0.661  1.427 0.715  1.560 0.686  1.655 0.588  1.718 0.463  1.739 0.326  1.752 0.186
3#apb#apb38#app3822/p  -0.290 0.848  -0.367 0.847  -0.321 0.947  -0.283 1.050  -0.219 1.140  -0.135 1.210  -0.033 1.248  0.075 1.266  0.184 1.247  0.292 1.223  0.397 1.188  0.479 1.121  0.545 1.032  0.585 0.930  0.620 0.825  0.626 0.716  0.618 0.605  0.603 0.496  0.568 0.391  0.533 0.286  0.480 0.191  0.409 0.107  0.337 0.022  0.257 -0.054  0.171 -0.123  0.077 -0.166  -0.033 -0.155  -0.139 -0.125  -0.221 -0.065  -0.233 0.045  -0.162 0.099  -0.118 0.006  -0.118 -0.105  -0.118 -0.215  -0.118 -0.326  -0.134 -0.435  -0.153 -0.544  -0.173 -0.653  -0.198 -0.761  -0.225 -0.868  -0.252 -0.976  -0.285 -1.081  -0.319 -1.187  -0.352 -1.293  -0.385 -1.398  -0.418 -1.504  -0.451 -1.610  -0.491 -1.713  -0.535 -1.814  -0.578 -1.916
3#apb#apb38#app3822/s  1.073 1.345  0.963 1.345  0.859 1.309  0.772 1.250  0.700 1.168  0.622 1.091  0.531 1.028  0.441 0.965  0.350 0.902  0.252 0.852  0.153 0.803  0.055 0.754  -0.044 0.704  -0.138 0.648  -0.231 0.588  -0.323 0.528  -0.416 0.468  -0.508 0.408  -0.604 0.355  -0.704 0.309  -0.804 0.262  -0.904 0.215  -0.973 0.130  -1.000 0.029  -0.914 -0.038  -0.809 -0.066  -0.701 -0.090  -0.594 -0.115  -0.486 -0.140  -0.379 -0.163  -0.269 -0.174  -0.159 -0.185  -0.058 -0.228  0.042 -0.274  0.144 -0.316  0.248 -0.351  0.317 -0.437  0.362 -0.535  0.392 -0.641  0.422 -0.747  0.425 -0.854  0.401 -0.961  0.373 -1.068  0.341 -1.173  0.301 -1.275  0.245 -1.370  0.188 -1.464  0.108 -1.539  0.021 -1.605  -0.081 -1.646
3#apb#apb38#app3822/h  0.167 1.854  0.178 1.889  0.157 1.769  0.111 1.649  0.072 1.527  0.052 1.400  0.033 1.273  -0.018 1.156  -0.070 1.038  -0.123 0.921  -0.172 0.803  -0.219 0.683  -0.266 0.564  -0.312 0.444  -0.357 0.324  -0.392 0.200  -0.426 0.076  -0.461 -0.047  -0.495 -0.171  -0.537 -0.292  -0.584 -0.412  -0.631 -0.531  -0.673 -0.652  -0.705 -0.776  -0.734 -0.901  -0.713 -1.006  -0.656 -0.942  -0.572 -0.844  -0.482 -0.754  -0.391 -0.663  -0.297 -0.575  -0.202 -0.489  -0.109 -0.401  -0.023 -0.306  0.063 -0.210  0.153 -0.119  0.257 -0.055  0.385 -0.041  0.513 -0.037  0.630 -0.075  0.714 -0.173  0.774 -0.283  0.815 -0.405  0.820 -0.532  0.820 -0.661  0.813 -0.789  0.796 -0.916  0.779 -1.043  0.765 -1.171  0.753 -1.299
3#apb#apb38#app3822/i  0.359 0.380  0.249 0.333  0.140 0.286  0.083 0.183  0.029 0.077  -0.024 -0.030  -0.078 -0.137  -0.129 -0.244  -0.161 -0.359  -0.192 -0.474  -0.223 -0.590  -0.276 -0.696  -0.330 -0.803  -0.365 -0.916  -0.387 -1.033  -0.408 -1.150  -0.432 -1.267  -0.458 -1.384  -0.483 -1.498  -0.443 -1.386  -0.403 -1.273  -0.363 -1.161  -0.322 -1.049  -0.282 -0.936  -0.242 -0.824  -0.202 -0.712  -0.162 -0.599  -0.122 -0.487  -0.082 -0.375  -0.042 -0.262  -0.001 -0.150  0.039 -0.038  0.079 0.075  0.119 0.187  0.159 0.300  0.199 0.412  0.239 0.524  0.279 0.637  0.320 0.749  0.360 0.861  0.400 0.974  0.440 1.086  0.480 1.198  0.463 1.313  0.430 1.427  0.386 1.538  0.339 1.648  0.327 1.764  0.336 1.883  0.359 2.000
3#apb#apb38#app3822/r  -0.191 0.194  -0.249 0.097  -0.307 0.001  -0.333 -0.104  -0.333 -0.217  -0.333 -0.329  -0.330 -0.441  -0.309 -0.552  -0.288 -0.662  -0.268 -0.773  -0.245 -0.883  -0.221 -0.993  -0.198 -1.103  -0.191 -1.215  -0.191 -1.327  -0.154 -1.406  -0.236 -1.431  -0.219 -1.320  -0.202 -1.209  -0.191 -1.097  -0.191 -0.985  -0.191 -0.872  -0.191 -0.760  -0.181 -0.648  -0.168 -0.536  -0.155 -0.425  -0.145 -0.313  -0.159 -0.201  -0.173 -0.090  -0.187 0.022  -0.166 0.130  -0.133 0.238  -0.100 0.345  -0.074 0.455  -0.049 0.564  -0.023 0.674  0.013 0.780  0.048 0.887  0.099 0.985  0.173 1.070  0.249 1.151  0.343 1.214  0.437 1.276  0.533 1.335  0.629 1.392  0.731 1.433  0.843 1.447  0.954 1.438  1.061 1.406  1.161 1.356
3#apb#apb38#app3822/e  -0.513 0.299  -0.465 0.212  -0.333 0.186  -0.201 0.160  -0.069 0.160  0.064 0.180  0.197 0.200  0.328 0.225  0.458 0.260  0.588 0.294  0.712 0.345  0.835 0.399  0.958 0.453  1.078 0.514  1.186 0.587  1.251 0.701  1.217 0.827  1.108 0.905  0.982 0.946  0.853 0.954  0.727 0.906  0.602 0.857  0.484 0.794  0.365 0.730  0.248 0.664  0.135 0.592  0.022 0.519  -0.091 0.446  -0.204 0.374  -0.317 0.301  -0.416 0.211  -0.516 0.121  -0.616 0.031  -0.717 -0.057  -0.795 -0.166  -0.865 -0.280  -0.915 -0.405  -0.955 -0.533  -0.981 -0.664  -0.947 -0.790  -0.897 -0.915  -0.847 -1.040  -0.775 -1.146  -0.660 -1.215  -0.539 -1.271  -0.411 -1.314  -0.284 -1.356  -0.157 -1.399  -0.023 -1.402  0.112 -1.402
3#apb#apb38#app3822/I  0.037 0.710  0.021 0.514  0.017 0.289  0.008 0.064  -0.004 -0.160  -0.013 -0.385  -0.021 -0.609  -0.021 -0.834  -0.122 -0.770  -0.263 -0.594  -0.403 -0.419  -0.543 -0.243  -0.684 -0.067  -0.824 0.108  -0.965 0.284  -1.002 0.462  -0.794 0.545  -0.581 0.619  -0.367 0.688  -0.155 0.761  0.058 0.835  0.271 0.905  0.485 0.975  0.701 1.037  0.918 1.097  1.136 1.152  1.358 1.181  1.414 1.101  1.246 0.953  1.077 0.804  0.908 0.655  0.740 0.506  0.571 0.358  0.403 0.209  0.234 0.060  0.066 -0.088  -0.103 -0.237  -0.272 -0.386  -0.440 -0.535  -0.609 -0.683  -0.777 -0.832  -0.942 -0.985  -0.966 -1.166  -0.770 -1.256  -0.550 -1.239  -0.330 -1.192  -0.110 -1.143  0.106 -1.084  0.321 -1.019  0.534 -0.946
3#apb#apb38#app3822/o  0.748 1.146  0.647 1.065  0.546 0.983  0.445 0.902  0.344 0.820  0.243 0.738  0.142 0.657  0.041 0.575  -0.060 0.494  -0.161 0.412  -0.261 0.331  -0.362 0.249  -0.463 0.167  -0.564 0.086  -0.665 0.004  -0.766 -0.077  -0.867 -0.159  -0.968 -0.240  -1.053 -0.337  -1.127 -0.443  -1.201 -0.550  -1.250 -0.669  -1.247 -0.783  -1.155 -0.875  -1.036 -0.887  -0.908 -0.870  -0.779 -0.852  -0.651 -0.835  -0.526 -0.801  -0.404 -0.757  -0.282 -0.713  -0.160 -0.669  -0.038 -0.625  0.072 -0.558  0.176 -0.480  0.280 -0.402  0.384 -0.325  0.487 -0.247  0.590 -0.168  0.684 -0.079  0.779 0.011  0.873 0.100  0.967 0.189  1.045 0.291  1.108 0.404  1.171 0.517  1.234 0.631  1.278 0.752  1.314 0.877  1.350 1.002
