1b#ced#jika4257_s_0o/P  -0.242 0.781  -0.266 0.751  -0.266 0.561  -0.242 0.375  -0.242 0.185  -0.225 -0.004  -0.218 -0.193  -0.218 -0.383  -0.218 -0.574  -0.218 -0.764  -0.218 -0.954  -0.194 -1.141  -0.170 -1.329  -0.152 -1.517  -0.056 -1.668  -0.101 -1.500  -0.156 -1.318  -0.211 -1.136  -0.267 -0.954  -0.322 -0.772  -0.377 -0.590  -0.432 -0.408  -0.487 -0.226  -0.542 -0.044  -0.597 0.138  -0.653 0.320  -0.773 0.465  -0.856 0.633  -0.865 0.821  -0.749 0.963  -0.575 1.040  -0.394 1.095  -0.207 1.121  -0.018 1.142  0.172 1.144  0.361 1.132  0.537 1.064  0.717 1.003  0.879 0.904  0.984 0.754  1.085 0.594  1.114 0.409  1.135 0.221  1.082 0.039  1.002 -0.133  0.868 -0.265  0.717 -0.374  0.547 -0.454  0.359 -0.476  0.169 -0.476
1b#ced#jika4257_s_0o/D  -0.142 0.643  -0.220 0.624  -0.224 0.426  -0.197 0.232  -0.197 0.033  -0.197 -0.166  -0.185 -0.363  -0.170 -0.559  -0.154 -0.756  -0.131 -0.947  -0.159 -0.818  -0.199 -0.624  -0.240 -0.429  -0.280 -0.234  -0.321 -0.039  -0.361 0.156  -0.401 0.350  -0.442 0.545  -0.482 0.740  -0.523 0.935  -0.610 1.111  -0.736 1.265  -0.866 1.412  -0.825 1.369  -0.652 1.275  -0.484 1.176  -0.331 1.051  -0.165 0.941  -0.001 0.831  0.167 0.725  0.327 0.605  0.496 0.501  0.657 0.389  0.810 0.263  0.958 0.130  1.096 -0.013  1.186 -0.189  1.242 -0.372  1.197 -0.565  1.068 -0.713  0.910 -0.834  0.738 -0.934  0.553 -1.008  0.369 -1.082  0.172 -1.096  -0.022 -1.140  -0.213 -1.191  -0.410 -1.206  -0.606 -1.226  -0.797 -1.226
1b#ced#jika4257_s_0o/O  -0.351 0.807  -0.468 0.871  -0.578 0.820  -0.645 0.701  -0.688 0.572  -0.722 0.440  -0.768 0.311  -0.802 0.179  -0.825 0.046  -0.837 -0.090  -0.867 -0.222  -0.867 -0.359  -0.834 -0.491  -0.799 -0.617  -0.738 -0.740  -0.671 -0.856  -0.574 -0.953  -0.464 -1.035  -0.336 -1.080  -0.200 -1.085  -0.067 -1.103  0.066 -1.080  0.201 -1.063  0.334 -1.029  0.447 -0.960  0.563 -0.893  0.665 -0.805  0.762 -0.709  0.847 -0.601  0.915 -0.483  0.959 -0.354  0.993 -0.221  1.004 -0.085  0.987 0.050  0.971 0.185  0.945 0.314  0.879 0.434  0.814 0.554  0.730 0.662  0.631 0.756  0.521 0.839  0.393 0.887  0.268 0.942  0.135 0.974  0.000 1.000  -0.137 0.997  -0.270 0.968  -0.403 0.955  -0.512 0.872  -0.609 0.775
1b#ced#jika4257_s_0o/Z  -1.128 0.964  -1.013 1.029  -0.883 1.045  -0.751 1.045  -0.620 1.023  -0.488 1.023  -0.359 1.045  -0.226 1.045  -0.094 1.045  0.039 1.045  0.169 1.069  0.302 1.072  0.421 1.062  0.371 0.939  0.294 0.834  0.234 0.719  0.174 0.601  0.105 0.487  0.032 0.377  -0.038 0.264  -0.109 0.152  -0.169 0.034  -0.258 -0.063  -0.321 -0.180  -0.379 -0.298  -0.456 -0.404  -0.532 -0.513  -0.606 -0.623  -0.665 -0.741  -0.716 -0.863  -0.682 -0.783  -0.627 -0.664  -0.570 -0.547  -0.449 -0.507  -0.320 -0.529  -0.200 -0.586  -0.074 -0.624  0.044 -0.679  0.172 -0.711  0.296 -0.758  0.421 -0.803  0.552 -0.810  0.682 -0.830  0.814 -0.830  0.947 -0.830  1.079 -0.822  1.207 -0.790  1.336 -0.758  1.457 -0.705  1.584 -0.669
1b#ced#jika4257_s_0o/E  -0.625 0.761  -0.631 0.516  -0.661 0.273  -0.686 0.030  -0.719 -0.211  -0.759 -0.451  -0.778 -0.694  -0.839 -0.925  -0.941 -1.131  -0.840 -1.036  -0.600 -0.995  -0.359 -1.025  -0.119 -1.072  0.121 -1.117  0.362 -1.147  0.608 -1.147  0.848 -1.117  1.091 -1.092  1.321 -1.010  1.273 -0.850  1.097 -0.679  0.921 -0.508  0.745 -0.336  0.569 -0.165  0.393 0.006  0.216 0.178  0.040 0.349  -0.136 0.520  -0.316 0.687  -0.519 0.817  -0.677 0.978  -0.435 1.005  -0.190 1.005  0.052 1.036  0.293 1.067  0.531 1.116  0.771 1.156  0.753 1.112  0.547 0.979  0.341 0.845  0.134 0.712  -0.072 0.578  -0.278 0.445  -0.485 0.311  -0.689 0.176  -0.620 0.027  -0.378 -0.002  -0.136 0.028  0.106 -0.002  0.352 -0.002
1b#ced#jika4257_s_0o/N  -0.222 0.878  -0.343 0.957  -0.443 0.768  -0.498 0.565  -0.529 0.357  -0.529 0.143  -0.559 -0.067  -0.559 -0.281  -0.568 -0.493  -0.590 -0.704  -0.590 -0.918  -0.621 -1.128  -0.626 -0.925  -0.632 -0.711  -0.638 -0.498  -0.644 -0.284  -0.650 -0.071  -0.656 0.143  -0.662 0.356  -0.668 0.570  -0.674 0.783  -0.680 0.997  -0.743 1.116  -0.712 0.906  -0.600 0.724  -0.482 0.546  -0.377 0.360  -0.252 0.187  -0.127 0.014  -0.019 -0.170  0.081 -0.357  0.222 -0.516  0.364 -0.675  0.502 -0.837  0.634 -1.005  0.779 -1.161  0.940 -1.287  1.006 -1.140  0.976 -0.931  0.972 -0.718  0.945 -0.507  0.943 -0.293  0.914 -0.082  0.914 0.132  0.914 0.346  0.914 0.559  0.914 0.773  0.941 0.983  0.985 1.192  1.037 1.399
1b#ced#jika4257_s_0o/L  -0.242 1.538  -0.331 1.542  -0.406 1.592  -0.402 1.503  -0.362 1.423  -0.351 1.335  -0.351 1.245  -0.372 1.157  -0.379 1.068  -0.379 0.978  -0.379 0.888  -0.379 0.798  -0.390 0.709  -0.404 0.620  -0.406 0.530  -0.406 0.440  -0.416 0.351  -0.433 0.263  -0.429 0.174  -0.406 0.087  -0.406 -0.003  -0.406 -0.093  -0.406 -0.183  -0.394 -0.271  -0.379 -0.360  -0.367 -0.448  -0.351 -0.535  -0.367 -0.623  -0.395 -0.708  -0.360 -0.710  -0.277 -0.686  -0.187 -0.686  -0.097 -0.686  -0.007 -0.690  0.081 -0.708  0.171 -0.714  0.261 -0.714  0.351 -0.714  0.441 -0.718  0.529 -0.733  0.617 -0.728  0.705 -0.714  0.795 -0.714  0.885 -0.714  0.975 -0.714  1.064 -0.719  1.153 -0.736  1.242 -0.741  1.332 -0.741  1.422 -0.741
1b#ced#jika4257_s_0o/I  -0.016 0.702  -0.051 0.636  -0.019 0.401  0.032 0.169  0.062 -0.067  0.088 -0.301  0.092 -0.540  0.114 -0.775  0.114 -1.014  0.035 -0.962  -0.085 -0.755  -0.205 -0.548  -0.326 -0.342  -0.446 -0.135  -0.566 0.071  -0.686 0.278  -0.806 0.484  -0.927 0.691  -1.047 0.898  -1.104 1.111  -0.869 1.116  -0.634 1.090  -0.398 1.064  -0.160 1.048  0.075 1.020  0.312 0.993  0.550 0.986  0.789 0.986  1.024 1.012  1.203 0.964  1.029 0.800  0.855 0.636  0.681 0.472  0.507 0.308  0.333 0.144  0.159 -0.019  -0.015 -0.183  -0.189 -0.347  -0.363 -0.511  -0.537 -0.675  -0.711 -0.839  -0.698 -0.999  -0.470 -1.051  -0.240 -1.112  -0.006 -1.148  0.229 -1.174  0.468 -1.174  0.707 -1.174  0.941 -1.138  1.174 -1.097
1b#ced#jika4257_s_0o/Q  0.125 0.816  -0.033 1.009  -0.204 1.180  -0.432 1.117  -0.592 0.927  -0.702 0.708  -0.779 0.470  -0.856 0.232  -0.883 -0.015  -0.874 -0.264  -0.817 -0.508  -0.748 -0.749  -0.579 -0.930  -0.373 -1.071  -0.130 -1.113  0.118 -1.097  0.350 -1.009  0.551 -0.860  0.698 -0.660  0.805 -0.434  0.871 -0.193  0.888 0.055  0.826 0.297  0.752 0.534  0.640 0.758  0.500 0.962  0.323 1.139  0.123 1.286  -0.095 1.407  -0.345 1.407  -0.561 1.353  -0.454 1.127  -0.347 0.901  -0.239 0.675  -0.132 0.449  -0.024 0.223  0.083 -0.003  -0.073 -0.019  -0.016 -0.256  0.091 -0.482  0.195 -0.708  0.324 -0.921  0.158 -0.789  -0.032 -0.626  -0.103 -0.597  0.049 -0.794  0.207 -0.986  0.384 -1.163  0.577 -1.321  0.785 -1.460
1b#ced#jika4257_s_0o/U  -0.871 1.227  -0.843 1.117  -0.834 1.004  -0.815 0.893  -0.796 0.781  -0.796 0.667  -0.784 0.556  -0.751 0.447  -0.723 0.337  -0.721 0.223  -0.687 0.115  -0.684 0.002  -0.668 -0.110  -0.641 -0.221  -0.616 -0.332  -0.583 -0.441  -0.537 -0.544  -0.490 -0.647  -0.455 -0.756  -0.427 -0.866  -0.367 -0.961  -0.296 -1.049  -0.207 -1.120  -0.117 -1.187  -0.003 -1.187  0.097 -1.141  0.184 -1.068  0.264 -0.988  0.329 -0.896  0.388 -0.798  0.423 -0.691  0.465 -0.587  0.520 -0.489  0.548 -0.379  0.569 -0.267  0.590 -0.155  0.617 -0.045  0.645 0.066  0.675 0.175  0.707 0.284  0.730 0.396  0.755 0.507  0.776 0.618  0.776 0.732  0.776 0.845  0.776 0.959  0.776 1.073  0.776 1.187  0.776 1.300  0.776 1.414
1b#ced#jika4257_s_0o/O  -0.482 1.182  -0.524 1.066  -0.598 0.967  -0.654 0.858  -0.697 0.743  -0.718 0.621  -0.744 0.501  -0.783 0.384  -0.802 0.264  -0.802 0.141  -0.802 0.017  -0.791 -0.105  -0.761 -0.225  -0.731 -0.344  -0.701 -0.464  -0.655 -0.578  -0.609 -0.693  -0.556 -0.803  -0.488 -0.906  -0.408 -0.998  -0.312 -1.075  -0.204 -1.131  -0.083 -1.145  0.041 -1.145  0.164 -1.143  0.279 -1.099  0.380 -1.029  0.467 -0.942  0.553 -0.853  0.621 -0.750  0.676 -0.640  0.727 -0.528  0.771 -0.413  0.801 -0.293  0.831 -0.173  0.832 -0.050  0.813 0.071  0.796 0.193  0.788 0.315  0.742 0.430  0.690 0.541  0.635 0.652  0.579 0.762  0.511 0.864  0.437 0.963  0.355 1.055  0.262 1.135  0.159 1.204  0.054 1.269  -0.056 1.324
1b#ced#jika4257_s_0o/R  0.030 0.170  -0.056 0.370  -0.221 0.301  -0.290 0.094  -0.306 -0.127  -0.319 -0.347  -0.319 -0.570  -0.323 -0.791  -0.348 -1.011  -0.348 -1.233  -0.388 -1.383  -0.431 -1.167  -0.436 -0.946  -0.457 -0.726  -0.465 -0.504  -0.465 -0.282  -0.436 -0.062  -0.428 0.160  -0.391 0.379  -0.339 0.595  -0.263 0.803  -0.184 1.011  -0.086 1.207  0.010 1.401  0.171 1.553  0.363 1.653  0.579 1.620  0.728 1.475  0.723 1.254  0.643 1.047  0.534 0.854  0.402 0.675  0.253 0.511  0.067 0.392  -0.109 0.260  -0.301 0.149  -0.507 0.068  -0.715 -0.011  -0.689 -0.144  -0.491 -0.245  -0.290 -0.335  -0.097 -0.444  0.071 -0.589  0.261 -0.702  0.445 -0.827  0.639 -0.935  0.842 -1.025  1.036 -1.133  1.248 -1.194  1.455 -1.270
1b#ced#jika4257_s_0o/Q  0.098 1.033  -0.055 1.183  -0.269 1.158  -0.458 1.041  -0.560 0.847  -0.643 0.642  -0.720 0.435  -0.764 0.216  -0.815 -0.000  -0.850 -0.219  -0.845 -0.441  -0.822 -0.661  -0.711 -0.855  -0.584 -1.033  -0.392 -1.133  -0.171 -1.147  0.043 -1.093  0.248 -1.013  0.433 -0.889  0.572 -0.715  0.708 -0.540  0.778 -0.330  0.802 -0.109  0.802 0.114  0.802 0.337  0.763 0.553  0.692 0.764  0.579 0.954  0.439 1.122  0.261 1.256  0.059 1.344  -0.160 1.344  -0.358 1.244  -0.492 1.069  -0.514 0.869  -0.420 0.667  -0.327 0.465  -0.234 0.262  -0.141 0.060  -0.106 -0.104  0.011 -0.267  0.138 -0.450  0.274 -0.626  0.396 -0.813  0.520 -0.997  0.489 -1.044  0.290 -0.945  0.291 -0.998  0.390 -1.193  0.531 -1.363
1b#ced#jika4257_s_0o/U  -0.750 1.164  -0.732 1.168  -0.740 1.056  -0.750 0.940  -0.746 0.824  -0.721 0.710  -0.721 0.593  -0.721 0.477  -0.721 0.360  -0.721 0.243  -0.714 0.127  -0.691 0.012  -0.691 -0.105  -0.667 -0.218  -0.661 -0.335  -0.646 -0.449  -0.620 -0.563  -0.588 -0.674  -0.532 -0.775  -0.481 -0.879  -0.416 -0.977  -0.327 -1.049  -0.225 -1.104  -0.114 -1.141  0.000 -1.156  0.114 -1.132  0.214 -1.074  0.312 -1.009  0.395 -0.927  0.461 -0.831  0.513 -0.727  0.558 -0.619  0.606 -0.512  0.655 -0.406  0.698 -0.298  0.721 -0.183  0.740 -0.068  0.757 0.047  0.757 0.164  0.757 0.281  0.751 0.397  0.728 0.512  0.727 0.628  0.714 0.744  0.689 0.857  0.638 0.962  0.615 1.077  0.560 1.178  0.526 1.289  0.491 1.400
1b#ced#jika4257_s_0o/I  -0.140 0.624  -0.058 0.407  -0.031 0.174  -0.012 -0.060  0.024 -0.291  0.051 -0.524  0.099 -0.753  0.173 -0.924  0.032 -0.734  -0.108 -0.543  -0.249 -0.353  -0.390 -0.162  -0.530 0.029  -0.671 0.219  -0.811 0.410  -0.952 0.600  -1.093 0.791  -1.233 0.982  -1.151 1.070  -0.919 1.033  -0.685 1.006  -0.452 0.979  -0.218 0.951  0.018 0.943  0.254 0.924  0.488 0.888  0.723 0.870  0.956 0.828  1.191 0.815  1.421 0.762  1.254 0.612  1.074 0.458  0.894 0.304  0.714 0.150  0.534 -0.004  0.354 -0.158  0.174 -0.312  -0.030 -0.426  -0.236 -0.542  -0.438 -0.662  -0.616 -0.798  -0.753 -0.991  -0.652 -1.128  -0.417 -1.135  -0.183 -1.108  0.051 -1.080  0.285 -1.056  0.519 -1.032  0.755 -1.026  0.992 -1.026
1b#ced#jika4257_s_0o/C  0.619 0.921  0.565 0.993  0.507 1.060  0.432 1.110  0.352 1.151  0.269 1.185  0.182 1.207  0.092 1.209  0.003 1.205  -0.077 1.165  -0.142 1.107  -0.195 1.035  -0.258 0.971  -0.319 0.905  -0.369 0.830  -0.419 0.755  -0.462 0.677  -0.501 0.596  -0.523 0.509  -0.549 0.423  -0.574 0.337  -0.596 0.249  -0.596 0.160  -0.596 0.070  -0.587 -0.019  -0.569 -0.107  -0.550 -0.195  -0.529 -0.283  -0.489 -0.363  -0.444 -0.441  -0.394 -0.515  -0.340 -0.587  -0.282 -0.655  -0.218 -0.719  -0.145 -0.770  -0.072 -0.823  0.000 -0.877  0.079 -0.919  0.161 -0.957  0.244 -0.991  0.329 -1.020  0.416 -1.042  0.506 -1.045  0.595 -1.047  0.682 -1.069  0.771 -1.077  0.861 -1.077  0.951 -1.077  1.041 -1.077  1.131 -1.077
1b#ced#jika4257_s_0o/K  -0.422 1.222  -0.525 1.256  -0.574 1.040  -0.574 0.818  -0.588 0.597  -0.583 0.381  -0.574 0.160  -0.574 -0.062  -0.574 -0.285  -0.542 -0.504  -0.536 -0.726  -0.498 -0.944  -0.469 -1.162  -0.424 -1.380  -0.340 -1.194  -0.255 -0.988  -0.169 -0.783  -0.084 -0.578  0.001 -0.372  0.087 -0.167  0.172 0.039  0.258 0.244  0.343 0.449  0.436 0.651  0.522 0.856  0.619 1.052  0.701 1.253  0.835 1.430  0.789 1.365  0.635 1.205  0.487 1.042  0.320 0.896  0.184 0.722  0.018 0.575  -0.148 0.428  -0.332 0.303  -0.512 0.173  -0.701 0.060  -0.731 -0.137  -0.576 -0.294  -0.400 -0.428  -0.201 -0.528  -0.012 -0.646  0.190 -0.727  0.382 -0.830  0.583 -0.922  0.776 -1.030  0.982 -1.113  1.193 -1.183  1.408 -1.237
1b#ced#jika4257_s_0o/T  0.059 0.285  0.021 0.450  0.041 0.375  0.059 0.206  0.083 0.037  0.125 -0.127  0.159 -0.294  0.164 -0.464  0.189 -0.632  0.201 -0.802  0.234 -0.969  0.239 -1.138  0.198 -1.303  0.189 -1.473  0.175 -1.641  0.119 -1.557  0.061 -1.396  0.003 -1.236  -0.054 -1.076  -0.112 -0.915  -0.169 -0.755  -0.227 -0.595  -0.285 -0.434  -0.342 -0.274  -0.400 -0.114  -0.457 0.047  -0.515 0.207  -0.573 0.367  -0.643 0.519  -0.784 0.607  -0.922 0.699  -1.080 0.754  -1.189 0.735  -1.032 0.676  -0.865 0.650  -0.695 0.650  -0.525 0.650  -0.354 0.650  -0.186 0.674  -0.018 0.650  0.150 0.676  0.320 0.676  0.490 0.683  0.658 0.712  0.826 0.728  0.994 0.753  1.164 0.754  1.333 0.767  1.501 0.780  1.672 0.780
